[00:00.000 --> 00:24.000]  This is an emergency transmission from FEMA Region 6 in Occupied, North America.
[15:20.000 --> 15:27.000]  So we're going to be getting into those reports. We're going to get into obviously the huge developments with Russia and nuclear weapons.
[15:27.000 --> 15:33.000]  We're going to get into the epidemic. And this is an epidemic.
[15:33.000 --> 15:39.000]  As I've looked at the crime numbers of police officers demanding sex from women they pull over.
[15:39.000 --> 15:48.000]  This has always happened some, but they've lowered the IQ thresholds. They've tried to hire sociopaths under many federal programs at local departments.
[15:48.000 --> 15:56.000]  They've put out psychological testing that gets these type of delusional people that think they're God and think that they're above the law.
[15:56.000 --> 16:00.000]  And they believe their order means a woman should have sex with them.
[16:00.000 --> 16:11.000]  Now, the police departments are also busting them and going after them because they realize this is A, wrong, B, and destroy the public's confidence in the police 100%.
[16:11.000 --> 16:19.000]  But it is happening. It is going on. And it just shows the delusional nature of some of these guys.
[16:19.000 --> 16:25.000]  And you look at these cops, whether they're black, white or Hispanic, they all just have this stupid look in their eye.
[16:25.000 --> 16:30.000]  It's just, I mean, you can see when a cop walks over how they look in the eyes, how they're going to act.
[16:30.000 --> 16:37.000]  I mean, if somebody's tough, confident, cool, and a good person, you can tell they're going to be a cool cop right away just by how they look.
[16:37.000 --> 16:42.000]  But you see one of these wimpy looking people come over. It could be a female cop. It could be everybody knows.
[16:42.000 --> 16:46.000]  It's like, oh God, here we go. These cops look like total wimps look out.
[16:46.000 --> 16:49.000]  They got something to prove we are in big trouble.
[16:49.000 --> 16:58.000]  And I look at the photos of these cops that have been convicted, pleading guilty, admitting to, well, I sure 10 women the last few months,
[16:58.000 --> 17:03.000]  they agreed to give me a oral sex when I pulled them over for DWI.
[17:03.000 --> 17:07.000]  They're like, but you can't sit there and tell them to do it. You can't do that on duty regardless.
[17:07.000 --> 17:13.000]  They're like, yeah, yeah, I can. That's how delusional these people are on power trips.
[17:13.000 --> 17:20.000]  But it's across society. Society is degenerating.
[17:20.000 --> 17:28.000]  The only reason violent crime has gone down is so many hundreds of thousands the last 20 years of criminals have been shot to death by citizens and police,
[17:28.000 --> 17:35.000]  but mainly citizens. And I've got statistics out today on that front that, again, it's more than cut in half since 92.
[17:35.000 --> 17:40.000]  New numbers have come in. The last two years have come in now confirming what we got in 2013.
[17:40.000 --> 17:48.000]  Even more of a violent crime rate because the criminals are scared to death, to carjack somebody or home invade,
[17:48.000 --> 17:55.000]  or try to tackle a woman who's jogging because they know a lot of those women are carrying a.357 snub nose,
[17:55.000 --> 18:00.000]  Smith and Wesson in their in their fanny pack.
[18:00.000 --> 18:05.000]  And so congratulations to all the people out there packing and all the women really becoming in power,
[18:05.000 --> 18:10.000]  even though Gloria Steinem hates it. She wants to be on a government plantation, fully controlled by the scum.
[18:10.000 --> 18:15.000]  Good job, women, for going out, taking classes, getting armed and taking this country back.
[18:15.000 --> 18:21.000]  So much of it is women getting armed. Absolutely want to clap and salute all of you out there. Fabulous job.
[18:21.000 --> 18:23.000]  That's that's what's going to stop these criminals.
[18:23.000 --> 18:29.000]  Meanwhile, he talked about it last weekend when he hosted the Sunday show and I want to get more into it.
[18:29.000 --> 18:36.000]  In fact, I forgot to ask, will you guys print me Governor Abbott's letter to the dozens of law enforcement agencies in Texas
[18:36.000 --> 18:42.000]  that are engaged in treason? It sounds like George Washington wrote it and he's calling out all these operatives
[18:42.000 --> 18:48.000]  like the sheriff of Dallas, Lupe Valdes, who literally just legalizes illegals and lets them commit crimes,
[18:48.000 --> 18:55.000]  DWIs, no insurance. I mean, she is a basically might as well be an operative for Mexico City.
[18:55.000 --> 19:02.000]  She's the one that had the police hurt deputies attack us after the Dallas police led us into the 40th anniversary of JFK,
[19:02.000 --> 19:06.000]  talked to the police chief. We had a court ruling we could do it. He said,
[19:06.000 --> 19:12.000]  Dallas cops were great. The sheriff's department under orders just attacked us for no reason, including a seven year old girl.
[19:12.000 --> 19:18.000]  They knocked off a father's shoulder. And I was like, you people are scum. I'm so ashamed of you to the police.
[19:18.000 --> 19:25.000]  They're like, some of them were acting crazy and evil, but some of them were nodding their heads, were saying they were ashamed.
[19:25.000 --> 19:28.000]  To their credit, some of the black cops were saying they were ashamed of themselves.
[19:28.000 --> 19:35.000]  But it was just a big goon squad of like all the linebackers, white guys, black guys, you name it, just attacked a bunch of peaceful people
[19:35.000 --> 19:41.000]  under Lupe's orders. And the Dallas police department was just like, this is unbelievable.
[19:41.000 --> 19:46.000]  But she is a monster. I mean, she really is a little Benito Mussolini wannabe type.
[19:46.000 --> 19:51.000]  We'll get into that. Just a microcosm of all of this and more straight ahead.
[19:51.000 --> 19:55.000]  But first Obama, no boots on the ground in Latimer, Putin. Here's the big one.
[19:55.000 --> 20:20.000]  Orders Russian Security Council to stockpile nuclear protective equipment.
[20:20.000 --> 20:27.000]  Here are some things for you to consider. How will I keep my family warm? The standard answers are firewood, coal or propane.
[20:27.000 --> 20:31.000]  But the problem with that, if you need to be on the move is you can't take it with you.
[20:31.000 --> 20:37.000]  Another concern, there may come a time when you need to stay warm without smoke, like in times of war.
[20:37.000 --> 20:43.000]  There may even come a time when you can't burn fuel. The answers may be simpler and less costly than you think.
[20:43.000 --> 20:51.000]  For these answers, go to FortressClothing.com. Again, FortressClothing.com has the answers to your heat storage dilemma.
[20:51.000 --> 21:17.000]  Don't get stuck in the cold. FortressClothing.com. You'll never be cold again.
[21:17.000 --> 21:29.000]  You'll never be cold again.
[21:47.000 --> 22:10.000]  My name is Bill Bonner and I have an important message. Right now, the highest levels of government are struggling against an inevitable crisis, but they're about to lose control.
[22:10.000 --> 22:20.000]  When this happens, it will rip our country apart in ways you never imagined, from where we shop to the doctors you visit and the family you want to protect.
[22:20.000 --> 22:31.000]  Look, I've made predictions like this before. A few years ago, I warned that the housing prices would collapse. Before that, I warned that dot-com companies would crash, and they did.
[22:31.000 --> 22:38.000]  Those who listened had a chance to save themselves, but this has nothing to do with the stock market. This will affect us all.
[22:38.000 --> 22:49.000]  I've posted a free video at DollarDanger.com. Maybe you'll disagree with my conclusions, but first you need to watch this video and see the facts for yourself.
[22:49.000 --> 23:09.000]  You can watch the video for free right now by going to DollarDanger.com. Again, that's DollarDanger.com.
[23:19.000 --> 23:29.000]  844. Use silver for your free catalog or go to onesilversolution.com. Onesilversolution.com. There is only one silver solution.
[23:49.000 --> 24:00.000]  1,200. Get affordable protection with a level 3A blood proof vest from FortressSurvivalLLC.com. For thou art my rock and my fortress.
[24:19.000 --> 24:43.000]  So, Barack Obama, the savior, told us that he would never put boots on the ground in Syria. Now, let's be clear.
[24:43.000 --> 24:55.000]  For four-plus years, there have been, quote, U.S. military and CIA advisors on the ground, and they are directly arming its come out in Congress al-Nusra.
[24:55.000 --> 25:15.000]  That's why Reuters, a few weeks ago when Russia started its strikes a month ago, on September 29th, came out and said, don't target the non-radical good rebels of al-Nusra.
[25:15.000 --> 25:26.000]  And then Reuters went on to say, also known as al-Qaeda in Syria. Close quote. And so there were headlines all over the country, all over the world on the news.
[25:26.000 --> 25:41.000]  Don't bomb the good rebels. Don't bomb our little baby al-Qaeda's. That's how stupid they think we are. And of course, Russia hit them first because that was the command and control basis.
[25:41.000 --> 25:58.000]  And now they're going to put U.S. troops and are putting U.S. troops in that corridor, if we put the map back up for TV viewers, in that corridor out of Iraq that runs up to the north of Syria where they can supply them through both sides to cut the country in two
[25:58.000 --> 26:10.000]  and give the southeastern area to Iraq to form a new state that's now being pushed and promoted. That's Islamic State's little prize.
[26:10.000 --> 26:23.000]  And then Western countries and others get the eastern half and the Mediterranean and the oil and the gas. There's also gas in the southeastern area. And then the Kurds get the north.
[26:23.000 --> 26:32.000]  That is the carving up of the country, which is the admitted plan that Wesley Clark, seven years ago, exposed. They want to break Iraq in multiple parts.
[26:32.000 --> 26:41.000]  And now they're selling out the news. We just got an idea. We want to break the country up in a whole bunch of different pieces.
[26:41.000 --> 26:54.000]  At least three pieces to stop all the sectarian violence. When they went in, destabilized, broke it up, and then they have the nerve to claim that Russia is there destabilizing things.
[26:54.000 --> 27:07.000]  It is so criminal. But if you look at the current situation, the gray areas controlled by ISIS are being defeated.
[27:07.000 --> 27:16.000]  And so that's why U.S. Special Forces are being put in to be basically human shields, hoping that the Russians end up killing some U.S. troops.
[27:16.000 --> 27:29.000]  And then they can get on the news and say, you deserve to be now attacked and you deserve to leave Syria. And when we're now going to start bombing the Assad forces, Russia, and you better pull out,
[27:29.000 --> 27:39.000]  hoping the American people get all stirred up and support that. But I think they are going too far. I think they're jumping the shark because Americans know ISIS is bad.
[27:39.000 --> 27:48.000]  They know this is in Russia's back door. They know that we're being lied to.
[27:48.000 --> 27:57.000]  They know, even if they're not politically informed, that that's al-Qaeda because they've all seen al-Qaeda for a decade plus waving those black flags with those exact symbols on them.
[27:57.000 --> 28:03.000]  It's like a football team. People know that's al-Qaeda.
[28:03.000 --> 28:10.000]  And I just couldn't imagine being U.S. Special Forces, who I know got very upset. They told Tash Plumlee this. They told Colonel Schaefer this.
[28:10.000 --> 28:14.000]  They told other guests we've had on and guests we haven't had on.
[28:14.000 --> 28:21.000]  Three years ago, we will not fight for these people. We will not supply them. We will not give them weapons. These al-Qaeda people, we're going to go to break them back with a clip,
[28:21.000 --> 28:33.000]  are so arrogant that when they are at military bases or forward operating bases, being given weapons off the C-130s, that the al-Qaeda people will smart off to the U.S. soldiers and say,
[28:33.000 --> 28:40.000]  you know, I killed some of you guys in Iraq and Afghanistan and we're going to kill more of you when we're done.
[28:40.000 --> 28:47.000]  And the U.S. military just sits there and listens to this and completely flip out.
[28:47.000 --> 28:54.000]  They've been made to train them in Jordan. They've been made to train them in Turkey.
[28:54.000 --> 29:03.000]  They have been made to train them in areas of Iraq and they'll claim, here's the nice, you know, Harvard-trained Jihadi leader who speaks English and is nice
[29:03.000 --> 29:16.000]  and talks nice to the Americans and gets the shipments, but then right over in the tents are a bunch of hardcore Wahhabist veteran fighters just spoiling to kill U.S. trips.
[29:16.000 --> 29:25.000]  And the military knows the truth about it. And as I said four years ago, if we can just get the message to them about what's really going on and expose all this,
[29:25.000 --> 29:35.000]  they'll never be able to pull all this off. So now they've gone to the next level to just order our troops in there to sit there like sitting ducks in that little corridor that ISIS now has
[29:35.000 --> 29:42.000]  splitting the country in two, hoping U.S. troops get killed. And I'm telling you, that's the false flag.
[29:42.000 --> 29:48.000]  Obama is the one that kills the U.S. troops if the Russians bomb any of them. Obama is the one that put them in harm's way.
[29:48.000 --> 29:50.000]  Obama is the one using them as human shields.
[29:50.000 --> 29:51.000]  We're on the march.
[29:51.000 --> 30:17.000]  The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:17.000 --> 30:26.000]  Socialism and the other offshoots of Marxism have failed in literally every venue it has been tried, despite progressive, laughable efforts to claim certain countries have implemented it successfully.
[30:26.000 --> 30:35.000]  And let's look at the so-called success of European countries. Every one of them has rung up immense levels of unsustainable debt, thanks to the endless wealth redistribution schemes.
[30:35.000 --> 30:41.000]  Oh, and let's not forget, in the 20th century alone, communism led the way with the murders of 110 men, women, and children.
[30:41.000 --> 30:47.000]  But that's not stopping Bill Gates from saying, only socialism can save the planet, he added.
[30:47.000 --> 30:51.000]  Without a substantial carbon tax, there's no incentive for innovators or plant buyers to switch.
[30:51.000 --> 30:56.000]  Carbon taxes have been created to do only one thing, kill off the emerging country's populations.
[30:56.000 --> 31:22.000]  Rob Dew reporting for Infowars.com and Infowars Nightly News.
[31:22.000 --> 31:29.000]  To secure your DNA force today at InfowarsLife.com or call toll-free 888-253-3139.
[31:52.000 --> 32:12.000]  Alex Jones here. InfowarsStore.com is now partnering with the top-of-the-line storeable food company, MyPatriots supply, to bring you the highest quality, freshest, longest-lasting, most affordable storeable foods,
[32:12.000 --> 32:23.000]  private-labeled from InfowarsSelect.com at the lowest price you're going to find anywhere. The globalists want us dependent. We need to be self-sufficient.
[32:23.000 --> 32:28.000]  And if you don't have high-quality, long-lasting, storeable foods, I believe you're making a huge mistake. My goal is to find the best deals and bring it to you.
[32:28.000 --> 32:37.000]  Now is the time to take action and to secure your pantry for any emergency. You can buy all the great MyPatriots supply products at InfowarsStore.com.
[32:37.000 --> 32:48.000]  They're the exact same products inside InfowarsSelect.com. Visit InfowarsSelect.com or InfowarsStore.com today to check out the amazing deals for yourself.
[32:48.000 --> 33:10.000]  Secure you and your families' needs today at InfowarsStore.com with InfowarsSelect. That's InfowarsSelect.com or 888-253-3139.
[33:10.000 --> 33:22.000]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[33:22.000 --> 33:42.000]  So the elite have calculated the public is so politically ignorant and illiterate that they can openly put Saudi Arabia and Jihad forces into multiple countries at a time, wreck them, destroy them, murder tens of thousands of people every few months.
[33:42.000 --> 33:54.000]  Hundreds of thousands are dead in Syria alone, upwards of 100,000 now in Libya, admitted, quote, total failure of Hillary and Iraq's a total failure and everything else is a failure and Afghanistan's a failure.
[33:54.000 --> 34:05.000]  No, it's not. It's designed to destabilize the world, put the radicals in charge, make trillions of dollars on no bid contracts and spread radical Islam.
[34:05.000 --> 34:15.000]  By the way, if you put up on TV screen for radio listeners, you can go to Infowars.com. We have the map up on screen there at Infowars.com forward slash show.
[34:15.000 --> 34:30.000]  You can see the areas controlled by Islamic State from the start of their quote invasion a year and a half ago until now. That's just a rebranding of Al Qaeda under a new flag, the same flag, different name.
[34:30.000 --> 34:41.000]  And you notice that that conduit goes up into the north out of Iraq. And that's where the quote refugees come in from all over the world. Radical Islamists has traveled to Iraq.
[34:41.000 --> 34:52.000]  They're allowed in. And then they just simply the Iraqi government admits this, travel up into Syria and then travel from there as refugees into Europe.
[34:52.000 --> 35:07.000]  That's why upwards of 80% of the quote refugees are under the age of 30 and get off the trains and form up in military formations and follow their leaders 30 year old on average military officers.
[35:07.000 --> 35:23.000]  Once they get to refugee centers, they are then released and quote disappear by the thousands every day into the European culture, where the socialist place giant hog troughs in front of them for all the free government
[35:23.000 --> 35:37.000]  to stop as they arrogantly complain and demand more and more goodies. We're going to get to those clips in a moment. And then huge news on climate change.
[35:37.000 --> 35:45.000]  But first off, let's get to Obama's latest big broken promise and it was always cynically broken. There were always boots on the ground.
[35:45.000 --> 35:56.000]  But now they need to tell you the boots are on the ground for several reasons to act like this Putin is embarrassing Obama by taking out their jihad forces.
[35:56.000 --> 36:02.000]  So now they have to act like they're actually fighting them. They were doing 13 sorties a day. The Russians are doing hundreds a day.
[36:02.000 --> 36:10.000]  Now they've up those a 20 or 30 quote bombing runs where they admittedly will bomb an old truck or bomb a whole house when no one's in it.
[36:10.000 --> 36:16.000]  Just complete theater. Absolute fog of war, baloney.
[36:16.000 --> 36:24.000]  But the biggest reason isn't just the saving face. It is to put U.S. forces and the Russians are saying this in official Russian media.
[36:24.000 --> 36:30.000]  And I don't just agree with them because they said so. But that's clearly what's going on. They're now announcing U.S. forces are there.
[36:30.000 --> 36:43.000]  So when they get killed, our media can say our controlled media, the same ones that tell you two plus two equals five, the same ones that tell you it's normal to teach five year olds how to give oral sex,
[36:43.000 --> 36:49.000]  the same ones that tell you vaccines are safe and effective, the same ones that tell you raising the debt limit doesn't raise the debt limit,
[36:49.000 --> 36:57.000]  the same ones that tell you there aren't any penalties in Obamacare, even as they start unfolding.
[36:57.000 --> 37:05.000]  The enemy media will now go along and basically cover up for all of this. So let's go ahead and go to this clip.
[37:05.000 --> 37:19.000]  I do not foresee a scenario in which boots on the ground in Syria, American boots on the ground in Syria would not only be good for America, but also would be good for Syria.
[37:19.000 --> 37:25.000]  My answer is simple. I will not put American boots on the ground in Syria.
[37:25.000 --> 37:36.000]  I will not pursue an open ended action like Iraq or Afghanistan. I will not pursue a prolonged air campaign like Libya or Kosovo.
[37:36.000 --> 37:41.000]  This would be a targeted strike to achieve a clear objective.
[37:41.000 --> 37:47.000]  Tonight I want to talk to you about Syria, why it matters and where we go from here.
[37:47.000 --> 37:57.000]  Over the past two years, what began as a series of peaceful protests against the repressive regime of Bashar al-Assad has turned into a brutal civil war.
[37:57.000 --> 38:00.000]  Over 100,000 people have been killed by your by your forces.
[38:00.000 --> 38:02.000]  No, it has fled the country.
[38:02.000 --> 38:12.000]  In that time, America has worked with allies to provide humanitarian support to help the moderate opposition and to shape a political settlement.
[38:12.000 --> 38:23.000]  But I have resisted calls for military action because we cannot resolve someone else's civil war through force, particularly after a decade of war in Iraq and Afghanistan.
[38:23.000 --> 38:25.000]  They've done the whole thing. He's a peacekeeper.
[38:25.000 --> 38:30.000]  I know that many of you are rightly concerned about any American military action in Iraq.
[38:30.000 --> 38:32.000]  Let's just give him a peace prize again.
[38:32.000 --> 38:35.000]  Unlimited strikes like these. I understand that.
[38:35.000 --> 38:41.000]  I ran for this office in part to end our war in Iraq and welcome our troops home, and that's what we've done.
[38:41.000 --> 38:46.000]  As commander-in-chief, I will not allow the United States to be dragged into another war in Iraq.
[38:46.000 --> 38:49.000]  It will take time to eradicate a cancer like ISIL.
[38:49.000 --> 38:58.000]  And any time we take military action, there are risks involved, especially to the servicemen and women who carry out these missions.
[38:58.000 --> 39:04.000]  That's enough. He goes on to say he promises they won't do it. There's 16 of them. I'm not going to play them all. That's part of them.
[39:04.000 --> 39:07.000]  There's 16 video clips. There's more times he wrote it.
[39:07.000 --> 39:11.000]  Now they're out in the news saying he did never say that.
[39:11.000 --> 39:13.000]  That's clip number four I've got here.
[39:13.000 --> 39:20.000]  But let's go ahead and play Ash Carter. That's the secretary of the military, secretary of defense.
[39:20.000 --> 39:25.000]  U.S. will begin direct action on the ground. This is last Friday.
[39:25.000 --> 39:33.000]  Just in case they have media matters come out and say that Obama never said this, and Ash Carter never said it, and there's no call for world government.
[39:33.000 --> 39:36.000]  I mean, that's what they do. They just lie to their idiot readers.
[39:36.000 --> 39:41.000]  But let's go ahead and go ahead and play that clip for the record. Here it is.
[39:41.000 --> 39:46.000]  The changes we're pursuing can be described by what I call the three Rs.
