[00:00.000 --> 00:10.000]  Rallying Patriots Worldwide in Defense of Human Liberty, it's Alex Jones.
[15:14.000 --> 15:27.000]  USA Today, a civil war has already begun. USA Today, America and an emerging soft civil war term I coined, by the way, they're just using not giving me credit.
[15:27.000 --> 15:34.000]  Washington Times, New American Civil War, RT, Congressman Warren's, we're in a civil war.
[15:34.000 --> 15:42.000]  Meanwhile, it all starts. I mean, we know of hundreds of attacks the last few days, massively escalating on July 4th.
[15:42.000 --> 15:47.000]  And then they turn around and go, we're not attacking. Don't run. We are your friends.
[15:47.000 --> 15:53.000]  Just like Mars attacks. They came in peace. Singing in is not the enemy of the American people. We love the American people.
[15:53.000 --> 15:59.000]  And then they stab you in the gut. We'll be right back if they wish.
[15:59.000 --> 16:02.000]  I tried other brands, but I came back to my sunshine.
[16:02.000 --> 16:07.000]  For the best hot or cold pain relief, get the best. Get a Sunny Bay heating pad.
[16:07.000 --> 16:12.000]  Sometimes life can be a pain in the neck or back or shoulder.
[16:12.000 --> 16:15.000]  And the best relief for that pain is a Sunny Bay heating pad.
[16:15.000 --> 16:22.000]  Did you know that the American College of Physicians said that one of the best ways to treat muscle pain is heat therapy?
[16:22.000 --> 16:25.000]  Sunny Bay heating pads are handmade with high quality.
[16:25.000 --> 16:31.000]  Can be used at home or at work and have a lifetime 100% positive rating on both Amazon and Etsy.
[16:31.000 --> 16:33.000]  Why take another pill?
[16:33.000 --> 16:37.000]  Many people use our Sunny Bay heating pads alone and got rid of the neck pain.
[16:37.000 --> 16:42.000]  Long distance travel or long hours in front of a computer can take its toll on your body.
[16:42.000 --> 16:45.000]  Our homegrown small business tries to help people just like us.
[16:45.000 --> 16:50.000]  That's why we design and test our handmade products with great care before we introduce them to the public.
[16:50.000 --> 16:53.000]  You can easily find Sunny Bay heating pads on Amazon.
[16:53.000 --> 16:59.000]  Just go to Amazon.com and search for Sunny Bay heating pads.
[16:59.000 --> 17:04.000]  Healthcare reform is confusing, but whether it's finding an affordable insurance plan,
[17:04.000 --> 17:07.000]  keeping your doctor or being able to afford needed prescriptions,
[17:07.000 --> 17:10.000]  navigating the healthcare system has become a challenge.
[17:10.000 --> 17:14.000]  Control your own healthcare costs and choices with Liberty Health Share.
[17:14.000 --> 17:16.000]  Liberty Health Share is not insurance.
[17:16.000 --> 17:22.000]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[17:22.000 --> 17:24.000]  Neighbor helping neighbor.
[17:24.000 --> 17:26.000]  Learn more now by going to libertyoncall.org.
[17:26.000 --> 17:47.000]  That's libertyoncall.org.
[17:56.000 --> 17:59.000]  That's one eight seven seven nine B-E-R-K-E-Y.
[18:27.000 --> 18:30.000]  They began studying this effect in published trials.
[18:30.000 --> 18:33.000]  And decades later, we now have the fruit of this research.
[18:33.000 --> 18:38.000]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:38.000 --> 18:42.000]  Pollen block is natural and effective. It is not an antihistamine.
[18:42.000 --> 18:47.000]  In fact, current research has found that it actually acts by blocking the activity of triptase,
[18:47.000 --> 18:52.000]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:52.000 --> 18:55.000]  Go outside and enjoy the air you breathe.
[18:55.000 --> 19:00.000]  Go to infoworslap.com and grab a pack of our pollen block chewable tablets.
[19:25.000 --> 19:31.000]  This is a great way to start a healthy aging process with an all-new natural caffeine boost included.
[19:31.000 --> 19:34.000]  A powerful, pregnant-owned base, the real red pill,
[19:34.000 --> 19:37.000]  has quickly become one of our fellow infowors' favorite products.
[19:37.000 --> 19:43.000]  Now, with an extra proprietary energy blend inside, including green tea extract, your remonte leaf extract,
[19:43.000 --> 19:48.000]  and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[19:48.000 --> 19:52.000]  It's got all the great stuff that real red pill has, but it's also got the boost in it.
[19:52.000 --> 19:56.000]  Get the real red pill plus at infowarstore.com.
[20:22.000 --> 20:41.000]  We are not the enemy of the American people. We love the American people. We love the American people.
[20:53.000 --> 20:59.000]  We are not the enemy of the American people. We love the American people.
[21:07.000 --> 21:09.000]  This is CNN.
[21:12.000 --> 21:13.000]  I'm Alex Jones.
[21:13.000 --> 21:17.000]  We are receiving this transmission. You are the resistance.
[21:17.000 --> 21:22.000]  I'm Alex Jones, and this is the syndicated radio slash TV global transmission,
[21:22.000 --> 21:29.000]  also simulcast on the Internet via infowors.com forward slash show and many other platforms.
[21:33.000 --> 21:37.000]  The reason I mention that is I notice more and more in the news.
[21:37.000 --> 21:41.000]  They call me the Internet radio host, Alex Jones.
[21:41.000 --> 21:51.000]  When I've been on AM and FM radio stations since 1996 and I'm on over 260 radio stations,
[21:51.000 --> 21:59.000]  and now I've lost count, it's over 400 TV stations now and approaching 100 cable systems.
[21:59.000 --> 22:04.000]  But see, they hate what they see as the credibility of that.
[22:05.000 --> 22:07.000]  That's why they're trying to shut us down.
[22:07.000 --> 22:13.000]  But I got some really good news the last few days, but the lawyers have asked me not to talk about it,
[22:13.000 --> 22:15.000]  so I'm just going to leave it at that.
[22:15.000 --> 22:20.000]  But let's just say we're having some major victories against the globalists right now on many, many fronts.
[22:20.000 --> 22:22.000]  Now, let me stop right there.
[22:24.000 --> 22:32.000]  I have information here in my hand that is so incredible that I'm going to wait till the next segment to cover it,
[22:32.000 --> 22:41.000]  because it actually makes me have to catch my breath and start having a little anxiety attack.
[22:41.000 --> 22:46.000]  And I haven't had an anxiety attack except for my children are being born.
[22:46.000 --> 22:49.000]  So I'm not a guy that has a lot of anxiety.
[22:49.000 --> 22:54.000]  I've got what you can call pretty good nerves, close to nerves of steel.
[22:54.000 --> 23:11.000]  And such momentous things are happening and going on right now that I don't feel worthy to even talk about it.
[23:11.000 --> 23:13.000]  I mean, that's what I'm saying is I get butterflies.
[23:13.000 --> 23:19.000]  I'm having trouble breathing right now because we're here.
[23:19.000 --> 23:20.000]  This is the global flashpoint.
[23:20.000 --> 23:21.000]  This is a lot bigger than America.
[23:21.000 --> 23:26.000]  This is a lot bigger than anything else happened in our lives.
[23:26.000 --> 23:37.000]  I'm having a feeling right now two or three times stronger than when I watched my wife get cut open and our daughter be born.
[23:37.000 --> 23:45.000]  She had some complications 14 months ago, and it's the same feeling when you're watching your wife be sliced open.
[23:45.000 --> 23:46.000]  It's not a scared feeling.
[23:46.000 --> 23:48.000]  You're about to see your baby for the first time.
[23:48.000 --> 23:49.000]  You're worried about her.
[23:49.000 --> 23:51.000]  It's just so intense, but you know, you're there.
[23:51.000 --> 23:52.000]  They want you to watch.
[23:52.000 --> 23:53.000]  You're going to do it.
[23:53.000 --> 23:55.000]  Be a man.
[23:55.000 --> 23:58.000]  But you're just get this over with.
[23:58.000 --> 24:00.000]  You see, let's see.
[24:00.000 --> 24:04.000]  My wife and the doctors just had to go through that and the nurses.
[24:04.000 --> 24:05.000]  We're all in this.
[24:05.000 --> 24:06.000]  We're all going through this now together.
[24:06.000 --> 24:11.000]  And if you don't feel it, if you don't see it, there's something wrong with you.
[24:11.000 --> 24:18.000]  And evil in all its stupid minions are throwing their attacks now at humanity.
[24:18.000 --> 24:21.000]  And this is a spiritual war, a cultural war.
[24:21.000 --> 24:24.000]  This is it for the whole future of the planet.
[24:24.000 --> 24:26.000]  I'm going to get into it when we come back.
[24:26.000 --> 24:31.000]  The media spends it like Trump did something bad and boy, is he right.
[24:31.000 --> 24:33.000]  We'll see what happens.
[24:33.000 --> 24:39.000]  They're not willing to come out against America openly in the new trade war.
[24:39.000 --> 24:47.000]  But they kind of backhandedly in the main that there are a lot of attacking Trump, but that's 10% or so of the mainstream articles.
[24:47.000 --> 24:50.000]  70, 80% have gone with attack of just, well, is he wrong?
[24:50.000 --> 24:51.000]  Well, we'll see.
[24:51.000 --> 24:52.000]  It's causing problems.
[24:52.000 --> 24:59.000]  Boy, you know, is it right that China has a $900 billion deficit with us?
[24:59.000 --> 25:06.000]  When it's cut and dry that our country's been under a trade war by the globalist running China for 50 years,
[25:06.000 --> 25:12.000]  they've transferred most of our wealth to a communist dictatorship.
[25:12.000 --> 25:15.000]  And now China has released documents.
[25:15.000 --> 25:18.000]  The mainstream news is confirmed of their plan to it.
[25:18.000 --> 25:26.000]  Strangle the U.S. economically and then militarily strike hot wars in third world arteries that supply the U.S.
[25:26.000 --> 25:32.000]  Cutting off our supply lines and then fomenting political control inside the United States.
[25:32.000 --> 25:42.000]  And then if there's any resistance standing up and attacking U.S. forces, that's a term standing up forces and attacking.
[25:42.000 --> 25:49.000]  And they order the stand up of their forces in thousands of Chinese companies around the world,
[25:49.000 --> 25:55.000]  who are really Chinese military people with intelligence officers over them to prepare their sabotage forces.
[25:55.000 --> 25:57.000]  We are completely infiltrated.
[25:57.000 --> 26:03.000]  It's just red level attack and then all the left in Hollywood are attacking America at the same time.
[26:03.000 --> 26:05.000]  Bring down Trump, kill him, kill his family.
[26:05.000 --> 26:11.000]  And China has execution centers, mobile execution vans, killing Christians by the millions.
[26:11.000 --> 26:14.000]  One child policy, 50-something dead million children.
[26:14.000 --> 26:16.000]  Millions of Buddhists harvested.
[26:16.000 --> 26:17.000]  Harvested.
[26:17.000 --> 26:20.000]  Imagine a horror movie where there are countries harvesting millions.
[26:20.000 --> 26:21.000]  Harvesting them.
[26:21.000 --> 26:24.000]  And the left's like, yeah, we'll harvest you.
[26:24.000 --> 26:25.000]  Death to America.
[26:25.000 --> 26:26.000]  Woo!
[26:26.000 --> 26:27.000]  Woo!
[26:27.000 --> 26:32.000]  As if all you idiots are going to get jacked, diddly squat once we go down.
[26:32.000 --> 26:37.000]  And let me tell you, despite Trump's amazing defense and everything,
[26:37.000 --> 26:42.000]  he's got such crap under him in DC, such slugs, such cowards,
[26:42.000 --> 26:47.000]  that he's fighting a 10-front war against the Vatican and the radical Islamists and the corrupt,
[26:47.000 --> 26:51.000]  unelected EU and the chai cons and the megabanks and Hollywood
[26:51.000 --> 26:59.000]  and just all the trash and losers and brainwashed scum and filth and idiots.
[26:59.000 --> 27:05.000]  And all the candy-ass men that think they're tough and always hedge their bets in DC thinking Trump will lose.
[27:05.000 --> 27:09.000]  So they got feet in most camps, which if this goes down,
[27:09.000 --> 27:15.000]  most of them have sold to South already and they've already got their escape plans.
[27:15.000 --> 27:17.000]  Because they have no soul, they have nothing.
[27:17.000 --> 27:19.000]  They're just empty people.
[27:19.000 --> 27:21.000]  So when I come back, I'm going to get into it.
[27:21.000 --> 27:22.000]  It's mainstream news.
[27:22.000 --> 27:27.000]  China's military reforms to win a war and overtake the U.S. revealed and leaked memo.
[27:27.000 --> 27:29.000]  But it's not the headline they give you.
[27:29.000 --> 27:30.000]  Actually, read the memo.
[27:30.000 --> 27:32.000]  It's how they've already done it to us.
[27:32.000 --> 27:35.000]  But at the last minute, we're fighting back, we're waking up.
[27:35.000 --> 27:38.000]  China is now freezing our port shipments.
[27:38.000 --> 27:39.000]  We knew that was coming.
[27:39.000 --> 27:44.000]  All because we've been under a trade war for 50-plus years.
[27:44.000 --> 27:46.000]  We had over half the wealth then.
[27:46.000 --> 27:47.000]  Now we have a fraction of that.
[27:47.000 --> 27:49.000]  It's all been transferred out.
[27:49.000 --> 27:54.000]  And then Trump goes, no, you're at 900 billion now deficit total.
[27:54.000 --> 27:58.000]  500-plus billion in goods, 300 billion conservatively in intellectual property.
[27:58.000 --> 27:59.000]  Stop it.
[27:59.000 --> 28:00.000]  Stop it.
[28:00.000 --> 28:01.000]  Cut.
[28:01.000 --> 28:02.000]  Stop it.
[28:02.000 --> 28:03.000]  So he said, okay, boom, let's go.
[28:03.000 --> 28:04.000]  We're going to war.
[28:04.000 --> 28:06.000]  Because we've been under attack.
[28:06.000 --> 28:11.000]  They're the ones we're already in a war.
[28:11.000 --> 28:15.000]  And then we finally try to fight back at our 11th hour when Hillary was going to come in
[28:15.000 --> 28:16.000]  and complete the sellout.
[28:16.000 --> 28:21.000]  Obama transferred the personnel office management files of our entire intelligence operations.
[28:21.000 --> 28:24.000]  We've been blown wide open.
[28:24.000 --> 28:26.000]  We are in a complete war.
[28:26.000 --> 28:28.000]  And you idiots don't join with the republic.
[28:28.000 --> 28:32.000]  You fools out there that sit there and hate this country and buy into Hollywood crap.
[28:32.000 --> 28:37.000]  And your trendy BS out of Rolling Stone run by Soros and all these enemies have no idea
[28:37.000 --> 28:39.000]  what schmucks you are.
[28:39.000 --> 28:41.000]  Because you're not going to get anything out of this.
[28:41.000 --> 28:42.000]  You've just been trained.
[28:42.000 --> 28:44.000]  Your identity is bringing America down.
[28:44.000 --> 28:48.000]  But what you're bringing down is a thousand times better than what you're bringing in.
[28:48.000 --> 28:49.000]  You fools.
[28:49.000 --> 28:55.000]  They come back and break it all down.
[28:55.000 --> 28:56.000]  America's darkest hour.
[28:56.000 --> 28:57.000]  We're here.
[28:57.000 --> 28:58.000]  But we're fighting back.
[28:58.000 --> 29:00.000]  At least in our darkest hour we awoke.
[29:00.000 --> 29:02.000]  Revenge on the common housefly?
[29:02.000 --> 29:06.000]  Well, after 10,000 years someone has finally come up with a better way.
[29:06.000 --> 29:07.000]  The bug assault.
[29:07.000 --> 29:09.000]  A miniaturized shotgun.
[29:09.000 --> 29:12.000]  Which utilizes ordinary table salt as ammunition.
[29:12.000 --> 29:14.000]  Non-toxic and no batteries required.
[29:14.000 --> 29:15.000]  So much fun.
[29:15.000 --> 29:17.000]  You'll forget you have a wife and kids.
[29:17.000 --> 29:20.000]  $39.95 and free economy shipping.
[29:20.000 --> 29:25.000]  Use discount code GCN and get an extra 10% off your purchase at bugasalt.com.
[29:25.000 --> 29:27.000]  Fire your fly swatter.
[29:27.000 --> 29:29.000]  Get your bug assault today.
[29:29.000 --> 29:31.000]  You have been lied to.
[29:31.000 --> 29:33.000]  My name is Kevin Schipp.
[29:33.000 --> 29:36.000]  I'm a former decorated CIA officer.
[29:36.000 --> 29:41.000]  Finally someone has come out and written what I think is the best ex-Mose on the shadow government ever.
[29:41.000 --> 29:47.000]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[29:47.000 --> 29:50.000]  We've got to get this out because just because you're awake folks doesn't mean other people are.
[29:50.000 --> 29:56.000]  This is critical to get, to read, to go to the library, to give you the courage to get them right now at KillingUncleSanBuck.com.
[29:56.000 --> 30:21.000]  Do you realize that when you spread the links from InfoWars.com, when you spread the videos, you are changing the world.
[30:21.000 --> 30:26.000]  You've been on the team supporting us, praying for us and spreading the word. You are the InfoWars.
[30:26.000 --> 30:35.000]  And now because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email.
[30:35.000 --> 30:42.000]  So there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[30:42.000 --> 30:50.000]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[30:50.000 --> 30:57.000]  The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[30:57.000 --> 31:00.000]  We are the Renaissance and we are winning.
[31:00.000 --> 31:08.000]  InfoWars Life is launching its newest product. We're really, really proud of it. It's a best source prebiotic fiber.
[31:08.000 --> 31:20.000]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[31:20.000 --> 31:29.000]  And it synergistically works with our 50 billion live, active culture, floral life, as well as MycoZX that targets the yeast, the mold, and the funguses in the gut.
[31:29.000 --> 31:35.000]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[31:35.000 --> 31:41.000]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[31:41.000 --> 31:43.000]  And I'm doing this to introduce these products to you.
[31:43.000 --> 31:46.000]  Bodies sold out in a month.
[31:46.000 --> 31:51.000]  Strongest concentrated turmeric formula we can come up with. It's sold out for another month and a half.
[31:51.000 --> 31:54.000]  We sold it at 50% off till it's sold out.
[31:54.000 --> 32:00.000]  And I think it's going to be the same way with this fiber. Get yours today InfoWarsLife.com.
[32:00.000 --> 32:07.000]  Living in volcano may sound more dramatic than it really is. The real drama can be found here in Leilani Estates.
[32:07.000 --> 32:13.000]  But a lot of us on the Big Island rely on rainwater and we need to be concerned about ash and acid rain.
[32:13.000 --> 32:21.000]  Volcanic ash may contain heavy metal particles and acid rain could lower the pH of the water to unhealthy levels.
[32:21.000 --> 32:27.000]  To find out we employed a series of tests for heavy metals, alkalinity, and pH.
[32:27.000 --> 32:33.000]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[32:33.000 --> 32:37.000]  Next, we tested the water from our Alexa pure gravity filter.
[32:37.000 --> 32:44.000]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[32:44.000 --> 32:49.000]  As it turns out, the filter on the Alexa pure raises the pH of the water.
