[00:00.000 --> 00:08.800]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[06:41.160 --> 06:45.160]  And then now they say, oh my goodness, this is terrible.
[06:45.160 --> 06:49.160]  We don't know who did this. We're not involved in these emails making it secret.
[06:49.160 --> 06:55.160]  I mean, that right there, when they have articulated that their policy is to make it secret,
[06:55.160 --> 07:03.160]  and then to now say that, I mean, it just insults rational thought, clearly they're engaged in a cover-up,
[07:03.160 --> 07:05.160]  and the SEC is clearly involved.
[07:05.160 --> 07:08.160]  I mean, here's Kurt Nemo's infowars.com headline from yesterday.
[07:08.160 --> 07:13.160]  SEC engages in conspiracy with AIG to hide bailout evidence.
[07:13.160 --> 07:18.160]  We've got a top judge here saying that that's exactly what he thinks is going on.
[07:18.160 --> 07:22.160]  Where do we go from here where there just, I mean, the emperor has no clothes?
[07:22.160 --> 07:23.160]  This is a joke.
[07:23.160 --> 07:31.160]  Well, we go to places like your show because of your zeal and your courage and your fearlessness
[07:31.160 --> 07:37.160]  in exposing this, much as you exercise the same zeal and courage and fearlessness
[07:37.160 --> 07:39.160]  in the previous administration.
[07:39.160 --> 07:40.160]  And we have to educate people.
[07:40.160 --> 07:44.160]  But Alex, I feel it resonating now.
[07:44.160 --> 07:52.160]  When Bush was doing these things, I frequently felt that my words and sometimes yours were falling on deaf ears,
[07:52.160 --> 07:59.160]  other than those who, before all this happened, had an appreciation for human liberty and limited government
[07:59.160 --> 08:01.160]  and the primacy of the individual.
[08:01.160 --> 08:06.160]  But I see that as a prairie fire spreading around the country now.
[08:06.160 --> 08:12.160]  I mean, just think of it, the Democrats in Massachusetts are within a weekend of losing a seat
[08:12.160 --> 08:17.160]  that they claimed was the personal property of the Kennedy family to a Republican.
[08:17.160 --> 08:20.160]  He's not your kind of Republican or my kind of Republican.
[08:20.160 --> 08:27.160]  But there's a mass exodus that the Democratic Party is imploding because they're, I mean, Bush, we thought Bush was bad
[08:27.160 --> 08:28.160]  because he tripled government.
[08:28.160 --> 08:34.160]  Obama, as you know, officially spent more money than all presidents before him combined back to George Washington.
[08:34.160 --> 08:37.160]  And he has only been in office a year.
[08:37.160 --> 08:38.160]  You're right.
[08:38.160 --> 08:39.160]  You're right.
[08:39.160 --> 08:45.160]  And I think that the Democrats know that they will soon lose their filibuster-proofed Senate
[08:45.160 --> 08:49.160]  and they may actually lose the House altogether in November.
[08:49.160 --> 08:57.160]  So they know that if they want to do what FDR did to us in 12 years, they only have 10 months left in which to do it.
[08:57.160 --> 09:06.160]  And the next 10 months will be a mad dash to see how much unconstitutional legislation that regulates private human behavior.
[09:06.160 --> 09:10.160]  They can weave into federal law, but they are beginning to feel the blowback already.
[09:10.160 --> 09:17.160]  Prediction, if this young man, moderate Republican that he is, wins and gets Ted Kennedy's seat,
[09:17.160 --> 09:21.160]  you will begin to see moderate Democrats, the so-called blue dog Democrats,
[09:21.160 --> 09:27.160]  even a couple of them in the Senate that voted for the monstrous health care bill begin to defect
[09:27.160 --> 09:30.160]  because they will fear for their own jobs.
[09:30.160 --> 09:33.160]  Well, they're already starting to jump ship.
[09:33.160 --> 09:36.160]  Well, I don't know who has jumped ship yet from the Democrats.
[09:36.160 --> 09:38.160]  I'd love to hear it.
[09:38.160 --> 09:43.160]  Well, at the state level, we're seeing all sorts of state senators and legislative people.
[09:43.160 --> 09:46.160]  We've seen what in the House, one Democrat, say they're shifting over.
[09:46.160 --> 09:47.160]  Right.
[09:47.160 --> 09:53.160]  By the way, I learned this morning that the most liberal member of the House of Representatives, Bob Wexler from Florida resigned
[09:53.160 --> 09:57.160]  and there's no mechanism to replace him in time for the vote on health care.
[09:57.160 --> 10:00.160]  Now, health care in the House passed by three votes.
[10:00.160 --> 10:05.160]  So, Mrs. Pelosi now has two votes with which to play.
[10:05.160 --> 10:07.160]  That's the extent of her question.
[10:07.160 --> 10:09.160]  Wow, that is huge news.
[10:09.160 --> 10:15.160]  So, to be clear, when Senator Dodd says that it's hanging by a thread in conference committee,
[10:15.160 --> 10:19.160]  the government grab of health care, it really is hanging by a thread.
[10:19.160 --> 10:20.160]  Oh, it absolutely is.
[10:20.160 --> 10:22.160]  There's a congressman whose name is escaping me.
[10:22.160 --> 10:28.160]  A member of the African-American leadership in the House of Democrat from Missouri was once the mayor of Kansas City
[10:28.160 --> 10:32.160]  who said this morning that it truly is in danger.
[10:32.160 --> 10:38.160]  He predicts eventually something will pass, but he doesn't think it'll be either the House version or the Senate version.
[10:38.160 --> 10:42.160]  Here's a member of the Democratic leadership who predicted they'd go back to square one.
[10:42.160 --> 10:43.160]  Why?
[10:43.160 --> 10:46.160]  Because they did it behind the scenes, because they didn't care about natural rights,
[10:46.160 --> 10:50.160]  they didn't care about the free market, they didn't care about American values,
[10:50.160 --> 10:53.160]  they didn't care about the Constitution, and they're trying to shove it down our throats.
[10:53.160 --> 10:57.160]  And I think the biggest issue here is liberals finally read the bill
[10:57.160 --> 11:00.160]  and found out, wait, we're not getting a free lunch.
[11:00.160 --> 11:03.160]  They raise our taxes and cut our goodies.
[11:03.160 --> 11:06.160]  This is a big bailout to insurance companies.
[11:06.160 --> 11:07.160]  Oh, absolutely.
[11:07.160 --> 11:15.160]  And I am delighted to hear the liberals scream that they and their states will be paying more money
[11:15.160 --> 11:19.160]  because Nebraska doesn't have to pay for Medicaid and Medicare.
[11:19.160 --> 11:22.160]  The liberals, and some conservatives have done this too,
[11:22.160 --> 11:29.160]  have been bribing their own members of Congress for generations in order to secure their votes.
[11:29.160 --> 11:36.160]  But when they are not the recipient of the bribe, but the payer of it, oh, you can hear them squeal.
[11:36.160 --> 11:41.160]  Judge, I want to get you up for a full hour in the near future to talk about your latest book,
[11:41.160 --> 11:46.160]  all the work you're doing, because you really are trailblazing at Fox News,
[11:46.160 --> 11:53.160]  and I see them more and more aligning themselves with you and your constitutionalist view.
[11:53.160 --> 12:01.160]  But in the six, seven minutes we've got left moving quickly, specifically with your constitutional law background,
[12:01.160 --> 12:09.160]  constitutional law lawyer and judge, specifically if you could call the shots.
[12:09.160 --> 12:14.160]  Right now, how do we force Bankstergate out into the open?
[12:14.160 --> 12:16.160]  I mean, it's already blowing up in their face.
[12:16.160 --> 12:21.160]  How do we ensure that we mortally wound the private fell reserve banking cartel
[12:21.160 --> 12:28.160]  and reveal to the world that this is a unconstitutional, larcenous enterprise?
[12:28.160 --> 12:35.160]  Because this patina, this cloak of invincibility has now fallen away from them.
[12:35.160 --> 12:37.160]  Your take on that.
[12:37.160 --> 12:43.160]  Well, there's a couple of things going on, and they're both positive in our direction.
[12:43.160 --> 12:48.160]  There is litigation making its way through the courts, which in my view will grant
[12:48.160 --> 12:54.160]  to Bloomberg News and to Fox News under the Freedom of Information Act documents
[12:54.160 --> 13:00.160]  that the Federal Reserve has been fighting aggressively to keep secret with respect to TARP.
[13:00.160 --> 13:04.160]  Now, we may not get these documents until after the election of 2010,
[13:04.160 --> 13:07.160]  but once we do get them, it'll be a treasure trove.
[13:07.160 --> 13:15.160]  There is also legislation making its way through Congress, which has Congress been Ron Paul's legislation to audit the Fed.
[13:15.160 --> 13:20.160]  Now, unfortunately, it has been attached to other legislation, which is utterly hateful
[13:20.160 --> 13:23.160]  to those of us who believe in the free market and limited government.
[13:23.160 --> 13:29.160]  But by attaching it to that legislation, the President cannot veto it
[13:29.160 --> 13:32.160]  because he desperately wants the other legislation with it.
[13:32.160 --> 13:39.160]  It's a sleeper. If it becomes law, and if there is a true audit of the Fed, as it does call for,
[13:39.160 --> 13:46.160]  it will expose this monster from Jekyll Island for all of the horrific things it's done,
[13:46.160 --> 13:51.160]  the secret foreign policy that it runs, the monsters that it's been bailing out,
[13:51.160 --> 13:56.160]  the people that have been making money, the inflation, the secret tax that it's imposed on all of us.
[13:56.160 --> 14:04.160]  We will finally have in front of the American people in black and white the who, what, when, where, and how that they did this to us.
[14:04.160 --> 14:09.160]  So the momentum is shifting in the direction of liberty. Everybody can feel it.
[14:09.160 --> 14:11.160]  You are seeing it. Is that what you're saying?
[14:11.160 --> 14:15.160]  Yeah, but you know, it's an odd momentum. I'll give you an example.
[14:15.160 --> 14:22.160]  The chairman of the House Financial Services Committee, the bombastic and colorful Barney Franke,
[14:22.160 --> 14:27.160]  a quintessential liberal Democrat who believes in Soviet-style central planning,
[14:27.160 --> 14:31.160]  is now a co-sponsor of Ron Paul's Audit the Fed.
[14:31.160 --> 14:38.160]  So at the same time he will help that part of the bill to pass the Audit the Fed,
[14:38.160 --> 14:46.160]  he will also usher through more power to the Fed to regulate the economy.
[14:46.160 --> 14:53.160]  So in some narrow ways I see blossoms of liberty in the land,
[14:53.160 --> 14:58.160]  but in other ways I see the most heavy-handed government we have ever known,
[14:58.160 --> 15:05.160]  and it's almost a question of holding our breath until the Democrats lose the filibuster-proof majority in the Senate
[15:05.160 --> 15:08.160]  and perhaps the majority in the House just 10 months from now.
[15:08.160 --> 15:16.160]  And the bigger question is, will we see a repeat of Gennrich, the establishment globalist, coming in, taking control of the new Republicans
[15:16.160 --> 15:18.160]  and making sure they don't deliver to the people.
[15:18.160 --> 15:23.160]  Because if Republicans actually delivered liberty and freedom, they would be in power for 50 years.
[15:23.160 --> 15:26.160]  We'd save the country, but no, they're going to want to launch more wars.
[15:26.160 --> 15:30.160]  They're going to want to make money off the naked body scanners like Chertoff.
[15:30.160 --> 15:35.160]  And if Republicans, as they get into power in the next three years, in the next two elections,
[15:35.160 --> 15:39.160]  if they don't deliver on liberty, what comes next?
[15:39.160 --> 15:43.160]  Well, I don't know what will come next.
[15:43.160 --> 15:48.160]  But in the six years that the Republicans controlled the White House and the Congress,
[15:48.160 --> 15:54.160]  which would be Bush's first, George W. Bush's first term, and the first two years of his second term,
[15:54.160 --> 15:58.160]  I think there was less fidelity to the Constitution.
[15:58.160 --> 16:04.160]  This is Alex Jones, and I want to tell you about the Acola Blue Atmospheric Water Generator
[16:04.160 --> 16:07.160]  that produces pure drinking water right from the humidity in the air.
[16:07.160 --> 16:09.160]  No, this isn't science fiction. It's very real.
[16:09.160 --> 16:13.160]  I know because I use one every day in my own home, and it's available right now to you.
[16:13.160 --> 16:17.160]  Because you know exactly where your water comes from with Acola Blue, you'll know what's in your cup.
[16:17.160 --> 16:20.160]  Clean, great tasting water without all the pollutants.
[16:20.160 --> 16:26.160]  Get your family off the grid today by ordering your own Acola Blue Atmospheric Water Generator for your home or business.
[16:26.160 --> 16:31.160]  Their best seller, the Acola Blue 28, produces up to 7 gallons of water every day.
[16:31.160 --> 16:36.160]  The Acola Blue 28 is easy to use and economical. Generate your own pure water from the humidity in the air.
[16:36.160 --> 16:44.160]  This system is free of chemicals and uses a multi-stage filtration system, including reverse osmosis, carbon filters, and ultraviolet lights.
[16:44.160 --> 16:50.160]  Order now and claim your water independence today by calling Acola Blue at 1-800-691-6043.
[16:50.160 --> 16:59.160]  That's 1-800-691-6043, or visit Acola Blue on the web at www.ecoloblu.com today.
[17:20.160 --> 17:24.160]  Number 3. In some areas of the country, the power grid is dangerously overloaded.
[17:24.160 --> 17:28.160]  And now, new socialist legislation is only compounding the problem.
[17:28.160 --> 17:32.160]  Number 4. Dangerous weather is always a threat to local grids.
[17:32.160 --> 17:35.160]  Every year, thousands of families lose their power from weather-related onages.
[17:35.160 --> 17:40.160]  Number 5. A solar power generator provides powerful backup insurance and peace of mind.
[17:40.160 --> 17:45.160]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[17:45.160 --> 17:51.160]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[17:51.160 --> 17:59.160]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[18:01.160 --> 18:05.160]  Hi folks, this is Alex Jones, and I want to tell you about the Silver Lungs Generator.
[18:05.160 --> 18:14.160]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[18:14.160 --> 18:19.160]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[18:19.160 --> 18:25.160]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions
[18:25.160 --> 18:30.160]  and also delivers the silver nanoparticles instantly into the bloodstream.
[18:30.160 --> 18:34.160]  With continued legislation threatening the sale of nano-silver products,
[18:34.160 --> 18:40.160]  you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[18:40.160 --> 18:45.160]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[18:45.160 --> 18:53.160]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[18:53.160 --> 18:56.160]  That's www.silverlungs.com.
[19:01.160 --> 19:05.160]  Hundreds of nations have fallen to tyranny in the last century alone.
[19:05.160 --> 19:08.160]  This is our last chance to not relive history.
[19:08.160 --> 19:13.160]  As we're finishing off this agenda, we'll be pulling the rug from underneath the Americans at home.
[19:13.160 --> 19:19.160]  We have tremendous influence on our president and Congress, and they really are calling the shots.
[19:19.160 --> 19:24.160]  I think it's incumbent upon all of us as American citizens to pay attention.
[19:24.160 --> 19:28.160]  Fall of the Republic identifies the enemies of our nation.
[19:28.160 --> 19:34.160]  The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[19:34.160 --> 19:38.160]  Tim Geithner, Bernanke, and Arsonists, they're asking for more matches.
[19:38.160 --> 19:41.160]  And the Congress is saying, who do we make the check out to?
[19:41.160 --> 19:43.160]  Today seems like nobody does care.
[19:43.160 --> 19:48.160]  And right now in Washington, D.C., we have seen a fall of the Republic.
[19:48.160 --> 19:53.160]  Get your copy of Fall of the Republic on DVD at infowars.com.
[19:53.160 --> 20:05.160]  We're watching online right now at superhighqualityatprisonplanet.tv.
[20:23.160 --> 20:38.160]  Well, his new book's been out for months.
[20:38.160 --> 20:42.160]  It's been at the top of the bestseller charts in the Fed.
[20:42.160 --> 20:49.160]  And of course, he had a number one New York Times bestseller, his Manifesto of Freedom.
[20:49.160 --> 20:53.160]  And you can find out a lot more at Campaign for Liberty.
[20:53.160 --> 21:04.160]  Ron Paul, again, is our statesman, our champion out there, really exposing the fake Republican Party and the fake Democratic Party.
[21:04.160 --> 21:12.160]  Congressman, getting back to healthcare here briefly, a month ago on the show you said it looks like it probably will pass.
[21:12.160 --> 21:14.160]  Is that still your prognosis?
[21:14.160 --> 21:18.160]  Yes, but I don't think anybody knows what will be in it.
[21:18.160 --> 21:22.160]  I don't think it will be everything that Obama wanted, you know.
[21:22.160 --> 21:31.160]  And I wouldn't put a whole lot of money on exactly what's going to happen because, you know, the right to life people in the House are very, very determined.
[21:31.160 --> 21:37.160]  And Democrats, you know, Bart Stupak said he's going to stick to his guns, so maybe something good will come of all that.
[21:37.160 --> 21:40.160]  But then again, I think something will pass.
[21:40.160 --> 21:46.160]  The government is going to get more control of medical care.
[21:46.160 --> 21:53.160]  In every poll, you get Gallup polls of 99% against the banker bailout takeover of 2008.
[21:53.160 --> 21:55.160]  You see 91% against open borders.
[21:55.160 --> 22:00.160]  You see 70-plus percent not wanting government-financed abortion.
[22:00.160 --> 22:04.160]  But it all just continues, even if the people are against it.
[22:04.160 --> 22:11.160]  Take Copenhagen, the Copenhagen-Denmark event, Congressman, as you know, they couldn't get the treaty.
[22:11.160 --> 22:16.160]  So Obama and Gordon Brown say they're just going to implement it at the executive level.
[22:16.160 --> 22:18.160]  Is this not tyranny?
[22:18.160 --> 22:22.160]  It is, and they do a lot of that, and they've been doing it for a lot of years.
[22:22.160 --> 22:27.160]  Executive orders, probably about 99% of those are illegal.
[22:27.160 --> 22:31.160]  There are some conditions where a president's allowed to issue an executive order.
[22:31.160 --> 22:33.160]  But you have the executive orders.
[22:33.160 --> 22:39.160]  You have the signing statements that I mentioned before about how agencies of government legislate.
[22:39.160 --> 22:41.160]  That's unconstitutional.
[22:41.160 --> 22:44.160]  And it's just growing by leaps and bounds.
[22:44.160 --> 22:52.160]  And when you think about what the CIA does and how we run our foreign policy, it's all out of control.
[22:52.160 --> 22:57.160]  And it seems from studying history that that's what tyrannies do.
[22:57.160 --> 23:00.160]  They just get you trained to accept corruption.
[23:00.160 --> 23:03.160]  No one is for it, but they just do it.
[23:03.160 --> 23:08.160]  And the people kind of get a broken mindset or broken attitude.
[23:08.160 --> 23:13.160]  And I've seen polls in Europe of 76% against the naked body scanners.
[23:13.160 --> 23:17.160]  We have medical reports that it does bombard your body with dangerous radiation.
[23:17.160 --> 23:22.160]  The media blurs the images, but we've posted and gotten the real images.
[23:22.160 --> 23:27.160]  Complete images of women's breasts, genitalia, men's genitals.
[23:27.160 --> 23:30.160]  This is a literal recording of your naked body.
[23:30.160 --> 23:32.160]  England has to change their law.
[23:32.160 --> 23:36.160]  The Guardian reports, because it is child pornography under their laws.
[23:36.160 --> 23:41.160]  I mean, who would imagine Stalin putting people through naked body scanners?
[23:41.160 --> 23:44.160]  Congressman, can you speak to that A and B?
[23:44.160 --> 23:53.160]  Could you sponsor a bill to have Congress get control of the TSA and not let them put in these machines?
[23:53.160 --> 23:57.160]  And we have Chertoff making money off the company that got the government contracts.
[23:57.160 --> 24:00.160]  I mean, this is just incredible conflicts of interest.
[24:00.160 --> 24:06.160]  We've already had a vote in the House on this to ban these scanners and they passed it in the House.
[24:06.160 --> 24:09.160]  So that represented what the people were saying.
[24:09.160 --> 24:11.160]  That was several months ago.
[24:11.160 --> 24:14.160]  But it's almost like this is the reaction to it.
[24:14.160 --> 24:19.160]  We need to prove that we need these machines and they have this incident come up.
[24:19.160 --> 24:26.160]  So I think the people back then said one thing, but now they're using the tactic.
[24:26.160 --> 24:31.160]  You were wondering why do the people go along?
[24:31.160 --> 24:36.160]  And even though it seems like they're opposed to it, I think the reason the people finally go along,
[24:36.160 --> 24:40.160]  even though their numbers are against it, is because of fear.
[24:40.160 --> 24:42.160]  I mean, the government knows how to build up fear.
[24:42.160 --> 24:44.160]  Fear of the financial collapse of the system.
[24:44.160 --> 24:47.160]  Oh yeah, that's why we have to bail everybody out.
[24:47.160 --> 24:55.160]  Fear that Osama bin Laden is on the verge of having a nuclear weapon and Saddam Hussein is going to bomb Washington, D.C.
[24:55.160 --> 25:03.160]  So it's fear, fear, fear, and then the people get frightened and then they sacrifice their liberties and it's a continuous process.
[25:03.160 --> 25:09.160]  So it's a hard thing to combat, but hopefully we'll be able to do it.
[25:09.160 --> 25:12.160]  So carbon dioxide is going to kill us.
[25:12.160 --> 25:15.160]  We've got to have a world government and a world tax to save us.
[25:15.160 --> 25:17.160]  The swine flu is going to kill us.
[25:17.160 --> 25:23.160]  It's killed right around 11% so far, according to the Associated Press, with the regular seasonal flu does.
[25:23.160 --> 25:27.160]  But we've got to have those forced inoculations in New York and Massachusetts.
[25:27.160 --> 25:28.160]  That failed.
[25:28.160 --> 25:36.160]  It does seem that their selling of fear, though, is having less and less effect and that people are starting to get wise to it.
[25:36.160 --> 25:37.160]  Yeah, this is it.
[25:37.160 --> 25:40.160]  And this is the great thing that's happened is the loss of credibility of government.
[25:40.160 --> 25:52.160]  And this comes along with the acknowledgement that the government is bankrupt and that both parties are bankrupt because governments make promises and they can't fulfill them.
[25:52.160 --> 25:58.160]  Even these foreign policy adventurers, adventurism, that's not going to pan out either.
[25:58.160 --> 26:00.160]  There will be a point where you can't afford it.
[26:00.160 --> 26:02.160]  That's why the Soviets left it because we fought them.
[26:02.160 --> 26:05.160]  They finally, the economic system could be sustained.
[26:05.160 --> 26:15.160]  And there's as much concern on the left as there is on the right about government and its credibility because the people on the left say, hey, maybe my benefits aren't going to come.
[26:15.160 --> 26:17.160]  Is it true that Social Security is bankrupt?
[26:17.160 --> 26:21.160]  And where are they going to get this money for all this medical bill?
[26:21.160 --> 26:26.160]  You know, eventually they're starting to wake up because government is losing their credibility.
[26:26.160 --> 26:28.160]  And I think this is very, very healthy.
[26:28.160 --> 26:35.160]  But our job is not just to harp on their total failure as much as to say, what are we going to do about it?
[26:35.160 --> 26:37.160]  Is there an answer to this?
[26:37.160 --> 26:43.160]  And this is where, when I talk on college campuses, they're delighted to hear that there are alternative.
[26:43.160 --> 26:44.160]  There are things to do.
[26:44.160 --> 26:52.160]  And I am convinced in my own mind that if we had truly a free society and sound money and limited government and a sensible foreign policy,
[26:52.160 --> 27:00.160]  and we just got out of the way and everybody got, you know, lost 75% of their wealth tomorrow, but they were left alone,
[27:00.160 --> 27:05.160]  I think we'd recover quickly, quicker than anybody would ever dream of.
[27:05.160 --> 27:11.160]  So the whole issue is how free we can be and whether we can have self-reliance and take care of ourselves
[27:11.160 --> 27:15.160]  and push us back to, depending on local communities and family.
[27:15.160 --> 27:18.160]  It is so remarkable how successful that is.
[27:18.160 --> 27:22.160]  But unfortunately, our country has lost confidence in that.
[27:22.160 --> 27:27.160]  But now the question is being asked, if government can't deliver, what is the option?
[27:27.160 --> 27:33.160]  Too often, though, they're saying, you know, the people that you fight all the time are the one world people.
[27:33.160 --> 27:36.160]  And you're going to say, oh, yes, there is a crisis, there's a financial crisis.
[27:36.160 --> 27:42.160]  That means we need a single central bank for the whole world.
[27:42.160 --> 27:52.160]  But the other option is maybe introducing the notion of gold and silver coinage here in the United States like the Constitution mandates.
[27:52.160 --> 27:59.160]  Congressman, a few minutes ago you alluded to the fact that they couldn't get their multi-billion-dollar airport scanners in.
[27:59.160 --> 28:01.160]  People were refusing in mass.
