[00:00.000 --> 00:22.000]  Another world, another time, In the age of wonder, another world, another time,
[04:39.000 --> 04:47.000]  You'll ensure our victory then. I hope you don't do it for Trump's sake, but you're never going to win now. You're identified.
[04:47.000 --> 04:56.000]  So they had a Facebook, Amazon, Zuckerberg, Google, all of you, you need to realize you failed and back off now before you push too far.
[04:56.000 --> 05:00.000]  And then it goes into a hot war and you end up in ashes.
[05:00.000 --> 05:05.000]  In a protest against Donald Trump's tight citizenship policy, a day without immigrants has been declared nationwide.
[05:05.000 --> 05:10.000]  Today, February 16, 2017 will go down in history as a day without immigrants.
[05:10.000 --> 05:14.000]  Look around you. Is that person an immigrant? Imagine if they were just gone.
[05:14.000 --> 05:19.000]  But wait a second. This ideal or illustration doesn't make sense. President Trump is not deporting immigrants.
[05:19.000 --> 05:22.000]  In fact, I'm yet to see or hear any policy that deals directly with just immigrants.
[05:22.000 --> 05:31.000]  So are citizens of the U.S. that have immigrated here going to take off work in protest for those who want to skirt the legal process that they went through to be an immigrant?
[05:31.000 --> 05:39.000]  An interesting notion. Or will this just be a bunch of self-loathing white liberal college students and older women like usual in a desperate attempt to virtue signal against Trump?
[05:39.000 --> 05:43.000]  Or will non-citizens show up and proudly announce that they work here illegally?
[05:43.000 --> 05:49.000]  The goal of this protest is to display how imperative immigrants are to society. Guess we will find that out real quick.
[05:49.000 --> 05:57.000]  Or we will see that people who immigrated here came here to work for a better life and have better things to do than protest a process that they followed.
[05:57.000 --> 06:21.000]  For Infowars.com, this is Owen Schreuer.
[06:27.000 --> 06:36.000]  I'm free shipping when you sign up for auto-ship and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[06:36.000 --> 06:42.000]  Another win-win. That's why I'm a member of the young Jebedy team at InfowarsTeam.com and you can be too.
[06:42.000 --> 06:48.000]  It's simple. Just go to InfowarsTeam.com today. Complete a short sign-up and you're part of the team.
[06:48.000 --> 06:51.000]  That's InfowarsTeam.com or InfowarsHealth.com.
[06:51.000 --> 07:00.000]  I want people calling to my radio show and tell me how young Jebedy and the products at InfowarsTeam.com have changed their lives. Check it out for yourself today.
[07:00.000 --> 07:08.000]  This is Alex Jones. I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[07:08.000 --> 07:11.000]  And seriously, I really think everyone should have one of these.
[07:11.000 --> 07:16.000]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[07:16.000 --> 07:25.000]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator so you can keep food from spoiling.
[07:25.000 --> 07:31.000]  Plus, you can take it with you to jumpstart cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[07:31.000 --> 07:38.000]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[07:38.000 --> 07:43.000]  Perfect for cabins, remote locations, any time you need to get off the grid for a while.
[07:43.000 --> 07:48.000]  You can go to privatepowergrid.com to watch this thing in action. That's privatepowergrid.com.
[07:48.000 --> 07:54.000]  Even better, use coupon code PRIVATE at checkout and get a second PPX Energy Unit for free.
[07:54.000 --> 07:59.000]  Check it out at privatepowergrid.com. That's privatepowergrid.com.
[08:01.000 --> 08:07.000]  Well, I was thumbing from Montgomery. I had my guitar on my back.
[08:07.000 --> 08:17.000]  When a stranger stopped beside me in an antique Cadillac. He was dressed like 1950, half drunk and hollow-eyed.
[08:17.000 --> 08:22.000]  He said it's a long walk to Nashville. Would you like to ride?
[08:22.000 --> 08:30.000]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the Info War.
[08:30.000 --> 08:40.000]  He turned on the radio and them sad old songs coming out of them speakers was solid contragoal.
[08:40.000 --> 08:45.000]  Then I noticed a stranger was ghost white tear when he asked me for light.
[08:45.000 --> 08:50.000]  And I knew there was something strange about this ride.
[08:50.000 --> 08:53.000]  Ladies and gentlemen, we just kicked off the Thursday Global Broadcast.
[08:53.000 --> 09:01.000]  Already Thursday, the 16th day of February 2017, I am your host Alex Jones.
[09:01.000 --> 09:07.000]  And if you're a TV viewer, on a radio list, you'll notice we got the background is nuclear red-orange.
[09:07.000 --> 09:16.000]  Because that's where this world's headed under globalism with its system held bent on establishing a planetary corporate-controlled technocracy.
[09:16.000 --> 09:24.000]  That is completely anti-human. I've said this thousands of times in the last 15 years or so, in my 20 years on air,
[09:24.000 --> 09:32.000]  that if we ever just hammer the fact from the Council on Farm Relations, the Club of Rome, Bilderberg, Davos, their public statements
[09:32.000 --> 09:40.000]  about how they're going to establish a total world government, cut off resources, phase out populations, create animal human clones,
[09:40.000 --> 09:47.000]  merge with machines and become gods, that people say you're not going to make those decisions for us.
[09:47.000 --> 09:54.000]  Now today you see it in the mainstream news about animal human clones and gene splicing and gene editing.
[09:54.000 --> 09:59.000]  And it's, oh, guess what? They're telling you it's been going on for decades. They're rolling everything out.
[09:59.000 --> 10:05.000]  Twitter's announcing, yeah, we're going to start censoring conservatives and libertarians and Trump supporters.
[10:05.000 --> 10:10.000]  Twitter for two weeks won't let you see any positive comments for Trump. It's all negative.
[10:10.000 --> 10:16.000]  They're already controlling it and not letting his tweet get out to everybody. I mean, we're under mega assault.
[10:16.000 --> 10:23.000]  It's so naked. The bullying of the American people and others around the world is just over the top.
[10:23.000 --> 10:29.000]  And you know why I love dodgerport.com so much? Because it's not even posted articles, except when Drudge writes an article
[10:29.000 --> 10:37.000]  and puts out a news blurb, which might be like a couple times a week. It's just mainly government documents, video clips,
[10:37.000 --> 10:44.000]  mainstream news, but from the globalist perspective pushing tyranny, but he'll just put two or three links together
[10:44.000 --> 10:49.000]  showing how it's their agenda, and then he'll put another clip where they're denying it's happening.
[10:49.000 --> 10:55.000]  There is no global government. Trump's insane. Jones is insane. Bannon's insane. Drudge is insane.
[10:55.000 --> 10:59.000]  And then all these articles, world governments in crisis, the answer to everything is world government.
[10:59.000 --> 11:04.000]  The answer is getting rid of families. You better merge with machines or be obsolete.
[11:04.000 --> 11:11.000]  Yeah, we're going to forcibly inoculate you. Don't listen to these crazies that say we're going to forcibly inoculate you.
[11:11.000 --> 11:16.000]  And the president's not allowed to ever talk to the Russians and none of his staff or diplomats are.
[11:16.000 --> 11:21.000]  Diplomats never talk to any foreign leaders, ever. On the phone or in person, it's illegal.
[11:21.000 --> 11:27.000]  And we've got secret recordings where Flynn lined up a phone call to the president-elect on December 15th.
[11:27.000 --> 11:37.000]  It's unbelievable. He said, I can't talk about sanctions, but the president says he wants to talk to you about them.
[11:37.000 --> 11:43.000]  It's like if somebody says, will you marry me? And you say, no. Then they say, oh, you said we're married.
[11:43.000 --> 11:54.000]  I mean, it's incredible. And they've got all these slimy, anti-American, globalist, collaborator, arrogant, Brennan supporters, CIA people on TV,
[11:54.000 --> 12:02.000]  saying Trump's a domestic enemy overthrowing. He's a Russian agent. I told you months ago they were going to beat the drum up to this.
[12:02.000 --> 12:07.000]  It would have been too insane to say it months ago. They have to just by approximation.
[12:07.000 --> 12:14.000]  It's a technique, enter it in, enter it in slowly and then just build it and build it and have congressional press conferences.
[12:14.000 --> 12:20.000]  Evan McMullen, what a shame to this country. Look at that wimpy little egghead.
[12:20.000 --> 12:28.000]  We're going to play him right now on CNN. He's on other channels saying that Trump's a domestic enemy.
[12:28.000 --> 12:33.000]  That's the quote. It's even worse than I was saying. A domestic enemy. I was saying domestic threat.
[12:33.000 --> 12:43.000]  Let's see. I tend to dial stuff back. This is the elected president of the United States, a capitalist, someone that wants a free market and to defend our borders
[12:43.000 --> 12:52.000]  and to cut our taxes and to sign an executive order saying you don't have to pay $5,000 or these penalties if you don't get Obamacare and you don't have to fill it out.
[12:52.000 --> 13:04.000]  They killed that and Congress made six Obamacare changes but won't make any for Trump because the enemy is the Republican establishment.
[13:04.000 --> 13:09.000]  And they're the ones on TV and everywhere giving aid and comfort to the Democrats and Soros trying to overthrow Trump right now.
[13:09.000 --> 13:15.000]  And they mean business, ladies and gentlemen. They've mean business from day one.
[13:15.000 --> 13:24.000]  They've had a lot of people privately say, okay, Alex, you said they do all this and how did you know they do this exactly as they did it?
[13:24.000 --> 13:32.000]  Because quite frankly, even top policy wonks kind of study what other policy wonks are up to in little areas to be really on target in small specific areas.
[13:32.000 --> 13:37.000]  I study it all and I watch the patterns.
[13:37.000 --> 13:50.000]  And I see how they do different rollouts and I know their playbook. And so I'm telling you, they're going to ignite riots all over the US, burning cities just like in France right now.
[13:50.000 --> 13:56.000]  And they're going to keep saying it's all Trump's fault and bully and bully and bully and then implode the economy if they can.
[13:56.000 --> 14:02.000]  The good news is there's some patriots in the stock market and just general investors, no business is open again.
[14:02.000 --> 14:11.000]  So it's surging even as the head of the Federal Reserve says it shouldn't be and that she wants to increase interest rates to kill that and Trump's removing her.
[14:11.000 --> 14:20.000]  And that's why they're flipping out the bankers. The bad bankers are getting thrown out and Trump's going to the establishment saying, give me bankers that'll follow orders.
[14:20.000 --> 14:24.000]  I'll still let you guys be in charge, but you're not going to screw people anymore.
[14:24.000 --> 14:36.000]  He says there's a big old juicy cornucopia here. There's a big old Thanksgiving table here and I don't care if you're a poor black person or Hispanic American or a rich banker or whoever you are, we're going to start having an even playing field.
[14:36.000 --> 14:46.000]  He's announced and told the Federal Reserve, you start loaning money to the local banks and they better start loaning it close to zero percent to small businesses right now.
[14:46.000 --> 14:53.000]  You've had decades of sucking our tax money and giving yourself free money. You start giving it to them right now.
[14:53.000 --> 15:00.000]  I read the banking association reports. I cover them. Everything Trump's doing is what local banks have been calling for.
[15:00.000 --> 15:06.000]  You don't think Trump hadn't battled the banks his whole life and his daddy didn't battle them. You don't think he doesn't know their tricks better than they do.
[15:06.000 --> 15:15.000]  You don't think he doesn't want to break their parasitic backs. He's out for you. He's real and that's why they're so upset.
[15:15.000 --> 15:28.000]  Even in their own CIA garbage reports, they admit, Russia, you better watch it. Trump's for real and America's going to be so powerful, you're going to be absolutely overrun by it.
[15:28.000 --> 15:35.000]  They're like, you're globalist like us. You know, hey Putin, you got globalists in your offices and Trump's going to shut that down.
[15:35.000 --> 15:45.000]  That's the article the Kremlin's starting to worry about Trump because yeah, if America turns back on folks, nobody economically forget weapons can stand in our way.
[15:45.000 --> 15:57.000]  And they go on to admit that they say Trump's taking over the whole global system that we sucked out of America and that the globalists set up for themselves so the corporate guys can play God and ignore the people and tell us we can't have cars or medicine,
[15:57.000 --> 16:06.000]  but they can have, you know, giant thousand acre ranches in Hawaii and trillions of dollars at their disposal and jet helicopters and life extension.
[16:06.000 --> 16:13.000]  Listen, I'll quote Lewis Farrakhan of the elite. You're going to give us some of this dirt or we're going to burn this sucker down, but here's the difference.
[16:13.000 --> 16:23.000]  We're going to burn it down politically. You're trying to get all the dumbed down poor people, every race, color and creed to run around and burn stuff thinking because Trump's trying to get in the way of the goodies.
[16:23.000 --> 16:29.000]  Hillary was going to give you. Hillary only gives you enough goodies to have you on the hook like a fish.
[16:29.000 --> 16:36.000]  I'm skipping this break. Now, Drudge has it so laid out so perfectly. InfoWords has got some big stories too.
[16:36.000 --> 16:41.000]  I've been asking folks for four or five days to do a story on this. You can see they're blocking his Twitter. They admit they're blocking it.
[16:41.000 --> 16:49.000]  No one's even covering it. I was at Paul's got an article coming out of their blocking Trump in positive comments and the public's feedback to Trump so they don't have communication with him.
[16:49.000 --> 16:57.000]  And so he doesn't see what the public's saying. And so the tens of millions that see his Twitter only see their globalist brainwashing next to his comments.
[16:57.000 --> 17:07.000]  And this is the whole model of how they censor right now. But let's look at some of these headlines. Trump approval rating pops to 55%.
[17:07.000 --> 17:18.000]  Up five points in just the last week and the very same poll and other polls show the same thing. And that's in skewed polls, which are shooting for demographics that are more Democrat liberal.
[17:18.000 --> 17:28.000]  Meanwhile, Jack Attack, Twitter CEO compares USA's mood to Arab Spring, talks about the preparation for the left to overthrow the government.
[17:28.000 --> 17:36.000]  Reddy's crackdowns on conservative speech. This is their announcements. It's already happening.
[17:36.000 --> 17:42.000]  You understand, ladies and gentlemen? I mean, this is so massive.
[17:42.000 --> 17:50.000]  Meanwhile, 60% of refugees since judge halted Trump order come from terror-prone countries.
[17:50.000 --> 18:06.000]  Christian University in Texas opens prayer room for Muslims. Congress crawl, tax cuts stall, Obamacare for all, winner slumber Republicans, passivity during first month of Trump.
[18:06.000 --> 18:14.000]  House passes six Obamacare repeals. When Obama was president, now nothing.
[18:14.000 --> 18:18.000]  The Republicans wrote the parts they want to screw everybody over and Trump didn't let them do that.
[18:18.000 --> 18:26.000]  That's why he said in his inaugural speech, this isn't about Republican or Democrat. This is about putting power back to you and sending wealth back to the area where it's produced.
[18:26.000 --> 18:32.000]  It's yours. We're not redistributing. We're letting you keep it. And we know you're the engine of prosperity.
[18:32.000 --> 18:42.000]  The Republicans have captured this country. They think they own it. They think they run it. They're the threat. They're the foreign multinational threat, not Russia on the verge of collapse.
[18:42.000 --> 18:50.000]  And they point at that. These enemies of the Republic. I mean, this guy is a literal enemy of the Republic.
[18:50.000 --> 19:00.000]  This Evan McMullen who tried to jackknife the entire election and tried to take over. I mean, look at this guy. They're always just total wimps.
[19:00.000 --> 19:09.000]  They're the guys that send off the soldiers to fight and die. These are the guys in covert action commanding men 20 times the person they are.
[19:09.000 --> 19:21.000]  But they're little sniveling rats. So they're the ones all put in charge. And it's little dipsticks like this and people like Brennan, that Wahhabis that converted to Islam and Saudi Arabia, literally.
[19:21.000 --> 19:31.000]  And it was a communist in college. This is the type of crap that they dredge up and tell us that we're not patriotic and I'm a useful idiot. Listen, dumbass.
[19:31.000 --> 19:40.000]  If Russia ever does anything to this country, I'm ready to go to war. I'm ready to go with war to you because you've been screwed it over. You are the domestic enemy scumbag.
[19:40.000 --> 19:46.000]  Look at that piece of crap. I can't believe Trump's putting up with your treason. I'm serious.
[19:46.000 --> 19:53.000]  Let me tell you something. The media is like, oh, Jones now loves the president and the federal government because he thinks he gets his way.
[19:53.000 --> 20:03.000]  This is one of the first American governments just in the executive we've had in a long time. I told you Trump's going to be 10 times Ronald Reagan. Everybody better watch out.
[20:03.000 --> 20:12.000]  Ronald Reagan doesn't hold a candle to what Trump's trying to do. And they shot him for what he was trying to do. And then they got control.
[20:12.000 --> 20:20.000]  And, you know, Dan rather pops in over Trump's speeches and says it's a spigot of lies. You're a spigot of lies. You shameful person.
[20:20.000 --> 20:25.000]  Texas is a shame right here in Austin, Texas. What a sack of crap.
[20:25.000 --> 20:31.000]  So let's continue, ladies and gentlemen, all these bullies think they can push us around all this stuff.
[20:31.000 --> 20:38.000]  They're the ones that have sold us out to NAFTA and GATT, the TPP, where a bunch of corporations take control of our government and it waves its rights.
[20:38.000 --> 20:52.000]  They tried to get Italy two months ago, or a month and a half ago, to vote to sign over its sovereignty completely and accept a EU military and disband the Italian military.
[20:52.000 --> 20:58.000]  See, if Hitler would have just had a trade deal and been all cutesy about it in Europe and oh, and by the way, you know, it's decade or so into it.
[20:58.000 --> 21:04.000]  Oh, let us put some troops in as we got our president in and then you just accept them coming in.
[21:04.000 --> 21:09.000]  This is treason. This is subterfuge. And people say, oh, well, he's got Goldman Sachs administration.
[21:09.000 --> 21:13.000]  It's Goldman Sachs running the takeover in these countries. It's Goldman Sachs the globalist.
[21:13.000 --> 21:19.000]  That's why he brought key Goldman Sachs people in. And then the media goes, oh, well, it's true Goldman Sachs came zeroed at Trump all the money to Hillary.
[21:19.000 --> 21:24.000]  But why is Goldman Sachs stocks up? They want to control the market and siphon it off.
[21:24.000 --> 21:33.000]  They'd rather have it be smaller, but they dominate it. It surged for everybody so much that they've seen their profits go up 30 plus percent in the last few months as well.
[21:33.000 --> 21:38.000]  There's even articles where some Goldman Sachs people are like, maybe this plan of peace is good and prosperity.
[21:38.000 --> 21:42.000]  Maybe we just have trade and still we can have all the weapons we want to.
[21:42.000 --> 21:47.000]  And then maybe it's good to actually not make poor people poor and maybe free markets the way to go.
[21:47.000 --> 21:55.000]  It does work really good. Nobody wants globalism except a few very evil people on the top because it's anti-prosperity.
[21:55.000 --> 22:08.000]  It was sold as pro-prosperity and these people that get together in these confabs like Brennan that thinks he's God and tells the president you better watch your mouth close quote.
[22:08.000 --> 22:14.000]  They all get together and believe like some employee you've been away for a year and you come back and your employee thinks they own your company and run it.
[22:14.000 --> 22:21.000]  You're like, you're fired. Get your butt out of here. People flip out even in business and life and start thinking they're your boss.
[22:21.000 --> 22:31.000]  This out of control hijacked government is not your boss. And I know you know that because even in their skewed polls, internal polls, just like I told you before the election,
[22:31.000 --> 22:39.000]  internal polls have trumped at about 65% right now. Okay. You notice they've got 55 in the mainline polls. He's going up.
[22:39.000 --> 22:45.000]  So even in their skewed polls, they've got him going up and they are panicking because people are seeing through this.
[22:45.000 --> 22:51.000]  So you get this through your head, all of you that think you own this country and you run it.
[22:51.000 --> 22:55.000]  You sit around calling people fighting for the life of this nation, traders.
[22:55.000 --> 23:03.000]  And you sit around with no pedigree, no background, no allegiance to this nation. All of you have been caught like Brennan selling out the foreign powers.
[23:03.000 --> 23:10.000]  You are the enemies. You are the clear and present danger to this republic.
[23:10.000 --> 23:15.000]  You are using your term domestic enemies.
[23:15.000 --> 23:22.000]  There can't be one or the other. Who's the real domestic enemy? Is it little chicken head necks?
[23:22.000 --> 23:29.000]  It's a type they go for, a little wimp, a little potbelly.
[23:29.000 --> 23:42.000]  Look at him. Look at Hayden. Look at all of them. They all look like they came from the same daddy and the same mommy.
[23:42.000 --> 23:47.000]  What is it? Because you can't get honorable men to do this. You've got to get little nobodies.
[23:47.000 --> 23:54.000]  I don't mean people that are small, or webs on average. I'm saying it's a certain pasty, you know, no at all little creature.
[23:54.000 --> 24:03.000]  Let's put him next to Hayden. Can we do that? And then let's put Brennan up there as well. They're just all these creepy thugs allied with the big corporations in the media
[24:03.000 --> 24:11.000]  who still think they can beat America and beat the military and beat the patriots and the intelligence agencies that outnumber you.
[24:11.000 --> 24:16.000]  I'm going to be conservative. 9 to 1.
[24:16.000 --> 24:27.000]  Again, you don't have any of the fighting men. People like you, anti-American globalists, there aren't any fighting men that you've got that support you.
[24:27.000 --> 24:34.000]  You may be able to hire mercenaries and hire people to do stuff, and then they go home and commit suicide a month later when they carry out your will.
[24:34.000 --> 24:41.000]  So you don't have many of them left, do you Hayden? Look at Hayden and then look at his son, his mini-me, his creature.
[24:41.000 --> 24:46.000]  They thought he'd overturn the whole election, and they thought they'd block everything else. Look at him.
[24:46.000 --> 24:50.000]  Let's go back to the other one, because he has them shoot it down from the jaw to make him look tougher.
[24:50.000 --> 24:58.000]  Gosho McMullen just on a straight-on shot like him, and it's one you were showing earlier, and it's literally the exact same shot.
[24:58.000 --> 25:03.000]  It's the same deal. They know better, and they're going to creep around, and they're going to control Stephen.
[25:03.000 --> 25:10.000]  They're going to go on CNN with a couple hundred thousand viewers, and then they're going to tell you how the whole world works.
[25:10.000 --> 25:22.000]  Because they put their little grubby hands together. These guys are just unbelievable egomaniacs who just think they own the country and are going along with globalism that is pure cancer.
[25:22.000 --> 25:29.000]  So let's go to Evan McMullen. Donald Trump is a domestic enemy on the Communist News Channel.
[25:29.000 --> 25:38.000]  But the fact that we know so much because of these leaks and these sources from our reporting or the Washington Post or wherever else,
[25:38.000 --> 25:45.000]  your former CIA, why are they so leaky? What are their concerns?
[25:45.000 --> 25:54.000]  I'll tell you what their concerns are. Their concerns are that Donald Trump presents or poses a threat to the country because of what they see in terms of his relationship with Vladimir Putin
[25:54.000 --> 26:00.000]  and the relationship of his team to other Russian intelligence officers or to Russian intelligence officers.
[26:00.000 --> 26:09.000]  These people, our people, our US intelligence officers are deeply committed to our security. They risk their lives routinely for it overseas in war zones and otherwise.
[26:09.000 --> 26:16.000]  And they see something happening with our US president, and they have seen it playing out over time that truly concerns them.
[26:16.000 --> 26:28.000]  So while leaking is illegal, their first responsibility, the oath that they take when they first start their service, requires them to defend the Constitution from all enemies born in domestic.
[26:28.000 --> 26:36.000]  Listen, I'm all for transparency, and if something nefarious has been going on, it should be reported out and there should be ramifications.
[26:36.000 --> 26:44.000]  But to the president's point with these leaks, do you give him any leeway in saying that is correct, that there have been too many, too many leaks?
[26:44.000 --> 26:50.000]  Well, leaks are illegal. So he can make that complaint, and I think it does have a certain validity.
[26:50.000 --> 26:58.000]  But again, I think intelligence officers are caught between the oath that they take when they start their service, which says they'll defend the country.
[26:58.000 --> 27:01.000]  They'll defend the Constitution from domestic and foreign enemies.
[27:01.000 --> 27:08.000]  OK, so they see a risk here. They see a security threat coming from the White House. They're responding to that.
[27:08.000 --> 27:13.000]  A security threat coming from the White House, a domestic enemy.
[27:13.000 --> 27:25.000]  So this guy didn't support WikiLeaks, though, that was U.S. intelligence showing pedophile garbage, foreign states, money, Hillary getting money from the Russians, talking about enslaving the public, talking about making a spore.
[27:25.000 --> 27:31.000]  Tens of thousands of pages of just vomitous evil, or even mainline liberals, had to turn against them.
[27:31.000 --> 27:34.000]  And even the London Guardian said, oh my God, this woman's pure evil.
[27:34.000 --> 27:50.000]  And then you turn that around, though, and say that the electronic surveillance on the president-elect recording his national security adviser setting up phone calls for him to discuss things like sanctions, that that's espionage and we're Russian agents.
[27:50.000 --> 28:03.000]  I mean, this guy's declaring war on America. And again, these people sit there and they're so arrogant, they tell the president, you better watch your mouth.
[28:03.000 --> 28:08.000]  I think people like that need to watch their mouth. And what do you think?
[28:08.000 --> 28:18.000]  I mean, you guys need to understand, you're starting something that anybody with half a brain historically understands you will not win unless you just blow the planet up.
[28:18.000 --> 28:25.000]  And I guess you're so satanic and so spoiled, maybe that's what you'll try to do. The people will probably stop you doing that, too.
[28:25.000 --> 28:36.000]  So, I've never seen any of these guys that even looks like a man. And I ought to tell you something, because a real man cares about their family and justice and the truth.
[28:36.000 --> 28:52.000]  And these people aren't useful idiots of globalism. They're parasites, they're willing enemies of America and enemies of this republic, in my view and historical research, who are openly overthrowing it and signing us over to corporate global anti-human dictatorship
[28:52.000 --> 29:10.000]  that is working to destroy the nation state and the family. And now, from Russia, to Brazil, to France, to the United States, to England, all over the world, people are saying, we want families, we want true justice, we want Americana.
[29:10.000 --> 29:19.000]  And all Americana means is just a big expression of success and strength and honor and will and trailblazing and danger and everything that comes with it.
[29:19.000 --> 29:29.000]  But just, you want it, you got it, barbarian will. Not a bunch of little chicken necks. You will not lead us into the future, boy.
[29:29.000 --> 29:39.000]  You got a bunch of boys that want to mount America's head on the wall as some trophy while they sneak around. And as long as the giant sleeps, they win.
[29:39.000 --> 29:50.000]  And now they know the giant is awakening. Key quotes from LePen about the wars we're winning straight ahead.
[29:50.000 --> 30:00.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:00.000 --> 30:10.000]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce. Dr. Griff, you took years for you to develop DNA Force for us.
[30:10.000 --> 30:22.000]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important. What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[30:22.000 --> 30:25.000]  Telomeres are the little cups on the end of our chromosomes.
[30:25.000 --> 30:34.000]  And when it runs out, you start dying. We chose the PQQ because it has over 175 different clinical trials. It's one of the most effective substances in the world.
[30:34.000 --> 30:39.000]  It works like an antioxidant. It works to repair nerve growth factor.
[30:39.000 --> 30:43.000]  So this is a formula to deliver the maximum amount. It's in powder form.
[30:43.000 --> 30:48.000]  We have so many five-star reviews. I take this. This is the product that I take.
[30:48.000 --> 31:00.000]  InfoWarsLife.com and the profit we make. We fight the globalists. We fight the new world order. Secure your DNA Force today at infowarslife.com or call toll-free 888-253-3139.
[31:18.000 --> 31:26.000]  My joint pain has been reduced significantly. I have a lot of energy that I've never had before. My cravings for sweets are gone, and I'm rarely hungry.
[31:26.000 --> 31:32.000]  Even my cravings for foods like hamburgers and heavy carbohydrate meals are now gone. This is the only thing that's worked for me.
[31:32.000 --> 31:38.000]  I was seriously considering bariatric surgery, but that's out the window now. Thank you so much, synergistic nutrition.
[31:38.000 --> 31:44.000]  With synergistic nutrition, we help you take the guesswork out of supplementation and help you hit the bull's eye of success.
[31:44.000 --> 31:49.000]  It's very specific about your health needs because when you do, your body will celebrate with energy and well-being.
[31:49.000 --> 32:15.000]  This is synergistic nutrition today at 888-988-3325 or visit 1worldway.com. That's 1worldwhey.com.
[32:20.000 --> 32:27.000]  You're getting soap products twice as good as what you're using now, earth-friendly and natural soaps. Your family deserves the best.
