[00:00:01.000 --> 00:00:16.000]  Intro
[00:02:43.000 --> 00:02:47.000]  I'd have mesmerizing media fanning the flame.
[00:02:47.000 --> 00:02:50.000]  The President of the United States is racist.
[00:02:50.000 --> 00:02:54.000]  If I were the devil, I would encourage schools to refine young intellects
[00:02:54.000 --> 00:02:57.000]  but neglect the disciplined emotions just let those run wild.
[00:02:57.000 --> 00:03:00.000]  Within a decade, I'd have prisons overflowing.
[00:03:00.000 --> 00:03:02.000]  I'd have judges promoting pornography.
[00:03:02.000 --> 00:03:04.000]  Soon I could evict God from the courthouse,
[00:03:04.000 --> 00:03:06.000]  then from the schoolhouse,
[00:03:06.000 --> 00:03:08.000]  and then from the houses of Congress.
[00:03:08.000 --> 00:03:12.000]  And in his own churches, I would substitute psychology for religion.
[00:03:13.000 --> 00:03:18.000]  I would lure priests and pastors into misusing boys and girls and church money.
[00:03:18.000 --> 00:03:21.000]  If I were the devil, I'd take from those who have
[00:03:21.000 --> 00:03:23.000]  and give to those who wanted
[00:03:23.000 --> 00:03:26.000]  until I had killed the incentive of the ambitious.
[00:03:27.000 --> 00:03:29.000]  I would caution against extremes.
[00:03:29.000 --> 00:03:32.000]  I'm here to warn people. You keep telling me to shut up.
[00:03:32.000 --> 00:03:33.000]  This isn't a game.
[00:03:33.000 --> 00:03:37.000]  In hard work, in patriotism, in moral conduct,
[00:03:37.000 --> 00:03:39.000]  I would convince the young that marriage is old-fashioned,
[00:03:39.000 --> 00:03:41.000]  that swinging is more fun,
[00:03:41.000 --> 00:03:44.000]  that what you see on TV is the way to be.
[00:03:44.000 --> 00:03:47.000]  And thus I could undress you in public
[00:03:47.000 --> 00:03:52.000]  and I could lure you into bed with diseases for which there is no cure.
[00:03:53.000 --> 00:03:56.000]  In other words, if I were the devil, I'd just keep right on doing what he's doing.
[00:03:56.000 --> 00:03:57.000]  What are you doing?
[00:04:16.000 --> 00:04:20.000]  Now you know the rest of the story.
[00:04:20.000 --> 00:04:23.000]  This is Uncle Sam with music and the truth until dawn.
[00:04:23.000 --> 00:04:27.000]  Right now I've got a few words for some of our brothers and sisters in the occupied zones.
[00:04:27.000 --> 00:04:29.000]  The chair is against the wall.
[00:04:29.000 --> 00:04:31.000]  John has a long mustache.
[00:04:31.000 --> 00:04:34.000]  This is the heart of 1776.
[00:04:34.000 --> 00:04:37.000]  It's 12 o'clock, Americans, another day closer to victory.
[00:04:37.000 --> 00:04:40.000]  And for all of you out there on or behind the lines,
[00:04:40.000 --> 00:04:42.000]  this is your song.
[00:04:54.000 --> 00:04:58.000]  Uncle Sam
[00:05:00.000 --> 00:05:03.000]  Just weeks ago, I warned the world
[00:05:03.000 --> 00:05:06.000]  that the globalists were going to move against Tucker Carlson and take him off the air.
[00:05:06.000 --> 00:05:09.000]  People said, no way, he's the most powerful thing that ever happened.
[00:05:09.000 --> 00:05:11.000]  They've got quadrillions of stolen money.
[00:05:11.000 --> 00:05:14.000]  They only had Tucker Carlson on the air because they believed they could control him.
[00:05:14.000 --> 00:05:17.000]  But as soon as they figured out they couldn't, he was taken off the air.
[00:05:17.000 --> 00:05:19.000]  It's the same thing with Infowars.
[00:05:19.000 --> 00:05:23.000]  But Infowars is not owned by Fox or controlled by George Soros
[00:05:23.000 --> 00:05:26.000]  or owned by Spotify like Joe Rogan.
[00:05:26.000 --> 00:05:29.000]  We are only beholden to our viewers and our listeners.
[00:05:29.000 --> 00:05:32.000]  And when you support us, we're unstoppable.
[00:05:32.000 --> 00:05:36.000]  I'm not underwritten by Rupert Murdoch or by George Soros.
[00:05:36.000 --> 00:05:40.000]  I'm underwritten by you, which is we the people.
[00:05:40.000 --> 00:05:43.000]  So I want to thank you for your support and encourage viewers and listeners to understand.
[00:05:43.000 --> 00:05:46.000]  Please don't take Infowars for granted.
[00:05:46.000 --> 00:05:47.000]  We're barely hanging on.
[00:05:47.000 --> 00:05:50.000]  We need your word of mouth, your prayer, your financial support,
[00:05:50.000 --> 00:05:53.000]  while getting great products at the same time at infowarsstore.com.
[00:05:53.000 --> 00:05:54.000]  So don't procrastinate.
[00:05:54.000 --> 00:05:57.000]  Go to infowarsstore.com, get amazing products that keep us on the air,
[00:05:57.000 --> 00:06:00.000]  and never submit to these tyrants.
[00:06:03.000 --> 00:06:07.000]  We now take you live to the Central Texas Command Center
[00:06:07.000 --> 00:06:09.000]  and the heart of the resistance.
[00:06:09.000 --> 00:06:12.000]  And now, your host, Owen Troyer.
[00:06:17.000 --> 00:06:35.000]  Thunder!
[00:06:35.000 --> 00:06:37.000]  And I'll tell you what.
[00:06:37.000 --> 00:06:40.000]  Crank that AC-DC up.
[00:06:41.000 --> 00:06:48.000]  Thunder!
[00:06:48.000 --> 00:06:54.000]  You know, I remember when I was a child,
[00:06:54.000 --> 00:07:00.000]  you know, they'd play this song at all the big sporting events or pregame,
[00:07:00.000 --> 00:07:05.000]  and I'd get all jacked up to watch my favorite team.
[00:07:05.000 --> 00:07:09.000]  Man, I hear that now, and I'm like, I'm fired up to fight tyranny.
[00:07:09.000 --> 00:07:13.000]  I'm fired up to come on air and speak truth to power.
[00:07:13.000 --> 00:07:16.000]  I'm fired up to inform the masses and save humanity.
[00:07:16.000 --> 00:07:18.000]  That's what gets me fired up now.
[00:07:18.000 --> 00:07:23.000]  Yeah!
[00:07:23.000 --> 00:07:26.000]  I don't even know if I could really get that fired up for a sporting event.
[00:07:26.000 --> 00:07:27.000]  I mean, I still like going.
[00:07:27.000 --> 00:07:28.000]  Don't get me wrong.
[00:07:28.000 --> 00:07:29.000]  I'll have a great time.
[00:07:29.000 --> 00:07:34.000]  But that human energy, that ancient energy,
[00:07:34.000 --> 00:07:36.000]  knowing you're fighting for something good,
[00:07:36.000 --> 00:07:38.000]  you're fighting for prosperity in the future,
[00:07:38.000 --> 00:07:41.000]  that's what gets my blood going now.
[00:07:41.000 --> 00:07:43.000]  All right, ladies and gentlemen.
[00:07:43.000 --> 00:07:46.000]  As always, an honor and a privilege to be filling in for Alex Jones here
[00:07:46.000 --> 00:07:48.000]  on the Alex Jones Show.
[00:07:48.000 --> 00:07:51.000]  On this Friday, April 28th transmission,
[00:07:51.000 --> 00:07:54.000]  Owen Troyer with you for the rest of this transmission.
[00:07:54.000 --> 00:07:58.000]  I'll also be back for the Veterans Call-In Show on the War Room today.
[00:07:58.000 --> 00:08:03.000]  So any veterans listening that want to have their voices heard,
[00:08:03.000 --> 00:08:08.000]  you'll get that opportunity for three hours on the War Room today.
[00:08:08.000 --> 00:08:14.000]  We do have, I'm very excited, for Judge Joe Brown in studio.
[00:08:14.000 --> 00:08:18.000]  He's going to be sitting right there to my right in just an hour.
[00:08:18.000 --> 00:08:20.000]  Very much looking forward to that conversation.
[00:08:20.000 --> 00:08:24.000]  You want to talk about an individual that has just incredible life experience
[00:08:24.000 --> 00:08:29.000]  and just such a smart guy to talk to, Judge Joe Brown with me in studio.
[00:08:29.000 --> 00:08:32.000]  And then I've got a decently sized news desk today,
[00:08:32.000 --> 00:08:36.000]  but we can cover news all day long.
[00:08:36.000 --> 00:08:40.000]  Remember what Tucker Carlson said in his two-and-a-half-minute video
[00:08:40.000 --> 00:08:42.000]  that was so key.
[00:08:42.000 --> 00:08:48.000]  And I think one of Tucker Carlson's best abilities is to take complex
[00:08:49.628 --> 00:09:00.628]  To take complex issues and scenarios and really boil it down to make it easily understandable and consumable.
[00:09:00.628 --> 00:09:02.628]  And so what am I talking about?
[00:09:02.628 --> 00:09:06.628]  Well, we've got situations developing.
[00:09:07.827 --> 00:09:18.387]  That are good in that the corporate media and the establishment attacks against RFK
[00:09:18.387 --> 00:09:28.307]  Jr. are going to have a similar impact on what happened to Donald Trump and Republicans
[00:09:28.307 --> 00:09:29.307]  in 2016.
[00:09:29.307 --> 00:09:32.107]  Now, I don't think it's going to be nearly as big.
[00:09:32.107 --> 00:09:37.627]  I could be wrong about that just because I don't really, I mean, I'm not into Democrat
[00:09:37.627 --> 00:09:38.627]  stuff.
[00:09:38.627 --> 00:09:41.067]  I'm not into liberal stuff.
[00:09:41.067 --> 00:09:48.627]  So there could be a powder keg there, but at the time, I mean, with Donald Trump it
[00:09:48.627 --> 00:09:54.507]  was obvious pretty much out of the gates, to me at least, how that was going to go.
[00:09:54.507 --> 00:10:01.307]  I don't really have that same measurement of the RFK situation, but watching the corporate
[00:10:01.307 --> 00:10:07.547]  media censor him and what he has to say, and watching the Democrat party keep him
[00:10:07.547 --> 00:10:13.307]  away from the public so no debates, they'll try to cancel the primaries if they can, altogether.
[00:10:13.578 --> 00:10:23.578]  This is going to have a major effect on the American left, because let's not forget.
[00:10:24.472 --> 00:10:34.472]  Most of the Republican Party loyalists and voters were not anti-establishment like they are now.
[00:10:34.472 --> 00:10:38.472]  That was not a substantial thing.
[00:10:38.472 --> 00:10:43.472]  Sure, you had the anti-establishment right wing, just like you have the anti-establishment left wing,
[00:10:43.472 --> 00:10:48.472]  but it was nowhere near where it's at today, and that was because of Donald Trump,
[00:10:48.472 --> 00:10:51.472]  the media response, the censorship, and everything else.
[00:10:51.472 --> 00:10:57.472]  Well, now that's happening to RFK Jr., and some liberals and democrats are scratching their heads saying,
[00:10:57.472 --> 00:11:00.472]  well, wait a second, what the heck is going on here?
[00:11:00.472 --> 00:11:03.472]  It just shows how corrupt the corporate media is.
[00:11:03.472 --> 00:11:10.472]  So we've got a big story with that, and I think it also ties into what's going on with Tucker.
[00:11:10.472 --> 00:11:14.472]  A lot of liberals like Tucker Carlson.
[00:11:16.235 --> 00:11:21.235]  When he makes statements like he did,
[00:11:21.235 --> 00:11:24.235]  saying, you know, most of what we talk about is really inconsequential,
[00:11:24.235 --> 00:11:27.235]  here are the real things that matter, and he's right.
[00:11:26.991 --> 00:11:40.790]  That is a universal message that will land for some liberals, and I think it
[00:11:40.790 --> 00:11:46.031]  will kind of, I don't know what the angle here is, if it's, will they stop being so
[00:11:46.031 --> 00:11:50.751]  intolerant? Will they stop being so hateful? Will they stop buying into the
[00:11:50.751 --> 00:11:54.111]  lies that their friends in the media and the government tell them?
[00:11:54.111 --> 00:11:59.511]  Because they like Tucker Carlson. Some of them know Tucker Carlson. They know
[00:11:59.511 --> 00:12:03.071]  he's not a racist. He's not a bigot. He's not this, that, or the other thing. They
[00:12:03.071 --> 00:12:07.951]  know that, and then watching the media lie about him, watching the media censor
[00:12:07.951 --> 00:12:12.111]  RFK Jr., maybe they'll finally get it. Now, will they be able to connect that to
[00:12:12.111 --> 00:12:16.831]  what was done? Have that understanding? I'm not sure. I'm not even sure if it
[00:12:16.831 --> 00:12:23.191]  would matter, but I see that going on big time right now, and there's no amount of
[00:12:23.191 --> 00:12:29.711]  censorship that the American left can engage in that will hide the fact that
[00:12:29.711 --> 00:12:37.391]  Joe Biden is completely incompetent and mentally and physically incapable of
[00:12:37.391 --> 00:12:41.310]  being president for another four years, let alone another two, let alone another
[00:12:41.310 --> 00:12:43.711]  six.
[00:12:42.317 --> 00:13:04.317]  So for them to be censoring RFK Jr., a truly viable challenge in the Democrat Party to Joe Biden, and even Marianne Williamson, who I don't really think is a viable threat, but she's put in enough of the work politically to at least get recognition.
[00:13:04.431 --> 00:13:11.951]  So I don't think they take this one lying down, and this isn't going to be like Bernie
[00:13:11.951 --> 00:13:19.431]  Sanders in 2016 and 2020, like a stalking horse for Hillary Clinton or Joe Biden, pretending
[00:13:19.431 --> 00:13:24.031]  he wants to run, getting the big populace left, anti-establishment left behind him,
[00:13:24.031 --> 00:13:30.351]  doing all the organic grassroots fundraising and activism, and then just laying down when
[00:13:30.351 --> 00:13:31.671]  it's time to go.
[00:13:31.671 --> 00:13:34.951]  When the light turns green, he turns his engine off.
[00:13:34.951 --> 00:13:35.951]  It's not going to be like that.
[00:13:35.951 --> 00:13:45.151]  RFK Jr. is serious, and I think Marianne Williamson is serious enough to at least raise a fuss
[00:13:45.151 --> 00:13:50.551]  and have an issue with how she's been treated by the Democrat Party and the mainstream media.
[00:13:50.551 --> 00:13:57.391]  So yeah, we've dealt with this now for a while, the censorship, the lies, the attacks, the
[00:13:57.391 --> 00:14:02.711]  corporate pests aimed against us and everything else, and now the left is getting a little
[00:14:02.711 --> 00:14:07.711]  taste of that, and they're getting a little experience with that.
[00:14:07.711 --> 00:14:08.991]  We'll see how deep it goes.
[00:14:10.195 --> 00:14:14.195]  But they can't stop the debate on Joe Biden's health.
[00:14:14.195 --> 00:14:16.195]  We also have some news.
[00:14:16.461 --> 00:14:23.461]  Dealing with the geopolitical developments in Ukraine and now China.
[00:14:24.529 --> 00:14:27.609]  And the easiest way to put it is
[00:14:29.249 --> 00:14:34.469]  Well, this wouldn't be the best metaphor, but we've all heard you know when when dad's away the kids will play well
[00:14:34.689 --> 00:14:40.049]  the United States of America is no longer respected by any foreign power and
[00:14:40.929 --> 00:14:42.929]  so Russia and China and
[00:14:43.249 --> 00:14:50.949]  Iran and others are just gonna do whatever the hell they want not fearing any response or any legitimate threat
[00:14:51.409 --> 00:14:53.409]  from the United States of America
[00:14:54.249 --> 00:15:00.649]  Which you could argue is a good thing or a bad thing the point is the story is that our world ranking is
[00:15:01.409 --> 00:15:03.409]  sliding and
[00:15:03.929 --> 00:15:05.569]  It is
[00:15:05.569 --> 00:15:10.249]  Directly because Joe Biden is the president of the United States and everything that follows
[00:15:11.329 --> 00:15:16.088]  So it's not just that the crime rates are skyrocketing. It's not just the inflation
[00:15:16.289 --> 00:15:19.088]  They just came out with a new GDP growth 1%
[00:15:19.088 --> 00:15:23.969]  I mean folks this country is moving at a snail's pace and
[00:15:24.849 --> 00:15:28.569]  Of course it is with Joe Biden as your president. That's that's the physical representation
[00:15:31.289 --> 00:15:33.289]  So this is all directly
[00:15:34.289 --> 00:15:39.848]  Right back to the Biden White House and the world knows it the note the world knows the Biden White House is a joke
[00:15:39.969 --> 00:15:43.969]  The world knows Joe Biden is incompetent and uncapable incapable
[00:15:44.529 --> 00:15:47.329]  So we've got that and so much more today on the Alex Jones show
[00:15:48.049 --> 00:15:49.209]  Do not go anywhere
[00:15:49.209 --> 00:15:55.169]  The only place you should go is info or store.com to make a purchase so we can keep this broadcast on the air
[00:16:00.009 --> 00:16:00.969]  Just weeks ago
[00:16:00.969 --> 00:16:01.649]  I
[00:16:01.649 --> 00:16:07.209]  Warned the world that the globalists were gonna move against Tucker Carlson to take him off the air people said no way
[00:16:07.209 --> 00:16:10.689]  He's the most pop would ever happen. They've got quadrillions of stolen money
[00:16:10.729 --> 00:16:13.569]  They only had to cross on the air because they believe they control him
[00:16:13.569 --> 00:16:16.529]  But as soon as they figured out they couldn't he was taken off the air
[00:16:16.529 --> 00:16:22.609]  it's the same thing with them for wars, but info wars is not owned by Fox or controlled by George Soros or
[00:16:23.129 --> 00:16:30.529]  Owned by Spotify like Joe Rogan. We are only beholden to our viewers our listeners and when you support us, we're unstoppable
[00:16:30.689 --> 00:16:35.569]  I'm not underwritten by Rupert Murdoch or by George Soros
[00:16:35.569 --> 00:16:42.088]  I'm underwritten by you, which is we the people so I want to thank you for your support encourages listeners understand
[00:16:42.369 --> 00:16:46.409]  Please don't take info wars for granted. We're barely hanging on
[00:16:46.409 --> 00:16:52.169]  We need your word of mouth your prayer your financial support while getting great products at the same time and then full work store.com
[00:16:52.169 --> 00:16:59.088]  So don't procrastinate go to him for sure. I come get amazing products that keep us on the air and never submit to these tyrants
[00:16:59.609 --> 00:17:06.089]  They decided to not herp walking not put him in handcuffs not do a mugshot because they knew that that would help Trump
[00:17:06.409 --> 00:17:08.209]  Didn't they know this would backfire?
[00:17:08.209 --> 00:17:10.609]  We were waiting for the mugshot we learned today
[00:17:10.609 --> 00:17:14.089]  They wouldn't have it so we've made our own and it says political
[00:17:14.449 --> 00:17:19.729]  Prisoner with an image of President Trump. The shirt is being printed now in Texas
[00:17:19.729 --> 00:17:25.489]  It will be shipping out to you in one week political prisoner with Trump on the front
[00:17:25.489 --> 00:17:29.809]  They're in a mugshot jail background. It's a fundraiser shirt
[00:17:29.809 --> 00:17:36.609]  It says info wars comm on the back of the shirt. We also have Alex Jones for president. No, I'm not running for president
[00:17:36.609 --> 00:17:40.929]  It's a really nice navy blue high-quality shirt red white and blue Alex Jones for president
[00:17:41.249 --> 00:17:46.249]  2024 it's a fun conversational piece and a limited-edition shirt great way to fund the operation
[00:17:46.249 --> 00:17:50.569]  So get your Alex Jones for president and Trump mugshot
[00:17:51.129 --> 00:17:53.129]  shirts at info war store
[00:17:53.769 --> 00:17:58.409]  Comm or by calling toll free triple-a two five three three one three nine
[00:18:00.009 --> 00:18:03.049]  Hydrofluorosilicic acid is the third most deadly
[00:18:03.689 --> 00:18:10.168]  Acid on earth and they've got our children drinking that this is a psychotic death cult
[00:18:10.649 --> 00:18:13.649]  Period case closed out to get you and your family
[00:18:13.649 --> 00:18:18.489]  We sell the Alexa pure breeze made by the my patron supply ready our group
[00:18:18.489 --> 00:18:21.769]  It's been around about 15 years became the biggest company in the last six
[00:18:21.769 --> 00:18:27.449]  They went out hired engineers reverse engineered the fancy best water filter system out there that sells for twice the price
[00:18:27.729 --> 00:18:29.729]  And they made it as good
[00:18:30.089 --> 00:18:36.129]  In all the studies it reduces things to non detectable levels thousands of chemicals, but you can go pay two or three times
[00:18:36.129 --> 00:18:38.729]  There's four or five other filters out there that are just as good
[00:18:38.889 --> 00:18:45.089]  We sell the very best highest grade water filtration system for half the price of leading competitor and the media
[00:18:45.329 --> 00:18:51.529]  Says we're bad and a cult for telling you you should filter your water. You should also filter your shower water
[00:18:51.529 --> 00:18:54.529]  That's another way you absorb this crap, but but I'm done talking about that
[00:18:54.529 --> 00:18:59.209]  The point is you get the filters at m4 store comm they're discounted right now finally back in stock
[00:18:59.729 --> 00:19:05.889]  Ladies and gentlemen this book The Great Reset and War for the World is a historic book that documents the globalist in their own
[00:19:05.889 --> 00:19:09.689]  Words planned for our future that is a hellish future now
[00:19:09.689 --> 00:19:11.809]  You'll be always while they still allow books
[00:19:11.809 --> 00:19:15.649]  I guess they're starting to ban them be able to get an unsigned copy of The Great Reset and War for the World
[00:19:15.929 --> 00:19:18.529]  At bookstores Amazon or in for short icon
[00:19:18.649 --> 00:19:23.329]  But you will never be able to get another signed copy of the book after the signed copies
[00:19:23.329 --> 00:19:26.409]  We got run out and there's about a thousand left of them right now
[00:19:26.809 --> 00:19:32.249]  So get your copy of The Great Reset and The War for the World a signed copy and in for short icon
[00:19:32.249 --> 00:19:36.168]  And there is a markup there because this is a fundraiser to keep us on the air
[00:19:36.168 --> 00:19:42.009]  So you won't just have this historic memento and this powerful book. You'll also know that you help keep employers on the air
[00:19:42.009 --> 00:19:45.969]  I'm gonna thank those of you that have gotten signed copies of the book or unsigned copies
[00:19:45.969 --> 00:19:47.969]  But I want to encourage all of you who?
[00:19:48.249 --> 00:19:54.449]  Haven't yet to go to info or store.com and get a signed copy and buy a couple of unsigned copies and donate to the library
[00:19:54.809 --> 00:19:59.089]  Give them to the local school. This is an info war. I'm counting on you and thank you for your support
[00:20:00.609 --> 00:20:06.449]  Leading a frontal assault on the lies of the New World Order. It's Alex Jones
[00:20:08.400 --> 00:20:32.120]  Alright, let's start here by getting into the Democrat Party's treatment of Robert F.
[00:20:32.120 --> 00:20:43.280]  Kennedy Jr. candidate for president and their censorship of his campaign and his statements, specifically recently on ABC News.
[00:20:43.280 --> 00:20:48.720]  Now, there is this is a very deep, deep pool to dive into.
[00:20:48.720 --> 00:21:02.320]  It goes beyond just the surface of the obvious ABC News censoring R.F.K. Jr. and then lying about what he's saying.
[00:21:02.320 --> 00:21:08.920]  ABC News admits it censored R.F.K. Jr. interview for false claims about COVID-19 vaccines.
[00:21:08.920 --> 00:21:16.520]  Another ABC News host tells R.F.K. Jr. he's too critical of the CIA, proceeds to censor him while speaking about vaccines.
[00:21:17.120 --> 00:21:24.560]  Folks, can you imagine some I mean, this is beyond the pale.
[00:21:24.560 --> 00:21:29.880]  Can you imagine somebody going up to anybody in the Kennedy family and saying you're too critical of the CIA?
[00:21:30.180 --> 00:21:37.740]  Oh, you mean the CIA that killed our family members?
[00:21:37.740 --> 00:21:39.060]  We're too critical.
[00:21:39.060 --> 00:21:42.160]  You're too critical of that rapist that raped your mother.
[00:21:42.160 --> 00:21:44.340]  You're too critical of that rapist that raped your daughter.
[00:21:44.340 --> 00:21:45.980]  How dare you?
[00:21:45.980 --> 00:21:49.060]  You're too critical of the CIA that killed your father.
[00:21:49.060 --> 00:21:50.660]  Wow.
[00:21:50.660 --> 00:21:52.220]  Please keep doing that.
[00:21:52.220 --> 00:21:58.100]  That will only give more fuel to the RFK campaign.
[00:21:58.100 --> 00:22:07.820]  So he goes on ABC News, ABC News Live Prime with the host there.
[00:22:07.820 --> 00:22:10.460]  I don't even know her name and it's funny because I'm reading all these articles and
[00:22:10.460 --> 00:22:13.820]  nobody even says her name and it just shows how irrelevant she is and there's a reason
[00:22:13.820 --> 00:22:18.020]  why she's irrelevant because she censors real information and doesn't bat an eye.
[00:22:18.020 --> 00:22:20.080]  And that's a whole other story that comes out of this.
[00:22:20.080 --> 00:22:27.540]  But here's the clip where they cut Robert F. Kennedy's segment short because he's talking
[00:22:27.540 --> 00:22:28.540]  about the vaccine.
[00:22:28.540 --> 00:22:32.100]  Here it is in clip four.
[00:22:32.100 --> 00:22:35.540]  We should note that during our conversation, Kennedy made false claims about the COVID-19
[00:22:35.540 --> 00:22:36.540]  vaccines.
[00:22:36.540 --> 00:22:40.220]  Data shows that the COVID-19 vaccines prevented millions of hospitalizations and deaths from
[00:22:40.220 --> 00:22:41.220]  the disease.
[00:22:41.220 --> 00:22:45.300]  He also made misleading claims about the relationship between vaccination and autism.
[00:22:45.300 --> 00:22:49.540]  Research shows that vaccines and the ingredients used for the vaccines do not cause autism,
[00:22:49.540 --> 00:22:53.140]  including multiple studies involving more than a million children and major medical
[00:22:53.140 --> 00:22:57.460]  associations like the American Academy of Pediatrics and the advocacy group Autism
[00:22:57.460 --> 00:22:58.460]  Speaks.
[00:22:58.460 --> 00:23:02.780]  We've used our editorial judgment and not including extended portions of that exchange
[00:23:02.780 --> 00:23:04.140]  in our interview.
[00:23:04.140 --> 00:23:07.460]  We thank Mr. Kennedy for the conversation.
[00:23:07.460 --> 00:23:10.340]  Again, I forget the name of this lady.
[00:23:10.340 --> 00:23:12.000]  She's been around for a couple of years now.
[00:23:12.000 --> 00:23:16.340]  She's not really, you know, it's not like she's been around forever, but she's been
[00:23:16.340 --> 00:23:21.500]  around long enough to be considered corporate establishment press now.
[00:23:21.500 --> 00:23:26.460]  But but before I even get into the RFK situation, let's talk about the situation in the media.
[00:23:27.460 --> 00:23:28.820]  What is this woman's job?
[00:23:28.820 --> 00:23:29.820]  I'm sorry, I forget her name.
[00:23:29.820 --> 00:23:31.420]  If you guys could find her name for me, that'd be great.
[00:23:31.420 --> 00:23:33.380]  If not, it's no big deal because what's her name?
[00:23:33.380 --> 00:23:34.940]  Her name is irrelevant.
[00:23:34.940 --> 00:23:35.940]  What's her name?
[00:23:35.940 --> 00:23:37.020]  Her name is unimportant.
[00:23:37.020 --> 00:23:38.020]  What's her name?
[00:23:38.020 --> 00:23:39.020]  Her name is sellout.
[00:23:39.020 --> 00:23:40.020]  What's her name?
[00:23:40.020 --> 00:23:40.620]  Her name is corporate press head.
[00:23:40.790 --> 00:23:48.230]  But so, what is her job?
[00:23:48.230 --> 00:23:50.909]  What is her job?
[00:23:50.909 --> 00:23:59.790]  Her job is to sit down at that news desk and read whatever is on that teleprompter.
[00:23:59.790 --> 00:24:02.950]  That is her job.
[00:24:02.950 --> 00:24:06.950]  And I've dealt with these people, the good, the bad, and the ugly.
[00:24:06.950 --> 00:24:13.510]  Most of them, folks, are about as informative and informed themselves as the canister of
[00:24:13.510 --> 00:24:17.270]  hairspray they use every day before they go on air.
[00:24:17.270 --> 00:24:22.670]  Most of them are so high on hairspray and makeup that they really don't even have a
[00:24:22.670 --> 00:24:26.430]  clue the world they live in, and that's just the God's honest truth.
[00:24:26.430 --> 00:24:34.629]  Most of them are just obsessed with themselves and the prestige that comes with being on television.
