[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[15:26.000 --> 15:36.000]  And after we come back, we're going to break shortly after we come back, I'm going to tell you where this is going because the attack on the First Amendment is just the opening salvo
[15:36.000 --> 15:45.000]  of this very dangerous war that the left wants to turn into a complete cultural revolution to exterminate conservative voices all across America.
[15:45.000 --> 15:59.000]  Thank Adam's here on Info Wars. Stay with us. We'll be right back.
[15:59.000 --> 16:06.000]  You know, if I tried to sit here and tell you about the 60 plus products, we haven't in Polar's life. It'd take hours.
[16:06.000 --> 16:15.000]  Michael ZX Plus now has a lower price. It's stronger. It's the other equation in probiotics. It knocks out the yeast, the mold, the candida.
[16:15.000 --> 16:23.000]  It's back in stock. The real red pill, it's been sold out for months. It's got the preglonone that's the precursor to all the natural hormones in your body.
[16:23.000 --> 16:26.000]  Then it's got all the minerals and the vitamins, the amino acids.
[16:26.000 --> 16:36.000]  I uploaded in our latest product that goes great with the super blue colloidal silver and iodine 4 to 5 toothpaste is super blue silver immune gargle.
[16:36.000 --> 16:44.000]  That's a spray you do. You can also swallow it. It's a supplement with iodine, super high quality silver and a lot more.
[16:44.000 --> 16:51.000]  Without you, we couldn't do it. So thank you all for remembering InfoWarsTore.com and remembering that it's not just you that's already awake,
[16:51.000 --> 16:58.000]  but it's other people that aren't awake and it's so essential to spread the word. Again, thank you so much for being part of the Second American Revolution.
[16:58.000 --> 17:12.000]  It's been sold out for months and now it's back. It's Michael ZX Plus. Lower price, more ingredients because we scaled up, signed to your contract with an even bigger organic manufacturer and producer.
[17:12.000 --> 17:22.000]  Scalability, but now we're able to go at 50% off to $27 instead of $39, 50% off because there's a lot of product and a lot of ingredient, Michael ZX.
[17:22.000 --> 17:29.000]  Now it's the other side of the equation. Everybody thinks about probiotics and how great they are for your gut because you have toxins in the environment, pesticides, herbicides,
[17:29.000 --> 17:33.000]  but more importantly than bad bacteria, the probiotics help displace.
[17:33.000 --> 17:42.000]  Yeast mold creates slime walls and once the candida and the yeast and the mold and all that get in there, it causes all sorts of psoriasis.
[17:42.000 --> 17:48.000]  Well, this has got a bunch of concentrated herbs in it and compounds known to destroy that slime wall.
[17:48.000 --> 17:51.000]  Don't wait to start detoxifying your body until it's too late.
[17:51.000 --> 17:59.000]  Pick up a bottle of the new and improved Michael ZX Plus now from the InfoWarsTore.
[17:59.000 --> 18:08.000]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[18:08.000 --> 18:14.000]  That's right. Now's the time to build your own food storage with Harvest Rights Freeze Dryers.
[18:14.000 --> 18:21.000]  Go to InfoWarsTore.com to learn more and check out this innovative and smart technology that's easy to use.
[18:21.000 --> 18:28.000]  And let me tell you something. It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[18:28.000 --> 18:30.000]  Woo! That's what I'm talking about.
[18:30.000 --> 18:38.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[18:38.000 --> 18:48.000]  Harvest Rights Freeze Dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:48.000 --> 18:51.000]  Now, that's what I call the miracle of food preservation.
[18:51.000 --> 18:55.000]  Harvest Rights is truly the world's best, most affordable freeze dryer.
[18:55.000 --> 18:59.000]  So what are you waiting for? Check it out right now at InfoWarsTore.com.
[19:02.000 --> 19:05.000]  Let's go to Debit in Florida. Debit in Florida, you're on the air.
[19:05.000 --> 19:12.000]  Great. Hey, thank you so much. Listen, I have bought your product and I gotta say they're amazing.
[19:12.000 --> 19:21.000]  Anyone who's on the fence, buy it because I've got cave-in, superman vitality, secret swell, vitamin interfusion, I've got the body armor.
[19:21.000 --> 19:22.000]  Wow, thank you.
[19:22.000 --> 19:24.000]  You're the type of listener that makes it all possible.
[19:24.000 --> 19:26.000]  Which nutraceuticals do you like best?
[19:26.000 --> 19:31.000]  I really like the vitamin mineral fusion, to be honest. That's really incredible.
[19:31.000 --> 19:35.000]  I drank it in the morning and I swear to you, I felt incredible. Like, I haven't felt sweet.
[19:35.000 --> 19:40.000]  My morning was fantastic and I love you guys. I love the InfoWarsTore.
[19:40.000 --> 19:47.000]  And I just want to, yeah, I want to take this opportunity to tell anybody out there who's on the fence, just buy it.
[19:47.000 --> 19:50.000]  We'll love it. I'm telling you, I've never bought a bad product.
[19:50.000 --> 19:55.000]  What you find in our news is the same thing you find in our products at InfoWarsLife.com.
[19:55.000 --> 19:57.000]  It's a win-win, InfoWarsLife.com.
[19:57.000 --> 20:18.000]  You're listening to the Alex Jones show.
[20:18.000 --> 20:35.000]  InfoWars.com is tomorrow's news. Today, you're listening to the Alex Jones show.
[20:35.000 --> 20:38.000]  This is Mike Adams filling in for Alex Jones on this Sunday.
[20:38.000 --> 20:45.000]  InfoWars.com is the website and it's true that you get tomorrow's news today on InfoWars.com.
[20:45.000 --> 20:50.000]  They've got a team of amazing writers. I get to talk to them behind the scenes here from time to time
[20:50.000 --> 20:55.000]  because, you know, I'm a fellow journalist as well. I run a crew of journalists for my operation.
[20:55.000 --> 20:59.000]  And just what I see here is just a sense of incredible professionalism.
[20:59.000 --> 21:04.000]  Also, for the people running the studio, they're just so easy to work with, so skilled.
[21:04.000 --> 21:06.000]  They know exactly what they're doing. It's an honor to be here.
[21:06.000 --> 21:11.000]  Thank you for joining us. We've been covering, of course, the attack on the First Amendment.
[21:11.000 --> 21:15.000]  It's vicious. It has been escalated to a whole new level of attack.
[21:15.000 --> 21:21.000]  And they're trying to go for broke now. They're trying to silence all conservative voices ahead of the midterm elections.
[21:21.000 --> 21:27.000]  They want to impeach Trump, put a Democrat in the White House, and then continue their so-called cultural revolution,
[21:27.000 --> 21:33.000]  which I'm calling an online ethnic cleansing against all voices with whom they disagree.
[21:33.000 --> 21:40.000]  And that's the real, that's the danger in this. You see, the attack on the First Amendment is just the opening salvo.
[21:40.000 --> 21:47.000]  Next, they want to take the Second Amendment. You see, they've got to take the First Amendment in order to get the Second Amendment
[21:47.000 --> 21:54.000]  so that you can't fight back. You can't talk back. You can't speak. You can't raise awareness online.
[21:54.000 --> 22:01.000]  They want to silence everyone who is pro-liberty, pro-freedom, pro-America, pro-Trump, pro-Second Amendment, pro-even natural health,
[22:01.000 --> 22:05.000]  for that matter, pro-organic, home gardening, pro-homeschooling.
[22:05.000 --> 22:09.000]  They want to silence you all because they have to control the narrative. It's shocking.
[22:09.000 --> 22:14.000]  You know, if you think about it, the left has, they've monopolized academia.
[22:14.000 --> 22:18.000]  They've monopolized Hollywood. They've monopolized the deep state of government.
[22:18.000 --> 22:25.000]  They have total control of academia, practically. They have control over, you know, the public school systems
[22:25.000 --> 22:29.000]  and how they're indoctrinating your children to believe all these falsehoods.
[22:29.000 --> 22:34.000]  They're setting home white privilege pamphlets with, what is it, second graders now? It's unreal.
[22:34.000 --> 22:43.000]  The Internet is the thing they don't control. And the Internet, they know, is it's a platform for free speech.
[22:43.000 --> 22:49.000]  It's a platform for decentralized information, which is, by definition, more toward freedom.
[22:49.000 --> 22:54.000]  You see, centrally controlled information is bad. It becomes corrupt. It becomes evil.
[22:54.000 --> 22:58.000]  It becomes your tech overlords trying to control what you say and think.
[22:58.000 --> 23:03.000]  But decentralized information, which is the Internet, you've got a million different news websites to go to.
[23:03.000 --> 23:07.000]  You've got a million different voices, a million different podcasts, different video channels.
[23:07.000 --> 23:13.000]  They are now clamping down and trying to shut them down because it's a run-up to the next step,
[23:13.000 --> 23:18.000]  which is to disarm all pro-gun Americans. And you know what comes after that?
[23:18.000 --> 23:21.000]  I'm telling you, you know what comes after that?
[23:21.000 --> 23:28.000]  Gonna, I don't even know if I should be saying this, but look, this is their blueprint. This is their plan.
[23:28.000 --> 23:33.000]  It is a cultural revolution type of extermination of all conservative voices.
[23:33.000 --> 23:38.000]  I mean, this, look, this was in the Twitter CEO pushing this article.
[23:38.000 --> 23:44.000]  The article says that there's a fundamental conflict between two worldviews that must be resolved in short order.
[23:44.000 --> 23:52.000]  And they want it to be resolved, of course, on the side of Democrats, which means they must eliminate conservative thinkers.
[23:52.000 --> 23:57.000]  They must eliminate libertarians. They have to get rid of you.
[23:57.000 --> 24:02.000]  This happened before throughout history multiple times over and over and over again.
[24:02.000 --> 24:05.000]  It happened under Stalin. It happened under Mao.
[24:05.000 --> 24:10.000]  It happened, you know, in the Chinese Cultural Revolution when the young people flooded out of their homes
[24:10.000 --> 24:15.000]  and they said, old people are bad and they started murdering academics and killing people
[24:15.000 --> 24:20.000]  because they wore glasses, reading glasses, because they thought those people must know something.
[24:20.000 --> 24:25.000]  We have to murder those people so that we, the new young radical left-wing communist youth, can take over.
[24:25.000 --> 24:30.000]  And they did take over. And they called the government on their own parents and they pulled people out of their homes
[24:30.000 --> 24:34.000]  and they bashed them over the heads with baseball bats and bricks and murdered them.
[24:34.000 --> 24:41.000]  And they loved it because they said we have to win because you can't have informed, intelligent, critical thinking people
[24:41.000 --> 24:47.000]  in this society because we, the new radical communist left-wing youth, have to take over
[24:47.000 --> 24:51.000]  because we know what's best for China and now they run China.
[24:51.000 --> 24:55.000]  Because that was, of course, several decades ago. Now it's a communist regime.
[24:55.000 --> 25:00.000]  It is a model for America. First, they take away your freedom of speech.
[25:00.000 --> 25:05.000]  That's what's happening today, now on Google and YouTube and Facebook and Twitter and other platforms.
[25:05.000 --> 25:09.000]  And then they disarmed you. They take away your second amendment and there's a big push for that.
[25:09.000 --> 25:15.000]  Look at Deerfield, Illinois right now. They just passed a law that says if you don't turn in your guns,
[25:15.000 --> 25:18.000]  you're going to be fined up to $1,000 a day.
[25:18.000 --> 25:22.000]  Even though, whoa, you're supposed to have a constitutional right to defend yourself.
[25:22.000 --> 25:27.000]  But because the bureaucrats at Deerfield have decided what's best for you,
[25:27.000 --> 25:32.000]  even though they know the police can't protect you, they want to disarm the law-abiding citizens
[25:32.000 --> 25:37.000]  leaving a monopoly of guns in the hands of the government and the criminals.
[25:37.000 --> 25:43.000]  And that's Deerfield. And, of course, it's being challenged by pro-second amendment legal organizations,
[25:43.000 --> 25:50.000]  as it must be, but this can happen town by town, village by village, city by city, state by state,
[25:50.000 --> 25:53.000]  all across America. They can and will come for your guns.
[25:53.000 --> 25:57.000]  They're coming to take them away because they have to silence you.
[25:57.000 --> 26:03.000]  They can't murder you unless they disarm you first and they can't disarm you until they silence you.
[26:03.000 --> 26:07.000]  You see how it happens? It's a chain reaction of events.
[26:07.000 --> 26:12.000]  They've taken away your free speech so they can disarm you so they can murder you.
[26:12.000 --> 26:15.000]  This is where it always goes throughout history.
[26:15.000 --> 26:23.000]  Now, the 50-year anniversary of, I believe, the assassination of Martin Luther King was just last week,
[26:23.000 --> 26:29.000]  Martin Luther King Jr. And when I go back and listen to the speeches of Dr. King,
[26:29.000 --> 26:35.000]  I am inspired because I know that if he were alive today, he would be sitting in a studio much like this one
[26:35.000 --> 26:39.000]  and saying much the same thing, which is that we all have the right to freedom of speech.
[26:39.000 --> 26:44.000]  We all have divine human rights. And think about how the left has gone from,
[26:44.000 --> 26:49.000]  I have a dream, to now, the slogan is, silence, whitey.
[26:49.000 --> 26:52.000]  You know, it's like, kill all the Christians and kill all the white people.
[26:52.000 --> 26:57.000]  It used to be, I have a dream that our children would grow up in a land where we were judged,
[26:57.000 --> 27:00.000]  not by the color of our skin, but by the content of our character.
[27:00.000 --> 27:05.000]  And today, they're like, judge white people by the color of their skin, silence them, murder them.
[27:05.000 --> 27:09.000]  Kill people by their religion, cut them off, ban them off of Twitter, ban them off of YouTube.
[27:09.000 --> 27:15.000]  This is what the left has come to today. It is shameful. It is an embarrassment to humanity.
[27:15.000 --> 27:21.000]  Let's listen to the inspiring words of Dr. King first, right now, because I want you to feel the power
[27:21.000 --> 27:27.000]  of when he was talking about liberty. Dr. King was pro-liberty. Let's listen to him.
[27:27.000 --> 27:37.000]  So even though we face the difficulties of today and tomorrow, I still have a dream.
[27:37.000 --> 27:51.000]  It is a dream deeply rooted in the American dream. I have a dream that one day this nation will rise up
[27:51.000 --> 28:02.000]  and live out the true meaning of its creed. We hold these truths to be self-evident that all men are created equal.
[28:02.000 --> 28:07.000]  And there he said it. We hold these truths to be self-evident. Pause that video.
[28:07.000 --> 28:12.000]  We hold these truths to be self-evident that all people, he would mean in today's language,
[28:12.000 --> 28:16.000]  are created equal, that all people have access to their basic human rights.
[28:16.000 --> 28:21.000]  And you know what? I look at Diamond and Silk today, and although their style is different from Martin Luther King Jr.,
[28:21.000 --> 28:26.000]  they have a similar message, which is that we all have the right to speak.
[28:26.000 --> 28:32.000]  That even if you don't like our speech, you can't censor us. You are creating an unjust society.
[28:32.000 --> 28:37.000]  You are creating a dangerous society. When we come back, I'll tell you more about where they're going with this,
[28:37.000 --> 28:42.000]  because there's more. They want to take this to an escalation. They want to take this to a civil war.
[28:42.000 --> 28:47.000]  I'll tell you why when we come back. This is Mike Adams filling in for Alex Jones today on Infowars.com.
[28:47.000 --> 28:48.000]  Stay with us.
[28:59.000 --> 29:05.000]  Infowars Life Brain Force Plus is our number one selling product by leaps and bounds, and for a good reason.
[29:05.000 --> 29:09.000]  Going back about five years ago, we did research on what top-selling new tropics were,
[29:09.000 --> 29:14.000]  what were most popular, what were best, what people liked, and we made it even stronger.
[29:14.000 --> 29:19.000]  Then we cut the price, because leading competitors have five to seven times markup.
[29:19.000 --> 29:23.000]  We only have 150%, and then it helps fund our operation.
[29:23.000 --> 29:32.000]  Well, now it's 50% off. That means we've got a 25% markup, and we've got it paired with the real red pill
[29:32.000 --> 29:36.000]  that takes about seven days to kick in. Brain Force takes about 30 minutes.
[29:36.000 --> 29:42.000]  But the two go together. It's the mind and body challenge. They're both 50% off individually,
[29:42.000 --> 29:49.000]  or together they're 50% off and free shipping with the combo at InfowarsLife.com.
[29:49.000 --> 29:54.000]  But it's got to end in a couple days, because both of these bestsellers are about to sell out
[29:54.000 --> 29:59.000]  InfowarsLife.com to get your Brain Force Plus and real red pill today.
[30:00.000 --> 30:01.000]  Hey, how you doing?
[30:01.000 --> 30:02.000]  Good, brother.
[30:02.000 --> 30:06.000]  I personally start using your products. Everything you said about them is correct.
[30:06.000 --> 30:10.000]  Me and my wife both use a lot of them, and it's made a lot of changes in our lives here.
[30:10.000 --> 30:13.000]  Well, thank you, brother, because it also funds our operation, but doing that,
[30:13.000 --> 30:15.000]  I know I'm going to have the highest quality.
[30:15.000 --> 30:21.000]  Supermail vitality was developed to activate your body's own natural processes
[30:21.000 --> 30:23.000]  instead of using synthetic chemicals.
[30:23.000 --> 30:28.000]  We do the supermail and the superfemale vitality. Big changes, a lot of energy.
[30:28.000 --> 30:32.000]  All for the cheap energy drinks, energy shots, they've got a ton of money there.
[30:32.000 --> 30:36.000]  Sourced from powerful organic herbs, harvested around the planet,
[30:36.000 --> 30:40.000]  and then concentrated, or maximum potency.
[30:40.000 --> 30:44.000]  They want to stun and dumb down, and energy drinks and stuff just cover that up for a while,
[30:44.000 --> 30:46.000]  but then burn you out in my experience,
[30:46.000 --> 30:50.000]  whereas stuff that gets your glands naturally going goes right to the source.
