[00:00.000 --> 00:24.280]  Infowars, tomorrow's news today.
[07:32.180 --> 07:33.820]  I can cover news for 12 hours.
[07:33.820 --> 07:34.820]  It's fine.
[07:34.820 --> 07:36.900]  Just like a guy runs a marathon.
[07:36.900 --> 07:39.140]  Like, hey, have you run a marathon before?
[07:39.140 --> 07:40.140]  Yep.
[07:40.140 --> 07:41.140]  Okay, you're going to run a marathon today.
[07:41.140 --> 07:42.140]  Okay, no problem.
[07:42.140 --> 07:44.060]  No, that's not the challenge.
[07:44.060 --> 07:45.060]  I got the video clips.
[07:45.060 --> 07:46.060]  I got the news.
[07:46.060 --> 07:47.060]  I got it all.
[07:47.060 --> 07:57.260]  The challenge is to be able to do it efficiently and effectively without getting too emotional
[07:57.260 --> 08:02.500]  or without, quite frankly, getting too depressing at this point.
[08:02.500 --> 08:09.260]  Because I understand a lot of people tune in looking for inspiration, looking for hope
[08:09.260 --> 08:14.220]  outside of just the information that we cover here every day.
[08:14.220 --> 08:22.740]  But I got to tell you, this is truly the darkest time in this country's history.
[08:22.740 --> 08:28.900]  And we might not suffer as much as generations past if we're lucky.
[08:28.900 --> 08:33.480]  We might not suffer as much as generations past.
[08:33.480 --> 08:39.720]  But I got to tell you, we are going into an age of corruption in this country that
[08:39.720 --> 08:44.480]  is really so hard to believe.
[08:44.480 --> 08:48.520]  I don't really know how to properly lay it out.
[08:48.520 --> 08:52.480]  Because we've been laying it out here at Infowars for 20 plus years.
[08:52.480 --> 08:56.280]  And we're in it now.
[08:56.280 --> 09:03.760]  And so whether it's the direct censorship of their opposition by the Democrat Party,
[09:03.760 --> 09:05.140]  we've got a bunch of news on that.
[09:05.140 --> 09:09.640]  Whether it's the political persecution of their opposition by the Democrat Party, obviously
[09:09.640 --> 09:13.600]  the Donald Trump story, we've got that.
[09:13.600 --> 09:15.320]  Now it's more clear than ever.
[09:15.320 --> 09:17.100]  We've been warning you right here at Infowars.
[09:17.100 --> 09:20.080]  Now it's just out in the open.
[09:20.080 --> 09:26.420]  America is now being isolated geopolitically because of Joe Biden and the Democrat Party
[09:26.420 --> 09:32.320]  being so corrupt, so out of control, so out of their minds with the war propaganda, with
[09:32.320 --> 09:37.280]  the trans kid pedophile propaganda, with the political persecution of their enemies, with
[09:37.280 --> 09:41.640]  the attacks on free speech, that the rest of the world is done, folks.
[09:41.640 --> 09:42.840]  They're done dealing with us.
[09:42.840 --> 09:43.840]  They're moving on.
[09:43.840 --> 09:45.560]  They're not using the US dollar.
[09:45.560 --> 09:47.520]  They're not negotiating with Joe Biden.
[09:47.520 --> 09:53.040]  And I've got stacks of news on that today that your American media is not going to get
[09:53.040 --> 09:55.800]  you properly prepared for what's coming.
[09:55.800 --> 10:02.680]  So I mean, when we tell you to get prepared and get emergency food supplies or get prepared
[10:02.680 --> 10:08.600]  for whatever, in whatever other way, whatever that means to you, that's not me just coming
[10:08.600 --> 10:13.280]  on air saying, hey, we need to fund ourselves, get emergency food.
[10:13.280 --> 10:21.320]  I'm telling you, this country is in for a wallop and you might just starting to be experiencing
[10:21.320 --> 10:22.320]  that.
[10:22.320 --> 10:28.480]  If you think 22 during the pandemic was bad, what's coming next is going to be even worse.
[10:28.480 --> 10:33.960]  I mean, there are mass layoffs happening all across the country right now.
[10:33.960 --> 10:37.140]  And Joe Biden and his administration goes out there and tells you it's the greatest
[10:37.140 --> 10:39.440]  economy ever.
[10:39.440 --> 10:46.240]  An obvious lie, an obvious lie.
[10:46.240 --> 10:48.640]  So what is the message?
[10:48.640 --> 10:58.420]  What has to be understood by the American people at a certain threshold for us to maybe
[10:58.420 --> 11:09.040]  stave this tyranny off, stave this corruption off, stave this authoritarianism off?
[11:09.040 --> 11:15.080]  I mean, I just try to put it simply, there's two things every American needs to understand.
[11:15.080 --> 11:18.420]  A liberal progressive Democrat is lying to you.
[11:18.420 --> 11:23.200]  If a liberal progressive Democrat is talking, they're lying to you.
[11:23.200 --> 11:28.880]  And that's why you notice so many are leaving the liberal Democrat progressive ideology.
[11:28.880 --> 11:33.300]  They're leaving the Democrat party because they're not liars and they can't lie and they
[11:33.300 --> 11:41.660]  can't be a part of a lying, conniving, scheming, corrupt criminal party anymore.
[11:41.660 --> 11:44.580]  So that needs to be understood.
[11:44.580 --> 11:50.540]  And then behind that is even the bigger monster and that's the globalists.
[11:50.540 --> 11:55.060]  And what you need to understand about the globalists is that they are here to depopulate
[11:55.060 --> 12:00.620]  and enslave the entire planet.
[12:00.620 --> 12:05.420]  Now once the American can have those two basic understandings of how the world works, we
[12:05.420 --> 12:11.120]  might be able to turn this thing around and save what we call America.
[12:11.120 --> 12:15.340]  We might, we might.
[12:15.340 --> 12:19.860]  But until the average American understands that a liberal progressive Democrat is lying
[12:19.860 --> 12:29.300]  to you and that the globalists want a population control, depopulation agenda, digital enslavement
[12:29.300 --> 12:35.820]  of the planet, which you're starting to get a little sight sounds, tastes of now, until
[12:35.820 --> 12:40.180]  we have those two understandings, I just don't know how we recover.
[12:40.180 --> 12:43.020]  I don't know how we turn this ship around.
[12:43.020 --> 12:48.220]  And until we have men and women that are actually willing to do something about it, then you
[12:48.220 --> 12:51.100]  have to just take matters into your own hands and get prepared.
[12:51.100 --> 12:55.100]  Get out to the country, get emergency food, start growing your own food, start having
[12:55.100 --> 12:56.900]  your own energy sources.
[12:56.900 --> 13:00.260]  I'm serious because that's how bad it's getting now.
[13:00.260 --> 13:02.840]  And they'll still find a way to shut you down.
[13:02.840 --> 13:04.140]  Don't worry.
[13:04.140 --> 13:07.580]  That'll just be a little, that'll be a little safety net for you.
[13:07.580 --> 13:14.180]  That'll be like a little safety raft, you know, air raft, whatever for you.
[13:14.180 --> 13:15.460]  And I'm not saying don't do that.
[13:15.460 --> 13:20.380]  I mean, it's probably better than whatever's about to happen in major cities in the near
[13:20.380 --> 13:21.860]  future.
[13:21.860 --> 13:23.720]  But even then they'll eventually come for you.
[13:23.720 --> 13:26.420]  They'll eventually raise property taxes to a thousand percent.
[13:26.460 --> 13:27.460]  They'll take your farm.
[13:27.460 --> 13:28.460]  They'll take your house.
[13:28.460 --> 13:30.180]  They'll take your land.
[13:30.180 --> 13:33.220]  If you don't give your kids the lethal injections, they'll take your kids.
[13:33.220 --> 13:34.220]  They'll take you.
[13:34.220 --> 13:35.220]  This is where it's all going.
[13:35.220 --> 13:40.140]  So, I mean, even getting, and I get it, like I get the frustration with people that will
[13:40.140 --> 13:43.980]  send me messages saying, hey, you need to tell people more solutionary stuff.
[13:43.980 --> 13:47.860]  You know, get out on the land, learn how to farm, learn how to have your own energy sources
[13:47.860 --> 13:48.860]  and all this stuff.
[13:48.860 --> 13:49.860]  Hey, that's fine.
[13:49.860 --> 13:50.860]  That's good.
[13:50.860 --> 13:51.860]  We do promote that.
[13:51.900 --> 13:59.020]  I'm telling you, that's like a safety net that will maybe give you an extra generation
[13:59.020 --> 14:03.980]  of freedom before the globalists come and steal everything and enslave you.
[14:03.980 --> 14:07.940]  So, I mean, yeah, get out, get out on the, on the land and learn how to farm and everything
[14:07.940 --> 14:10.060]  and become self-sustainable.
[14:10.060 --> 14:11.220]  Absolutely 100 percent.
[14:11.220 --> 14:17.060]  That'll give you at least probably one generation of extra freedom.
[14:17.060 --> 14:23.460]  But eventually, if we don't stop this Democrat party and if we don't build political walls
[14:23.460 --> 14:26.620]  around this country keeping the globalists out, then it won't matter, they'll come for
[14:26.620 --> 14:30.620]  you too.
[14:30.620 --> 14:32.900]  So we're going to get into all the news.
[14:32.900 --> 14:35.940]  And look, the Trump story is the big story.
[14:35.940 --> 14:39.040]  That's just a sign of where we're at.
[14:39.040 --> 14:40.040]  That's all it is.
[14:40.040 --> 14:41.040]  It's a sign of where we're at.
[14:41.040 --> 14:43.140]  It's a sign of how corrupt the Democrat party is.
[14:43.140 --> 14:45.420]  It's a sign of how corrupt the mainstream media is.
[14:45.420 --> 14:48.700]  It's a sign of how corrupt our federal bureaucracies are.
[14:48.700 --> 14:53.700]  It's a sign of how corrupt these prosecutors, Soros prosecutors and attorneys are.
[14:53.700 --> 14:57.320]  But we already knew that.
[14:57.320 --> 15:02.420]  So are we just going to watch them take over now?
[15:02.420 --> 15:07.500]  You know, we tend to not fully appreciate or understand history because we didn't live
[15:07.500 --> 15:08.740]  it.
[15:08.740 --> 15:12.920]  But you know, Hitler did get into power.
[15:12.920 --> 15:14.380]  Hitler was elected into power.
[15:14.380 --> 15:21.780]  Hitler and the Nazis did have power in Germany for a decade.
[15:21.780 --> 15:23.980]  So it happens, folks.
[15:23.980 --> 15:24.980]  It happens.
[15:24.980 --> 15:34.780]  Corrupt political parties take and hold power and leave behind them massive bloodshed and
[15:34.780 --> 15:41.500]  suffering and tyranny and starvation and death.
[15:41.500 --> 15:47.660]  And that is the path this country is headed down right now under Joe Biden, the Democrat
[15:47.660 --> 15:51.520]  leadership and quite frankly, the Republican leadership as well.
[15:51.520 --> 15:56.680]  And even if the Republicans aren't the bad guys, they're certainly not doing near enough.
[15:56.680 --> 16:00.220]  They're not having near a sense of urgency enough right now.
[16:00.220 --> 16:03.700]  Most banned man in America, Alex Jones.
[16:03.700 --> 16:09.540]  I want you all to know something.
[16:09.540 --> 16:11.380]  Alex Jones was right.
[16:11.380 --> 16:15.020]  Alex is right about far more than is wrong.
[16:15.020 --> 16:18.100]  Alex has been right on toward over a decade.
[16:18.100 --> 16:22.300]  I don't care how you slice it, dice it, flip it up or rub it down.
[16:22.300 --> 16:24.740]  Alex Jones was right.
[16:24.740 --> 16:28.140]  Think about how frustrated we are if you've been awake for a year or two.
[16:28.140 --> 16:31.780]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[16:31.780 --> 16:35.700]  Alex Jones called this years ago, years ago.
[16:35.700 --> 16:39.940]  Alex Jones never bought the Russia hoax, not for a second.
[16:39.940 --> 16:42.420]  You are one of the great thinkers of this.
[16:42.420 --> 16:44.860]  You are a martyr to the First Amendment.
[16:44.860 --> 16:48.180]  The government fears Alex Jones.
[16:48.180 --> 17:00.740]  That's why the globalists hate me is because I'm exposing their corporate worldwide tyranny.
[17:00.780 --> 17:08.900]  I intend to take the Infowars armored truck out or the Infowars tank as it's so lovingly
[17:08.900 --> 17:09.900]  called.
[17:09.900 --> 17:12.860]  You came through yesterday and shopped at Infowarsstore.com so I'm going to be able
[17:12.860 --> 17:13.860]  to take the truck out.
[18:01.740 --> 18:07.860]  Humanity is in a fight for its very life and Infowars for decades has been at the very
[18:07.860 --> 18:11.660]  forefront of the fight for a pro-human future.
[18:11.660 --> 18:15.260]  We can't stay on air without your help and I want to thank you all for your past support
[18:15.260 --> 18:18.860]  and I want to encourage those of you that have never bought products at Infowarsstore.com
[18:18.860 --> 18:22.700]  to go there and experience how amazing these products really are.
[18:22.700 --> 18:27.140]  Ultimate Bone Broth finally sold out for over two years back in stock.
[18:27.140 --> 18:29.780]  Real Red Pill Plus, simply amazing.
[18:29.820 --> 18:33.820]  Nitric boost, what it does for your heart, your cardiovascular, critical.
[18:33.820 --> 18:37.860]  All these products like Ultimate Krill Oil, Ultimate Fish Oil, Super Mel, Vitality, they're
[18:37.860 --> 18:41.900]  all available and in stock ready to ship to you right now at Infowarsstore.com.
[18:41.900 --> 18:46.340]  And the final 1,200 signed copies of my book, The Great Reset in the World for the World,
[18:46.340 --> 18:50.380]  and I'm not going to sign any more after that, are exclusively available at Infowarsstore.com
[18:50.380 --> 18:51.380]  as well.
[18:51.380 --> 18:53.860]  In the last month I got a little busy so I didn't sign the books, we didn't have them
[18:53.860 --> 18:54.860]  for sale.
[18:54.860 --> 18:56.500]  But now I sign the last books, you can get them right now.
[19:00.380 --> 19:04.380]  Thousands of former Nazis went to work for the United States government.
[19:04.380 --> 19:08.380]  A flying disk has been found and is now in the possession of the army.
[19:08.380 --> 19:10.380]  Here is a bulletin from CBS News.
[19:10.380 --> 19:12.380]  President Kennedy has been shot.
[19:12.380 --> 19:16.380]  This is a different kind of war.
[19:16.380 --> 19:20.380]  The USS Liberty had just been attacked by Israeli jets and competitors.
[19:20.380 --> 19:24.380]  The CIA could manipulate the news in the United States.
[19:24.380 --> 19:28.380]  They took the babies out of incubators and left the children to die on the cold watch.
[19:28.980 --> 19:30.980]  It was almost as if it were a plan in quotes.
[19:30.980 --> 19:31.980]  It just happened.
[19:31.980 --> 19:33.980]  We need to go into the capital.
[19:33.980 --> 19:37.980]  You will always have conspiracy theories.
[19:37.980 --> 19:39.980]  They are nothing but distractions.
[19:39.980 --> 19:42.980]  You guys censored Harvard educated doctors.
[19:42.980 --> 19:44.980]  You silenced those voices.
[19:44.980 --> 19:47.980]  What we want to do in Davos is push the reset button.
[19:47.980 --> 19:53.980]  As soon as we start exposing the Great Reset, the sooner these globalists start going to
[19:53.980 --> 19:55.980]  prison.
[19:58.980 --> 20:03.980]  Leading a frontal assault on the lies of the New World Order.
[20:03.980 --> 20:05.980]  It's Alex Jones.
[20:28.380 --> 20:40.380]  You know, I'm not saying that the Trump indictment is a distraction.
[20:40.380 --> 20:43.380]  Because it's a real story.
[20:43.380 --> 20:47.380]  And it's a massive political development in this country.
[20:47.380 --> 20:51.380]  That the Democrats just weaponized the government against their political opposition.
[20:51.380 --> 20:57.380]  Whether it's the little guy, like the QAnon Shaman, or whether it's the big guy, Donald J. Trump.
[20:58.380 --> 21:07.380]  But for me to sit here and obsess over Donald Trump is actually kind of pathetic.
[21:07.380 --> 21:12.380]  And it's pathetic that our nation is obsessing so much over Donald Trump.
[21:12.380 --> 21:15.380]  Again, I'm not saying it's not a big story.
[21:15.380 --> 21:20.380]  I understand how massive the ramifications of the Democrats weaponizing the government
[21:20.380 --> 21:23.380]  against their opposition is.
[21:23.380 --> 21:29.380]  But it's like, you've got camera crews, you've got multiple helicopters following Trump's
[21:29.380 --> 21:31.380]  massive motorcade.
[21:31.380 --> 21:33.380]  They're waiting at the airport.
[21:33.380 --> 21:35.380]  They're probably going to track his plane all the way to New York.
[21:35.380 --> 21:38.380]  And then there'll be cameras and drones and helicopters there too.
[21:38.380 --> 21:42.380]  And it's like, oh my gosh, this massive thing followed Donald Trump.
[21:42.380 --> 21:46.380]  I mean, I can just sit here and point out all the hypocrisy.
[21:46.380 --> 21:50.380]  The same people that tell you you need to stop man-made climate change, you're going
[21:50.380 --> 21:55.380]  to have multiple helicopters in the air today following Donald Trump's every move.
[21:55.380 --> 21:59.380]  They're going to be flying people from all over the world to cover this story.
[21:59.380 --> 22:01.380]  But they tell you to stop climate change.
[22:01.380 --> 22:06.380]  So they know how important this is to destroy Donald Trump.
[22:06.380 --> 22:10.380]  And they know their climate change nonsense is just that.
[22:10.380 --> 22:13.380]  They don't commit to their own propaganda.
[22:13.380 --> 22:15.380]  And I've got all the stacks of news stories.
[22:15.380 --> 22:16.380]  I'm going to cover it.
[22:17.380 --> 22:20.380]  Folks, we're in a larger issue.
[22:20.380 --> 22:23.380]  We are being completely skipped over right now.
[22:23.380 --> 22:25.380]  And the world is moving on from the United States.
[22:25.380 --> 22:27.380]  I don't know how else to put it to you.
[22:27.380 --> 22:31.380]  The world is moving on from the United States.
[22:31.380 --> 22:39.380]  And the thing that has kept us so comfortable here, the petrodollar, is about to go away.
[22:39.380 --> 22:42.380]  So forget about your inflation.
[22:42.380 --> 22:44.380]  Forget about everything else that's going on.
[22:44.380 --> 22:50.380]  That's going to be ramped up double, triple, quadruple, quintuple when they stop using
[22:50.380 --> 22:55.380]  the petrodollar and the U.S. dollar for international energy deals.
[22:55.380 --> 22:58.380]  Folks, the bottom falls out.
[22:58.380 --> 23:01.380]  The bottom falls out.
[23:01.380 --> 23:04.380]  And that's going on right now.
[23:04.380 --> 23:08.380]  I'll have to cover that later if we even have time.
[23:08.380 --> 23:18.380]  Pete Santilli coming up, emergency motion filed with Judge Juan Marchand to stop prosecution
[23:18.380 --> 23:19.380]  of President Donald Trump.
[23:19.380 --> 23:21.380]  That's coming up in the next segment.
[23:21.380 --> 23:28.380]  Meanwhile, leftists meltdown after New York Times loses its Twitter blue check mark.
[23:28.380 --> 23:30.380]  Now, why am I telling you this?
[23:30.380 --> 23:39.380]  Well, because you have to understand the entire foundation of modern day liberal progressive
[23:39.380 --> 23:45.380]  Democrat theology is that they are the assumed authority.
[23:45.380 --> 23:49.380]  They are the assumed moral high ground and they are the assumed authority over you.
[23:49.380 --> 23:56.380]  And that's why they love that blue check mark so much, because that separates them from you.
[23:56.380 --> 23:58.380]  They're more important than you.
[23:58.380 --> 23:59.380]  They're certified.
[23:59.380 --> 24:01.380]  You are not.
[24:01.380 --> 24:02.380]  They are deities.
[24:02.380 --> 24:04.380]  You are pond scum.
[24:04.380 --> 24:08.380]  And so for them to lose their checkmark is devastating.
[24:08.380 --> 24:13.380]  They need that verification badge over you.
[24:13.380 --> 24:21.380]  Just like in the video of the college professor at a TP USA event who says we don't know the
[24:21.380 --> 24:23.380]  difference between men and women.
[24:23.380 --> 24:25.380]  There's no difference between their bones.
[24:25.380 --> 24:27.380]  There's no difference between their skeletons.
[24:27.380 --> 24:28.380]  An obvious lie.
[24:28.380 --> 24:33.380]  Any college class teaches that there are obvious differences between men and women.
[24:33.380 --> 24:36.380]  You learn that by the time you're in first grade.
[24:36.380 --> 24:38.380]  Probably even naturally.
[24:38.380 --> 24:42.380]  And a professor says, how dare you judge me?
[24:42.380 --> 24:47.380]  I'm an anthropology professor and I have a master's in anthropology.
[24:47.380 --> 24:50.380]  Well, you must not have learned much if you don't know there's a difference between men
[24:50.380 --> 24:55.380]  and women, specifically their skeletal structures and bone features.
[24:55.380 --> 24:57.380]  And so he gets laughed out of this room.
[24:57.380 --> 24:58.380]  But it's the same thing.
[24:58.380 --> 25:00.380]  I'm the New York Times.
[25:00.380 --> 25:02.380]  I have the blue checkmark.
[25:02.380 --> 25:03.380]  Oops.
[25:03.380 --> 25:05.380]  No, you don't.
[25:05.380 --> 25:08.380]  And see that that respect has now disappeared.
[25:08.380 --> 25:09.380]  Now they feel empty.
[25:09.380 --> 25:11.380]  Same thing with that college professor.
[25:11.380 --> 25:13.380]  I have a master's in anthropology.
[25:13.380 --> 25:14.380]  Bow down to me.
[25:14.380 --> 25:18.380]  Look at the loser who thinks men and women are the same loser.
[25:18.380 --> 25:23.380]  But my degrees, but my degrees, but my advanced education.
[25:24.380 --> 25:28.380]  See, once they lose that facade, once they lose that blue checkmark,
[25:28.380 --> 25:34.380]  once they lose that prestige of the degree and holding it over your head,
[25:34.380 --> 25:37.380]  then all is lost.
[25:37.380 --> 25:40.380]  That's why they freak out over a blue checkmark.
[25:40.380 --> 25:46.380]  That's why they freak out when you don't respect their higher education.
[25:46.380 --> 25:48.380]  Because they need to laud it over you.
[25:48.380 --> 25:52.380]  They need to dominate you with it, even though it's illegitimate.
[25:52.380 --> 25:54.380]  And once it gets shown that it's illegitimate and you know it's illegitimate
[25:54.380 --> 25:57.380]  and then they lose their power, they freak out.
[25:57.380 --> 25:58.380]  Jim Jordan.
[25:58.380 --> 26:02.380]  Trump indictment is about going after anyone who opposes the left's agenda
[26:02.380 --> 26:03.380]  and the establishment's agenda.
[26:03.380 --> 26:07.380]  He's 100% right, and I wish the Republicans would rally behind this
[26:07.380 --> 26:10.380]  and actually commit to stopping it.
[26:10.380 --> 26:14.380]  Jeff Van Drew, former Democrat, now a Republican.
[26:14.380 --> 26:18.380]  Democrats afraid Donald Trump will take out corruption if he wins by 2024.
[26:18.380 --> 26:22.380]  Again, Jeff Van Drew, a former Democrat who left the party
[26:22.380 --> 26:25.380]  because he knows it's corrupt, is telling the American people
[26:25.380 --> 26:30.380]  that the Democrat party that he used to be a member of
[26:30.380 --> 26:34.380]  is scared that Trump is going to end their reign of corruption.
[26:34.380 --> 26:36.380]  He's telling you what's going on.
[26:36.380 --> 26:40.380]  You're watching Trump's motorcade head towards the airport right now.
[26:40.380 --> 26:44.380]  He's flying to New York momentarily.
[26:44.380 --> 26:48.380]  Mar-a-Lago evidence suggests possible Trump obstruction.
[26:48.380 --> 26:53.380]  Justice Department said to have more evidence of possible Trump obstruction at Mar-a-Lago.
[26:53.380 --> 26:58.380]  So they can't get him on the documents because Bill Clinton and Hillary Clinton
[26:58.380 --> 27:02.380]  and George Bush and Obama and everybody else does the same thing with documents,
[27:02.380 --> 27:07.380]  and Judge Amy Berman Jackson said that you can't have anything classified from the president.
[27:07.380 --> 27:11.380]  There's no such thing as a classified document from the president.
[27:11.380 --> 27:13.380]  That was a Democrat judge that set that precedent.
[27:13.380 --> 27:16.380]  So now they're saying, oh, obstruction of justice.
[27:16.380 --> 27:18.380]  So an obvious lie.
[27:18.380 --> 27:22.380]  Chief investigator at Manhattan D.Z.'s office, Susan Hoffinger,
