[00:00.000 --> 00:08.160]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[09:12.000 --> 09:18.000]  We're going to be playing part of some of the songs here today, but not in their entirety, because that'll send the computer bots crazy out there on different internet platforms.
[09:18.000 --> 09:26.000]  Billy Corgan is our guest, or as I say it in Texas, drawl where he butcher names, Billy Corgan.
[09:26.000 --> 09:32.000]  Leon came here and said, you know, you're friends with him. You ought to pronounce his name right, Billy Corgan.
[09:32.000 --> 09:37.000]  And he's not in a hotel room. He's flown in and landed. He is in the airport right now.
[09:37.000 --> 09:44.000]  So I can't wait to have him back in studio next time. He's in Austin. He's a regular listener, and he's just a great guy.
[09:44.000 --> 09:54.000]  I learned that he was a listener through a man cow, a fellow friend, and he's a really smart guy, one of the smartest people I've talked to, not just in music or entertainment, but period.
[09:54.000 --> 10:03.000]  And Billy Corgan has actually taught me quite a bit about perspectives and how to see the world and has helped me mature some.
[10:03.000 --> 10:14.000]  And I think that's why out of the blue for the last decade or so, you see just random hit pieces, even though there's no scandals, no dirt, nothing.
[10:14.000 --> 10:18.000]  That's why you see Anderson Cooper in the middle of the CIA attacking him.
[10:18.000 --> 10:25.000]  Now, that's why you see MSNBC saying snippy things, Rolling Stones saying snippy things. It's because he's outside of the system.
[10:25.000 --> 10:37.000]  He didn't play ball with him. He spoke out about the dumbing down of music with MTV and more, and they don't like smart people who have the power of reaching tens of millions who've sold 40 million albums.
[10:37.000 --> 10:43.000]  Just like Dave Mustaine, their views may differ a little bit, but they agree on fighting Terry. There's a global government.
[10:43.000 --> 10:53.000]  There's social engineering. Look at the demonization of him, because if you let one aunt stand up, they might all stand up to quote, is it a bug's life?
[10:53.000 --> 11:02.000]  This is what we're talking about here. So he's joining us from the airport. I'll look even to about 40 after 45 after or so, so he can get on his next plan or get on down the road.
[11:02.000 --> 11:10.000]  He was going to be on with us yesterday, but I had a family emergency had to take care of Billy Corgan. Thank you so much for coming on with us.
[11:10.000 --> 11:17.000]  Thank you, Alex. Always a pleasure to talk to you. You heard my intro there. There's so much to get into. Let's talk about Anderson Cooper first.
[11:17.000 --> 11:30.000]  Not that he even matters, has almost no viewers, dinosaur media. But at the same time, it's so clear that every time you've got an album about to come out, the hit pieces begin because they want to slap you down.
[11:30.000 --> 11:41.000]  Yeah, well, it's pretty strange. I don't know if your listeners know the context of this, but I did a cover for a charity called Cause Chicago. It's a no kill shelter model, very proud.
[11:41.000 --> 11:52.000]  I've helped raise, along with my partner in the band, Jeff, a quarter million dollars for the charity. One of my proudest things I've ever done is being involved in animal rights issues.
[11:52.000 --> 12:01.000]  It was about six months ago. The image went viral. It's me and my rescue cats on the cover of the magazine. Never in a million years did I think I'd start getting attacked.
[12:01.000 --> 12:14.000]  Out of nowhere, four or five months later, there I am being made fun of. No context for the fact that it's charity magazine. Basically presented as if I've fallen so far off the celebrity radar that I'm reduced to doing a cat magazine.
[12:14.000 --> 12:27.000]  Then ties it into where has he gone, whatever happened to him, making mocking my participation in professional wrestling. No mention of my new album, no mention of my successes.
[12:27.000 --> 12:44.000]  Nothing, as if I just disappeared off the celebrity map. Very strange. I think he's probably been a bit shocked by the reaction because, A, I fought back, which you're not supposed to do. You're supposed to take your licks and just put your tail between your licks because the mighty CNN has spoken.
[12:44.000 --> 12:59.000]  On top of that, now a lot of animal rights people raised up and started poking in the eye because it's something that's a demarcation line that should be left alone. People doing charity work. It really is emblematic of the sickness of our culture.
[12:59.000 --> 13:14.000]  By the way, you don't brag about that a lot, but I've seen it. You help a lot of charities out there and you were helping save and rescue cats, raising and other tons of money and really working in the community like I know you quietly do in and around Chicago.
[13:14.000 --> 13:27.000]  And then you're a bad guy. No, it's because you are a good guy and are quietly out there working while doing other big things in media that they're scared of you. It's because they know they don't control you and you know what's going on.
[13:27.000 --> 13:42.000]  I think it is very interesting to see these kind of assassins come out of the woodwork. This is probably the most well-received album I've had in about 20 years and I've been through a lot in my own way and I've shot myself in the foot like any good artist would.
[13:42.000 --> 13:57.000]  But I've seemed to kind of dial the back in. The music business is coming up back around me and it's amazing that all of a sudden then you're at a target because you have power, you have a mass power again. It's the kind of power that's very threatening to those systems.
[13:57.000 --> 14:12.000]  They do not want outliers. They love muppets. They love people who tow the party line. Your audience doesn't need an education on this. They're more aware than any audience in the world how these things work.
[14:12.000 --> 14:23.000]  So we don't have to go on about it. But I think it's very obvious that here they come. The agenda starts to poke out. I just had an interview about a week ago.
[14:23.000 --> 14:37.000]  A guy was asking me about Edward Snowden. Here's the line of questioning out of nowhere in the middle of an interview about my new album. Do you believe Edward Snowden was a hero? Yes. Why? Because it's the right thing.
[14:37.000 --> 14:48.000]  Next question. Would you do the same? I told the guy to go, you know what, himself. I said, am I running for president? What kind of line of questioning is that? I'm promoting an album.
[14:48.000 --> 14:58.000]  Well, and the reason we raise it, I know my audience is very informed. It's that obviously you can speak here uncensored. They won't be able to filter it as much.
[14:58.000 --> 15:12.000]  And so you can speak directly to it because this is what happens to myself, to Ron Paul, to countless others that really try to shift the paradigm into really waking up to the larger control system is they put articles out constantly.
[15:12.000 --> 15:26.000]  Alex Jones has no audience. Alex Jones wishes he wasn't discredited. Alex Jones is a racist with no proof, but we know they're doing it because they want to assassinate the messenger.
[15:26.000 --> 15:36.000]  But the good news is they've already assassinated their own credibility, so they're shooting blanks. And I don't think in their arrogance they figured that out yet, Billy.
[15:36.000 --> 15:44.000]  No, I agree with you, but just to give you a little bit of kind of the context of the other side of it, right after the Anderson Cooper thing kind of went viral.
[15:44.000 --> 15:52.000]  I know you put a story on your site and I gave a quote for that when that sort of kind of ticked back up into the mainstream consciousness.
[15:52.000 --> 16:03.000]  I probably did about 10 interviews in the next couple of days. And in seven of the 10 interviews, I was asked about the Anderson Cooper flap and five of the seven people interviewed me had no idea it was for a charity.
[16:03.000 --> 16:10.000]  So that shows you that there is still a little effectiveness counting on that low information project that will be on headline.
[16:10.000 --> 16:17.000]  That's it. They are targeting a low information crowd. But again, that crowd of zombies really don't even matter anymore.
[16:17.000 --> 16:28.000]  I mean, I'm sad to say that it's like they're almost not even people. They've decided to just mindlessly buy into this and this narcissistic, thin, mindless gruel that's being spewed out.
[16:28.000 --> 16:34.000]  But speaking, speaking of Anderson Cooper, and we're going to get into your album that I do think is one of your best in a long time.
[16:34.000 --> 16:46.000]  Speaking of Anderson Cooper, he really is a CIA guy. He really was in the CIA, not just an intern. He really is the grandson of one of the biggest dynasties in the country.
[16:46.000 --> 17:00.000]  Or is it the Astros? So he's a little rich kid, given everything he's got. He's failed. He has some of the worst ratings on CNN. So I would feel good, Billy, just to have this joke, this failure that was given everything.
[17:00.000 --> 17:06.000]  I mean, you came from nowhere. I came from nowhere. He was given everything. He's the opposite of Americana.
[17:06.000 --> 17:18.000]  You know, I think what's interesting, because to me, you know, I try to stay out of the personal side of it, although I did say the other day I wasn't born with a silver spoon on my arse, like he was.
[17:18.000 --> 17:28.000]  I think it's very interesting that there is a level of arrogance here. That crowd, whatever that crowd is, and I've hung with them, you know, I've been in those rooms and so have you.
[17:28.000 --> 17:34.000]  I've been to those parties and so have you. That crowd really thinks they can sort of flick us off their shoulder anytime they want.
[17:34.000 --> 17:39.000]  And what they don't realize is that people like you and me are just symbols of a much greater conversation.
[17:39.000 --> 17:48.000]  They don't understand that a vast part of our country is waking up, is breaking this hypnosis, this grip of hypnosis, and they can't see it.
[17:48.000 --> 17:57.000]  They literally can't see it. They literally think they can just double down, triple down on these narratives and these false paradigms, and the public's just going to keep laughing them up.
[17:57.000 --> 18:14.000]  And I think as we see from recent events, people are starting to sort of question the narratives, and you see the media, those old world media, doubling, triple, quadrupling down on false storylines, because they literally don't have a beat plan.
[18:14.000 --> 18:25.000]  I agree with you. And just the beginning of the questioning is the beginning of the end, because as soon as you question, you're no longer only in that narrow, low-information media system.
[18:25.000 --> 18:32.000]  You now discover the wider world. You come out of Plato's Cave and it's game over. That is such an incredibly exciting thing.
[18:32.000 --> 18:39.000]  You know, I think one of your songs in the last album or the album before was about the world on fire, and the lyrics really spoke to this.
[18:39.000 --> 18:50.000]  I remember we were talking like six years ago when you were saying you can clearly see crisis after crisis coming, which is now here, but that out of that, we really could see a new renaissance.
[18:50.000 --> 19:00.000]  I think I get the sense from talking to my friends and family, and I'm sure many of your listeners, of course, which I'm one of.
[19:00.000 --> 19:08.000]  Those conversations that we had around the dinner table seven years ago, which were really difficult conversations to have, and people would just throw their hands up and say, you're crazy.
[19:08.000 --> 19:23.000]  Now people are listening. And just the fact that you're even able to sit at that table and have those conversations and be able to back it up with statistics and people, you know, the failure of this particular administration, the lying that goes on.
[19:23.000 --> 19:35.000]  And the fact that there's this greater divide between the public that's awake and the public that's asleep. I mean, those that are asleep really do want to be asleep because, I mean, how could you not be eyes open at this point?
[19:35.000 --> 19:46.000]  That's right. How could you not be eyes open at this point? And his mother was a Vanderbilt, the heir of the entire Vanderbilt fortune, not a not a ask her, but it doesn't matter.
[19:46.000 --> 19:54.000]  They're interrelated. And again, nothing wrong with being the last male heir of one of the biggest robber baron horrible dynasties.
[19:54.000 --> 20:03.000]  It's just give us a break, Anderson Cooper, because I don't even get into fighting with these personalities. But at the same time, I think it's important to not just respond and say, hey, I'm helping a cat charity.
[20:03.000 --> 20:11.000]  Leave me alone. Don't try to make me, you know, look like it has been when I'm not. Everybody knows that you've been popular all along and you've had big reassurgences.
[20:11.000 --> 20:19.000]  I mean, it's just a joke. I mean, you've sold 40 million albums. Anderson Cooper is on a failed network that's converting to cooking shows.
[20:19.000 --> 20:28.000]  So I'm not being nasty. It's just they are dancing on their own graves when you are just having the courage to express what's already there.
[20:28.000 --> 20:41.000]  You said we're like little tips of iceberg sticking up or little focal points as Ron Paul always says. I mean, we're nothing. We are just like everybody else that is trying to find out what the hell is really going on.
[20:41.000 --> 20:53.000]  I can't disagree with you. And I think there's a democratization there in the way that we're all communicating. And, you know, thank God for people like you for building these new systems by which we're sharing information.
[20:53.000 --> 21:02.000]  And, you know, we're building up our own networks of communication. I mean, basically, I would argue we're past the tipping point. And now it's just how is this all going to play out?
[21:02.000 --> 21:11.000]  And as you've been predicting, I don't know how many years. Now we're seeing the rolling out of this next wave of control and propaganda.
[21:11.000 --> 21:18.000]  But the fact of the matter is that everyone's so prepared and has been sort of mentally prepared for what's coming.
[21:18.000 --> 21:29.000]  I went out one small thing because I think it's important in the context of the conversation we're having. You know, when President Obama was elected, that night I went on stage and I knew I was already listening to you.
[21:29.000 --> 21:37.000]  I was kind of like half awake, let's put it. And I went on stage and I said, let's hope this is the sign that things are going to go in the right direction.
[21:37.000 --> 21:44.000]  And you actually ran a piece and we didn't know each other then. You used a piece kind of mocking me or being another celebrity sort of drinking the Kool-Aid.
[21:44.000 --> 21:53.000]  And I was thinking back to that time. I wasn't offended by the piece. I thought it was kind of funny. But I'm never thinking back to the time where I was in my own kind of awakening.
[21:53.000 --> 22:02.000]  And we have to remember, those of us that are awake, there are so many people that are in that horrible moment of like, wow, if this stuff is true, what do I do?
[22:02.000 --> 22:10.000]  And we see that more and more now. We see people waking up and it's really shocking to them that they've been given a lie sort of all along.
[22:10.000 --> 22:19.000]  And as you sit in bars and round coffee houses and talk to people about what's really going on, you can see that it's not so much that they don't know that something's happening.
[22:19.000 --> 22:28.000]  They just don't know what to do about it. So we have to continue to prepare the way. And this is not some begging appeal to be supported as an artist.
[22:28.000 --> 22:36.000]  But what I would say to everybody is the artists in many ways are some of the most dangerous people in the world because we have that street credibility to go out and sing some gospel.
[22:36.000 --> 22:44.000]  And that's what makes me dangerous is once my career starts rolling in the right direction again, well, here I come because how is it possible?
[22:44.000 --> 22:51.000]  I mean, they've tried to kill me how many times. And Anderson Cooper is just a small example getting kicked in the shin.
[22:51.000 --> 22:59.000]  And so it really helps. And I'm not begging for my own self, but please support artists, to support free voices, to support people like Alex.
[22:59.000 --> 23:07.000]  To keep speaking out to and it does require material support, like I'm a supporter of what you're doing with info or his wife. Right?
[23:07.000 --> 23:16.000]  Absolutely. Billy, I want to shift gears and talk about this more deeply because and I use this analogy too much. I apologize, but it's so accurate.
[23:16.000 --> 23:20.000]  I use it 20 years ago. You couldn't find organic food anywhere. It was very expensive.
[23:20.000 --> 23:24.000]  You could because there was no market as people began to demand it. It grew the market.
[23:24.000 --> 23:31.000]  The prices went down. It's now displacing all the garbage. It's displacing the high fructose corn syrup. They're taking it out of Hershey's.
[23:31.000 --> 23:37.000]  We're taking it out of Heinz. Now look, there's still some fake organic or still problems.
[23:37.000 --> 23:46.000]  The point is we demanded quality. The market changed. And exactly if people go out and support independent artists that are speaking out against tyranny,
[23:46.000 --> 23:56.000]  that's great music as well. And buy your album at smashingpumpkinsnexus.com and then play it for friends and then ask that it be played on the radio or share it with their friends.
[23:56.000 --> 24:04.000]  That's how you bring the system down. You've got to go further and decide you want to promote cultures of liberty.
[24:04.000 --> 24:15.000]  I can't tell you historically how many kings, how many corrupt dynasties were brought down by a gesture telling jokes that became viral in ancient times.
[24:15.000 --> 24:23.000]  Or by the local band or even one guy with his, they didn't have guitars back then.
[24:23.000 --> 24:29.000]  One guy with his little mandolin or whatever singing songs about the corrupt nobility, that would change it.
[24:29.000 --> 24:38.000]  So a song or an idea that isn't in the hands of the system could bring them down and that's why they target people like you.
[24:38.000 --> 24:48.000]  There was a reason the CIA was spying on John Lennon. At that point in time he was probably the most dangerous artist in the world.
[24:48.000 --> 24:50.000]  All that killed him, too.
[24:50.000 --> 24:59.000]  Well, I can't speak to that, but I'll say this much. If you look at the power that rock and roll had in the 70s,
[24:59.000 --> 25:06.000]  vis-a-vis the power that rock and roll has now, I think there's been a concerted effort to drain those systems of their power.
[25:06.000 --> 25:10.000]  Because it's just too radical, it's just too dangerous.
[25:10.000 --> 25:17.000]  When you have the power of a John Lennon or a Bar Marley and they can literally have one song that will change the consciousness of the world
[25:17.000 --> 25:19.000]  and get people to look at something different.
[25:19.000 --> 25:24.000]  And I would point, and I'm saying this from a very specific point of view,
[25:24.000 --> 25:30.000]  look at the lack of political music in the world right now and compare that to the 1960s.
[25:30.000 --> 25:36.000]  It is unbelievable the lack of political and social discourse in music right now.
[25:36.000 --> 25:39.000]  Do you think that's an accidental omission?
[25:39.000 --> 25:44.000]  They came in and they took it over on record. Billy Corgan of Smashing Pumpkins fame is our guest,
[25:44.000 --> 25:49.000]  SmashingPumpkinsNexus.com. We're going to send out a tweet of the website right now.
[25:49.000 --> 25:52.000]  We're going to post this video later today on Facebook and Twitter.
[25:52.000 --> 25:57.000]  It needs to go viral because he has a lot of courage saying what he's saying because they really come after people.
[25:57.000 --> 26:01.000]  I've got to be very careful here what I'm going to say about John Lennon.
[26:01.000 --> 26:06.000]  But they made a film six, seven years ago that won a bunch of awards that had the declassified documents.
[26:06.000 --> 26:10.000]  We're Strom Thurman, the senator, and others said we want him taken out.
[26:10.000 --> 26:14.000]  We know the suspicious way he was killed. I'm just going to stop right there.
[26:14.000 --> 26:21.000]  But I've talked to the highest level people and been told stuff about what really went on
[26:21.000 --> 26:24.000]  and then what happened to them afterwards and everything.
[26:24.000 --> 26:28.000]  And I can tell you the FBI and the CIA killed John Lennon.
[26:28.000 --> 26:31.000]  And then they went on a campaign to cover up what they did with their Patsy.
[26:31.000 --> 26:35.000]  And so that's why when we talk about this, folks, it's very dangerous.
[26:35.000 --> 26:42.000]  So we're not saying, hey, we're heroes here. We're just saying realize this isn't just your regular shuck and jive on CNN.
[26:42.000 --> 26:45.000]  I mean, we're really laying it out here.
[26:45.000 --> 26:50.000]  I think what's kind of funny about the modern life is I don't think they have to kill you anymore.
[26:50.000 --> 26:52.000]  I think they just digitally kill you.
[26:52.000 --> 26:56.000]  I mean, if anything, you're almost you're almost better as a sort of sort of living effigy,
[26:56.000 --> 27:01.000]  which is why I think some of these people come out of the woodwork to try to like split my throat.
[27:01.000 --> 27:03.000]  I mean, criticize me as an artist. That's fine.
[27:03.000 --> 27:05.000]  There's there's plenty to criticize.
[27:05.000 --> 27:09.000]  But if you look at a lot of the subtext of the things that have written about an artist like me,
[27:09.000 --> 27:12.000]  it has a lot of a lot of it's a lot of sort of false narratives,
[27:12.000 --> 27:19.000]  moral equivalencies that have nothing to do with music or art or love or people's lives.
[27:19.000 --> 27:25.000]  You just said it. You just said it. They create straw men that aren't Alex Jones or Billy Corgan.
[27:25.000 --> 27:29.000]  And then they attribute things. We didn't say they have they have these campaigns.
[27:29.000 --> 27:32.000]  They send out fake emails that aren't for me insulting people.
[27:32.000 --> 27:35.000]  They call people up and say it's me and insult them famous people.
[27:35.000 --> 27:40.000]  They spoof faxes and I know it's the government corporation.
[27:40.000 --> 27:47.000]  So believe me, what Billy's talking about, it goes on here all the time in an attempt to derail us,
[27:47.000 --> 27:54.000]  but it's not going to work because Billy Corgan and Alex Jones are just little bitty expressions like like a compound.
[27:54.000 --> 28:00.000]  I have a dragonfly. We're just one little tiny part of it. You can't chop off all the heads.
[28:00.000 --> 28:05.000]  Totally agree with you. And one thing I would add to that, because I know sometimes when I talk like this to people,
[28:05.000 --> 28:09.000]  they think, well, are you saying that everyone who works at the local paper has done it?
[28:09.000 --> 28:15.000]  No, if these systems are put in place and then they go out and they find people who are not free thinkers
[28:15.000 --> 28:18.000]  to basically implement the program.
[28:18.000 --> 28:27.000]  They regurgitate the national story. They're already the little sycophantic type that'll go with whatever the mindless pop culture narrative is.
[28:27.000 --> 28:34.000]  Absolutely. And I've even had off record conversations like I know you have where people have admitted to me where they've had stories squashed.
[28:34.000 --> 28:35.000]  Oh, yeah.
[28:35.000 --> 28:40.000]  You know, somebody makes a juice call and makes sure a story is squashed or a particular agenda is promoted.
[28:40.000 --> 28:46.000]  So when you're looking at, you know, your local media and you see and you and you go, well, this smells like propaganda.
[28:46.000 --> 28:50.000]  Know that more than likely that person is not conscious.
[28:50.000 --> 28:55.000]  They are in a they put in and put in that position because they they're a proven bootlicker.
[28:55.000 --> 29:02.000]  Almost all local news is written in New York or LA or DC. This is on record and packaged and sent.
[29:02.000 --> 29:09.000]  You tell them a local story and then they send down what you say or it's read off a teleprompter if it's a national story.
[29:09.000 --> 29:20.000]  Right. So so if there's a if you know, there's a man in a high castle somewhere, you know, there's not a lot of them, but they're they're able to through their their control and their and their media control sort of manipulate the storyline.
[29:20.000 --> 29:23.000]  We had your listeners know, you know, and I'm a listener.
[29:23.000 --> 29:34.000]  You know, we know these things are, I mean, we sit back with when when when when when Ferguson started to boil over and you, you know, you had a jacari and big down there.
[29:34.000 --> 29:44.000]  You know, I was watching some of the coverage and it's really interesting, you know, because and it's so important that you do that because you're giving us the real on the street perspective as opposed to propaganda perspective.
[29:44.000 --> 29:48.000]  Stay there. Come back and finish up with that thought. Let's talk about the record.
[29:48.000 --> 30:03.000]  We're on the March. The Empire's on the run. Alex Jones and the GCN radio network sold out for weeks to the difficult and extensive proprietary process behind its creation.
[30:03.000 --> 30:10.000]  The exclusive info wars life secret 12 formulation is now back in stock in the last limited shipment of 2014.
[30:10.000 --> 30:14.000]  The most bioactive form that has been created with our proprietary process.
[30:14.000 --> 30:24.000]  This ultra clean vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[30:24.000 --> 30:33.000]  Secret 12 is taken by mouth right on the tongue and then swallowed. No needles. No injections. Vitamin B12 deficiency is linked to scores of serious problems.
[30:33.000 --> 30:42.000]  And secret 12 is a fusion of two organic proprietary forms of vitamin B12 bringing you a true nutraceutical quality.
[30:42.000 --> 30:59.000]  Vitamin B12 secret 12 secret 12 is an excellent Christmas gift and is tailor made to boost your New Year's resolutions. Supplies of secret 12 are very limited. Secure yours today and info wars life.com are by calling toll free 888-253-3139.
[30:59.000 --> 31:08.000]  As the year is coming to a close, we all pause to reflect on what's happened in the past year. We take a step back and thank God for what we have.
[31:08.000 --> 31:17.000]  I'm David Hall, founder of Diamond Gusset Jeans. At Diamond Gusset we are celebrating the brush fires of liberty that are spreading across this great nation.
[31:17.000 --> 31:26.000]  Another thing we are celebrating is you. Without the valued listeners of Alex Jones and our loyal customers, we wouldn't be here today.
[31:26.000 --> 31:34.000]  We offer a wonderful online shopping experience. If you receive a pair that doesn't fit, send them back and we'll exchange them at no cost to you.
