[00:00:23.526 --> 00:00:25.907]  It's Friday, November 19th.
[00:03:11.689 --> 00:03:20.315]  Remember when he said, oh, it doesn't actually stop transmission and it doesn't stop you getting it, but you won't die as much.
[00:03:20.315 --> 00:03:24.959]  Just made up, pulled out of his rear end, which is his mouth.
[00:03:26.756 --> 00:03:27.617]  And we have the real numbers.
[00:03:27.617 --> 00:03:34.621]  We told you this, and we told you 20 months ago, 21 months ago, that they would do this.
[00:03:34.621 --> 00:03:35.962]  Because it was already scripted.
[00:03:35.962 --> 00:03:36.663]  It was baked in.
[00:03:36.663 --> 00:03:46.850]  Pfizer told its shareholders two years ago, before this even happened, that they're going to have new vaccines for emerging viruses that'll be gene therapies that you've got to take multiple times a year.
[00:03:49.517 --> 00:03:51.738]  Austria, back into lockdown.
[00:03:51.738 --> 00:03:52.479]  Anger builds.
[00:03:52.479 --> 00:03:53.039]  Who's next?
[00:03:53.039 --> 00:03:55.320]  Well, they said, if I never got to it yesterday.
[00:03:55.320 --> 00:03:57.922]  In fact, guys, make sure I have that on my list.
[00:03:57.922 --> 00:03:59.963]  Ireland said, get ready for more lockdowns.
[00:03:59.963 --> 00:04:01.323]  And Germany, more lockdowns.
[00:04:01.323 --> 00:04:02.504]  And France, more lockdowns.
[00:04:02.504 --> 00:04:04.425]  And the UK, more lockdowns.
[00:04:04.425 --> 00:04:07.347]  So get this.
[00:04:07.347 --> 00:04:13.110]  The boosters lower your immunity even faster and give you no protection in the major Israeli studies.
[00:04:13.110 --> 00:04:15.891]  In fact, they lower your immunity and make you get sicker.
[00:04:15.891 --> 00:04:16.972]  That came out six months ago.
[00:04:18.424 --> 00:04:24.514]  And of course, scientists we had on before they even started the injections said this is what happened, because it's not a vaccine, it's a gene therapy.
[00:04:24.514 --> 00:04:26.176]  And one that actually erases your immune system.
[00:04:26.176 --> 00:04:27.579]  I mean, this is not a good one.
[00:04:27.579 --> 00:04:30.603]  They've got the gene therapies that are patented that cure cancer.
[00:04:31.817 --> 00:04:33.258]  But it's unbelievable.
[00:04:33.258 --> 00:04:34.919]  But the public's not getting that.
[00:04:34.919 --> 00:04:35.780]  You can be assured of that.
[00:04:35.780 --> 00:04:37.901]  You're going to get the poison death shot.
[00:04:37.901 --> 00:04:38.842]  So it doesn't work.
[00:04:38.842 --> 00:04:39.622]  It makes you sicker.
[00:04:39.622 --> 00:04:41.443]  So the answer is more shots.
[00:04:41.443 --> 00:04:45.326]  And Biden's getting ready to announce a third round.
[00:04:45.326 --> 00:04:48.868]  And England's already saying, you're going to have your booster or you won't be able to leave your house.
[00:04:48.868 --> 00:04:50.209]  Vaccine passport.
[00:04:50.209 --> 00:04:52.831]  It's worldwide medical tyranny, martial law.
[00:04:52.831 --> 00:04:53.872]  It ain't coming.
[00:04:53.872 --> 00:04:55.573]  You're in it now.
[00:04:55.573 --> 00:04:56.733]  InfoWars.com.
[00:04:56.733 --> 00:04:57.134]  Stay with us.
[00:04:58.922 --> 00:05:23.149]  There are so many crap info wars get prepared mega blowout sale 2021 is live right now the biggest sale of the year free shipping store wide double patriot points and products like turbo force 10 hour clean energy a listener favorite back in stock 40% off again with free shipping double patriot points
[00:05:23.929 --> 00:05:31.197]  On top of that, we also have DNA Force Plus with the PQQ, the Coke U10 to clean out your cells, to boost your immune system.
[00:05:31.197 --> 00:05:32.919]  It's the Rolls Royce of this.
[00:05:32.919 --> 00:05:34.601]  It's 40% off.
[00:05:34.601 --> 00:05:38.946]  And now we have Super Coral Calcium Toothpaste.
[00:05:39.907 --> 00:05:49.391]  Similar to our previous Coral Biting Toothpaste, but even stronger, even more concentrated, it's now back in stock and discounted with free shipping at InfoWarStore.com.
[00:05:49.391 --> 00:05:57.734]  So many great products available at InfoWarStore.com, so please take advantage of these great products that enrich your life and fund the InfoWar.
[00:05:57.734 --> 00:05:58.755]  InfoWarStore.com.
[00:06:10.923 --> 00:06:23.275]  Live from the Infowars.com studios, you're listening to the Alex Jones Show.
[00:06:23.275 --> 00:06:25.056]  Well, they've really got us.
[00:06:25.056 --> 00:06:30.761]  They've got us in their clutches.
[00:06:30.761 --> 00:06:32.643]  You got me.
[00:06:32.643 --> 00:06:33.144]  And I know it.
[00:06:34.423 --> 00:06:37.406]  And I am not going to be your slave.
[00:06:37.406 --> 00:06:41.009]  And admitting that we're going under tyranny is the only way to stop it, ladies and gentlemen.
[00:06:41.009 --> 00:06:43.731]  Admitting it and saying no to it.
[00:06:43.731 --> 00:06:46.053]  If you say yes, you will never get out of it.
[00:06:46.053 --> 00:06:48.855]  In fact, you will be slowly killed.
[00:06:48.855 --> 00:06:52.718]  Alright, here it is, ladies and gentlemen.
[00:06:52.718 --> 00:07:03.007]  Austrian police and army stand up to government's health dictatorship mandates will join massive anti-government freedom scheduled for Saturday.
[00:07:04.411 --> 00:07:08.795]  And we're going to be covering this article extensively and talking about victory at the bottom of the hour.
[00:07:08.795 --> 00:07:13.559]  And I'm going to post, I'm sure Jim Hoff will let me do it, but this article is so important.
[00:07:13.559 --> 00:07:18.224]  I'm going to post this article on Infowars.com, the link to them, but we need solidarity.
[00:07:18.224 --> 00:07:26.711]  And I'm just asking my writers and my crew and all the listeners to promote, to promote worldwide solidarity against this and standing up.
[00:07:26.711 --> 00:07:29.094]  And none of the soldiers ever shoot at the people?
[00:07:30.370 --> 00:07:37.853]  Well, it's that Viva Vendetta moment for real, and it's going to be a Ceausescu moment for these puppets, these dictators.
[00:07:37.853 --> 00:07:42.274]  They're going to be strung up in the town square, or they're going to be killed in firing squads.
[00:07:42.274 --> 00:07:52.738]  And I'm not calling for that, and I don't want to go down that road, but that's where this is going.
[00:07:52.738 --> 00:07:53.798]  Here's the problem.
[00:07:53.798 --> 00:07:56.919]  I've already war-gamed this, and they knew the police and military would start waking up.
[00:07:59.477 --> 00:08:05.858]  As soon as they start to wake up and take action, the Globalists are going to release a super bio-weapon.
[00:08:05.858 --> 00:08:13.880]  They may even use, which we know in studies they have, 5G that can push the oxygen out of your lungs and make you think you're dying of a pneumonia-like illness as well.
[00:08:13.880 --> 00:08:15.901]  Your body has an autoimmune response to it.
[00:08:15.901 --> 00:08:18.761]  We know they've been testing that.
[00:08:18.761 --> 00:08:22.622]  And so they're going to roll out their next attack when this happens.
[00:08:22.622 --> 00:08:26.963]  And then again say, see, you better do what we say or we're not going to give you the cure.
[00:08:28.752 --> 00:08:35.854]  And then they will have a cure, actually, for that real weapon that they'll give the military and police that go along with them.
[00:08:35.854 --> 00:08:37.694]  And then they'll have them hostage.
[00:08:37.694 --> 00:08:40.375]  The military and police will even know it's the globalists releasing it.
[00:08:40.375 --> 00:08:51.298]  It won't be official, but they'll just understand that, hey, you and your families will have this, if you join us, and then they'll be prisoners, basically slave soldiers.
[00:08:51.298 --> 00:08:55.499]  So I've, look, I've ordained every possible outcome here, and
[00:08:57.794 --> 00:09:04.664]  If the police and military, when they do this, go under the control, then they're just going to slowly kill them as well later.
[00:09:04.664 --> 00:09:11.774]  The only chance we have is when they try this to be fully aware of it and have enough people that understand that there's no making a deal with these people.
[00:09:13.956 --> 00:09:25.364]  I mean, I've committed myself into God's hands, and I know every day is a blessing, and I'm very blessed to be here, very blessed to have known this crew, very blessed to have known my parents and my family.
[00:09:25.364 --> 00:09:27.206]  It's just been a great honor.
[00:09:27.206 --> 00:09:30.608]  And I'm not saying they're going to kill me tomorrow or next week, and I will never commit suicide.
[00:09:30.608 --> 00:09:39.175]  It's just that these are the times where you better enjoy every moment you got, because we are in an absolute, undeclared war against humanity right now.
[00:09:39.175 --> 00:09:41.256]  I mean, this is biblical, 100% Satan.
[00:09:45.003 --> 00:09:49.768]  So I'm going to get to it at the bottom of the hour.
[00:09:49.768 --> 00:09:54.714]  It is so amazing to actually be in this day and time.
[00:09:54.714 --> 00:10:04.765]  And so I have all these amazing, interesting articles that are very important and very informative and Kyle Rittenhouse News and Congressman Gosar News and all of it's very interesting.
[00:10:05.834 --> 00:10:08.076]  Joe Biden's going to get a colonoscopy for a couple hours.
[00:10:08.076 --> 00:10:10.257]  He'll be under, so Kamala will be the president.
[00:10:10.257 --> 00:10:11.918]  They all fetishize that.
[00:10:11.918 --> 00:10:17.402]  Oh, the first black woman is president when she's not even black.
[00:10:17.402 --> 00:10:21.345]  And neither one of them are running anything.
[00:10:21.345 --> 00:10:25.428]  They didn't get elected.
[00:10:25.428 --> 00:10:26.349]  None of that matters.
[00:10:28.578 --> 00:10:38.385]  What matters is, I have the British Health Ministry admitting that you are more likely to die, be hospitalized, or become ill if you have the frickin' COVID shot.
[00:10:38.385 --> 00:10:50.134]  And we know from the Israeli studies and others that those that take the third round are hundreds of times more likely to die than if you only had one shot or two shots.
[00:10:50.134 --> 00:10:53.837]  I mean, this is just devastating.
[00:10:53.837 --> 00:10:55.558]  And it's happening.
[00:10:55.558 --> 00:10:57.980]  And then what's the response of the British government and the US government?
[00:10:59.423 --> 00:11:07.786]  Oh, get ready for mandatory third shots, and you're going to have to have a vaccine passport on your phone to do this.
[00:11:07.786 --> 00:11:10.787]  And you ask, why would they do something so bold, so crazy, so insane?
[00:11:10.787 --> 00:11:23.312]  Well, they've already gotten away with, in places like Germany, kidnapping millions of children over the last 40 years and creating a giant system of pedophile networks, millions of children.
[00:11:23.312 --> 00:11:23.672]  Millions.
[00:11:24.741 --> 00:11:27.542]  Tens of thousands per year per town.
[00:11:27.542 --> 00:11:30.362]  Over, really over 40 years.
[00:11:30.362 --> 00:11:33.923]  30 plus thousand in one middle-sized German city alone.
[00:11:33.923 --> 00:11:38.884]  Taken from their parents and given to people to rape them.
[00:11:38.884 --> 00:11:46.045]  Under a interpolled NATO mind control operation.
[00:11:46.045 --> 00:11:49.686]  By the way, if you're a new listener, this is all mainstream news.
[00:11:49.686 --> 00:11:54.247]  Psychiatrists and psychologists taking children from over a million
[00:11:55.831 --> 00:11:58.612]  We're good to go.
[00:12:26.616 --> 00:12:34.301]  And it's a cute date you're on, and you bring her chocolates on Valentine's Day.
[00:12:34.301 --> 00:12:37.824]  Hell, maybe you get married when you're 16, 17, and start early, whatever.
[00:12:37.824 --> 00:12:42.987]  That's all demonized and horrible.
[00:12:42.987 --> 00:12:47.931]  But little children, over a million, hundreds of thousands per state,
[00:12:49.409 --> 00:12:52.893]  Over the decades, taken to create the new culture.
[00:12:52.893 --> 00:13:05.968]  And when you see the men's choir in San Francisco, and a bunch of them are convicted child rapists, and they're licking their lips saying, we're coming for your children, this is our family, this is our love, you will join us, you will love it.
[00:13:05.968 --> 00:13:07.429]  They are proud of it.
[00:13:07.429 --> 00:13:08.751]  They were raped as children.
[00:13:13.137 --> 00:13:15.678]  And that's how you create a new society based on it.
[00:13:15.678 --> 00:13:16.778]  That's how they took over the Vatican.
[00:13:16.778 --> 00:13:17.959]  That's how they took over the universities.
[00:13:17.959 --> 00:13:19.639]  That's how they took over the Boy Scouts.
[00:13:19.639 --> 00:13:22.340]  That's what this is.
[00:13:22.340 --> 00:13:23.261]  And that's what the video is.
[00:13:23.261 --> 00:13:27.162]  It starts with two guys, four guys, six guys, and at the end it's a hundred.
[00:13:27.162 --> 00:13:30.323]  And they say, we're taking them, we're recruiting them, we're grooming them.
[00:13:30.323 --> 00:13:31.444]  It's the new love.
[00:13:31.444 --> 00:13:33.465]  Your children will go on Grindr.
[00:13:33.465 --> 00:13:38.326]  They will have sex with us.
[00:13:38.326 --> 00:13:42.228]  This was defended by newspapers across the country as a good video.
[00:13:44.753 --> 00:13:50.138]  It's because it's run by the people that run the CIA.
[00:13:50.138 --> 00:14:01.447]  This is a government level operation to end civilization as we know it and have a, get them off the screen please, thank you, a literal army of pedophiles.
[00:14:01.447 --> 00:14:03.549]  An army.
[00:14:03.549 --> 00:14:08.253]  The pedophile armies, a hundred million strong now worldwide at least.
[00:14:08.253 --> 00:14:10.055]  One hundred million pedophiles.
[00:14:11.479 --> 00:14:17.725]  That will kill, steal, that will do anything they have to to have access to your children.
[00:14:17.725 --> 00:14:23.130]  And then all their minions and supporters like these guys up here that think it's all cutesy.
[00:14:23.130 --> 00:14:34.641]  And I bet you all the tea in China, I bet you every dollar I got in the bank, I bet you my right arm that 90% of the men on that screen were abused as children.
[00:14:34.641 --> 00:14:35.402]  And you know it's true.
[00:14:37.039 --> 00:14:43.081]  And they all have the same weird affectations and all the weird same mannerisms because it's a cult!
[00:14:43.081 --> 00:14:44.761]  It's a spirit!
[00:14:44.761 --> 00:14:46.641]  It's a program!
[00:14:46.641 --> 00:14:53.923]  And that smiley face and those little piggy eyes is just the cover.
[00:14:53.923 --> 00:14:58.044]  That's just the veneer of It the Clown.
[00:14:58.044 --> 00:15:04.506]  When It wipes that smile off, those children cry out to God.
[00:15:05.836 --> 00:15:07.556]  And who comes to save them in God's name?
[00:15:07.556 --> 00:15:11.017]  Who stands up for them?
[00:15:11.017 --> 00:15:14.598]  Oh, don't talk bad about it or Chase will pull your bank account.
[00:15:14.598 --> 00:15:16.358]  Well, then Chase should have no support.
[00:15:16.358 --> 00:15:16.898]  Look at this.
[00:15:16.898 --> 00:15:22.139]  Chase pulled payment processing for Donald Trump Jr.
[00:15:22.139 --> 00:15:25.340]  Yep, and Trump put up with it when it was happening to all of us.
[00:15:25.340 --> 00:15:30.421]  And I'm not even attacking Trump, but what the hell do you think is going on here?
[00:15:30.421 --> 00:15:34.462]  Our government has been hijacked and illegally signed on with a treaty
[00:15:35.615 --> 00:15:38.796]  With Pfizer and the UN to give them total power over everything.
[00:15:38.796 --> 00:15:40.357]  And a whole bunch of other countries did it too.
[00:15:40.357 --> 00:15:41.478]  Brazil didn't.
[00:15:41.478 --> 00:15:46.820]  Now they're trying to bring, at the UN, Bolsonaro up on crimes against humanity charges.
[00:15:46.820 --> 00:15:47.961]  They want to execute him.
[00:15:47.961 --> 00:15:50.422]  Of course, he'd never get a trial.
[00:15:50.422 --> 00:15:53.583]  They'd kill him like Slobo in jail.
[00:15:53.583 --> 00:15:54.764]  We'll be right back, ladies and gentlemen.
[00:15:54.764 --> 00:15:55.124]  Stay with us.
[00:15:57.782 --> 00:15:59.323]  If you're concerned about the power grid.
[00:16:22.612 --> 00:16:29.882]  On top of that, we also have DNA Force Plus for the PQQ, the Coke U10 to clean out your cells, to boost your immune system.
[00:16:29.882 --> 00:16:32.105]  It's the Rolls Royce of this.
[00:16:32.105 --> 00:16:33.286]  It's 40% off.
[00:16:33.286 --> 00:16:37.632]  And now we have Super Coral Calcium Toothpaste.
[00:16:38.593 --> 00:16:48.076]  Similar to our previous Coral Whitey Toothpaste, but even stronger, even more concentrated, it's now back in stock and discounted with free shipping at InfoWarStore.com.
[00:16:48.076 --> 00:16:56.418]  So many great products available at InfoWarStore.com, so please take advantage of these great products that enrich your life and fund the InfoWar.
[00:16:56.418 --> 00:17:00.239]  InfoWarStore.com.
[00:17:00.239 --> 00:17:01.659]  I know you're humble.
[00:17:01.659 --> 00:17:03.340]  I know you're like me.
[00:17:03.340 --> 00:17:07.521]  But I really want you to sit back and cogitate or meditate
[00:17:08.604 --> 00:17:16.188]  On the fact that those of you that have supported my broadcast and InfoWars over the years have changed the world in incredible ways.
[00:17:16.188 --> 00:17:29.596]  And now, as 2021 prepares to end, and 2022 begins to dawn, it is more important than ever that you realize how important you are and that you be more active than you've ever been.
[00:17:29.596 --> 00:17:31.837]  The tip of the spear is BAM.tv.
[00:17:31.837 --> 00:17:34.959]  The very front lines of the fight for human liberty is InfoWars.com.
[00:17:35.982 --> 00:17:40.626]  And we can't stay on air without your support, so thank you all for your support.
[00:17:40.626 --> 00:17:45.470]  Donate to our legal defense fund to stay on the air at SaveInfoWars.com.
[00:17:45.470 --> 00:17:46.991]  That's SaveInfoWars.com.
[00:17:46.991 --> 00:17:58.240]  And continue to go to InfoWarsStore.com, where right now we've got Turbo Force, sold out for months, 10 hours of energy, back in stock with free shipping, 40% off, and so many other great products.
[00:18:00.589 --> 00:18:08.333]  The globalists are bombarding us with propaganda, and with spiritual warfare, and with poisons and chemicals added to the foods.
[00:18:08.333 --> 00:18:09.874]  It's all come out.
[00:18:09.874 --> 00:18:16.617]  And they're doing that not because we're weak, but because we're made in the image of God, the Creator, and we are powerful.
[00:18:16.617 --> 00:18:19.839]  And the social engineers fear that so much.
[00:18:19.839 --> 00:18:25.622]  So that's why I repeat that famous internet saying that nobody knows who first came up with, but boy, is it true.
[00:18:27.512 --> 00:18:33.335]  The propaganda would not be necessary if the situation was hopeless.
[00:18:33.335 --> 00:18:45.542]  They need all their propaganda and all their lies and all their evil and all their cultural death because they know we are strong and they know in the end they signed on the god of this world who is a loser.
[00:18:46.102 --> 00:18:50.004]  And that's why it's so important that everybody keep Infowars in the air now more than ever.
[00:18:50.004 --> 00:18:55.708]  Because even if you don't believe in God, what the globalists are manifesting and setting up is satanic.
[00:18:55.708 --> 00:18:59.510]  And we are opposing the one world government and the Mark of the Beast they just announced.
[00:19:00.020 --> 00:19:04.864]  I've been fighting as hard as I can for almost 28 years against the globalists.
[00:19:04.864 --> 00:19:06.926]  I wanted to stop their agenda.
[00:19:06.926 --> 00:19:12.410]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[00:19:12.410 --> 00:19:13.511]  But we failed.
[00:19:13.511 --> 00:19:15.173]  Yes, a lot of people are awake.
[00:19:15.173 --> 00:19:16.674]  Yes, we're not getting caught flat-footed.
[00:19:17.014 --> 00:19:23.037]  But they are going ahead with their full operational deindustrialization Great Reset.
[00:19:23.037 --> 00:19:31.962]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show because people are ready to wake up and ready to hear the truth.
[00:19:31.962 --> 00:19:33.043]  So we've got an information
[00:19:33.063 --> 00:19:33.363]  I think so.
[00:20:01.805 --> 00:20:04.439]  You're listening to The Alex Jones Show!
[00:20:24.318 --> 00:20:27.781]  So there's a civil war happening in our hearts and minds.
[00:20:27.781 --> 00:20:34.846]  There's a civil war happening in our churches, in our businesses, in our farms, in our ranches, in our schools.
[00:20:34.846 --> 00:20:36.087]  It's happening inside the Pentagon.
[00:20:36.087 --> 00:20:37.288]  It's happening inside the military.
[00:20:37.288 --> 00:20:39.729]  It's happening inside the intelligence agencies.
[00:20:39.729 --> 00:20:48.796]  There are a lot of good men and women of every race, color, and creed that make up society, but there's a lot of evil people right beside you.
[00:20:51.318 --> 00:20:54.520]  And you can't underestimate how many actual evil people there are.
[00:20:54.520 --> 00:20:55.701]  I used to underestimate it.
[00:20:55.701 --> 00:21:04.167]  There's still a minority, but it's a growing minority because evil is recruiting and training and twisting people.
[00:21:04.167 --> 00:21:08.690]  There are also a lot of really good people that have not been awake and have just been in a trance.
[00:21:08.690 --> 00:21:10.752]  And there's a lot more good people than there are bad people.
[00:21:11.874 --> 00:21:14.134]  And our job is to mobilize those individuals.
[00:21:14.134 --> 00:21:33.158]  So I've got the most important news coming up next segment about the military and police saying no to this tyranny and how the globalists are going to try to stop that and block that and why they want to get the digital society in place up front so that they will then be able to get civilization to do anything they want.
[00:21:33.158 --> 00:21:37.279]  And what their real endgame is and then how the metaverse ties into that.
[00:21:39.130 --> 00:21:47.235]  But let me say this, it's very important when we're fighting this level of evil, to not let it get us down.
[00:21:47.235 --> 00:21:52.678]  And to not let it depress us.
[00:21:52.678 --> 00:21:54.839]  And when I say that, I'm telling myself that.
[00:21:54.839 --> 00:22:00.503]  God's in control, this is all a big test, and we should be rejoicing that actual
[00:22:01.553 --> 00:22:12.318]  Prophecy is being totally revealed and it's unfolding because that just certifies and proves we're on the right track that much more.
[00:22:12.318 --> 00:22:23.263]  Not to mention all the discernment and the spiritual experiences and just all the magic involved with the relationship with the creator of the universe.
[00:22:23.263 --> 00:22:26.024]  So that relationship is everything.
[00:22:26.024 --> 00:22:27.385]  And everything else flows from that.
[00:22:29.193 --> 00:22:46.246]  And I just cannot describe to you, ladies and gentlemen, what it's like, and I know a lot of you already have this experience, when you engage and fight evil and truly get lined up with God, how amazing the universe opening up is.
[00:22:46.246 --> 00:22:53.512]  I mean, the things happening in my life, the things that are happening with my mind now, are just unbelievable.
[00:22:53.512 --> 00:22:58.756]  And I can understand why God does not give this type of power to evil people.
[00:22:59.947 --> 00:23:05.390]  And I think that's why they hate those of us that love God, because they've got a good idea.
[00:23:05.390 --> 00:23:07.090]  And wow!
[00:23:07.090 --> 00:23:12.473]  I've always had discernment, but now it's just super strong.
[00:23:12.473 --> 00:23:13.673]  Very powerful now.
[00:23:13.673 --> 00:23:15.574]  And it's hard to deal with.
[00:23:15.574 --> 00:23:20.436]  It's hard to look at each thing and have such knowledge about it that it's just overwhelming.
[00:23:25.814 --> 00:23:45.882]  The only reason I tell you this is so you really think about how the magic of consciousness and God's gifts are just so incredible and one second of life, like Dr. Zelenko says, is just a precious moment in time and is a universe in and of itself.
[00:23:45.882 --> 00:23:47.003]  And I love Dr. Zelenko.
[00:23:47.003 --> 00:23:47.803]  I love him.
[00:23:47.803 --> 00:23:49.924]  And I love all of you.
[00:23:49.924 --> 00:23:52.325]  And we just have to get the Christ consciousness.
[00:23:53.547 --> 00:23:56.788]  I mean, there's an old Jewish doctor telling you we need the Christ Consciousness.
[00:23:56.788 --> 00:23:58.228]  It's real, folks.
[00:23:58.228 --> 00:23:58.888]  God.
[00:23:58.888 --> 00:24:00.709]  God Consciousness.
[00:24:00.709 --> 00:24:02.950]  And it's happening.
[00:24:02.950 --> 00:24:06.811]  And you either take on the spirit or you take on the evil spirit.
[00:24:06.811 --> 00:24:10.312]  I'm going to say this here and then I'm going to move to all the big news.
[00:24:10.312 --> 00:24:11.292]  I'm speaking from the heart here.
[00:24:12.774 --> 00:24:16.860]  I tend to get so angry and so upset about this and fatalistic.
[00:24:16.860 --> 00:24:18.602]  We don't want the enemy tricking us into that.
[00:24:18.602 --> 00:24:22.307]  We want to be very measured with what we do.
[00:24:22.307 --> 00:24:24.310]  We do not want to be reckless.
[00:24:24.310 --> 00:24:25.972]  Believe me, I'm pointing fingers back at myself.
[00:24:25.972 --> 00:24:27.634]  I'm a reckless person sometimes.
[00:24:27.634 --> 00:24:28.215]  Very reckless.
[00:24:29.224 --> 00:24:32.126]  And we need to just have the Holy Spirit direct us.
[00:24:32.126 --> 00:24:33.127]  He's got to direct us.
[00:24:33.127 --> 00:24:46.576]  And we need to think long term because even though things look really bad now and things are out of control, I can see us pushing back this wave, except in a few sectors where they beta test their control grid cities that I'll cover next segment.
[00:24:46.576 --> 00:24:51.719]  And then the wave of liberty is going to push back for a while.
[00:24:51.719 --> 00:24:58.664]  And so we have to keep thinking about building infrastructure and in standing up and developing our own communities of thought and culture.
[00:25:00.374 --> 00:25:11.279]  And a physical land and assets and that God wants us to inherit the earth and God wants us to go forth and be fruitful and be successful and multiply.
[00:25:11.279 --> 00:25:16.782]  And so in the face of them trying to shut us all down, we need to become bigger, stronger.
[00:25:16.782 --> 00:25:22.365]  We need to push back against it and not use it as something that crushes us, but something that is there to test us and empower us.
[00:25:22.365 --> 00:25:28.548]  So I cannot stress to you enough how important it is that you support the broadcast.
[00:25:29.824 --> 00:25:36.568]  Obviously we're being railroaded by these political courts and all the things that are going on against us.
[00:25:36.568 --> 00:25:48.915]  And we can hold on in our current operational phase for years while other incredible avenues are being opened up and prepared on so many fronts.
[00:25:50.598 --> 00:25:52.240]  On so many fronts.
[00:25:52.240 --> 00:25:56.626]  I'm talking about the chain reaction happening right now, not about physically what I'm setting up or doing.
[00:25:56.626 --> 00:25:58.488]  That's a very small part of this.
[00:25:58.488 --> 00:26:01.913]  I've already detonated our main weapon.
[00:26:01.913 --> 00:26:03.495]  And now it's having its effect.
[00:26:03.495 --> 00:26:08.140]  And I've got more weapons, culture weapons, preparing to detonate.
[00:26:09.835 --> 00:26:12.236]  And it's going to be spectacular.
[00:26:12.236 --> 00:26:18.797]  So, I'm just telling you, our most important work is coming, but we've already blown a giant hole in the enemy.
[00:26:18.797 --> 00:26:20.258]  We already won, okay?
[00:26:20.258 --> 00:26:20.878]  They already know it.
[00:26:20.878 --> 00:26:21.718]  They're pissed.
[00:26:21.718 --> 00:26:22.578]  They know.
[00:26:22.578 --> 00:26:26.759]  They know this broadcast, the guest, all of us together, was just a weapon.
