[00:00:01.380 --> 00:00:06.802]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:02:47.853 --> 00:02:51.616]  Kurt Nemo's written a story about it at Infowars.com.
[00:02:51.616 --> 00:02:54.899]  Measure will strip sovereignty of member states.
[00:02:54.899 --> 00:02:56.360]  And the New American's reporting on it.
[00:02:56.360 --> 00:02:58.322]  Zero Hedge is reporting on it.
[00:02:58.322 --> 00:03:01.424]  It is simply mind-blowing.
[00:03:01.424 --> 00:03:02.605]  And this is what's being said.
[00:03:02.605 --> 00:03:04.547]  I mean, we knew they'd do it.
[00:03:04.547 --> 00:03:09.651]  We knew they'd come out and say, oh, sorry, it wasn't 75% or another member state of your
[00:03:12.461 --> 00:03:22.185]  United Kingdom, Scotland didn't vote to do it, so they can block you, or we're going to hold your bank account money, or we're going to blockade your trade.
[00:03:22.185 --> 00:03:37.592]  Well, Europe is teetering just as bad as the UK is under globalist control, so England should play guts ball with these EU bureaucrats and say, listen you unelected slimes, the only difference between you and Hitler is you're not driving Panzer tanks and don't have Stuka's dive bombing
[00:03:40.854 --> 00:03:47.256]  Krakow in London and Leningrad.
[00:03:47.256 --> 00:04:00.100]  Civil uprising escalates as eight EU nations threaten referendum as the eighth nation joins it and their response is, hey, we're coming with our military.
[00:04:00.100 --> 00:04:04.322]  The EU overthrew two and a half years ago Ukraine, an elected government.
[00:04:05.993 --> 00:04:18.441]  Installed right-wing fascists that actually howl Hitler and then they invaded the east so hardcore That's always been Russian held that the Russians begged and seceded And they call that Russian aggression.
[00:04:18.441 --> 00:04:30.269]  Listen, I'm an American I don't have a dog in this fight other than the fact that I don't want to be part of a country that's assigned to NATO in the UN and and and the EU that are running around starting World War three and
[00:04:32.529 --> 00:04:37.853]  And the Russians have come out, Putin came out in a statement and said this is similar to the collapse of the Soviet Union.
[00:04:37.853 --> 00:04:38.934]  And it is.
[00:04:38.934 --> 00:04:49.182]  An unelected, criminal, fatalitarian, socialist, communist, militaristic, power-grabbing, out-of-control organization.
[00:04:49.182 --> 00:04:56.128]  That fits the EU to a T. It fits the old Soviet Union to a T. The EU needs to be destroyed!
[00:05:00.302 --> 00:05:08.872]  Both GOP nominee Donald Trump and leftist investor George Soros have predicted the complete downfall of the European Union, despite Trump being a nationalist and Soros a globalist.
[00:05:08.872 --> 00:05:18.703]  The two billionaires both independently declared that they believe a domino effect has been started by Britain's decision to leave the EU, and the process will be difficult for anyone to stop, as reported by Steve Watson.
[00:05:18.703 --> 00:05:19.564]  Soros said, quote,
[00:05:19.764 --> 00:05:25.469]  Now the catastrophic scenario that many feared has materialized, making the disintegration of the EU practically irreversible.
[00:05:25.469 --> 00:05:34.017]  Trump also predicted a complete breakup of the EU, and also warned that the continent would be completely unrecognizable within 10 years if strict immigration controls are not enacted.
[00:05:34.017 --> 00:05:35.238]  Trump told reporters, quote,
[00:05:41.263 --> 00:05:45.148]  Trump is referring to the resistance Scottish politicians are still giving Brexit.
[00:05:45.148 --> 00:05:47.631]  He continued, stating that, For more news, visit InfoWars.com.
[00:05:47.631 --> 00:05:48.693]  This is Kit Daniels reporting.
[00:06:00.109 --> 00:06:01.730]  Clean, pure drinking water.
[00:06:01.730 --> 00:06:03.230]  You can't survive without it.
[00:06:03.230 --> 00:06:04.430]  But where do you get it?
[00:06:04.430 --> 00:06:10.412]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:06:10.412 --> 00:06:16.134]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:06:16.334 --> 00:06:33.202]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:06:33.602 --> 00:06:36.083]  Filter capacity up to 5,000 gallons.
[00:06:36.083 --> 00:06:37.544]  Stainless steel construction.
[00:06:37.544 --> 00:06:38.584]  Easy assembly.
[00:06:38.584 --> 00:06:39.505]  Low maintenance.
[00:06:39.505 --> 00:06:41.586]  Replacement filters are simple to install.
[00:06:41.586 --> 00:06:48.869]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:06:48.869 --> 00:06:54.071]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:06:54.071 --> 00:06:56.632]  Go to InfowarsStore.com or call 888-253-3139.
[00:07:00.154 --> 00:07:08.336]  If you ever wanted a great deal on a powerful solar generator, but were waiting for an outrageously low price, you are not going to want to miss this important message.
[00:07:08.336 --> 00:07:09.136]  Here's why.
[00:07:09.136 --> 00:07:13.277]  My friends, we already see major power grid problems, and it's getting worse.
[00:07:13.277 --> 00:07:14.217]  So please listen.
[00:07:14.217 --> 00:07:17.918]  Solar generators really do provide life-saving electrical power.
[00:07:17.918 --> 00:07:24.280]  And unlike gas generators, solar generators run silently, emit no fumes or gases, and produce electricity from the sun.
[00:07:24.280 --> 00:07:28.401]  Whether it's dangerous summer storms, blackouts, intensifying civil unrest,
[00:07:28.641 --> 00:07:31.582]  You're not going to have to suffer through it like the rest of the sheep.
[00:07:31.582 --> 00:07:33.943]  And here's the best news if you want to get one this week.
[00:07:33.943 --> 00:07:38.765]  Solutions from Science has a big sale on their fast-charge solar generators.
[00:07:38.765 --> 00:07:45.507]  And they're giving away a couple thousand dollars worth of off-the-grid gear in addition to the low price for InfoWars listeners.
[00:07:45.507 --> 00:07:47.247]  So it's a good time to check it out.
[00:07:47.247 --> 00:07:48.948]  Go to gridwars.com.
[00:07:48.948 --> 00:07:50.669]  That's gridwars.com.
[00:07:50.669 --> 00:07:54.550]  It's a great opportunity to generate maximum electricity with minimum money.
[00:07:54.550 --> 00:07:56.110]  Go to gridwars.com.
[00:07:56.110 --> 00:07:57.231]  That's gridwars.com.
[00:08:11.281 --> 00:08:20.804]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:08:20.804 --> 00:08:23.005]  The story's linked up at DrudgeReport.com.
[00:08:23.005 --> 00:08:26.486]  It's linked up on InfoWars.com as well.
[00:08:26.486 --> 00:08:33.948]  The Daily Caller, Democratic Party platform calls for prosecuting global warming skeptics.
[00:08:33.948 --> 00:08:39.370]  And they have the subsection there and even a video of them talking about how wonderful it's going to be.
[00:08:41.656 --> 00:08:51.658]  That is the criminal persecution of the American people in line with what the UN's been saying they want.
[00:08:51.658 --> 00:09:09.801]  If you come out and expose this criminal world government takeover that is to be funded with at least 100 trillion every decade off of carbon taxes with Hillary Clinton, Al Gore, Bill Clinton, most of the British leadership, Obama, the Rothschilds,
[00:09:11.547 --> 00:09:23.622]  The other classic elitist names, the Soroses, all standing to make billions apiece per year off of all of your carbon activity.
[00:09:24.701 --> 00:09:27.002]  Because they haven't been able to implement this all over the United States.
[00:09:27.002 --> 00:09:37.148]  I see it in Austin, I see it in San Francisco particularly, so-called liberal areas, that means brainwashed cult member, anti-liberal areas, zombie areas, fascist areas, slave areas, where people love being slaves.
[00:09:37.148 --> 00:09:43.331]  They have carbon indulgences on their car, like you're paying it to the Vatican to stay out of hell or something, you know, Cicero, 800 years ago.
[00:09:43.331 --> 00:09:49.294]  And it says, I pay a carbon tax to this private company.
[00:09:49.294 --> 00:09:51.796]  And then they offset what I'm doing, planting trees or whatever.
[00:09:52.813 --> 00:09:55.675]  Of course, it turns out almost all of that's a giant scam as well.
[00:09:55.675 --> 00:10:07.404]  But this is just where you pay for carbon taxes directly to the London and Chicago and Frankfurt mercantiles and the Paris mercantiles for a giant commodities screwjob.
[00:10:07.404 --> 00:10:16.131]  A global commodities tax run and operated by private interest, tax-exempt with diplomatic immunity.
[00:10:16.131 --> 00:10:21.315]  Of course they want to arrest you if you call these criminals.
[00:10:22.569 --> 00:10:24.650]  Simply mind-blowing.
[00:10:24.650 --> 00:10:26.231]  I mean, we told you it was coming.
[00:10:26.231 --> 00:10:30.172]  They have personally said that I should be arrested in major British newspapers.
[00:10:30.172 --> 00:10:32.893]  They say it on a weekly basis about Lord Monckton.
[00:10:32.893 --> 00:10:34.114]  They talk about Mark Moreno.
[00:10:34.114 --> 00:10:39.036]  They actually had wanted signs in Paris when he premiered his film a few months ago there in Paris.
[00:10:39.036 --> 00:10:43.558]  And you're like, oh, they're just joking around.
[00:10:43.558 --> 00:10:46.699]  No, they're not.
[00:10:46.699 --> 00:10:48.760]  You saw what happened in Sacramento.
[00:10:48.760 --> 00:10:50.821]  Two idiot groups in a fight with each other.
[00:10:52.011 --> 00:10:52.731]  But here's the difference.
[00:10:52.731 --> 00:10:56.814]  At least the neo-Nazis were anti-globalists and understand this country's being captured.
[00:10:56.814 --> 00:11:08.279]  The useful, idiot, racist BAM group, by any means necessary, that's really an anti-white group from my research, they ran around and began beating people with sticks and hitting them over the head.
[00:11:08.279 --> 00:11:15.343]  And so, wow, the white nationalists stabbed them back.
[00:11:15.343 --> 00:11:17.104]  And so I'll tell you who's in the wrong here.
[00:11:17.104 --> 00:11:18.485]  It's the communists.
[00:11:19.773 --> 00:11:22.413]  And by the way, they are so Ford Foundation funded, it is just...
[00:11:23.516 --> 00:11:24.717]  Ridiculous.
[00:11:24.717 --> 00:11:31.163]  The image of the police, though, in their black uniforms, taking photos of who's stabbing who and who's hitting who.
[00:11:31.163 --> 00:11:33.665]  We're showing that right now on TV for TV viewers.
[00:11:33.665 --> 00:11:35.987]  Please never forget, if you're a new listener, we're not just radio.
[00:11:35.987 --> 00:11:38.249]  We like to add an added dimension of documentation.
[00:11:38.249 --> 00:11:44.454]  Infowars.com forward slash show and the TV stations around the country, cable stations, starting to pick up the show.
[00:11:44.454 --> 00:11:50.579]  I haven't really gone to that phase of launch yet because I've been so busy getting new reporters and adding crew and
[00:11:51.701 --> 00:11:56.531]  But we've got cable station in Houston and some UHF and VHF and cable stations around the country.
[00:11:56.531 --> 00:12:00.079]  It's more than 20 right now, I know, but we're about to do a big push and get hundreds.
[00:12:01.758 --> 00:12:05.661]  A lot of it's also funding, but I'm going to digress from there.
[00:12:05.661 --> 00:12:12.125]  Everybody knows InfoWars is exponentially growing and reaching more people, especially when it comes to the Internet itself.
[00:12:12.125 --> 00:12:22.872]  That's why the federal government bought out by foreign interest isn't just pushing with the Democrats to arrest people that talk about man-made global warming being a tax scam fraud.
[00:12:22.872 --> 00:12:24.853]  They are also coming out
[00:12:26.491 --> 00:12:39.975]  And pushing, taxing by the mile with the magic boxes in the last 14, 15 years or so that magically fell into all the cars manufactured from North America to Europe to Japan to South Korea to China.
[00:12:39.975 --> 00:12:50.619]  Global standardization by accident of little boxes that you pay for as part of the cost of the car to tax you by the mile, but they're also going to keep the gas tax on top of it.
[00:12:52.062 --> 00:12:54.524]  I've been telling you that for 20 years.
[00:12:54.524 --> 00:12:57.806]  It's now started in Europe, it's now started in many states like Oregon.
[00:12:57.806 --> 00:13:07.032]  Now the Washington Post announces the whole East Coast is about to go together in a giant screw job of epic proportions.
[00:13:07.032 --> 00:13:10.615]  And the attack on free speech just accelerates.
[00:13:10.615 --> 00:13:12.156]  But we're going to be looking at all of that.
[00:13:12.156 --> 00:13:19.321]  Speaking of the devil, ABC News reports, here's the headline, UN says more Central Americans headed to US.
[00:13:20.467 --> 00:13:42.268]  And right down in McCallum, Texas, where two of our reporters are today, and are going to be coming on the broadcast, incidentally, where two of our reporters are right now, they just announced, oh yeah, there's hundreds of thousands from Latin America, they just show up, they're illegal, the newscast admits, but then they're just set up at the bus station by the
[00:13:44.161 --> 00:13:54.851]  Border Patrol, and then they get given vouchers, and they get sent to different areas of the country, just released out into the open, but sent to Democratic Party facilities to be set up, put on welfare, give a driver's license.
[00:13:54.851 --> 00:14:00.776]  Remember a flashback about this two years ago, back in June of 2014?
[00:14:00.776 --> 00:14:04.540]  Jakari Jackson and others showed you them admitting all this.
[00:14:06.647 --> 00:14:08.028]  Of course, I can't go to Honduras.
[00:14:08.028 --> 00:14:09.028]  I can't go to Chile.
[00:14:09.028 --> 00:14:11.910]  I can't go to Central or South America and get anything free.
[00:14:11.910 --> 00:14:17.413]  But it's like, oh, it's families with children and their husbands, of course, and others.
[00:14:17.413 --> 00:14:18.954]  70% are children.
[00:14:18.954 --> 00:14:23.396]  And it doesn't matter if Kevin Pagan, emergency management person, thinks it's OK.
[00:14:23.396 --> 00:14:25.537]  It's not.
[00:14:25.537 --> 00:14:28.659]  And no one covered this but Drudge two years ago.
[00:14:28.659 --> 00:14:30.680]  And now it's, oh, the local news.
[00:14:30.680 --> 00:14:31.920]  Oh, we're just being loving.
[00:14:31.920 --> 00:14:32.601]  We're helping.
[00:14:33.806 --> 00:14:35.627]  And then, don't forget this headline from a few months ago.
[00:14:35.627 --> 00:14:36.428]  It just ties in.
[00:14:36.428 --> 00:14:43.693]  Obama administration and UN announced global police force to fight extremism in US.
[00:14:43.693 --> 00:14:51.779]  The Strong Cities Initiative, and they're suing Arpaio and others, that if a drunk driver happens to be illegal, he takes him to jail, and that's mean.
[00:14:54.437 --> 00:14:56.938]  So, isn't that just precious?
[00:14:56.938 --> 00:15:00.539]  Isn't that just the cutest thing you've ever seen in your life?
[00:15:00.539 --> 00:15:01.019]  This is it.
[00:15:01.019 --> 00:15:03.480]  People say, oh, the UN doesn't run things.
[00:15:03.480 --> 00:15:05.180]  You know, the US and Europe do.
[00:15:05.180 --> 00:15:23.186]  Yes, the UN is the multinational group with the IMF, the World Bank, the World Trade Organization, where multinational corporations set up boards and then they get governments to consolidate power into unions and then those unions waive their power to dictatorial, unelected, secret corporate boards
[00:15:24.403 --> 00:15:31.487]  And the EU Parliament is admittedly ceremonial, has no power, it's advisory.
[00:15:31.487 --> 00:15:41.132]  And then now the EU announced Sunday, Soros came out and said, quote, we need to have an emergency reconstitution.
[00:15:41.132 --> 00:15:46.375]  First, the EU needs to go down, but then it needs to be reconstituted into a super state.
[00:15:46.375 --> 00:15:46.855]  And guess what?
[00:15:46.855 --> 00:15:48.376]  The proposal is now out.
[00:15:48.376 --> 00:15:52.318]  The Polish newspapers have gotten the proposal from The Hague in the Netherlands.
[00:15:52.318 --> 00:15:53.499]  And guess what it says?
[00:15:55.785 --> 00:16:04.334]  Members that are still in are having their governments dissolved and their militaries dissolved and are going under EU command.
[00:16:04.334 --> 00:16:07.718]  The militaries will still stand but will now have EU commanders.
[00:16:07.718 --> 00:16:13.685]  That's just like when the Germans came into France and let the French Army in place but put their commanders in place.
[00:16:15.179 --> 00:16:16.279]  Because the public went along with it.
[00:16:16.279 --> 00:16:18.120]  They were called the Vichy French.
[00:16:18.120 --> 00:16:23.842]  And I hammer that because Germany didn't really beat France in two weeks.
[00:16:23.842 --> 00:16:27.443]  They didn't just really run over the Maginot Line and the Blitzkrieg.
[00:16:27.443 --> 00:16:36.506]  They had a deal with almost the entire general staff of the French to take over and turn power over to them and set it up in the south of France and they did.
[00:16:36.506 --> 00:16:38.826]  But that's barely in the history books.
[00:16:38.826 --> 00:16:42.427]  It's an absolute incontrovertible fact.
[00:16:42.427 --> 00:16:43.828]  But that's what globalism is.
[00:16:45.038 --> 00:16:50.120]  Most of war is using your intelligence agencies to buy off foreign governments before you invade.
[00:16:50.120 --> 00:16:54.662]  That's what they did to Iraq in 1991 and in 2003.
[00:16:54.662 --> 00:17:01.645]  And then they have Panetta, the former head of the CIA, come out when Trump talks about it and go, we didn't pay anybody off in Iraq.
[00:17:01.645 --> 00:17:03.586]  That's ridiculous.
[00:17:03.586 --> 00:17:06.627]  They paid Iraq off upwards of $60 billion, admittedly.
[00:17:11.041 --> 00:17:16.444]  Before, during, and after that so-called invasion in the first year.
[00:17:16.444 --> 00:17:20.385]  That's admitted.
[00:17:20.385 --> 00:17:25.167]  But that's how dumb they think you are.
[00:17:25.167 --> 00:17:26.048]  And that's what they've done here.
[00:17:26.048 --> 00:17:34.532]  They've come in and bought off the government, and we're openly going under world government, and they have an Atlantic Treaty merging the NAU that was signed in secret in 2005 in Baylor,
[00:17:37.412 --> 00:17:43.097]  University in Waco, Texas by Vicente Fox, Paul Martin, and George W. Bush.
[00:17:43.097 --> 00:17:44.138]  And it was even the local paper.
[00:17:44.138 --> 00:17:45.099]  They signed a treaty.
[00:17:45.099 --> 00:17:46.280]  It's secret.
[00:17:46.280 --> 00:17:51.465]  Then we, two years later, they are having the Banff meeting to ratify it in secret.
[00:17:51.465 --> 00:17:52.666]  Judicial Watch sues.
[00:17:52.666 --> 00:17:54.308]  Gets 2,000 plus pages.
[00:17:54.308 --> 00:17:58.612]  I actually read or scanned all 2,000 pages and made the film in-game.
[00:17:58.612 --> 00:18:03.276]  And I show the pages with an admitting stealth integration to world government.
[00:18:05.694 --> 00:18:14.081]  With the goals of the total corporate rule, with the corporations voting, and then having the heads of state agree, executively, to follow it.
[00:18:14.081 --> 00:18:16.102]  And I made the film Endgame.
[00:18:16.102 --> 00:18:17.664]  Talk about sensational.
[00:18:17.664 --> 00:18:18.604]  That's how this works.
[00:18:18.604 --> 00:18:20.326]  That's how the TPP works.
[00:18:20.326 --> 00:18:26.250]  That's how all this works, and it's being done out in the open now.
[00:18:26.250 --> 00:18:31.314]  And their answer is not to hold Europe hostage and plunge their stock market.
[00:18:31.314 --> 00:18:32.716]  They're already plunging the stock market.
[00:18:33.750 --> 00:18:41.154]  Soros is running around saying British exit makes EU disintegration irreversible, but again, on the ashes of it, he wants to build a super state.
[00:18:41.154 --> 00:18:44.016]  So some will say, well then, this is actually a trap, it's a setup.
[00:18:44.016 --> 00:18:44.756]  No, they're opportunists.
[00:18:44.756 --> 00:18:48.518]  When they start losing one angle, they jump to the other side.
[00:18:48.518 --> 00:18:50.119]  They're divide and conquer.
[00:18:50.119 --> 00:18:51.520]  It's full spectrum dominance.
[00:18:51.520 --> 00:18:55.482]  They fund ISIS and Al Qaeda, they fight ISIS and Al Qaeda.
[00:18:55.482 --> 00:18:59.224]  They fund the Arab Spring, then they fight the Arab Spring.
[00:18:59.224 --> 00:18:59.985]  Order out of chaos.
[00:19:04.602 --> 00:19:18.470]  But why we're winning is we're educating the public that there's really a corporate world shadow government who, by the way, wants you to be impoverished and controlled towards a eugenics phased out soft kill.
[00:19:18.470 --> 00:19:19.210]  That's not rhetoric.
[00:19:19.210 --> 00:19:19.951]  That's the truth.
[00:19:19.951 --> 00:19:20.871]  You're seeing it all.
[00:19:20.871 --> 00:19:21.632]  Manifest.
[00:19:21.632 --> 00:19:22.472]  Everything I've told you.
[00:19:22.472 --> 00:19:23.833]  Word for word happening.
[00:19:23.833 --> 00:19:25.474]  Because it's a game plan.
[00:19:25.474 --> 00:19:27.275]  Not my opinion.
[00:19:27.275 --> 00:19:29.756]  I wish I could say I just envisioned all this and I was psychic.
[00:19:29.756 --> 00:19:30.357]  That's not the case.
[00:19:31.926 --> 00:19:34.367]  Everybody's got a sixth sense, but it goes beyond that.
[00:19:34.367 --> 00:19:36.548]  You gotta know what you're looking at, historically.
[00:19:36.548 --> 00:19:37.668]  And it's all here!
[00:19:37.668 --> 00:19:40.349]  You just gotta admit it's happening, then we can beat it!
[00:19:40.349 --> 00:19:46.331]  But the good news is, we're admitting world government, we're admitting it's totalitarian, we're admitting it's far removed, illegitimate, and lying.
[00:19:46.331 --> 00:19:50.653]  Once you get to that point, only dictatorship can keep them in place, and those always fall!
[00:19:50.653 --> 00:19:56.755]  And the EU's now announcing a military dicta- They're actually saying, prepare for us to take over your governments!
[00:19:56.755 --> 00:19:58.216]  I mean, this is sensational!
[00:20:00.256 --> 00:20:01.798]  Hi, this is Ron Paul.
[00:20:01.798 --> 00:20:05.942]  I'm a former 22-year congressman and Republican presidential candidate.
[00:20:05.942 --> 00:20:09.665]  I'm here to tell you about something that just might save your lives.
[00:20:09.665 --> 00:20:14.530]  You never know when there will be another Katrina, an economic collapse, or a serious drought.
[00:20:14.530 --> 00:20:18.193]  We should all have a little food storage that will carry us through tough times.
[00:20:18.193 --> 00:20:20.496]  I'm going to tell you about a great way to do that.
[00:20:20.996 --> 00:20:21.497]  A U.S.
[00:20:21.497 --> 00:20:26.384]  company named Harvest Right has a kitchen appliance that can help you be prepared.
[00:20:26.384 --> 00:20:28.006]  It's a home freeze dryer.
[00:20:28.006 --> 00:20:31.290]  With the product, you can preserve the foods your family loves.
[00:20:31.290 --> 00:20:35.676]  And the best part is, the food will last 25 years and still taste great.
[00:20:36.357 --> 00:20:38.098]  I've tried it and it's amazing.
[00:20:38.098 --> 00:20:43.282]  With a home freeze dryer from Harvest Right, you can literally freeze dry anything you eat.
[00:20:43.282 --> 00:20:45.143]  Even things like ice cream.
[00:20:45.143 --> 00:20:47.604]  To learn more, call Harvest Right today at 800-594-4635.
[00:20:47.604 --> 00:20:48.745]  Or go to HarvestRight.com.
[00:20:48.745 --> 00:20:49.045]  That's 800-594-4635.
[00:20:57.671 --> 00:21:05.016]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:21:05.016 --> 00:21:13.823]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:21:13.823 --> 00:21:17.766]  Youngevity also offers you an ingenious way to augment your income.
[00:21:17.766 --> 00:21:18.546]  And the best part?
[00:21:18.546 --> 00:21:21.428]  You'll be helping your friends and family along the way.
[00:21:21.428 --> 00:21:24.030]  Visit infowarsteam.com today.
[00:21:24.030 --> 00:21:24.791]  Become a member.
[00:21:24.791 --> 00:21:26.652]  Get discounts on the amazing products.
[00:21:26.772 --> 00:21:29.072]  And free shipping when you sign up for auto-ship.
[00:21:29.072 --> 00:21:35.774]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:21:35.774 --> 00:21:36.714]  Another win-win.
[00:21:36.714 --> 00:21:40.435]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:21:40.435 --> 00:21:41.675]  And you can be too.
[00:21:41.675 --> 00:21:42.235]  It's simple.
[00:21:42.235 --> 00:21:45.156]  Just go to Infowarsteam.com today.
[00:21:45.156 --> 00:21:47.256]  Complete a short sign-up and you're part of the team.
[00:21:47.256 --> 00:21:50.477]  That's Infowarsteam.com or Infowarshealth.com.
[00:21:50.477 --> 00:21:56.618]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:21:56.799 --> 00:21:58.070]  Check it out for yourself today.
[00:21:59.597 --> 00:22:09.024]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:22:09.024 --> 00:22:13.447]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:22:13.447 --> 00:22:20.452]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:22:20.452 --> 00:22:22.334]  Buy now at DefenderShield.com.
[00:22:22.334 --> 00:22:24.735]  For 10% off, use promo code GCN.
[00:22:24.735 --> 00:22:28.258]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:22:29.184 --> 00:22:37.027]  There is an affordable alternative to the high cost of health care that offers freedom from insurance while providing compliance with the Obamacare mandate.
[00:22:37.027 --> 00:22:43.350]  Imagine having access to quality, affordable health care that allows you the freedom to choose your doctor and hospital.
[00:22:43.350 --> 00:22:49.092]  Members can share up to 100% of necessary medical expenses, including alternative treatments.
[00:22:49.092 --> 00:22:53.874]  Find out how you and your family can contain health care costs without giving up your freedom.
[00:22:53.874 --> 00:22:56.075]  Go to LibertyOnCall.org.
[00:22:56.075 --> 00:22:58.016]  That's LibertyOnCall.org.
[00:22:59.085 --> 00:23:05.848]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:23:05.848 --> 00:23:10.111]  Since 2005, thousands have depended on Berkey Purified Water.
[00:23:10.111 --> 00:23:14.733]  The Berkey guy provides the lowest price filtration systems in every size.
[00:23:14.733 --> 00:23:20.296]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:23:20.296 --> 00:23:20.436]  877-886-3653.
[00:23:20.436 --> 00:23:20.776]  GoBerkey.com
[00:23:28.960 --> 00:23:30.141]  This is Alex Jones.
[00:23:30.141 --> 00:23:33.162]  Thousands of people seeking home security get ripped off every day.
[00:23:33.162 --> 00:23:39.745]  The security industry uses hordes of salesmen to scare you into signing long-term contracts with no way out.
[00:23:39.745 --> 00:23:42.807]  Protect your family the right way with SimpliSafe.
[00:23:42.807 --> 00:23:52.192]  SimpliSafe has no long-term contracts, no hidden fees, 24-7 monitoring, and it's just $14.99 a month, three times less than most other security companies.
[00:23:52.192 --> 00:23:56.454]  Visit SimpliSafeDefense.com to get 10% off for listening to my show.
[00:23:56.454 --> 00:23:57.755]  SimpliSafeDefense.com
[00:24:06.392 --> 00:24:09.776]  It really is dizzying.
[00:24:09.776 --> 00:24:12.839]  Dizzying is the word.
