[00:00.000 --> 00:13.680]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[06:39.280 --> 06:43.080]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding
[06:43.080 --> 06:48.440]  in the body's natural processes, but it also assists with many other functions of the body.
[06:48.440 --> 06:52.120]  Apply your mind and body, and take your health to the next level.
[06:52.120 --> 06:55.440]  Experience the power of Seeker 12 at InfowarsLife.com.
[06:55.440 --> 06:58.440]  That's InfowarsLife.com.
[06:58.440 --> 07:04.640]  Men, give your body the support it needs with Infowars Life Prostaguard.
[07:04.640 --> 07:08.880]  It's time to start assisting the body in regulating proper prostate balance.
[07:08.880 --> 07:13.040]  Infowars Life has set out to bring you formulations that are not only the highest quality out
[07:13.040 --> 07:17.720]  there, but formulas that you can use on a daily basis to give your body the natural herbs
[07:17.720 --> 07:20.240]  and extracts that our experts recommend.
[07:20.240 --> 07:24.920]  The Prostaguard formula does just that with this mixture of plant-based nutrients and
[07:24.920 --> 07:27.840]  antioxidants that help give your body total support.
[07:27.840 --> 07:35.600]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3,
[07:35.600 --> 07:38.080]  selenium, and copper.
[07:38.080 --> 07:41.400]  Prostaguard is something that the men on the Infowars crew take every day, and from
[07:41.400 --> 07:45.320]  our research, it's something that men should really be adding to their daily regimen in
[07:45.320 --> 07:48.360]  order to keep their body going at optimal levels.
[07:48.360 --> 07:51.800]  Now's the time to start naturally supporting your body.
[07:51.800 --> 07:56.480]  Get Prostaguard on your side today, exclusively at InfowarsLife.com.
[07:56.480 --> 08:18.520]  Waging War on Corruption, it's Alex Jones, coming to you live from the front lines of
[08:18.520 --> 08:19.520]  the Infowar.
[08:19.520 --> 08:29.920]  Gollum Trump has done a new interview with The New York Times in which he says that
[08:29.920 --> 08:35.320]  the whole Russian hysteria is a political witch on the de-legitimise his presidency.
[08:35.320 --> 08:39.960]  We're going to get back into that later because we got a busy show, Rodgerstone, there you
[08:39.960 --> 08:41.800]  see the New York Times article.
[08:41.800 --> 08:44.200]  Rodgerstone, Alex Jones are both coming up.
[08:44.200 --> 08:47.040]  We will both hit on that subject heavily.
[08:47.040 --> 08:50.280]  So for the moment, while we've got time, I'm going to shift back into what we were
[08:50.280 --> 08:56.200]  talking about yesterday, and this is still rumbling on because CNN and the rest of the
[08:56.200 --> 09:02.720]  fake news media are more outraged about my tweets, more outraged about other people's
[09:02.720 --> 09:09.120]  tweets than the sadistic kidnap and torture of a mentally disabled boy.
[09:09.120 --> 09:11.040]  Let that one sing kid.
[09:11.040 --> 09:17.360]  They came out against us big time yesterday, mainly CNN, and we've got a clip here, which
[09:17.360 --> 09:22.240]  is a 22nd clip where they attack me over a tweet.
[09:22.240 --> 09:23.240]  Here's the clip.
[09:23.240 --> 09:28.920]  Paul Joseph Watson from the conspiracy website Infowars was quick to tie the case to the
[09:28.920 --> 09:34.160]  Black Lives Matter movement tweeting, this is the Black Lives Matter tear.
[09:34.160 --> 09:41.000]  The MSM has legitimized the connection debunked by police saying there is no evidence for
[09:41.000 --> 09:46.480]  evidence to show this terrible attack is linked to the Black Lives Matter movement.
[09:46.480 --> 09:48.600]  The connection debunked by police.
[09:48.600 --> 09:53.280]  So you mean the same police that said it had no racial motivation while they were screaming
[09:53.280 --> 09:55.040]  F white people.
[09:55.040 --> 09:56.040]  Those police.
[09:56.040 --> 09:57.040]  All right.
[09:57.040 --> 09:58.040]  Really credible.
[09:58.040 --> 09:59.040]  Yeah.
[09:59.040 --> 10:00.040]  So we're going to get back into that.
[10:00.040 --> 10:05.160]  How BLM rhetoric had a direct connection to what we saw yesterday.
[10:05.160 --> 10:12.240]  As remember, this is the same media, this is the same news outlets, CNN, that for over
[10:12.240 --> 10:19.560]  a year claimed with no evidence whatsoever that Donald Trump's rhetoric was responsible
[10:19.560 --> 10:25.520]  for violence at Donald Trump rallies targeting Donald Trump supporters.
[10:25.520 --> 10:31.640]  So he was to blame for the violence against his own supporters because of his rhetoric.
[10:31.640 --> 10:36.920]  But when I say Black Lives Matter rhetoric, their racist, anti-white, hateful, violent
[10:36.920 --> 10:42.560]  rhetoric is leading to attacks like we saw in Chicago, the kidnapping and torturing torture
[10:42.560 --> 10:44.400]  of this 18 year old kid.
[10:44.400 --> 10:47.160]  Oh, that's a conspiracy theory.
[10:47.160 --> 10:53.800]  Even though there are innumerable examples of Black Lives Matter rhetoric inspired violence.
[10:53.800 --> 10:59.480]  Meanwhile, on the flip side, the so-called violence inspired by Trump's rhetoric, we've
[10:59.480 --> 11:04.920]  been through every case, we've talked about it over and over, virtually every major case
[11:04.920 --> 11:11.760]  of so-called Trump hate crimes committed against anti-Trump people have turned out to be complete
[11:11.760 --> 11:16.280]  frauds, complete hoaxes staged by those very people.
[11:16.280 --> 11:23.680]  So yes, CNN, there is a direct correlation between the same violent, hateful Black Lives
[11:23.680 --> 11:29.680]  Matter rhetoric that you have pushed, that you have legitimized for over two years now,
[11:29.680 --> 11:34.520]  and these anti-white racist attacks, and we're going to get into that.
[11:34.520 --> 11:39.520]  But first, this was very funny troll, and I can't take complete credit for it because
[11:39.520 --> 11:41.680]  other people have done it before.
[11:41.680 --> 11:46.800]  But they embedded my tweet in their big article about, oh, you can't say that this was Black
[11:46.800 --> 11:47.960]  Lives Matter inspired.
[11:47.960 --> 11:48.960]  That's racist.
[11:48.960 --> 11:53.840]  They basically put out an article saying that, embedded my tweet in it with the hashtag
[11:53.840 --> 11:58.880]  BLM kidnapping, they got very triggered over that hashtag because it was trending for two
[11:58.880 --> 12:01.560]  solid days on Twitter.
[12:01.560 --> 12:06.480]  So CNN embedded my tweet, and you can see it there, if you click on the image in that
[12:06.480 --> 12:12.160]  tweet, now you see it, well, when they embedded that tweet, I changed my Twitter name temporarily
[12:12.160 --> 12:17.960]  to CNN is fake news, and it didn't stay up there for long, I mean, I'll give credit
[12:17.960 --> 12:23.800]  to CNN, they deleted the tweet from their article within about 20 minutes of me posting
[12:23.800 --> 12:25.120]  this on Twitter.
[12:25.120 --> 12:29.720]  But what was funny about it, if you scroll down a little bit in that tweet and you see
[12:29.720 --> 12:35.320]  the second image there, so they deleted my tweet, you scroll up a little bit and you
[12:35.320 --> 12:41.160]  see the image there, there is right there, they deleted my tweet, and then included somebody
[12:41.160 --> 12:46.560]  else's tweet, but then this other individual changed his name to CNN is fake news.
[12:46.560 --> 12:53.280]  So everybody clicking on that story yesterday afternoon could see that basically what we
[12:53.280 --> 12:57.920]  thought about CNN and people were getting a reality check when they read the CNN article,
[12:57.920 --> 13:03.160]  but as I said within 20 minutes, it was deleted, but that's just a little trick for you out
[13:03.160 --> 13:07.720]  there if you're using Twitter, if your tweets get embedded in mainstream media news articles
[13:07.720 --> 13:13.800]  attacking you, change the display name to basically a red pill kind of thing and you
[13:13.800 --> 13:17.680]  will get a lot of people going to your Twitter account and seeing what else you've got to
[13:17.680 --> 13:18.680]  say.
[13:18.680 --> 13:22.520]  You can change it back very easily, so I thought that was funny, again, can't take complete
[13:22.520 --> 13:27.880]  credit for it because people have done it before, but it was a good jpeg at the time.
[13:27.880 --> 13:32.800]  So basically we have this entire narrative that there's no connection whatsoever between
[13:32.800 --> 13:38.000]  the fact that the mainstream media has pushed this hateful, racist, divisive rhetoric for
[13:38.000 --> 13:44.480]  over two years and the increasing incidence of anti-white hate crime attacks.
[13:44.480 --> 13:47.280]  Oh, but the police said there's no connection.
[13:47.280 --> 13:51.720]  Yeah, the police came out and said, oh, these kids were just stupid, they were just messing
[13:51.720 --> 13:59.240]  around and that there was no racial motivation, even as they said F white people.
[13:59.240 --> 14:02.920]  Even the police had to come out after and say, okay, yes, there was a racial motivation.
[14:02.920 --> 14:04.240]  Okay.
[14:04.240 --> 14:10.720]  Even the police came out and corrected themselves, so is their word really that credible on denoting
[14:10.720 --> 14:12.240]  the motivation behind this attack?
[14:12.240 --> 14:16.400]  Well, no, they've proven it isn't, okay, strike one.
[14:16.400 --> 14:22.920]  So basically CNN is saying there's no connection, the same news outlet, the same fake news media
[14:22.920 --> 14:28.480]  that said for a year that Donald Trump's rhetoric was leading to violence, was causing violence
[14:28.480 --> 14:32.320]  with no evidence whatsoever to back up that claim.
[14:32.320 --> 14:36.960]  Of course, later we found out through James O'Keefe and Project Veritas that it was the
[14:36.960 --> 14:44.080]  DNC, that it was the left, the establishment left that was creating that violence, funding
[14:44.080 --> 14:50.600]  it, bankrolling it, hiring mentally unstable people to go to Donald Trump rallies and cause
[14:50.600 --> 14:56.320]  violence at the same time as the mainstream media blamed it on Donald Trump's rhetoric.
[14:56.320 --> 15:02.800]  And yet they have the temerity to say that I can't make a connection between violent
[15:02.800 --> 15:06.800]  hateful BLM rhetoric and what we saw yesterday.
[15:06.800 --> 15:09.000]  Look at this video that we're playing now.
[15:09.000 --> 15:11.240]  Oh, you remember this one, yeah?
[15:11.240 --> 15:17.280]  Well, what did they say during the torture and the abuse of this poor 18 year old mentally
[15:17.280 --> 15:18.400]  disabled man?
[15:18.400 --> 15:20.400]  They said F Donald Trump.
[15:20.400 --> 15:23.760]  Oh, and what's this video we're playing right now?
[15:23.760 --> 15:31.360]  It's the popular rap song that came out about a year ago with the lyrics F Donald Trump.
[15:31.360 --> 15:33.600]  That song was legitimized.
[15:33.600 --> 15:39.400]  It was given positive reviews by the mainstream music media.
[15:39.400 --> 15:47.040]  So again, we see this cultural narrative F Donald Trump violent, hateful racist threats
[15:47.040 --> 15:48.040]  in this song.
[15:48.040 --> 15:51.040]  We can't play the audio because it's just complete cussing throughout.
[15:51.040 --> 15:54.840]  They talk about caving Donald Trump's head in with a spade.
[15:54.840 --> 16:01.280]  And this was celebrated by the same mainstream media that is now saying, Oh, BLM is completely
[16:01.280 --> 16:02.280]  peaceful.
[16:02.280 --> 16:05.120]  Of course, their rhetoric didn't lead to this attack.
[16:05.120 --> 16:07.320]  Absolute nonsense.
[16:07.320 --> 16:12.600]  Literally they celebrate songs called F white people have F Donald Trump in the lyrics.
[16:12.600 --> 16:18.680]  And they say that's nothing to do with black kids aping this gangster behavior and saying
[16:18.680 --> 16:28.320]  F Donald Trump, there you go right there, we managed to play some of it without bleeping
[16:28.320 --> 16:29.820]  the whole thing out.
[16:29.820 --> 16:31.120]  So there were two songs.
[16:31.120 --> 16:33.320]  I think we played the second one there as well.
[16:33.320 --> 16:37.320]  There was a song by let me find that name here.
[16:37.320 --> 16:39.560]  I think it was YG and Nipsey.
[16:39.560 --> 16:46.440]  Again, this song was literally called the title of the song was F Donald Trump.
[16:46.440 --> 16:50.440]  This was played at music festivals throughout America for months and months.
[16:50.440 --> 16:56.960]  It was celebrated MTV and Billboard celebrated this song.
[16:56.960 --> 17:00.360]  They said that it was it was refreshing in the song.
[17:00.360 --> 17:02.200]  They talk about F Donald Trump.
[17:02.200 --> 17:03.200]  It's racist.
[17:03.200 --> 17:04.200]  It's violent.
[17:04.200 --> 17:09.580]  They talk about why hasn't the nation of Islam killed Donald Trump yet?
[17:09.580 --> 17:15.240]  This is the violent hateful rhetoric that was celebrated by the mainstream media.
[17:15.240 --> 17:16.240]  It was upheld.
[17:16.240 --> 17:22.360]  It was legitimized after, of course, we had a whole two years before that of them legitimizing
[17:22.360 --> 17:25.320]  the whole Ferguson movement.
[17:25.320 --> 17:28.720]  Based on a lie, a complete hoax, hands up, don't shoot.
[17:28.720 --> 17:33.920]  Based on a lie that the thug Michael Brown was completely innocent when he wasn't.
[17:33.920 --> 17:38.560]  That is the narrative that they upheld for the two years prior to that.
[17:38.560 --> 17:45.160]  Remember Time magazine coming out with the article entitled in defense of rioting again,
[17:45.160 --> 17:48.600]  using violence and hatred.
[17:48.600 --> 17:51.400]  Many of it race based.
[17:51.400 --> 17:56.200]  This is the narrative that the mainstream media has has upheld upheld for the past two years.
[17:56.200 --> 18:01.800]  So yes, there is a direct correlation between creating that environment of hateful anti
[18:01.800 --> 18:07.160]  why violent rhetoric and then kids that listen to that kind of music that listen to that
[18:07.160 --> 18:12.200]  kind of narrative acting upon it like Don Lemon said, oh, these kids don't watch the
[18:12.200 --> 18:13.280]  news.
[18:13.280 --> 18:17.600]  This can't be political while they're literally saying F Donald Trump, they don't even have
[18:17.600 --> 18:19.440]  to watch the news, Don Lemon.
[18:19.440 --> 18:25.080]  It's in the frigging culture that you upheld that you legitimize the MTV legitimize that
[18:25.080 --> 18:26.080]  billboard legitimized.
[18:26.080 --> 18:29.480]  And I mean, I was writing about this for the past two years.
[18:29.480 --> 18:34.840]  So when they try and take me on at this, they're going to lose because I know this stuff because
[18:34.840 --> 18:38.000]  I've written about it for two years.
[18:38.000 --> 18:40.400]  Let's continue.
[18:40.400 --> 18:41.920]  So again, there's this narrative.
[18:41.920 --> 18:46.720]  BLM rhetoric had nothing to do with the attack, the torture of this 18 year old kid because
[18:46.720 --> 18:50.760]  Black Lives Matter didn't kidnap the kid.
[18:50.760 --> 18:53.480]  This is the level of stupidity we're dealing with.
[18:53.480 --> 18:57.040]  Yeah, I'm not saying deray did it.
[18:57.040 --> 18:58.040]  Okay.
[18:58.040 --> 19:00.920]  Black Lives Matter is not an organization.
[19:00.920 --> 19:02.120]  It's not a group.
[19:02.120 --> 19:03.920]  It doesn't have a headquarters.
[19:03.920 --> 19:04.920]  Okay.
[19:04.920 --> 19:08.080]  So you can't, they don't carry membership cards.
[19:08.080 --> 19:13.520]  So no, you can't directly say the group Black Lives Matter, they're not like ISIS.
[19:13.520 --> 19:17.200]  They don't claim responsibility because they're not an actual organization.
[19:17.200 --> 19:19.560]  They're not a military structure.
[19:19.560 --> 19:20.720]  Okay.
[19:20.720 --> 19:23.560]  It's an ideology.
[19:23.560 --> 19:29.000]  And people act on ideologies, especially violent, hateful ones.
[19:29.000 --> 19:33.560]  Again, there you see former Chicago police chief blames Black Lives Matter for rising
[19:33.560 --> 19:34.960]  violent crime.
[19:34.960 --> 19:39.480]  Police won't go to crime-ridden areas anymore in many cases.
[19:39.480 --> 19:45.000]  It's called the Ferguson effect because they're not welcome there anymore because of this
[19:45.000 --> 19:50.440]  rampant police hatred that the media, that the culture has been pushing will be back
[19:50.440 --> 20:16.440]  to expose it more on the Alex Jones show live breaking news info wars.com will be back.
[20:16.440 --> 20:30.440]  Over the next你
[20:30.440 --> 20:40.880]  don't
[20:40.880 --> 20:42.880]  for this powerful anti-inflammatory.
[20:42.880 --> 20:45.880]  Nanocurtumin, a nanoparticle curcumin which absorbs
[20:45.880 --> 20:47.880]  over 40 times better into your bloodstream.
[20:47.880 --> 20:50.880]  Discover more health benefits of nanocurtumin and nanocurtumin,
[20:50.880 --> 20:53.880]  plus now on sale at oneplanetnutrition.com.
[20:53.880 --> 20:56.880]  Use promo code GCN for your special discount
[20:56.880 --> 20:58.880]  at oneplanetnutrition.com.
[20:58.880 --> 21:07.880]  Hello, hello, this is Jet Watman from Run with the Elvish.
[21:07.880 --> 21:14.880]  I'm on a new CD that just came out maybe yesterday on Video Records.
[21:14.880 --> 21:18.880]  Hello, hello, hello again and Merry Christmas to you all.
[21:18.880 --> 21:23.880]  Now we're going to the big snowman.
[21:23.880 --> 21:28.880]  And we're singing an old Trash Day.
[21:53.880 --> 22:01.880]  There is an affordable alternative to the high cost of healthcare
[22:01.880 --> 22:04.880]  that offers freedom from insurance while providing compliance
[22:04.880 --> 22:06.880]  with the Obamacare individual mandate.
[22:06.880 --> 22:09.880]  Imagine having access to quality affordable healthcare
[22:09.880 --> 22:12.880]  that allows you the freedom to choose your doctor and hospital.
[22:12.880 --> 22:16.880]  Members can share up to 100% of necessary medical expenses,
[22:16.880 --> 22:18.880]  including some alternative treatments.
[22:18.880 --> 22:21.880]  Find out how you and your family can contain healthcare costs
[22:21.880 --> 22:23.880]  without giving up your freedom.
[22:23.880 --> 22:25.880]  Go to libertyoncall.org.
[22:25.880 --> 22:54.880]  That's libertyoncall.org.
[22:55.880 --> 23:01.880]  You ever wonder what happened to America?
[23:01.880 --> 23:05.880]  Because of what we did on this day, change has come to America.
[23:05.880 --> 23:08.880]  Something's wrong and we all know it.
[23:08.880 --> 23:11.880]  I'm Charlie Daniels and I'm here to tell you about it.
[23:11.880 --> 23:14.880]  The nation has been hijacked by international forces,
[23:14.880 --> 23:16.880]  bent on global governance.
[23:16.880 --> 23:21.880]  When I was a boy, it was okay to be proud of the flag, heritage,
[23:21.880 --> 23:26.880]  mom and apple pie. God was in school, morality had a future,
[23:26.880 --> 23:29.880]  and beef was for supper.
[23:29.880 --> 23:32.880]  Revelation, dawn of global government.
[23:32.880 --> 23:34.880]  We're the solution, Americans.
[23:34.880 --> 23:36.880]  Ain't nothing more to it than that.
[23:36.880 --> 23:38.880]  Starring Alex Jones, Charlie Daniels,
[23:38.880 --> 23:41.880]  and Special Ops General Jerry Boykin,
[23:41.880 --> 23:44.880]  theatrical screenings on demand, DVDs now available.
[23:44.880 --> 23:48.880]  Want to shed some tears over the red, white, and blue?
[23:48.880 --> 23:51.880]  RevelationTheMovie.info.
[23:51.880 --> 23:53.880]  Americans need to see this film.
[23:53.880 --> 23:56.880]  RevelationTheMovie.info.
[23:56.880 --> 23:58.880]  Let's fix it.
[24:12.880 --> 24:15.880]  To give you an example of how we're competing
[24:15.880 --> 24:19.880]  and defeating the mainstream media, and this pretty much applies across the board.
[24:19.880 --> 24:23.880]  I've got around, what, 417,000 Twitter followers.
[24:23.880 --> 24:26.880]  CNN has 30 million.
[24:26.880 --> 24:30.880]  You go on CNN on Twitter, I get probably double,
[24:30.880 --> 24:34.880]  in some cases, three, four times the amount of retweets.
[24:34.880 --> 24:38.880]  Just from my own little account compared to CNN,
[24:38.880 --> 24:41.880]  which has 30 million followers.
[24:41.880 --> 24:44.880]  That is why they're petrified of us.
[24:44.880 --> 24:48.880]  They don't resonate with anybody anymore because nobody trusts them,
[24:48.880 --> 24:50.880]  because they've been caught lying again and again.
[24:50.880 --> 24:54.880]  That's why they can't sell this Russian hysteria narrative.
[24:54.880 --> 24:57.880]  The polls have shown that nobody believes it
[24:57.880 --> 24:59.880]  because they've lost all their credibility.
[24:59.880 --> 25:03.880]  That's what happens with the Washington Post, for example,
[25:03.880 --> 25:08.880]  when you put out fake stories about Russia hacking the U.S. electric grid.
[25:08.880 --> 25:13.880]  Again, which, if true, could cause a military confrontation.
[25:13.880 --> 25:16.880]  They just put the story out with no evidence whatsoever.
[25:16.880 --> 25:19.880]  They didn't even call the electric company.
[25:19.880 --> 25:21.880]  Then the next day they put out a story,
[25:21.880 --> 25:25.880]  oh, yeah, there's actually no evidence for this big blockbuster story
[25:25.880 --> 25:27.880]  that could have caused World War III.
[25:27.880 --> 25:29.880]  Oh, thanks, Washington Post.
[25:29.880 --> 25:31.880]  This is who we're dealing with.
[25:31.880 --> 25:33.880]  That's why they've lost their trust.
[25:33.880 --> 25:37.880]  The polls show people don't believe this Russian hysteria,
[25:37.880 --> 25:39.880]  yet they're still intent on pushing it.
[25:39.880 --> 25:41.880]  That's why they hate us.
[25:41.880 --> 25:43.880]  That's why we're defeating them,
[25:43.880 --> 25:47.880]  and it's all with your support by getting the products at infowarslife.com.
[25:47.880 --> 25:50.880]  That was an intentional segue into a plug, by the way.
[25:50.880 --> 25:52.880]  It wasn't just a...
[25:52.880 --> 25:56.880]  But we've got the 2017 Making Our Bodies Great initiative again
[25:56.880 --> 26:00.880]  with brain force at 30% off.
[26:00.880 --> 26:03.880]  This is the supplement that I have taken
[26:03.880 --> 26:05.880]  before doing this show every single day,
[26:05.880 --> 26:10.880]  doing a three-hour show, intensive news, commentary, guests,
[26:10.880 --> 26:12.880]  playing clips and everything.
[26:12.880 --> 26:14.880]  It's difficult. It's taxing.
[26:14.880 --> 26:17.880]  But once you take a couple of these bad boys beforehand,
[26:17.880 --> 26:19.880]  it makes it all the more easier.
[26:19.880 --> 26:21.880]  It's a new tropic.
[26:21.880 --> 26:22.880]  Research new tropics.
[26:22.880 --> 26:25.880]  It's what all the Silicon Valley was, kids are taking.
[26:25.880 --> 26:27.880]  Really helps cognitive functioning,
[26:27.880 --> 26:29.880]  no matter what task you're doing.
[26:29.880 --> 26:31.880]  It also helps in social situations.
[26:31.880 --> 26:34.880]  Sometimes you just wake up with brain fog,
[26:34.880 --> 26:39.880]  especially when you're doing intensive mental tasks.
[26:39.880 --> 26:41.880]  And this really helps.
[26:41.880 --> 26:44.880]  I went to Austin a couple of years ago,
[26:44.880 --> 26:47.880]  jet lagged, no sleep, had to host the entire show,
[26:47.880 --> 26:49.880]  popped some of these beforehand.
[26:49.880 --> 26:51.880]  And again, it's not just caffeine.
[26:51.880 --> 26:54.880]  It's not just like a junk buzz that you get.
[26:54.880 --> 26:56.880]  It actually helps clear things up in your mind.
[26:56.880 --> 27:01.880]  It is brain force plus 30% off at infowarslife.com.
[27:01.880 --> 27:05.880]  It's part of the 2017 Make Our Bodies Great again initiative,
[27:05.880 --> 27:07.880]  which also includes massive discounts
[27:07.880 --> 27:09.880]  for all the other great products
[27:09.880 --> 27:11.880]  with five-star independent reviews,
[27:11.880 --> 27:13.880]  including SuperMail Vitality,
[27:13.880 --> 27:15.880]  Liver Shield, Survival Shield,
[27:15.880 --> 27:17.880]  Knockout, Prostaguard and many others.
[27:17.880 --> 27:20.880]  Take back your health at infowarslife.com.
[27:20.880 --> 27:23.880]  Help us continue to defeat CNN,
[27:23.880 --> 27:27.880]  which makes its money off of golf state dictatorships
[27:27.880 --> 27:29.880]  like Bahrain and puts out puff pieces
[27:29.880 --> 27:32.880]  saying how great it is to go and visit there
[27:32.880 --> 27:35.880]  while they're literally killing their own people on the street.
[27:35.880 --> 27:37.880]  And again, makes its money.
[27:37.880 --> 27:40.880]  We make our money by selling products like brain force
[27:40.880 --> 27:42.880]  that actually work, people enjoy.
[27:42.880 --> 27:44.880]  And that's why people re-up,
[27:44.880 --> 27:46.880]  which you can do to get them delivered
[27:46.880 --> 27:48.880]  without having to order again.
