[00:00.000 --> 00:06.000]  From the Frontlines of the Information War, it's Alex Jones.
[04:03.000 --> 04:07.000]  Your DNA is an abomination. And this is a Hispanic guy saying this.
[04:07.000 --> 04:09.000]  So this is what it's reached.
[04:09.000 --> 04:16.000]  Meanwhile, I have the stacks of news. African migrants being sold as slaves by Libyan human traffickers.
[04:16.000 --> 04:19.000]  You mean Muslim. They'll never say it.
[04:19.000 --> 04:25.000]  And President Trump tweets out videos of gays being thrown off buildings in Egypt and people being killed by Muslims.
[04:25.000 --> 04:32.000]  And the media acts like he did something wrong.
[04:32.000 --> 04:36.000]  This is how crazy all of this has gotten.
[04:36.000 --> 04:43.000]  How they turn it around because they know if Trump keeps doing it, it will expose the invasion of the Islamists
[04:43.000 --> 04:45.000]  that the globalist are allied with and running.
[04:45.000 --> 04:49.000]  And Yonker, the unelected head of the EU, admits it's an invasion.
[04:49.000 --> 04:52.000]  This is the globalist plan. It's their war.
[04:52.000 --> 04:56.000]  And all over the world, people are waking up and saying no to it.
[04:56.000 --> 04:59.000]  Stay with us.
[04:59.000 --> 05:05.000]  After years of research working with top developers here in the United States with the latest cutting-edge science,
[05:05.000 --> 05:10.000]  we are rolling out three new digestive gut aids.
[05:10.000 --> 05:18.000]  One of them is a powerful pro-digestive enzyme, carnivore, for being able to break down meat and other proteins better.
[05:18.000 --> 05:28.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
[05:28.000 --> 05:33.000]  And we also have an everyday extremely affordable fluorolive everyday maintenance.
[05:33.000 --> 05:43.000]  But all of these are the very cutting-edge, top-of-the-line probiotics and digestive enzymes at an extremely affordable price.
[05:43.000 --> 05:49.000]  That is my goal here, is to bring you the very best at the lowest price.
[05:49.000 --> 06:18.000]  When you purchase it at m4store.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[06:19.000 --> 06:32.000]  If you are receiving this transmission, you are the resistance.
[06:32.000 --> 06:42.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[06:42.000 --> 06:55.000]  All over the world, collectivists and the megabanks that control them, the monopoly capitalists that control them are panicking.
[06:55.000 --> 07:11.000]  And they are panicking because classical free market systems create incredible wealth, incredible choices, incredible medicine, incredible travel, incredible art, incredible literature, amazing culture,
[07:11.000 --> 07:15.000]  and true open society and diversity.
[07:15.000 --> 07:23.000]  But just like the globalists left and the media calls themselves the resistance now, well they are the resistance to renaissance, the resistance to really moving forward,
[07:23.000 --> 07:29.000]  the resistance to being truly progressive, everything they say they are, they are the opposite.
[07:29.000 --> 07:31.000]  They are the opposite of liberals.
[07:31.000 --> 07:33.000]  They are authoritarians.
[07:33.000 --> 07:38.000]  I have stacks of news here where they are now saying ban the word mother and father and it's actually happening.
[07:38.000 --> 07:41.000]  In all these institutions they control.
[07:41.000 --> 07:44.000]  They are now banning putting the word refugees in quotes.
[07:44.000 --> 07:50.000]  They are sending the police out to investigate and arrest people in Sweden.
[07:50.000 --> 07:58.000]  Prominent Christian activists are being arrested in places like Ireland for criticizing radical Islam.
[07:58.000 --> 08:11.000]  But the globalists are panicking because the Dow surges 150 points, breaks above 2,000, 20,000, 24,000 ahead of Senate tax vote.
[08:11.000 --> 08:17.000]  Again, Dow surges 150 points, breaks above 24,000 ahead of Senate tax vote.
[08:17.000 --> 08:24.000]  Global trade boom steams in 2018 as Trump threatens barriers.
[08:24.000 --> 08:31.000]  I love how Bloomberg spends that. This is all Trump, this is all American exuberance and then they spend it like Trump's threatening it.
[08:31.000 --> 08:36.000]  Well they try to kill the economy and said we never grow above 3% an hour at 3.3.
[08:36.000 --> 08:38.000]  So that's all coming up.
[08:38.000 --> 08:48.000]  Trevor Noah and even USA Today have to admit Elizabeth Warren has a Pocahontas problem because she's not a Native American.
[08:48.000 --> 08:57.000]  She's lied about it and she's a liar. So see Trump keeps doubling down, they keep acting like he's in trouble, they keep acting like he's a joke.
[08:57.000 --> 09:02.000]  But he picks his battles wisely and he ends up winning.
[09:02.000 --> 09:06.000]  You want to be politically incorrect. You don't want to be painted into a corner.
[09:06.000 --> 09:12.000]  You don't want to let the word police and thought police tell you what to do and how to live and what to do.
[09:12.000 --> 09:15.000]  They're the ones engineering racism and division and control.
[09:15.000 --> 09:25.000]  And the dumbest, most lackluster, easily influenced, hype driven people are the only ones that still buy into mainstream.
[09:25.000 --> 09:32.000]  And that is a minority of people who tend to be mainly white, hate themselves liberals.
[09:32.000 --> 09:37.000]  And that whole system is on the verge of collapsing.
[09:37.000 --> 09:52.000]  That's why all the Prairie Home Companion guy and Matt Lauer and the other Charlie Rose, they're all people with big fat contracts that everybody wants to shove overboard because the system is collapsing.
[09:52.000 --> 09:58.000]  There isn't any money anymore. There aren't viewers and listeners anymore. They're all going bankrupt.
[09:58.000 --> 10:09.000]  So they're throwing the golden calves, the altars, the idols overboard because it doesn't work anymore.
[10:09.000 --> 10:17.000]  They built these edifices up. They built these so-called stars up to make the public buy into whatever they said.
[10:17.000 --> 10:26.000]  And because it isn't selling, because it isn't working and they're not getting ratings and they're not getting influence, they're throwing them overboard.
[10:26.000 --> 10:34.000]  And it's going to get worse and only the stupidest, most dumbed down people in the system are going to keep going along with it.
[10:34.000 --> 10:38.000]  But their attacks are going to get more shrill, more desperate.
[10:38.000 --> 10:42.000]  The Democratic Party and others are suing Trump more than 3,000 times.
[10:42.000 --> 10:51.000]  They're going after everybody else with lawsuits because they're losers and they're failing and they're desperate and they don't know what to do.
[10:51.000 --> 10:57.000]  They tried to dominate culture. They tried to run the country over the edge of a cliff. They wanted full control over everything.
[10:57.000 --> 11:01.000]  They wanted to kill the golden goose and now it's blowing up in their face.
[11:01.000 --> 11:07.000]  And the more they try to panic and bully us into submission, the more we resist.
[11:07.000 --> 11:09.000]  So I salute you all.
[11:09.000 --> 11:17.000]  But in the midst of the Dow at 24,000 and Trump about to have the big victory for all of us with these big tax cuts,
[11:17.000 --> 11:27.000]  that they now have the votes in the House and Senate they're saying with McCain saying, I'll go along with it, with all of this happening and all of this unfolding,
[11:27.000 --> 11:35.000]  they're going to go to total race division, sex division, to sabotage culture.
[11:35.000 --> 11:38.000]  It's in the WikiLeaks. It's in all the other corporate documents.
[11:38.000 --> 11:44.000]  It's in the Sean Parker statements. It's in the Facebook documents that they're preying on you.
[11:44.000 --> 11:49.000]  They're keeping you alone. They're trying to make you unsuccessful. They're trying to make you desperate.
[11:49.000 --> 11:54.000]  And the operating system is modern liberalism.
[11:54.000 --> 12:02.000]  And they admit the modern liberal is the most depressed, unhappy, most suicidal, virtue signalling person,
[12:02.000 --> 12:09.000]  who's actually totally alone and keeps doubling down and it only makes their life worse because these are the easily
[12:09.000 --> 12:18.000]  influenceable, want to be intellectuals, want to be cool kids who don't realize to be cool.
[12:18.000 --> 12:28.000]  Stop trying to be cool and actually get into what it is to be a normal natural human and become honorable
[12:28.000 --> 12:34.000]  and stop acting like a juvenile trying to police everybody's thought and throw everybody what to do and bully everybody into submission.
[12:34.000 --> 12:39.000]  It's not working. No one is listening to you but other fellow losers.
[12:39.000 --> 12:43.000]  Society is breaking away from you completely.
[12:43.000 --> 12:50.000]  And your attempt to suck everybody back into your control is only blowing up in all of your collective faces.
[12:50.000 --> 12:53.000]  Now, let me read to you these headlines.
[12:53.000 --> 13:00.000]  When we come back, I'm going to cover in detail because all of this is intertwined, interconnected and illustrative.
[13:00.000 --> 13:08.000]  And this is just the news today, just a small portion that ties together.
[13:08.000 --> 13:16.000]  Islamic slave traders in seven African countries are selling men, women and children to slavery and harvesting their organs.
[13:16.000 --> 13:21.000]  Now, that's old news, but it's broken in the mainstream news today.
[13:21.000 --> 13:29.000]  Now, nowhere in the headlines does it say Muslim slave traffickers because you can't ever say a Muslim did anything wrong.
[13:29.000 --> 13:36.000]  Just like Trump tweets, videos of Muslims throwing gay men off buildings and killing them.
[13:36.000 --> 13:40.000]  Those are admitted real videos. They're four years old.
[13:40.000 --> 13:43.000]  He tweeted other videos of them smashing Catholic churches.
[13:43.000 --> 13:48.000]  I can show you hundreds of videos of that. They put it up themselves. They're proud of it.
[13:48.000 --> 13:52.000]  And the media says it's fake and it's, quote, racist.
[13:52.000 --> 13:55.000]  Oh, racist against a religion didn't know you could do that.
[13:55.000 --> 14:02.000]  An expansive, intolerant religion of a billion and a half people, oppressing their own people, oppressing women, attacking.
[14:02.000 --> 14:07.000]  And they say Trump's the bad guy.
[14:07.000 --> 14:12.000]  I rarely disagree with Paul Watson. I don't really disagree with him here, but I called him last night.
[14:12.000 --> 14:18.000]  Paul just said, hey, this national group and has some problems in the UK.
[14:18.000 --> 14:24.000]  Trump ought to look, you know, where he tweets these videos because you can find other sources with one of the political baggage.
[14:24.000 --> 14:30.000]  The media spun that like we'd all turned against Trump and Trump's bad.
[14:30.000 --> 14:39.000]  In fact, in one article it says, the white supremacist Paul Watson who always bleeds about Western civilization, it even went too far for him.
[14:39.000 --> 14:45.000]  See, they slander Paul. They slander the president. They defame everybody.
[14:45.000 --> 14:50.000]  While they're the ones hyping up the cultural takeover of the West and the ones pushing all this.
[14:50.000 --> 14:57.000]  Paul wasn't mad at Trump. He was just simply saying that group's got some baggage and, you know, the president might want to tweet from other sources.
[14:57.000 --> 15:04.000]  But again, they all leapt on it in literally hundreds of publications. National news last night had his tweet.
[15:04.000 --> 15:10.000]  Look, even Alex Jones and even Paul Watson, the white supremacist, they actually said that.
[15:10.000 --> 15:16.000]  See what halfway going along with them gets you? More lies. They take that as weakness.
[15:16.000 --> 15:22.000]  They've even turned against Trump. Everyone's turning against him. Again, more fake news, more hype, more lies.
[15:22.000 --> 15:31.000]  Now, continuing, when we come back, no focus on the Muslims selling hundreds of thousands of people into slavery.
[15:31.000 --> 15:35.000]  Many of them, as young as six years of age, into sex slavery.
[15:35.000 --> 15:43.000]  Don't even say it's Muslims, even though it's Muslims doing it. And they say under the Koran they can to people that aren't Muslims.
[15:43.000 --> 15:51.000]  But meanwhile, front page papers in Texas are saying whites are inherently evil and must be exterminated.
[15:51.000 --> 16:14.000]  We're going to cover that on the other side. Stay with us.
[16:21.000 --> 16:39.000]  The answer to being in control of your own health care is freedom from insurance. Become part of a group of self-pay patients that come together to share in each other's medical expenses.
[16:39.000 --> 16:46.000]  Individual share amounts begin at $107 a month and $347 for families. Choose from three health sharing programs.
[16:46.000 --> 16:53.000]  For more information, visit our website at www.livertyoncall.org.
[17:16.000 --> 17:27.000]  For more information, visit our website at www.livertyoncall.org.
[17:46.000 --> 17:53.000]  And your loved ones, the excitement and tradition of Slingbo, a new frontier in archery and truly modern twist on this primitive survival tool.
[17:53.000 --> 18:20.000]  Feel the thrill only at www.slingbo.com.
[18:23.000 --> 18:45.000]  For more information, visit our website at www.livertyoncall.org.
[18:45.000 --> 18:53.000]  And I don't think you're going to be disappointed. Available in original or with our immune support infusion blend, you will be supporting a free press.
[18:53.000 --> 19:00.000]  All the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[19:00.000 --> 19:16.000]  You deserve a deep restful sleep with knockout by infowarslife. Our organic formula is made from high quality natural ingredients such as valerian root extract, L tryptophan, lemon balm leaf extract and melatonin.
[19:16.000 --> 19:25.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness,
[19:25.000 --> 19:37.000]  but with the rapid speed of life, we need to be able to keep up the pace. Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[19:37.000 --> 19:47.000]  Wake up refreshed and take on the day. Infowarslife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[19:47.000 --> 19:58.000]  Get the sleep you deserve and experience the power of knockout. Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[20:17.000 --> 20:37.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[20:37.000 --> 20:47.000]  So, anybody can go online, anybody can go to an online encyclopedia, anybody can go buy a Koran in English at your local bookstore. I suggest you do it. I've done it.
[20:47.000 --> 20:57.000]  And it says that if someone is not a Muslim, you can put them into slavery. And it says that black people, uses racial slur, are not really human.
[20:57.000 --> 21:19.000]  And so under Islam, you can enslave them and use them. And of course, it was the Arab slave trade that created slavery in Africa and that then the West adopted their view under biblical interpretations out of the Old Testament saying that the Mark of Cain and the rest of it was on black people.
[21:19.000 --> 21:33.000]  And so the transatlantic slave trade got picked up kind of after the end of the Crusades a few hundred years later when they took control of the Atlantic slave trade from the Muslims who had control in the Mediterranean.
[21:33.000 --> 21:58.000]  And so the Muslims have always continued the slave trade and they also sell the organs of the Christian blacks and animus blacks. Again, those are folks that worship nature and they grab them from central Sahara areas and southern Sahara and then take them up to Libya and then sell them to different Islamic countries where they're kept on plantations.
[21:58.000 --> 22:06.000]  The men are worked on plantations. There's videos of them describing how there'd be good mules for everyone. We played those videos last week.
[22:06.000 --> 22:20.000]  CNN ran reports of it but never said it was Muslims selling people at slave auctions with men, women and children up on slave blocks being sold. CNN thought that was too much so they didn't show you the women and children.
[22:20.000 --> 22:32.000]  Business Insider and many other publications, The Daily Mail and others over the years have shown the women and children being sold. ISIS advertised they were selling young children for sex.
[22:32.000 --> 22:51.000]  The Prophet Mohammed has had a nine-year-old wife so they say that's okay. And I'm just quoting the Koran here. So again, African migrants being sold as slaves by Libyan human traffickers have their organs harvested, bodies mutilated and roasted like kebabs, claims Nigerian ex-minister.
[22:51.000 --> 23:09.000]  Well, there's no debating it. They've done documentaries. It's been in the Italian news that they find these men dead with their organs cut out. And many of the videos that we've been sent, a lot of them we don't show on air, is folks being made to eat other people's flesh and dead bodies with their organs cut out.
[23:09.000 --> 23:23.000]  But what we know 100% is major slave auctions going on in Libya after Hillary and Obama liberated it and put the Muslim Brotherhood, al-Qaeda, ISIS people in charge. That is an incontrovertible fact.
[23:23.000 --> 23:32.000]  But you'll never hear them say it's Muslims doing it. Just a fact. Imagine if Christians were selling slaves somewhere, you'd be hearing about it and you should.
[23:32.000 --> 23:41.000]  Meanwhile, up on NewsWars.com, President Donald Trump retweeted three videos posted by Christian activist Jada Frazin.
[23:41.000 --> 23:54.000]  And now she is appealing to him for assistance as she faces prison time for hate speech charges. Christian activists arrested after speaking out against Sharia in Ireland.
[23:54.000 --> 24:09.000]  She's the Christian nationalist and leading figure in the British Britain first party that's been totally demonized and sees the opportunity to highlight her pension and issued a plea to President Trump to intercede on her behalf
[24:09.000 --> 24:18.000]  before she is sent to jail for the two years of convicted for speaking out against Islam in the anti-terrorism rally in Belfast, Ireland.
[24:18.000 --> 24:26.000]  So you can say what you want about this group there in England that the media demonizes that I haven't really found any serious issues with.
[24:26.000 --> 24:33.000]  And people can try to act like they're extremists and hope the establishment won't call for your arrest. But I assure you, you'll be next.
[24:33.000 --> 24:40.000]  Because that's how the globalists operate. That's up on NewsWars.com. Let's continue.
[24:40.000 --> 24:50.000]  Before election, Putin offers $8.6 billion to Russians to have more babies. Here the left is saying, if you're white especially, don't have more babies.
[24:50.000 --> 24:51.000]  That's out of Bloomberg.
[24:51.000 --> 25:11.000]  NFL to give 100 million contribution to social justice warrior groups. That's right, the big corporate NFL loves going bankrupt and they've got to push their whole race-based narrative so they're going to give $100 million to that to sponsor a more racial division in America because that's the program.
[25:11.000 --> 25:22.000]  Meanwhile, Black Lives Matter to boycott white-owned businesses for Black Christmas as don't shop with whites. They're bad people and they need to stop white capitalism.
[25:22.000 --> 25:29.000]  There you go. And here's a big report up on infowars.com and newswars.com from Campus Reform.
[25:29.000 --> 25:44.000]  Student op-ed calls for white people an abomination. Student op-ed calls white people an abomination. When I think of all the white people I've ever encountered, there's perhaps only a dozen of a considered decent.
[25:44.000 --> 25:55.000]  Texas State University student newspaper on the front published an op-ed Tuesday telling white people that your DNA is an abomination. This is down in San Marcos. We should get a physical copy of it.
[25:55.000 --> 26:07.000]  We have photos of it. When I think of all the white people I've ever encountered, whether they've been professors, peers, lovers, friends, police officers, et cetera, there's perhaps only a dozen I would consider decent.
[26:07.000 --> 26:18.000]  Student columnist Rudy Martinez begins the op-ed. Well, what a racist pig. But the university star has not posted on its website but in the front of the paper.
[26:18.000 --> 26:37.000]  Because they want to just do all this secretly in the brainwashing facility. They don't want it outside of the cult. The piece documents Martinez's personal opinion of whiteness and white people, which he defines to include anyone who is a descendant of those Europeans who chose to abandon their identity in search of something new.
[26:37.000 --> 26:45.000]  Stolen land, even though all the natives were busy killing each other to take it over from each other as well. And of course Europe can't be for whites either. It's for the Muslims now.
[26:45.000 --> 27:03.000]  Contending that racial categories are used to subjugate non-white people, Martinez complains that in Texas, a bizarre state I have now inhabited for four years, I continuously meet individuals that either deny the existence of white privilege or fellow do something productive about it.
[27:03.000 --> 27:22.000]  And then he goes on to say, your DNA is an abomination. Get rid of whiteness. The feminist magazine say abort your baby if it's white. Addressing white classmates, he asserts that you were not born white but rather became white and actually remain white through allegiance to a country that was never great.
[27:22.000 --> 27:35.000]  But everybody wants to get here as soon as they can, though, even though the country is so horrible. Continuing, ladies and gentlemen, Muslim population Europe to triple by 2050, even with zero migration study shows.
[27:35.000 --> 27:58.000]  Hmm, RT. Don't worry though, Swedish government report says putting the word refugees in quotations is hate. See, if you question them calling 10 million people, 80% of military aged men, most of them have fought for al-Qaeda, ISIS or other groups that are coming in saying they want welfare and everything for free and they believe they can
[27:58.000 --> 28:13.000]  be any unaccompanied woman. And the government says they're allowed to rape people in Sweden because that's their culture. And the feminists put a jibs on and say Allah Akbar at mass rallies, because they see it as rebellious.
[28:13.000 --> 28:34.000]  But if you put refugees in quotes when they're invaders of the EU program, of yunkers, the head of the unelected EU saying it's an invasion, saying it's a takeover, saying it's a plan to end Western civilization for world government, well then you're a racist and maybe you need to be arrested.
[28:34.000 --> 28:47.000]  And that's where this is all moving. Sweden's new government censorship. Meanwhile, city comm Islamic mayor of London says bringing general natural neutral toilets to London to reflect the incredible diversity of the city.
[28:47.000 --> 28:58.000]  He's the one attacking Trump saying how dare you tweet videos of Muslims doing violent things. That's worse than actually killing people is to show what the killers did in upside down world.
[28:58.000 --> 29:13.000]  Hey, Daniel Brieman, why new manna storeable foods? We believe in freedom. America needs strong independent families to endure what's ahead. And we take this charge seriously. We got options, organic, no gluten without the chemicals, great taste and value.
[29:13.000 --> 29:28.000]  New manna is a no lose investment for your family's food independence. Get your new manna today. Call 888-597-0775, 888-597-0775, online discounts available at www.powerprepper.com, www.powerprepper.com.
[29:43.000 --> 29:54.000]  So much fun. You'll forget you have a wife and kids. $39.95 and free economy shipping. Use discount code GCN and get an extra 10% off your purchase at bugasalt.com.
[29:54.000 --> 30:14.000]  Makes the perfect stocking stuffer. Get your bug assault today.
[30:24.000 --> 30:34.000]  Emmerich's essentials is free of chemicals and toxins that may harm your body. We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[30:34.000 --> 30:44.000]  Our mission is to offer you everyday organic household products to enhance your life. Truly feel the difference by going organic natural without compromising on quality.
[30:44.000 --> 31:02.000]  Feel good about using Emmerich's essentials. Start saving money and stop exposing yourself and your family to toxic ingredients. Visit infowarstore.com and learn more about the new Emmerich's essentials line of organic products. That's infowarstore.com.
[31:02.000 --> 31:14.000]  Proper B vitamin intake is essential to keep the body functioning at optimum levels. Up, up, up, up, optimum levels. With our modern diets, it can be hard to get the recommended amount of B vitamins we need everyday.
[31:14.000 --> 31:18.000]  Up, up, up, up, up, optimum levels. B vitamins we need everyday.
[31:18.000 --> 31:32.000]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption. Up, up, up, up, up, optimal absorption. Being deficient in B vitamins can cause fatigue, depression, poor memory and lethargy.
[31:32.000 --> 31:44.000]  Secret 12. Up, up, up, up, up, up, optimal absorption. B vitamins help the body convert food into energy by supporting your intercellular processes. B vitamins are also essential for the optimal functioning of the brain and nervous system.
[31:44.000 --> 31:59.000]  Up, up, up, up, up, up, optimum levels. Secret 12 is an easy way to increase your vitamin B12 intake. Head to infowarstore.com and support optimal brain and body functioning with Secret 12. That's infowarstore.com.
[31:59.000 --> 32:18.000]  I'm so excited. The new product at infowarslife.com in a glass bottle, two month servings filled to the brim, filled to the absolute top, the real red pill. This is a heart and brain pill, a new tropic that doesn't have any stimulants in it, but boy does it stimulate because it's beyond that.
[32:18.000 --> 32:34.000]  Quite frankly, I just went off what I saw of medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200 for the formulae, and I came up with our own formulae, working with scientists and developers.
[32:34.000 --> 32:51.000]  Non-GMO made right here in America, 120 capsules. And ladies and gentlemen, you add the preglinone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands. It is amazing.
[32:51.000 --> 33:00.000]  Red pill now available at infowarsstore.com and your purchase fuzz the operation.
[33:00.000 --> 33:10.000]  You're listening to the Alex Jones show.
[33:30.000 --> 33:56.000]  We are back live, ladies and gentlemen. If you just joined us, I got into the fact that all over the news, they're talking about slaves, Africans being sold into slavery, and it's all out of the whole guilt culture, like white people are doing it.
[33:56.000 --> 34:08.000]  And, you know, no one knows exactly who's involved. Meanwhile, it's Arab Wahhabi slave traders that under their version of Islam, black people aren't humans.
[34:08.000 --> 34:34.000]  We have hours of footage sent to us by our intelligence operative sources that's open source, but that's been removed from the Internet of them forcing blacks in Libya, the Muslims, to come by and they chop up with a meat cleaver, one of their brethren in front of them and make them eat it, before they kill them, because they believe that makes them go to hell.
[34:34.000 --> 34:56.000]  Many others beg and plead and all the rest of it, and some of them they keep for farm work, and they're sent to the farms that were captured and taken by Muslims all over Africa now, but mainly in the north and in the east to work as slave laborers for the rest of their lives on the plantations.
[34:56.000 --> 35:08.000]  As you can see in videos they got two weeks ago, many of them seem so incredibly happy that they're there being sold. That's because most of them got killed.
[35:08.000 --> 35:16.000]  They estimate 60,000 blacks have been killed in Libya alone because the Arabs don't want blacks in their countries. Super racist.
[35:16.000 --> 35:31.000]  But see, there's perfect cover for all this, because the Arab and Islamic groups just buy off our politicians in our media, and that's why I've been threatened from the highest levels in private meetings that were off the record, so I won't say by who, that they're going to destroy me.
[35:31.000 --> 35:41.000]  They're going to come after us financially in every other way if I don't leave the Muslims alone. And I've been told that's the group, you leave them alone and you leave the pedophile stuff alone.
[35:41.000 --> 35:59.000]  Well, guess what? I'm tripling down. Get ready. The big torpedoes are coming. You want to fight? You better believe you got one, 110% head to head. Fill your hand. Let's go. Let's get it on.
[35:59.000 --> 36:07.000]  That's how I go to the heights is engaging you. The bigger the enemy, the better. It's everything I've been asking for. Let's go.
[36:07.000 --> 36:19.000]  I'm going to go after radical Islam. I'm going to go after its orthodoxy. I'm going to go after the pedophiles. I'm going to go after the globalists and I'm being proven right on every front. So get ready.
[36:19.000 --> 36:30.000]  Just like I'm a missile guidance system, what you don't want me to cover is right where I go. So thank you for letting me know where you're at and who you are. I'm coming for you.
[36:30.000 --> 36:42.000]  Spectacle or whatever happens will light you up for everybody else to open fire politically as well. See, I'm not a Satanist like you. It isn't all about me.
[36:42.000 --> 36:51.000]  Because it's all about me. It's all about my family and other decent people having a future. It's not about me because it's all about me. You got that?
[36:51.000 --> 37:01.000]  Not just about my life, but other people's lives because I'm connected to them and I want them to have a future. And it's a man's job to stand up for other people's future because other men did it.
[37:01.000 --> 37:09.000]  So I'd have a future and I'm not going to let those other men and women down. You got that? It's a fight I want.
[37:09.000 --> 37:20.000]  And I put it all on God's providence. They had right wing watched all these globalist sorrows. Funding groups attacked me and make fun of me yesterday saying Alex Jones called on the power of Christ.
[37:20.000 --> 37:31.000]  Alex Jones told his listeners to ask God for guidance and to pray to Jesus Christ and they made jokes about it. That's why you're godless losers, Phil. You're so disconnected.
[37:31.000 --> 37:41.000]  You think it's discrediting that I call in the name Jesus Christ? No. They act like they manage all the words and they manage the culture and they manage everything.
[37:41.000 --> 37:50.000]  So if they say something's discrediting, then oh, I better stop doing it. Oh, Trump's discredited because he tweets what he wants to.
[37:50.000 --> 38:00.000]  Oh, he showed Muslims involved in violence. That's the greatest crime. Oh, the Dutch government says this video of a kid being beaten up may not be real.
[38:00.000 --> 38:13.000]  Oh, really? The Muslims never beat up anybody. There's no go zones. France, England, Sweden, Germany all have no go zones where the fire departments and the police departments won't even go.
