[00:00.000 --> 00:26.060]  Alright.
[11:24.420 --> 11:32.420]  There's just plus there's no studies of this, not to mention we're giving our children in the first year and a half more than 50 vaccines.
[11:32.420 --> 11:39.420]  And we don't have any idea how those interact together. There's no studies on that.
[11:39.420 --> 11:46.420]  Because, you know, they tell you there's been all these studies and safe and effective.
[11:46.420 --> 11:55.420]  There's all a load of crap. But vaccines worldwide have been given diplomatic immunity.
[11:55.420 --> 12:04.420]  And so now drug companies are piggybacked on that. They've got all these new classes of things that are injected into you that aren't classic vaccines.
[12:04.420 --> 12:19.420]  They're recombinant DNA reprogramming mutatogens and live viruses that eat certain nerve ganglia in the brain. I mean, it's some scary stuff.
[12:19.420 --> 12:33.420]  It's Dr. Frankenstein meets Event Horizon and they're just doing it.
[12:33.420 --> 12:39.420]  And you watch all these scientists who didn't know this was going to be released because they say things on the video.
[12:39.420 --> 12:50.420]  We've now gone over the 20 hours of it. It's linked on Band-Aid video under our report to the full video on the UN site before they take it down.
[12:50.420 --> 13:06.420]  And they're talking about, you know, if the public finds out about this, if the public finds out about that in this internal meeting that they've released a video of.
[13:06.420 --> 13:16.420]  And I thought about this last night. I said, you know, I think one of these top scientists ordered this posted because they're really telling on the whole thing in this video.
[13:16.420 --> 13:24.420]  You see the head of the WHO, the head scientist, she's on TV a month before saying, safe and effective, take them, don't listen to people that tell you they're dangerous.
[13:24.420 --> 13:31.420]  Everything's safe. And then she's in internal videos going, man, we got a major crisis on her hands. That's mega bomb show.
[13:31.420 --> 13:45.420]  This is the biggest health scandal ever. You know, back in the 50s they gave millions of American women and French women and British women and German women a type of tranquilizer.
[13:45.420 --> 13:53.420]  And it caused hundreds of thousands of children to be born with tiny little arms and legs.
[13:53.420 --> 13:59.420]  You know, but they admitted it and pulled the drug off the market. There have been thousands of drugs that they've pulled.
[13:59.420 --> 14:07.420]  But see, not vaccines. They don't ever pull any of them. They just keep giving them to you and telling you nobody ever got hurt.
[14:07.420 --> 14:16.420]  And you've heard all the news channels, arrest people that say this, take their children, take their property. It's a lie. It's a hoax. Nobody ever got sick.
[14:16.420 --> 14:29.420]  You need to be arrested. You're going to get people sick. Well, wait a minute. If you've taken all these wonderful vaccines that are as good as mother's milk or pumpkin pie, then you're covered, right?
[14:29.420 --> 14:37.420]  Oh, and it's the same laugh saying open the borders and bringing people from the third world who are absolutely infested with communicable diseases.
[14:37.420 --> 14:41.420]  And then when there's outbreaks of those in vaccinated populations, they point their finger at us and say, it's our fault.
[14:41.420 --> 14:53.420]  Even though later you read the fine print and they go, well, the big outbreaks in New Jersey and New York were from illegal aliens brought in from Central and South America.
[14:53.420 --> 15:05.420]  Yeah, no kidding. Because it's new strains of all those diseases and the vaccines aren't going to do jack fricking squat.
[15:05.420 --> 15:17.420]  The flu shot, I'm going to explain this again, has never been effective. They admit they've never, the year before, guessed the flu mutation for the next year.
[15:17.420 --> 15:30.420]  And it does nothing because the family of viruses are so diverse. You have to get the exact mutation of a virus, that exact virus for a vaccine to work.
[15:30.420 --> 15:36.420]  So they just play this dumb game. They go, oh, you just don't believe vaccines are science. Yeah, I know they're a science.
[15:36.420 --> 15:45.420]  Just like all these other technologies and a lot of them get your ass killed, including two people that work in this office had their children die from vaccines.
[15:45.420 --> 15:52.420]  And the cover up is coming down. So thank God that's in the fourth hour, but I'm going to hit all the other huge news when we come right back.
[15:52.420 --> 15:57.420]  Please stay with us and please tell folks to tune in. That's how we get the message out, only through you.
[15:57.420 --> 16:06.420]  I'm here with Scott Youseam, founder of OMG Tax. Tell us how your company helps our listeners out there who have a problem with the IRS.
[16:06.420 --> 16:18.420]  Every team of lawyers, enrolled agents, and licensed tax experts remove wage garnishments. Sometimes in the same day, we even have reduced the total debt some of our clients were required to pay through what is known as an offer in compromise.
[16:18.420 --> 16:33.420]  Can you give us an example of somebody you help? Oh, can I ever? We have taken a $500,000 liability with the IRS. Guess what? The client didn't pay a dime through the representation known as non-collectible status with the government.
[16:33.420 --> 16:43.420]  So pay the IRS more than $10,000 and you want to see if it's possible to pay a lot less. Call OMG Tax right now for a free tax saving consultation.
[16:43.420 --> 16:57.420]  Call 800-486-8112-800-486-8112-800-486-8112. That's 800-486-8112.
[16:57.420 --> 17:08.420]  Attention GCN self-reliance listeners, if you've ever wanted an emergency solar survival backup system but were waiting for prices too crazy to pass up, this will be the most important message you'll ever hear.
[17:08.420 --> 17:17.420]  Bill Hyde here. I want to tell you about a huge sale with historically low prices on our PPX microgrid system that's going to let you produce an endless supply of electricity off the grid.
[17:17.420 --> 17:23.420]  The clearance price is a result of the historic flooding we're having here right on the east bank of the Mississippi.
[17:23.420 --> 17:35.420]  Because of the flooding, we've had to move a lot of our inventory to a temporary location and rather than move it back to the warehouse, we thought we'd offer the system at a price that might seem unbelievable if you didn't know the floodwater's backstory.
[17:35.420 --> 17:43.420]  So here's what you should do right now. Check out the PPX microgrid system at myownpowergrid.com. That's myownpowergrid.com.
[17:43.420 --> 17:47.420]  Over $1,000 in great off the grid gear and a ton of bonuses too.
[17:47.420 --> 17:58.420]  In the best part, you're not going to pay $750 or $500 or even $200. Go to myownpowergrid.com to learn more. That's myownpowergrid.com.
[18:17.420 --> 18:28.420]  Private label it or we develop our own with top developers. And folks, I'm telling you, you can see the difference in me, my energy, my focus. I've lost almost 40 pounds in less than four months.
[18:28.420 --> 18:36.420]  It's incredible. So do yourself a favor. Try out the products if you've been on the fence. You can't lose except if you don't take action.
[18:36.420 --> 18:43.420]  Because when you buy the products, you're funding the operation that is always delivering thanks to your support and God's grace in our action.
[18:43.420 --> 18:51.420]  But you need these products. That's the real reason you want to get them is because they're amazing. And then when you get great results, please tell others about it word of mouth.
[18:51.420 --> 19:17.420]  That's how we expand in the face of the NWO instead of imploding. We're fighting to win and we are winning. Thanks to you.
[19:22.420 --> 19:34.420]  Vitamin E and the incredible Silver Soil Formula. InfoWars Silver Cream works triple duty, supporting the beautifying and protecting of the skin in a fast, non greasy formula.
[19:34.420 --> 19:42.420]  Small and easily stored. It can support dry and damaged skin to reduce fine lines and wrinkles while smoothing and softening calluses.
[19:42.420 --> 19:50.420]  With none of the harmful ingredients found in other formulas, you can be sure this Silver Cream is hard at work promoting the healing of your skin.
[19:50.420 --> 20:14.420]  If you miss out on the new Silver Soil Power, can't miss formula. Get the InfoWars Silver Cream today.
[20:20.420 --> 20:47.420]  We are back live. We are broadcasting worldwide. I am your host, Alex Jones, on this live, January 13, 2020, Monday Transmission.
[20:47.420 --> 20:53.420]  All right. I started to do this at the start of the broadcast, but let me just go over some of the news now.
[20:53.420 --> 21:07.420]  And then at the start of the next segment, I'm going to get into some big tech surveillance news that hasn't broken yet, but that is actually in the terms of service of Android, Apple and others.
[21:07.420 --> 21:20.420]  So I'm going to hit that coming up next segment. And then the segment after that, I'm going to get into the unprecedented volcanoes, wire volcanoes all over the globe, suddenly shooting giant clouds of ash miles in the air,
[21:20.420 --> 21:32.420]  why are there all these earthquakes suddenly? What is causing all of that? And we've got a pretty good idea and it's not humans.
[21:32.420 --> 21:46.420]  So we're going to be going through everything on that subject here today. Let me just mention the news here in the stack, though.
[21:46.420 --> 21:56.420]  Defense Secretary Esper, U.S. wants to discuss steps for Iran to become normal country without the condition. That is a very good thing.
[21:56.420 --> 22:11.420]  Video, Iran police shoot at those protesting plane, shoot down. Isn't that amazing that Iran just admitted on Saturday, okay, we shot it down with two tour missiles.
[22:11.420 --> 22:21.420]  The day after it happened, we had the tour missile photos, the shrapnel from them, the large pieces of the projectile that pierces into the aircraft.
[22:21.420 --> 22:29.420]  It's hard and the back middle part explodes. The middle section has explosive and the back has the propellant of the missile.
[22:29.420 --> 22:36.420]  And it was the exact missile we said. We were the first to say it. Tour missile, shot down, thought that it was a U.S. aircraft.
[22:36.420 --> 22:45.420]  I mean, this is a war zone. Iran shot a couple of airliners down back during the Iran-Iraq war. So that's all confirmed now.
[22:45.420 --> 22:51.420]  The really big news, obviously, is that Trump authorized Soleimani's killing seven months ago with conditions.
[22:51.420 --> 22:57.420]  NBC News is now reporting. And Trump's ready to release the document.
[22:57.420 --> 23:01.420]  He was on a kill list and they brought it to him and said, are you ready? He said, yes, with conditions.
[23:01.420 --> 23:05.420]  So the idea that he did this as a wag the dog situation is not true.
[23:05.420 --> 23:15.420]  Also, Congress questions countries' reliance on Chinese drugs, possible cancer-causing ingredients. Really big report on that.
[23:15.420 --> 23:22.420]  China makes the majority of our drugs. And then they dump deadly fentanyl. That's the number one killer in the U.S. right now.
[23:22.420 --> 23:30.420]  That's right. Number one cause of unnatural death is just fentanyl alone. It's surpassed automobile accident deaths.
[23:30.420 --> 23:39.420]  That's our Chaikom friends. Our little friend, G.C. Pink, look at him right here. He's like, sweet guy, such a nice fella.
[23:39.420 --> 23:53.420]  And then I mentioned this yesterday, but I want to get more into it today. California 8th graders taught anal bondage, sex-involving blood in sex ed class.
[23:53.420 --> 24:04.420]  Well, actually, it's vampirism. When you actually go to the textbook, it's called blood play, drinking blood.
[24:04.420 --> 24:10.420]  So that's the externalization of the real cult that they're engaged in. That's a nationalfile.com story.
[24:10.420 --> 24:21.420]  And since the report came out, since the report came out a few days ago, they're now saying they're going to pull the textbook.
[24:21.420 --> 24:28.420]  But that's who runs things. That's who's running our civilization, our society. This isn't being done by accident.
[24:28.420 --> 24:36.420]  Same folks that run drag queen story time. That's really fat pervert in a dress with clown makeup on, having access to your children time.
[24:36.420 --> 24:43.420]  So that's all coming up. Meanwhile, Muslims attack transgender.
[24:43.420 --> 24:52.420]  But that's okay because we're supposed to have the weird leftist crazed pervert society that's bringing in Islam.
[24:52.420 --> 24:59.420]  The two are supposed to live together in peace. That's going to be quite explosive and already is.
[24:59.420 --> 25:07.420]  Also, data shows that Trump's trying to target women more in his advertising because he's slipping with women.
[25:07.420 --> 25:14.420]  Because they won't allow any female engagement that's pro-Trump on Facebook or on Twitter. Doesn't matter how many ads Trump runs.
[25:14.420 --> 25:21.420]  Women that go to the shooting range and say, I like Trump or wear a Trump hat, get banned off Facebook or warned and their photos get taken down.
[25:21.420 --> 25:26.420]  Or Trump tries to run ads that say we're looking for strong women and Facebook banned that.
[25:26.420 --> 25:31.420]  Saying people that weren't women saw the ad and it hurt them to hear about women.
[25:31.420 --> 25:46.420]  Just like city buses in a major US city last week and London's doing it, banned the word mother and banned the word female and banned the word girl.
[25:46.420 --> 25:50.420]  These are all being banned because those are the new inwards too.
[25:50.420 --> 25:56.420]  You're like, that sounds like a joke. No, it's a scientific takeover.
[25:56.420 --> 26:04.420]  Meanwhile, Pelosi is still holding back and not giving the articles of impeachment to the Senate, even though they're demanding them.
[26:04.420 --> 26:07.420]  That's coming to a head this week.
[26:07.420 --> 26:15.420]  Facebook Glitch reveals Greta Thunberg's father posing as teenage climate activists, not just posting articles, but posing as if it's her.
[26:15.420 --> 26:19.420]  But then there was a Glitch showing his ID and then it was him.
[26:19.420 --> 26:23.420]  She's 16 years old, looks like a deranged nine-year-old.
[26:23.420 --> 26:28.420]  She looks like, you know, like one of the little brats or something from Willy Wonka's Chocolate Factory.
[26:28.420 --> 26:34.420]  She has serious Ashburgers. They admit she's autistic and she is a victim.
[26:34.420 --> 26:38.420]  An autistic child wound up with hate.
[26:38.420 --> 26:45.420]  Well, again, how dare you? I will line you up. You ain't going to take control of you.
[26:45.420 --> 26:51.420]  Only the West must have its energy system set down. Shine that all the power to them.
[26:51.420 --> 26:54.420]  Of course, it's her Antifa parents who are Antifa.
[26:54.420 --> 27:00.420]  And they've got their autistic daughter that they just shove out there at the world, poor thing.
[27:00.420 --> 27:03.420]  But don't worry. Don't worry.
[27:03.420 --> 27:06.420]  Idiocracy, the great Mike Judge film has come true.
[27:06.420 --> 27:11.420]  Elon Musk is advertising his new cars saying there'll be like Siri. They'll be able to talk to you.
[27:11.420 --> 27:15.420]  But you'll be able to hit a button and they'll make a fart noise instead of a horn.
[27:15.420 --> 27:17.420]  And he knows what you want.
[27:17.420 --> 27:24.420]  The number one show for 50 seasons was Oh My Balls.
[27:24.420 --> 27:27.420]  And he's coming out now with a, I guess, a toilet in the seats.
[27:27.420 --> 27:30.420]  You don't have to get up to use the bathroom either when you're watching television.
[27:30.420 --> 27:36.420]  Now, that's a joke, but that's what's coming next in the Idiocracy system and speaking of the devil.
[27:36.420 --> 27:41.420]  When we return on the other side of this break.
[27:41.420 --> 27:45.420]  Apple admits to a lot of really serious criminal activity.
[27:45.420 --> 27:49.420]  But they're just normalizing it all because it's part of the takeover. It's not just Apple.
[27:49.420 --> 27:55.420]  So what do you think the next shoe to drop is?
[27:55.420 --> 27:58.420]  And what's hiding in plain view?
[27:58.420 --> 28:02.420]  We'll talk about it all on the other side of this quick break.
[28:02.420 --> 28:09.420]  Please don't forget that we have our new specials and that it is your purchase of these great products that make everything we do here possible.
[28:09.420 --> 28:19.420]  Lung cleanse is 40% off and lung cleanse isn't like your typical throat spray that has one or two herbs and a bunch of alcohol and some deadening agent.
[28:19.420 --> 28:29.420]  It's got pure, thick, highest quality essential oils that just absorb into the body and are a game changer for those that have allergy sore throats, you name it.
[28:29.420 --> 28:40.420]  And it's got lavage root, eucalyptus leaf, peppermint leaf, lung wart leaf, lemon balm leaf, orange peel, plantain leaf, chaparral leaf and a bunch of other incredible stuff.
[28:40.420 --> 28:45.420]  It's 40% off right now at infowarstore.com and so is Myco ZX.
[28:45.420 --> 28:52.420]  It's the next level of probiotic that flushes out not just the bacteria, it goes after the bad, yeast and mold and candida.
[28:52.420 --> 28:57.420]  So it's 40% off as well, the new specials at infowarstore.com.
[28:57.420 --> 29:06.420]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[29:06.420 --> 29:15.420]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[29:15.420 --> 29:21.420]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[29:21.420 --> 29:25.420]  My blood pressure has normalized, my diabetes has totally improved.
[29:25.420 --> 29:29.420]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[29:29.420 --> 29:31.420]  I recommend heart and body extract to everyone.
[29:31.420 --> 29:39.420]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:39.420 --> 29:58.420]  Order your two month supply today by calling 866-295-5305 or order online hbextract.com. Heart and body extract 866-295-5305 or hbextract.com.
[29:58.420 --> 30:02.420]  Infowars life is bringing you a breakthrough in modern medicine.
[30:02.420 --> 30:15.420]  Introducing pollen block. We have found an extraordinary new natural way to alleviate seasonal distress symptoms including promoting clear nasal and sinus passageways, eye comfort and respiratory function.
[30:15.420 --> 30:25.420]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[30:25.420 --> 30:36.420]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[30:36.420 --> 30:40.420]  Pollen block is natural and effective. It is not an antihistamine.
[30:40.420 --> 30:50.420]  In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[30:50.420 --> 30:58.420]  Go outside and enjoy the air you breathe. Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[30:58.420 --> 31:10.420]  Knock on wood. I am not tempting fate. But everybody around the office, especially folks that have worked there a long time, have noticed that I really don't ever get sick.
[31:10.420 --> 31:20.420]  Now, again, I might get sick tomorrow because I just made that statement. I'm not tempting fate. I'll say that again because I am superstitious when it comes down to that.
[31:20.420 --> 31:23.420]  I'm very thankful for the good Lord, for the Constitution I've been given.
[31:23.420 --> 31:33.420]  But up until about eight, nine years ago when I started taking X2 and the products in forced life, I still got sick every couple years.
[31:33.420 --> 31:48.420]  And I still get sore throats from allergies and pollen and things like that. But now that I religiously take the products at InfoWarsLife, one of the highest quality supplements you're going to find out there, I just never get a fever anymore.
[31:48.420 --> 31:58.420]  It's probably been three, four years since I've had a fever. It's just crazy. So I chalk it up to genetics and the great products.
[31:58.420 --> 32:14.420]  You deserve a deep restful sleep with knockout by InfoWarsLife. Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[32:14.420 --> 32:28.420]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[32:28.420 --> 32:36.420]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[32:36.420 --> 32:46.420]  Pick up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[32:46.420 --> 33:09.420]  Get the sleep you deserve and experience the power of knockout. Head on over to InfoWarsLife.com and say goodbye to fatigue. That's InfoWarsLife.com.
[33:16.420 --> 33:32.420]  Defending the Republic from enemies, foreign, and domestic. It's Alex Jones.
[33:32.420 --> 33:56.420]  So, the social engineers think we're all a bunch of dumb little hay seeds that are caught in all the shucks clopping along here. And that if we saw a real threat telling us it was going to do something bad to us or our neighbors or our families, we'd roll up our sleeves and we'd kick their ass.
[33:56.420 --> 34:18.420]  But if it's done scientifically, if it's hidden in the genetic code of Santa Bola virus that's alive but been altered and injected into our body as an FDA approved vaccine a month ago.
[34:18.420 --> 34:34.420]  Well, how do we know that safe or effective when there's not even studies on the adjuvants in the vaccines and what they're doing and the UN admits that and there's all this clear damage happening.
[34:34.420 --> 34:41.420]  And now they're trying to pass bills all over the US to make you take vaccines.
[34:41.420 --> 35:01.420]  You see, what about the Trojan horses built in to the internet and built into those devices? What about that?
[35:01.420 --> 35:23.420]  You see, there's been a clear infrastructure and a plan of the internet to merge with humans since it was developed and built. And I've shown you the 1962 founding DARPA plan. We've done reports on that and that's not debatable. That's a fact.
[35:23.420 --> 35:50.420]  And then when they passed the telecommunications act of 96 they said smart phones are coming out and by law they'll all be tracked with geolocation down to a few square feet and the companies got caught building in software and systems to listen to you and create word files of everything you ever say or do when the phone is on.
[35:50.420 --> 36:01.420]  But then to get you to accept that so they can openly use it. Oh, Siri, tell me this. Oh, Alexa, tell me that.
[36:01.420 --> 36:13.420]  And Elon Musk comes out and says, oh, I'm going to have a computer that talks to you in my new cars and it'll make fart noises with you. That's an actual headline today.
[36:13.420 --> 36:27.420]  More human than human but not human at all. And so people say, well, that's not a problem. That's not going to be a big deal.
[36:27.420 --> 36:51.420]  I have nothing to hide. Well, it isn't that you don't have anything to hide. It's that this is being built to create a post human system and to take away every human action you do and the creators of it admit it's meant to make you alone, depressed, unhealthy, and to commit suicide.
[36:51.420 --> 37:02.420]  And all the studies and statistics show that the more you use the devices, the more you interface with it, the more lonely, the more unhealthy, the more neurological disorders, the more suicide and it's only getting worse.
[37:02.420 --> 37:07.420]  So I thought I'd just set the table of that before I break some big news here.
[37:07.420 --> 37:21.420]  And I saw this a few months ago and I saw it a few weeks ago and the fact is I have one of these devices because of its uses but I know what it does when I put it in a Faraday cage when I'm not using it.
[37:21.420 --> 37:37.420]  But have you noticed that if you have a droid or you have an apple, particularly apple, that for a couple years it's been doing this but now it's getting really good at it.
[37:37.420 --> 37:50.420]  It takes your photos of say your baby or your wife or your husband or a certain trip you went on and it puts together really good timelines that are as good as a human can do.
[37:50.420 --> 38:03.420]  I mean some of these look like Steven Spielberg directed them with the music and just how they do things right at the perfect time and then your baby daughter says one little thing right at the end.
[38:03.420 --> 38:14.420]  And I went back and looked on my wife's phone at this at the thousands of photos and videos and it, I mean it really picked the very best stuff, very, very frightening.
[38:14.420 --> 38:22.420]  And the point is that's not being done locally on the phone. This is just the interface to the big AI system.
[38:22.420 --> 38:30.420]  It's being done in Beijing where the main computers for Apple are held.
[38:30.420 --> 38:38.420]  And so when you go and you see an Apple headline like oh we only go through your photos to look for child abuse.
[38:38.420 --> 38:44.420]  Oh really and what's the reporting system on that? See there's this whole infrastructure but really that's not what it is.
[38:44.420 --> 39:01.420]  It's matching up with other people that have phones and integrating those together and creating whole timelines of where you go, what you do with machine learning with face scanning technology that knows who the child's siblings are and knows who your friends are.
