[00:00:30.179 --> 00:00:30.566]  I'll play.
[00:04:07.378 --> 00:04:19.067]  You know, the bills they're sponsoring in Europe, in African countries, and in the United States, and the patents, are all 666.
[00:04:19.067 --> 00:04:20.889]  And I printed them off for you.
[00:04:20.889 --> 00:04:22.590]  And it's admitted they're sponsoring it.
[00:04:22.590 --> 00:04:25.332]  So, by the way, I looked up the order of bills.
[00:04:25.332 --> 00:04:29.356]  No one's even sure how they got them done this way, because they're out of order.
[00:04:31.340 --> 00:04:32.560]  That's how much power they got.
[00:04:32.560 --> 00:04:37.062]  They're like, we want 666 on it.
[00:04:37.062 --> 00:04:39.883]  Because that's part of the magic is they have to piss in your face.
[00:04:39.883 --> 00:04:41.984]  It's called lesser magic.
[00:04:41.984 --> 00:04:48.026]  They have to show you that they're going to absolutely murder you and your family before they do it.
[00:04:48.026 --> 00:04:50.487]  Then Bill Gates gets to laugh at you and rub it in.
[00:04:50.487 --> 00:04:52.687]  All right, we'll be right back.
[00:04:52.687 --> 00:04:55.768]  I'm Alex Jones, InfoWars.com.
[00:04:55.768 --> 00:04:57.049]  Tomorrow's news today.
[00:04:59.998 --> 00:05:05.823]  As I record this announcement, there's only one week left in the biggest sale yet of 2020.
[00:05:05.823 --> 00:05:13.330]  We will not have this sale that's going on right now in May until our Christmas sale comes up.
[00:05:13.330 --> 00:05:19.135]  All of our best-selling supplements are 30 to 60% off at Infowarestore.com.
[00:05:19.135 --> 00:05:21.537]  Let me just hone in on one of the products.
[00:05:22.157 --> 00:05:24.158]  DNA Force Plus.
[00:05:24.158 --> 00:05:31.483]  It's got high-quality PQQ, CoQ10, and a bunch of other natural ingredients that are known to supercharge the effects of that.
[00:05:31.483 --> 00:05:42.090]  Learn what PQQ and CoQ10 can do for you, no matter how old you are, no matter what color you are, no matter where you live in the world, it works the same on everybody.
[00:05:42.090 --> 00:05:44.652]  It's known to be able to regrow nerves.
[00:05:44.652 --> 00:05:47.534]  It's designed so that your telomeres last longer.
[00:05:47.534 --> 00:05:49.796]  It doesn't make them grow, it makes them shrink.
[00:05:50.516 --> 00:05:51.917]  There comes a time
[00:06:19.679 --> 00:06:29.304]  In any stealth war that you begin to enter the final phases and then there can be no more stealth.
[00:06:29.304 --> 00:06:30.985]  Suddenly you're in a permanent lockdown.
[00:06:30.985 --> 00:06:33.766]  Suddenly they're coming with forced inoculation.
[00:06:33.766 --> 00:06:35.887]  Suddenly the world's going bankrupt.
[00:06:35.887 --> 00:06:37.828]  Suddenly your savings are gone.
[00:06:37.828 --> 00:06:45.132]  Suddenly there's trained domestic political police contact tracers
[00:06:46.795 --> 00:06:53.757]  And suddenly they're all over Congress and all over state houses saying, we're coming in your homes to make sure you're safe.
[00:06:53.757 --> 00:06:56.418]  We're going to take your temperature and take your blood.
[00:06:56.418 --> 00:07:05.400]  We've got all these college students ready to wear arm bands.
[00:07:05.400 --> 00:07:05.820]  That's right.
[00:07:05.820 --> 00:07:13.082]  They've passed laws in Alaska and other US states where to show the contact tracers and the EMTs are good.
[00:07:14.201 --> 00:07:23.167]  They must themselves wear a government armband that is certified that they have been tested by the special government testers.
[00:07:23.167 --> 00:07:24.688]  After all, they've all been tested.
[00:07:24.688 --> 00:07:27.771]  They wear the armband to show they are pure and good.
[00:07:27.771 --> 00:07:31.253]  You must wear the mark as well.
[00:07:31.253 --> 00:07:34.475]  So, the total cult control is here.
[00:07:34.475 --> 00:07:36.897]  Snap, you're in the trap.
[00:07:36.897 --> 00:07:42.201]  But... We hope we can back this off.
[00:07:42.201 --> 00:07:43.782]  Phase one of the extermination operation.
[00:07:46.257 --> 00:07:47.457]  We haven't.
[00:07:47.457 --> 00:07:50.099]  But we're not caught flat-footed.
[00:07:50.099 --> 00:08:03.944]  And so, there is a firestorm of galactic proportions going on, of truly colossal proportions, gigantor proportions.
[00:08:05.632 --> 00:08:09.836]  That every video about Bill Gates on YouTube is 99% of not 100%.
[00:08:09.836 --> 00:08:18.664]  I read probably 300 comments this morning about his wife on a Today program where she's wearing the upside down cross.
[00:08:18.664 --> 00:08:24.830]  And I could not find one person supporting her.
[00:08:24.830 --> 00:08:28.594]  So these are on sites that are being force-fed out the sheeple.
[00:08:30.387 --> 00:08:40.839]  They're being driven at the people on censored YouTube and still everywhere the people are aware of everything and it sounds like Alex Jones has possessed them.
[00:08:40.839 --> 00:08:49.469]  And now you have Japanese and Italian members of Parliament coming out and medical doctors coming out and saying this is a planetary takeover plan.
[00:08:51.408 --> 00:08:52.029]  I don't know.
[00:09:13.493 --> 00:09:16.074]  Up to speed a little bit.
[00:09:16.074 --> 00:09:18.494]  And then everybody trying to suppress it.
[00:09:18.494 --> 00:09:25.096]  And all these incredible scientists and medical doctors and Nobel Prize winners coming out and saying the same things.
[00:09:25.096 --> 00:09:26.517]  They're all being banned.
[00:09:26.517 --> 00:09:27.637]  Their videos are being banned.
[00:09:27.637 --> 00:09:29.758]  And you think they lay down when that happens?
[00:09:29.758 --> 00:09:30.458]  No!
[00:09:30.458 --> 00:09:33.019]  More scientists, more doctors go public.
[00:09:33.019 --> 00:09:37.300]  So, in January,
[00:09:39.454 --> 00:09:54.841]  In early February, one of the most prestigious Indian biomedical university labs, with electron microscopes and gene editing equipment, scanned it and said, it is conclusively man-made.
[00:09:54.841 --> 00:09:57.483]  It has P-Shuttle injection points.
[00:09:57.483 --> 00:10:01.965]  It's been given gain-of-function in the HIV delivery system.
[00:10:01.965 --> 00:10:06.447]  Not HIV content of the virus, the delivery system.
[00:10:07.779 --> 00:10:17.406]  Then the discoverer of HIV came out, Luke Montagnier, and said he scanned it, and it's totally man-made.
[00:10:17.406 --> 00:10:22.410]  I'll show you guys a document cam shot, please.
[00:10:22.410 --> 00:10:32.138]  So, now, we have just incredible developments unfolding, and the story's up on InfoWars.com.
[00:10:32.138 --> 00:10:33.579]  Maybe we can just pull it up from there.
[00:10:35.609 --> 00:10:42.213]  Austrian study finds sign of human intervention in coronavirus.
[00:10:42.213 --> 00:10:50.419]  And that is a InfoWars.com report that links to the mainline Australian news and university.
[00:10:51.684 --> 00:10:57.348]  And they talk about the gain of function and the HIV delivery system added on to the coronavirus.
[00:10:57.348 --> 00:11:03.912]  A study led by Nikoli Petrovinsky, a vaccine researcher at Flinders University.
[00:11:03.912 --> 00:11:13.358]  The scientist and his team discovered that the coronavirus is optimized for penetration into human cells rather than animal cells.
[00:11:13.358 --> 00:11:17.321]  Which means that the theory that it emerged from an animal market and jumped into humans is
[00:11:18.416 --> 00:11:19.477]  Naturally unlikely.
[00:11:19.477 --> 00:11:21.458]  Then they go into more the characteristics of it.
[00:11:21.458 --> 00:11:22.418]  But here's the deal.
[00:11:22.418 --> 00:11:29.041]  You have to put it in to a petri dish.
[00:11:29.041 --> 00:11:34.024]  And then you have to see which of the cells have mutated and will attack a human.
[00:11:34.024 --> 00:11:37.886]  And then you have to take those out and continue to culture them in more cells.
[00:11:37.886 --> 00:11:41.788]  So Australian study finds, a very respected university and scientist team,
[00:11:43.561 --> 00:11:46.322]  Coronavirus man-made, says the discoverer of HIV.
[00:11:46.322 --> 00:11:48.823]  I mean, go listen to him in a radio interview.
[00:11:48.823 --> 00:11:59.146]  Indian scientists discover coronavirus engineered with HIV's AIDS-like insertions.
[00:11:59.146 --> 00:12:11.430]  And the Bill and Melinda Gates Foundation threatened their money, threatened India, who's, by the way, banned their foundation, but they still have money there, through front rows, and told them
[00:12:15.444 --> 00:12:16.745]  That you better withdraw that paper.
[00:12:16.745 --> 00:12:20.326]  So they withdrew that paper four months ago.
[00:12:20.326 --> 00:12:25.109]  They withdrew that paper, but said we're not withdrawing it for cause, it's on hold.
[00:12:25.109 --> 00:12:28.931]  While we challenge those challenging it to show us any proof.
[00:12:28.931 --> 00:12:30.571]  No one's challenged it.
[00:12:30.571 --> 00:12:33.573]  And so now, not every university, not every scientist has owned
[00:12:34.662 --> 00:12:36.203]  And so people are going and looking at this.
[00:12:36.203 --> 00:12:38.145]  They're like, this is Frankenstein.
[00:12:38.145 --> 00:12:42.728]  Now, the next statement is, well, Alex, wait a minute.
[00:12:42.728 --> 00:12:47.291]  If it's a hoax, then why is it a bio-made weapon in a lab?
[00:12:47.291 --> 00:12:48.552]  They have to own it.
[00:12:48.552 --> 00:12:49.793]  And it's got to spread fast.
[00:12:51.516 --> 00:13:01.562]  And it's got to create fear so everyone gets infected, so that now everyone can be suspect and bad, and everyone can be pushed to have a vaccine, to then have the antibodies, so that you can go about your life.
[00:13:01.562 --> 00:13:03.203]  It's all engineered to do that.
[00:13:03.203 --> 00:13:05.544]  And they want to get rid of old people.
[00:13:05.544 --> 00:13:07.605]  And it is a souped-up cold virus.
[00:13:07.605 --> 00:13:09.046]  It does exist.
[00:13:09.046 --> 00:13:09.527]  That's clear.
[00:13:10.464 --> 00:13:29.776]  And if you don't have vitamin D and zinc and vitamin C at high levels, even Yahoo News said this last Thursday, everyone they studied in Sweden and other EU countries that had died had low vitamin D. I mean, the NIH website says if you don't have enough zinc or vitamin D, your cells are penetratable by viruses.
[00:13:29.776 --> 00:13:32.178]  If you have it, they're virtually impregnable!
[00:13:32.178 --> 00:13:33.879]  That's on the NIH website!
[00:13:33.879 --> 00:13:35.240]  This is just basic biology!
[00:13:37.543 --> 00:13:40.866]  So it is a disease of malnutrition.
[00:13:40.866 --> 00:13:43.768]  Well, who's malnourished?
[00:13:43.768 --> 00:13:46.590]  The third world is malnourished.
[00:13:46.590 --> 00:13:49.792]  Old people get malnourished because their guts don't absorb things good anymore.
[00:13:49.792 --> 00:13:54.516]  They're fed all that crappy nursing home food and that's what's going on.
[00:13:54.516 --> 00:13:56.477]  And that's why they don't want you to know about vitamins and minerals.
[00:13:56.477 --> 00:14:02.502]  That's why they don't want you to know about sunlight and natural vitamin D. And now the NIH has had to admit
[00:14:05.080 --> 00:14:07.581]  Stop on Infowars.com, Health and Human Services Secretary.
[00:14:07.581 --> 00:14:12.744]  No coronavirus spikes in reopened areas, only closed areas.
[00:14:12.744 --> 00:14:33.554]  And that's because people are locked up in high-rises with the ventilation system circulating and they're not getting vitamin D, they're eating crappy food, they live in canyons and don't get sunlight, and the blue cities are on the globalist payroll under total World Health Organization control, under UN NIH control, and so they are now there.
[00:14:35.083 --> 00:14:39.644]  And when they do go get sick, they slap COVID on it right away to get the money.
[00:14:39.644 --> 00:14:49.447]  Could be flu, could be COVID, could be heart disease, could be... Again, they're putting it on people that die in car accidents and gunshot wounds.
[00:14:49.447 --> 00:14:51.148]  I'm not joking, look it up.
[00:14:51.148 --> 00:14:53.009]  Because they want the money.
[00:14:53.009 --> 00:14:55.309]  So that's why you're also seeing it in those areas.
[00:14:55.309 --> 00:14:57.550]  And this is so diabolical.
[00:14:59.548 --> 00:15:01.849]  But the good news is, it's coming out.
[00:15:01.849 --> 00:15:05.231]  But then you tell people, hey, did you hear it's confirming man-made?
[00:15:05.231 --> 00:15:08.813]  Well, that's, there's some debate about that.
[00:15:08.813 --> 00:15:22.680]  You know, Snopes, Snopes says, and of course the Pentagon says, we don't think it's conclusive because if China did this on purpose, it's an act of war.
[00:15:22.680 --> 00:15:25.462]  And also they know that Fauci and Billimonogates are involved.
[00:15:26.437 --> 00:15:33.341]  Bill and Melinda Gates have bought off a lot of the higher brass at the Pentagon, folks, because they're the front group for the globalists.
[00:15:33.341 --> 00:15:36.723]  And so, yeah, a lot of people wanted to cover this up and go, it's just China.
[00:15:36.723 --> 00:15:38.364]  China's the problem.
[00:15:38.364 --> 00:15:40.166]  China's the big globalist command base.
[00:15:40.166 --> 00:15:41.166]  It's the big enemy.
[00:15:41.166 --> 00:15:43.508]  It's the big monster, the big robot.
[00:15:43.508 --> 00:15:49.571]  But the little creature up at the top of the robot running, the little gremlin, is the new world order.
[00:15:49.571 --> 00:15:54.675]  Make no mistake, the men on your screen are the people you need to understand are in command.
[00:15:54.675 --> 00:15:55.295]  We'll be right back.
[00:15:57.153 --> 00:16:00.814]  It's time to take a new, healthier approach to one of your most basic needs.
[00:16:00.814 --> 00:16:07.876]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[00:16:07.876 --> 00:16:11.858]  You can start cleaning the toxins from your water for clean, healthy, and delicious drinking water.
[00:16:11.858 --> 00:16:18.820]  Perfect for preppers or anyone concerned with a healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[00:16:18.820 --> 00:16:23.121]  This groundbreaking, gravity-fed water filtration system is like no other.
[00:16:23.121 --> 00:16:26.002]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[00:16:29.221 --> 00:16:31.845]  You're listening to The Alex Jones Show!
[00:16:56.866 --> 00:16:59.727]  Well, Alex Jones here back live.
[00:16:59.727 --> 00:17:04.350]  Bernie Sanders has joined many on the left and saying the lockdown's great.
[00:17:04.350 --> 00:17:06.611]  It's cut the planet's carbon footprint.
[00:17:06.611 --> 00:17:13.134]  It's getting us used to a universal income.
[00:17:13.134 --> 00:17:16.116]  It's teaching us to be dependent on the state.
[00:17:16.116 --> 00:17:19.197]  It's creating a clouded and pivoted collapse.
[00:17:19.197 --> 00:17:20.698]  We'll play that clip coming up.
[00:17:22.717 --> 00:17:29.181]  Also on over the phones in the second and third hour, Dan Lyman will be joining us from EuropeWars.com.
[00:17:29.181 --> 00:17:33.884]  Interpol says EU faces second migrant wave as coronavirus crisis takes hold.
[00:17:33.884 --> 00:17:39.168]  And the UN says, and the EU says, the migrants, the invaders are welcome.
[00:17:39.168 --> 00:17:43.711]  So the globalists collapse the third world and then flood us with them using them as a weapon.
[00:17:44.557 --> 00:17:48.458]  While they also carry out the sterilization of the third world.
[00:17:48.458 --> 00:17:53.000]  So the globalists are attacking in a 360 full-spectrum dominance operation.
[00:17:53.000 --> 00:17:54.640]  That's all coming up.
[00:17:54.640 --> 00:17:57.821]  But here's something that's really, really chilling.
[00:17:57.821 --> 00:18:03.083]  And you're seeing this in all the blue state and socialist and globalist areas.
[00:18:03.083 --> 00:18:08.505]  CDC promoted training materials say quarantine children
[00:18:09.974 --> 00:18:10.154]  I don't
[00:18:31.078 --> 00:18:34.281]  A test, by the way, put out by Bill and Melinda Gates that has all these false positives.
[00:18:34.281 --> 00:18:35.703]  That's now been confirmed.
[00:18:35.703 --> 00:18:40.888]  The FDA just shut down their big Seattle lab that's been putting out the fake test.
[00:18:40.888 --> 00:18:41.489]  And it was confirmed.
[00:18:41.489 --> 00:18:42.710]  They were just completely fake.
[00:18:42.710 --> 00:18:46.074]  Everyone is infected that has it.
[00:18:46.074 --> 00:18:50.579]  The CDC got caught with Chinese-made and Bill and Melinda Gates-made ones.
[00:18:50.579 --> 00:18:52.020]  Remember this a few months ago?
[00:18:52.020 --> 00:18:52.801]  A few weeks ago it ended?
[00:18:55.714 --> 00:19:00.237]  That we're contaminated with COVID-19.
[00:19:00.237 --> 00:19:02.978]  Bill Gates has got a test for you.
[00:19:02.978 --> 00:19:08.041]  Just stick this swab up your nose and put it in a container and ship it back to us, dum-dums.
[00:19:08.041 --> 00:19:10.283]  Yeah, let me stick something up my nose Bill Gates sent me.
[00:19:10.283 --> 00:19:12.544]  That sounds like a real good idea.
[00:19:12.544 --> 00:19:18.507]  Well, the FDA shut down their operation, which by the way, the FDA's been run by Bill and Melinda Gates.
[00:19:18.507 --> 00:19:20.729]  That is a very good sign that
[00:19:22.796 --> 00:19:25.158]  Trump's really starting to move against these people.
[00:19:25.158 --> 00:19:27.320]  CDC?
[00:19:27.320 --> 00:19:32.264]  Promoted training manual says quarantine children of six parents up on nationalfile.com.
[00:19:32.264 --> 00:19:36.588]  It's also on infowars.com.
[00:19:36.588 --> 00:19:41.232]  And this is what the CDC is pushing.
[00:19:41.232 --> 00:19:47.158]  Meanwhile, the Dow soared 700 points on the hope that we'll get a vaccine soon.
[00:19:49.403 --> 00:19:53.508]  And meanwhile, you ought to see the folks that are moderating and running all the censorship of conservatives right now.
[00:19:53.508 --> 00:19:56.451]  We'll get into some of that incredible footage coming up.
[00:19:56.451 --> 00:20:01.638]  But I want to play a clip from a Millie Weaver report that's really good, that's about 12 minutes long.
[00:20:01.638 --> 00:20:02.539]  Let's play a minute or two of it.
[00:20:04.051 --> 00:20:10.717]  He's just got the best version of Trump explaining that he does not want forced inoculations.
[00:20:10.717 --> 00:20:15.402]  The clip I was able to find was very grainy and there's a big trucker protest going on.
[00:20:15.402 --> 00:20:16.643]  So it sounds like air raid sirens.
[00:20:16.643 --> 00:20:18.564]  We've not added air raid sirens to this.
[00:20:18.564 --> 00:20:21.547]  Even sounds scarier than our air raid sirens.
[00:20:21.547 --> 00:20:22.929]  And this should not get promoted in the media.
[00:20:22.929 --> 00:20:26.972]  The media said that Trump was going to go along with Fauci and forced inoculations.
[00:20:26.972 --> 00:20:27.513]  So here's the deal.
[00:20:29.488 --> 00:20:32.973]  Bill and Melinda Gates are competing to be the presidents of the world.
[00:20:32.973 --> 00:20:39.081]  And they're trying to come in and take control of the CDC, which is full of all their people in the NIH.
[00:20:39.081 --> 00:20:43.227]  Like Birx and Fauci and all the rest of them.
[00:20:43.227 --> 00:20:45.209]  And so it's good that Trump is sidelining them more and more.
[00:20:45.209 --> 00:20:46.211]  He's figured that out now.
[00:20:48.643 --> 00:21:04.628]  When he talks about the military coming and delivering it, with the background and with the bureaucrats saying they want forced inoculation, to be able to have a job, to go in a store, love to have a special ID passport, later it's going to be implantable ink inside the vaccine, ID 2020, this has all been announced.
[00:21:04.628 --> 00:21:11.910]  With that climate, it's a fair thing to say, hey Trump, you better back off on forced inoculations, because the people around him are pushing it.
[00:21:13.626 --> 00:21:18.450]  But it is not completely accurate to say he is pushing it, but the concern is there.
[00:21:18.450 --> 00:21:25.555]  And I did not know that he had that same day said, no, it does not need to be mandatory and people shouldn't be made to do it.
[00:21:25.555 --> 00:21:28.118]  That is extremely positive.
[00:21:28.118 --> 00:21:32.281]  But we need to see more sidelining of the globalist and their removal.
[00:21:32.281 --> 00:21:41.068]  And we need to see discrediting of the vaccines that we know have never been able to help you with a respiratory issue.
[00:21:43.649 --> 00:21:55.792]  And so what is in the vaccine is the question when the Bill and Melinda Gates Foundation have been caught and banned in at least seven countries from giving vaccines because people were getting paralyzed and dying and they were caught buying off the local officials.
[00:21:55.792 --> 00:22:01.113]  They were just banned in two different African countries, Tanzania and Kenya.
[00:22:01.113 --> 00:22:06.794]  They were banned in India a few years ago and they killed a bunch of people.
[00:22:06.794 --> 00:22:08.115]  I mean, this is mainstream news.
[00:22:08.115 --> 00:22:09.435]  This is, you know, Times of India.
[00:22:11.169 --> 00:22:12.490]  But you won't see it here, folks.
[00:22:12.490 --> 00:22:13.891]  They keep it all quiet.
[00:22:13.891 --> 00:22:19.754]  And they promote and fund, since the 90s, a fertility reduction vaccine.
[00:22:19.754 --> 00:22:21.735]  And I showed you that last Friday on the show.
[00:22:21.735 --> 00:22:23.096]  I've got the folder right here.
[00:22:23.096 --> 00:22:25.378]  I mean, this is incredible.
[00:22:25.378 --> 00:22:28.760]  And by the way, we're at UN's website.
[00:22:28.760 --> 00:22:35.744]  And then you follow who funded it, and it's the Bill and Melinda Gates Foundation or a bunch of foundations they funded.
[00:22:35.744 --> 00:22:36.684]  Go look at it for yourself.
[00:22:36.684 --> 00:22:37.285]  Don't believe me.
[00:22:38.527 --> 00:22:47.011]  Type in HCG vaccine, HCG anti-fertility vaccine, or anti-fertility vaccine.
[00:22:47.011 --> 00:22:48.392]  You'll be on the UN website.
[00:22:48.392 --> 00:22:53.835]  Go look at the foundations and every one of them is funded by Bill and Melinda Gates.
[00:22:53.835 --> 00:22:56.316]  You say, who died and made them king of the earth?
[00:22:56.316 --> 00:22:58.117]  They are a front group.
[00:22:58.117 --> 00:23:04.741]  IBM was the chairmanship of the eugenics board because Thomas Watson was above Hitler.
[00:23:04.741 --> 00:23:05.281]  Look this up.
[00:23:07.892 --> 00:23:15.175]  I mean, in the actual hierarchy, Edward VIII was above Thomas Watson, and then under Thomas Watson was Hitler.
[00:23:15.175 --> 00:23:19.016]  And then British intelligence and Roosevelt triple-crossed him and beat him.
[00:23:19.016 --> 00:23:24.439]  And then the King had to advocate, and then the head IBM had to just, you know, shut up.
[00:23:24.439 --> 00:23:26.920]  But this all went underground, ladies and gentlemen.
[00:23:26.920 --> 00:23:28.740]  I'm telling you mainline history.
[00:23:28.740 --> 00:23:33.662]  The King of England was to rule the European Union!
[00:23:33.662 --> 00:23:35.063]  They had a plan in the early...
[00:23:36.735 --> 00:23:39.621]  40s to take over countries and put sterilants in the food.
[00:23:39.621 --> 00:23:41.545]  Where do you think fluoride in the water comes from?
[00:23:41.545 --> 00:23:45.815]  These people!
[00:23:45.815 --> 00:23:47.258]  Here's Millie Weaver with the Club of the President.
[00:23:47.844 --> 00:23:53.209]  Many people in President Trump's base are concerned about mandatory vaccines.
[00:23:53.209 --> 00:24:03.939]  Blue states such as New York, California and Minnesota have removed religious and philosophical exemptions to mandated vaccine requirements for public schools.
[00:24:03.939 --> 00:24:08.243]  Some red states such as Mississippi and West Virginia have done the same.
[00:24:08.803 --> 00:24:19.369]  Liberals tend to lean more towards advocating government-mandated vaccinations, whereas conservatives tend to lean more towards advocating freedom of choice.
[00:24:19.369 --> 00:24:28.034]  From the beginning of the coronavirus outbreak, both sides have weighed in over their concerns over a COVID-19 vaccination.
[00:24:28.034 --> 00:24:30.235]  Some love the idea and some hate it.
[00:24:30.535 --> 00:24:51.179]  With Bill Gates, the World Health Organization, and other medical authorities pushing for a COVID-19 vaccine, along with Democrats putting forth the controversial HR Bill 6666, this subject has the volatility to stir a lot of political intrigue and division.
[00:24:51.179 --> 00:24:54.720]  To make matters even more tense... Alright, we're gonna come back with the part with Trump.
[00:24:54.720 --> 00:24:59.061]  I just wanted you to know that she did an excellent report, you know, just as a news person showing you both sides, but...
[00:24:59.801 --> 00:25:02.062]  I'm not joking about all these 666 bills, okay?
[00:25:02.062 --> 00:25:06.984]  These people just don't wear pentagrams and upside-down crosses on TV.
[00:25:06.984 --> 00:25:08.124]  Believe me, they're not atheists.
[00:25:08.124 --> 00:25:11.706]  They are the most hardcore Satanists the planet have ever seen.
[00:25:11.706 --> 00:25:14.647]  They want your life, and they're gonna get it, too.
[00:25:14.647 --> 00:25:17.508]  Don't you worry, because you're gonna submit to them.
[00:25:17.508 --> 00:25:20.729]  You're gonna let them rule you.
[00:25:20.729 --> 00:25:22.530]  Prepare for your convulsions.
[00:25:24.673 --> 00:25:27.796]  The lockdown is permanent dictatorship.
[00:25:27.796 --> 00:25:42.548]  The lockdown is designed to have the public accept their basic rights being suspended and a global medical tyranny led by the WHO and the Bill and Melinda Gates Foundation in full control.
[00:25:42.548 --> 00:25:44.649]  Many will submit through fear.
[00:25:44.649 --> 00:25:46.351]  Others will be bought off.
[00:25:46.351 --> 00:25:48.833]  But in the end, the globalists admit their
[00:25:48.933 --> 00:25:51.775]  We're building a post-human world.
[00:25:51.775 --> 00:25:58.341]  And now that we're inside the cage, it's going to move very, very quickly into its endgame.
[00:25:58.341 --> 00:26:11.912]  Submission to this is a form of living death and committing the next generation and our own generation to a living hell that cannot be imagined until you're actually experiencing this.
[00:26:11.912 --> 00:26:15.955]  This is your dignity, your soul, your future being torn inside out.
[00:26:22.728 --> 00:26:30.593]  I don't like coming to you every day on the radio and TV stations that you watch and listen to a song and telling you all these horrible things.
[00:26:30.593 --> 00:26:34.736]  But you notice almost everything we've talked about horrible has come true.
[00:26:34.736 --> 00:26:38.538]  We were warning everybody to try to stop it.
[00:26:38.538 --> 00:26:43.221]  It's like telling somebody if you got a pool, put a fence around it if you have little kids.
[00:26:43.221 --> 00:26:45.963]  Because even if they're good swimmers, they can hit their head and drown.
[00:26:45.963 --> 00:26:48.265]  People don't listen, they go out and their kid's dead in the pool.
[00:26:48.945 --> 00:26:53.229]  Well, ladies and gentlemen, this is the death of the third world and the collapse of the first world.
[00:26:53.229 --> 00:26:57.072]  And this is 21st century warfare carried out by the globalists.
[00:26:57.072 --> 00:26:59.694]  And they admit they've orchestrated it.
[00:26:59.694 --> 00:27:02.156]  They admit it's, quote, good to save the Earth.
[00:27:02.156 --> 00:27:04.097]  And they're teaching us to be more frugal.
[00:27:04.097 --> 00:27:09.062]  And they want to make us poor so they can dictate our surrender to this post-human technocracy.
[00:27:09.722 --> 00:27:17.193]  I know all this sounds insane when I was talking about it 25 years ago, but now it's public because it's their operations manual.
[00:27:17.193 --> 00:27:23.302]  I wish this wasn't the case, but there really are evil psychopaths in control of most major institutions and we've got to stop them.
[00:27:24.386 --> 00:27:29.849]  It's Tuesday morning as I record this important announcement at my kitchen table to the listeners and viewers of InfoWars.
[00:27:29.849 --> 00:27:32.671]  We're running the biggest sale we've had yet of the year.
[00:27:32.671 --> 00:27:36.213]  We won't have a sale this big until our Christmas sale.
[00:27:36.213 --> 00:27:42.156]  It's all of our best-selling high-quality supplements for 30 to 60% off.
[00:27:42.156 --> 00:27:45.078]  50% off X2, it's back in stock.
[00:27:45.078 --> 00:27:47.319]  60% off the 8-pack PowerStack.
