[00:00.000 --> 00:23.160]  Infowars, tomorrow's news today.
[08:18.220 --> 08:22.500]  attempting to force deadly shots that are mRNA that change your whole makeup, that change
[08:22.500 --> 08:26.460]  the inside of your cells, that program your cells to create poisonous spike proteins for
[08:26.460 --> 08:30.420]  the rest of your life, that erase your immune system.
[08:30.420 --> 08:36.940]  If you think that's bad, imagine it being put in all the major food chain supply and
[08:36.940 --> 08:39.980]  then the companies just say, Hey, the UN legalized it.
[08:40.500 --> 08:46.180]  It wasn't even approved by the FDA, but we don't care just like these shots.
[08:46.180 --> 08:51.200]  We're now going to put all this nanotech on your food, whether you like it or not.
[08:51.200 --> 08:55.060]  So you thought it was bad to have GMO crops that in many of the studies are linked to
[08:55.060 --> 08:56.940]  infertility.
[08:56.940 --> 09:00.780]  You thought it was bad to be seeing all these illnesses and cancer cropping up in all the
[09:00.780 --> 09:04.460]  studies of lab rats that are fed the same stuff we're being fed.
[09:04.460 --> 09:05.460]  You thought it was bad.
[09:05.460 --> 09:12.980]  They might engineer into the very vegetables and fruits you eat, quote, live vaccine, which
[09:12.980 --> 09:17.340]  is really just a viral attack or reprogramming your body.
[09:17.340 --> 09:22.460]  Now they're announcing that they're rolling out with the UN and demanding starting with
[09:22.460 --> 09:30.100]  third world populations, that they take smart dust in to all of the products that then can
[09:30.100 --> 09:32.460]  be tracked and read and scanned.
[09:32.460 --> 09:39.140]  And that you then ingest that they claim are safe, that they then say, become part of your
[09:39.140 --> 09:40.140]  body.
[09:40.140 --> 09:44.940]  Remember I covered that a few days ago from the Davos group, the announcements that they
[09:44.940 --> 09:50.200]  made about how, if you are human, you'll be obsolete soon, and that they're going to put
[09:50.200 --> 09:55.020]  living entities into your bodies that are microscopic, that then take control of your
[09:55.020 --> 09:57.420]  brain.
[09:57.420 --> 09:59.260]  That's what Nobel prize winners are calling for.
[09:59.420 --> 10:02.380]  And they're saying it'll end all war, we'll all be one mind.
[10:02.380 --> 10:07.060]  Yeah, under their control in their nightmare, virtual reality now rolled out and launched
[10:07.060 --> 10:08.060]  by Zuckerberg.
[10:08.060 --> 10:15.080]  Yeah, that's the book, Homo Deuce, A Brief History of Tomorrow.
[10:15.080 --> 10:16.940]  That's what the Davos group is putting out.
[10:16.940 --> 10:20.280]  It's all there, already played the clips.
[10:20.280 --> 10:23.380]  So let's go through some of the background of this and then get into the latest developments
[10:23.380 --> 10:26.380]  right now.
[10:26.380 --> 10:29.420]  Replicating the nanotechnology and COVID-19 vaccines.
[10:29.420 --> 10:33.060]  That's from cas.org, major universities reporting it.
[10:33.060 --> 10:38.620]  It is nanotechnology, it is in the vaccines that are not vaccines, it is self replicating
[10:38.620 --> 10:39.620]  in the body.
[10:39.620 --> 10:42.380]  And we're going to list what is in there.
[10:42.380 --> 10:50.620]  Nanolipids and microscopic carbon based metal that then begins replicating off of your body's
[10:50.620 --> 10:55.740]  own enzymes and own nutrients and oxygen and chemicals.
[10:55.780 --> 10:56.780]  And then acid nanoparticles.
[10:56.780 --> 10:58.820]  Let's move on to the next one.
[10:58.820 --> 11:02.900]  Anybody can go read this for yourself.
[11:02.900 --> 11:08.340]  Here's one from patents at google.com.
[11:08.340 --> 11:16.380]  Nano coronavirus recombinant vaccines, graphite oxide as the carrier, which then goes through
[11:16.380 --> 11:17.380]  the blood brain barrier.
[11:17.380 --> 11:20.780]  Then it gets into how it's magnetic, controls you.
[11:20.780 --> 11:22.980]  And I'm going to show you the new stuff in a minute.
[11:22.980 --> 11:29.620]  Microsoft patents cutting edge human powered crypto mining system, blockchain.news.
[11:29.620 --> 11:33.980]  We reported this back when it was there and Bill Gates came out and said, it's not true.
[11:33.980 --> 11:36.940]  I'm not patenting anything to be put in your body, even though it's all admitted.
[11:36.940 --> 11:41.580]  Remember, he said with his wife on TV, oh, I promise, honey, we're not doing that.
[11:41.580 --> 11:45.420]  She found out he was a liar and left him.
[11:45.420 --> 11:55.940]  Remember, paramagnetic nanoparticle delivery of DNA vaccine, pub med, federal government.
[11:55.940 --> 11:58.060]  There's a direct link to it.
[11:58.060 --> 11:59.060]  NIH.gov.
[11:59.060 --> 12:02.340]  See that right there?
[12:02.340 --> 12:07.860]  Bill Gates chooses corporate patent rights over human lives.
[12:07.860 --> 12:11.540]  Here's some of the patents with the cryptocurrency that's tied to nanoparticles in your body
[12:11.540 --> 12:14.740]  that tracks and traces everything you do.
[12:14.740 --> 12:15.740]  This is the number on it.
[12:15.740 --> 12:19.580]  There's a whole bunch more of these two all by these folks.
[12:19.580 --> 12:27.460]  Here's another one, US10702600B1, similar systems tied into Bill Gates and the rest
[12:27.460 --> 12:30.700]  of them.
[12:30.700 --> 12:35.780]  Understanding the nanotechnology and COVID-19 vaccines.
[12:35.780 --> 12:43.080]  Food as production delivery vehicles for human vaccines.
[12:43.080 --> 12:49.280]  Grow and eat your own vaccines, University of California.
[12:49.280 --> 12:54.800]  Edible vaccines, Scientific American.
[12:54.800 --> 12:58.200]  Ten secrets that you didn't know about nano entities.
[12:58.200 --> 13:02.320]  Now let's go where the Davos Group went last week when they announced in their official
[13:02.320 --> 13:07.840]  statement that these nano entities are going to have rights and these nano entities are
[13:07.840 --> 13:11.920]  just going to be sprayed on you from the air and put in your food until they take over
[13:11.920 --> 13:12.920]  your bodies.
[13:12.920 --> 13:16.840]  And then you're not going to be able to live unless you get new nano injections all the
[13:16.840 --> 13:17.840]  time.
[13:17.840 --> 13:19.400]  And you're like, well, they'll all go to prison.
[13:19.400 --> 13:20.720]  I mean, they're all going to go to jail, really.
[13:20.720 --> 13:24.200]  They've already killed millions of people with the shots, ADEs already spreading around
[13:24.200 --> 13:25.200]  the world.
[13:25.200 --> 13:26.200]  Hospitals are already full of those.
[13:26.200 --> 13:29.640]  They're having horrible autoimmune response to the injections because now they have a
[13:29.640 --> 13:35.080]  bad autoimmune response to any virus they come in contact with.
[13:35.080 --> 13:40.480]  And they've put out these press releases that I'll show you from the Davos Group explaining
[13:40.480 --> 13:44.400]  how they're going to put these nanoparticles in you under the U.N. Food Council that's
[13:44.400 --> 13:46.320]  now suddenly in charge of everything.
[13:46.320 --> 13:49.880]  And the U.N. is in the news saying they'll decide what you can say and can't say about
[13:49.880 --> 13:50.880]  the shots.
[13:50.880 --> 13:54.400]  Oh, we don't let U.S. senators talk about natural immunity and how good it is.
[13:54.400 --> 14:01.240]  Yahoo said and Reuters said and CNN said and Google said because the U.N. said you can't
[14:01.240 --> 14:02.640]  say that.
[14:02.640 --> 14:05.040]  That's official.
[14:05.040 --> 14:08.360]  So here's a shepherd's heartbreak now that links to Davos Group and their actual statements.
[14:08.360 --> 14:10.160]  This is an excellent article.
[14:10.160 --> 14:14.880]  Ten secrets that you didn't know about nano entities.
[14:14.880 --> 14:15.880]  That's what they call them.
[14:15.880 --> 14:16.880]  They call them nano entities.
[14:16.880 --> 14:21.680]  And what did the Davos Group spokesman say last week?
[14:21.680 --> 14:22.680]  He's written a bunch of books about it.
[14:22.680 --> 14:28.640]  He said, we have nano entities that are going to take over your brain and there'll be nothing
[14:28.640 --> 14:31.080]  but peace.
[14:31.080 --> 14:34.200]  Nothing but peace, ladies and gentlemen.
[14:34.200 --> 14:38.640]  So let's read the article integration of nanomaterials into the entire food supply.
[14:38.640 --> 14:39.640]  That's a whole link.
[14:39.640 --> 14:46.320]  And that's Davos Group installation of artificial intelligent nanoparticles for agro food inspection,
[14:46.320 --> 14:53.460]  hybrid probes installed in foods that insert platforms into your body, injection of nanobodies
[14:53.460 --> 14:54.460]  into your food.
[14:54.460 --> 14:56.100]  You're like, this is over the top.
[14:56.100 --> 14:57.100]  They'll never do it.
[14:57.100 --> 15:01.080]  They'll never give five year olds and up the deadly shot that's killed so many.
[15:01.080 --> 15:05.700]  World Economic Forum informed us that our food supply was going to be disrupted beginning
[15:05.700 --> 15:06.920]  last year.
[15:06.920 --> 15:13.200]  Agro food inspection is going high tech with newly constructed hybrid micro nano entities.
[15:13.200 --> 15:17.900]  Yes, you read that correctly and there's links to all of it.
[15:17.900 --> 15:24.100]  Hybrid nanoparticles are micro nano entities and these nano entities are not only going
[15:24.100 --> 15:29.160]  into the food supply, but also into the pharmaceutical products and you can link there and there's
[15:29.160 --> 15:34.020]  articles everywhere about small chips to track pills.
[15:34.020 --> 15:37.980]  There is much speculation about what these entities are and what did Bill Gates announced
[15:37.980 --> 15:38.980]  last week?
[15:38.980 --> 15:40.240]  He said, what did the Davos Group announced last week?
[15:40.240 --> 15:43.140]  What did BlackRock type this in?
[15:43.140 --> 15:50.420]  BlackRock says the entire new future and the next 1000 billionaires will all be in nanotech
[15:50.420 --> 15:55.120]  biosensors in the economy.
[15:55.120 --> 15:57.460]  Biosensors in the sewage.
[15:57.460 --> 15:59.100]  Biosensors in the air.
[15:59.100 --> 16:00.800]  Biosensors in your house.
[16:00.800 --> 16:02.440]  Biosensors in the schools.
[16:02.440 --> 16:07.280]  All scanning you and telling you and just like the PCR test, all fraudulent to disappear
[16:07.280 --> 16:09.160]  you with the contact tracers.
[16:09.160 --> 16:11.640]  Total AI surveillance.
[16:11.640 --> 16:17.680]  You wonder where they go next whenever they have home assistants in your houses that you
[16:17.680 --> 16:20.120]  willingly brought in that listen and watch.
[16:20.120 --> 16:27.520]  Well now they're saying you won't have a choice.
[16:27.520 --> 16:35.780]  The definition of entities is something that exists as a particular and discrete unit.
[16:35.780 --> 16:40.580]  You know, like a ghost is an entity to the fact of its existence being three, the existence
[16:40.580 --> 16:43.500]  of something considered apart from its property.
[16:43.500 --> 16:46.780]  So they're going to put outside entities, creatures into you.
[16:46.780 --> 16:51.220]  For purposes of this article, nano entities are self associated aggregates that grouped
[16:51.220 --> 16:56.760]  together to provide a solid lattice from framework growing in your body and they tell you about
[16:56.760 --> 17:02.340]  the graphene oxide, other things that are in the shots now that are helping grow that
[17:02.340 --> 17:05.140]  matrix in your body that can be sensed and scanned.
[17:05.140 --> 17:08.580]  It's growing so well in you and people that have been abused by this, they're not going
[17:08.580 --> 17:10.860]  to want to see themselves as victims.
[17:10.860 --> 17:12.180]  They have Stockholm syndrome.
[17:12.180 --> 17:16.740]  They're they're going to announce their mutants like all the movies and TV shows how cool
[17:16.740 --> 17:19.780]  it is when you're a mutant.
[17:19.780 --> 17:24.840]  These entities are not merely physical surveillance arrays, but include multidimensional aspects
[17:24.840 --> 17:30.180]  they transmit that will be discussed in another article describing below are some of the entities
[17:30.180 --> 17:34.740]  names that you will see soon at your local grocery store, fulfilling the world economics
[17:34.740 --> 17:37.420]  promise to take over the food supply.
[17:37.420 --> 17:43.200]  These entities are not merely physical surveillance arrays, but include multidimensional aspects.
[17:43.200 --> 17:47.020]  Some entities names you're going to see at your local grocery store and it goes on from
[17:47.020 --> 17:49.800]  there.
[17:49.800 --> 17:54.780]  Molecular imprinting polymers integrated with quantum dots.
[17:54.780 --> 17:58.240]  That's already in the money and the food and a lot of the pills.
[17:58.240 --> 18:04.520]  Advanced tools for cell imaging are a great interest of this detection, localization and
[18:04.520 --> 18:09.400]  quantification of molecular biomarkers for infection.
[18:09.400 --> 18:15.020]  This is just the Thanos Thanos scam thousand times bigger.
[18:15.020 --> 18:22.120]  Molecular imprinting polymers integrated and up conversion luminescent nanoparticles.
[18:22.120 --> 18:24.440]  That's in the Pfizer shot.
[18:24.440 --> 18:29.180]  The luminescent jellyfish genes that grow in your body.
[18:29.180 --> 18:42.140]  The UCMPs are tumescent nanoparticles, MPs, that are doped, yes, doped with dyed silica,
[18:42.140 --> 18:49.020]  rare earth ions and fluorescent QDs providing an amazing array suite for food as it goes
[18:49.020 --> 18:53.580]  through the entire cycle, fork, food, body, that's the sewage.
[18:53.580 --> 19:01.280]  For sensing and imaging in analytical chemistry, bio, analytical chemistry, biomedical engineering
[19:01.280 --> 19:05.200]  and environmental science.
[19:05.200 --> 19:10.460]  So just raping and assaulting you with these poisons to protect you, of course.
[19:10.460 --> 19:18.000]  Up conversion luminescent nanoparticles combined with methyl organic frameworks.
[19:18.000 --> 19:24.220]  Metal organic frameworks, MOFs are a class of porous materials prepared by the self assembled
[19:24.220 --> 19:25.220]  metal ions.
[19:25.220 --> 19:30.960]  That's what's in the shots or clusters with organic little guns and again, they want to
[19:30.960 --> 19:31.960]  contaminate everybody with the shots.
[19:31.960 --> 19:35.320]  So when they start bombing the food with it, no one will know where it's coming from and
[19:35.320 --> 19:36.680]  one company won't get in trouble.
[19:36.680 --> 19:38.060]  That's why it's a revolution.
[19:38.060 --> 19:43.820]  They're hitting us all at once, just like in a war, a blitzkrieg to overwhelm you.
[19:43.820 --> 19:46.700]  They are tunable inside your body and controllable.
[19:46.700 --> 19:51.840]  That's from the DEBOS group, meaning they have the power to regulate things such as
[19:51.840 --> 19:55.960]  dispensing of nutrition of food products to comply with international mandates.
[19:55.960 --> 20:02.560]  Well, my goodness, these metal ions form nodes that yoke together repeating cage like structures,
[20:02.560 --> 20:07.940]  creating a fusion, a biological life with machine.
[20:07.940 --> 20:12.040]  Magnetic metal organic frameworks and then it goes on nanosized metal frameworks.
[20:12.040 --> 20:14.700]  You want me to keep going for you?
[20:14.700 --> 20:20.700]  Magnetic covalent organic frameworks, magnetic covalent organic frameworks, the endocrine
[20:20.700 --> 20:27.580]  disrupting or sensing food in the human animal body, which are used as an absorbent form
[20:27.580 --> 20:34.620]  of magnetic extraction of polar endocrine disrupting phenols and for sensing food in
[20:34.620 --> 20:35.620]  the human animal body.
[20:35.620 --> 20:38.300]  Oh, this sounds really loving and liberal.
[20:38.300 --> 20:42.120]  Covalent organic frameworks doped with quantum dots.
[20:42.120 --> 20:44.320]  I love things being dope.
[20:44.320 --> 20:46.320]  That's the term they use being drugged.
[20:46.320 --> 20:53.240]  Quantum dot dope covalent organic frameworks and it goes on were developed for the detection
[20:53.240 --> 21:00.560]  of toxins related insecticides in tap water.
[21:00.560 --> 21:05.680]  And this new system is a poison produced by organisms belonging and it goes on.
[21:05.680 --> 21:08.020]  But don't worry, we'll have sensors now that keep you safe.
[21:08.020 --> 21:11.580]  We've got to put sensors in you to keep you safe from all the stuff we're using on you.
[21:11.580 --> 21:12.700]  Okay, so that's just part of it.
[21:12.700 --> 21:17.620]  Let me show you some more actually from different medical publications, different studies.
[21:17.620 --> 21:24.460]  Here's one functional hybrid micro nanoparticles promote agro food safety inspection by four
[21:24.460 --> 21:29.820]  communist Chinese fellows that are UN commanders, basically.
[21:29.820 --> 21:34.220]  And it goes back into the edible vaccines and all the rest of it right here from science
[21:34.220 --> 21:39.760]  direct and there's just a lot of other ones here, ladies and gentlemen.
[21:39.760 --> 21:45.000]  And then somebody made a joke I thought I'd show on Twitter saying he's definitely a lizard
[21:45.000 --> 21:46.000]  person.
[21:46.000 --> 21:51.240]  Alex Jones was right with a selfie that Zuckerberg put out of the new name, meaning total takeover
[21:51.240 --> 21:56.040]  of all reality meta or infinity, infinity takeover, especially what they really mean
[21:56.040 --> 21:58.000]  by it.
[21:58.000 --> 22:00.380]  And I'm not the one that says everybody's reptiles.
[22:00.380 --> 22:01.380]  That's David Icke.
[22:01.380 --> 22:03.040]  But I mean, gosh, that's the least of our problems.
[22:03.040 --> 22:04.220]  I mean, probably is true.
[22:04.220 --> 22:05.220]  Who knows?
[22:05.220 --> 22:06.220]  I don't speculate.
[22:06.220 --> 22:08.420]  I just know they sure act like vicious crocodiles.
[22:08.420 --> 22:10.940]  They sure act like they're anti-human.
[22:10.940 --> 22:15.180]  And I even was talking to a lawyer yesterday and he goes, you're the guy that thinks reptoids
[22:15.180 --> 22:16.180]  run things.
[22:16.180 --> 22:18.060]  And I'm like, no, that's not me.
[22:18.060 --> 22:22.500]  And I'm not, that's not a bar, but David Icke, I really respect David.
[22:22.500 --> 22:23.620]  They do act like aliens.
[22:23.620 --> 22:25.900]  They are saying carbon-based life forms will be obsolete.
[22:25.900 --> 22:31.460]  In fact, I said I wouldn't play it, but I mean, you got the main spokes for the Davos
[22:31.460 --> 22:35.720]  group, their main future is saying the future won't be human.
[22:35.720 --> 22:37.200]  Nanoparticles will take over your brain.
[22:37.200 --> 22:38.200]  We're colonizing.
[22:38.200 --> 22:42.280]  You got Klaus Schwab saying the fourth industrial revolution will be changing you.
[22:42.280 --> 22:43.700]  We will take you over.
[22:43.700 --> 22:45.620]  We have captured your countries.
[22:45.620 --> 22:47.320]  We are now the only stakeholders.
[22:47.320 --> 22:49.200]  We do not want the people to have control.
[22:49.200 --> 22:51.360]  These are real quotes.
[22:51.360 --> 22:54.640]  And we just sit here while they're announcing, now we're going to inject your five-year-olds
[22:54.640 --> 22:55.640]  and up.
[22:55.640 --> 22:59.660]  And they have the FDA spokesperson saying, well, we don't know if these will hurt kids
[22:59.660 --> 23:00.960]  till we give them to them.
[23:00.960 --> 23:02.960]  I mean, that's a quote.
[23:02.960 --> 23:05.720]  I played that like four times this week.
[23:05.720 --> 23:09.720]  That's what they said in the lead up to things.
[23:09.720 --> 23:13.920]  So they're collapsing everything and they're telling you that a dystopia is a good thing.
[23:13.920 --> 23:18.040]  If you go to the UN building, they have Klaus Schwab Davos group posters hanging up outside
[23:18.040 --> 23:20.280]  of New York, where they were three months ago and shot video of it.
[23:20.280 --> 23:21.280]  It's on Band Out Video.
[23:21.280 --> 23:25.160]  And there's huge posters showing what looks like a concentration camp with like these
[23:25.160 --> 23:27.280]  concrete bunkers.
[23:27.280 --> 23:31.300]  And it says, you will soon not live in an apartment or a home or a city.
[23:31.300 --> 23:32.860]  You will live in a commune.
[23:32.860 --> 23:33.860]  You will own nothing.
[23:33.860 --> 23:34.860]  You will have nothing.
[23:34.860 --> 23:37.580]  And I'm there with the New York police.
[23:37.580 --> 23:41.260]  We had as our hired security great guys, they're like, we haven't been down here in a while.
[23:41.260 --> 23:42.640]  My God, this is insane.
[23:42.640 --> 23:45.720]  And it's all real folks.
[23:45.720 --> 23:46.720]  It's all real.
[23:46.720 --> 23:48.240]  And they're just rolling it out.
[23:48.240 --> 23:52.780]  Just like all the nanotech, just like what they're engaged in with the Pfizer and Moderna
[23:52.780 --> 23:58.180]  shots that aren't even vaccines.
[23:58.180 --> 24:03.220]  I mean, I remember 20 years ago reading the Pentagon's testing on troops on anti-depression,
[24:03.220 --> 24:05.220]  anti-PTSD shot.
[24:05.220 --> 24:09.820]  The shot goes in and takes out areas in the brain associated with depression.
[24:09.820 --> 24:17.900]  Well, those same receptors in the brain that are associated with depression and chemicals
[24:17.900 --> 24:23.900]  are also associated with higher spiritual consciousness, exaltation, exhilaration, feelings
[24:23.900 --> 24:26.980]  of completion, satisfaction.
[24:26.980 --> 24:28.700]  And you wonder why so many troops commit suicide.
[24:28.700 --> 24:33.500]  They've been spiking a lot of the injections they get with live viruses that actually go
[24:33.500 --> 24:36.480]  in and eat part of the brain.
[24:36.480 --> 24:40.660]  So when you hear the word vaccine, that just means some Franken shot that the system is
[24:40.660 --> 24:42.460]  trying to put into your body.
[24:42.460 --> 24:51.980]  So I thought tonight we would talk some about this situation and where we are and what we
[24:51.980 --> 24:55.560]  face as a society.
[24:55.560 --> 25:04.020]  And there was also a Japanese TV show called Vaxxile or exiled via the vaccines that we'll
[25:04.020 --> 25:09.780]  play here in a moment, just a few minutes from it that basically mirrors what's happening
[25:09.780 --> 25:10.780]  in the real world.
[25:10.780 --> 25:13.260]  And you ask yourself, how are they able to do that?
[25:13.260 --> 25:14.380]  Well, I know what happens.
[25:14.380 --> 25:15.380]  You get approached.
[25:15.380 --> 25:19.100]  It hasn't only happened to me, but happened to Chris Carter and a lot of others.
[25:19.100 --> 25:20.100]  Chris has talked about it.
[25:20.100 --> 25:23.460]  I told you about Chris talking about it before he ever went public about it.
