[00:00.000 --> 00:18.600]  son
[21:40.200 --> 21:49.200]  This is where the real rebellion against tyranny is going on, ladies and gentlemen. This is where 70 years ago, millions and millions of people escaped.
[21:49.200 --> 22:01.200]  Hong Kong was a bustling center of commerce, but nothing like it is today and millions have demonstrated. Over half of the public in polls does not want to be part of communist China.
[22:01.200 --> 22:07.200]  That's why they're waving American flags. They're going to be talking to the demonstrators as that happens over the next few days.
[22:07.200 --> 22:15.200]  The Chai comms can invade any day. They're going to be showing folks the bridge and talking to others about what is it like in a country that's about to be invaded.
[22:15.200 --> 22:22.200]  It will be much more explosive than Tiananmen Square in 1989 and Trump's being criticized by the Washington Post.
[22:22.200 --> 22:28.200]  Xi's choice to destroy Trump or save him and weaken America.
[22:28.200 --> 22:38.200]  And again, leftists that I know and that others know are being told by other leftists that communist China is our savior.
[22:38.200 --> 22:48.200]  They're the good guys and the America and Trump and the Taiwanese and the Hong Kongese. They're the bad people. So Savannah, it's midnight out there where they're past midnight.
[22:48.200 --> 22:54.200]  She's there in Hong Kong. Others out of the world are the miracle of the internet. She talks to us now.
[22:54.200 --> 23:00.200]  Give us your take on what you've seen so far and what it's like to be somewhere that's already a war zone.
[23:00.200 --> 23:08.200]  Hi Alex, thanks for having me on. So we've seen a lot of activities that we got here just this morning. Of course, as students we got here.
[23:08.200 --> 23:14.200]  Our cab driver, locals on the streets, they noticed that we were married to media and they're really interested.
[23:14.200 --> 23:19.200]  Okay, well hey Savannah, like I said, the miracle of the other side of the world. We'll talk to you guys later today.
[23:19.200 --> 23:23.200]  Having a technical problem there. Can't wait to get them back on later in the broadcast.
[23:23.200 --> 23:31.200]  But again, these are just live pop-ins on the show. It's the amazing HD footage they've already shot, the incredible interviews they've already gotten,
[23:31.200 --> 23:37.200]  because I've seen some clips of them, and the fact that they're going to go on that bridge and go right up to where that military's at.
[23:37.200 --> 23:42.200]  They all volunteered for this. So we're very, very excited that they are all there.
[23:42.200 --> 23:58.200]  And again, the massive censorship and things that we see going on over in the Middle East, in Europe, and in Communist China is all being cheered on by the corporate media here in this nation.
[23:58.200 --> 24:03.200]  Think about that. And think about that invited to the White House a month ago.
[24:03.200 --> 24:08.200]  One of the top members of the world, Carpe Donkton. That's his handle so he doesn't get harassed by the left.
[24:08.200 --> 24:14.200]  But they've already docked him and his family. They've already threatened his family. But he keeps moving forward.
[24:14.200 --> 24:22.200]  So now they have done a lot of other things like kick him off Facebook and memeworld.com, the new site he was launching,
[24:22.200 --> 24:27.200]  because all the meme sites are getting banned on Facebook, Twitter, you name it.
[24:27.200 --> 24:34.200]  So he's launching his own system, memeworld.com. It's already getting tweeted out about the White House, a lot of other folks.
[24:34.200 --> 24:44.200]  But will Trump act? He says Google should be sued for meddling with the 2016 election. Top professors have proven that the numbers show it.
[24:44.200 --> 24:51.200]  But what about now? We're not just meddling in the election. They're meddling with all the information, fixing all the different results.
[24:51.200 --> 24:56.200]  I think we've got her back now audio wise from the other side of the planet. Savannah, let's see if we got you this time.
[24:56.200 --> 24:59.200]  What's it like there being in the middle of what's already a war zone?
[24:59.200 --> 25:02.200]  Hi, Alex. Can you hear me a little bit better?
[25:02.200 --> 25:04.200]  I sure can. Welcome.
[25:04.200 --> 25:10.200]  All right. Perfect. Perfect. So as I was saying earlier, it's been really really interesting being here as soon as we got off the plane,
[25:10.200 --> 25:18.200]  our cab driver, a lot of locals, they know that we're American media and they're really happy that of course people are coming and bringing light to everything that's going on here.
[25:18.200 --> 25:24.200]  We've talked to you about how this could potentially be another tenement square and a lot of people have come forward and try to tell us their stories.
[25:24.200 --> 25:33.200]  They really want us to get the word out about mainly in China and how they're trying to impose their role over here, how they're trying to come in here like you were talking about previously too.
[25:33.200 --> 25:43.200]  You've seen the military amassing at the border, so we're going to be giving you coverage about that. And again, we've been hearing a lot about that on the ground here.
[25:43.200 --> 25:51.200]  Roughly one third of the people, seven and a half million on that island are already been demonstrating. Roughly half don't want to be under China's control.
[25:51.200 --> 26:00.200]  Imagine what it's like to be them where they're trying to pass a law where the Chinese government can arrest you. You can be disappeared to the mainland.
[26:00.200 --> 26:08.200]  Right. And we've already seen so many reports, Alice, of people who have been kidnapped who go missing. And they're found in China.
[26:08.200 --> 26:15.200]  China actually just came forward and said that they were holding a member of the Hong Kong consulate here. So we are going to be keeping up with that.
[26:15.200 --> 26:22.200]  And again, doing reports exclusively on those kidnappings and people that haven't gone missing.
[26:22.200 --> 26:40.200]  Well, I want you guys to be careful why you're there as well, because I've never been to Asia. And just knowing that the Communist Chinese have killed four times what Hitler did, twice what the Soviet Russians did.
[26:40.200 --> 26:46.200]  My mom and dad have gone to Germany. They've stood there at Nuremberg where Hitler stood. They said you can feel the creepy evilness.
[26:46.200 --> 26:57.200]  I don't think I even want to stand where Hitler stood. But just to be standing next to a billion, 400 million slaves, 100 plus million killed, where they sell organs, where they have animal human clones.
[26:57.200 --> 27:07.200]  I mean, you are really close to the center of hell right now. Can you feel it or what's the vibe? Because I know you're in Hong Kong and that's a more free marketplace.
[27:07.200 --> 27:17.200]  Well, definitely Alex. Like I said, more than anything, I've noticed that a lot of the people here, they're wanting these protests to be peaceful and they're very pro-democracy and pro-freedom.
[27:17.200 --> 27:24.200]  And I think we really feel that spirit from a lot of the protesters and locals here. So it is a good feeling. People are in good spirits.
[27:24.200 --> 27:31.200]  But of course, like you talked about, there is still that threat of mainland China imposing and coming in, being right there on the border.
[27:31.200 --> 27:36.200]  So that is still something that we are all very aware of.
[27:36.200 --> 27:43.200]  Well, Savannah, I want you guys to be able to get some sleep, talk about jet lag, but also want to hear what Greg Rees has to say.
[27:43.200 --> 27:51.200]  So when we come back, I'll spend a few minutes with Greg Rees and then we're going to get Carpe Donktym on about this new memeworld.com.
[27:51.200 --> 27:56.200]  I was already on memeworld. I remember he said he was going to build it a few weeks ago and they were already building it.
[27:56.200 --> 28:02.200]  But I remembered he was coming on today because I already got banned yesterday on Facebook. I went and visited it.
[28:02.200 --> 28:08.200]  And it's just beautiful to see what's happening there and to know that that's banned in Communist China and more and more being banned here.
[28:08.200 --> 28:14.200]  It just shows how close we are to real tyranny.
[28:14.200 --> 28:16.200]  Definitely, Alex, definitely.
[28:16.200 --> 28:21.200]  All right, we'll talk to Greg Rees quickly on the other side of the break and then go to Carpe Donktym.
[28:21.200 --> 28:31.200]  But if this doesn't make you angry, this doesn't make you sick to your stomach to see Communist China in the Washington Post as our savior.
[28:31.200 --> 28:37.200]  And Trump, as the bad guy, says, only Xi can save America.
[28:37.200 --> 28:40.200]  But he's got to destroy Donald Trump to do it.
[28:40.200 --> 28:45.200]  And now leftists are like, we love you, Xi. Crush him. He's the new Robert Mueller.
[28:45.200 --> 28:49.200]  Oh, Mueller could get him. China, Xi, get him.
[28:49.200 --> 28:52.200]  He's like, don't worry. I will, dirty Americans.
[28:52.200 --> 29:02.200]  Stay with us.
[29:23.200 --> 29:32.200]  My diabetes has totally improved.
[29:32.200 --> 29:59.200]  Everybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[29:59.200 --> 30:07.200]  Our powerful line of fluoride free products is the perfect gift for yourself or others who are exploring a healthier, happier lifestyle.
[30:07.200 --> 30:12.200]  With options ranging from toothpaste to oral spray, it's easy to find the perfect option for you.
[30:12.200 --> 30:19.200]  Super blue toothpaste is the fan favorite fluoride free toothpaste that every info warrior loves.
[30:19.200 --> 30:26.200]  Powered by iodine and nano silver, it's designed to deliver a powerful clean while supporting good oral health and fresh breath.
[30:26.200 --> 30:33.200]  Available in two refreshing flavors. Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[30:33.200 --> 30:39.200]  Super blue immune gargle is the only option for on the go immune system support like no other.
[30:39.200 --> 30:45.200]  With the scientifically proven patented ingredient silver skull in three different sizes, you can take it wherever you go.
[30:45.200 --> 30:49.200]  Support good oral health with our one of a kind super blue products.
[30:49.200 --> 30:52.200]  Don't miss out on revolutionizing your morning routine.
[30:52.200 --> 30:58.200]  Head to infowarstore.com and get our line of super blue products today.
[30:58.200 --> 31:04.200]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future,
[31:04.200 --> 31:11.200]  it'd be the farmers that were close to the ground, close to reality, who actually work for a living that would end up saving the nation.
[31:11.200 --> 31:15.200]  And today the communist Chinese have banned all U.S. farming goods a week ago.
[31:15.200 --> 31:24.200]  And we've seen massive increases in polls support for the president and what he's doing in this trade war once China put pressure on our farmers.
[31:24.200 --> 31:29.200]  That's beautiful. Americans aren't going to be bullied and we aren't going to back down.
[31:29.200 --> 31:35.200]  So to the walking cruises and the Hillary Clinton's the world that want to intimidate people and tell us to back down,
[31:35.200 --> 31:39.200]  we're never going to give up and all you've done is a wake of the human spirit.
[31:39.200 --> 31:45.200]  The human spirit lives at infowarst.com and newswarst.com and I'm asking listeners,
[31:45.200 --> 31:49.200]  whatever you do, spread those links because we are the light, the dark of the night.
[31:49.200 --> 32:11.200]  We are the resistance. We are 1776 worldwide.
[32:19.200 --> 32:39.200]  We are the light, the dark of the night.
[32:39.200 --> 33:05.200]  We are the light, the dark of the night.
[33:09.200 --> 33:25.200]  We are the light, the dark of the night.
[33:25.200 --> 33:29.200]  I'm Alex Jones, your host. We're in a proxy war with communist China.
[33:29.200 --> 33:35.200]  China's allied with the globalists. They have openly bought up the majority of U.S. treasuries.
[33:35.200 --> 33:43.200]  The big six Hollywood production houses, studios, and now the Washington Post today.
[33:43.200 --> 33:50.200]  Xi's choice, destroy Trump or save him and weaken America.
[33:50.200 --> 33:54.200]  So what that really says is China destroyed Trump to save America.
[33:54.200 --> 33:58.200]  That's what it says. That's his choice.
[33:58.200 --> 34:06.200]  Oh, our savior.
[34:06.200 --> 34:14.200]  She's like, oh, Captain Fantastic, you're so wonderful, my hero, and she falls into Xi's hands,
[34:14.200 --> 34:18.200]  who's a dictator for life.
[34:18.200 --> 34:22.200]  They estimate Xi's been in power. He's put over 20 million people in death camps.
[34:22.200 --> 34:26.200]  Many of them executed their organs sold.
[34:26.200 --> 34:32.200]  He's put two million ethnic Uighurs, Mongolians in forced labor camps.
[34:32.200 --> 34:35.200]  That's all admitted. Oh, my gosh.
[34:35.200 --> 34:39.200]  But Trump, when unvetted people come across the border, he checks them.
[34:39.200 --> 34:43.200]  I don't want to keep you guys up until you get some sleep. A lot's coming up tomorrow.
[34:43.200 --> 34:47.200]  You're ahead of us today. I guess it's almost the 22nd or it is there now.
[34:47.200 --> 34:50.200]  But Greg Reese, a great reporter, great researcher.
[34:50.200 --> 34:55.200]  What's your first take being there now for the last 15 hours or so?
[34:55.200 --> 34:58.200]  Well, you know, I just heard what you were talking about about President Trump
[34:58.200 --> 35:01.200]  and the Communist Chinese coming to America's aid to help President Trump.
[35:01.200 --> 35:02.200]  And it's interesting.
[35:02.200 --> 35:05.200]  To help bring down President Trump.
[35:05.200 --> 35:08.200]  That's right. To help bring down President Trump. You're right.
[35:08.200 --> 35:11.200]  And we met a gentleman today, and we were talking about things and everything,
[35:11.200 --> 35:13.200]  and we asked him what he thought about Trump.
[35:13.200 --> 35:18.200]  And his first answer was, he said, well, Trump's kind of a little crazy.
[35:18.200 --> 35:21.200]  And then he smiled and kind of gave us a funny grin.
[35:21.200 --> 35:26.200]  But you know, sometimes when times are crazy, we need a crazy person.
[35:26.200 --> 35:29.200]  And he's the only guy who's ever held China to task.
[35:29.200 --> 35:33.200]  And he was very happy with Trump's attitude towards China.
[35:33.200 --> 35:36.200]  And I get the feeling that a lot of people here are too.
[35:36.200 --> 35:38.200]  There's a lot of unification here about that.
[35:38.200 --> 35:40.200]  Well, I've run into a lot of folks.
[35:40.200 --> 35:41.200]  What?
[35:41.200 --> 35:42.200]  Yes, sir. You are.
[35:42.200 --> 35:46.200]  We've run into a lot of folks from India and a lot of folks from Hong Kong.
[35:46.200 --> 35:50.200]  And they all just love the show because they're all sick of China pushing them around.
[35:50.200 --> 35:54.200]  And then our media is saying they're bad if they stand up for themselves.
[35:54.200 --> 35:57.200]  So you have India going into Kashmir that's always been part of India,
[35:57.200 --> 35:59.200]  that Pakistan and China are trying to take.
[35:59.200 --> 36:00.200]  They're finally standing up.
[36:00.200 --> 36:02.200]  You've got folks in Hong Kong, Taiwan saying no.
[36:02.200 --> 36:05.200]  So I can't wait to see the reports you file, Greg.
[36:05.200 --> 36:06.200]  They're always so powerful.
[36:06.200 --> 36:11.200]  What are some of the other angles you're going to be looking at while you're there?
[36:11.200 --> 36:15.200]  Well, we're going to get into a lot of what you were talking about today about the land bridge and the history
[36:15.200 --> 36:20.200]  and what in the past of the Tiananmen Square and what we're looking at here today.
[36:20.200 --> 36:24.200]  And also what I find very interesting is how Savannah was talking about.
[36:24.200 --> 36:26.200]  There's a great unity here right now amongst the people.
[36:26.200 --> 36:30.200]  And there are, but they don't trust their police force anymore.
[36:30.200 --> 36:33.200]  And they used to up until very recently, up until like maybe a month ago,
[36:33.200 --> 36:36.200]  they always thought their police was very fair and non-political.
[36:36.200 --> 36:40.200]  But everyone seems to be talking now that the local police are working for the communist Chinese,
[36:40.200 --> 36:45.200]  working in tandem with the local criminal gangs, the triad gangs,
[36:45.200 --> 36:47.200]  and everyone's talking about it.
[36:47.200 --> 36:51.200]  Unlike in America where there seems to be a lot of love for communism.
[36:51.200 --> 36:52.200]  There's none of that here.
[36:52.200 --> 36:56.200]  The east is the new west and it's a beautiful thing to see.
[36:56.200 --> 36:59.200]  We also saw a gentleman from India when we were doing a shoot
[36:59.200 --> 37:00.200]  and he just walked up to us.
[37:00.200 --> 37:04.200]  He saw the camera and he just had to introduce himself and ask what we were doing.
[37:04.200 --> 37:08.200]  And he was from India and I asked him about what's going on with Kashmir and Trump
[37:08.200 --> 37:10.200]  and the same thing like you were saying.
[37:10.200 --> 37:12.200]  He's very happy with what Trump's doing.
[37:12.200 --> 37:15.200]  He's very happy with taking the Muslims on in Kashmir.
[37:15.200 --> 37:18.200]  And it's a global thing that's happening.
[37:18.200 --> 37:19.200]  Absolutely.
[37:19.200 --> 37:23.200]  The west and the east have all been pushed by Islam.
[37:23.200 --> 37:27.200]  Islam is only 1400 years old and it's already taken over half the planet
[37:27.200 --> 37:30.200]  and hundreds of millions are dead and people are done.
[37:30.200 --> 37:33.200]  They're not going to be pushed around by the Chai Khoms or by the Islamists
[37:33.200 --> 37:34.200]  or by the left anymore.
[37:34.200 --> 37:39.200]  And there's a united front from Brazil to the United States from Greece to Unainment
[37:39.200 --> 37:40.200]  and we're going to win.
[37:40.200 --> 37:43.200]  But you've got the big mega banks ally with China and radical Islam
[37:43.200 --> 37:45.200]  and it is quite a conflagration.
[37:45.200 --> 37:46.200]  Gregory's great job.
[37:46.200 --> 37:47.200]  You and Drew and Savannah.
