[00:00.000 --> 00:06.560]  It's Wednesday, September 15, 2021.
[17:18.000 --> 17:40.000]  Have you ever thought about turning your Glock, XD family, or 1911 handgun into a semi-automatic carbine? It only takes about 30 seconds.
[17:40.000 --> 17:48.000]  The MAC Tech Carbine Upper is classified as an accessory and can be delivered right to your doorstep with no FFL or background check required.
[17:48.000 --> 17:58.000]  It's the world's most versatile pistol accessory. Build your custom upper today. Simply go to handgunconversion.com. That's handgunconversion.com.
[17:58.000 --> 18:09.000]  This headline is not a joke. This is America in September of 2020.
[18:09.000 --> 18:33.000]  T.C. Court sends man to jail for watching conspiracy theory videos online. Yes, it says the police did a spot check for, quote, compliance at his home and found him in his garage watching rumble social media site, which they say is a conspiracy site.
[18:33.000 --> 18:48.000]  Also, he admitted to watching Mike Lindell's three-day cyber symposium. Yes, it was part of the conditions of his bail. The judge said he could not look at any videos questioning the election. No joke.
[18:48.000 --> 18:57.000]  And so they sent the Stasi to his house and caught him doing it. So now he's going into solitary confinement. Communism has come to America. The republic has fallen.
[18:57.000 --> 19:16.000]  Biden and his corporate controllers are lying to you. This is not a pandemic of the unvaccinated. This is an engineered virus in a lab that they then injected into the public using their poison vaccine.
[19:16.000 --> 19:31.000]  So the body then created mutations that actually spread even worse like the Delta variant. That is scientifically admitted. That is mainline science and not even debated. But the general public does not even know that.
[19:31.000 --> 19:53.000]  So when that criminal with his pedophile crackhead son gets up there on television and tells you that you are to blame because you didn't take your poison shot, that is a giant lie. Countries like Israel and Singapore with the highest vaccine rate have the highest death and highest illness rates.
[19:53.000 --> 20:03.000]  That is the facts. Get that information out to your friends, family and strangers like your life depends on it because it does.
[20:03.000 --> 20:27.000]  You're listening to the Alex Jones show.
[20:27.000 --> 20:38.000]  If you are receiving this transmission, you are the resistance live from the info wars.com studios. It's Alex Jones.
[20:38.000 --> 21:03.000]  So for decades, I studied the globalist plan and had seen them tested around the world. I knew they were going to roll it out through poison vaccines was their main battle plan. They were getting a lot of scenarios. And now I'm sitting here watching it unfold and watching massive increases in cancer, massive increases in heart attacks and blood clots and all these illnesses and knowing what it did in the rat studies.
[21:03.000 --> 21:13.000]  And I'm very angry and I'm very horrified. So I really am having trouble doing this show right now. There's the headline.
[21:13.000 --> 21:37.000]  Idaho doctor reports a 20 times increase in cancer in vaccinated patients. I'm going to tell you all about that coming up in two segments and then I'm going to lay a ton of news and information out ahead of all of the other big developments that we're going to be having here today.
[21:37.000 --> 21:56.000]  But when it comes to this Milly situation, I am so upset because it just confirms our worst analysis that I am ashamed of my country.
[21:56.000 --> 22:11.000]  What we become, we're just drunk on entertainment, drunk on drugs. We are completely far away from God. Our churches are captured. And then you look at that sack of unamerican filth.
[22:11.000 --> 22:29.000]  That America hating leftist poser. He's like Brian Stelter in a uniform. And that's who the globalists put in there. That's who they maneuvered in there because he's just so bad.
[22:29.000 --> 22:43.000]  Then if I just get up here and talk about this, nobody cares. Nobody cares. I mean, if I built it up for three, four days and then said, I'm going to tell you what's really going on, we'd have an extra 5 million people tune in and people would actually care or they'd pass it around.
[22:43.000 --> 22:54.000]  But if I just lay this out, you know what, I'm not going to tell you what's going on with Milly. How about that? People tend to like to not know the truth. They all think it's fun to be ignorant. We just won't go there.
[22:54.000 --> 23:03.000]  I think I'm not going to talk about Milly. Let's talk about here. Let's just look at an info or stack of news right here. Let's do that.
[23:03.000 --> 23:09.000]  I got Gavin Newsom stole the election in California. Yeah, total psychopath liar piece of garbage.
[23:09.000 --> 23:19.000]  Mayor demands school board resign over or be charged over dissemination of child pornography material. They'll all get rewards.
[23:19.000 --> 23:29.000]  We've got General Milly and all his criminal activity. Idaho doctor reports a 20 times increase of cancer in vaccinated patients. Let's just go ahead and cover that.
[23:29.000 --> 23:32.000]  A doctor has found an increase in cancer.
[23:32.000 --> 23:52.000]  Since the COVID-19, an oculation rollout. Back on March 18, Dr. Ryan Cole, a board certified pathologist and owner. Oh, I want to get on an operator of a diagnostics lab reported to the public in a video now much more stuff's been discovered produced by Idaho state government's capital clarity project.
[23:52.000 --> 24:04.000]  He is seeing a massive uptick in various auto immunices and cancers in patients who have been quote vaccinated, which is what happened at the University of Texas Fauci funded study in 2012 on rats.
[24:04.000 --> 24:10.000]  Since January 1 laboratory, I'm seeing a 20 times increase of.
[24:10.000 --> 24:15.000]  Indo material cancers over what I see on an annual basis.
[24:15.000 --> 24:26.000]  Reported Dr. Cole in a video clip shared on Twitter. So we have the original one from March. We have his new video. We're going to play both those for you here today.
[24:26.000 --> 24:30.000]  And it just goes on from there.
[24:30.000 --> 24:34.000]  He's like, gosh, I've never seen this many.
[24:34.000 --> 24:50.000]  Indo material cancers before he continued explaining his findings at a March 18 event. Cole told I don't want that the vaccine seemed to be causing serious auto immune issues in a way he described as a reverse of HIV.
[24:50.000 --> 24:53.000]  It doesn't kill your.
[24:53.000 --> 24:57.000]  T cells that train the killer cells. It turns them off.
[24:57.000 --> 25:15.000]  Cole explained that two types of cells are required to adequately you have an immune system function helper T cells called CD4 cells and killer T cells, often known as CD8 cells.
[25:15.000 --> 25:19.000]  You know what we'll do.
[25:19.000 --> 25:26.000]  Well, we'll play all these doctors next segment and let me see my guest today.
[25:26.000 --> 25:36.000]  Andrew Torb is a great guy. He's fighting back against the globalist. He's going to be here and then J. Dyer in the fourth hour, really an expert on the great reset, the new orders on admissions.
[25:36.000 --> 25:44.000]  What they're going to do to you and your family.
[25:44.000 --> 25:47.000]  And then I will get into Millie.
[25:47.000 --> 25:49.000]  In the second hour.
[25:49.000 --> 25:57.000]  Because I had a whole prepared analysis, all the points and the way I do it is it's all loaded in my mind.
[25:57.000 --> 26:04.000]  But then sometimes if I've got too much going on in the morning, I don't have time to line it all up and so then it just.
[26:04.000 --> 26:16.000]  And I mean it's all really there but I want to really lay it out properly and really give you a powerful analysis and that just disappeared into the ether.
[26:16.000 --> 26:20.000]  So and really what it is my anger.
[26:20.000 --> 26:26.000]  Is is is that I'm just telling you I can walk off and leave. I'm just being honest here that I want to smash this desk.
[26:26.000 --> 26:31.000]  And I don't want to keep doing this because you know we're not really supposed to just sit here and talk about what they're doing to us.
[26:31.000 --> 26:37.000]  I mean they are murdering us, poisoning us, killing us. This is a military operation led by sacks of filth.
[26:37.000 --> 26:44.000]  Like Brian Stelter and Millie, all of them cowardly little nothing's not even men.
[26:44.000 --> 26:52.000]  I mean I'll just tell you their actions are horrible and evil and they're raping America and selling the country out and lying and persecuting and censoring and fraud.
[26:52.000 --> 26:59.000]  But the reason I'm really mad is when I see the analysis of what Millie did.
[26:59.000 --> 27:05.000]  Oh it's treason. Oh he called our enemies and said we're going to attack. I'll tell you that's illegal. Yeah you should be arrested.
[27:05.000 --> 27:12.000]  But you know he's not going to be because they're rubbing it in right now. They put this out. They want to let you know there's a coup.
[27:12.000 --> 27:19.000]  They're rubbing you in it. But it's far worse than that.
[27:19.000 --> 27:24.000]  It was part of a larger coup plan they had where Trump was told you've got to leave or we're going to remove you.
[27:24.000 --> 27:36.000]  That basically came out and Trump basically said that and then we all sat there and got mad at Trump when it was us as a country that allowed this level of garbage to install itself like cancer throughout every strategy,
[27:36.000 --> 27:45.000]  every strata of this country. So I'm just going to control myself here. I may not be able to come back today. I'm going to during the break I'm going to decide.
[27:45.000 --> 27:51.000]  I may just need to go for a hike or something and you know we're a cursed nation.
[27:51.000 --> 27:57.000]  So the issue is all the people serving this are going to be destroyed just as much as we are.
[27:57.000 --> 28:10.000]  So at one level it just is what it is, isn't it? I mean you understand that my phone lines load up and I know a bunch of medical doctors that are the head of a major biotech company,
[28:10.000 --> 28:16.000]  one of the biggest here in Austin and they all know this behind the scenes but no one will speak up.
[28:16.000 --> 28:22.000]  I mean cancer oncology wards have never had this many people and they've all been injected.
[28:22.000 --> 28:32.000]  I mean they're murdering everybody and we're going to sit here like Aztecs or Babylonians or Druids and just let them sacrifice all of us
[28:32.000 --> 28:38.000]  because they're the authorities and we've got to kiss their ass and we live under Stockholm syndrome.
[28:38.000 --> 28:44.000]  So I'm in a dark mood right now. I mean just looking at Millie.
[28:44.000 --> 28:52.000]  The same thing I say about Stelter, I say about him. I was going to cast somebody for a movie as a villain that kidnaps children and eats them in a gutter somewhere
[28:52.000 --> 28:59.000]  like hit the clown, no makeup needed, you've got Millie and then the book cover fits what's on the inside, a monstrous piece of filth.
[28:59.000 --> 29:04.000]  Hey everybody, confused about staying healthy in a crazy COVID culture? Me too.
[29:04.000 --> 29:11.000]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[29:11.000 --> 29:15.000]  It's that immune system health can literally be the difference between life and death.
[29:15.000 --> 29:18.000]  You probably already believe that. I certainly do.
[29:18.000 --> 29:28.000]  So here's the thing, I wanted to get past the craziness and find out which plant based substances actually have studies that demonstrate some efficacy in immune support.
[29:28.000 --> 29:33.000]  Now you'll have to sign a waiver but you can check out what I've discovered at StrongerDefense.com.
[29:33.000 --> 29:44.000]  No cures or treatments there. Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[29:44.000 --> 29:51.000]  In the best part, you can go to the StrongerDefense website right now and claim your own supply of Immune 10X without paying anything today.
[29:51.000 --> 29:59.000]  Crazy right? Learn more about this unusual limited time offer at StrongerDefense.com that's StrongerDefense.com.
[29:59.000 --> 30:04.000]  I've been fighting as hard as I can for almost 28 years against the globalist.
[30:04.000 --> 30:12.000]  I wanted to stop their agenda. I wanted to wake up the world and stop them dead in their tracks before they went operational.
[30:12.000 --> 30:22.000]  But we failed. Yes, a lot of people are awake. Yes, we're not getting caught flat footed, but they are going ahead with their full operational deindustrialization great reset.
[30:22.000 --> 30:31.000]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show because people are ready to wake up and ready to hear the truth.
[30:31.000 --> 30:37.000]  So we've got an information warfare of the enemy and trying to stop their agenda, but we've also got to get personally prepared.
[30:37.000 --> 30:44.000]  And one of the number one things to do is high quality, storeable food. We've got the best food ready to ship at very affordable prices at infowarstore.com.
[30:44.000 --> 30:50.000]  So whether it's a month or a six month or a year supply or specialty diets, it's ready to ship right now.
[30:50.000 --> 30:57.000]  Lock your orders in before food prices go up and before there are long lines and waits because believe me, serious times are coming.
[30:57.000 --> 31:21.000]  Get ready at infowarstore.com.
[31:27.000 --> 31:39.000]  All of them telling you this, but you won't see this on the nightly news because they don't want you at the big pharma companies to understand how to protect yourself to a great extent from what's going on in the world on a routine basis.
[31:39.000 --> 31:48.000]  We now have back in stock winner son, the highest quality vitamin D three with vitamin K for your body's immune system back in stock sold out for months.
[31:48.000 --> 31:51.000]  It is essential. It is vital and it is 50% off.
[31:51.000 --> 31:59.000]  So you have no excuse to get it for yourself and your family winner son back in stock 50% off at infowarstore.com.
[31:59.000 --> 32:06.000]  It is through our five senses that we are kept fascinated and hypnotized by the lies we are told.
[32:06.000 --> 32:13.000]  And the only way to see through this illusion is with our higher senses, which is why fluoridated water is a big problem.
[32:13.000 --> 32:23.000]  Consuming too much fluoride forms phosphate crystals around the pineal gland and shuts down its natural functions, natural functions which have been known for millennia.
[32:23.000 --> 32:26.000]  The Hindu chakras align with the endocrine system.
[32:26.000 --> 32:32.000]  The chakra aligned with the pineal gland is the third eye also described as the seat of the soul.
[32:32.000 --> 32:39.000]  The pineal gland is what connects us to higher levels of consciousness and otherwise unseen dimensions of reality.
[32:39.000 --> 32:44.000]  Fluoride free water is essential to keeping our pineal gland healthy.
[32:44.000 --> 32:53.000]  Our water filtration systems with the proper filters will keep your drinking water fluoride free and the propure shower head will seal the deal.
[32:53.000 --> 33:11.000]  Get them both today for yourself or a friend at infowarstore.com.
[33:24.000 --> 33:29.000]  Rallying Patriots Worldwide in Defense of Human Liberty.
[33:29.000 --> 33:35.000]  You're listening to the Alex Jones Show.
[33:35.000 --> 33:39.000]  Alright, next hour I'm going to lay out the big picture.
[33:39.000 --> 33:46.000]  And what's insane is no one is saying this, no one has gotten this, it is not in the news.
[33:46.000 --> 33:54.000]  Other than, I saw Jack Pasobic pointing it out yesterday because he's smart and he worked in Naval Intelligence then worked in some other areas.
[33:54.000 --> 33:57.000]  And so he knows how this stuff operates, he's got connections.
[33:57.000 --> 34:08.000]  But if we don't get out what's really happening, if Congress doesn't get it, if Trump doesn't get it, if Rand Paul doesn't get it, I've seen their statements about this.
[34:08.000 --> 34:11.000]  Then what hope do we have?
[34:11.000 --> 34:18.000]  I personally told Trump when he was president-elect that they're spying on you and using all that information against him.
[34:18.000 --> 34:25.000]  I told him specifically he was doing it because they had bragged in some of their sub-publications how they were doing it.
[34:25.000 --> 34:27.000]  And then it turned out it was true.
[34:27.000 --> 34:36.000]  Well, it turns out these criminals bragged how they were preparing to remove Trump claiming that he wanted to use the nuclear weapons, which wasn't true.
[34:36.000 --> 34:42.000]  They used that false claim to organize the coup and Millie had them sign allegiances to him.
[34:42.000 --> 34:44.000]  I have it all right here.
[34:44.000 --> 34:45.000]  Open and shut.
[34:45.000 --> 34:53.000]  This wasn't just treason to a foreign power, our main adversary, which they tell us the patriots were involved with Russia with no evidence.
[34:53.000 --> 34:54.000]  This is total evidence.
[34:54.000 --> 35:03.000]  It's that they were organizing that as a coup against Trump and admitted it on NBC News, CNN and everywhere else.
[35:03.000 --> 35:07.000]  As soon as I saw this story yesterday, I was like, oh yeah, I remember Pelosi talked about that.
[35:07.000 --> 35:12.000]  Remember, they were saying, oh, don't worry, after the January 6th, we'll stop him.
[35:12.000 --> 35:14.000]  You know, we're in control of the military.
[35:14.000 --> 35:17.000]  They admitted it.
[35:17.000 --> 35:19.000]  They're the ones that brought it out.
[35:19.000 --> 35:22.000]  What Bob Woodward is saying is true.
