[00:00:07.176 --> 00:00:09.377]  It's Monday, November 9th.
[00:07:19.800 --> 00:07:19.900]  And
[00:07:20.888 --> 00:07:24.890]  The White House needs to listen to us.
[00:07:24.890 --> 00:07:26.070]  You need to listen to us.
[00:07:26.070 --> 00:07:31.793]  And folks need to take this information and put it in the bank.
[00:07:31.793 --> 00:07:44.659]  I'm going to lay out how I knew it was going to unfold years ago, how we specifically predicted each piece of this, not so we get a pat on the back, but so we can stop them.
[00:07:44.659 --> 00:07:50.082]  There is still a chance for Trump
[00:07:51.530 --> 00:07:55.531]  To win the election, fairly and squarely.
[00:07:55.531 --> 00:08:01.854]  But I was sitting in one of the offices this morning, about 12 feet away from a trash can.
[00:08:01.854 --> 00:08:02.874]  And I said, watch this.
[00:08:02.874 --> 00:08:11.037]  And I threw a little Gatorade container and banked it off the wall and a file cabinet and into the trash.
[00:08:11.037 --> 00:08:15.859]  And my point was, that's how Trump's got to get around this fraud and get around these people.
[00:08:15.859 --> 00:08:16.799]  There is an exact
[00:08:18.575 --> 00:08:20.456]  The path of truth and justice to defeat them.
[00:08:20.456 --> 00:08:23.198]  There is only one path.
[00:08:23.198 --> 00:08:26.300]  And it's a bank shot.
[00:08:26.300 --> 00:08:32.724]  And it is a easy path if executed exactly as I say.
[00:08:32.724 --> 00:08:36.426]  So call everyone you know, send it to your email list, your text messages.
[00:08:36.426 --> 00:08:38.067]  Call the White House.
[00:08:38.067 --> 00:08:41.569]  Go bullhorn the White House.
[00:08:41.569 --> 00:08:43.030]  Go bullhorn Mar-a-Lago.
[00:08:43.030 --> 00:08:44.591]  Trump's back and forth.
[00:08:44.591 --> 00:08:45.411]  The point is, is let
[00:08:47.165 --> 00:08:49.125]  Him know what's happening and what's unfolding.
[00:08:49.125 --> 00:08:57.167]  And I can tell you that I can sit there and I can get on the phone with folks very close to the President or the President if I need to.
[00:08:57.167 --> 00:08:59.887]  I don't have a day or two to sit there by the telephone.
[00:08:59.887 --> 00:09:02.488]  Many times they've called, I've missed the calls.
[00:09:02.488 --> 00:09:04.388]  I missed some of the calls already the last few days.
[00:09:04.388 --> 00:09:10.469]  I cannot sit by the telephone for a call from Trump.
[00:09:10.469 --> 00:09:13.470]  I cannot sit by the telephone to do this.
[00:09:14.557 --> 00:09:15.338]  It makes me sick.
[00:09:15.338 --> 00:09:17.480]  I take a nap or I'm on the air.
[00:09:17.480 --> 00:09:18.260]  Boom.
[00:09:18.260 --> 00:09:19.742]  I missed the phone call.
[00:09:19.742 --> 00:09:21.463]  I need you to get this out everywhere.
[00:09:21.463 --> 00:09:24.766]  And I need the activists to get this out everywhere.
[00:09:25.879 --> 00:09:27.680]  I need Don Jr.
[00:09:27.680 --> 00:09:29.800]  and Eric and all of you to get this to your father.
[00:09:29.800 --> 00:09:31.941]  So, I'm not playing games about this.
[00:09:31.941 --> 00:09:32.702]  Here's a special report.
[00:09:32.702 --> 00:09:35.182]  We're going to come back and break this all down the other side.
[00:09:35.182 --> 00:09:38.824]  It's on banned out videos from my film 13 years ago, Endgame.
[00:09:38.824 --> 00:09:42.725]  The visible Endgame on the horizon here is the John Bowne report.
[00:09:42.725 --> 00:09:44.766]  We'll be back with the biggest news I've ever reported.
[00:09:46.638 --> 00:09:51.881]  These dark builders intend to release a string of man-made bio-weapons plagues.
[00:09:51.881 --> 00:09:54.363]  Each one worse than the last.
[00:09:54.363 --> 00:10:00.986]  While at the same time expanding the police state to enforce an orderly extermination of the population.
[00:10:00.986 --> 00:10:06.430]  All in the name of fighting invisible terrorists.
[00:10:06.430 --> 00:10:08.671]  And the Georgia Guidestones stand today.
[00:10:09.298 --> 00:10:11.399]  Let me just state this right up front for everybody.
[00:10:40.165 --> 00:10:42.486]  People finally get it.
[00:10:42.486 --> 00:10:45.548]  We're having our free speech online disenfranchised.
[00:10:45.548 --> 00:10:48.229]  Now they're stealing our vote and disenfranchising it.
[00:10:48.229 --> 00:10:52.491]  They're devaluing our currency and disenfranchising our financial future.
[00:10:52.491 --> 00:10:57.734]  They are poisoning the weaker minds in the country with division and racism in the name of fighting it.
[00:10:57.734 --> 00:11:03.697]  They're attacking the very foundations of our republic and are at war with the social contract.
[00:11:03.697 --> 00:11:09.640]  An incredibly arrogant, hateful coalition of big tech vacuuming up the economy.
[00:11:10.836 --> 00:11:12.597]  At a level never before seen.
[00:11:12.597 --> 00:11:15.660]  People like at JCPenney and other retail, those jobs aren't coming back.
[00:11:15.660 --> 00:11:19.343]  Give them the tools, six months you're going to become a computer coder, we'll pay for it.
[00:11:19.343 --> 00:11:21.524]  And you'll get millions of people to sign up for that.
[00:11:21.524 --> 00:11:27.469]  They are not going back to parts of the retail economy, and we need to give them a lifeline to what's the next chapter.
[00:11:27.469 --> 00:11:29.551]  And then the commanders of big tech...
[00:11:30.478 --> 00:11:43.081]  And the big banks that finance them openly say they're building a post-human world and openly say they're going to make us so poor that they will be able to dictate that we be sterilized and take forced inoculations.
[00:11:43.081 --> 00:11:47.582]  You notice I just warned of this and warned of this for decades and now it's here.
[00:11:47.582 --> 00:11:51.644]  China is merely following the globalist blueprint for the world.
[00:11:51.644 --> 00:11:56.925]  The same system of total dehumanization is quietly being phased in worldwide.
[00:11:59.542 --> 00:12:04.443]  Depopulation should be the highest priority of foreign policy towards the third world.
[00:12:04.443 --> 00:12:05.364]  Henry Kissinger, 1974.
[00:12:05.364 --> 00:12:12.486]  There's a need for a new world order.
[00:12:12.486 --> 00:12:15.447]  But it has different characteristics.
[00:12:15.447 --> 00:12:16.327]  In different parts.
[00:12:19.104 --> 00:12:19.464]  No.
[00:12:19.464 --> 00:12:25.131]  It's a lot bigger than just kicking Trump out and flooding everything with fake ballots using the lockdown as the cover for it.
[00:12:25.131 --> 00:12:32.198]  They want to bankrupt us and then have us have an app to be able to leave our front door and step one foot outside of our house.
[00:12:32.198 --> 00:12:35.282]  That is the admitted globalist chi-com plan.
[00:12:35.282 --> 00:12:37.284]  We're being given tracker systems.
[00:12:37.284 --> 00:12:38.725]  We're being taught to stay in our houses.
[00:12:38.725 --> 00:12:40.167]  We're being taught we're not essential.
[00:12:40.167 --> 00:12:40.627]  We're being
[00:12:41.653 --> 00:12:43.356]  Marinated in martial law.
[00:12:58.032 --> 00:12:58.332]  U.S.
[00:12:58.332 --> 00:13:01.955]  and British forces worked closely with Mao Zedong during World War II.
[00:13:01.955 --> 00:13:08.720]  And at the end of the war, they secretly backed Mao in driving out Chiang Kai-shek and the Nationalists.
[00:13:08.720 --> 00:13:14.384]  The OSS and then the CIA believed that Mao would have a stabilizing effect.
[00:13:14.384 --> 00:13:21.049]  And they're gonna hype up more that the police are racist to take the police over and turn them into political officers like they've done in the UK and Europe.
[00:13:21.309 --> 00:13:27.273]  Just because Biden is in office does not mean that our struggle is over!
[00:13:27.273 --> 00:13:30.955]  We challenge you to raise your fists in solidarity!
[00:13:42.563 --> 00:13:47.765]  Look at those around you who have not raised their fists.
[00:13:47.765 --> 00:13:49.165]  They are ignorant.
[00:13:49.165 --> 00:13:51.206]  They are complacent.
[00:13:51.206 --> 00:13:58.208]  They do not believe in a future where black people can prosper.
[00:13:58.208 --> 00:14:00.729]  They are just as racist.
[00:14:09.292 --> 00:14:12.797]  As police officers that are killing black people.
[00:14:12.797 --> 00:14:16.062]  As police officers that are killing black people.
[00:14:16.062 --> 00:14:20.349]  The arrogance level is so atrocious.
[00:14:20.349 --> 00:14:21.651]  It's so mega massive.
[00:14:23.251 --> 00:14:25.813]  That they're not even trying to hide it.
[00:14:25.813 --> 00:14:33.179]  I've never seen voting machines stop in the middle of an election, stop down and assess the situation.
[00:14:33.179 --> 00:14:39.705]  I also see reports that Nancy Pelosi's longtime chief of staff is a key executive at that company.
[00:14:39.705 --> 00:14:43.568]  Richard Blum, Senator Feinstein's husband, significant shareholder of the company.
[00:14:43.568 --> 00:14:48.132]  What can you tell us about the interest on the other side of this Dominion software?
[00:14:49.218 --> 00:14:56.367]  Well obviously they have invested in it for their own reasons and are using it to commit this fraud to steal votes.
[00:14:56.367 --> 00:15:02.254]  I think they've even stolen them from other Democrats in their own party who should be outraged about this also.
[00:15:02.254 --> 00:15:05.298]  Now we can see a new world coming into view.
[00:15:06.531 --> 00:15:11.118]  A world in which there is the very real prospect of a new world order.
[00:15:11.118 --> 00:15:16.085]  America is under multinational consortium attack.
[00:15:16.085 --> 00:15:19.490]  Our government and our system is in the process of being overthrown.
[00:15:20.635 --> 00:15:24.259]  It's not just a political party that wants an agenda.
[00:15:24.259 --> 00:15:27.942]  They want a whole new system and they've said it.
[00:15:27.942 --> 00:15:42.496]  They are involved in a revolution fully conquering the United States and killing our Republic and they're hammering the last nails into the damn coffin to bury us alive as slaves of their system.
[00:15:44.770 --> 00:15:52.016]  All right, I'm going to lay out Trump's path to victory and exactly what he's got to do and exactly what we've all got to do straight ahead.
[00:15:52.016 --> 00:15:53.217]  We are tomorrow's news today.
[00:15:53.217 --> 00:15:56.279]  I hope everybody listens up very carefully.
[00:15:56.279 --> 00:16:01.683]  For those drinking the globalist Kool-Aid, what I call the invincibly ignorant, there is no hope.
[00:16:01.683 --> 00:16:05.926]  But for those of you that care and are informed, we have more than hope.
[00:16:05.926 --> 00:16:10.270]  We have history on our side if we take action and if we spread the truth.
[00:16:10.270 --> 00:16:11.571]  I have been warning everyone.
[00:16:12.171 --> 00:16:15.275]  Of exactly what was going to come in the exact order.
[00:16:15.275 --> 00:16:16.216]  How did I do that?
[00:16:16.216 --> 00:16:21.782]  Because the globalists war game it all in public and prepare the public with brainwashing on MSN.
[00:16:21.782 --> 00:16:27.488]  When they put out the 80 million ballots, we knew it was so they could stuff it after the polls closed.
[00:16:27.488 --> 00:16:32.033]  That's why they got federal courts to rule to keep it open for weeks if need be.
[00:16:32.033 --> 00:16:33.134]  Again, it was so simple.
[00:16:33.795 --> 00:16:37.736]  And of course, you see the media heat up, saying Trump did a bad job on COVID.
[00:16:37.736 --> 00:16:45.978]  And that once Biden was, quote, President-elect, he would order Trump to admit that he did a bad job and admit that he needs a second lockdown.
[00:16:45.978 --> 00:16:52.219]  And if he doesn't go under Biden's immediate control and put that lockdown in place, he'll try to remove the President with the 25th Amendment.
[00:16:52.219 --> 00:16:55.560]  And all of that is to trick Trump to take the blame for COVID that's Chinese.
[00:16:56.638 --> 00:16:58.298]  Talk about tomorrow's news today.
[00:16:58.298 --> 00:17:02.099]  This is all very transparent when you war game it out.
[00:17:02.099 --> 00:17:07.760]  Six months ago, InfoWars predicted that the mail-in ballots would be used to steal the election from Trump.
[00:17:07.760 --> 00:17:15.802]  They would simply pause the voting at night and then have an unlimited number that they had in reserve to bring forward in battleground states to secure the victory.
[00:17:15.802 --> 00:17:16.922]  And now that happened.
[00:17:16.922 --> 00:17:21.963]  Now, what else did I predict a few months ago and again last week and again last night, all on record?
[00:17:21.963 --> 00:17:24.064]  That when Joe Biden was president-elect,
[00:17:24.944 --> 00:17:25.605]  We're good to go.
[00:17:58.637 --> 00:18:01.266]  You're listening to the Alex Jones Show!
[00:18:07.442 --> 00:18:09.603]  I've been everywhere, man.
[00:18:09.603 --> 00:18:11.664]  I've been everywhere, man.
[00:18:11.664 --> 00:18:13.684]  Crossed the deserts bare, man.
[00:18:13.684 --> 00:18:15.805]  I've breathed the mountain air, man.
[00:18:15.805 --> 00:18:18.126]  I've traveled like I had my share, man.
[00:18:18.126 --> 00:18:20.927]  I've been everywhere.
[00:18:20.927 --> 00:18:32.811]  I've been to Reno, Chicago, Fargo, Minnesota, Buffalo, Toronto, Winslow, Sarasota, Wichita, Tulsa, Ottawa, Oklahoma... And everywhere I've been, I've seen the Democrats work with the deep state and sell out our country.
[00:18:34.488 --> 00:18:35.728]  Alex Jones here back live.
[00:18:35.728 --> 00:18:40.790]  So let me give you the big picture that I'm going to drill into it of what's about to unfold.
[00:18:40.790 --> 00:18:58.155]  Obviously, when the Democrats created 80 million mail-in ballots and mailed them out to all their people, they held them in reserve to see what they needed on election night to then freeze the election and then bring in the exact number they needed to handily defeat Trump, who had bigger leads in those battleground states than he had four years ago.
[00:18:59.210 --> 00:19:03.574]  We have the graphs, we have the evidence, folks are doing a good job of exposing that.
[00:19:03.574 --> 00:19:10.520]  Mainstream media is just trying to gaslight everyone that Trump is the loser, Biden is the winner, there is no election fraud, move forward.
[00:19:10.520 --> 00:19:12.181]  But that's not working.
[00:19:12.181 --> 00:19:20.729]  And so the system is really starting to panic because President Trump understands he's already defeated four other coup attempts.
[00:19:20.729 --> 00:19:24.152]  And this one they scripted so much and all the evidence of fraud is coming out.
[00:19:24.152 --> 00:19:26.474]  So as long as we hold on and the President holds on,
[00:19:28.308 --> 00:19:37.291]  We can snatch victory from the jaws of defeat legitimately, except for one thing.
[00:19:37.291 --> 00:19:42.633]  You notice about a month before the election, they shift purely to Trump's the reason COVID happened.
[00:19:42.633 --> 00:19:47.134]  200 plus thousand Americans have died because of COVID, they claimed.
[00:19:47.134 --> 00:19:48.774]  Most of those died of something else.
[00:19:48.774 --> 00:19:50.155]  And it's all Trump's fault.
[00:19:51.636 --> 00:19:58.442]  And then a lot of people thought that once Biden became president-elect, at least on the surface, that he would remove the COVID lockdown.
[00:19:58.442 --> 00:19:59.382]  No, no, no, no.
[00:19:59.382 --> 00:20:04.807]  This is meant to break the U.S., put us all on welfare, socialize us, cloward and pivot.
[00:20:04.807 --> 00:20:07.349]  This is the end of the country.
[00:20:07.349 --> 00:20:10.632]  And once they've got us down, they're never going to let us back up.
[00:20:10.632 --> 00:20:13.394]  So this is the breaking of the will of the nation.
[00:20:13.394 --> 00:20:17.137]  And now he's announced his new task force and said, mandatory masks for two more years.
[00:20:18.151 --> 00:20:20.052]  Forced contact tracing.
[00:20:20.052 --> 00:20:23.414]  Forced inoculations when Bill Gates' vaccine comes out.
[00:20:23.414 --> 00:20:26.757]  Not the new ones that are a lot weaker and actually work.
[00:20:26.757 --> 00:20:28.117]  I'm not defending those vaccines.
[00:20:28.117 --> 00:20:36.623]  I'm just saying they want to keep you locked down waiting for their vaccine.
[00:20:36.623 --> 00:20:37.604]  And so here's how it works.
[00:20:37.604 --> 00:20:39.004]  And I said this six months ago.
[00:20:39.004 --> 00:20:39.925]  I said it a week ago.
[00:20:39.925 --> 00:20:42.427]  I shot a special report on Saturday.
[00:20:42.427 --> 00:20:43.888]  I shot a special report on Sunday.
[00:20:44.821 --> 00:20:47.562]  That have almost a million views on Man.Video.
[00:20:47.562 --> 00:20:52.585]  So I'm not telling you this now, because I'm just now saying I predicted it.
[00:20:52.585 --> 00:20:55.186]  We know the enemy battle plan.
[00:20:55.186 --> 00:20:59.488]  So understand, this is what they're going to do.
[00:20:59.488 --> 00:21:03.230]  Biden has announced his new task force.
[00:21:03.230 --> 00:21:08.372]  He blames Trump for the 260,000 deaths, again, most of them did not cover.
[00:21:08.372 --> 00:21:11.814]  When Trump doesn't adopt what his task force calls for,
[00:21:12.881 --> 00:21:24.732]  They will say Trump is killing people, he's responsible, 25th Amendment, unfit to serve, and demand his cabinet vote to remove him.
[00:21:24.732 --> 00:21:31.478]  That's what they've been wargaming, that's what they've been preparing, that's what they've been getting ready from the very, very start.
[00:21:38.803 --> 00:21:53.893]  And that's the arrogance of these people marching Hunter Biden and the daughter with her diary about her dad molesting her and all of it right up there to flaunt it in our face when Biden had his so-called victory speech.
[00:21:53.893 --> 00:21:58.396]  No crowds, no excitement, no support, can barely talk.
[00:21:58.396 --> 00:22:00.437]  Well, because puppets can't talk.
[00:22:00.437 --> 00:22:03.199]  He's the perfect marionette.
[00:22:03.199 --> 00:22:07.962]  So let me quantify what I'm saying to all of you right now.
[00:22:10.216 --> 00:22:11.858]  They got Trump into the lockdown.
[00:22:11.858 --> 00:22:15.682]  They got Trump to go along with the COVID hoax.
[00:22:15.682 --> 00:22:18.025]  Then he figured it out towards the end and said no.
[00:22:18.025 --> 00:22:19.126]  Began to back it up.
[00:22:19.126 --> 00:22:22.509]  Did a great job to get the economy going back.
[00:22:22.509 --> 00:22:24.932]  They bring COVID hype back in.
[00:22:24.932 --> 00:22:25.813]  The winter's coming.
[00:22:25.813 --> 00:22:27.955]  There's more deaths from flu and other things.
[00:22:27.955 --> 00:22:29.257]  They can add that into the equation.
[00:22:34.451 --> 00:22:49.523]  And then they sit back and they say, every death is President Trump's fault, every death is because of him, and every day he doesn't sign over his authority to this new task force and agree to what they say, every death is on his shoulders.
[00:22:49.523 --> 00:22:56.128]  Then, if Trump buckles to them, it's not about new deaths, it's about new cases.
[00:22:56.128 --> 00:22:59.971]  That's what's skyrocketing, that's the hoax.
[00:22:59.971 --> 00:23:01.753]  Every day Trump doesn't buckle to them,
[00:23:03.817 --> 00:23:09.761]  They say every death is his fault, but if he does buckle to them and says, fine, I'll leave.
[00:23:09.761 --> 00:23:12.163]  You go ahead and your task force makes the decisions.
[00:23:12.163 --> 00:23:19.507]  They will say he's repudiated and he's admittedly a fraud and that it was his fault and he's admitted guilt.
[00:23:19.507 --> 00:23:23.210]  So what does President Trump need to do right now to counter this?
[00:23:23.210 --> 00:23:26.632]  Well, he needs to button up.
[00:23:26.632 --> 00:23:27.533]  He needs to get ready.
[00:23:29.343 --> 00:23:38.806]  He needs to come out and just level with the American people's eye to eye, straight up, and say all of this information.
[00:23:38.806 --> 00:23:40.206]  He can show Newsweek.
[00:23:40.206 --> 00:23:42.126]  He can show New Scientist.
[00:23:42.126 --> 00:23:50.989]  Fauci and Obama funded controversial bat COVID virus, coronavirus at Wuhan.
[00:23:51.974 --> 00:23:52.635]  And how the U.N.
[00:23:52.635 --> 00:24:06.348]  admits they helped cover up what was really going on with the virus with the Communist Chinese, and how Fauci works for the U.N., and how Fauci makes money off of vaccines, and how Bill Gates does, and how there's all the conflicts of interest.
[00:24:06.348 --> 00:24:15.838]  And Trump has to go on the total war path because their entire attack is going to be about his lack of response to COVID-19, which isn't even true.
[00:24:17.261 --> 00:24:31.278]  But just pointing out that he, you know, banned flights from China, obviously some deadly thing we're being told, whether it was real or not, he did the lockdown of the flights trying to protect the country up front.
[00:24:31.278 --> 00:24:33.701]  But he's just going to go back and say, I protected you.
[00:24:33.701 --> 00:24:34.602]  That's not enough.
[00:24:35.799 --> 00:24:39.402]  He has to go after the weak spot, the underbelly.
[00:24:39.402 --> 00:24:41.083]  They've never been weaker.
[00:24:41.083 --> 00:24:43.805]  Not Obama, who helped set it up in Wuhan.
[00:24:43.805 --> 00:24:44.825]  Not Fauci.
[00:24:44.825 --> 00:24:45.826]  Not Gates.
[00:24:45.826 --> 00:24:49.889]  Not the Democrats that said keep the borders open.
[00:24:49.889 --> 00:24:51.350]  They wanted the infection here.
[00:24:52.742 --> 00:25:06.805]  Because what it does is it spreads fast, it kills old people, it kills people that have vitamin mineral deficiencies, it creates fear, it creates a lot of false positives so that you can say everyone is suspect and everyone is bad and everyone is evil.
[00:25:09.065 --> 00:25:11.767]  And so it's the perfect virus with all the false positives.
[00:25:11.767 --> 00:25:17.811]  We've had a coronavirus or had the flu or had an infection in the last few years to put us all under surveillance grid.
[00:25:17.811 --> 00:25:19.432]  The perfect problem that can never be fixed.
[00:25:19.432 --> 00:25:22.114]  That's why they're now admitting, Oh, actually the vaccine won't work.
[00:25:22.114 --> 00:25:23.975]  The antibodies don't last too long.
[00:25:23.975 --> 00:25:25.856]  Oh, you just should never go out again.
[00:25:25.856 --> 00:25:27.497]  You got to wear a mask forever.
[00:25:27.497 --> 00:25:28.338]  You're all bad.
[00:25:28.338 --> 00:25:29.419]  You're all evil.
[00:25:29.419 --> 00:25:38.245]  And then they just count everybody from the pneumonia and the flu and the cancer and the heart attack and the car wreck and the gunshot wound column in COVID.
[00:25:38.245 --> 00:25:38.805]  That's admitted.
