[00:00.000 --> 00:10.040]  The Web, eFoodsDirect.com, 800-409-5633.
[03:15.240 --> 03:20.960]  Right now we are well past the point where our leakage problem developed on our first
[03:20.960 --> 03:26.920]  launch attempt and we are not seeing any indications of leakage at all.
[03:26.920 --> 03:33.040]  For the latest news and analysis, log on to IRNUSANews.com.
[03:33.040 --> 03:37.800]  With a word about Israel, here's bestselling author and Bible teacher Kay Arthur.
[03:37.800 --> 03:46.000]  If you could only visit one country, one nation on the face of this earth, it should be Israel
[03:46.000 --> 03:49.120]  because then you'll never be the same.
[03:49.120 --> 03:56.720]  To start planning your trip to Israel today, call 1-888-777-ISRAEL or visit www.goisrael.com.
[03:56.720 --> 04:08.120]  You'll never be the same.
[04:08.120 --> 04:10.520]  Sounds from Sunday services that resumed today at an Illinois church, one week after the
[04:10.520 --> 04:12.880]  senior pastor was gunned down.
[04:12.880 --> 04:17.760]  A minister from Texas talked to the congregation and spoke from his own experience.
[04:17.760 --> 04:22.880]  A decade ago, Agamon entered his Fort Worth church and killed seven people before committing
[04:22.880 --> 04:23.880]  suicide.
[04:23.880 --> 04:29.320]  OPEC oil ministers say they'll continue current output levels but try to end over production
[04:29.320 --> 04:31.480]  by some cartel members.
[04:31.480 --> 04:35.840]  Today's decision means there'll be no cutbacks from December production levels.
[04:35.840 --> 04:39.400]  Abdullah Saleem al-Badri is the OPEC secretary general.
[04:39.400 --> 04:44.320]  Taking into consideration what's going on in the world economy, everything we try to
[04:44.320 --> 04:50.000]  talk about, everything is negative, you know, every day we receive negative information
[04:50.000 --> 04:53.480]  so we just try to balance the situation out.
[04:53.480 --> 04:59.160]  In Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[04:59.160 --> 05:00.160]  Here's Mark Levine.
[05:00.160 --> 05:05.160]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years
[05:05.160 --> 05:07.720]  by Hamas-linked militants in Gaza.
[05:07.720 --> 05:09.760]  Israel has set a special cabinet meeting for tomorrow.
[05:09.760 --> 05:14.720]  If there's no deal today, the prisoner issue will be turned over to the next government.
[05:14.720 --> 05:18.440]  Current government appears willing to free most of the prisoners Hamas is demanding,
[05:18.440 --> 05:20.280]  including convicted terrorists.
[05:20.280 --> 05:24.880]  The Benjamin Netanyahu, the incoming Israeli prime minister, takes a harder line against
[05:24.880 --> 05:27.120]  Hamas and Arabs in general.
[05:27.120 --> 05:28.120]  Mark Levine Jerusalem.
[05:28.120 --> 05:32.960]  And I'm Jody Jordan, frying our NUSA radio news.
[05:32.960 --> 05:37.880]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[05:37.880 --> 05:43.240]  Our hemp foods are anti-inflammatory and gluten free and can greatly benefit the health
[05:43.240 --> 05:44.960]  of the human body.
[05:44.960 --> 05:52.600]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural
[05:52.600 --> 05:54.000]  food source.
[05:54.000 --> 05:59.880]  Our customers are also purchasing this natural food for long-term storage, camping, survival
[05:59.880 --> 06:02.080]  and emergency food rations.
[06:02.080 --> 06:08.200]  Call 908-691-2608 or visit hempusa.org today.
[06:08.200 --> 06:14.360]  hempusa.org believes that now is the time to plan for the future, and food will be your
[06:14.360 --> 06:16.240]  greatest asset.
[06:16.240 --> 06:22.160]  People spend money on all kinds of things, but our warning is prepare now for food shortages
[06:22.160 --> 06:23.680]  in the future.
[06:23.680 --> 06:31.760]  So don't delay, call today, 908-691-2608 and see what our powder, seeds and oil can do
[06:31.760 --> 06:32.760]  for you.
[06:32.760 --> 06:33.760]  Prepare yourself.
[06:33.760 --> 06:34.760]  Prepare yourself.
[06:34.760 --> 06:35.760]  Prepare your self.
[06:35.760 --> 06:36.760]  Prepare your self.
[06:36.760 --> 06:37.760]  Prepare your self.
[06:37.760 --> 06:38.760]  Prepare your self.
[06:38.760 --> 06:39.760]  Prepare your self.
[06:39.760 --> 06:40.760]  Prepare your self.
[06:40.760 --> 06:41.760]  Prepare your self.
[06:41.760 --> 06:42.760]  Prepare your self.
[06:42.760 --> 06:43.760]  Prepare your self.
[06:43.760 --> 06:44.760]  Prepare your self.
[06:44.760 --> 06:45.760]  Prepare yourself.
[06:45.760 --> 06:46.760]  Get叛!
[06:46.760 --> 06:48.760]  Okay, everybody, get the hole free here.
[06:48.760 --> 06:51.760]  All of you should get up there and watch it.
[06:51.760 --> 06:51.760]  Think about the world without a word!
[06:51.760 --> 06:55.080]  Think about the mind and world that is dawning.
[06:55.080 --> 06:57.960]  Think about the nature of everything, trust and consumers.
[06:57.960 --> 07:11.740]  Find out each nation and military skills with your heart.
[07:11.740 --> 07:13.280]  You're out, Melody.
[07:13.280 --> 07:22.600]  Hello and thank you for joining us. Glad that you have decided to tune in on this Sunday edition from 4 to 6 p.m.. Central Standard Time
[07:23.480 --> 07:27.640]  Here is the important news today that we'll be covering. It's particularly
[07:29.320 --> 07:31.320]  Shocking and revealing
[07:32.360 --> 07:40.160]  Cheney assassination units that's been reported by Cy Hirsch New Yorker magazine. He's also doing a piece for New Yorker magazine
[07:40.160 --> 07:41.960]  on
[07:41.960 --> 07:48.200]  government-sponsored terror that's coming up in the next few months and Vanity Fair and also writing a book and
[07:48.360 --> 07:53.920]  You know Cy Hirsch is a pillow surprise winner and he's never been proven wrong in the past
[07:54.280 --> 07:58.320]  Very very accurate. One of our best living journalists out there
[08:00.200 --> 08:03.920]  Well, he's been reporting on Cheney assassination unit
[08:04.200 --> 08:07.680]  But then we decided to write an article because of our knowledge of this
[08:07.680 --> 08:14.600]  So the story up on prisonplanet.com right now is Cheney assassination unit active under Obama
[08:15.640 --> 08:18.680]  Including domestically inside the United States
[08:20.360 --> 08:28.920]  Because the name of the assassination unit is the Joint Special Operations Command and its nickname is the Delta Force and
[08:29.640 --> 08:31.640]  In congressional testimony
[08:31.960 --> 08:36.560]  It was a declassified that Delta Force was there quote pulling triggers
[08:36.560 --> 08:42.360]  And they're the folks that went in with infantry maneuvers and the church records vaulted Waco
[08:42.880 --> 08:49.520]  Where the 30-something women and children were huddling and placed a plastic shape charge on the top of the building
[08:51.720 --> 08:55.920]  Killing all inside and of course machine gunning men as they tried to run out the back
[08:55.920 --> 08:59.760]  We had the flare footage of this and it's it's it's public knowledge
[08:59.760 --> 09:01.720]  But you won't see it on the nightly news though
[09:01.720 --> 09:06.920]  They do have documentaries that are on places like HBO Waco the rules of engagement and others
[09:08.000 --> 09:11.920]  The Flare project and others one of them nominated for an Academy Award
[09:12.800 --> 09:15.840]  but the the issue here is that
[09:18.240 --> 09:20.960]  Cheney certainly expanded their role and
[09:21.880 --> 09:27.000]  Did operate outside the purview of the Congress and the military itself?
[09:28.040 --> 09:29.400]  but
[09:29.400 --> 09:31.760]  Obama's actually now expanded the use
[09:32.760 --> 09:37.640]  Over and above what Cheney was engaged in so we'll we'll talk about that
[09:38.880 --> 09:44.480]  Also, we've written articles over the years at info wars.com and prisonplanet.com
[09:46.360 --> 09:48.880]  From Pentagon press releases and
[09:50.120 --> 09:54.680]  Leaked Pentagon documents, but but much of it is just completely public
[09:54.680 --> 09:58.800]  About the fact that every major city has
[09:59.920 --> 10:05.680]  A high-altitude blimp over it that can stay up for as much as a decade and
[10:06.360 --> 10:09.160]  It is powered off of solar energy
[10:09.800 --> 10:15.880]  And they have ground penetrating radar on them. They look right through your walls. It's like x-ray vision basically
[10:16.400 --> 10:18.400]  They have face scanning
[10:18.400 --> 10:24.480]  Cameras on them and everyone is being tracked in real time. I mean that's a Pentagon brags about that
[10:24.920 --> 10:26.920]  It's totally evil totally wicked
[10:27.880 --> 10:29.880]  But this is the slave grid
[10:30.640 --> 10:34.240]  They use blimps because they're much more inexpensive than satellites
[10:35.760 --> 10:40.800]  They can carry much larger payloads and satellites. They could stay up much longer and
[10:40.800 --> 10:48.840]  And this weekend there was another article on this and and then when I go on national radio shows they make fun of me and they say
[10:49.360 --> 10:54.800]  Are the blimps going to get us and I just say well if you go to info wars.com or prisonplanet.com
[10:54.800 --> 10:58.280]  Or you see my film martial law where we cover some of the blimps
[10:59.160 --> 11:04.100]  We just show you official government documents saying they're doing this and even
[11:04.480 --> 11:07.200]  Like the Army times and Air Force times and things like that
[11:07.200 --> 11:12.120]  But now since they're operational and over the entire country
[11:13.800 --> 11:20.160]  They're now declaring them classified again, and so Larry King live and then Fox News not just CNN
[11:20.960 --> 11:27.000]  I've actually done you know radio shows on this the last month when we simulcast at prisonplanet.tv
[11:28.000 --> 11:32.680]  So I can you know show the video they show it and say it's a giant flying saucer
[11:32.680 --> 11:40.720]  And all it is is a blimp with the Ford Finns on the back with the blisters of surveillance equipment and with the solar panels
[11:41.680 --> 11:46.000]  And then I'm the weirdo because I'm saying it's not aliens. It's blimps
[11:47.960 --> 11:54.160]  It's like asking a five-year-old what's that? Oh, it's a school bus and I go yeah, it's a school bus and the government says no
[11:54.160 --> 12:01.160]  It's a giant banana and then I'm the weirdo for saying it's a school bus and they're normal for saying a school bus is a banana
[12:01.160 --> 12:03.160]  See I'm the conspiracy theorist
[12:04.160 --> 12:09.160]  This is just one of thousands of things. It's very painful folks that I will list this right now
[12:10.160 --> 12:16.160]  And I will list this make this latest mainstream news article and people will just say nope doesn't exist. You're a liar
[12:17.160 --> 12:24.160]  And they will write mainstream news articles saying I'm insane. In fact, I googled my name last night and I found about 30 plus
[12:24.160 --> 12:29.160]  Mainstream news articles just suddenly attacking me and they say I'm insane. They're saying I'm insane
[12:29.160 --> 12:33.160]  And they say I'm insane. There's no North American Union. There's no New World Order
[12:34.160 --> 12:37.160]  Just well, I mean here's the LA Times, okay?
[12:38.160 --> 12:43.160]  Here it is right here. You can just Google this right now. It's it's a major paper. It's a city called Los Angeles
[12:43.160 --> 12:46.160]  It does exist. It's on the West Coast
[12:47.160 --> 12:51.160]  It was a Spanish mission before the United States got it. I assure you LA exists
[12:51.160 --> 12:55.160]  I assure you the LA Times exists. I assure you this article is real
[12:55.160 --> 12:59.160]  I know you're gonna say it doesn't exist because then you'd have to wake up to what's happening, but
[13:00.160 --> 13:02.160]  Nevertheless, I'm gonna try again
[13:03.160 --> 13:09.160]  Pentagon plans blimp to spy from new heights. The only reason this story is a bunch of bologna is these have been up for
[13:10.160 --> 13:14.160]  Experimentally for about 15 years and declassified government documents
[13:15.160 --> 13:17.160]  And for seven years all over the country
[13:17.160 --> 13:24.160]  Now again, this is the headline Pentagon plans blimp to spy from new heights reporting from Washington
[13:24.160 --> 13:27.160]  This is by Julia E. Barnes. I assure you she exists
[13:32.160 --> 13:36.160]  He exists Julia E. Barnes the Pentagon said Thursday that it intends to send
[13:37.160 --> 13:42.160]  400 million to develop a giant derogable that will float 65,000 feet
[13:42.160 --> 13:47.160]  It's actually 95,100 above the earth for 10 years providing unblinking and
[13:47.160 --> 13:52.160]  Intricate radar surveillance of the vehicles planes and even people below
[13:53.160 --> 13:58.160]  Now if you want to learn more about this just Google Homeland Security blimp, and you'll see MSNBC
[13:58.160 --> 14:04.160]  AP Reuters if you click news if you click web you'll see info wars.com present planet.com
[14:04.160 --> 14:10.160]  But then we have Senate testimony clips. I assure you there is a Senate into the District of Columbia
[14:10.160 --> 14:14.160]  There is a place called DC. I assure you there's a thing called C-Span
[14:14.160 --> 14:19.160]  I assure you there are these videos of Congress seven years ago admitting it's face-scanning you
[14:19.160 --> 14:24.160]  I will assure you Washington DC exists. I know it's radical
[14:25.160 --> 14:28.160]  But just Google Homeland Security blimps
[14:30.160 --> 14:34.160]  I'm not even being sarcastic guys. You know guys control them are laughing. I'm serious
[14:34.160 --> 14:38.160]  I mean if they told the public the planet didn't exist they believe it if they told them the sun was a light bulb
[14:38.160 --> 14:42.160]  They believe it because they want to feel like they're part of the establishment
[14:42.160 --> 14:44.160]  They love being robbed by the Madoffs that run America
[14:45.160 --> 14:48.160]  They'll say Madoff doesn't exist. Maybe that's a conspiracy
[14:50.160 --> 14:53.160]  It goes on it's absolutely revolutionary
[14:53.160 --> 14:57.160]  Chief scientist for the Air Force said the proposed unmanned airship. Oh really?
[14:57.160 --> 15:04.160]  Alexander Haig actually owned the company that sold the project 18 years ago to the Pentagon
[15:04.160 --> 15:10.160]  Just Google Alexander Haig proposes surveillance blimps
[15:12.160 --> 15:16.160]  General Alexander Haig. I know he doesn't exist either. I understand
[15:17.160 --> 15:20.160]  You know the thing is I'm informed so I'm weird
[15:21.160 --> 15:27.160]  See I'm not a thumb-sucking knuckle dragon cowardly stupid person going along with the New World Order
[15:27.160 --> 15:30.160]  That's what we predict and lay out everything as it happens years before
[15:30.160 --> 15:35.160]  But again it will that says attract you on the ground on the ground
[15:37.160 --> 15:39.160]  It's an absolutely revolutionary
[15:40.160 --> 15:43.160]  Werner AJ Dam
[15:43.160 --> 15:46.160]  Chief scientist for the Air Force said in a
[15:46.160 --> 15:52.160]  Of the proposed unmanned airship describing it as a cross between a satellite and a spy plane
[15:52.160 --> 15:54.160]  For you the slaves
[15:54.160 --> 16:02.160]  The 450 foot long craft would give the US military a better understanding of an adversary's movements habits and tactics official said
[16:02.160 --> 16:09.160]  And the ability to constantly monitor small movements in a wide area the Afghanistan border for example would dramatically improve military intelligence
[16:09.160 --> 16:12.160]  So they're just now introducing this to the slaves
[16:13.160 --> 16:15.160]  The issue here is
[16:15.160 --> 16:18.160]  Well, I'll tell you more about the blimps when we get back, but I've got all this other stuff
[16:18.160 --> 16:23.160]  I'll tell you about the Delta Force the federal government's hit squads who murder whoever they want whenever they want
[16:23.160 --> 16:27.160]  And I've caught them trying to pay off and paying off local officials in Texas
[16:27.160 --> 16:29.160]  Stay with us
[16:32.160 --> 16:40.160]  Heart disease is on the rise clogged arteries high blood pressure and high cholesterol levels may not be fully detected by you
[16:40.160 --> 16:50.160]  But the symptoms are there loss of energy blood sugar spikes and drops poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong
[16:50.160 --> 16:56.160]  Here how heart and body extract is making a difference in thousands of people's lives across America
[16:56.160 --> 17:00.160]  My blood pressure has normalized my diabetes has totally improved
[17:00.160 --> 17:05.160]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel
[17:05.160 --> 17:07.160]  I recommend heart and body extract to everyone
[17:07.160 --> 17:15.160]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy
[17:15.160 --> 17:23.160]  Order your two month supply today by calling 866-295-5305 that's 866-295-5305
[17:23.160 --> 17:33.160]  Or order online hbextract.com heart and body extract 866-295-5305 or hbextract.com
[17:33.160 --> 17:38.160]  Hello this is Peter Cranch Novel from Midos Resources and I'd like to share some thoughts with you
[17:38.160 --> 17:46.160]  In this economy with the government spending on wild the banking system on the verge of collapse and Wall Street and continuous free fall
[17:46.160 --> 17:50.160]  We both know that it's critical that you protect your savings and retirement programs now
[17:50.160 --> 17:56.160]  Macroeconomics can be very confusing but the solution to securing your personal assets is very simple
[17:56.160 --> 17:58.160]  It's purchase of gold and silver
[17:58.160 --> 18:04.160]  These precious metals have been the trusted means of exchange for centuries and they've never been more important in our country's history
[18:04.160 --> 18:08.160]  It's up to you to design your survival plan one based on gold and silver
[18:08.160 --> 18:14.160]  Give me a call I'm Peter Cranch Novel at 800-686-2237 extension 108
[18:14.160 --> 18:17.160]  And allow me to outline an easy answer to your questions
[18:17.160 --> 18:23.160]  That's Peter Cranch Novel at 1800-686-2237 extension 108
[18:23.160 --> 18:31.160]  Call Peter at 1800-686-2237 extension 108 while you can still purchase gold with paper
[18:31.160 --> 18:36.160]  Do you suffer from aches and pains in your knees, arms, wrists, or elbows?
[18:36.160 --> 18:40.160]  Is it difficult to get out of bed in the morning because of joint stiffness?
[18:40.160 --> 18:44.160]  Have you been looking for a safe natural alternative to help ease your pain?
[18:44.160 --> 18:47.160]  If so, you need to visit solartherm.ca
[18:47.160 --> 18:52.160]  Solartherm, the pain care you wear, is a patented ceramic fiber support technology
[18:52.160 --> 18:57.160]  It holds in and reflects your own body heat, soothing those sore areas
[18:57.160 --> 19:02.160]  Solartherm is extremely light and comfortable to wear and increases blood flow to the affected areas
[19:02.160 --> 19:04.160]  without the use of toxic chemicals
[19:04.160 --> 19:10.160]  Imagine being able to finally relieve the aches and pains in your elbows, knees, wrists, back, and more
[19:10.160 --> 19:13.160]  So forget about messy creams that have an unpleasant smell
[19:13.160 --> 19:15.160]  Try solartherm, the pain care you wear
[19:15.160 --> 19:20.160]  Call them today at 1-877-747-6664
[19:20.160 --> 19:27.160]  That's 1-877-747-6664 or visit them online at solartherm.ca
[19:27.160 --> 19:30.160]  That's solar-T-H-E-R-M
[19:30.160 --> 19:32.160]  Solartherm.ca
[19:32.160 --> 19:35.160]  What will you do when the economy collapses?
[19:35.160 --> 19:38.160]  Store shelves are empty and your stored food is gone
[19:38.160 --> 19:40.160]  How will you feed your family?
[19:40.160 --> 19:44.160]  True self-sufficiency and peace of mind is being able to grow a wide range of crops
[19:44.160 --> 19:47.160]  ensuring a well-balanced diet for your family
[19:47.160 --> 19:54.160]  Getseeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping
[19:54.160 --> 19:58.160]  You get over 14,000 seeds for only $49
[19:58.160 --> 20:10.160]  We offer a complete range of seeds including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more
[20:10.160 --> 20:14.160]  This is one of the finest, most affordable seed offers that is on the market today
[20:14.160 --> 20:19.160]  Variety in your garden means a diverse and healthy diet for your family year-round
[20:19.160 --> 20:25.160]  So go to Getseeds.net or call 1-877-394-6657
[20:25.160 --> 20:27.160]  Supplies are limited so order today
[20:27.160 --> 20:32.160]  That's Getseeds.net or 1-877-394-6657
[20:35.160 --> 20:37.160]  This is the GCN Radio Network
[20:37.160 --> 20:44.160]  Home to hard-hitting talk radio
[21:08.160 --> 21:14.160]  I'm not going to spend all day on this LA Times article
[21:14.160 --> 21:17.160]  Pentagon plans to build spy blimp from New Heights
[21:17.160 --> 21:22.160]  If you want to prove to yourself this article is a spin story, just google Homeland Security Blimps
[21:22.160 --> 21:27.160]  And you can pull up all the mainstream articles from 7 years ago, 10 years ago
[21:27.160 --> 21:34.160]  Even back before that where they're already in place over the United States tracking everything you do
[21:34.160 --> 21:37.160]  So I'm done talking about that
[21:37.160 --> 21:39.160]  Here's some of the other news I've got
[21:39.160 --> 21:47.160]  The Treaty of the Sea is, they've been trying to pass it for two decades
[21:47.160 --> 21:50.160]  It basically hands over control of the world's oceans to the United Nations
[21:50.160 --> 21:53.160]  And the private banks that use it as their governmental front
[21:53.160 --> 21:58.160]  And Fox News, of course, is telling us in this article how great it is
[21:58.160 --> 22:03.160]  Titled, Senate Moves Towards Ratification of the UN's Law of the Sea Treaty
[22:03.160 --> 22:05.160]  And it just goes on to break all that down
[22:05.160 --> 22:08.160]  Here's another one from Wired Magazine
[22:08.160 --> 22:10.160]  Now treaties are secret
[22:10.160 --> 22:17.160]  Obama Administration declares proposed IP Treaty, a national security secret
[22:17.160 --> 22:21.160]  President Barack Obama came into office in January, promising a new era of openness
[22:21.160 --> 22:24.160]  But now, like Bush before him, Obama is playing the National Security Card
[22:24.160 --> 22:30.160]  To hide details of the controversial anti-counterfeiting trade agreement being negotiated across the globe
[22:30.160 --> 22:34.160]  The White House this week declared, and there's a link to the PDF
[22:34.160 --> 22:40.160]  The text of the proposed treaty, a classified national security secret
[22:40.160 --> 22:45.160]  And rejecting a Freedom Information Act request by Knowledge Ecology International
[22:45.160 --> 22:49.160]  Please be advised, the document you seek are being withheld in full
[22:49.160 --> 22:57.160]  Wrote Cameron Brudini, Chief Foreer Officer of the White House Office of U.S. Trade Representatives
[22:57.160 --> 23:03.160]  If ratified, leaked documents posted on WikiLinks and other comments suggesting proposed trade accord
[23:03.160 --> 23:09.160]  Would criminalize peer-to-peer file sharing, period, period, no matter if it's legal
[23:09.160 --> 23:18.160]  Subjects iPods to broader searches and allows Internet service providers to monitor their customers' communications without warrants
[23:18.160 --> 23:22.160]  Just off the charts, that story right there
[23:22.160 --> 23:27.160]  Just legalizing the complete end of the Fourth Amendment through global government treaties
[23:27.160 --> 23:36.160]  Here's another one from CNN, Obama regime considering making veterans pay for treatment of service-related injuries with private insurers
[23:36.160 --> 23:39.160]  Yes, they're not going to treat the troops
[23:39.160 --> 23:45.160]  This is so sick, but they'll still confiscate our guns of order too anyways, I don't care
[23:45.160 --> 23:52.160]  Veterans Affairs Secretary Eric Shinseki confirmed to diseases from CNN that the Obama administration is considering
[23:52.160 --> 23:58.160]  A controversial plan to make veterans pay for treatment of service-related injuries with private insurance
[23:58.160 --> 24:01.160]  Boy, that's really sick
[24:01.160 --> 24:07.160]  And they're saying they're setting that up for the 2010 Veterans Affairs Budget being debated now
[24:07.160 --> 24:12.160]  They vote for the budget eight, nine months before the New Year starts
[24:12.160 --> 24:16.160]  So I thought I'd cover that story for you
[24:16.160 --> 24:23.160]  Here's another one, Justice Department investigates Arizona sheriff for enforcing immigration law, CNS News
[24:23.160 --> 24:27.160]  Cyber News Service, yeah, we've interviewed him several times
[24:27.160 --> 24:31.160]  America County Sheriff Joe Arpaio, love him or hate him, he is enforcing immigration law
[24:31.160 --> 24:35.160]  And all over the country, I've interviewed scores of sheriffs and police chiefs
[24:35.160 --> 24:40.160]  Where they'll arrest illegal aliens for drunk driving or 10 people being in a van without seatbelts or whatever
[24:40.160 --> 24:43.160]  No ID, weapons, whatever
[24:43.160 --> 24:46.160]  And they just release them
[24:46.160 --> 24:49.160]  I'm sure you've all seen that in the newspaper how they release them
[24:49.160 --> 24:54.160]  But instead they're going after Arpaio, a former FBI agent in his own right
[24:54.160 --> 25:00.160]  The Justice Department has launched an investigation of the America County Sheriff's Office in Arizona
[25:00.160 --> 25:06.160]  Following a request by Congressional Democrats and allegations by liberal activists that the department has violated the civil rights of illegal aliens
[25:06.160 --> 25:10.160]  Representative John Conyers, who won't go after Bush for his crimes
[25:10.160 --> 25:14.160]  Gerald Nadler and others requested the investigation
[25:14.160 --> 25:18.160]  And it focuses on Sheriff Joe Arpaio and dozens of officers under his command
[25:18.160 --> 25:22.160]  Who are trained to the Department of Homeland Security, Immigration and Customs Enforcement Agreements
[25:22.160 --> 25:26.160]  Of cooperation in communities to enhance safety and security
[25:26.160 --> 25:30.160]  Which partners with federal and local law enforcement to enforce immigration laws
[25:30.160 --> 25:37.160]  In a letter, March 10, 2009, Loretta Smith, Acting Assistant Attorney General, the Department of Justice, detailed what a department would be investigating
[25:37.160 --> 25:40.160]  And they just say they're going to go after him basically
[25:40.160 --> 25:42.160]  So you can read that if you want
[25:42.160 --> 25:47.160]  Here's another one, Department of Homeland Security, U.S. gun laws to fight Mexican drug cartels
[25:47.160 --> 25:51.160]  They want to ban most semi-automatic rifles, ban gun shows
[25:51.160 --> 25:55.160]  Further register American citizens just from the Associated Press
[25:55.160 --> 26:00.160]  Mexico has a total gun ban and they have one of the highest crime rates in the world
[26:00.160 --> 26:02.160]  I think the highest now as of last year
[26:02.160 --> 26:04.160]  That's right, it's the highest now
[26:04.160 --> 26:06.160]  State Department's reported
[26:06.160 --> 26:10.160]  And Chicago and New York have the highest crime rates in our country with total gun bans
[26:10.160 --> 26:16.160]  And actually, when you read their reports saying the majority of guns, they find cartels with them from the U.S.
[26:16.160 --> 26:19.160]  That's low-level gangbangers selling drugs here in the U.S.
[26:19.160 --> 26:25.160]  When you read the reports on Mexico from the State Department, they're buying them from the Mexican military and police
[26:25.160 --> 26:26.160]  They're fully auto
[26:26.160 --> 26:31.160]  In fact, in this AP article, they have the Attorney General Holder last week, Monday
[26:31.160 --> 26:39.160]  Badmouthing the Second Amendment, remember, he debated and filed a brief last year
[26:39.160 --> 26:44.160]  For a gun control group before he was even Attorney General, he was previously Deputy Attorney General under Clinton
