[00:00.000 --> 00:01.000]  Come on, man.
[02:12.000 --> 02:15.000]  And so if there's a radio station on the spiritual dial
[02:15.000 --> 02:19.000]  that's hell on earth, that is the absolute bottom falling out,
[02:19.000 --> 02:21.000]  that's these individuals.
[02:21.000 --> 02:24.000]  And this is a spiritual fight.
[02:24.000 --> 02:26.000]  And evil is manifesting itself everywhere.
[02:26.000 --> 02:27.000]  And none of us are perfect.
[02:27.000 --> 02:30.000]  There's incredible pressure out there to just be angry
[02:30.000 --> 02:34.000]  or to give into it or not to care or just go get blind drunk.
[02:34.000 --> 02:35.000]  And we can't do that.
[02:35.000 --> 02:36.000]  And so I'm not perfect.
[02:36.000 --> 02:37.000]  You're not perfect.
[02:37.000 --> 02:38.000]  None of us are perfect.
[02:38.000 --> 02:39.000]  But we love God.
[02:39.000 --> 02:40.000]  We love justice.
[02:40.000 --> 02:42.000]  And we want to be better.
[02:42.000 --> 02:43.000]  We have a conscience.
[02:43.000 --> 02:46.000]  And so people that love God and who are overall good people
[02:46.000 --> 02:49.000]  were all still fallen are always feeling like, well,
[02:49.000 --> 02:51.000]  we shouldn't be leaders because we're not perfect.
[02:51.000 --> 02:56.000]  Well, we're pointed toward that North Star that's God.
[02:56.000 --> 02:59.000]  And that's really our job.
[02:59.000 --> 03:03.000]  And we just need to try to do the right thing
[03:03.000 --> 03:05.000]  and then God's going to take us the rest of the way.
[03:05.000 --> 03:07.000]  And that's really what it comes down to.
[03:07.000 --> 03:09.000]  We're seeing evil come out in the open, try to overwhelm us,
[03:09.000 --> 03:11.000]  try to break our will, try to demoralize us,
[03:11.000 --> 03:12.000]  try to make us give up.
[03:12.000 --> 03:13.000]  And that's not going to happen.
[03:13.000 --> 03:17.000]  My will is stronger than it's ever been.
[03:17.000 --> 03:20.000]  That said, though, like a race car engine overreving
[03:20.000 --> 03:23.000]  with the driver, you can blow the engine.
[03:23.000 --> 03:25.000]  Some of your best race horses end up having heart attacks
[03:25.000 --> 03:28.000]  because they want to go so hard they've got so much will.
[03:28.000 --> 03:30.000]  So with great power, as they say in Spider-Man,
[03:30.000 --> 03:32.000]  comes great responsibility.
[03:32.000 --> 03:34.000]  And all of us have great power that God's given us.
[03:34.000 --> 03:38.000]  And now it's time to use it to get out there in every way we can
[03:38.000 --> 03:41.000]  to go speak at city council and the student groups
[03:41.000 --> 03:44.000]  and the PTA meetings and the college boards
[03:44.000 --> 03:46.000]  and the water district and the dog catcher
[03:46.000 --> 03:48.000]  and the legislature and Congress.
[03:48.000 --> 03:50.000]  And there's no citizens there.
[03:50.000 --> 03:52.000]  Or they have hat in their hand real scared
[03:52.000 --> 03:56.000]  like they're talking to a God going into their office buildings.
[03:56.000 --> 04:00.000]  And there's just lobbyists and politicians and hangers on
[04:00.000 --> 04:04.000]  and aides all arrogantly stomping around,
[04:04.000 --> 04:07.000]  faking it until they make it.
[04:07.000 --> 04:11.000]  And instead, we the people should be in those office buildings.
[04:11.000 --> 04:14.000]  We should be at those hearing meetings.
[04:14.000 --> 04:17.000]  Everyone should take their vacation every year in D.C.
[04:17.000 --> 04:19.000]  And instead of just drinking a bunch of alcohol
[04:19.000 --> 04:21.000]  and eating a bunch of food,
[04:21.000 --> 04:26.000]  going and confronting these people is much more fulfilling.
[04:26.000 --> 04:29.000]  And it's very, very powerful.
[04:29.000 --> 04:31.000]  I mean, you just walk right up to Sundar Pachai of Google
[04:31.000 --> 04:34.000]  and get right in his stinking ugly lion face.
[04:34.000 --> 04:36.000]  And he craps his little britches
[04:36.000 --> 04:38.000]  and scream at him, you're a traitor.
[04:38.000 --> 04:41.000]  Get that on the wrong country, you're going down.
[04:41.000 --> 04:43.000]  I was less than a year ago, you know,
[04:43.000 --> 04:45.000]  so you've been getting down.
[04:45.000 --> 04:47.000]  It's called expressing your will.
[04:47.000 --> 04:50.000]  Standing against the enemy, putting yourself physically there
[04:50.000 --> 04:52.000]  and doing simple little things like that
[04:52.000 --> 04:54.000]  to bring down the system.
[04:54.000 --> 05:23.000]  I'm Alex Jones. Stay with us.
[05:24.000 --> 05:26.000]  Health is a healthy blood cells,
[05:26.000 --> 05:28.000]  essential for proper nervous system functioning.
[05:28.000 --> 05:30.000]  It goes on and on.
[05:30.000 --> 05:32.000]  B12 deficiency is a serious problem that can cause anemia,
[05:32.000 --> 05:34.000]  fatigue, weakness, constipation, weight loss, depression,
[05:34.000 --> 05:36.000]  poor memory loss, asthma, vision problems,
[05:36.000 --> 05:38.000]  and low sperm count.
[05:38.000 --> 05:40.000]  Bottom line, folks, you need Ultra 12.
[05:40.000 --> 05:42.000]  It helps on the infowar.
[05:42.000 --> 05:45.000]  So it's a 360 win and it's 50% off for a limited time
[05:45.000 --> 05:47.000]  at infowarstore.com.
[05:47.000 --> 05:50.000]  Again, we can only run the special for the next two weeks
[05:50.000 --> 05:52.000]  or so while supplies last.
[05:52.000 --> 05:54.000]  The price is powerful. Half the price.
[05:54.000 --> 06:23.000]  It's a 30% off right now at infowarstore.com.
[06:24.000 --> 06:27.000]  You can feel it from my heart.
[06:27.000 --> 06:29.000]  From this time forward.
[06:29.000 --> 06:31.000]  From here on after.
[06:31.000 --> 06:35.000]  Let's stay the way we are right now.
[06:35.000 --> 06:39.000]  And share all the love and laughter
[06:39.000 --> 06:44.000]  that a lifetime will allow.
[06:44.000 --> 06:47.000]  At the bottom of the hour,
[06:47.000 --> 06:49.000]  I cross my heart.
[06:49.000 --> 06:52.000]  I'm going to play a new compilation
[06:52.000 --> 06:55.000]  of the left celebrating killing little babies,
[06:55.000 --> 06:58.000]  calling them horrible names and reveling in their death,
[06:58.000 --> 07:01.000]  reveling in their chance to live a life
[07:01.000 --> 07:06.000]  and struggle and succeed and lose
[07:06.000 --> 07:10.000]  and build and create an experience
[07:10.000 --> 07:13.000]  that couldn't be a more selfish,
[07:13.000 --> 07:16.000]  truly wicked thing to do
[07:16.000 --> 07:18.000]  except celebrate it.
[07:18.000 --> 07:20.000]  But if you're going to go to hell,
[07:20.000 --> 07:23.000]  you might as well be first in line, huh?
[07:23.000 --> 07:25.000]  You might as well just fully commit to it
[07:25.000 --> 07:28.000]  and wallow in it.
[07:28.000 --> 07:34.000]  Wallow in the spiritual filth and stench.
[07:34.000 --> 07:40.000]  You know, I don't like to cover things like this here on air.
[07:40.000 --> 07:44.000]  I know the show in many ways would be more popular.
[07:44.000 --> 07:47.000]  If I came on here and made fun of AOC
[07:47.000 --> 07:51.000]  Ilhan Omar and the usual suspects
[07:51.000 --> 07:55.000]  and Rebels in John Bolton
[07:55.000 --> 07:58.000]  being removed and winning the special election
[07:58.000 --> 08:03.000]  and the Carolinas yesterday.
[08:03.000 --> 08:05.000]  And all of that's important.
[08:05.000 --> 08:08.000]  There's a lot of good things happening in this world.
[08:08.000 --> 08:13.000]  But you know, if we would just come to grips with it
[08:13.000 --> 08:19.000]  and recognize that we're really facing classical evil,
[08:19.000 --> 08:21.000]  the stuff you read about in history books,
[08:21.000 --> 08:23.000]  the stuff you hear about in fairy tales,
[08:23.000 --> 08:26.000]  the stuff of nightmares is our own spirit,
[08:26.000 --> 08:28.000]  our own subconscious, our own past,
[08:28.000 --> 08:33.000]  our own history, our own guts
[08:33.000 --> 08:36.000]  warning us of what there is in this universe
[08:36.000 --> 08:38.000]  that's not good and the fact that we need
[08:38.000 --> 08:41.000]  to make the conscious decision to reject it.
[08:41.000 --> 08:47.000]  And it's that decision that is infinitely
[08:47.000 --> 08:56.000]  beyond infinity, eternally more important
[08:56.000 --> 09:03.000]  than any physical wealth, any physical health,
[09:03.000 --> 09:08.000]  any accolades that you could ever receive.
[09:08.000 --> 09:17.000]  Nothing in this world will satisfy you except the spiritual.
[09:17.000 --> 09:19.000]  That's why the globalists try to always keep people
[09:19.000 --> 09:21.000]  in a starvation mode so they're fighting
[09:21.000 --> 09:23.000]  just to be able to live
[09:23.000 --> 09:26.000]  so that they're kept at that level of base survival
[09:26.000 --> 09:31.000]  so they never experience the success
[09:31.000 --> 09:35.000]  of being able to have a quiet moment to reflect on eternity.
[09:35.000 --> 09:39.000]  They keep us running on that hamster or rat wheel
[09:39.000 --> 09:42.000]  so distracted that by the time we die,
[09:42.000 --> 09:45.000]  we never really experience life
[09:45.000 --> 09:47.000]  and never touch the face of God
[09:47.000 --> 09:50.000]  to make that eternal decision to go with God
[09:50.000 --> 09:59.000]  instead of go with everything that's fallen for eternity.
[09:59.000 --> 10:02.000]  We've got a lot of guests today, we've got a lot of news,
[10:02.000 --> 10:05.000]  but at the bottom of the hour,
[10:05.000 --> 10:07.000]  we're going to play this compilation
[10:07.000 --> 10:09.000]  and then tomorrow we'll have even more.
[10:09.000 --> 10:11.000]  I mean, there's hours of this.
[10:11.000 --> 10:15.000]  I mean, I knew the Left celebrated abortion,
[10:15.000 --> 10:17.000]  but I don't try to go around looking for it.
[10:17.000 --> 10:18.000]  It's just all over the place.
[10:18.000 --> 10:21.000]  And then once I ask the crew to look into it,
[10:21.000 --> 10:23.000]  it's just worse than I even knew.
[10:23.000 --> 10:27.000]  And of course, isn't it always worse than you know?
[10:27.000 --> 10:31.000]  This disease has been rotting behind the scenes
[10:31.000 --> 10:34.000]  right beneath the surface for a while.
[10:34.000 --> 10:37.000]  And now it's coming out.
[10:37.000 --> 10:39.000]  And so that's really a good thing
[10:39.000 --> 10:41.000]  that we're going to get this thing out in the open
[10:41.000 --> 10:43.000]  so we can tackle it.
[10:43.000 --> 10:46.000]  It's critical that we don't become overwhelmed by it
[10:46.000 --> 10:51.000]  and give up and hot our head in the sand.
[10:51.000 --> 10:53.000]  I mean, it's good to pull away from the big cities,
[10:53.000 --> 10:55.000]  pull away from the Left
[10:55.000 --> 10:57.000]  and where their strongholds are
[10:57.000 --> 10:59.000]  and go build our own strongholds.
[10:59.000 --> 11:01.000]  But we have to go inner into their strongholds
[11:01.000 --> 11:03.000]  on sorties politically,
[11:03.000 --> 11:07.000]  and we have to strafe them with the truth
[11:07.000 --> 11:13.000]  and with justice and with liberty, never physically.
[11:13.000 --> 11:17.000]  And that's really what we are is a mission in to this.
[11:17.000 --> 11:21.000]  I mean, I was born in Texas, been in Austin since high school.
[11:21.000 --> 11:25.000]  It was not the feted LA toilet that it is now,
[11:25.000 --> 11:27.000]  both literally and spiritually.
[11:27.000 --> 11:31.000]  But that's why we're here.
[11:31.000 --> 11:33.000]  And that's why you are where you're at.
[11:33.000 --> 11:37.000]  But I just have to tell you that
[11:37.000 --> 11:39.000]  the abominations going on,
[11:39.000 --> 11:43.000]  the genetic engineering that they admit is happening now
[11:43.000 --> 11:46.000]  is just totally dangerous, totally insane,
[11:46.000 --> 11:50.000]  and creates so many issues like,
[11:50.000 --> 11:52.000]  do these humanoids have rights?
[11:52.000 --> 11:54.000]  Who really controls them?
[11:54.000 --> 11:58.000]  What were they programmed to do?
[11:58.000 --> 12:00.000]  I remember here, 20-something years ago,
[12:00.000 --> 12:02.000]  they had been cloning people since the 60s,
[12:02.000 --> 12:04.000]  and I went and looked it up and actually found
[12:04.000 --> 12:07.000]  it was in mainline literature.
[12:07.000 --> 12:10.000]  Hell, I got a Timelife magazine.
[12:10.000 --> 12:13.000]  I bought it some old magazine shop.
[12:13.000 --> 12:16.000]  When I was out in Seattle, I haven't even shown this on air yet.
[12:16.000 --> 12:19.000]  And it showed test tubes with human embryos in them
[12:19.000 --> 12:22.000]  that had been engineered in the 60s.
[12:22.000 --> 12:24.000]  So they kind of told us about it then,
[12:24.000 --> 12:26.000]  but people got upset, so they pulled back and said,
[12:26.000 --> 12:27.000]  oh, that's just fiction.
[12:27.000 --> 12:28.000]  Imagine where they are now.
[12:28.000 --> 12:30.000]  I mean, look at these headlines right here.
[12:30.000 --> 12:34.000]  Scientists create a device that can mass produce human embryos.
[12:34.000 --> 12:37.000]  And you go in and read into it from NPR.
[12:37.000 --> 12:39.000]  Many of them are, really aren't humans.
[12:39.000 --> 12:43.000]  They're splices of 5, 6, 7, 8, 10, 100 people.
[12:43.000 --> 12:46.000]  Chinese scientists edit DNA in an attempt
[12:46.000 --> 12:49.000]  to cure man's cancer, HIV.
[12:49.000 --> 12:51.000]  Boy, what could give rise out of that?
[12:51.000 --> 12:54.000]  That's out of Yahoo Finance.
[12:58.000 --> 13:01.000]  Next generation of aircraft will track your bathroom visits.
[13:01.000 --> 13:02.000]  Isn't that great?
[13:02.000 --> 13:04.000]  There's no such thing as anonymity.
[13:04.000 --> 13:07.000]  With consumer DNA tests, sperm banks
[13:07.000 --> 13:11.000]  reconsider long-held promise to donors.
[13:11.000 --> 13:13.000]  Everything's about breaking promise.
[13:13.000 --> 13:15.000]  Does the new iPhone creep you out?
[13:15.000 --> 13:19.000]  Scientists grapple with tiny holes, scare some people.
[13:19.000 --> 13:21.000]  Yeah, it's got like a little robot.
[13:21.000 --> 13:23.000]  See, now the robot's got two eyes on each side
[13:23.000 --> 13:24.000]  and little microphones.
[13:24.000 --> 13:25.000]  And you can't turn it off.
[13:25.000 --> 13:27.000]  And Google Nest had a hidden microphone.
[13:27.000 --> 13:29.000]  And they admit they're always listening.
[13:29.000 --> 13:30.000]  Of course they are.
[13:30.000 --> 13:34.000]  It's all a race, militarily, to dominate and control you
[13:34.000 --> 13:38.000]  and make you as mentally ill and as broken as possible
[13:38.000 --> 13:39.000]  so they can program you.
[13:39.000 --> 13:41.000]  I mean, they admit that.
[13:43.000 --> 13:47.000]  Mosquito trials raise hopes of the name fever cure.
[13:47.000 --> 13:50.000]  I'll tell you about that.
[13:50.000 --> 13:51.000]  And all this ties together.
[13:51.000 --> 13:55.000]  We're going to have live coverage tonight, right through now,
[13:55.000 --> 13:58.000]  until 11 o'clock this evening.
[13:58.000 --> 14:00.000]  Houston, we have a problem.
[14:00.000 --> 14:04.000]  The clown world third round of debates this time,
[14:04.000 --> 14:06.000]  all 10 on one stage.
[14:06.000 --> 14:09.000]  Elizabeth Warren will attack dog, the reanimated corpse
[14:09.000 --> 14:14.000]  that is jibidin' with his bloody eyes and his strokes
[14:14.000 --> 14:17.000]  and his stumbling and bumbling, the Democrats now say
[14:17.000 --> 14:18.000]  he needs to step down.
[14:18.000 --> 14:21.000]  Where'd you hear that first?
[14:21.000 --> 14:22.000]  So that's all coming up.
[14:22.000 --> 14:23.000]  Texas Showdown.
[14:23.000 --> 14:24.000]  Warren's new target.
[14:24.000 --> 14:25.000]  Tan, Biden, Hang on.
[14:25.000 --> 14:26.000]  Drubsreport.com.
[14:26.000 --> 14:28.000]  That's all coming up.
[14:28.000 --> 14:31.000]  And then we are going to get into so much more here today.
[14:31.000 --> 14:34.000]  India set to carry out biggest war games near China border.
[14:34.000 --> 14:38.000]  Told you the whole cashmere thing is about proxy war with China.
[14:38.000 --> 14:39.000]  Pinsir movement.
[14:39.000 --> 14:44.000]  We're going to tie it into a whole cornucopia
[14:44.000 --> 14:48.000]  and a large spectrum of news and information today,
[14:48.000 --> 14:50.000]  as best I possibly can.
[14:50.000 --> 14:55.000]  First off, we're also going to come back
[14:55.000 --> 14:56.000]  and get into right wingers.
[14:56.000 --> 14:58.000]  Are America's deadliest terrorists?
[14:58.000 --> 15:01.000]  We got a CNN clip that went up on infowars.com
[15:01.000 --> 15:02.000]  yesterday last night.
[15:02.000 --> 15:07.000]  We're going to cover coming up where CNN puts up
[15:07.000 --> 15:10.000]  all these fake ravages and says white men are the terrorists
[15:10.000 --> 15:11.000]  when statistically it's not even true.
[15:11.000 --> 15:14.000]  But regardless, the fact is they're trying to say that
[15:14.000 --> 15:23.000]  while the New York Times came out and said airplanes
[15:23.000 --> 15:25.000]  attacked us on 9-11.
[15:25.000 --> 15:28.000]  Now, obviously the official story has got big problems
[15:28.000 --> 15:29.000]  and there was a lot more going on there.
[15:29.000 --> 15:31.000]  But Islamic terror is real.
[15:31.000 --> 15:32.000]  There were people that were trying to do it.
[15:32.000 --> 15:33.000]  There were probably decoys.
[15:33.000 --> 15:36.000]  But Islamic terror is a real thing.
[15:36.000 --> 15:38.000]  To say it was airplanes is like when they said
[15:38.000 --> 15:39.000]  there was a truck attack.
[15:39.000 --> 15:42.000]  Remember, killed hundreds of people or whatever in France?
[15:42.000 --> 15:43.000]  They had a bunch of attacks.
[15:43.000 --> 15:46.000]  One ran over several hundred, killed a hundred plus.
[15:46.000 --> 15:48.000]  And remember, they said a truck attack people.
[15:48.000 --> 15:52.000]  No, this isn't Christine or this isn't Max from Overdrive.
[15:52.000 --> 15:53.000]  This isn't Hollywood.
[15:53.000 --> 15:54.000]  It wasn't the cars.
[15:54.000 --> 15:56.000]  It wasn't a Google self-driving car.
[15:56.000 --> 16:06.000]  It wasn't Johnny.
[16:27.000 --> 16:40.000]  In the past,
[16:40.000 --> 16:42.000]  Sunny Bay Raps are designed better for perfect support
[16:42.000 --> 16:43.000]  where and when you need it.
[16:43.000 --> 16:44.000]  Even while driving,
[16:44.000 --> 16:46.000]  Sunny Bay Raps will not burn and stay balanced
[16:46.000 --> 16:48.000]  to provide soothing hot or cold therapy
[16:48.000 --> 16:50.000]  to help treat temporary or chronic pain.
[16:50.000 --> 16:51.000]  And the best part,
[16:51.000 --> 16:53.000]  Sunny Bay Quality Products started under $20.
[16:53.000 --> 16:55.000]  Join thousands of happy customers
[16:55.000 --> 17:00.520]  for sunny bay hunters anglers campers and survivalists get back to nature
[17:00.520 --> 17:04.720]  expand your horizons with the highest quality most versatile unique sling
[17:04.720 --> 17:08.960]  shots and sling bows on the market at slingbow.com slingbow products are
[17:08.960 --> 17:13.760]  compact and models start from just 1798 they're perfect for your bug out bag or
[17:13.760 --> 17:17.640]  storing in your vehicle give yourself and your loved ones the excitement and
[17:17.640 --> 17:22.120]  tradition of sling bow a new frontier and archery and truly modern twist on
[17:22.120 --> 17:27.680]  this primitive survival tool feel the thrill only at slingbow.com hi I'm Dan
[17:27.680 --> 17:31.160]  Pilla I started fighting the IRS over 40 years ago when they tried to seize my
[17:31.160 --> 17:35.600]  mother's house I sued the IRS in one I beat the IRS then and I've been beating
[17:35.600 --> 17:39.240]  them ever since I wrote the book on tax debt settlement and I've helped thousands
[17:39.240 --> 17:42.600]  of people deal with tax problems they thought might never be solved I can help
[17:42.600 --> 17:46.920]  you to if you owe taxes you can't pay don't wait another day there's no such
[17:46.920 --> 17:52.080]  thing as a hopeless tax case call 834 no tax or go to my website Dan Pilla
[17:52.080 --> 17:59.920]  dot com that's Dan Pilla dot com Dan Pilla dot com we sold secret 12 for four
[17:59.920 --> 18:04.000]  years and it was our number third best seller we had to discontinue it because
[18:04.000 --> 18:08.120]  when you upgrade a formula you are supposed to rename it that new formula
[18:08.120 --> 18:13.400]  is ultra 12 it's twice as strong as secret 12 the very best vitamin B 12 out
[18:13.400 --> 18:17.720]  there it's got the complex system that lets your body absorb it and it does
[18:17.720 --> 18:22.560]  amazing things supports healthy nerve and brain cells helps make DNA helps the
[18:22.560 --> 18:25.840]  body produce energy helps produce healthy blood cells essential for proper
[18:25.840 --> 18:29.720]  nervous system functioning goes on and on B12 deficiency is a serious problem
[18:29.720 --> 18:33.240]  that could cause anemia fatigue weakness constipation weight loss depression
[18:33.240 --> 18:37.040]  or memory loss asthma vision problems and low sperm count bottom line folks you
[18:37.040 --> 18:42.760]  need ultra 12 it helps on the info war so it's a 360 win and it's 50% off for a
[18:42.760 --> 18:47.920]  limited time at info war store dot com again we can only run the special for
[18:47.920 --> 18:53.320]  the next two weeks or so while supplies last ultra 12 twice as powerful half the
[18:53.320 --> 19:00.240]  price 50% off right now in info wars live dot com there are few things in this
[19:00.240 --> 19:03.800]  universe that are assured about but I'm here to tell you the products that in
[19:03.800 --> 19:09.280]  four words live calm are we go out we find out what is the best rated best
[19:09.280 --> 19:15.000]  tested most loved most documented substances that God gave us to Mother
[19:15.000 --> 19:20.200]  Nature and then we make it even stronger even better and lower the price now
[19:20.200 --> 19:24.320]  tumoric has been known for thousands of years to help with inflammation headaches
[19:24.320 --> 19:29.720]  it's good for the immune system so many things it sells itself but normal
[19:29.720 --> 19:35.440]  tumorics only has three to five percent curcuminoid the active enzyme or
[19:35.440 --> 19:40.760]  system in the plan originally obviously from India well bodies ultimate
[19:40.760 --> 19:46.320]  tumoric formula has a 95% curcuminoid level but it's got other natural things
[19:46.320 --> 19:50.320]  that help boost it help your body absorb it and that's why people absolutely
[19:50.320 --> 19:55.200]  love it I'm doing this offer for people that haven't tried it yet 50% off on
[19:55.200 --> 19:59.080]  bodies at info wars live dot com
[19:59.080 --> 20:05.960]  you're listening to the Alex Jones show
[20:29.080 --> 20:40.440]  ladies and gentlemen we are live broadcasting worldwide and we're gonna
[20:40.440 --> 20:45.160]  be here till at least 11 p.m. tonight and the first two debates were
[20:45.160 --> 20:50.960]  incredibly boring and incredibly stupid and unbelievably frightening how they
[20:50.960 --> 20:55.080]  all were trying to double down offering free stuff trying to go left of mouse
[20:55.080 --> 20:59.520]  a tongue now that said they were so boring and horrible they were riveting
[20:59.520 --> 21:04.360]  but at the same time it was very scary to look at Cory Booker and his fake smile
[21:04.360 --> 21:09.640]  and always looking like he's trying to you know use the bathroom when he's been
[21:09.640 --> 21:14.160]  constipated for six months and then Elizabeth Warren looks like a weird
[21:14.160 --> 21:19.800]  meth addicted piranha with her eyes just bugging out of her head with hate and
[21:19.800 --> 21:25.640]  then you look at Bernie Sanders a 78-year-old communist that swindled
[21:25.640 --> 21:30.840]  colleges and ran all sorts of criminal operations and love the Soviet Union up
[21:30.840 --> 21:35.040]  there promising people stuff and then the New York Times is praising mouse a
[21:35.040 --> 21:42.400]  tongue saying he was a great leader and AP is praising Robert Mugabe who was
[21:42.400 --> 21:48.320]  like an African Hitler said that white should all be exterminated I mean it's
[21:48.320 --> 21:54.760]  crazy but that's mainstream media folks they support killing babies after
[21:54.760 --> 21:59.720]  they're born they support breaking up the family they support saying don't say
[21:59.720 --> 22:07.960]  mother and father in elementary school entrance forms they are destroying all
[22:07.960 --> 22:15.440]  of civilization in a total takeover it's their mission it's what they've been
[22:15.440 --> 22:19.720]  financed to do you can look at it temporarily and say well the chai comms
[22:19.720 --> 22:24.040]  see us as their out as their main rival they want to demoralize us they want to
[22:24.040 --> 22:27.800]  break us down the left wants to do that to further conquer us culturally so
[22:27.800 --> 22:31.560]  they're allied and Islam wants to take over the West so they're allied with it
[22:31.560 --> 22:37.560]  what a combination the leftist Hollywood with the chai comms and the
[22:37.560 --> 22:47.840]  unelected EU with Islam and that's the big evil axis against what's left of
[22:47.840 --> 22:53.800]  Christianity what's left of free market capitalism and the Renaissance it's
[22:53.800 --> 23:00.720]  unbelievable to see these global global these global corporates doing the math
[23:00.720 --> 23:05.560]  doing the numbers there's 1.8 million Muslims there's a billion 400 million
[23:05.560 --> 23:07.960]  Chinese
[23:09.400 --> 23:17.680]  Europe's in decline the population's capitulated America is in moral decline
[23:17.680 --> 23:22.120]  we don't have a Christian culture on average anymore we don't we don't have a
[23:22.120 --> 23:26.480]  red white and blue culture we don't believe in ourselves anymore I see
[23:26.480 --> 23:29.920]  articles all over the place where the American flag people were American flag
[23:29.920 --> 23:34.480]  shirts and they're told to take them off at football games not just the Betsy
[23:34.480 --> 23:42.160]  Ross but the Gadsden flag the 50-star flag the modern flag the night circuit
[23:42.160 --> 23:47.480]  ruled six years ago that you can't wear an American flag in public schools or
[23:47.480 --> 23:55.120]  colleges in 11 states that the night circuit covers
[23:57.160 --> 24:00.860]  I'm going from memory look how many states that night is it is it nine states
[24:00.860 --> 24:03.840]  or 10 states last time I looked I was amazed it was so many states I think
[24:03.840 --> 24:10.480]  it's 11 maybe I'm right is it 9 or 10 please look that up for me and you know
[24:10.480 --> 24:13.920]  you sit back and you see that when people fall suits in colleges and in
[24:13.920 --> 24:18.680]  high school they wear an American flag and people say we're offended and they
[24:18.680 --> 24:22.480]  get kicked out of school for refusing to take it off and then the court said you
[24:22.480 --> 24:28.760]  don't wear that that's beyond the Soviet Union that's how far we've gone into
[24:28.760 --> 24:40.720]  this cult now there it is one two three four five six seven eight nine ten
[24:40.720 --> 24:51.800]  eleven twelve thirteen gosh it's even more than I thought 13 states cheese 13
[24:51.800 --> 24:57.400]  states you can't wear an American flag in school if somebody doesn't like it
[24:57.400 --> 25:01.760]  let that sink in I'm gonna stop right there I've got stacks of news here we're
