[00:00:14.235 --> 00:00:15.837]  ReadyReserveFoods.com.
[00:07:26.353 --> 00:07:28.515]  We're going to be playing that audio clip for you.
[00:07:28.515 --> 00:07:29.655]  Yes, that's right, an EMT
[00:07:31.196 --> 00:07:35.057]  Assaulted by a police officer with a patient in the back.
[00:07:35.057 --> 00:07:41.959]  Yeah, it's not good enough you're an ambulance and you're escorting a woman who has heat stroke with her family to the hospital.
[00:07:41.959 --> 00:07:44.800]  Now the police can pull you over like thugs.
[00:07:44.800 --> 00:07:46.540]  They do more than threaten to arrest him.
[00:07:46.540 --> 00:07:49.561]  They really clearly assault him because of a state law.
[00:07:50.265 --> 00:07:59.328]  The scuffle stops for a moment and of course no charges were brought against the EMT who was trying to diffuse the situation as best he could.
[00:07:59.328 --> 00:08:05.970]  Well I turn on the TV on Friday night and I'm watching the national news and what is on the national news?
[00:08:05.970 --> 00:08:09.191]  Oh 72 year old woman in Austin
[00:08:09.671 --> 00:08:10.712]  Tasered!
[00:08:10.712 --> 00:08:12.193]  How lovely and delicious.
[00:08:12.193 --> 00:08:13.914]  We're going to be playing that clip coming up.
[00:08:13.914 --> 00:08:19.738]  Yeah, the big bad officer couldn't stop the woman and lo and behold, we just can't have the dash cam.
[00:08:19.738 --> 00:08:24.561]  By the way, the dash cam not being made available in the EMT case either.
[00:08:24.561 --> 00:08:27.743]  And then on top of that, the police officer that pulled over this ambulance.
[00:08:28.443 --> 00:08:29.984]  Has priors of this.
[00:08:29.984 --> 00:08:32.685]  He pulled over an ambulance with a pregnant woman in it.
[00:08:32.685 --> 00:08:34.826]  And you're asking, well, Jason, how do you know all this stuff?
[00:08:34.826 --> 00:08:44.270]  We had the local CBS affiliate, I believe his name was David Jordan on, who broke this story and is following it up.
[00:08:44.270 --> 00:08:47.731]  And not only that, the guy's got connections in the good old boy network.
[00:08:47.731 --> 00:08:49.612]  He's close to one of the town judges.
[00:08:50.689 --> 00:08:55.432]  They're not releasing the video, because it's okay to assault EMT workers.
[00:08:55.432 --> 00:08:59.695]  It's okay to taser 72-year-old women.
[00:08:59.695 --> 00:09:05.358]  You know, outside of the police state news, it's really time to talk about this Sonia Sotomayor.
[00:09:05.358 --> 00:09:14.504]  Because, you know, the false right, like Hannity and Limbaugh, oh, they'll tell you about the racist comment she made about being able to decide better than a white man.
[00:09:14.504 --> 00:09:16.665]  And let's just read that off the bat.
[00:09:16.665 --> 00:09:19.647]  And people are arguing, oh, this isn't really a racist comment.
[00:09:20.359 --> 00:09:25.541]  Well, let's read it and put it into context with who she is and what she stands for.
[00:09:25.541 --> 00:09:42.526]  I would hope that a wise Latina woman, with the richness of her experiences, see, glossing it over, everything gets glossed over and pampered, with the richness of her experiences, would more often than not reach a better conclusion than a white male who hasn't lived that life.
[00:09:42.526 --> 00:09:48.608]  Now again, you base your judgments by the content of someone's character, not the color of their skin.
[00:09:49.935 --> 00:09:52.236]  But here she's making it a racial issue.
[00:09:52.236 --> 00:10:00.639]  Then, what the media won't tell you, what they won't talk about outside of Lou Dobbs, is that she is a council member for La Raza.
[00:10:00.639 --> 00:10:04.520]  She is a Bush 1 appointee in New York.
[00:10:04.520 --> 00:10:07.741]  And she is vehemently opposed to the Second Amendment.
[00:10:07.741 --> 00:10:08.581]  Let me explain.
[00:10:08.581 --> 00:10:10.162]  The woman actually penned a book
[00:10:11.132 --> 00:10:22.964]  ...called Deadly Obsession, the American gun culture, in which she states that the Second Amendment actually makes guns illegal, let me repeat that, illegal for most U.S.
[00:10:22.964 --> 00:10:24.185]  citizens.
[00:10:24.185 --> 00:10:25.486]  How crazy is that?
[00:10:25.486 --> 00:10:28.870]  She says that, no, it makes it legal for military and other personnel.
[00:10:29.562 --> 00:10:32.264]  But guns have really been illegal for us for quite some time.
[00:10:32.264 --> 00:10:34.465]  This is the woman we want on the Supreme Court.
[00:10:34.465 --> 00:10:39.368]  This is the woman that's going to be here to usher in a North American Union.
[00:10:39.368 --> 00:10:41.089]  Amnesty for illegal aliens.
[00:10:41.089 --> 00:10:42.190]  It doesn't really matter.
[00:10:42.190 --> 00:10:45.992]  The Supreme Court is bought, sold, and paid for by the elites.
[00:10:45.992 --> 00:10:49.794]  And that is really apparent with their latest decision this Tuesday.
[00:10:49.794 --> 00:10:53.137]  Five to four to basically rule out your Miranda rights.
[00:10:53.137 --> 00:10:54.277]  Jason, what are you talking about?
[00:10:54.277 --> 00:10:56.699]  I didn't hear about this on the mainstream media.
[00:10:56.699 --> 00:10:58.420]  My Miranda rights can't be gone.
[00:10:58.780 --> 00:11:00.440]  Well, in a way, they're not, but they are.
[00:11:00.440 --> 00:11:01.441]  In a way, they're not, but they are.
[00:11:01.441 --> 00:11:03.061]  Very Orwell.
[00:11:03.061 --> 00:11:05.801]  Let me read it right out of Reuters right here.
[00:11:05.801 --> 00:11:09.462]  Supreme Court rules police can initiate suspects questioning.
[00:11:09.462 --> 00:11:09.842]  The U.S.
[00:11:09.842 --> 00:11:20.785]  Supreme Court ruled on Tuesday that police under certain circumstances, remember it's only certain circumstances, but the police will just lie like they always have when they want a confession out of somebody.
[00:11:20.785 --> 00:11:27.366]  Only under certain circumstances can initiate an interrogation of a suspect without the defendant's lawyer being present.
[00:11:28.061 --> 00:11:30.222]  By a 5-4 vote.
[00:11:30.222 --> 00:11:30.863]  5-4 always.
[00:11:30.863 --> 00:11:33.704]  Remember, it's always very close when they take away your civil liberties.
[00:11:33.704 --> 00:11:38.307]  It's never 9-0, it's never 7-2, it's never 6-3, it's 5-4.
[00:11:38.307 --> 00:11:42.629]  To give you that appearance, oh, we were so close to saving our rights!
[00:11:42.629 --> 00:11:45.070]  So close to saving this country.
[00:11:45.070 --> 00:11:56.877]  By a 5-4 vote, the conservative majority overruled a 23-year-old Supreme Court decision that barred the police from initiating questioning after a defendant asserted the right to an attorney at an arraignment
[00:11:57.535 --> 00:11:59.116]  Or similar proceeding.
[00:11:59.116 --> 00:12:01.557]  So right there it tells you that they overturned the decision.
[00:12:01.557 --> 00:12:05.240]  Now here's where it gets really Orwellian.
[00:12:05.240 --> 00:12:10.983]  The ruling was the latest in a recent string by conservative justices expanding the power of police to question suspects.
[00:12:10.983 --> 00:12:19.328]  But it does not change the landmark 1966 ruling barring the police from questioning a suspect who invoked their right to remain silent or have a lawyer present.
[00:12:20.532 --> 00:12:22.893]  But in the previous paragraph, it said it did just that.
[00:12:22.893 --> 00:12:25.455]  But then they say it's just under certain circumstances.
[00:12:25.455 --> 00:12:30.918]  Listen, it's under any circumstance they want if they want to put you behind bars.
[00:12:30.918 --> 00:12:31.959]  If they want to fine you.
[00:12:31.959 --> 00:12:33.360]  The police are always right.
[00:12:33.360 --> 00:12:34.380]  They are our authorities.
[00:12:34.380 --> 00:12:35.221]  They are our lords.
[00:12:35.221 --> 00:12:36.942]  They are our gods.
[00:12:36.942 --> 00:12:40.264]  That's why they're tasering 72-year-old women in Austin.
[00:12:41.252 --> 00:12:42.132]  Right here, folks.
[00:12:42.132 --> 00:12:43.653]  It's not somewhere else.
[00:12:43.653 --> 00:12:45.593]  It's not fairytales and unicorns.
[00:12:45.593 --> 00:12:51.936]  It is right here, they're tasering 72-year-old grandmas.
[00:12:51.936 --> 00:12:54.656]  Right here, where you eat and breathe.
[00:12:54.656 --> 00:12:55.637]  Okay?
[00:12:55.637 --> 00:13:00.018]  And with this Supreme Court decision, I mean, oh my God!
[00:13:00.018 --> 00:13:05.220]  What is it going to take for us to start kicking and screaming and saying, no!
[00:13:06.545 --> 00:13:08.826]  We do have a right to an attorney.
[00:13:08.826 --> 00:13:12.088]  We do still have our Bill of Rights and Constitution.
[00:13:12.088 --> 00:13:21.633]  No, the Second Amendment made it so I could own a firearm to protect me and my family and my persons and property and against a tyrannical government, which we can just see.
[00:13:21.633 --> 00:13:24.355]  If you don't have the blinders on, folks, it's right here.
[00:13:24.355 --> 00:13:25.916]  We had Barack Obama this week.
[00:13:25.916 --> 00:13:27.997]  I believe it was Friday morning.
[00:13:28.661 --> 00:13:38.891]  Announce a new cyber security coordinator and a new office of bureaucracy in which they will kill and slay the internet.
[00:13:38.891 --> 00:13:43.476]  You had to know this was coming with Jay Rockefeller putting out the Cyber Security Act, trying to get that bill through.
[00:13:43.476 --> 00:13:51.604]  Totally draconian, totally out of control, banning free speech on the web, going after operations like InfoWars and Prison Planet.
[00:13:51.604 --> 00:13:52.585]  You can guarantee it.
[00:13:53.288 --> 00:13:57.513]  And then, they put out the Cyber Bullying Act, which is even worse!
[00:13:57.513 --> 00:14:08.828]  And they piggybacked on this adult who, in poor taste, made a false MySpace account, started clowning on a young girl after she pretended to be a boy who liked her, and the girl ended up killing herself.
[00:14:08.828 --> 00:14:10.209]  Does something need to happen to that woman?
[00:14:10.209 --> 00:14:10.810]  Sure.
[00:14:10.810 --> 00:14:11.911]  But does free speech
[00:14:12.566 --> 00:14:14.087]  Need to be taken away on the internet?
[00:14:14.087 --> 00:14:15.327]  Absolutely not!
[00:14:15.327 --> 00:14:17.688]  And now they have Hannah Montana!
[00:14:17.688 --> 00:14:19.948]  That's right, your kid's idol.
[00:14:19.948 --> 00:14:26.711]  You know, the songs you have to hear 136 times every day because your preteen is obsessed with them.
[00:14:26.711 --> 00:14:30.892]  This young girl, this movie star, this, you know, Disney accolade.
[00:14:31.841 --> 00:14:35.284]  Is now saying, oh, I'm for the cyberbullying act.
[00:14:35.284 --> 00:14:38.527]  It's so mean when people call me fat online.
[00:14:38.527 --> 00:14:40.089]  And she can't even spell fat.
[00:14:40.089 --> 00:14:41.069]  She puts a little asterisk.
[00:14:41.069 --> 00:14:42.351]  A little star has to be cute.
[00:14:42.351 --> 00:14:43.752]  A little smiley face.
[00:14:43.752 --> 00:14:44.573]  Oh, it's not funny.
[00:14:44.573 --> 00:14:45.954]  I'm sorry.
[00:14:45.954 --> 00:14:55.382]  I mean, am I the only one that has to come out and say, hey, we can't ban free speech on the Internet because Miley Cyrus is being called fat by some loser?
[00:14:55.382 --> 00:14:57.124]  I mean, seriously.
[00:14:57.697 --> 00:15:03.402]  First of all, you're in the public eye, you have platinum-selling albums, you have hundred million dollar movies, young girl.
[00:15:03.402 --> 00:15:05.224]  But the government loves her.
[00:15:05.224 --> 00:15:07.065]  They love that she's promoting this.
[00:15:07.065 --> 00:15:10.228]  They would love to take away your freedom or what's left of it on the Internet.
[00:15:10.228 --> 00:15:15.012]  They've been trying to put into Internet 2, and let me explain what Internet 2 is going to mean for you.
[00:15:15.012 --> 00:15:22.419]  For quite some time, they've been promoting it, saying, oh, the old web is going to die, it can't handle the bandwidth, cyber-terrorists are everywhere.
[00:15:23.473 --> 00:15:31.875]  I had to hear Obama actually say that Russia snuck attack Georgia again last summer when that is the furthest from the truth.
[00:15:31.875 --> 00:15:42.757]  Let's go over it again for those that don't know what happened, that don't read the papers in page 13A in the back where they tell you what the real story is.
[00:15:42.757 --> 00:15:48.999]  The only mainline guy I know that came out and did tell the true story of this was Pat Buchanan.
[00:15:48.999 --> 00:15:49.839]  So what did happen there?
[00:15:51.286 --> 00:15:54.608]  Georgia starts running all these drills on the South Ossetia border.
[00:15:54.608 --> 00:15:58.990]  Oh, here comes Israel, here comes the United States, here comes private forces.
[00:15:58.990 --> 00:16:04.533]  Then all of a sudden, Russia starts running drills on their end too, expecting that there might be a sneak attack present.
[00:16:04.533 --> 00:16:11.457]  Georgia then goes into South Ossetia, starts murdering people, and Russia comes in to stop it.
[00:16:11.457 --> 00:16:13.057]  And then Russia snuck attack!
[00:16:13.057 --> 00:16:14.658]  Russia snuck attack!
[00:16:14.658 --> 00:16:17.860]  Then Sakisvili, the leader of Georgia, gives it away.
[00:16:18.906 --> 00:16:22.248]  I'm Glenn Beck when he says this is about a new world order, Glenn.
[00:16:22.248 --> 00:16:23.349]  Well, it sure is.
[00:16:23.349 --> 00:16:24.330]  We'll be back after this.
[00:16:24.330 --> 00:16:25.530]  It's the Alex Jones Show.
[00:16:25.530 --> 00:16:27.412]  PrisonPlanet.tv, InfoWars.com.
[00:16:32.856 --> 00:16:38.820]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[00:16:38.820 --> 00:16:39.600]  Think about that.
[00:16:39.600 --> 00:16:42.722]  Would you swallow a handful of shells you found at the beach?
[00:16:42.722 --> 00:16:45.944]  Our body wasn't designed to digest rocks and shells.
[00:16:45.944 --> 00:16:55.730]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables, and antioxidants.
[00:16:56.170 --> 00:17:01.992]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[00:17:01.992 --> 00:17:03.173]  The choice is yours.
[00:17:03.173 --> 00:17:08.775]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[00:17:08.775 --> 00:17:13.857]  Choose for Health, the world's first superfruit, sea vegetable, antioxidant chewable.
[00:17:13.857 --> 00:17:16.298]  Whole food nutrition, not rocks and shells.
[00:17:18.260 --> 00:17:20.443]  1-800-210-1922.
[00:17:20.443 --> 00:17:24.929]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[00:17:24.929 --> 00:17:25.150]  1-800-210-1922.
[00:17:25.150 --> 00:17:26.051]  Or go to orderchoose.com.
[00:17:32.671 --> 00:17:36.613]  When making important financial decisions, you should always know the facts.
[00:17:36.613 --> 00:17:40.414]  That's why Midas Resources is willing to pay you to read the facts.
[00:17:40.414 --> 00:17:49.598]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:17:49.598 --> 00:17:53.840]  Midas Resources offers a host of services and stands behind their products.
[00:17:53.840 --> 00:17:58.702]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:17:58.702 --> 00:18:02.363]  This detailed report will provide you with financial history on the safest and most
[00:18:02.363 --> 00:18:02.943]  We're good to go.
[00:18:38.419 --> 00:18:43.464]  Have you ever noticed that celebrities are endorsing weight loss products and health aids?
[00:18:43.464 --> 00:18:47.288]  Do you think they endorse these products for free?
[00:18:47.288 --> 00:18:48.269]  I don't think so.
[00:18:48.269 --> 00:18:52.354]  I'm here to tell you, I'm not a celebrity and Life Change T doesn't need one.
[00:18:52.354 --> 00:18:53.175]  Think about this.
[00:18:53.575 --> 00:18:56.156]  The product speaks for itself.
[00:18:56.156 --> 00:18:57.736]  What a concept!
[00:18:57.736 --> 00:18:59.336]  Our product works.
[00:18:59.336 --> 00:19:01.897]  You get healthy and you'll lose weight.
[00:19:01.897 --> 00:19:02.777]  Summer's coming.
[00:19:02.777 --> 00:19:04.298]  Look and feel good.
[00:19:04.298 --> 00:19:04.778]  Order now.
[00:19:04.778 --> 00:19:04.858]  928-308-0408.
[00:19:04.858 --> 00:19:06.398]  Write this down.
[00:19:06.398 --> 00:19:06.438]  928-308-0408.
[00:19:13.860 --> 00:19:15.121]  Or you can order online.
[00:19:15.121 --> 00:19:15.902]  It's easy.
[00:19:15.902 --> 00:19:17.603]  GetTheTea.com.
[00:19:17.603 --> 00:19:20.105]  That's GetTheTea.com.
[00:19:20.105 --> 00:19:25.730]  You have nothing to lose but the excess around your, uh, anyway.
[00:19:25.730 --> 00:19:26.731]  Life Change Tea.
[00:19:26.731 --> 00:19:28.253]  It speaks for itself.
[00:19:28.253 --> 00:19:30.234]  That's GetTheTea.com.
[00:19:32.583 --> 00:19:40.551]  The people need an answer right now for you to bring the hemp back to America.
[00:19:40.551 --> 00:19:44.695]  Bring the hemp back to America.
[00:19:44.695 --> 00:19:47.577]  Bring the hemp back to America.
[00:19:47.577 --> 00:19:52.282]  Don't waste our time any longer.
[00:19:53.399 --> 00:19:58.643]  This is brought to you by HempUSA.org, supplier of fine hemp products.
[00:20:21.747 --> 00:20:25.510]  Sponsoring the Genesis Communications Radio Network.
[00:20:25.510 --> 00:20:28.173]  The leader in alternative talk radio.
[00:20:28.173 --> 00:20:29.054]  Radio.
[00:20:29.054 --> 00:20:29.954]  Radio.
[00:20:29.954 --> 00:20:30.875]  Radio.
[00:20:30.875 --> 00:20:32.797]  Radio.
[00:20:32.797 --> 00:20:35.579]  You're listening to GCN.
[00:20:35.579 --> 00:20:40.364]  The Genesis Communications Radio Network.
[00:20:47.626 --> 00:20:49.427]  Alright, we are back at the Alex Jones Show.
[00:20:49.427 --> 00:20:53.028]  I am Jason Bermas, sitting in, and we're going to go to your calls in just a moment.
[00:20:53.028 --> 00:21:16.655]  But first, I'm going to play, to start out, this 72-year-old woman on the local Fox affiliate here in Austin, being tasered by an out-of-control cop, and the officer doesn't come on camera, but his representative does, another officer, and he says, everything's fine, it's okay to taser a grandma, and she was getting out of control, but again, they won't release the dash cam.
[00:21:16.655 --> 00:21:17.195]  Hit the clip.
[00:21:18.110 --> 00:21:23.135]  A 22-year-old woman pulled over for speeding is tasered and then sent to jail.
[00:21:23.135 --> 00:21:27.199]  The arresting officer says she was threatening him and using profanity.
[00:21:27.199 --> 00:21:30.762]  The woman sat down with Fox 7's Carrie Bellicosa.
[00:21:30.762 --> 00:21:32.183]  She went out and spoke with her today.
[00:21:32.183 --> 00:21:33.705]  Carrie, standing by with more.
[00:21:36.773 --> 00:21:47.921]  And Mike, the 72-year-old great-grandmother, tells us she's never been to jail until she was pulled over for speeding in a work zone and found herself being tasered before she was handcuffed.
[00:21:47.921 --> 00:21:49.802]  Officers say they did all of this for a reason.
[00:21:51.606 --> 00:21:57.069]  72-year-old Kathryn Winkfein says she drives to Austin about twice a month to do her shopping.
[00:21:57.069 --> 00:22:03.492]  But on a Monday afternoon, a Travis County Constable deputy pulled her over on her way back to Granite Shoals.
[00:22:03.492 --> 00:22:05.954]  Due to it being a construction zone and workers being present, it was 45.
[00:22:07.274 --> 00:22:08.055]  And she was doing 60.
[00:22:08.055 --> 00:22:14.441]  Winkvine admits she was speeding in the dangerous strip of Highway 71 and Bee Creek.
[00:22:14.441 --> 00:22:15.883]  But what happened next?
[00:22:15.883 --> 00:22:16.824]  The stories differ.
[00:22:16.824 --> 00:22:21.969]  Explain to her, explain to her to sign the tickets, it's not a mission to kill, it's a promise to appear in court.
[00:22:22.669 --> 00:22:23.910]  She didn't want to.
[00:22:23.910 --> 00:22:25.591]  She said, take me to jail.
[00:22:25.591 --> 00:22:30.615]  That's when the officer says Winkfein exited her vehicle and did not cooperate.
[00:22:30.615 --> 00:22:34.798]  She refused to get away from the side of the road, more toward the bar ditch.
[00:22:34.798 --> 00:22:38.241]  And that's when he asked her, well ma'am, you're under arrest.
[00:22:38.241 --> 00:22:40.002]  You know, she'd use some profanity.
[00:22:40.002 --> 00:22:43.905]  Constable McCain goes on to tell Fox 7 she also got violent.
[00:22:43.905 --> 00:22:46.808]  That's when the officer used a taser on her.
[00:22:46.808 --> 00:22:47.768]  Here and here.
[00:22:47.768 --> 00:22:49.750]  Two places, side by side.
[00:22:49.750 --> 00:22:50.190]  Yeah.
[00:22:50.190 --> 00:22:50.871]  How did that feel?
[00:22:52.061 --> 00:22:53.003]  Unreal.
[00:22:53.003 --> 00:22:55.007]  It's like an electric shock.
[00:22:55.007 --> 00:22:58.214]  I wasn't argumentative, I was not combative, okay?
[00:22:58.214 --> 00:22:59.296]  All of this is a lie.
[00:23:04.202 --> 00:23:05.463]  Oh, every bit of this was a lie.
[00:23:05.463 --> 00:23:06.223]  I pulled away from him.
[00:23:06.223 --> 00:23:06.963]  I did not.
[00:23:06.963 --> 00:23:13.346]  The great-grandmother was taken to the Travis County Jail where she was booked for resisting arrest and detention.
[00:23:13.346 --> 00:23:15.287]  She was released shortly after.
[00:23:15.287 --> 00:23:18.028]  Now she's hired attorneys to protect her rights.
[00:23:18.028 --> 00:23:21.109]  Was it appropriate for your officer to use a taser?
[00:23:21.109 --> 00:23:21.950]  Yes.
[00:23:21.950 --> 00:23:25.391]  Yes, it's appropriate for me to tase a 72-year-old.
[00:23:25.391 --> 00:23:27.112]  What happened before tasers, police?
[00:23:27.791 --> 00:23:34.976]  I mean, was the 72-year-old woman so bad that you had to call backup and three other jackbooted thugs to come run up on her?
[00:23:34.976 --> 00:23:36.898]  She's 72!
[00:23:36.898 --> 00:23:37.378]  Okay?
