[00:00.000 --> 00:07.000]  There is a war. It's happening now. It will decide the fate of humanity.
[13:20.000 --> 13:23.000]  He comes out and says it's a fake scandal.
[13:28.000 --> 13:29.000]  It's amazing.
[13:30.000 --> 13:32.000]  Ladies and gentlemen they're on record everywhere.
[13:33.000 --> 13:34.000]  In fact I've got the stacks of news.
[13:35.000 --> 13:39.000]  I was asking for that New York Times back guys from March 1st and all the others.
[13:40.000 --> 13:41.000]  Here it is right in front of me.
[13:42.000 --> 13:43.000]  Thank you.
[13:44.000 --> 13:46.000]  Obama administration rushed preserve intelligence of Russian election hacking.
[13:46.000 --> 13:50.000]  That was all the intel grabbed and Susan Rice is even in these articles.
[13:52.000 --> 13:56.000]  And then we've got all the other stories we can put up behind us from January 20th.
[13:57.000 --> 13:58.000]  Wiretaps of Trump Tower.
[13:59.000 --> 14:00.000]  Here let's put it on screen whenever we get a chance.
[14:01.000 --> 14:02.000]  Behind me or in front of me.
[14:03.000 --> 14:04.000]  I don't care.
[14:06.000 --> 14:08.000]  But that's how dumb they think you are.
[14:09.000 --> 14:11.000]  And this giant hoax that I was wondering if it would work.
[14:12.000 --> 14:13.000]  They put everything they had into this.
[14:13.000 --> 14:17.000]  More than saying Hillary was invincible and couldn't be beaten and was 15 points ahead.
[14:18.000 --> 14:22.000]  And then I knew they were desperate when they said she had 68 points against Trump.
[14:27.000 --> 14:29.000]  I mean internal polls where he was 15 points ahead of her.
[14:30.000 --> 14:31.000]  CNN was saying that she was 30, 40 points ahead.
[14:32.000 --> 14:34.000]  Wiretapping data using an inquiry of Trump aides.
[14:35.000 --> 14:36.000]  Oh my gosh.
[14:36.000 --> 14:52.000]  Then two weeks ago we get the secret DEA CIA interface into the NSA of Obama going back eight years spying on Trump, his family and everybody.
[14:53.000 --> 14:58.000]  This is just the targeting orders and the grids so they know where to go in and what's been surveilled.
[14:59.000 --> 15:00.000]  Just a listing.
[15:01.000 --> 15:02.000]  Like a card at the library.
[15:02.000 --> 15:06.000]  And of course we covered up all the names and the rest of it and then destroyed the information.
[15:07.000 --> 15:08.000]  We were only given a small portion of the file.
[15:09.000 --> 15:10.000]  But it was real.
[15:11.000 --> 15:15.000]  You didn't hear one word out of MSM.
[15:16.000 --> 15:17.000]  They didn't touch it.
[15:18.000 --> 15:19.000]  Oh and guess who else was in there?
[15:20.000 --> 15:21.000]  Alex Jones being spied on.
[15:22.000 --> 15:23.000]  Michael Savage.
[15:23.000 --> 15:33.000]  And that was just in a little dump that the sheriff's department of Maricopa County gave us that the FBI's had for multiple years.
[15:34.000 --> 15:36.000]  Then I had Larry Klayman, you know the lawyer that's beaten the NSA in court.
[15:37.000 --> 15:38.000]  Founder of judicial watch.
[15:39.000 --> 15:41.000]  I had him on days later to break down the case.
[15:42.000 --> 15:43.000]  I mean this is rock solid.
[15:46.000 --> 15:49.000]  600 plus million files.
[15:49.000 --> 15:53.000]  Did you hear anything about that?
[15:54.000 --> 15:59.000]  That's certified citizen Trump being spied on day one Obama.
[16:00.000 --> 16:03.000]  Why? Because they knew the charisma number one TV host in the country.
[16:04.000 --> 16:05.000]  They knew he was planning to probably run as a Republican.
[16:06.000 --> 16:07.000]  Of course the Democrats were watching him.
[16:09.000 --> 16:14.000]  If you're not getting watched by these criminals, you're not on the field.
[16:15.000 --> 16:17.000]  Oh and Comey came out and said there was no surveillance.
[16:17.000 --> 16:21.000]  Well he can say that because his agency wasn't the ones doing it.
[16:22.000 --> 16:31.000]  And then he can play dumb because Susan Rice didn't come over and say I'm spying on the president-elect.
[16:34.000 --> 16:36.000]  But sees no evidence of wire tapping.
[16:37.000 --> 16:38.000]  No notice. Sees no evidence.
[16:39.000 --> 16:41.000]  But right in front of his eyeballs?
[16:42.000 --> 16:45.000]  I mean are you allowed to lie when you're like seven feet tall?
[16:45.000 --> 16:49.000]  I mean I'm just wondering is that what he's got going for him?
[16:50.000 --> 16:52.000]  Did nothing about Loretta Lynch on the airplane with Bill Clinton illegally?
[16:53.000 --> 16:54.000]  All the rest of the crap we've witnessed.
[16:56.000 --> 17:01.000]  And now he's rolling over to the MSM to piss all over our president and our country.
[17:04.000 --> 17:05.000]  I've got a bunch of clips I'm going to play.
[17:06.000 --> 17:09.000]  We have an incredible list of amazing guests today.
[17:10.000 --> 17:11.000]  This is another broadcast nobody can miss.
[17:11.000 --> 17:14.000]  When we come back I'm going to get into these Susan Rice clips.
[17:15.000 --> 17:18.000]  But I want to go ahead and just start getting to some of these right now.
[17:19.000 --> 17:20.000]  I want to start with Chris Como.
[17:21.000 --> 17:22.000]  Paul's The Susan Rice Report.
[17:23.000 --> 17:24.000]  A fake scandal.
[17:25.000 --> 17:26.000]  Again not fake news because it's not fake.
[17:27.000 --> 17:28.000]  Bloomberg admits it real.
[17:29.000 --> 17:30.000]  They sat on it. Others sat on it.
[17:32.000 --> 17:37.000]  Ladies and gentlemen they also hit it in plain view on March 1st admitting that they were spreading the info.
[17:38.000 --> 17:39.000]  That's what's crazy.
[17:39.000 --> 17:40.000]  We have the mole that Susan Rice.
[17:41.000 --> 17:49.000]  Then we have the mouth that is Evelyn Farkas who goes on TV and pushes it and says we have the proof.
[17:50.000 --> 17:51.000]  And then goes ooh.
[17:54.000 --> 17:55.000]  That's how delusional they are.
[17:57.000 --> 18:04.000]  So here's Chris Como who says if your 12 year old daughter doesn't like to see a man's penis in their showers at school.
[18:04.000 --> 18:09.000]  That she's a transphobe and that you're a bad father.
[18:10.000 --> 18:11.000]  He said that three weeks ago.
[18:12.000 --> 18:13.000]  I mean what type of wacko is this guy?
[18:15.000 --> 18:19.000]  His brother says if you own guns or you're pro-life get out of New York you're not welcome here.
[18:20.000 --> 18:22.000]  And people said oh you're joking he said no get out of here.
[18:23.000 --> 18:24.000]  How about you get out of here buddy.
[18:25.000 --> 18:28.000]  How about you quit running your fat mouth punk.
[18:29.000 --> 18:30.000]  People are sick of people like you.
[18:30.000 --> 18:33.000]  We're done getting pushed around and you know it don't you.
[18:34.000 --> 18:35.000]  So let's play this piece of trash.
[18:36.000 --> 18:36.000]  Here he is.
[18:37.000 --> 18:39.000]  President Trump right wing media types peddling a fake scandal.
[18:40.000 --> 18:40.000]  What is it?
[18:41.000 --> 18:51.000]  Well this suggestion that former Obama National Security Adviser Susan Rice improperly unmasked the identity of Trump associates as part of what our president calls a crooked scheme.
[18:52.000 --> 18:55.000]  An associate of Rice says it's just plain false.
[18:56.000 --> 18:57.000]  Joining us now is Democratic Congressman Jim.
[18:57.000 --> 19:06.000]  Oh my gosh maybe we can have Congressman Schiff on to tell us that there was no stand on order in Benghazi and all those heroes are liars.
[19:07.000 --> 19:10.000]  Maybe we can have that guy who's got the biggest lying eyes.
[19:11.000 --> 19:14.000]  I wouldn't believe him if he said the sky was blue.
[19:15.000 --> 19:17.000]  I mean these are obvious pieces of trash.
[19:18.000 --> 19:24.000]  The worst people in America pulled up out of the sewage by the globalist to be put in to run over the American people because who would want to do that.
[19:24.000 --> 19:26.000]  Who would want to kill prosperity.
[19:27.000 --> 19:28.000]  Who would want to do these snakes.
[19:29.000 --> 19:30.000]  Look at that guy.
[19:31.000 --> 19:32.000]  That's your enemy on screen.
[19:33.000 --> 19:35.000]  TV viewers radio listeners talking about Representative Adam Schiff.
[19:36.000 --> 19:39.000]  When we return I'm going to go into these clips.
[19:42.000 --> 19:46.000]  CNN goes on a rampage against Susan Rice bombshell instructs viewers to ignore the story.
[19:46.000 --> 19:53.000]  Talk about mind control CNN dismisses Rice unmasking bombshell as gin-dub distraction.
[19:54.000 --> 19:57.000]  They don't call it false just gin-dub distraction and we've got so much more.
[19:57.000 --> 20:26.000]  Stay with us we'll be back.
[20:27.000 --> 20:29.000]  The Worldwide Leader in EMF Radiation Protection.
[20:57.000 --> 21:00.000]  A Judeo-Christian online school.
[21:27.000 --> 21:29.000]  The Worldwide Leader in EMF Radiation Protection.
[21:58.000 --> 22:00.000]  Think about this.
[22:01.000 --> 22:13.000]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine and chloramines, and pharmaceuticals like statins, pain meds and antidepressants.
[22:14.000 --> 22:17.000]  They know water treatment plants are not equipped to filter these pharmaceutical toxins out.
[22:17.000 --> 22:32.000]  Protect your family's water supply with a trusted Big Berkey water filter. New NSF EPA certified lab tests show Big Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[22:33.000 --> 22:35.000]  Big Berkey water filters are the original and most trusted on the market.
[22:36.000 --> 22:41.000]  The gold standard in water purification and our filters last for years at less than two cents per gallon.
[22:41.000 --> 22:46.000]  Big Berkey, the one powerful enough to purify stagnant pond water. Get your Big Berkey today.
[22:47.000 --> 22:54.000]  Call 1-877-99-Berkey or click Big Berkey Water Filters dot com. That's 1-877-99-B-E-R-K-E-Y.
[22:54.000 --> 23:21.000]  Big Berkey water filters for the love of clean water.
[23:24.000 --> 23:29.000]  Go to libertyoncall.org. That's libertyoncall.org.
[23:30.000 --> 23:36.000]  This is Dan Pilla. Do you owe the IRS money you can't pay? Are tax debts crippling you? I've defended people from the IRS for over 30 years.
[23:37.000 --> 23:43.000]  I've helped thousands and I can help you too. I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[23:43.000 --> 23:53.000]  Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS' new programs, there's never been a better time to solve your problem.
[23:53.000 --> 24:13.000]  Call 800-34-NO-TAX or my website, danpilla.com.
[24:13.000 --> 24:28.000]  Call 800-34-NO-TAX or my website, danpilla.com.
[24:28.000 --> 24:53.000]  Call 800-34-NO-TAX or my website, danpilla.com.
[24:53.000 --> 25:10.000]  And it goes through Mike Cernovich having his whistleblower inside one of the news agencies where they sat on this and then Bloomberg comes out an hour later and publishes the information.
[25:10.000 --> 25:23.000]  Top Obama advisor sought names of Trump associates in Intel. That's yesterday at 10.13 a.m. Cernovich at 9 something a.m.
[25:24.000 --> 25:29.000]  So there you go, ladies and gentlemen, and it just goes over the whole thing. More right-wing fake scandals.
[25:29.000 --> 25:40.000]  But I have all the articles here where before they said they were spying on Trump and unmasking. And that's where they lose the war because they're a bunch of liars.
[25:41.000 --> 25:52.000]  And they built their house on sand and they thought their hoax of them all lining up saying Trump is completely insane. No one was spying on him. Where does he get it?
[25:52.000 --> 26:02.000]  And the Spicer comes in and shows the New York Times headlines that we showed weeks before and the media goes, oh, he got the fake news from Alex Jones.
[26:03.000 --> 26:15.000]  Are you missing that? We're holding up not one, not two, not three, but four articles the week of the 20th saying he was being wiretapped, saying he was being spied on, saying that they had unmasked the names.
[26:15.000 --> 26:24.000]  So they had proof of all this Russian stuff. And then when Trump goes, oh, that's illegal to leak that. Oh, we never did that. We never do that. You're crazy. You're crazy. You're crazy.
[26:25.000 --> 26:35.000]  See how they work? And that's what's scary is they didn't even think it out that far to realize what could happen to him. So now they've got a tiger by the tail.
[26:35.000 --> 26:46.000]  The big news here, though, is that it is imploding on them and this will just be more that they're discredited on.
[26:47.000 --> 26:57.000]  The good news is we have to go back into WikiLeaks and republish all that and bring it all back up and bring up how they lost the election in line about it.
[26:57.000 --> 27:04.000]  All the fake polls and all the colluding with CNN and MSNBC and the WikiLeaks and fixing the news stories and having fake town halls.
[27:05.000 --> 27:14.000]  This is a discredited mob of lying scum. And I can't even believe they've gotten this far with their BS.
[27:14.000 --> 27:26.000]  Let's go to this piece. CNN dismisses Rice unmasking bombshell, ginned up distraction, then they blame it on the intel community.
[27:27.000 --> 27:40.000]  They shouldn't have done this for her. Well, she was in an agency over them with access as a department, one of the most powerful state department.
[27:40.000 --> 27:45.000]  We're going to go ahead and go to the clip right now. Here it is.
[27:46.000 --> 27:50.000]  Why would someone do this? Every day, they're getting briefings on intelligence.
[27:51.000 --> 27:54.000]  Their briefer chooses what they're briefed on, including Ambassador Rice.
[27:55.000 --> 28:01.000]  In those briefings, an official such as Rice might say to further understand it, I'd like to know who those names are.
[28:02.000 --> 28:03.000]  Stop right there.
[28:04.000 --> 28:05.000]  Just back it up again. I'm going to start over.
[28:05.000 --> 28:14.000]  Do you understand, you've got Anderson Cooper of the left wing Ford Foundation, CIA arm, the literal enemy of this country, that subgroup in the CIA.
[28:15.000 --> 28:24.000]  And you've got this other clown next to him, whose cult is out to create a centralized system of control so they can be in charge.
[28:25.000 --> 28:26.000]  Priest of power, priest of control freedom.
[28:27.000 --> 28:30.000]  And now they've been telling us for months, we're totally insane, none of this existed.
[28:30.000 --> 28:34.000]  Oh, now it's just a small thing, unmasking in a meeting, no big deal.
[28:35.000 --> 28:41.000]  Yeah, you're going to spy on the president of the United States for your political party and go way beyond anything Nixon ever dreamed of.
[28:42.000 --> 28:45.000]  And you're now just going to act like, okay, you know, this really went on, but it's no big deal.
[28:46.000 --> 28:48.000]  Well, the rest of CNN saying it's a fake scandal.
[28:49.000 --> 28:50.000]  So get it straight.
[28:50.000 --> 28:59.000]  You got your gangster over there, Como, and you got the CIA thug right here, one of the major blue blood fortune owners, just as bad as the EU had.
[29:00.000 --> 29:01.000]  I mean, it's just unbelievable.
[29:02.000 --> 29:03.000]  I'm sorry, let's go the clip.
[29:04.000 --> 29:05.000]  Why would someone do this?
[29:06.000 --> 29:07.000]  Every day they're getting briefings on intelligence.
[29:08.000 --> 29:12.000]  They're briefer chooses what they're briefed on, including Ambassador Rice in those briefings.
[29:13.000 --> 29:18.000]  And officials such as Rice might say, to further understand it, I'd like to know who those names are.
[29:18.000 --> 29:23.000]  And that's why they would make that request, which then, as I said, has to be approved by the intelligence community.
[29:24.000 --> 29:25.000]  That's what I'm told.
[29:26.000 --> 29:38.000]  And again, to note by senior intelligence officials who were for both Democrats and Republicans, this appears to be a story largely ginned up partly as a distraction from this larger investigation.
[29:39.000 --> 29:45.000]  But I will say, Anderson, you're aware of this, the investigations continue, but particularly on the House side, there are now questions coming.
[29:46.000 --> 29:47.000]  We'll be back.
[29:47.000 --> 29:56.000]  And Republicans notice he said, oh, partly gender on the March, the empires on the run, Alex Jones and the GCN radio network.
[30:00.000 --> 30:05.000]  So after weeks, what is now the largest House Intelligence Committee investigation ever?
[30:06.000 --> 30:07.000]  We get this from Democratic head Adam Schiff.
[30:08.000 --> 30:10.000]  I don't think we can say anything definitely at this point.
[30:11.000 --> 30:15.000]  Schiff told Jake Tapper we're at the very early stages of the investigation, so they have nothing.
[30:15.000 --> 30:16.000]  They really have nothing.
[30:17.000 --> 30:21.000]  But let's go back in time to a time when the Democrats were back channeling with the Russians.
[30:22.000 --> 30:27.000]  Here's the headline, Ted Kennedy secretly asked the Soviets to intervene in the 1984 elections.
[30:28.000 --> 30:37.000]  According to Soviet documents unearthed in the 1990s, Kennedy literally asked the Soviets, about enemies of the U.S., to intervene on behalf of the Democratic Party in the 1984 elections.
[30:38.000 --> 30:39.000]  So what we have is another piece of evidence.
[30:39.000 --> 30:51.000]  Isn't it funny how we always see the Democrats pointing their finger, making accusations, and then when you do a little looking, it's always the Democrats that are the ones colluding, conniving, and backstabbing.
[30:52.000 --> 30:53.000]  I think Pat Buchanan said it best.
[30:54.000 --> 30:56.000]  They've been investigating this garbage for months.
[30:56.000 --> 31:21.000]  Rob, you're reporting for Infowars.com and Infowars Nightly News.
[31:26.000 --> 31:42.000]  That's why I'm a member of the young Jebedee team at InfowarsTeam.com and you can be too.
[31:43.000 --> 31:45.000]  It's simple, just go to InfowarsTeam.com today.
[31:46.000 --> 31:47.000]  Complete a short sign up and you're part of the team.
[31:48.000 --> 31:50.000]  That's InfowarsTeam.com or InfowarsHealth.com.
[31:50.000 --> 31:56.000]  So many people call into my radio show and tell me how young Jebedee and the products at InfowarsTeam.com have changed their lives.
[31:57.000 --> 31:58.000]  Check it out for yourself today.
[32:00.000 --> 32:03.000]  There was a mighty nation, rest above all of creation.
[32:04.000 --> 32:06.000]  Charlie Daniels, he's always loved America.
[32:07.000 --> 32:08.000]  Let me just read a little thing here.
[32:09.000 --> 32:12.000]  The American system of justice must be changed to conform to the rest of the world.
[32:13.000 --> 32:16.000]  Individual rights will have to take a backseat to the collective.
[32:16.000 --> 32:19.000]  Well, you know what the next move is going to be, don't you? It's going to be coming after you're done.
[32:20.000 --> 32:20.000]  Oh, yeah.
[32:21.000 --> 32:24.000]  I take it ain't going to sit well down my way at all. It ain't going to sit well.
[32:25.000 --> 32:28.000]  Do you ever wonder what happened to America? They lost. We won.
[32:29.000 --> 32:30.000]  Want to see what Trump's up against.
[32:31.000 --> 32:33.000]  It's time to ride, boss. We need a thousand paul with beers.
[32:34.000 --> 32:39.000]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[32:39.000 --> 32:48.000]  And beef was for supper. Revelation, dawn of global government, theatrical screenings on demand, DVDs now available.
[32:49.000 --> 32:52.000]  Starring Alex Jones, Charlie Daniels, Special Ops General, Jerry Boykin.
[32:53.000 --> 32:59.000]  Want to shed some tears over the red, white and blue? RevelationTheMovie.info. Let's fix it.
[32:59.000 --> 33:02.000]  When I grow up, I want to be a rock star.
[33:29.000 --> 33:35.000]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[33:36.000 --> 33:38.000]  You're listening to Alex Jones.
[33:45.000 --> 33:47.000]  Let me tell you the guest star today, ladies and gentlemen.
[33:48.000 --> 33:52.000]  Now that we're 33 minutes into global transmission, Roger Stone in about three minutes is going to be joining us from Florida
[33:52.000 --> 33:59.000]  with big breaking news that I can confirm with my sources as well about the fact there's only a few good people left in the White House.
[34:00.000 --> 34:02.000]  Trump is surrounded by enemies leaking everything.
[34:03.000 --> 34:05.000]  And we now know what happened with the healthcare bill.
[34:06.000 --> 34:09.000]  And so much more, we now know what's going on with Nunez and why they're targeting him.
[34:10.000 --> 34:15.000]  And we're going to be talking to Roger Stone, former head of the Trump campaign and Trump confidant in just a moment.
[34:16.000 --> 34:20.000]  Also, Lord Christopher Monkton, we have a young curse, one of the major heirs to the Nazi fortunes.
[34:20.000 --> 34:29.000]  The first or second most powerful Nazi family under Hitler who took over Luxembourg in World War II.
[34:30.000 --> 34:31.000]  He rules Luxembourg. He's the head of the unelected EU.
[34:32.000 --> 34:39.000]  He's threatened war with Europe, European countries war with the United States, economic war if we don't submit to him.
