[00:00:04.776 --> 00:00:06.758]  Worldwide transmission.
[00:01:52.704 --> 00:01:58.730]  Because everyone I talked to when I first covered this on Thursday and then Friday, I was getting emails, calls saying it doesn't exist.
[00:02:00.137 --> 00:02:03.558]  And then once I posted links to it existing, they're like, okay, well, and so what?
[00:02:03.558 --> 00:02:07.700]  That's not the whole point of this story.
[00:02:07.700 --> 00:02:09.440]  That's a small part.
[00:02:09.440 --> 00:02:24.446]  This all started last Wednesday when a rail gun, a Department of Defense run, cyclotron, superconducting supercollider weapon system blew up in Leander outside Austin, Texas, and a car a half mile away got hit by shrapnel and blew it up.
[00:02:25.103 --> 00:02:27.284]  But the Defense Department says everything's fine.
[00:02:27.284 --> 00:02:32.167]  The Army's running around out there with trucks and things, so everything's fine after all.
[00:02:32.167 --> 00:02:33.048]  These are nice people.
[00:02:33.048 --> 00:02:37.730]  I mean, they just nerve-gassed their own troops to death and test chemical and biologicals on them.
[00:02:37.730 --> 00:02:38.691]  So I say, you know what?
[00:02:38.691 --> 00:02:39.431]  I'm sick of this.
[00:02:39.431 --> 00:02:41.953]  Go show the secret projects they've got.
[00:02:42.873 --> 00:02:49.880]  The Bioweapons Labs, I told them where that was at, my crew, out in Bass Crop with the Monkey Lab and the Ape Lab.
[00:02:49.880 --> 00:02:59.068]  I said, go out to that Cyclotron Railgun, and I said, go show where the old reactor is still running, because it takes 40 years to even begin to turn it off.
[00:02:59.068 --> 00:03:02.271]  Go out and show that, and then go out and show the new one out at J.J.
[00:03:02.271 --> 00:03:04.414]  Pickle Center.
[00:03:04.414 --> 00:03:07.476]  They got a little reactor and a big one, big experimental facility.
[00:03:08.920 --> 00:03:22.750]  And one of our crew members, CJ, he says, well, Alex, my grandfather was the head of all of the maintenance, you know, all of the facilities at University of Texas at Austin.
[00:03:22.750 --> 00:03:24.731]  And there's this thing out on Redbud Trail.
[00:03:24.731 --> 00:03:27.733]  I never went there, but he says, you go over this hill, here's the spot.
[00:03:27.733 --> 00:03:29.755]  And they walled it up with these underground caves.
[00:03:29.755 --> 00:03:32.457]  And I was like, wait, that's where they've walled it up all over the country.
[00:03:32.457 --> 00:03:34.518]  Universities got caught doing this in the 50s, 60s, 70s, 80s, 90s.
[00:03:35.979 --> 00:03:40.341]  You gotta be kidding me, because back in the old days, they didn't get some place out in New Mexico in the desert.
[00:03:40.341 --> 00:03:43.402]  They would do it locally, out in a field or in a warehouse.
[00:03:43.402 --> 00:03:45.983]  They'd dig into the floor and cover it up.
[00:03:45.983 --> 00:03:48.104]  You know, these secret dump sites, I said, get out there.
[00:03:48.104 --> 00:03:50.745]  And sure enough, it's all walled off, the caves, the rest of it.
[00:03:50.745 --> 00:03:53.026]  It's a state preserve, right by the dam.
[00:03:53.026 --> 00:03:56.127]  It's got LBJ written all over it.
[00:03:56.127 --> 00:03:57.288]  Very credible info.
[00:03:57.288 --> 00:04:01.490]  That's the point we're saying there could be a dump.
[00:04:01.490 --> 00:04:03.831]  Our sources say there is.
[00:04:03.831 --> 00:04:04.151]  There.
[00:04:06.127 --> 00:04:09.526]  Hidden in these big limestone cave formations that they admit are there.
[00:04:10.640 --> 00:04:12.741]  And so that's the big story.
[00:04:12.741 --> 00:04:15.442]  That's the big report that's up at Infowars.com.
[00:04:15.442 --> 00:04:17.844]  You want to share the audio, you'll see the video.
[00:04:17.844 --> 00:04:19.765]  It's also on our big YouTube channel.
[00:04:19.765 --> 00:04:24.047]  Breaking massive nuclear secrets uncovered in Austin, Texas.
[00:04:24.047 --> 00:04:25.968]  That's what we're covering.
[00:04:25.968 --> 00:04:30.630]  And people have exposed stuff like this before and been murdered, been killed.
[00:04:30.630 --> 00:04:37.554]  I mean, I was looking into this after we broke the story of all the cases of people in Colorado and New York and New Jersey.
[00:04:38.354 --> 00:04:47.456]  Texas and you name it that report on secret dumps and get killed and we can't even get the public to realize First they say there's not reactors.
[00:04:47.456 --> 00:04:48.237]  Then they say okay.
[00:04:48.237 --> 00:04:48.757]  They're there.
[00:04:48.757 --> 00:04:49.937]  What's the big secret?
[00:04:49.937 --> 00:04:55.799]  That's not the point There's rail guns bioweapons reactors and reported secret dumps.
[00:04:55.799 --> 00:04:56.579]  That's coming up
[00:05:02.910 --> 00:05:11.015]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:11.015 --> 00:05:15.098]  Alex and his staff have used these pure soap products for years.
[00:05:15.098 --> 00:05:22.402]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:22.402 --> 00:05:25.224]  See them on the web at 5starsoap.com.
[00:05:25.424 --> 00:05:30.268]  Or call 800-340-7091 for a free catalog.
[00:05:30.268 --> 00:05:36.194]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:36.194 --> 00:05:41.619]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:41.619 --> 00:05:43.600]  This is an amazing deal.
[00:05:43.600 --> 00:05:48.825]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:05:48.825 --> 00:05:51.988]  See them on the web at 5starsoap.com or call
[00:05:52.508 --> 00:06:02.076]  800-340-7091 for a free catalog.
[00:06:02.076 --> 00:06:08.721]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:06:08.721 --> 00:06:11.704]  It's Alex Jones and the GCN Radio Network.
[00:06:25.526 --> 00:06:28.548]  We have a lot of massive news coming up today.
[00:06:28.548 --> 00:06:32.311]  You know a drone crashed a few days ago in Maryland.
[00:06:32.311 --> 00:06:42.800]  Now they're reporting that all over the country, but also the big report is again out of Fox News on the East Coast, people think it's UFOs now as Pentagon drones fly over the highways.
[00:06:43.180 --> 00:06:44.540]  I think it's aliens.
[00:06:44.540 --> 00:06:53.402]  And like the big surveillance blimps I've seen ABC News say, it must be an alien and it's a big blimp with no markings on it with propellers and cameras hanging off the bottom.
[00:06:53.402 --> 00:06:56.163]  Because government wouldn't be spying on you with big blimps.
[00:06:56.163 --> 00:07:02.444]  No, it must actually be ET, you know, visiting for Reese's Pieces or something.
[00:07:02.444 --> 00:07:05.505]  I mean, it's truly over-the-top ridiculous.
[00:07:05.785 --> 00:07:08.006]  That stuff like this is going on.
[00:07:08.006 --> 00:07:10.427]  We're going to be breaking that down.
[00:07:10.427 --> 00:07:13.268]  We're also researching right now the nuclear reactors.
[00:07:13.268 --> 00:07:15.229]  There's three of them in Austin.
[00:07:15.229 --> 00:07:20.871]  There's almost no news coverage of this, and a big story we're working on of where they've been dumping the waste.
[00:07:20.871 --> 00:07:27.754]  We're also going to be getting into the bizarre White House reaction to John Bryson's three hit-and-runs.
[00:07:27.754 --> 00:07:30.675]  Well, two hit-and-runs on one group and then another hit-and-run.
[00:07:31.275 --> 00:07:34.536]  A lot of bizarre behavior on that front.
[00:07:34.536 --> 00:07:42.939]  We're going to look at the ongoing meltdown in Europe and the incredible announcements that they're going to restrict ATM withdrawals and impose border checks.
[00:07:42.939 --> 00:07:48.221]  So people can come into the Euro, but when you try to leave, they're going to impose capital controls.
[00:07:48.221 --> 00:07:49.562]  TSA is already doing this.
[00:07:50.262 --> 00:07:51.943]  Trying to take people's silver and gold.
[00:07:51.943 --> 00:07:53.524]  Asking about wedding rings.
[00:07:53.524 --> 00:07:54.365]  This is in the news.
[00:07:54.365 --> 00:07:56.806]  Downloading what's on your laptop computers.
[00:07:56.806 --> 00:07:59.768]  Everything we've seen in third world dictatorships or Nazi Germany.
[00:07:59.768 --> 00:08:00.608]  It's amazing.
[00:08:00.608 --> 00:08:03.070]  Now in a moment we're going to a man who needs no introduction.
[00:08:03.070 --> 00:08:05.151]  Lew Rockwell of LewRockwell.com.
[00:08:05.151 --> 00:08:07.993]  Head of the Austrian School of Economics group.
[00:08:07.993 --> 00:08:10.154]  The Von Mies Institute.
[00:08:10.154 --> 00:08:12.936]  Just an amazing intellectual mind when it comes to research.
[00:08:12.936 --> 00:08:14.437]  Former Chief of Staff of Ron Paul.
[00:08:14.437 --> 00:08:15.217]  A great patriot.
[00:08:15.217 --> 00:08:16.338]  I want to get him on to look at
[00:08:16.718 --> 00:08:30.921]  Everything happening in the world, the big news issues, the wars, the Euro, the banker bailouts, and obviously out of the gates, get his take on Rand Paul's endorsement of Mitt Romney and why that's created such a firestorm and get his view on it.
[00:08:30.921 --> 00:08:36.382]  But before we do that, I wanted to play just about a minute clip of Ron Paul.
[00:08:36.382 --> 00:08:43.143]  And I think Ron Paul, when thinking if he should endorse Romney or not, and Tom Woods has talked about how dangerous that would be.
[00:08:44.283 --> 00:08:46.905]  I had the guy that Ron Paul endorsed four years ago.
[00:08:46.905 --> 00:08:49.126]  They had the Constitution Party at the time.
[00:08:49.126 --> 00:08:55.510]  That candidate, I had him on last night, Chuck Baldwin, to discuss it and he said, really bad move.
[00:08:55.510 --> 00:08:57.732]  Again, Rand can do what he wants, still a great guy.
[00:08:57.732 --> 00:09:01.314]  He's fighting drones and the police state and all this other stuff.
[00:09:01.314 --> 00:09:06.677]  But if Ron Paul does that, wow, it would be like a nuclear bomb going off in the words of Chuck Baldwin.
[00:09:06.677 --> 00:09:06.917]  I agree.
[00:09:08.638 --> 00:09:13.840]  The inside intel if he's been talking to Ron on what's happening, where all this is going in a moment.
[00:09:13.840 --> 00:09:26.345]  But first, here is a short clip of Ron Paul when he was conceding that he was going to drop out in 2008 when he talked about endorsing the Constitution Party.
[00:09:26.345 --> 00:09:29.906]  Here he is explaining why when the McCain people called him
[00:09:30.726 --> 00:09:35.368]  He didn't take even their respectful call.
[00:09:35.368 --> 00:09:41.151]  He didn't take their pleas to endorse McCain as a lesser of two evils and he explains why.
[00:09:41.151 --> 00:09:44.212]  The full clip is up at InfoWars.com.
[00:09:44.212 --> 00:09:49.854]  The headline of the video is Ron Paul of 2012 should listen to Ron Paul of 2008.
[00:09:49.854 --> 00:09:51.215]  Here is a clip of that CNN press conference.
[00:09:58.052 --> 00:10:06.899]  The majority of the American people, even the recent polling shows that 60% of the American people are unhappy with their choices.
[00:10:06.899 --> 00:10:20.590]  If you take the total number of Americans and the percentage that register, then the percentage that vote, and then the percentage that vote for a candidate, you end up electing a president with 30-32% of the American people.
[00:10:21.550 --> 00:10:34.878]  And because they have been more or less conditioned to believe, well, the two Kennedys are different and we have to vote for the lesser of two evils, they end up voting, half the people who vote for the President are voting for the lesser of two evils!
[00:10:36.048 --> 00:10:45.293]  And so therefore, 16% of the American people essentially are saying, hey, I like this candidate, and they vote for the president.
[00:10:45.293 --> 00:10:58.500]  Yesterday, I had a phone call, the first phone call that I personally received or had received from anybody in the McCain candidacy, in his campaign.
[00:10:58.500 --> 00:11:05.044]  They called and it was a bit of a surprise to me because their request was that I endorse John McCain today.
[00:11:08.044 --> 00:11:15.550]  And, uh, I said, well, I don't like the idea of getting about 2 or 3 million people angry at me.
[00:11:15.550 --> 00:11:27.660]  So, uh, but they were serious, and it was a respectful call, and the argument was he would do a little less harm than the other candidate.
[00:11:29.063 --> 00:11:34.206]  And, you know, we just don't need to do that anymore.
[00:11:34.206 --> 00:11:39.688]  You know, in 19... I believe it was 1988... Okay, that's enough.
[00:11:39.688 --> 00:11:45.471]  He goes on for seven more minutes explaining why in a down-to-earth, common-sense fashion.
[00:11:45.471 --> 00:11:48.032]  So this is why there was horror at RAND.
[00:11:48.032 --> 00:11:49.213]  We're not saying RAND's bad.
[00:11:49.733 --> 00:11:57.536]  But then some of the campaign type operatives, people that admit they don't want Campaign for Liberty being involved in foreign affairs or being against foreign intervention.
[00:11:57.536 --> 00:12:05.918]  Well, that's the heart of what makes Ron Paul so good, is that when everybody's laughing at him and they have an audience set to attack him, and they say, aren't you for the wars?
[00:12:05.918 --> 00:12:07.499]  And Giuliani goes after him.
[00:12:07.499 --> 00:12:09.019]  He says, no, I'm not.
[00:12:09.019 --> 00:12:10.620]  That's what's so great about Ron Paul.
[00:12:11.360 --> 00:12:14.963]  So Rand starts going for sanctions, something his dad says is an act of war.
[00:12:14.963 --> 00:12:18.767]  We turn and look the other way because Rand overall is good.
[00:12:18.767 --> 00:12:20.108]  Then he does this endorsement.
[00:12:20.108 --> 00:12:28.235]  I understand that Rand is not Ron, but the machinery of Campaign for Liberty is behind Rand and going with the Rand brand.
[00:12:28.235 --> 00:12:36.382]  So we are saying, as the people that brought them to the party, because Ron Paul is such an amazing person and people like Lou Rockwell as well, they're helping him for decades, 30, 40 years.
[00:12:37.443 --> 00:12:42.369]  That we're allowed to say, hey, we don't like the direction things are starting to go in.
[00:12:42.369 --> 00:12:48.536]  I saw an editorial put up by one of their folks saying, you know, that we're dumb and that we need to learn two things to grow up.
[00:12:48.536 --> 00:12:50.438]  No, I have grown up politically.
[00:12:50.438 --> 00:12:55.004]  OK, now joining us is somebody who grew up a long time ago, and that's Lou Rockwell of lourockwell.com.
[00:12:55.004 --> 00:12:56.966]  Thank you for sitting while I went over that video.
[00:12:58.688 --> 00:13:03.490]  Lou, what is your take on all of this and the firestorm that has been created?
[00:13:03.490 --> 00:13:12.716]  I think overall it's good because it lets some of the forces, kind of the mainline Republicans, trying to take over Campaign for Liberty know that we the people aren't going to let that happen.
[00:13:12.716 --> 00:13:13.216]  What's your take?
[00:13:13.496 --> 00:13:21.742]  Well, first of all, the Ron Paul that we see in that clip from the last election is the same Ron Paul that I met in 1975.
[00:13:21.742 --> 00:13:23.504]  He's the same Ron Paul today.
[00:13:23.504 --> 00:13:24.304]  He's not changed.
[00:13:24.304 --> 00:13:29.608]  This is, of course, one of the things we love about him, because he is so consistent and his principles are unchanging.
[00:13:29.608 --> 00:13:36.934]  He's not going to endorse Mitt Romney any more than he endorsed George W. Bush, any more than he endorsed John McCain.
[00:13:36.934 --> 00:13:38.655]  These guys are all fascists.
[00:13:38.655 --> 00:13:43.319]  They're all in favor of all the wars and the police state.
[00:13:43.319 --> 00:13:43.599]  They're
[00:14:02.515 --> 00:14:04.877]  Could think otherwise about Ron Paul.
[00:14:04.877 --> 00:14:06.919]  He's got a very long record.
[00:14:06.919 --> 00:14:09.762]  He doesn't sell out.
[00:14:09.762 --> 00:14:11.264]  This is not Ron Paul.
[00:14:11.264 --> 00:14:13.586]  This is why, by the way, he's never had a big political career.
[00:14:14.369 --> 00:14:21.574]  You know, he doesn't do that, you scratch my back, I'll scratch yours, sort of thing of regular politics.
[00:14:21.574 --> 00:14:23.615]  He's not a regular politician.
[00:14:23.615 --> 00:14:24.916]  He's unique.
[00:14:24.916 --> 00:14:37.884]  And for those people who want to be involved in politics, I make an exception for Ron, but otherwise I think politics is a snare and a delusion and corrupt and corrupting and a horrible, it's part of the government after all, so therefore you know it's evil.
[00:14:37.884 --> 00:14:39.324]  But Ron Paul's never been part of that.
[00:14:50.845 --> 00:14:51.005]  I don't
[00:14:58.234 --> 00:14:58.614]  I think so.
[00:15:24.794 --> 00:15:25.794]  Nobody should think that.
[00:15:25.794 --> 00:15:27.134]  Nobody should worry about it.
[00:15:27.134 --> 00:15:38.917]  I know you're a classy guy and don't want to throw stones, but I really want to see Rand rethink this idea that we're going to change the mainline Republicans by compromising with them.
[00:15:38.917 --> 00:15:46.558]  I mean, I understand what he's saying intellectually, politically, but also I understand that that way leads to ruin.
[00:15:46.558 --> 00:15:49.018]  That's how you join the dark side.
[00:15:49.018 --> 00:15:52.359]  And what you said about Mitt Romney, I mean, he makes Bill Clinton look truthful.
[00:15:52.980 --> 00:15:57.836]  I mean he is such an incredible, not even a flip-flopper, he is a total deceiver.
[00:16:00.834 --> 00:16:05.255]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:16:05.255 --> 00:16:09.416]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:16:09.416 --> 00:16:13.418]  Every day, we document the attempts to take control of our lives.
[00:16:13.418 --> 00:16:15.618]  But there's one thing we can all control.
[00:16:15.618 --> 00:16:17.219]  Your greatest dependency.
[00:16:17.219 --> 00:16:17.979]  Food.
[00:16:17.979 --> 00:16:25.561]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:16:25.561 --> 00:16:28.102]  This food is nutrient-dense and tastes great.
[00:16:28.102 --> 00:16:29.402]  It's simple to make, portable,
[00:16:29.642 --> 00:16:32.143]  And has a shelf life of up to 25 years.
[00:16:32.143 --> 00:16:36.004]  Now with eFoodsDirect, you'll get the most affordable, best tasting food you can buy.
[00:16:36.004 --> 00:16:40.826]  To celebrate the beginning of summer, you can save 20% off their already affordable prices.
[00:16:40.826 --> 00:16:44.747]  This offer ends on June 20th, so take advantage of the summer savings now.
[00:16:44.747 --> 00:16:50.570]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex for specials.
[00:16:50.570 --> 00:16:52.150]  Don't let this offer pass you by.
[00:16:52.150 --> 00:16:54.131]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:16:57.552 --> 00:17:00.494]  More the best for less guaranteed.
[00:17:00.494 --> 00:17:05.978]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:17:05.978 --> 00:17:08.399]  Start purifying your water with ProPure.
[00:17:08.399 --> 00:17:17.505]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:17:17.505 --> 00:17:20.948]  Its filters are silver impregnated to prevent bacterial growth.
[00:17:20.948 --> 00:17:22.629]  There's no priming required.
[00:17:22.629 --> 00:17:24.910]  It's NSF 42 certified.
[00:17:24.910 --> 00:17:27.292]  Optional fluoride filters can reduce fluoride up to
[00:17:27.892 --> 00:17:28.172]  95%.
[00:17:28.172 --> 00:17:29.992]  Easy to set up and use.
[00:17:29.992 --> 00:17:31.413]  Doesn't require electricity.
[00:17:31.413 --> 00:17:34.573]  Purify water from lakes, streams, ponds, and wells.
[00:17:34.573 --> 00:17:37.954]  This filter system leaves in beneficial minerals, which is key.
[00:17:37.954 --> 00:17:42.095]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:17:42.095 --> 00:17:44.835]  ProPure is the best gravity-fed filter out there.
[00:17:44.835 --> 00:17:46.415]  It's what my family uses.
[00:17:46.415 --> 00:17:49.716]  Infowars.com already has the lowest price on ProPure.
[00:17:49.716 --> 00:17:55.557]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:17:55.557 --> 00:17:56.697]  You can also call to order.
[00:17:56.817 --> 00:17:56.857]  888-253-3139
[00:18:02.398 --> 00:18:10.502]  If you want an American company with American products made by Americans, here is the Cal-Ben Soap Company.
[00:18:10.502 --> 00:18:14.584]  Alex and his staff have used these pure soap products for years.
[00:18:14.584 --> 00:18:21.887]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:18:21.887 --> 00:18:25.309]  See them on the web at 5starsoap.com or call 800-340-5STARSOAP.
[00:18:27.490 --> 00:18:29.731]  Call 800-340-7091 for a free catalog.
[00:18:29.731 --> 00:18:35.674]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:18:35.674 --> 00:18:41.096]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:18:41.096 --> 00:18:43.077]  This is an amazing deal.
[00:18:43.077 --> 00:18:48.319]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:18:48.319 --> 00:18:51.521]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:19:00.100 --> 00:19:01.402]  Hi, this is Alex Jones.
[00:19:01.402 --> 00:19:06.988]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:19:06.988 --> 00:19:12.015]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:19:12.015 --> 00:19:17.061]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:19:17.581 --> 00:19:22.804]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:19:22.804 --> 00:19:29.907]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:19:29.907 --> 00:19:31.028]  And here's the best part.
[00:19:31.028 --> 00:19:37.391]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:19:37.711 --> 00:19:40.895]  So visit them today at survivalseedbank.com.
[00:19:40.895 --> 00:19:43.137]  That's survivalseedbank.com.
[00:19:43.137 --> 00:19:43.918]  Or give them a call at 877-327-0365.
[00:19:43.918 --> 00:19:44.218]  That's 877-327-0365.
[00:19:44.218 --> 00:19:47.702]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:19:47.702 --> 00:19:49.444]  This is Alex Jones for survivalseedbank.com.
[00:20:01.656 --> 00:20:05.239]  Coast to coast, direct from Austin.
[00:20:05.239 --> 00:20:18.989]  You're listening to the Alex Jones Broadcasting Network.
[00:20:18.989 --> 00:20:25.394]  Defending the republic from enemies foreign and domestic, it's Alex Jones.
[00:20:29.574 --> 00:20:33.335]  In a moment, we're going to play another clip from that video.
[00:20:33.335 --> 00:20:37.737]  Ron Paul of 2012 needs to listen to Ron Paul of 2008.
[00:20:37.737 --> 00:20:45.300]  And I rarely have a Ron Paul clip, or I don't think ever, and then piggyback on it selling something.
[00:20:45.300 --> 00:20:47.361]  But knowledge is power.
[00:20:47.361 --> 00:20:48.021]  It's win-win.
[00:20:48.021 --> 00:20:49.842]  We promote what we believe in.
[00:20:49.842 --> 00:20:55.264]  You fund us with your PrisonPlanet.tv memberships to see the nightly news and video of the daytime show.
[00:20:56.304 --> 00:21:10.372]  Uh, buying the high-quality water filters like Pro-Pure and getting 10% discount with promo code WATER at Infowars.com or Infowarsshop.com, supporting our online sponsors, our radio sponsors, buying the books, the videos, the t-shirts.
[00:21:10.372 --> 00:21:14.254]  We don't come with a gun and make you listen to the show or buy the products.
[00:21:14.254 --> 00:21:19.357]  And that's why the mainstream media, Nightline, MSNBC, whenever they're here, they're like, you make money!
[00:21:19.697 --> 00:21:23.541]  I'm like, well, I didn't get a bank or bailout like NBC got.
[00:21:23.541 --> 00:21:27.224]  $500 million, it was reported, over two years of bailout money.
[00:21:27.224 --> 00:21:29.727]  I'm just here selling high quality products I use.
[00:21:29.727 --> 00:21:31.248]  Again, that's how they operate.
[00:21:31.248 --> 00:21:32.209]  But that's a side issue.
[00:21:32.209 --> 00:21:42.419]  The point is, is that go to Infowars.com because Ron Paul talked about why you don't vote for the lesser of two evils and how Bill Clinton's mentor, Harold Quigley at Georgetown,
[00:21:42.759 --> 00:21:45.002]  wrote a book about the elite that he endorsed.
[00:21:45.002 --> 00:21:46.704]  They let him in the Bilderberg archives.
[00:21:46.704 --> 00:21:47.865]  Tragedy and Hope.
[00:21:47.865 --> 00:21:50.008]  It's back in print.
[00:21:50.008 --> 00:21:50.508]  He's dead.
[00:21:50.508 --> 00:21:53.492]  He's not glad it's back in print because they didn't want the public reading this.
[00:21:53.492 --> 00:21:55.474]  Available at InfoWars.com.
[00:21:55.474 --> 00:21:55.994]  Discounted.
[00:21:55.994 --> 00:21:57.837]  It gets a free citizen rule book with every order.
[00:21:58.457 --> 00:22:03.082]  And back in print, because they sold out all the ones that were printed back in the 70s.
[00:22:03.082 --> 00:22:14.013]  None Dare Call It Conspiracy, the book that crystallized my awakening at about 13 years old, when a couple of these were on the bookshelf, because one of my dad's John Birch Society buddies was always bringing them by.
[00:22:14.614 --> 00:22:16.236]  And I pulled it off the shelf and read it.
[00:22:16.236 --> 00:22:27.328]  I'd already read so much history, I was kind of a bookworm slash jock, but the point is that it all made sense and that's what created much of who Alex Jones is today.
[00:22:27.328 --> 00:22:31.192]  It's back in print, a new lovely little edition, $14 at InfoWars.com.
[00:22:33.835 --> 00:22:36.057]  Today or infowarshop.com or call 888-253-3139.
[00:22:36.057 --> 00:22:36.177]  888-253-3139.
[00:22:36.177 --> 00:22:37.959]  You can also write to us at P.O.
[00:22:37.959 --> 00:22:38.640]  Box 19549 Austin, TX 78760.
[00:22:38.640 --> 00:22:40.481]  Let's play a minute or so of Ron Paul talking about
[00:22:52.512 --> 00:22:59.935]  Tragedy and hope and what Carol Quigley said about the lesser of two evils and how the system tries to control the left and the right.
[00:22:59.935 --> 00:23:09.799]  And then we'll get the take on that from iconic libertarian and, I guess, anarchic capitalist, you could call him, Lew Rockwell, here in just a moment.
[00:23:09.799 --> 00:23:18.823]  But here's Ron Paul from his concession speech or what have you, talking about would he join a third party back in 2008.
[00:23:18.823 --> 00:23:20.884]  He didn't endorse John McCain.
[00:23:20.884 --> 00:23:21.264]  Here it is.
[00:23:21.764 --> 00:23:37.658]  You know, quite a few years ago, I think it was when Bill Clinton was inaugurated, was in one of his speeches, he recognized one single individual as being very important to him philosophically.
[00:23:38.779 --> 00:23:44.082]  And that was a bit of a surprise because I knew about the individual.
[00:23:44.082 --> 00:23:47.024]  And some of you may know about him, but it's worth looking into.
[00:23:47.024 --> 00:23:48.845]  And his name was Carol Quigley.
[00:23:48.845 --> 00:23:51.486]  He wrote the book, Tragedy and Hope.
[00:23:51.486 --> 00:24:01.672]  Now, the important part of Tragedy and Hope and Carol Quigley is that he claims that he was on the inside and part of the group
[00:24:02.757 --> 00:24:05.658]  That, you know, did the planning.
[00:24:05.658 --> 00:24:10.899]  But why did he write tragedy and hope to expose these people behind the scenes?
[00:24:10.899 --> 00:24:19.061]  Because he believed they were far enough advanced, they didn't have to be secret, they could be out in the open, and this is the way it works.
[00:24:19.061 --> 00:24:24.622]  It's a tragedy if you don't accept this, and there's hope if you know who runs the show.
[00:24:24.622 --> 00:24:27.382]  That's my interpretation, but I believe it's correct.
[00:24:27.382 --> 00:24:29.963]  But let me read a quote from him.
