[00:00:00.394 --> 00:00:00.857]  We've got it!
[00:03:13.024 --> 00:03:17.208]  I'm legendary for that, really discovering, and I'm sure others have discovered it as well.
[00:03:17.208 --> 00:03:23.274]  This, though, got so loud that it was causing me to have migraine headaches, and I would have to go lay down on the ground.
[00:03:23.274 --> 00:03:24.715]  I mean, it was so loud.
[00:03:24.715 --> 00:03:25.977]  Charlie Skelton, The Guardian.
[00:03:27.073 --> 00:03:28.614]  He said that he had to get away from it.
[00:03:28.614 --> 00:03:36.738]  And we were shaking the windows of it, because the one area where they have the conference area is the one area that sticks off the property to like 40 feet from the street.
[00:03:36.738 --> 00:03:39.079]  They put up these big fences and black tarps.
[00:03:39.079 --> 00:03:41.381]  People ripped those down, by the way.
[00:03:41.381 --> 00:03:43.462]  And it was shaking the building.
[00:03:43.462 --> 00:03:45.643]  And the first day, the police were really nice.
[00:03:45.643 --> 00:03:49.185]  Then some of the more younger people got there and yelled at them and stuff for no reason.
[00:03:49.185 --> 00:03:51.446]  Then they got a little bit abusive back.
[00:03:52.748 --> 00:03:56.990]  They were under orders, but by the time they all listened to my radio show, a lot of them were already listeners.
[00:03:56.990 --> 00:04:00.231]  We had them on video, and then they got in trouble saying they were.
[00:04:00.231 --> 00:04:02.212]  Nicest police I've ever seen anywhere.
[00:04:02.212 --> 00:04:03.993]  They're in Roanoke, Virginia.
[00:04:03.993 --> 00:04:04.654]  The county there.
[00:04:04.654 --> 00:04:08.435]  Yeah, Fairfax County.
[00:04:08.435 --> 00:04:10.836]  I just called it Roanoke because that's where we're from.
[00:04:10.836 --> 00:04:11.877]  Man, my brain is fried.
[00:04:11.877 --> 00:04:12.917]  Fairfax County Police.
[00:04:16.564 --> 00:04:19.005]  Then today, we were saying, who supports the Constitution?
[00:04:19.005 --> 00:04:19.805]  They're raising their hands.
[00:04:19.805 --> 00:04:21.226]  Who doesn't like those globalists in there?
[00:04:21.226 --> 00:04:23.126]  They're raising their hands.
[00:04:23.126 --> 00:04:24.727]  It was amazing.
[00:04:24.727 --> 00:04:27.128]  The police were looking into the Logan Act.
[00:04:27.128 --> 00:04:31.850]  They had iPads out looking at Bilderberg's statements and quotes about world government.
[00:04:31.850 --> 00:04:39.212]  And I would tell the cops, look up the UN telling Congress three months ago they now run the US military.
[00:04:39.212 --> 00:04:42.874]  The cops looked it up and were freaking out, as they should.
[00:04:44.034 --> 00:04:45.535]  And they were looking up all the names.
[00:04:45.535 --> 00:04:47.576]  They were investigating, like we do.
[00:04:47.576 --> 00:04:50.398]  And by the end, they were absolutely on our side.
[00:04:50.398 --> 00:04:52.299]  It was amazing.
[00:04:52.299 --> 00:04:53.359]  We'll be right back.
[00:04:53.359 --> 00:04:54.380]  Big news straight ahead.
[00:04:54.380 --> 00:04:54.740]  Stay with us.
[00:04:59.212 --> 00:05:03.578]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:05:03.578 --> 00:05:07.603]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:05:07.603 --> 00:05:11.649]  Every day, we document the attempts to take control of our lives.
[00:05:11.649 --> 00:05:13.851]  But there's one thing we can all control.
[00:05:13.851 --> 00:05:15.373]  Your greatest dependency.
[00:05:15.373 --> 00:05:15.674]  Food.
[00:05:16.094 --> 00:05:23.618]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:05:23.618 --> 00:05:26.159]  This food is nutrient-dense and tastes great.
[00:05:26.159 --> 00:05:30.101]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:05:30.101 --> 00:05:33.683]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:05:33.983 --> 00:05:36.584]  And the new products and pricing will blow you away.
[00:05:36.584 --> 00:05:41.446]  Compared to other food sources including home-cooked meals, you can cut your food cost in half.
[00:05:41.446 --> 00:05:43.426]  You just can't afford to ignore this.
[00:05:43.426 --> 00:05:49.068]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:05:49.068 --> 00:05:50.588]  Don't let this offer pass you by.
[00:05:50.588 --> 00:05:52.689]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:05:52.689 --> 00:05:53.890]  More the best, for less guaranteed.
[00:06:03.248 --> 00:06:09.811]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.811 --> 00:06:21.355]  If you are receiving this transmission, you are the resistance.
[00:06:21.355 --> 00:06:29.999]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:34.705 --> 00:06:39.026]  It is Sunday, the 3rd of June, 2012.
[00:06:39.026 --> 00:06:43.707]  We're going to be here for the next two hours.
[00:06:43.707 --> 00:06:57.551]  If my voice is even more frog-like than normal, it is because I have been bullhorning probably five to six hours a day for the last four days, four and a half days or so.
[00:06:58.815 --> 00:07:04.860]  And the folks always ask, Alex, why is your voice so deep and scratching and gravelly?
[00:07:04.860 --> 00:07:11.005]  I did not have that deep of a voice as you can hear on my radio show of your tapes of 17 years ago.
[00:07:11.005 --> 00:07:12.326]  It was there.
[00:07:12.326 --> 00:07:15.469]  The intense screaming at demonstrations and bullhorning.
[00:07:16.340 --> 00:07:18.261]  And I guess not being voice trained is the reason.
[00:07:18.261 --> 00:07:23.583]  So I guess in a way, no weapon formed against us shall prosper because it is a signature voice.
[00:07:23.583 --> 00:07:27.324]  That of an 80-year-old man, I guess, and folks like it.
[00:07:27.324 --> 00:07:28.745]  Enough of that, though.
[00:07:28.745 --> 00:07:34.167]  Just letting you know why I'm a little bit deeper in the octave here today.
[00:07:34.167 --> 00:07:44.091]  We are going to have open phones in the first hour for the thousands, thousands of people that came to Chantilly, Virginia
[00:07:45.202 --> 00:07:47.124]  through Wednesday right through this afternoon.
[00:07:47.124 --> 00:07:58.655]  I've now gotten in the InfoWars command bus and we have pointed it south and we'll point it west on our trek back to Tejas, back to our beloved Texas.
[00:07:58.655 --> 00:08:05.883]  But it's just wonderful to meet the people from all over the U.S., Canada, Germany, England that came, Mexico.
[00:08:06.653 --> 00:08:09.277]  Uh, that came to the Bilderberg event.
[00:08:09.277 --> 00:08:11.079]  We totally devastated it.
[00:08:11.079 --> 00:08:22.635]  I'm going to go over that, why that's important, the massive international news coverage, the massive coverage here, the Washington Post, for the first time in its history, because they were the only media allowed in back in the 50s, that they're part of it.
[00:08:23.496 --> 00:08:32.722]  Reported on Bilderberg, but didn't point out that they've been part of it throughout history Just that oh by the way our owner got invited this year, so they did do that Leningradian.
[00:08:32.722 --> 00:08:43.289]  I don't know seven eight big reports The post got published in hundreds of newspapers the Associated Press or republished Covered it obviously that's in thousands.
[00:08:43.289 --> 00:08:52.896]  This is devastating They want to keep it a secret because there have been multiple There were what indictments and stuff that the Prince Bernhardt got away with it and got out of the country the guy that started it the Nazi
[00:08:53.936 --> 00:09:08.846]  Uh, the Lockheed Martin scandal in the 70s, Hillary got fined 300 plus grand, that's $335,000 back in 94 for being in a meeting, a Bilderberg meeting, and got caught discussing with big insurance companies how to scam folks with her health care plan.
[00:09:09.710 --> 00:09:11.031]  Claiming it was socialist health care.
[00:09:11.031 --> 00:09:12.652]  I'm not even for that, but it was worse than that.
[00:09:12.652 --> 00:09:19.518]  It was corporatist where the insurance companies control the care, cut back what you can get, but charge you more and make you buy it.
[00:09:19.518 --> 00:09:21.780]  That's why the insurance companies wrote Obamacare.
[00:09:21.780 --> 00:09:24.482]  And the big companies of course were all exempt.
[00:09:24.482 --> 00:09:27.864]  So that's unjust weights and measures.
[00:09:27.864 --> 00:09:33.269]  We're going to be breaking all that down today, but I want to hear from people that were at Bilderberg
[00:09:35.199 --> 00:09:35.639]  This year.
[00:09:35.639 --> 00:09:48.646]  I also found out that the SWAT team have been listeners of the Fairfax County Virginia Police Department since I was there four years ago.
[00:09:48.646 --> 00:09:49.906]  They found out about the show.
[00:09:49.906 --> 00:09:52.708]  They had it at the same Marriott Conference Luxury Center.
[00:09:53.479 --> 00:09:57.641]  And the police found out about us then, and then the entire SWAT team became listeners.
[00:09:57.641 --> 00:09:59.002]  I was told by one member of the SWAT team.
[00:09:59.002 --> 00:10:04.745]  I later ran into another one who was out there for riot control and was like, you know, hey, we love the show, blah, blah, blah.
[00:10:04.745 --> 00:10:10.127]  Yeah, you know, don't cross the street again or I'm going to get fired if I don't arrest you.
[00:10:10.127 --> 00:10:12.168]  But then I just said, OK, arrest us.
[00:10:12.168 --> 00:10:17.311]  And they had to stop that because I looked up the law and said, your commander cannot tell you to not let us cross the street here.
[00:10:18.168 --> 00:10:21.570]  Because I went through the code with them and they said, we know, we know.
[00:10:21.570 --> 00:10:22.350]  Tell them that.
[00:10:22.350 --> 00:10:24.512]  So a lot of stuff happened.
[00:10:24.512 --> 00:10:25.212]  It was wild.
[00:10:25.212 --> 00:10:28.454]  The police by the end totally came over to our side.
[00:10:28.454 --> 00:10:32.296]  We'd say, raise your hands if you're against the globalists in there.
[00:10:32.296 --> 00:10:36.118]  On video, on live feeds, raise your hand if you support the Constitution against the New World Order.
[00:10:36.118 --> 00:10:37.159]  They raised their hands.
[00:10:37.159 --> 00:10:42.802]  It was like inches from Ceausescu in Romania when the police and military turned on the dictator and well, you know what happened.
[00:10:43.482 --> 00:10:44.963]  I mean, it's really happening, folks.
[00:10:44.963 --> 00:11:02.873]  And the police kept seeing, like, Chinese ambassadors and stuff coming out, and it's well-known China announced in mainstream news in the Washington Post two weeks ago that they're buying up TV, radio, movie production houses, theater chains, biggest one in the country, and they said to influence American media.
[00:11:03.673 --> 00:11:17.940]  A year ago, or a year and a half ago, Red Dawn, the new sequel, or it's a remake, didn't come out because it depicts the Chinese government invading with Latin America, which is actually one of their battle plans that's been on the books, that's been leaked.
[00:11:17.940 --> 00:11:20.521]  And they had to go back and just stop the movie.
[00:11:20.521 --> 00:11:22.382]  It may not even be released last time I checked.
[00:11:22.382 --> 00:11:28.805]  They're making them re-edit it and re-shoot and put in with CG that it's North Koreans invading, which is laughable.
[00:11:28.805 --> 00:11:29.266]  They can't even
[00:11:30.186 --> 00:11:32.827]  It was all Western investment, built China up.
[00:11:32.827 --> 00:11:38.668]  North Korea doesn't have cars that they didn't buy in the 50s, you know, that are US or Russian made.
[00:11:38.668 --> 00:11:41.789]  They have electricity in what, about 8% of the country.
[00:11:41.789 --> 00:11:46.670]  They kill millions every decade, literally eating humans, cannibalism, the government does.
[00:11:46.670 --> 00:11:48.070]  Look it up if you don't believe that.
[00:11:48.070 --> 00:11:50.491]  True Stranger than Fiction is totally insane.
[00:11:50.491 --> 00:11:53.691]  That's what total government is, total hell.
[00:11:53.691 --> 00:11:56.732]  And so we have all of that situation unfolding.
[00:11:57.947 --> 00:12:02.389]  But to watch the police, this is a big story, because this is happening all over the country.
[00:12:02.389 --> 00:12:04.870]  I've already seen it happening with the military.
[00:12:04.870 --> 00:12:05.610]  The numbers are there.
[00:12:05.610 --> 00:12:07.051]  We've seen the polls.
[00:12:07.051 --> 00:12:14.914]  Well, I mean, a great one is 70 plus percent of all military donations to all candidates, Republican and Democrat, for president went to Ron Paul.
[00:12:14.914 --> 00:12:17.875]  I mean, what does that tell you?
[00:12:17.875 --> 00:12:20.316]  The average number is 72 percent.
[00:12:20.316 --> 00:12:23.497]  At one point it was 76, but if you aggregate it all together, it's 72, 73.
[00:12:23.497 --> 00:12:26.258]  Right there, shows they're awake.
[00:12:28.905 --> 00:12:35.477]  Ron Paul talks about the New World Order, Global Government, Private Federal Reserve, Bilderberg Grip, false flags, everything.
[00:12:35.477 --> 00:12:39.605]  And I've told you now all over the country the police are waking up.
[00:12:39.605 --> 00:12:41.268]  And I've noticed the more professional
[00:12:42.897 --> 00:13:00.763]  uh... the better the training of the uh... the better the posture of the police everything about them the more their listeners now you go to new york or something folks and some of the police are listeners and the guys got their shirts tucked in it is big pot belly guys with their hats on crooked smoking cigars and cigarettes i've shot video of this
[00:13:01.363 --> 00:13:05.127]  Screaming at people, yelling at nice families that ask for directions.
[00:13:05.127 --> 00:13:09.031]  I mean, it is a lawless crew of thugs.
[00:13:09.031 --> 00:13:09.912]  It's a gang.
[00:13:09.912 --> 00:13:11.634]  Of course, the original gang in New York was the police.
[00:13:11.634 --> 00:13:13.056]  That's in history books.
[00:13:13.056 --> 00:13:14.757]  I guess it never changed.
[00:13:14.757 --> 00:13:17.000]  And they pick on the cops and aren't corrupt.
[00:13:17.000 --> 00:13:18.441]  It is just total thuggism.
[00:13:20.700 --> 00:13:25.008]  Are just incredibly rude to the tourists, you name it, everybody's experienced it.
[00:13:25.008 --> 00:13:26.692]  And it's getting worse and worse.
[00:13:26.692 --> 00:13:27.493]  It's getting worse and worse.
[00:13:27.493 --> 00:13:31.340]  And now Bloomberg says he's going to ban all 16 ounce and above drinks.
[00:13:33.203 --> 00:13:33.503]  I don't
[00:13:55.069 --> 00:13:57.270]  Then it's like, oh, everybody's getting sick.
[00:13:57.270 --> 00:13:58.451]  GMO and all this.
[00:13:58.451 --> 00:14:00.812]  Don't worry, we'll just tell you can't have red meat.
[00:14:00.812 --> 00:14:02.233]  They're now saying that.
[00:14:02.233 --> 00:14:03.994]  They're saying they're going to restrict how much you can buy.
[00:14:03.994 --> 00:14:04.635]  I'm not kidding.
[00:14:04.635 --> 00:14:06.216]  Look it up.
[00:14:06.216 --> 00:14:08.317]  Salt, all these things.
[00:14:08.317 --> 00:14:12.439]  But meanwhile, they want to put statin in the water and make kids take it when it literally eats your brain.
[00:14:12.439 --> 00:14:14.400]  I mean, look it up, ladies and gentlemen.
[00:14:14.400 --> 00:14:16.602]  Total control freakism.
[00:14:16.602 --> 00:14:17.762]  I know I talked about this Friday.
[00:14:17.762 --> 00:14:20.084]  I talked about it right through the trip.
[00:14:21.155 --> 00:14:29.062]  This week, all the big Canadian papers are saying that they want to start arresting people that don't believe in man-made global warming.
[00:14:29.062 --> 00:14:33.066]  Well, another Commonwealth country, Australia, you can look this up.
[00:14:33.066 --> 00:14:38.971]  Australia is to be fined $1.1 million and then arrested, the second offense, $1.1 million, folks.
[00:14:38.971 --> 00:14:42.354]  That's, I forget the ratio, but that's a lot of money.
[00:14:42.354 --> 00:14:44.616]  It's close to a million bucks, you ask her.
[00:14:44.616 --> 00:14:46.057]  But if you go, I mean, look this up.
[00:14:46.057 --> 00:14:47.178]  I can't even believe it's this bad.
[00:14:47.999 --> 00:14:55.384]  Uh, and they say in there that if you criticize or talk bad about the carbon tax, 1.1 million Australian fine.
[00:14:55.384 --> 00:14:56.985]  And then jail time.
[00:14:56.985 --> 00:14:59.186]  And the headline said, carbon cops.
[00:14:59.186 --> 00:15:00.467]  It has them quoted.
[00:15:00.467 --> 00:15:03.169]  Yes, we'll be in cafes and on the street everywhere.
[00:15:03.169 --> 00:15:04.210]  And if you criticize it...
[00:15:05.233 --> 00:15:06.034]  You'll be fined.
[00:15:06.034 --> 00:15:10.937]  I mean, ladies and gentlemen, it's a 50% tax on all the raw materials.
[00:15:10.937 --> 00:15:12.799]  It is going to devastate Australia.
[00:15:12.799 --> 00:15:15.701]  But all the big boy insiders, they're exempt.
[00:15:15.701 --> 00:15:17.543]  That was being discussed at Bilderberg.
[00:15:17.543 --> 00:15:23.107]  We're going to cover it all when we come back from break, and then at the bottom of the hour, I'm going to start taking your calls right into the second hour.
[00:15:23.107 --> 00:15:32.554]  And we're going to get an update from Ride the Shotgun here with me, one of the hosts of InfoWars Nightly News, 7 o'clock Central, weeknights at PrisonPlanet.tv.
[00:15:32.554 --> 00:15:33.155]  Aaron Dykes.
[00:15:34.411 --> 00:15:35.672]  He's going to give you his perspective.
[00:15:35.672 --> 00:15:36.752]  I have no idea what he's going to talk about.
[00:15:36.752 --> 00:15:40.775]  I'm going to throw him on air because I want to hear his views of Bilderberg and his perspectives.
[00:15:40.775 --> 00:15:46.158]  But we know who the elite want Mitt Romney to take as his VP.
[00:15:46.158 --> 00:15:50.041]  We'll give you that intel on the other side.
[00:15:50.041 --> 00:15:53.943]  We'll give you a lot of other inside stuff from our moles.
[00:15:53.943 --> 00:15:55.704]  Remember, we knew the code name a month before.
[00:15:55.704 --> 00:15:57.826]  Palm Tree Conference.
[00:15:57.826 --> 00:15:59.807]  The photos we got, the latest on Ron Paul.
[00:16:00.759 --> 00:16:07.381]  When you're out on the road, the last place you want to be is on the road.
[00:16:07.381 --> 00:16:12.522]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:16:12.522 --> 00:16:21.245]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:16:21.245 --> 00:16:25.306]  They sew pride in every stitch.
[00:16:25.306 --> 00:16:27.607]  Guarantee you'll love the way they fit.
[00:16:29.742 --> 00:16:34.324]  They put a Diamond Gusset in the crotch where you need it most.
[00:16:34.324 --> 00:16:38.165]  Blue Diamond Gussets got it.
[00:16:38.165 --> 00:16:39.406]  Others don't.
[00:16:39.406 --> 00:16:41.547]  We turn jeans inside out.
[00:16:41.547 --> 00:16:43.328]  Diamond Gusset Jeans.
[00:16:43.328 --> 00:16:46.229]  Made in the USA with unparalleled quality.
[00:16:46.229 --> 00:16:50.450]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:16:50.450 --> 00:16:52.851]  So you can ride all day with confidence.
[00:16:52.851 --> 00:16:55.552]  Order yours at gusset.com.
[00:16:55.552 --> 00:16:57.913]  Diamond Gusset Jeans got it.
[00:16:57.913 --> 00:16:58.414]  Others don't.
[00:16:59.944 --> 00:17:05.448]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:17:05.448 --> 00:17:07.849]  Start purifying your water with ProPure.
[00:17:07.849 --> 00:17:16.955]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:17:16.955 --> 00:17:20.417]  Its filters are silver impregnated to prevent bacterial growth.
[00:17:20.417 --> 00:17:22.098]  There's no priming required.
[00:17:22.098 --> 00:17:24.360]  It's NSF 42 certified.
[00:17:24.360 --> 00:17:26.881]  Optional fluoride filters can reduce fluoride up to 95%.
[00:17:27.942 --> 00:17:29.462]  Easy to set up and use.
[00:17:29.462 --> 00:17:30.883]  Doesn't require electricity.
[00:17:30.883 --> 00:17:34.044]  Purify water from lakes, streams, ponds, and wells.
[00:17:34.044 --> 00:17:37.424]  This filter system leaves in beneficial minerals, which is key.
[00:17:37.424 --> 00:17:41.566]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:17:41.566 --> 00:17:44.306]  ProPure is the best gravity-fed filter out there.
[00:17:44.306 --> 00:17:45.867]  It's what my family uses.
[00:17:45.867 --> 00:17:49.188]  Infowars.com already has the lowest price on ProPure.
[00:17:49.188 --> 00:17:54.449]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:17:55.029 --> 00:17:58.612]  You can also call to order 888-253-3139.
[00:17:58.612 --> 00:18:04.176]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:18:04.176 --> 00:18:08.519]  Number one, new climate legislation could easily double or triple your electric bill.
[00:18:08.519 --> 00:18:14.263]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:18:14.263 --> 00:18:19.567]  It's true, total government control of electricity in the name of smart grid technology is coming.
[00:18:19.867 --> 00:18:20.688]  Number 3.
[00:18:20.688 --> 00:18:24.293]  In some areas of the country, the power grid is dangerously overloaded.
[00:18:24.293 --> 00:18:28.198]  And now, new socialist legislation is only compounding the problem.
[00:18:28.198 --> 00:18:28.999]  Number 4.
[00:18:28.999 --> 00:18:31.762]  Dangerous weather is always a threat to local grids.
[00:18:31.762 --> 00:18:35.107]  Every year, thousands of families lose their power from weather-related outages.
[00:18:35.427 --> 00:18:40.368]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[00:18:40.368 --> 00:18:45.409]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:18:45.409 --> 00:18:49.590]  You can get more information at www.mysolarbackup.com.
[00:18:49.590 --> 00:18:51.370]  That's mysolarbackup.com.
[00:18:51.370 --> 00:18:55.971]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[00:19:01.562 --> 00:19:09.687]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:19:09.687 --> 00:19:13.750]  Alex and his staff have used these pure soap products for years.
[00:19:13.750 --> 00:19:21.054]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:19:21.054 --> 00:19:23.896]  See them on the web at 5starsoap.com.
[00:19:24.076 --> 00:19:28.920]  Or call 800-340-7091 for a free catalog.
[00:19:28.920 --> 00:19:34.864]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:19:34.864 --> 00:19:40.268]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:19:40.268 --> 00:19:42.250]  This is an amazing deal.
[00:19:42.250 --> 00:19:47.494]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:19:47.494 --> 00:19:50.636]  See them on the web at 5starsoap.com or call
[00:19:50.776 --> 00:20:01.204]  800-340-7091 for a free catalog.
[00:20:01.204 --> 00:20:02.745]  Coast to Coast.
[00:20:02.745 --> 00:20:04.807]  Direct from Austin.
[00:20:04.807 --> 00:20:08.010]  You're listening to the Alex Jones Broadcasting Network.
[00:20:13.735 --> 00:20:14.736]  Big Brother.
[00:20:14.736 --> 00:20:16.397]  Mainstream media.
[00:20:16.397 --> 00:20:17.818]  Government cover-ups.
[00:20:17.818 --> 00:20:19.079]  You want answers?
[00:20:19.079 --> 00:20:21.141]  Well, so does he.
[00:20:21.141 --> 00:20:25.024]  It's Alex Jones on the GCN Radio Network.
[00:20:28.820 --> 00:20:36.863]  You know, there's one thing that'll get people to really wake up and get involved and fight tyranny, and that's their children.
[00:20:36.863 --> 00:20:39.564]  So many people I've talked to out there, I've said, why are you here?
[00:20:39.564 --> 00:20:41.825]  And they said, for my children, my grandchildren.
[00:20:41.825 --> 00:20:52.530]  They understand the globalists or eugenicists are incredibly wicked, are incredibly hateful towards humanity, have an idea in their minds that we're cattle, as all corrupt elites have throughout history.
[00:20:55.916 --> 00:20:58.877]  And I realize I do this because I love my children.
[00:20:58.877 --> 00:21:07.459]  I know that's a simple statement, but we all have to remember that, that this world is hurtling towards a very dystopic future.
[00:21:07.459 --> 00:21:17.181]  And I know my wife and children are listening because I was just talking to my wife and my three beautiful, wonderful, good children who are listening right now as they drive around Austin, Texas, listening to 590 AM KLBJ.
[00:21:21.325 --> 00:21:27.588]  Where I'll also be back tonight in the first hour of George Norris Coast to Coast AM, I should add, and stations all over the country.
[00:21:27.588 --> 00:21:31.150]  But I love you guys, and be good, and I can't wait to see you in a couple days.
[00:21:31.150 --> 00:21:36.853]  I won't drive too fast, but I want to get home to see you, and I love you, and you guys drive safe.
[00:21:36.853 --> 00:21:41.316]  All of you, my little sweetsie pies, all of you, I love you.
[00:21:43.567 --> 00:21:45.968]  I love you guys.
[00:21:45.968 --> 00:21:46.848]  All right, there you go.
[00:21:46.848 --> 00:21:55.131]  Shout out to my little sweetsies who I haven't seen in over a week and a half.
[00:21:55.131 --> 00:22:06.734]  I really feel sorry for our military to get to see their kids and then they get their houses foreclosed on falsely by people like Bank of America, who's openly been caught taking houses they're totally paid for.
[00:22:06.734 --> 00:22:08.295]  It's just incredible.
[00:22:09.401 --> 00:22:12.763]  I'm not getting into some mainstream media military kissing up.
[00:22:12.763 --> 00:22:16.566]  I'm talking about the military people who are on nuclear submarines, you name it.
[00:22:16.566 --> 00:22:19.368]  Don't get to see their family for six months, nine months.
[00:22:19.368 --> 00:22:20.869]  It just must be hellish.
[00:22:20.869 --> 00:22:28.214]  Or people that work up north in Alaska on those fishing boats or up there in the timber and only come in a few months out of the year.
[00:22:28.214 --> 00:22:29.254]  Wow.
[00:22:29.254 --> 00:22:32.977]  Because every time I leave my children, it's just having to work all the time.
[00:22:32.977 --> 00:22:35.158]  Come stay up at the office till 7, 8 at night a lot of the time.
[00:22:35.158 --> 00:22:38.180]  It's just they grow up and it's sad.
[00:22:39.601 --> 00:22:43.662]  But we do all of this for our children, and if we don't fight now, they have no future.
[00:22:43.662 --> 00:22:45.223]  Okay, enough of me.
[00:22:45.223 --> 00:22:45.783]  Love you guys.
[00:22:45.783 --> 00:22:47.183]  There's another listener.
[00:22:47.183 --> 00:22:48.684]  I just talked to him during the break.
[00:22:48.684 --> 00:22:51.365]  Let me give you the toll-free number if you were at Bilderberg this year.
[00:22:51.365 --> 00:22:58.107]  And the reason I got off into the whole cop segway, I'm going to tell that story later, was the police officers, a bunch of them, said they listened to the show.
[00:22:58.107 --> 00:23:04.789]  So if you're off duty, and you are part of the police department there,
