[00:00:01.002 --> 00:00:06.786]  And ladies and gentlemen, thank you for joining us on this February 11, 2018 Global Transmission.
[00:09:52.381 --> 00:09:55.503]  I spent a good hour today looking for it.
[00:09:55.503 --> 00:09:58.704]  And when I got here, the producer said, yeah, the bots have banned it everywhere.
[00:09:58.704 --> 00:09:59.945]  Even NBC has pulled it.
[00:10:01.548 --> 00:10:18.964]  And it's Pence not clapping during the North Korean delegation behavior, authoritarian parade, there in Seoul for the beginning of the Winter Olympics, and it's the sister of Kim Jong-un, the bloodthirsty dictator,
[00:10:19.605 --> 00:10:21.305]  Who's constantly threatening to nuke the U.S.
[00:10:21.305 --> 00:10:22.106]  and all this.
[00:10:22.106 --> 00:10:27.227]  And so they're there as part of a, quote, peace delegation because Trump's put pressure on them for the first time ever.
[00:10:27.227 --> 00:10:30.208]  A member of the ruling communist royal house.
[00:10:30.208 --> 00:10:31.308]  Communism is always royal.
[00:10:31.308 --> 00:10:34.009]  It's no form of royalty.
[00:10:34.009 --> 00:10:37.590]  It's the first time they've come to the table because they understand how much trouble they're in.
[00:10:37.590 --> 00:10:42.551]  NBC, ABC, CBS, CNN all praised her.
[00:10:43.829 --> 00:10:51.932]  And said she was glaring at Pence, and liberals said, oh, we hope she attacks Pence, and oh, she's so sexy, oh, she's so beautiful.
[00:10:51.932 --> 00:10:57.453]  And then when it blew up in their face, they began to remove the video.
[00:10:57.453 --> 00:11:01.494]  So we'll see by tomorrow if we can find it.
[00:11:01.494 --> 00:11:04.695]  We've got still shots of it up on Infowars.com.
[00:11:04.695 --> 00:11:12.418]  But it's not just that they're praising North Korea, our controlled media, over our vice president, over our own Olympic team.
[00:11:13.396 --> 00:11:16.917]  And saying how sexy she is, and ooh, the red carpet, and it's so beautiful.
[00:11:16.917 --> 00:11:27.880]  I mean, we've got the clips of them all fawning over her, but they had to pull most of those because it's got the video they don't want you to see.
[00:11:27.880 --> 00:11:34.041]  So... And I don't even know why they want it pulled.
[00:11:34.041 --> 00:11:37.882]  I mean, it's everybody clapping when they talk about Kim Jong-un, but Pence.
[00:11:37.882 --> 00:11:40.303]  Then it's her glaring at him, behind him.
[00:11:41.854 --> 00:11:46.278]  Look at this, Kim Jong Un's sister stealing the show at the Winter Olympics.
[00:11:46.278 --> 00:11:48.620]  Oh, oh my gosh!
[00:11:48.620 --> 00:11:59.430]  They keep more than half their population in slave camps and they admit that they quote, take babies like you take a chicken's eggs at birth, so they're not loyal to the family.
[00:11:59.430 --> 00:12:02.033]  Millions die every couple of years.
[00:12:02.033 --> 00:12:06.577]  They torture people to death like no one's ever seen and our media, I remember Lester Holt
[00:12:07.981 --> 00:12:14.346]  Well, as about a month ago got in trouble because he was repeating North Korean propaganda against Trump and our military and against South Korea.
[00:12:14.346 --> 00:12:16.928]  That's because the Clintons went and gave him the reactors.
[00:12:16.928 --> 00:12:18.770]  The Clintons gave him the missiles.
[00:12:18.770 --> 00:12:20.071]  I mean, this is globalist garbage.
[00:12:20.071 --> 00:12:20.811]  There it is.
[00:12:20.811 --> 00:12:25.915]  Embarrassment for NBC News after Lester Holt apparently falls for North Korean propaganda.
[00:12:25.915 --> 00:12:26.716]  It goes on.
[00:12:26.716 --> 00:12:32.060]  You could not support a worse regime living on the planet.
[00:12:32.060 --> 00:12:34.602]  Stalin and Hitler were as bad or worse.
[00:12:34.602 --> 00:12:35.943]  Per capita even killed more people.
[00:12:37.196 --> 00:12:39.697]  Probably not even as psychotically ridiculous.
[00:12:39.697 --> 00:12:43.757]  I mean, the North Koreans are under total slavery.
[00:12:43.757 --> 00:12:53.359]  And to see Hollywood, and oh, there's all these articles, so many of them with Hollywood tweeting and saying, oh, good going, girl.
[00:12:53.359 --> 00:12:55.700]  Man, we wish you'd kick Pence off the podium.
[00:12:55.700 --> 00:12:58.380]  I mean, it's everywhere.
[00:12:58.380 --> 00:13:01.361]  But the media thought, the controlled media thought they could promote
[00:13:03.174 --> 00:13:12.242]  North Korea like it was good and Trump was bad and Pence was bad, but when it blew up within about six hours, the footage is all gone.
[00:13:12.242 --> 00:13:17.066]  Which shows how arrogant they are, how they launch this type of stuff and then pull it back.
[00:13:18.467 --> 00:13:25.028]  If you ever wanted to know who runs our country, and the type of criminals that are in charge, who are being removed, and why they're so upset, this is an example.
[00:13:25.028 --> 00:13:27.729]  So Leanne McAdoo put together a little short piece.
[00:13:27.729 --> 00:13:29.909]  It's on Infowars.com and Newswars.com.
[00:13:29.909 --> 00:13:34.770]  CNN praises dictator's sister at the Olympics.
[00:13:34.770 --> 00:13:39.451]  Well, she's aware of the fact they're pulling the video, so she didn't put the video.
[00:13:39.451 --> 00:13:41.951]  She put still images, but has the fawning.
[00:13:41.951 --> 00:13:46.132]  It's the fawning they don't want you to see, because they just are, again, so disconnected.
[00:13:46.132 --> 00:13:46.432]  Here it is.
[00:13:49.417 --> 00:13:59.370]  Securing their nickname as the Commie News Network, CNN got roasted for raving about Kim Jong-un's sister, who is stealing the show at the Winter Olympics, y'all!
[00:13:59.370 --> 00:14:06.199]  CNN asserts if diplomatic dance were an event at the Winter Olympics, Kim Jong-un's younger sister would be favored to win gold.
[00:14:06.599 --> 00:14:13.227]  CNN even went there saying the dictator's sister Kim Yo-jong is North Korea's answer to Ivanka Trump.
[00:14:13.227 --> 00:14:13.808]  Right.
[00:14:13.808 --> 00:14:25.201]  She's a key member of a murderous regime that tortures, starves, and jails its citizens in prison labor camps and overseeing the execution of hundreds of North Korean citizens since her brother took power.
[00:14:25.441 --> 00:14:26.762]  You go, girl!
[00:14:26.762 --> 00:14:31.027]  Like most members of her family, little is known about Kim beyond her official rank.
[00:14:31.027 --> 00:14:36.793]  And her power exists because she is the person the Supreme Leader trusts more than anyone else in the regime.
[00:14:36.793 --> 00:14:37.253]  See?
[00:14:37.253 --> 00:14:38.455]  Just like Ivanka.
[00:14:38.455 --> 00:14:42.559]  Otto Warmbier was not available for comment, nor was Kim Jong-un's brother.
[00:14:42.799 --> 00:14:48.445]  Who might have stolen the show at the Winter Olympics had he not been murdered last year with poison.
[00:14:48.445 --> 00:14:55.153]  CNN's hatred for Trump has reached such epic proportions they are now glorifying a communist regime to make a point.
[00:14:58.024 --> 00:15:12.296]  And to be clear, the footage they're banning, there is a small clip in our video, total fair use for us to analyze what happens at world events, 100%, but they still will try to ban this stuff, then we have to counter-block them to even be able to show you, but it's a very short clip.
[00:15:12.296 --> 00:15:13.917]  It's Pence clapping during the U.S.
[00:15:13.917 --> 00:15:16.179]  delegation and South Korean and Japanese.
[00:15:16.179 --> 00:15:20.062]  She's not clapping during that, and then she doesn't clap during the American.
[00:15:20.062 --> 00:15:23.465]  And then the leftist media jumped on this and said, look at how bad Pence is.
[00:15:25.049 --> 00:15:33.692]  That's what they don't want you to see is her rolling her horrible dictator bloodthirsty eyes when most of her family has even been killed by her brother.
[00:15:33.692 --> 00:15:34.652]  But I'll give it to her.
[00:15:34.652 --> 00:15:35.692]  We know where all the food's going.
[00:15:35.692 --> 00:15:44.415]  It's her big fat-ass demonic little pig monster brother who's a little fat waddling degenerate vampire made for the pit of hell.
[00:15:44.415 --> 00:15:45.795]  So maybe that is a good work for her.
[00:15:45.795 --> 00:15:50.757]  She's like the rest of the anorexic population because that demon, no one else is allowed to be fat.
[00:15:51.377 --> 00:15:52.720]  If you're fat, he kills you.
[00:15:52.720 --> 00:15:53.762]  That's admitted.
[00:15:53.762 --> 00:15:59.354]  Imagine that selfishness of this little demonic pig creature.
[00:16:01.155 --> 00:16:19.570]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation, I might speak for hours just on the files I have here, of what this is proven to do, the ingredients in this, this is the ultimate immune system boost for this time of year, any time of the year.
[00:16:19.570 --> 00:16:25.855]  But immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[00:16:25.855 --> 00:16:26.956]  It's a great deal at $39.
[00:16:26.956 --> 00:16:29.799]  Immune wall, beta glucans, olive leaf,
[00:16:30.439 --> 00:16:31.980]  And so much more.
[00:16:31.980 --> 00:16:33.340]  It is concentrated.
[00:16:33.340 --> 00:16:35.081]  You need to go read what is in here.
[00:16:35.081 --> 00:16:40.863]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate.
[00:16:40.863 --> 00:16:42.083]  A citrus peel blend.
[00:16:42.083 --> 00:16:44.104]  I mean, this is the next level.
[00:16:44.104 --> 00:16:46.705]  It's now available, ladies and gentlemen, Immune Wall.
[00:16:46.705 --> 00:16:48.126]  I think it's beyond seasonal.
[00:16:48.126 --> 00:16:50.487]  Beta, glucan, olive leaf, and more.
[00:16:50.487 --> 00:16:51.207]  Immune Wall.
[00:16:51.207 --> 00:16:52.647]  Infowarsstore.com.
[00:16:52.647 --> 00:16:53.808]  Infowarslive.com or 888-253-3139.
[00:16:59.759 --> 00:17:06.267]  Every year, we spend hundreds of dollars on chocolates, jewelry, and sappy cards for Valentine's Day.
[00:17:06.267 --> 00:17:12.654]  It's time to get a gift that will really make the sparks fly with the InfoWars Life His and Hers Pack, now at 40% off.
[00:17:14.929 --> 00:17:23.800]  Get our two fan favorite products, Super Male Vitality and Super Female Vitality that help boost vitality and energy for less.
[00:17:23.800 --> 00:17:26.363]  You've already taken care of Valentine's Day.
[00:17:26.363 --> 00:17:29.908]  Make sure you and your significant other have an incredible Valentine's Night.
[00:17:31.286 --> 00:17:34.967]  A perfect excuse to get a gift for them and a gift for yourself.
[00:17:34.967 --> 00:17:44.290]  Super male vitality and super female vitality combine ancient wisdom and modern techniques for truly powerful formulas that you know they'll love.
[00:17:44.290 --> 00:17:50.492]  Fuel your body naturally and celebrate your love today with the InfoWars Life His and Hers Pack.
[00:17:50.492 --> 00:17:55.714]  Now available at 40% off at InfoWarsStore.com or by calling 888-253-3139.
[00:18:00.256 --> 00:18:08.999]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[00:18:08.999 --> 00:18:09.540]  That's right.
[00:18:09.540 --> 00:18:14.802]  Now's the time to build your own food storage with Harvest Rites freeze dryers.
[00:18:14.802 --> 00:18:21.484]  Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[00:18:21.484 --> 00:18:28.727]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[00:18:29.087 --> 00:18:29.287]  Woo!
[00:18:29.287 --> 00:18:30.328]  That's what I'm talking about.
[00:18:30.328 --> 00:18:39.074]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[00:18:39.074 --> 00:18:48.661]  Harvest Right freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[00:18:48.661 --> 00:18:52.103]  Now that's what I call the miracle of food preservation.
[00:18:52.103 --> 00:18:56.226]  Harvest Right is truly the world's best, most affordable freeze dryer.
[00:18:56.226 --> 00:18:57.067]  So what are you waiting for?
[00:18:57.287 --> 00:18:59.431]  Check it out right now at InfoWarsStore.com.
[00:19:09.190 --> 00:19:20.021]  When you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[00:19:20.021 --> 00:19:22.144]  I mean, I cannot say it any clearer.
[00:19:22.144 --> 00:19:26.128]  And so it is essential that you purchase the products at InfoWarsTore.com.
[00:19:26.128 --> 00:19:27.169]  I want to thank everybody that has.
[00:19:27.569 --> 00:19:33.373]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[00:19:33.373 --> 00:19:35.775]  You cannot beat that for children and adults.
[00:19:35.775 --> 00:19:38.416]  We've got the best mouthwash designed by Dr. Jones.
[00:19:38.416 --> 00:19:39.337]  That's my dad.
[00:19:39.337 --> 00:19:41.198]  With colloidal silver and iodine as well.
[00:19:41.198 --> 00:19:43.700]  Infowarslife.com or 888-253-3139.
[00:19:43.700 --> 00:19:52.886]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[00:19:52.886 --> 00:19:57.329]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[00:20:03.271 --> 00:20:12.695]  You're listening to the Alex Jones Show.
[00:20:12.695 --> 00:20:17.777]  From the front lines of the information war, it's Alex Jones.
[00:20:20.709 --> 00:20:22.750]  February 11, 2018.
[00:20:22.750 --> 00:20:29.874]  I am 44 years old today, and I am so honored to be your radio host, and I'm so honored to be here.
[00:20:29.874 --> 00:20:32.055]  My family and folks are like, Alex, take a day off.
[00:20:32.055 --> 00:20:33.756]  I am taking a day off.
[00:20:33.756 --> 00:20:34.956]  This is where I want to be.
[00:20:34.956 --> 00:20:39.899]  I mean, I've been chomping at the bit to get on air since yesterday.
[00:20:41.021 --> 00:20:52.810]  Like everybody else I know, I've talked to on the street are so upset by CNN attacking Pence when he's clapping for the South Korean, Japanese, and U.S.
[00:20:52.810 --> 00:20:53.751]  delegations.
[00:20:53.751 --> 00:21:00.496]  And then he didn't clap reportedly during North Korea's weird cult-like cheerleaders
[00:21:01.297 --> 00:21:02.517]  They're like U.S.
[00:21:02.517 --> 00:21:05.718]  troops when you get captured in Vietnam that were, you know, doing Morse code.
[00:21:05.718 --> 00:21:07.738]  They were forced to say things they didn't want to.
[00:21:07.738 --> 00:21:10.199]  America's evil, but they were doing Morse code with their eyes.
[00:21:10.199 --> 00:21:12.039]  I mean, these are all slaves.
[00:21:12.039 --> 00:21:15.080]  You can't clap for literal slaves.
[00:21:15.080 --> 00:21:23.642]  Imagine, you know, 200 years ago, they had a band of, you know, black slaves playing banjos and you were in a time machine sent back
[00:21:25.066 --> 00:21:26.407]  to some slave plantation.
[00:21:44.685 --> 00:21:50.511]  Glaring at him, and they are expunging this everywhere because they praised her on CNN, you name it.
[00:21:50.511 --> 00:21:52.773]  All these Hollywood tweets said, oh, I wish she'd have kicked him.
[00:21:52.773 --> 00:21:54.595]  I wish she would have assaulted Pence.
[00:21:54.595 --> 00:21:57.397]  God, if I was behind the Vice President, I would have attacked him.
[00:21:57.397 --> 00:22:00.921]  You are siding.
[00:22:00.921 --> 00:22:03.984]  You are siding, ladies and gentlemen.
[00:22:06.613 --> 00:22:12.915]  With the most murderous, insane dictatorship in the world.
[00:22:12.915 --> 00:22:19.357]  She is the princess of the Demon King, the third-generational dictator of North Korea.
[00:22:19.357 --> 00:22:27.840]  And so she's rolling her eyes and all this stuff during these videos, and everyone is like fantasizing how she needs to attack the Vice President.
[00:22:29.687 --> 00:22:34.594]  And then the media goes, oh my god, people, that really made America mad, so they're pulling the video.
[00:22:34.594 --> 00:22:35.456]  And there's even more.
[00:22:35.456 --> 00:22:39.742]  There's long videos of this going on, and they're just expunging it everywhere.
[00:22:39.742 --> 00:22:43.447]  We're going to try to find it and add it to InfoWars.com and a whole article about this.
[00:22:44.462 --> 00:22:46.143]  But it continues.
[00:22:46.143 --> 00:22:50.306]  Because they're telling you what they side for, what they believe in, what they're doing.
[00:22:50.306 --> 00:22:52.708]  MSNBC, CNN, all of them.
[00:22:52.708 --> 00:22:55.910]  Anderson Cooper, the leftist arm of the CIA.
[00:22:55.910 --> 00:22:59.813]  All back the Arab Spring, starting seven years ago.
[00:22:59.813 --> 00:23:01.654]  Al Gore talked about it.
[00:23:01.654 --> 00:23:04.796]  And they went around murdering Christians everywhere en masse.
[00:23:04.796 --> 00:23:08.079]  And now Jimmy Kimmel has done another anti-Christian piece.
[00:23:10.094 --> 00:23:11.435]  For his show, Friday Night.
[00:23:11.435 --> 00:23:13.337]  That's a whole other subject coming up.
[00:23:13.337 --> 00:23:21.984]  But it's just... Assaults on Christians have doubled worldwide, even according to the UN, the last nine years since Obama got in.
[00:23:21.984 --> 00:23:26.769]  It's open season all over these countries to attack Christians.
[00:23:26.769 --> 00:23:28.370]  Owen Schroer is going to be covering that when he comes up.
[00:23:28.370 --> 00:23:32.754]  Video, Jimmy Kimmel presents bigoted anti-Christian skit.
[00:23:32.754 --> 00:23:34.916]  So, he's totally under the control.
[00:23:37.702 --> 00:23:39.042]  Of the globalists.
[00:23:39.042 --> 00:23:40.723]  It is truly sickening.
[00:23:40.723 --> 00:23:44.463]  But let's go to this next report because this tells it all as well.
[00:23:44.463 --> 00:24:05.288]  Rob Reiner, worth $400 million reportedly, meathead from ancient programs back in the 70s, Archie Bunker, a social engineer, gets up there at an awards show and says, we are in the last battle of the Civil War.
[00:24:07.051 --> 00:24:09.852]  And the left is hashtag hunt Republicans.
[00:24:09.852 --> 00:24:11.172]  All of this is being invoked.
[00:24:11.172 --> 00:24:21.796]  And he says, oh, and then makes up stuff that Trump never said about S-hole countries, and all this other garbage, and then pushes this narrative of division.
[00:24:21.796 --> 00:24:25.057]  He says, we were on this glide path to destroy the country.
[00:24:25.057 --> 00:24:28.498]  We were on this glide path to de-industrialize it, sell it out to Communist China.
[00:24:28.498 --> 00:24:32.439]  That's what they've done, to make everybody a renter, to get rid of the American dream.
[00:24:33.652 --> 00:24:39.378]  And then here comes Trump and tries to turn the economy around and secure the borders and bring in nationalism.
[00:24:39.378 --> 00:24:44.624]  That's all that's happening is sovereignty is being brought back to our country.
[00:24:44.624 --> 00:24:45.545]  And so Rob Reiner...
[00:24:47.383 --> 00:24:51.427]  This individual, you know, out there defending Harvey Weinstein and all the rest of it, sits there.
[00:24:51.427 --> 00:25:05.260]  It turns out at this minority awards show, there are reports that the people that are at them pay, leftists pay, to go to the black awards show and then be given awards so they can racepew.
[00:25:05.260 --> 00:25:05.820]  Think about that.
[00:25:06.795 --> 00:25:07.756]  It's incredible.
[00:25:07.756 --> 00:25:09.378]  And this is what the left's pushing.
[00:25:09.378 --> 00:25:16.745]  Uprisings, murders, killings, beating up conservatives and libertarians at rallies, censoring everybody online.
[00:25:16.745 --> 00:25:28.956]  And then, oh, but they say if Trump has a military parade, we haven't had one in 18 years, and we should have one for the veterans and those that died and their families and honor our military, that, oh, everybody else can have them, but we can't have them.
[00:25:28.956 --> 00:25:31.819]  It's very evil if we have one while they praise North Korea.
[00:25:33.683 --> 00:25:39.010]  And you got Time Magazine, the case for rioting, and CNN saying, well, cops are getting killed because they deserve it.
