[00:00.000 --> 00:06.400]  been so affordable at mainmilitary.com one of the last surviving true surplus stores in the country
[08:07.800 --> 08:12.800]  We'll explain the very nuanced situation that we're dealing with here.
[08:12.800 --> 08:16.800]  This is Cloak and Dagger, this is Complex, this is Black Ops.
[08:16.800 --> 08:22.800]  And so we're not sure if it's elements of Pakistani intelligence that we know are Western controlled.
[08:22.800 --> 08:24.800]  That's mainstream admitted.
[08:24.800 --> 08:27.800]  We don't know if it's MI5, MI6.
[08:27.800 --> 08:29.800]  MI5 does operate outside England, not just six.
[08:29.800 --> 08:31.800]  We don't know if it's CIA.
[08:31.800 --> 08:39.800]  We don't know if it's Mossad, but we have elements of all of those clearly implicated in the Pakistanis, not just with not having a motive,
[08:39.800 --> 08:43.800]  but with the evidence clearly are not involved in this.
[08:43.800 --> 08:47.800]  And this is meant to kick off a war in the region.
[08:47.800 --> 08:48.800]  So we'll be going over that.
[08:48.800 --> 08:54.800]  In fact, the Indian Express reporting today, Rice, U.S. will act against a ledge,
[08:54.800 --> 09:01.800]  move by perpetrators in Pakistan will not with not just bombardments, but to perhaps even a physical invasion.
[09:01.800 --> 09:06.800]  Now, remember two months ago, Joe Biden and Barack Obama and others said the crisis will be Pakistan.
[09:06.800 --> 09:17.800]  There's going to be a huge international crisis leading up to the inauguration on the 21st of next month in early 2009 on the 21st of January.
[09:17.800 --> 09:24.800]  And we went on there and said it's going to be Pakistan because separate from talking about the international crisis in other talks,
[09:24.800 --> 09:27.800]  they had been gearing up to go into Pakistan.
[09:27.800 --> 09:29.800]  And that's the new place the Pentagon wants to go into.
[09:29.800 --> 09:32.800]  So we'll break that up coming up in 30 minutes.
[09:32.800 --> 09:38.800]  This is getting really, really serious. Hundreds of NATO vehicles were torched and blown up in Pakistan today.
[09:38.800 --> 09:40.800]  That's up on Reuters right now.
[09:40.800 --> 09:43.800]  We have that up on infowars.com.
[09:43.800 --> 09:49.800]  McCain is in the Indian Express as well, a warning Pakistan of Indian strikes.
[09:49.800 --> 09:55.800]  John McCain hasn't really been surfacing since he lost back in November,
[09:55.800 --> 10:07.800]  but now he pops up and tells the newspaper and tells Pakistani officials and Indian officials that there are elements of the Indian government
[10:07.800 --> 10:10.800]  repairing a new war with Pakistan.
[10:10.800 --> 10:15.800]  They had a somewhat of a war, a border skirmish with artillery and helicopters and mortars.
[10:15.800 --> 10:18.800]  Thousands were killed on both sides in 2002.
[10:18.800 --> 10:22.800]  Both countries have the bomb and medium range delivery systems.
[10:22.800 --> 10:29.800]  They can fire missiles at least 3,000 kilometers a piece, but a little over 2,000 miles.
[10:29.800 --> 10:31.800]  So that's a very, very serious issue.
[10:31.800 --> 10:33.800]  And we have the RAND Corporation.
[10:33.800 --> 10:37.800]  That's where the Big New Brzezinski Obama's advisor comes from.
[10:37.800 --> 10:47.800]  Brzezinski came up with a 9-11 plan, the New Pearl Harbor event, that was then plagiarized by the neocons.
[10:47.800 --> 10:53.800]  Brzezinski publicly said we need giant terror attacks in the U.S. as a pretext to go into the Middle East,
[10:53.800 --> 10:56.800]  but he said he wanted to start a war in Central Asia first.
[10:56.800 --> 11:02.800]  This was a national security advisor to Carter, founder of the trilateral commission with David Rockefeller.
[11:02.800 --> 11:07.800]  So he's the real brains here along with Henry Kissinger, but I'm already getting into this.
[11:07.800 --> 11:09.800]  It's very complex.
[11:09.800 --> 11:13.800]  The average American thinks that this is in the Middle East what we're facing.
[11:13.800 --> 11:15.800]  This is in Central Asia.
[11:15.800 --> 11:17.800]  And I'm not saying you're stupid.
[11:17.800 --> 11:24.800]  You know, all about the football scores and all about the Cowboys not going into the playoffs.
[11:24.800 --> 11:33.800]  So you need to start spending some time learning about this, not the Cowboys and the playoffs.
[11:33.800 --> 11:35.800]  I combine that word with the Playboys.
[11:35.800 --> 11:37.800]  Cowboys and the Playoffs, Playboys.
[11:37.800 --> 11:39.800]  Seriously.
[11:39.800 --> 11:41.800]  You know, I love this nation.
[11:41.800 --> 11:42.800]  I love this country.
[11:42.800 --> 11:48.800]  I love to be an American, but I hear all these charity groups and people for PR reasons running around.
[11:48.800 --> 11:50.800]  Let's give toys to needy children.
[11:50.800 --> 11:52.800]  Let's give toys to needy children.
[11:52.800 --> 11:53.800]  What they need is a future.
[11:53.800 --> 11:58.800]  What they need is their liberties and freedoms, the Bill of Rights being given to them and being protected by the American people.
[11:58.800 --> 12:06.800]  What they need is a true free market economic system and not this crony capitalism with 8.4 trillion.
[12:06.800 --> 12:09.800]  Last week we were here and it was 7.8 trillion.
[12:09.800 --> 12:14.800]  As of Wednesday, AP and Reuters reported that it is now 8.4 trillion.
[12:14.800 --> 12:17.800]  And I guess next week it will be 9 trillion or something.
[12:17.800 --> 12:19.800]  Hundreds and hundreds of billions of day being stolen.
[12:19.800 --> 12:21.800]  More than a trillion a week being stolen.
[12:21.800 --> 12:24.800]  Seven weeks ago the banker bailout took place.
[12:24.800 --> 12:26.800]  And again, they always mislabel things.
[12:26.800 --> 12:28.800]  It was not a banker bailout.
[12:28.800 --> 12:33.800]  It was a foreign banker takeover of the United States.
[12:33.800 --> 12:36.800]  So we'll be breaking down some of that as well today.
[12:36.800 --> 12:41.800]  Barack Obama went on to meet the press this morning and I have a transcript of it here.
[12:41.800 --> 12:43.800]  Very, very chilling.
[12:43.800 --> 12:47.800]  And he said, headline, this is from AP,
[12:47.800 --> 12:52.800]  economy to get worse before it improves.
[12:52.800 --> 12:59.800]  And so when you hear things like that coming from the president-elect,
[12:59.800 --> 13:02.800]  you had better hold on to your wallets and look out.
[13:02.800 --> 13:06.800]  Because what's happening is foreign offshore banks are imploding this country and the world
[13:06.800 --> 13:08.800]  by design to consolidate them.
[13:08.800 --> 13:11.800]  So we'll get into that for you as well.
[13:11.800 --> 13:14.800]  I also have a little police state stack of news here.
[13:14.800 --> 13:17.800]  And this is on the tip of the iceberg.
[13:17.800 --> 13:20.800]  I have seen the last few days.
[13:20.800 --> 13:24.800]  Toronto bans bottled water sales but junk sodas remain legal.
[13:24.800 --> 13:30.800]  This is out of natural news reporting on a story out of the Toronto Starb on Friday.
[13:30.800 --> 13:36.800]  Now, a government that can ban bottled water, saying plastic's bad for the environment,
[13:36.800 --> 13:38.800]  can ban anything else they want.
[13:38.800 --> 13:42.800]  See, it starts with low flush toilets and it starts with washers and dryers.
[13:42.800 --> 13:46.800]  Then it starts with remote controlled thermostats, the government controls in your houses.
[13:46.800 --> 13:48.800]  It's already happening in California.
[13:48.800 --> 13:51.800]  Then it moves into banning fireplaces, space heaters.
[13:51.800 --> 13:55.800]  This is happening in Europe, happening in U.S. cities, happening in Canadian cities.
[13:55.800 --> 14:01.800]  It sets the precedent to control and regulate your everyday life.
[14:01.800 --> 14:02.800]  It is feudalism.
[14:02.800 --> 14:03.800]  It has surfed them.
[14:03.800 --> 14:09.800]  It's worse than any surf or feudal slave in ancient Europe or ancient China had to live under.
[14:09.800 --> 14:11.800]  This is total control.
[14:11.800 --> 14:16.800]  And in the same speaking of control all over the nation from Oregon to Ohio,
[14:16.800 --> 14:22.800]  every day I see reports of natural organic farmers being raided by the police.
[14:22.800 --> 14:27.800]  Now, coming and saying you're not allowed to have unlicensed agriculture
[14:27.800 --> 14:32.800]  and you've got to have all these special licenses to be able to go to the farmer's market
[14:32.800 --> 14:36.800]  or have a food co-op here in the land of the free home of the brave.
[14:36.800 --> 14:38.800]  I mean, Russia wasn't this bad.
[14:38.800 --> 14:40.800]  Though Stalin did try some similar things.
[14:40.800 --> 14:42.800]  It's like the Bob Dylan song.
[14:42.800 --> 14:46.800]  Some day even your home garden is going to be against the law.
[14:46.800 --> 14:52.800]  That's in sundown on the union was made in the USA.
[14:52.800 --> 14:54.800]  Oh my goodness.
[14:54.800 --> 14:59.800]  Yeah, they want to grow their corn on the moon and eat it raw.
[14:59.800 --> 15:03.800]  And I mean, that is literally what this is turning into every form of control.
[15:03.800 --> 15:09.800]  Well, the same rural county in Ohio, and this is all over the Ohio papers.
[15:09.800 --> 15:11.800]  We've got links to it up on prisonplanet.com.
[15:11.800 --> 15:15.800]  If you want to link through to it, you have a page just of links to the different news stories there.
[15:15.800 --> 15:19.800]  We do those little boil down stories like the Kurt Nemo posted.
[15:19.800 --> 15:22.800]  But police SWAT team holds entire family at gunpoint.
[15:22.800 --> 15:24.800]  It was a local farming co-op.
[15:24.800 --> 15:31.800]  And so for the farmer's market, getting ready this weekend, the people came and, you know,
[15:31.800 --> 15:34.800]  mashed their produce.
[15:34.800 --> 15:38.800]  I guess their last crop of the year.
[15:38.800 --> 15:42.800]  And, you know, some of the canned vegetables and things there at this facility.
[15:42.800 --> 15:48.800]  And the police with machine guns SWAT team came and held them at gunpoint for nine hours,
[15:48.800 --> 15:49.800]  took their computers.
[15:49.800 --> 15:55.800]  I didn't have a warrant, by the way, took their computers, took their food, took everything.
[15:55.800 --> 16:01.800]  And the reason this is important, it's the same county last year where they arrested a bunch of Amish people.
[16:01.800 --> 16:06.800]  And in one case, the Amish man was giving raw milk, which is much better for the course of the past,
[16:06.800 --> 16:08.800]  right stuff to needy people.
[16:08.800 --> 16:10.800]  So they arrested him.
[16:10.800 --> 16:13.800]  So see, they're going to put poison in your baby's formula.
[16:13.800 --> 16:17.800]  You'll melamine and say that's okay and mercury in your vaccines and have wide open borders
[16:17.800 --> 16:20.800]  and total tyranny and the government's caught shipping and drugs every week.
[16:20.800 --> 16:24.800]  But the Amish and the people growing vegetables, they're going to jail.
[16:24.800 --> 16:27.800]  That's the freedom. We'll be right back.
[16:29.800 --> 16:33.800]  Santa, Christmas Eve and you haven't left yet?
[16:33.800 --> 16:35.800]  Ho, ho, ho, ho, ho.
[16:35.800 --> 16:36.800]  No.
[16:36.800 --> 16:38.800]  I can't find my keys.
[16:38.800 --> 16:43.800]  Here's the perfect gift. Our patented Find One Find All Key Finder or FOFA XD for short.
[16:43.800 --> 16:49.800]  Once a FOFA key finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[16:49.800 --> 16:52.800]  Use your wallet to find your keys, your keys to find the remote control,
[16:52.800 --> 16:55.800]  or any of them to find an uncharged or muted cell phone.
[16:55.800 --> 17:01.800]  FOFA goes through walls, cushions and laundry baskets up to 30 feet and projects a loud 90 plus decibel beep.
[17:01.800 --> 17:04.800]  And new for Christmas, there's even a FOFA just for eyeglasses.
[17:04.800 --> 17:07.800]  Where did I put my glasses, Mrs. Claus?
[17:07.800 --> 17:09.800]  Oh, here they are.
[17:09.800 --> 17:13.800]  Luckily, Rudolph's nose isn't the only thing that flashes.
[17:13.800 --> 17:17.800]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[17:17.800 --> 17:22.800]  Call 866-245-8670. That's 866-245-8670.
[17:22.800 --> 17:47.800]  Or buy online at findonefindall.com. Again, that's findonefindall.com.
[17:47.800 --> 17:54.800]  We've been hearing the USA has been spending money faster than tax collections. Now the government has published the document that sounds the alarm.
[17:54.800 --> 18:00.800]  That's right, the United States Government Accountability Office, the GAO, has published the long-term fiscal outlook document.
[18:00.800 --> 18:09.800]  Clearly stating that the federal debt burden is spiraling out of control, this will directly affect programs like Social Security to FDIC's ability to ensure bank deposits.
[18:09.800 --> 18:14.800]  Taxation and inflationary printing of the US dollar are inevitable pressures facing the economy.
[18:14.800 --> 18:19.800]  Get this document free by calling 800-686-2237.
[18:19.800 --> 18:28.800]  The US GAO has spelled it out in black and white. Call 800-686-2237. That's 800-686-2237.
[18:28.800 --> 18:34.800]  The headlines are clear. The worldwide economic collapse is here.
[18:34.800 --> 18:37.800]  The military is being positioned for martial law.
[18:37.800 --> 18:39.800]  The market of beast is at hand.
[18:39.800 --> 18:45.800]  The governments are calling for a new world cashless economic system. Having a long-term food solution is your only hope.
[18:45.800 --> 18:50.800]  To stay free. Now, Survival of Seeds introduces their Escape the Beast Kit.
[18:50.800 --> 18:54.800]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[18:54.800 --> 18:57.800]  For true patriots and homesteaders wanting food insurance.
[18:57.800 --> 19:01.800]  That's over five pounds of rare historic seeds for a penny per seed.
[19:01.800 --> 19:05.800]  15,000 seeds that will feed a family healthy food for seven years.
[19:05.800 --> 19:10.800]  A host of Don't Tread on Me is including an instructional DVD that will teach you how to earn big money.
[19:10.800 --> 19:15.800]  Selling the produce from his incredible heirloom seeds back to him, restaurants and small delis.
[19:15.800 --> 19:18.800]  Don't buy from copycats. Their fancy packaging is not free.
[19:18.800 --> 19:20.800]  Order today before it's too late.
[19:20.800 --> 19:27.800]  Survivalistseeds.com. That's Survivalistseeds.com. A long-term food solution.
[19:28.800 --> 19:32.800]  Everyone knows that Omega-3 should be an essential part of our daily diet.
[19:32.800 --> 19:38.800]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[19:38.800 --> 19:42.800]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[19:42.800 --> 19:44.800]  Nature's Gem. Premium Omega-3.
[19:44.800 --> 19:49.800]  Unlike other flax seed, our golden flax is grown on our farm in Northern Minnesota.
[19:49.800 --> 19:56.800]  Providing cooler temperatures and longer summer hours, producing the highest quality premium golden flax seed around.
[19:56.800 --> 20:00.800]  In addition, we selectively harvest and sort flax seeds by size and weight.
[20:00.800 --> 20:04.800]  Keeping only the best seeds that can produce the highest abundance of Omega-3.
[20:04.800 --> 20:07.800]  The result is a delicious, nutty, buttery flavor.
[20:07.800 --> 20:13.800]  Nature's Gem golden flax is pure. There is nothing added and nothing taken away and non-GMO.
[20:13.800 --> 20:19.800]  We offer a 100% money-back guarantee. Order Nature's Gem premium golden flax today at goldenflax.com.
[20:19.800 --> 20:31.800]  Goldenflax.com. Or call 800-387-5516. That's 800-387-5516. Free shipping included.
[20:31.800 --> 20:38.800]  Thank you for listening to GCN. Be sure to visit GCNLive.com today.
[20:38.800 --> 20:45.800]  Through the lies and disinformation, it's Alex Jones.
[20:45.800 --> 20:51.800]  We are live. It is December 7, 2008.
[20:51.800 --> 20:57.800]  Not December 7, 1941. A day that will live and end for me.
[20:57.800 --> 21:01.800]  Coming up later, I'm going to break down with Barack Obama's planning for the United States.
[21:01.800 --> 21:08.800]  It's IMF and World Bank shock therapy. You don't know what that term is. Google IMF World Bank shock therapy.
[21:08.800 --> 21:19.800]  That's where they implode the nation's economy and take all of the assets into the hands of foreign corporations and banks, claiming that it will be good for the nation.
[21:19.800 --> 21:23.800]  That's why he's saying it's going to be painful. A lot of people aren't going to like this.
[21:23.800 --> 21:32.800]  He's going to have the mainstream media fully behind him because the mainstream media is predominantly over 90% of it owned by foreign offshore multinational globalist corporations.
[21:32.800 --> 21:37.800]  So get ready with Barack Obama. It is going to be painful.
[21:37.800 --> 21:41.800]  It would have been painful with John McCain as well.
[21:45.800 --> 21:52.800]  I'm still not used to this phone system in here. How do I pull the phone system back up on my screen if I don't have it up here in front of me?
[21:52.800 --> 21:54.800]  Thank you. Come in here and do that for me.
[21:54.800 --> 21:56.800]  Jared and I appreciate it.
[21:56.800 --> 22:01.800]  I've got my weekday show with my own phone system that I am used to.
[22:01.800 --> 22:08.800]  And on this one, sometimes it gets minimized and then I can't pull it up. I don't want to. Maybe it's this caller data one.
[22:08.800 --> 22:10.800]  No, see, it's not up there.
[22:10.800 --> 22:25.800]  All right. Well, while you guys are fixing that, finishing up with the situation all over the nation of the game wardens and the environmental police and the Department of Natural Resources, federal state, local,
[22:25.800 --> 22:29.800]  they are just harassing farmers and ranchers everywhere.
[22:29.800 --> 22:35.800]  And now, federally, and at several state levels, they're trying to pass a flatulence tax.
[22:35.800 --> 22:41.800]  This is in the Associated Press Friday. We've been telling you about it for years, but now it's in the news. You want to look it up.
[22:41.800 --> 23:02.800]  Where the methane that is released from the cows is going to be taxed $160 plus per cow, $60 something per pig, all this money, as if methane from animals is bad.
[23:02.800 --> 23:18.800]  As if that isn't a naturally occurring part of the planet. Whales release masses of methane. Some whales eat as much as 7000 pounds of plankton a day and release the amount of methane that hundreds of cows would release.
[23:18.800 --> 23:21.800]  I guess we've got to go out and kill all the whales.
[23:21.800 --> 23:30.800]  No, this is about taxing all human activity and setting the precedent to be able to put a tax on literally breathing.
[23:30.800 --> 23:49.800]  We exhale carbon dioxide. We exhale carbon dioxide and Barack Obama has sworn to list it as a toxic waste, as a controlled poison, as a threat to the environment.
[23:49.800 --> 24:00.800]  Government is going to tax it at the local, federal and international level, and the Times of London and others have reported that the very bankers orchestrating a worldwide financial collapse.
[24:00.800 --> 24:04.800]  We have their own documents for doing it by design. We've posted those. We've covered it.
[24:04.800 --> 24:11.800]  We told you years ago we're going to then propose a worldwide carbon tax where you buy the carbon credits and pay the taxes to them.
[24:11.800 --> 24:17.800]  And that now has openly been announced in hundreds of newspapers in the last month.
[24:17.800 --> 24:26.800]  So we have banning bottled water in major cities in Canada, the U.S. and Europe, banning or taxing fireplaces, banning or taxing space eaters.
[24:26.800 --> 24:38.800]  Just all of this control coming in saying a fireplace is bad for the environment, saying that it adds carbon dioxide to the atmosphere.
[24:38.800 --> 24:43.800]  I mean, is this freedom? Is this what liberty is all about?
[24:43.800 --> 24:48.800]  That's why I said at the start of the show, it's great that people collect all these toys and give all these toys to poor children.
[24:48.800 --> 24:54.800]  But what those children really need is to not be in government training camps, government indoctrination centers, the public schools.
[24:54.800 --> 25:04.800]  What they really need is to not have melamine poison that they've always said is deadly poison and causes all sorts of cancer and kidney failure, especially in small children.
[25:04.800 --> 25:14.800]  And that's just a fact. We need to not have lead in the toys. We need to really deal with serious environmental problems. But no, that's not going to happen.
[25:14.800 --> 25:20.800]  Now the FDA says, ah, you know what melamine is good for you. You know what, mercury and shots are good for you.
[25:20.800 --> 25:29.800]  So all of this is about control. All of this is about taxation and regulation and big corporations and big agribusiness.
[25:29.800 --> 25:37.800]  They lobby to get laws passed to shut down small family gardens and farms that are producing organic food.
[25:37.800 --> 25:50.800]  Just a couple years ago, the big dairy producers using this bovine growth hormone, raising your girls and boys, you know, six and a half, seven feet tall and mom and popper, you know, five, two and five, eight.
[25:50.800 --> 25:59.800]  And we've got all this acromeglia going on. Acromeglia is just off the charts or acromeglia-like diseases.
[25:59.800 --> 26:05.800]  That's why your girls are going into puberty. It was at seven, eight years old. Now it's five, six years old.
[26:05.800 --> 26:15.800]  It's all the hormones. And there's hundreds of studies on that and all the chemicals being put into the cows and the antibiotics and the rest of it.
[26:15.800 --> 26:29.800]  So what happens? A couple years ago, big agribusiness came in and tried to get the federal government to pass laws where organic milk companies just couldn't say we're organic and we don't have growth hormone.
[26:29.800 --> 26:44.800]  Now they failed. But in many cases, they're not failing. In fact, last year they succeeded about 18 months ago and getting a law passed where before, if something had a government organic stamp on it, it had to be 100% organic, organic fertilizer.
[26:44.800 --> 27:01.800]  No GMO. It couldn't be cross species. There couldn't be cockroach genes in your tomatoes or pig genes in your tomatoes or your potatoes or your corn or your wheat, which has caused sterility and mice and a lot more and all sorts of health problems and caused all sorts of allergies.
[27:01.800 --> 27:16.800]  They've been tied to cancer and lab animals massively. And they came in and got the law changed where the majority, 75% of the fillers in the food product can be GMO, genetically modified organisms.
[27:16.800 --> 27:32.800]  And see, they're fighting so you don't even have a choice, the freedom to find out what you're being fed, what you're eating. Now there's ways around that. Now there are lots of private and groups that are individually testing and have their seals of approval.
[27:32.800 --> 27:54.800]  And that's who we have to count on. You can't count on government. Not a government that's busy doing stakeouts to see if Amish are selling whole milk, doing stakeouts to see if farmers markets are selling organic food that are SWAT team rating organic farmer co-ops for not having a $10 certificate.
[27:54.800 --> 28:12.800]  Everything is about throwing the book at the American people, throwing the book at the grassroots economy, ensuring that the grassroots main street economy falls in on itself so they can bottom out the dollar and destroy every other major currency of the world to bring in a World ID card.
[28:12.800 --> 28:25.800]  And we already have a World ID card under treaty in 2000. We had a National ID card in 93. They're just now getting around to telling you that you have a National ID card, a real ID act. But we have the executive orders I covered in my film America Destroyed by Design.
[28:25.800 --> 28:43.800]  And so what they're doing is moving in a system to implode the world's currencies and down the road they're going to devalue the dollar and every other currency even more. And then finally, when there's not enough physical money circulating in the economy, the banks have cut off real
[28:43.800 --> 29:02.800]  liquidity to Main Street. The real economy has come to a standstill. The blood has stopped flowing. The world economy is a zombie right now. The major ship companies can't even get the credit or the insurance certification from the major retailers that are planning to buy the goods when they get here.
[29:02.800 --> 29:24.800]  So the majority, the AP reported two weeks ago, 90 plus percent of the ships are staying in port. That's why there's so many shortages of different items. And then after the economy implodes, and after there's not enough physical money to even pay debts in this debt economy, they will bring in the World ID, the world currency.
[29:24.800 --> 29:39.800]  We'll be right back with Kurt and M.O. and I know we have loaded phones. We'll get to all of you. The holidays are right around the corner. The crowds, the countless hours in traffic, finding a parking spot just to buy a gift you're worried they might not like anyway.
[29:39.800 --> 29:58.800]  How about surprising your loved ones with a gift they can use every day of the year? Give the gift of safety with security products from Pepperspray.com. Pepperspray.com carries the largest assortment of Pepperspray and other personal safety devices on the web for your spouse, your children, your coworkers, and more.
[29:58.800 --> 30:13.800]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN. What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[30:13.800 --> 30:28.800]  Shop now at Pepperspray.com or call 1-800-908-9988. That's 1-800-908-9988. Pepperspray.com wishes you and yours a safe and happy holiday season.
[30:43.800 --> 30:53.800]  Thank you for watching Pepperspray.com.
[31:14.800 --> 31:42.800]  Hello, I'm Steve Shank. We're entering a holiday season never before seen in America. We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force
