[00:00.000 --> 00:10.000]  When I grow up, I want to be a rock star!
[15:06.000 --> 15:15.000]  And then the third paragraph admits actually it's completely standard for when a president meets probably with a world leader that he takes the notes to review but they had that line.
[15:15.000 --> 15:21.000]  But then the headline is oh my god we caught him with the Russians just like the fake story that.
[15:21.000 --> 15:26.000]  Manafort met with the signs in the Guardian wasn't true it mattered they know you forget about that.
[15:26.000 --> 15:36.000]  So this is the globalist want to destroy the country want to break down the borders want to demoralize the family want to do all this and they've set up a domestic group.
[15:36.000 --> 15:43.000]  Engaging in the targeting of not just the American people but the people of the world and they're an anti American group of globalist.
[15:43.000 --> 15:45.000]  Now we come back.
[15:45.000 --> 15:48.000]  Now that you have that perspective the big story.
[15:48.000 --> 15:58.000]  Even the New York Times admitted it hoping to hide it in plain view they were criminally investigating Trump as a Russian spy found nothing.
[15:58.000 --> 16:06.000]  Stress is a natural part of life with family friends and everyday accidents can put a lot of strain on the body.
[16:06.000 --> 16:19.000]  Don't let life weigh you down.
[16:19.000 --> 16:24.000]  Happies can help you take back the day with our powerhouse formula.
[16:24.000 --> 16:31.000]  Happies can be an important part of your daily supplement routine with poor diet and the constant on and off of your work life.
[16:31.000 --> 16:41.000]  It's more important than ever to support your body in the fight against stress with powerful ingredients combined to help support the mind and body.
[16:41.000 --> 16:47.000]  Happies helps support during stress promotes overall well being and helps support your mood.
[16:47.000 --> 16:49.000]  Don't let your life bogged down.
[16:49.000 --> 17:02.000]  Help your body overcome the effects of daily stress and pressure today with Happies from info wars store dot com.
[17:02.000 --> 17:11.000]  Years ago info wars life created the powerful micro zx formula to help you combat internal yeast as the years went on and more toxins were pumped into the environment.
[17:11.000 --> 17:15.000]  Our team knew we had to create a bigger and better formula to help support your gut health.
[17:15.000 --> 17:19.000]  Myco zx plus is the result of the search for that formula.
[17:19.000 --> 17:24.000]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[17:24.000 --> 17:27.000]  There's no better product to help your body fight back.
[17:27.000 --> 17:31.000]  Myco zx plus helps support a healthy microbial balance in the body.
[17:31.000 --> 17:36.000]  Supports your digestive tract and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[17:36.000 --> 17:40.000]  Powered by an impressive list of ingredients including grapefruit seed extract.
[17:40.000 --> 17:48.000]  Powdarko bark and grape seed extract. Our formula is fueled by ingredients that stood the test of time as powerful micro balancing properties.
[17:48.000 --> 17:53.000]  Pick up a bottle of the new and improved myco zx plus today at info wars life dot com.
[17:53.000 --> 17:58.000]  That's info wars life dot com.
[17:58.000 --> 18:03.000]  Info wars life is bringing you a breakthrough in modern medicine introducing pollen block.
[18:03.000 --> 18:12.000]  We have found an extraordinary new natural way to alleviate seasonal distress symptoms including promoting clear nasal and sinus passageways.
[18:12.000 --> 18:15.000]  Eye comfort and respiratory function.
[18:15.000 --> 18:25.000]  In the 1960s researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:25.000 --> 18:36.000]  They began studying this effect in published trials and decades later we now have the fruit of this research a fast acting chewable tablet that helps alleviate seasonal distress symptoms.
[18:36.000 --> 18:40.000]  Pollen block is natural and effective. It is not an antihistamine.
[18:40.000 --> 18:50.000]  In fact current research has found that it actually acts by blocking the activity of triptase which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:50.000 --> 18:53.000]  Go outside and enjoy the air you breathe.
[18:53.000 --> 19:03.000]  Head to info wars life dot com and grab a pack of our pollen block chewable tablets.
[19:03.000 --> 19:09.000]  The real red pill plus ladies and gentlemen our team is constantly on the lookout for newer and better ways to improve our products.
[19:09.000 --> 19:16.000]  That's why we're bringing you a brand new version of one of the newest fan favorite products the real red pill plus.
[19:16.000 --> 19:24.000]  The real red pill plus is an all new version of the powerhouse pregnant on product. It features the same great formula that supports your heart rate.
[19:24.000 --> 19:31.000]  Healthy aging process with an all new natural caffeine boost included a powerful pregnant on base.
[19:31.000 --> 19:35.000]  The real red pill could become one of our fellow info wars favorite products.
[19:35.000 --> 19:40.000]  Now with an extra proprietary energy blend inside including green tea extract.
[19:40.000 --> 19:46.000]  And more you can get that extra pick me up all supporting your mind and body in a healthy way.
[19:46.000 --> 19:48.000]  That all the great stuff that real red pill has.
[19:48.000 --> 19:50.000]  It's also got the boost in it.
[19:50.000 --> 20:16.000]  Get the real red pill plus at info wars stores dot com you're listening to the Alex Jones show.
[20:16.000 --> 20:31.000]  We now take you live to the Central Texas Command Center and the heart of the resistance rallying Patriots worldwide.
[20:31.000 --> 21:00.000]  You're listening to the Alex Jones show.
[21:00.000 --> 21:04.000]  Ladies and gentlemen we are back live broadcasting worldwide.
[21:04.000 --> 21:09.000]  I am your host Alex Jones info wars dot com and news wars dot com.
[21:09.000 --> 21:12.000]  Our amongst most banned websites the world for good reason.
[21:12.000 --> 21:22.000]  We're covering the criminal actions of Obama who turned the Muslim Brotherhood in Al Qaeda and ISIS loose all over North Africa and the Middle East killing over a million people.
[21:22.000 --> 21:38.000]  Who then brought an incredible Internet censorship who got laws passed to let foreign controlled intelligence agencies put disinfo and lies in the American press and try to put that witch Hillary Clinton into place.
[21:38.000 --> 21:40.000]  But it didn't go the way they want it.
[21:40.000 --> 21:50.000]  But when Hillary still lost the election they just continued on with the deep state embeds as Trump calls them inside the government.
[21:50.000 --> 21:54.000]  So now that we've talked about that a little bit today.
[21:54.000 --> 21:58.000]  Let's go ahead and move on to the next big developments.
[21:58.000 --> 22:02.000]  Now I shot a very important video.
[22:02.000 --> 22:23.000]  For info wars dot com.
[22:23.000 --> 22:26.000]  And I'll tell you what's amazing about that.
[22:26.000 --> 22:33.000]  You read the article and it's all over the news spinning it like Trump's a Russian agent.
[22:33.000 --> 22:42.000]  And they show pictures of the president standing next to Putin like if you see a president standing next to Putin that means he's an agent of him.
[22:42.000 --> 22:47.000]  And you see the fake headlines that Trump ordered evidence of him meeting with Putin destroyed.
[22:47.000 --> 22:57.000]  And you read the article they go it's actually completely normal to have this go on all other presidents do it with other leaders.
[22:57.000 --> 22:59.000]  He just simply asked for the note so he could review him.
[22:59.000 --> 23:00.000]  But the headlines fake.
[23:00.000 --> 23:05.000]  And then when you get in the body of it they know you don't read that it then gets into more details.
[23:05.000 --> 23:14.000]  So this is how they spend this and they're building towards a crescendo now with all these fake House controlled Democrat investigations.
[23:14.000 --> 23:23.000]  Where the New York Times comes out and says look Trump was under investigation by the FBI.
[23:23.000 --> 23:30.000]  And then paragraph as being a Russian spy and then by paragraph nine you learn nothing was found and he wasn't.
[23:30.000 --> 23:33.000]  But it doesn't matter.
[23:33.000 --> 23:40.000]  Because they've already got the headline up now why they do that because they know there's grand juries in Virginia and in Maryland.
[23:40.000 --> 23:54.000]  That are looking at indicting mainstream news McCabe Comey Hillary Strock Page Robert Mueller all of them.
[23:54.000 --> 24:02.000]  So they know it's all coming out that they lied to Congress when they said he wasn't under espionage investigation.
[24:02.000 --> 24:03.000]  That's illegal.
[24:03.000 --> 24:05.000]  They know they lied to the president.
[24:05.000 --> 24:14.000]  And we know from the emails and text messages the ones that Mueller hasn't destroyed that they were doing it to try to keep him from being elected.
[24:14.000 --> 24:18.000]  And then from him being sworn in and then to have him impeached.
[24:18.000 --> 24:28.000]  So that means it's the definition of a internal coup by US security services which is the number one way.
[24:28.000 --> 24:31.000]  Third world countries become third world.
[24:31.000 --> 24:40.000]  Because instead of being about production and your national identity and tourism and what you stand for you just start having the security services overthrow the elected leaders.
[24:40.000 --> 24:45.000]  And then it's a downward spiral like Rome or like anywhere else.
[24:45.000 --> 24:47.000]  And that's it.
[24:47.000 --> 24:49.000]  It's all cut and dry.
[24:49.000 --> 24:52.000]  But instead of it being oh my gosh Trump was right.
[24:52.000 --> 24:55.000]  They were spying on him for espionage with no evidence and they found none.
[24:55.000 --> 25:00.000]  Instead it's like oh look he was under investigation not wait Rosenstein.
[25:00.000 --> 25:05.000]  And McCabe and others we even have the video clips it's up on info wars.com these articles.
[25:05.000 --> 25:15.000]  They even testified to Congress and met with Congress and met with all these people.
[25:15.000 --> 25:18.000]  And told them lies.
[25:18.000 --> 25:31.000]  The story should be Democrat controlled rogue FBI units caught in live to attempt against Trump administration.
[25:31.000 --> 25:43.000]  Or major leaders the Justice Department FBI caught being Democratic operatives trying to run cool against Trump and perjuring themselves to Congress.
[25:43.000 --> 25:46.000]  I mean it is cut and dry.
[25:46.000 --> 25:53.000]  See they've committed so many crimes they've done so many horrible things now they know there's grand juries out to get them so the media gets crazier and crazier.
[25:53.000 --> 25:56.000]  Look it's Trump secretly meeting with Putin.
[25:56.000 --> 25:58.000]  He ordered it destroyed.
[25:58.000 --> 26:00.000]  You read the article it goes.
[26:00.000 --> 26:02.000]  Actually it's quite normal and blah blah blah.
[26:02.000 --> 26:05.000]  He'd order anything destroyed.
[26:05.000 --> 26:08.000]  Trump concealed details from meetings with Putin.
[26:08.000 --> 26:11.000]  You read the article go ahead and scroll down for TV viewers.
[26:11.000 --> 26:16.000]  It says actually this is completely normal and all administrations do it.
[26:16.000 --> 26:21.000]  All he did was ask for the notes and only asked about he said I didn't order anything concealed.
[26:21.000 --> 26:23.000]  This is I could care less.
[26:23.000 --> 26:27.000]  These are these are crazy meetings.
[26:27.000 --> 26:31.000]  Again the post notes.
[26:31.000 --> 26:37.000]  That this behavior by Trump is not unusual per past presidential standards.
[26:37.000 --> 26:42.000]  If he didn't read it he concealed nothing as if the president can't meet with whoever he wants.
[26:42.000 --> 26:47.000]  So let's continue here Jim Hoffman great job to getwaypundit.com going over all this.
[26:47.000 --> 26:54.000]  High treason New York Times reveals formation of active FBI coup against President Trump based on outlandish rumors.
[26:54.000 --> 27:01.000]  The liberal media wants you to believe Trump is a foreign spy and that crooked James Comey is a hero.
[27:01.000 --> 27:07.000]  The whole Democratic Party cosmology is about hating America and no borders no walls no USA at all.
[27:07.000 --> 27:09.000]  America sucks and all this stuff.
[27:09.000 --> 27:10.000]  American flags are bad.
[27:10.000 --> 27:19.000]  The report reveals the deep state FBI opened investigation on Trump after he fired James Comey in 2017.
[27:19.000 --> 27:26.000]  The investigation was launched based on unverified rumors from the steel report which they admit is a fraud paid for by Hillary
[27:26.000 --> 27:30.000]  and run by the wives and husbands of the FBI agent.
[27:30.000 --> 27:36.000]  The New York Times admitted in the report that there is no evidence that Trump campaign ever had any contact with Russian government officials.
[27:36.000 --> 27:42.000]  The New York Times buried the nugget in the ninth paragraph in their sensational report.
[27:42.000 --> 27:49.000]  This is Jim Hoff writing these political operatives leading the FBI should be tried for treason.
[27:49.000 --> 27:54.000]  Their job at the FBI is not to run a coup against the sitting president based on ridiculous rumors.
[27:54.000 --> 28:00.000]  They should be tried and hanged.
[28:00.000 --> 28:05.000]  And it goes on from there with Trump's tweets about it.
[28:05.000 --> 28:07.000]  Look, these are just a little puppet minions.
[28:07.000 --> 28:12.000]  I just want them to get off our back and people to realize they're the ones trying to plunge the stock market.
[28:12.000 --> 28:16.000]  They're the ones openly trying to get rid of our borders and take our guns.
[28:16.000 --> 28:19.000]  I mean, these globalists are out of control.
[28:19.000 --> 28:21.000]  Meanwhile, here's a few of the other articles I mentioned.
[28:21.000 --> 28:28.000]  More deep state crimes. Rod Rosenstein and FBI Director Ray, not just McCabe, deputy director,
[28:28.000 --> 28:32.000]  lied to Trump in Congress, said he was not under investigation when he was.
[28:32.000 --> 28:34.000]  That's a big damn deal.
[28:34.000 --> 28:36.000]  And here's even Newsweek memorializing it.
[28:36.000 --> 28:40.000]  Trump wasn't an is it target of FBI Russian investigation,
[28:40.000 --> 28:43.000]  says Republican Oversight Committee Chairman Matt Whitom.
[28:43.000 --> 28:47.000]  Prosecutors use grand jury's investigation of Andrew McCabe intensifies.
[28:47.000 --> 28:51.000]  Yeah, McCabe, not to get his ass indicted, told you all that.
[28:51.000 --> 28:55.000]  Oh, when we come back, I'll show you where we first broke this over a year ago.
[28:55.000 --> 28:58.000]  Word for word.
[28:58.000 --> 29:01.000]  Defeat the globalist, hashtag Alex Jones.
[29:01.000 --> 29:05.000]  Defeat the pedophiles, hashtag Alex Jones.
[29:05.000 --> 29:10.000]  Defeat Alexander Cortez and her mindless idiocy with hashtag Alex Jones.
[29:10.000 --> 29:14.000]  Defeat the censors with hashtag Alex Jones.
[29:14.000 --> 29:18.000]  They've tried to ban us off every platform out there, but we've just gotten stronger
[29:18.000 --> 29:23.000]  because you've taken action with hashtag Alex Jones.
[29:23.000 --> 29:28.000]  I am patient zero in the massive banning, but you can override the censors now.
[29:28.000 --> 29:33.000]  And if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[29:33.000 --> 29:37.000]  We've already changed the world together with our laser focus.
[29:37.000 --> 29:43.000]  Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[29:43.000 --> 29:47.000]  Call and talk radio, c-span, shout it out loud and public, hashtag Alex Jones.
[29:47.000 --> 29:52.000]  That's the rallying cry to restore the First Amendment.
[29:52.000 --> 29:59.000]  Creativity and the dynamic human spirit that refuses to submit.
[29:59.000 --> 30:04.000]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[30:04.000 --> 30:07.000]  With changes in diet, unnatural ingredients and stress,
[30:07.000 --> 30:13.000]  you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[30:13.000 --> 30:18.000]  That's why Infowars Life created the powerful vitamin mineral fusion formula.
[30:18.000 --> 30:21.000]  The new platinum standard of advanced multivitamin formulation,
[30:21.000 --> 30:26.000]  vitamin mineral fusion uses a unique delivery system to maximize the effects
[30:26.000 --> 30:29.000]  and give your body the tools it needs to support your body.
[30:29.000 --> 30:33.000]  Using a proprietary process, we've managed to make this powerhouse formula
[30:33.000 --> 30:38.000]  into a delicious concentrated drink mix that's loaded with high quality ingredients.
[30:38.000 --> 30:41.000]  Perfect for a hot summer day or relaxing at home,
[30:41.000 --> 30:47.000]  vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[30:47.000 --> 30:52.000]  Start supporting your body's needs in a great tasting, natural and affordable drink mix
[30:52.000 --> 30:57.000]  with vitamin mineral fusion today, available at InfowarsStore.com.
[30:57.000 --> 31:02.000]  It's really hard to have the energy at the end of the day to still get to the gym
[31:02.000 --> 31:06.000]  or to go for a run or go to the park or heck even take your dog for a walk.
[31:06.000 --> 31:12.000]  Believe me, I know I spend hours in front of a screen and then hours in front of bright lights every day.
[31:12.000 --> 31:17.000]  But thanks to SupermailVitality at InfowarsStore.com, I still have that energy.
[31:17.000 --> 31:21.000]  There's no way I could have the energy at the end of a long day
[31:21.000 --> 31:24.000]  to fight back against the chemicals and the food and water,
[31:24.000 --> 31:29.000]  to fight back against the modern day lifestyle with the screen time and the extended hours
[31:29.000 --> 31:34.000]  to still have the stamina and endurance, energy and drive to get to the gym,
[31:34.000 --> 31:39.000]  get to the park and get exercise that you need for your health.
[31:39.000 --> 31:43.000]  So go to InfowarsStore.com and get SupermailVitality before it's gone.
[31:43.000 --> 31:47.000]  This is actually our last run of SupermailVitality.
[31:47.000 --> 31:52.000]  So I want you to experience SupermailVitality before it's too late.
[31:52.000 --> 31:59.000]  Unleash the Supermail in you with SupermailVitality from InfowarsStore.com.
[31:59.000 --> 32:07.000]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico,
[32:07.000 --> 32:11.000]  where the Chiapas farmers have spent years perfecting their techniques.
[32:11.000 --> 32:16.000]  Based off hundreds of years of traditional techniques and perfect conditions,
[32:16.000 --> 32:22.000]  we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend coffee.
[32:22.000 --> 32:26.000]  Ancient Mayan knowledge is paired with the natural fertility of the land
[32:26.000 --> 32:28.000]  to generate the world's finest coffee bean.
[32:28.000 --> 32:33.000]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[32:33.000 --> 32:40.000]  Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[32:40.000 --> 32:44.000]  You can even choose to start your morning healthier with the immune support blend,
[32:44.000 --> 32:48.000]  infused with a powerful blend to support your immune response and stamina.
[32:48.000 --> 32:50.000]  It's time to take care of your morning routine.
[32:50.000 --> 33:15.000]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfowarsStore.com.
[33:20.000 --> 33:39.000]  Tonight, the New York Times has revealed the existence of an illegal FBI Deep State coup plan
[33:39.000 --> 33:43.000]  operating for over a year and a half against the president.
[33:43.000 --> 33:51.000]  And what's even more amazing is all of the top members of the Deep State from the FBI and Justice Department who are involved
[33:51.000 --> 34:00.000]  have testified to Congress and made public statements that there was no espionage investigation of the president ongoing.
[34:00.000 --> 34:07.000]  And then, just as important, the New York Times has to admit that there was no connections or any evidence
[34:07.000 --> 34:16.000]  of any type connecting President Trump to any type of collusion or activity with the Russians.
[34:16.000 --> 34:23.000]  And then on top of that, we then learned that the FBI was actively covering up Hillary and Robert Mueller
[34:23.000 --> 34:29.000]  and others' connections to Russia and China and others selling this nation out.
[34:29.000 --> 34:35.000]  Now, to understand the big picture and what's coming next and how this nation and the world
[34:35.000 --> 34:41.000]  is at a very dangerous crossroad, it's important to remember that it was Infowars.com and NewsWars.com
[34:41.000 --> 34:47.000]  more than two years ago that began to lay out what was actually happening from our sources,
[34:47.000 --> 34:51.000]  but also my deep research about how the Deep State operated.
[34:51.000 --> 34:55.000]  That's why they were so obsessed with getting us off the air.
[34:55.000 --> 35:02.000]  So after I lay out this latest information that is incredibly historic and dangerous,
[35:02.000 --> 35:07.000]  I'm going to then get into the history of it and what's coming next,
[35:07.000 --> 35:10.000]  because those that don't know history are doomed to repeat it,
[35:10.000 --> 35:15.000]  but you're about to find out why Infowars is so feared and why they want us off the air,
[35:15.000 --> 35:19.000]  because the crimes committed here are high treason.
[35:19.000 --> 35:22.000]  Now, let's get straight into it right now.
