[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[04:26.000 --> 04:32.000]  slash ISIS and that they were staging the chemical attacks because they want to be movie stars. And for Islamist staging attacks,
[04:32.000 --> 04:39.000]  suicide bombings, you name it, is something that they are incredibly proud of.
[04:39.000 --> 04:43.000]  And so they would videotape themselves launching the chemical attack.
[04:43.000 --> 04:48.000]  So that's what we're talking about. But the big news is, when we come back,
[04:48.000 --> 04:54.000]  Trump is signaling new airstrikes and they're now signaling regime change and new sanctions on the Russians.
[04:54.000 --> 04:59.000]  Can somebody say New World War?
[04:59.000 --> 05:03.000]  I'm so excited. The new product at infowarslife.com.
[05:03.000 --> 05:10.000]  In a glass bottle, two months' servings filled to the brim, filled to the absolute top, the real red pill.
[05:10.000 --> 05:16.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it.
[05:16.000 --> 05:19.000]  But boy, does it stimulate because it's beyond that.
[05:19.000 --> 05:25.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients,
[05:25.000 --> 05:31.000]  but it wasn't prescription, but they were charging people $100, $200 for the formulae.
[05:31.000 --> 05:35.000]  And I came up with our own formulae, working with some scientists and developers.
[05:35.000 --> 05:40.000]  Non-GMO, made right here in America, 120 capsules.
[05:40.000 --> 05:43.000]  And ladies and gentlemen, you add the preglenone to it,
[05:43.000 --> 05:49.000]  which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[05:49.000 --> 05:52.000]  It is amazing.
[05:52.000 --> 05:58.000]  Red pill now available at infowarsstore.com and your purchase fugs the operation.
[06:07.000 --> 06:10.000]  Waging war on corruption.
[06:10.000 --> 06:18.000]  It's Alex Jones coming to you live from the front lines of the InfoWars.
[06:22.000 --> 06:24.000]  InfoWars comes to mind.
[06:24.000 --> 06:26.000]  Alex Jones.
[06:26.000 --> 06:29.000]  There's a lot of controversy around this network about Alex Jones.
[06:29.000 --> 06:33.000]  Google is being accused of hiding negative stories about Hillary and her campaign
[06:33.000 --> 06:38.000]  by changing its algorithm to marry stories like the Clinton body count story.
[06:38.000 --> 06:40.000]  That's according to website InfoWars.
[06:45.000 --> 06:49.000]  Martin Luther King has been shot to death and messed with Tennessee.
[06:49.000 --> 06:53.000]  JFK was shot from the back and the front.
[07:02.000 --> 07:04.000]  I think this is a national security imperative.
[07:04.000 --> 07:08.000]  We have clear things that we do not understand how they work,
[07:08.000 --> 07:12.000]  operating in areas that we can't control.
[07:12.000 --> 07:15.000]  USA is this global governance that lasts.
[07:15.000 --> 07:18.000]  Is it one world essential bankers in charge?
[07:18.000 --> 07:20.000]  Israel claims the fact was accidental.
[07:20.000 --> 07:23.000]  Some former U.S. naval officers say it was on purpose.
[07:23.000 --> 07:27.000]  They describe today's action as part of a continuing cover-up.
[07:27.000 --> 07:32.000]  Russian intelligence compiled a dossier on Mr. Trump during visits to Moscow.
[07:32.000 --> 07:34.000]  Russia stopped.
[07:34.000 --> 07:36.000]  Denied everything. He called it all fake news.
[07:36.000 --> 07:39.000]  And he accused CNN of being fake news.
[07:39.000 --> 07:41.000]  This is a national emergency.
[07:41.000 --> 07:47.000]  If they kill Trump or remove Trump, it will cause a massive civil war in this country.
[07:47.000 --> 07:49.000]  This is a female high-level emergency.
[07:51.000 --> 07:52.000]  We are at war with Russia.
[07:52.000 --> 07:56.000]  Are you aware that Mr. Stone also stated publicly that he was in direct communication
[07:56.000 --> 07:58.000]  with Julian Assange in which case?
[07:58.000 --> 08:01.000]  The White House and the president are citing InfoWars.
[08:01.000 --> 08:03.000]  They can shut us down. You're next.
[08:03.000 --> 08:08.000]  If you are receiving this transmission, you are the resistance.
[08:08.000 --> 08:11.000]  It's Alex Jones.
[08:14.000 --> 08:16.000]  Here we are, ladies and gentlemen.
[08:16.000 --> 08:19.000]  April 15th, 2018.
[08:19.000 --> 08:21.000]  We're going to be live for the next two hours as we are every Sunday.
[08:21.000 --> 08:24.000]  But what a momentous and dangerous Sunday.
[08:24.000 --> 08:30.000]  I had the video clips from the UN Security Council emergency meeting today and yesterday.
[08:30.000 --> 08:33.000]  Nikki Haley saying we're preparing to remove Assad.
[08:33.000 --> 08:35.000]  We're preparing more airstrikes.
[08:35.000 --> 08:38.000]  We're preparing more sanctions on Russia.
[08:38.000 --> 08:42.000]  That's why I got so upset in that emergency broadcast we did Friday night.
[08:42.000 --> 08:47.000]  Because Trump is completely flip-flopping from his earlier position on Syria.
[08:47.000 --> 08:51.000]  He knows ISIS founded the modern movements there.
[08:51.000 --> 08:55.000]  That ISIS comes out of Al Qaeda, that the Clintons and the globalists funded this.
[08:55.000 --> 08:57.000]  And he stabilized them at least.
[08:57.000 --> 08:59.000]  Trump has firmly stood against this.
[08:59.000 --> 09:05.000]  As have the good elements of our Pentagon and government.
[09:05.000 --> 09:08.000]  And we know the rebels have been caught not once, not twice, but three times.
[09:08.000 --> 09:10.000]  Sy Hersh has reported it.
[09:10.000 --> 09:12.000]  The UN has confirmed it.
[09:12.000 --> 09:14.000]  Our own military has confirmed it.
[09:14.000 --> 09:16.000]  The rebels three times staged chemical attacks.
[09:16.000 --> 09:22.000]  And then when there was a supposed chemical attack last year and Trump attacked that air base,
[09:22.000 --> 09:28.000]  British defense ministers, British ambassadors all came out instead.
[09:28.000 --> 09:31.000]  Because they're really experts on Syria with their long history there.
[09:31.000 --> 09:37.000]  They said this will embolden the rebels to stage more chemical attacks to then take down Assad.
[09:37.000 --> 09:46.000]  So the West funded the takedown of a sovereign nation, Syria, part of the Arab Spring.
[09:46.000 --> 09:49.000]  That Hillary and others quarterbacked.
[09:49.000 --> 09:51.000]  They got their butts kicked by the Russians.
[09:51.000 --> 09:53.000]  The US then helped for a while.
[09:53.000 --> 09:56.000]  And now right after Trump announces we're going to pull out.
[09:56.000 --> 09:58.000]  And the Russians announced they're going to pull out.
[09:58.000 --> 10:00.000]  Can't let peace break out.
[10:00.000 --> 10:01.000]  There's a chemical attack.
[10:01.000 --> 10:06.000]  But before it can even be proven that it happened, we're told it's the Russians.
[10:06.000 --> 10:12.000]  And then 100 plus cruise missiles get fired at targets inside Syria.
[10:12.000 --> 10:14.000]  And now look at whose side we're on.
[10:14.000 --> 10:18.000]  Hillary Clinton Reuters calls for US to bomb Syrian airfields.
[10:18.000 --> 10:21.000]  Elizabeth Warren on Friday, chemical attacks in Syria are horrifying.
[10:21.000 --> 10:23.000]  And a clear violation of international law.
[10:23.000 --> 10:26.000]  The world must hold Assad accountable for his violence against the Syrian people.
[10:26.000 --> 10:31.000]  And the US should be part of a planned, coordinated, multinational effort.
[10:31.000 --> 10:34.000]  And it goes on from there with all the other Democrats.
[10:34.000 --> 10:38.000]  And that is videos on Friday and Saturday going shame on Democrat support and war.
[10:38.000 --> 10:41.000]  And the Democrats on Twitter and YouTube are so whacked out they go,
[10:41.000 --> 10:46.000]  oh no, it's Trump that's for war, not us, the Democrats that are against it.
[10:46.000 --> 10:52.000]  No, it's the Democrats foaming at the mouth saying Trump's a Russia and trying to overturn our government
[10:52.000 --> 10:56.000]  that have basically bushwhacked him and bullied him
[10:56.000 --> 11:01.000]  and shanghied us into this dangerous potential World War III scenario.
[11:01.000 --> 11:03.000]  Thank God the Russians and others stood down.
[11:03.000 --> 11:09.000]  But they just take bombs raining down on them while western back rebels run around suicide bombing.
[11:09.000 --> 11:12.000]  They come in and kick their butts.
[11:12.000 --> 11:16.000]  Trump takes credit and our military credit gives Russian no credit
[11:16.000 --> 11:19.000]  when they did 90 plus percent of the fighting.
[11:19.000 --> 11:22.000]  Those are facts. I'm loyal to truth.
[11:22.000 --> 11:25.000]  I like the old Donald Trump.
[11:25.000 --> 11:28.000]  I've got a whole stack of news here.
[11:28.000 --> 11:31.000]  Daily Caller's done a good boil down.
[11:31.000 --> 11:40.000]  We have as well of when Trump was anti-war in Syria just a few years ago.
[11:40.000 --> 11:44.000]  And I thought that we'd turn the corner Friday while I went home to see my family.
[11:44.000 --> 11:46.000]  Because Madison had come out, the Secretary of Defense had said,
[11:46.000 --> 11:49.000]  we don't have any evidence that Assad did this. We've got to look at this more.
[11:49.000 --> 11:51.000]  And then the attack came.
[11:51.000 --> 11:59.000]  Clearly Matt has got, Matt has got overruled.
[11:59.000 --> 12:02.000]  So it's a very, very, very sad day.
[12:02.000 --> 12:05.000]  But I agree with the old Trump, not the new Trump.
[12:05.000 --> 12:11.000]  Because you see, if you look at these seven countries that are being overturned,
[12:11.000 --> 12:14.000]  we're going to play a Wesley Clark clip coming up here after the break.
[12:14.000 --> 12:18.000]  Former head of NATO, former top U.S. general.
[12:18.000 --> 12:22.000]  They had to plant the Pentagon to strike these countries and have a whole Arab Spring
[12:22.000 --> 12:27.000]  and destabilize the entire Middle East going back a decade ago.
[12:27.000 --> 12:30.000]  And Obama just picked up where George Bush left off.
[12:30.000 --> 12:36.000]  Not to put good people in, but to put the worst jihadis in to destabilize the entire area.
[12:36.000 --> 12:39.000]  But I'll tell you, I'm in good company with Tucker Carlson.
[12:39.000 --> 12:42.000]  I'm in good company with Laura Ingram and others that have morals,
[12:42.000 --> 12:45.000]  that remember what Trump said, that remember what the military said,
[12:45.000 --> 12:48.000]  that remember how our own military said, we don't want to topple Assad.
[12:48.000 --> 12:51.000]  They're putting something far worse in.
[12:51.000 --> 13:00.000]  This is immoral. We don't want to be al-Qaeda and ISIS's air force.
[13:00.000 --> 13:02.000]  So it's a very, very, very, very sad day to see this.
[13:02.000 --> 13:08.000]  And the questions are, is Trump compromised by the raid on Michael Cohen, his lawyer's office?
[13:08.000 --> 13:11.000]  We know there's no Russian collusion. That's all Hillary.
[13:11.000 --> 13:17.000]  But did they find something perjury about payoffs with women, whatever?
[13:17.000 --> 13:20.000]  It's process. It's not up ever about Russia.
[13:20.000 --> 13:26.000]  It's about a dragnet to find something and to find somebody that perjures themselves
[13:26.000 --> 13:32.000]  so you get a canary that sings and then the dominoes start falling.
[13:32.000 --> 13:36.000]  So folks better think about this long and hard because this is the neocon policy.
[13:36.000 --> 13:39.000]  It's Hillary's policy. It's John McCain's policy.
[13:39.000 --> 13:43.000]  It's the Council on Foreign Relations policy. It's the EU policy.
[13:43.000 --> 13:48.000]  It's the globalist policy to overthrow Syria and all those other countries
[13:48.000 --> 13:54.000]  and then get rid of those buffer zone nations that were Christian nations.
[13:54.000 --> 14:03.000]  Syria was Christian, what, 1200 years ago, captured what in the third century of Islam.
[14:03.000 --> 14:05.000]  And so they've been crypto Christians, a lot of them.
[14:05.000 --> 14:08.000]  And they've been a buffer into Turkey and Europe.
[14:08.000 --> 14:14.000]  Now that buffer zone is falling, ladies and gentlemen, in a big way.
[14:14.000 --> 14:17.000]  Think about that.
[14:17.000 --> 14:24.000]  So has Trump been compromised or why is he saying all this is wrong and bad and now changing it?
[14:24.000 --> 14:28.000]  And then a lot of you said, not most of you, but a large minority said,
[14:28.000 --> 14:33.000]  Jones, settle down. These are precision strikes. They're not going to take out of side.
[14:33.000 --> 14:36.000]  Well, now Nikki Haley's come out. I got the video coming up as well.
[14:36.000 --> 14:41.000]  A lot of videos next segment and she's come out and vowed.
[14:41.000 --> 14:47.000]  Trump vows to sanction more airstrikes against Syria.
[14:47.000 --> 14:50.000]  If there's more chemical attacks, well, the rebels now are really going to do it.
[14:50.000 --> 14:53.000]  That's how they take out who's been beating them.
[14:53.000 --> 14:59.000]  The time for talk ended last night. Haley told an emergency meeting of the Security Council on Russia.
[14:59.000 --> 15:04.000]  We're prepared to sustain the pressure that the Syrian regime is foolish enough to test our will.
[15:04.000 --> 15:08.000]  And then boom, the rebels they've trained, the globalists have trained, carried under chemical attack.
[15:08.000 --> 15:10.000]  She says she spoke to President Trump this morning.
[15:10.000 --> 15:15.000]  She said if the Syrian regime uses this poisonous gas again, the United States is locked and loaded.
[15:15.000 --> 15:20.000]  Well, you know the globalists want to have Syrian regime changed.
[15:20.000 --> 15:23.000]  And so magically the rebels have been caught before they're going to do it again.
[15:23.000 --> 15:28.000]  Right as the Russians were pulling out, right as peace broke out, right as al-Qaeda got its butt kicked.
[15:28.000 --> 15:31.000]  Can't allow that.
[15:31.000 --> 15:34.000]  Can't allow ISIS to have their butt kicked so.
[15:34.000 --> 15:37.000]  Oh, if anybody uses chemicals, we blame Assad.
[15:37.000 --> 15:42.000]  Well, you know, man, I bet the chemical attacks happen in the next two weeks.
[15:42.000 --> 15:45.000]  And it'll be immediately. Assad did it.
[15:45.000 --> 15:49.000]  The U.S. has the biggest weapon in the world aimed at Assad saying, you use it, we'll blow your head off.
[15:49.000 --> 15:53.000]  So the first thing he'll do when he's winning is go out and do the one thing that'll destroy him.
[15:53.000 --> 15:59.000]  Are any of us that stupid to believe that? I mean, is this historical garbage?
[15:59.000 --> 16:02.000]  I tried to sit here and tell you about the 60 plus products.
[16:02.000 --> 16:05.000]  We have it in Fuller's life. It take hours.
[16:05.000 --> 16:08.000]  Michael ZX Plus now has a lower price. It's stronger.
[16:08.000 --> 16:13.000]  It's the other equation in probiotics. It knocks out the yeast, the mold, the candida.
[16:13.000 --> 16:17.000]  It's back in stock. The real red pill, it's been sold out for months.
[16:17.000 --> 16:21.000]  It's got the preglonone that's the precursor to all the natural hormones in your body.
[16:21.000 --> 16:24.000]  Then it's got all the minerals and the vitamins, the amino acids.
[16:24.000 --> 16:31.000]  So you can upload it. And our latest product that goes great with the super blue colloidal silver and iodine 4 to 5 toothpaste
[16:31.000 --> 16:36.000]  is super blue silver immune gargle. That's a spray you do. You can also swallow it.
[16:36.000 --> 16:42.000]  It's a supplement with iodine, super high quality silver, and a lot more.
[16:42.000 --> 16:47.000]  Without you, we couldn't do it. So thank you all for remembering infowarstore.com
[16:47.000 --> 16:51.000]  and remembering that it's not just you that's already awake, but it's other people that aren't awake.
[16:51.000 --> 16:57.000]  And it's so essential to spread the word. Again, thank you so much for being part of the Second American Revolution.
[17:22.000 --> 17:32.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[17:32.000 --> 17:39.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[17:39.000 --> 17:46.000]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[17:46.000 --> 17:57.000]  Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and BioTrue Selenium at infowarslife.com
[18:16.000 --> 18:21.000]  Check out this innovative and smart technology that's easy to use, and let me tell you something.
[18:21.000 --> 18:28.000]  It is perfect for freeze-drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[18:28.000 --> 18:34.000]  That's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating,
[18:34.000 --> 18:38.000]  you know like what you get at the grocery store, there is no comparison.
[18:38.000 --> 18:47.000]  Harvestrite freeze dryers retain 97% of the food's taste, color, and nutritional value, and have a shelf life of up to 25 years.
[18:47.000 --> 18:55.000]  Now that's what I call the miracle of food preservation. Harvestrite is truly the world's best, most affordable freeze dryer.
[18:55.000 --> 19:09.000]  What are you waiting for? Check it out right now at infowarsstore.com
[19:26.000 --> 19:30.000]  For you folks who are big, normal toothpaste fans, the super blue is awesome.
[19:30.000 --> 19:36.000]  And thank you so much, Alex, for the infowarslife products. They are quality. I can't wait to get some more.
[19:36.000 --> 19:40.000]  And thank you so much for doing that for us to keep us healthy. Absolutely.
[19:40.000 --> 19:48.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on.
[19:48.000 --> 19:55.000]  And if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[20:19.000 --> 20:30.000]  You are listening to an infowars.com frontline report. It's Alex Jones.
[20:30.000 --> 20:39.000]  Remember what Jonathan Gruber, hired by Obama's White House, said in seven different national TV programs, including C-SPAN.
[20:39.000 --> 20:52.000]  He said, our whole system is based on the public not having an attention span, not having a memory. And he said, thank God, they're so stupid.
[20:52.000 --> 20:58.000]  Well, ladies and gentlemen, we have all the video clips. We have all the articles.
[20:58.000 --> 21:09.000]  We have our Pentagon. We have the UN. We have Ron Paul. We have Cy Hirsch. We have Colonel Schaefer. We have Ron Paul, Senator Paul, Senator Cruz, all.
[21:09.000 --> 21:15.000]  Five years ago, saying the rebels are al-Qaeda. Then the rebels are ISIS. The rebels are staging chemical attacks.
[21:15.000 --> 21:19.000]  They've been confirmed doing it three times.
[21:19.000 --> 21:31.000]  In fact, I had Nigel Farage, founder of UKIP and so much more on Thursday, saying what a horrible idea it would be if there was a war over there.
[21:31.000 --> 21:43.000]  And he pointed out that I'd forgotten that ISIS has been caught and confirmed 49 times using chemical weapons and they shoot videos of themselves using them,
[21:43.000 --> 21:49.000]  including in Syria, screaming al-Aqbar and firing the mortars.
[21:49.000 --> 21:58.000]  And so, look, type that into a search engine. ISIS has been caught 40-plus times staging chemical attacks. This is admitted.
[21:58.000 --> 22:02.000]  But when they do it, it's not even news.
[22:02.000 --> 22:06.000]  So, Trump now wants to remove Assad.
[22:06.000 --> 22:15.000]  After all the things he said and all the things he did, there's a great Daily Caller article. Is there any surprise? That's Tucker Carlson owns that.
[22:15.000 --> 22:21.000]  Flashback. Here's a list of the times Trump warned against getting involved in Syria.
[22:21.000 --> 22:29.000]  And I'm seeing some so-called conservatives saying they don't like Laura Ingraham or Tucker Carlson now that they're against this war.
[22:29.000 --> 22:37.000]  Well, they point out that it's Assad that had just won and doesn't have the history and doesn't have the motive and the rebels have been caught
[22:37.000 --> 22:42.000]  and that Trump always said he was against this and that Hillary and Elizabeth Warren are for it.
[22:42.000 --> 22:47.000]  So, I could just say shame on the warmongers, but you know who's even worse?
[22:47.000 --> 22:55.000]  The Democrats are the biggest voice for war. Hell, they want war with Russia. They're so crazed.
[22:55.000 --> 23:01.000]  And you know, Trump knows all about this. General Flynn briefed him. He knew about it during the campaign before the campaign.
[23:01.000 --> 23:11.000]  He's like, Hillary founded ISIS, John McCain's working with Al Qaeda in ISIS. We shouldn't be there. We should pull out as a sovereign nation.
[23:11.000 --> 23:14.000]  Bad idea.
[23:14.000 --> 23:18.000]  Remember all these freedom fighters in Syria want to fly planes into our buildings.
[23:18.000 --> 23:21.000]  Donald Trump, August 28, 2013.
[23:21.000 --> 23:27.000]  So that's the Donald Trump I love. We should say the hell out of Syria. The quote, rebels are as bad as the current regime.
[23:27.000 --> 23:37.000]  What will we get ourselves and our money into? Billions. Zero. June 16, 2013. It just goes on. There's hundreds of these.
[23:37.000 --> 23:41.000]  What will we get from bombing Syria besides more debt and possible long-time conflict?
[23:41.000 --> 23:50.000]  Obama needs congressional approval. Ooh, Trump says he doesn't need approval now when you do and it violates international law.
[23:50.000 --> 23:55.000]  And boy, has Gorka flipped like a dead fish in the sun floating around in a rotten ocean.
[23:55.000 --> 23:59.000]  He's come out and attacked Laura Ingram and said, oh, the founders would want us to strike.
[23:59.000 --> 24:04.000]  No, they were against foreign entanglements. Gorka. I mean, I know you're not from America. I'm not bashing the fact.
[24:04.000 --> 24:09.000]  We've got a lot of people that are new here and, you know, say they're Americans, a lot of them are.
[24:09.000 --> 24:14.000]  But you, sir, don't, oh, the founders were for foreign entanglements.
[24:14.000 --> 24:21.000]  Thomas Jefferson was the first person to launch a foreign entanglement because nine out of ten of our ships got robbed.
[24:21.000 --> 24:26.000]  And we went over there for about two months with the Marines and sunk all the pirates and came home.
[24:26.000 --> 24:33.000]  Yeah, you got documented. Who's doing it? The pirates are demanding ransoms. The previous president is paying ransoms.
[24:33.000 --> 24:41.000]  You know where the sheik lives, where his castle is, where he's doing it, send in the Marines, kill them all.
[24:41.000 --> 24:53.000]  Yeah. If Assad got up there and said, I'm launching chemical weapons, Hal Hitler or whatever and fired him, I'd say bomb Damascus.
[24:53.000 --> 25:00.000]  That's tyranny. But see, that's not what's going on here.
[25:00.000 --> 25:02.000]  So it's sick.
[25:02.000 --> 25:05.000]  All right, let's start getting the clips or I'll never get to all of them. There's so many.
[25:05.000 --> 25:13.000]  And over more of Trump's tweets. But I'm being attacked, folks. Oh, Alex Jones is horrible.
[25:13.000 --> 25:17.000]  He says F what Trump did. Yeah, yeah. Nuclear war gets me a little angry.
[25:17.000 --> 25:24.000]  I didn't say on the live show, but that's what I said on the live feed is that if this is where Trump's going, I'm not in a cult for Donald Trump.
[25:24.000 --> 25:32.000]  I'm into the Republic of the truth. And I'm sure not with the war mongering. I came. I saw he died bloodthirsty Hillary and all you crazy Democrats.
[25:32.000 --> 25:37.000]  Who again, when I shot videos about over the weekend to a person on Twitter, the Democrats popped in.
[25:37.000 --> 25:42.000]  Everyone that popped in said, you're crazy. We're against the war. Democrats don't want this.
[25:42.000 --> 25:46.000]  Boy, you must not be reading what all the top Democrats are saying.
[25:46.000 --> 25:53.000]  So have they broken Trump? Are they starting to flip them?
[25:53.000 --> 25:57.000]  How many times is the Pentagon giving us fake WMD intel?
[25:57.000 --> 26:04.000]  He's following the globalist plan now. And will he start flipping on other stuff? We'll see.
[26:04.000 --> 26:09.000]  But his advisors go, sir, you're up 10 points. Those are fake polls. He's been up way more than 10 points.
[26:09.000 --> 26:18.000]  They're just doing fair polls now. That's a sugar high. Every time they do these military strikes in months, their approval rating goes straight down.
[26:18.000 --> 26:26.000]  Because they rigged the polls more to try to get full control of the presidents to really start wars. It's insane.
[26:26.000 --> 26:31.000]  So here's Nikki Haley at the U.N. this weekend saying, we're locked and loaded.
[26:31.000 --> 26:37.000]  Trump's saying, I'm ready for more strikes and sanctions on Russia to be announced Monday. We're off to the races.
[26:37.000 --> 26:43.000]  And Mueller's not going to back down. No, he's moved on to other stuff because there's no Russian collusion.
[26:43.000 --> 26:47.000]  And Trump, I guess, has just rolled over. Here it is.
[26:47.000 --> 26:55.000]  We will continue to seek out and call out anyone who uses and anyone who aids in the use of chemical weapons.
[26:55.000 --> 27:02.000]  The United States of America will not allow the Assad regime to continue to use chemical weapons.
[27:02.000 --> 27:09.000]  Last night, we obliterated the major research facility that it used to assemble weapons of mass murder.
[27:09.000 --> 27:21.000]  I spoke to the president this morning and he said if the Syrian regime uses this poisonous gas again, the United States is locked and loaded.
[27:21.000 --> 27:28.000]  When our president draws a red line, our president enforces the red line.
[27:28.000 --> 27:35.000]  So Obama drew a red line knowing that the rebels would stage the chemical attack so he could go after Syria.
[27:35.000 --> 27:38.000]  But the news came out because the dumb rebels shot video of themselves.
[27:38.000 --> 27:43.000]  We ought to pull that back up with big Saudi Arabian mortars screaming Allah Akbar when they fired it.
[27:43.000 --> 27:49.000]  So we've gone from Secretary of Defense last week, Thursday and Friday, saying there's not evidence of Assad doing this.
[27:49.000 --> 27:56.000]  He doesn't have the motive. Our own Pentagon saying that. British Special Forces, everybody, British ambassadors, everybody saying that.
[27:56.000 --> 28:02.000]  Assad saying we didn't do it. Send in inspectors. Russia saying they didn't do it.
[28:02.000 --> 28:07.000]  Now it turns out that Russian, they got nerve gas and his daughter wasn't the type of nerve gas they said.
[28:07.000 --> 28:16.000]  That's mainstream news, but back in the paper. See all these pretexts for war with Syria and then Russia, it's off to the races.
[28:16.000 --> 28:25.000]  It's here when we come back. She gets into sanctions against Russia.
[28:25.000 --> 28:32.000]  Then we've got Wesley Clark from a decade ago explaining this plan that is just ongoing and Trump has now rolled over to that in adoption.
[28:32.000 --> 28:37.000]  Does it mean I'm not going to vote for patriots? Does it not mean that obviously I'll vote for Trump over Democrats?
[28:37.000 --> 28:40.000]  No, it's just the magic starting to dissipate.
[28:40.000 --> 28:49.000]  And it shows he's starting to get on track with the system and aid al Qaeda and ISIS to take out Syria that's valiantly fought against the globalist.
[28:49.000 --> 28:58.000]  And they're trying to start a war with Russia. This is dangerous. And I told you on Friday, look next for them to announce more airstrikes. This just opened the door.
[28:58.000 --> 29:05.000]  They use their media to assassinate real news. They use their schools to teach children that their president is another Hitler.
[29:05.000 --> 29:12.000]  They use their movie stars and singers and comedy shows and awards shows to repeat their narrative over and over again.
[29:12.000 --> 29:30.000]  And then they use their ex-president to endorse the resistance all to make them march, make them protest, make them scream racism and sexism and xenophobia and homophobia to smash windows, burn cars, shut down interstates and airports, bully and terrorize the law abiding.
[29:30.000 --> 29:40.000]  Until the only option left is for the police to do their jobs and stop the madness. And when that happens, they'll use it as an excuse for their outrage.
[29:40.000 --> 29:51.000]  The only way we stop this, the only way we save our country and our freedom is to fight this violence of lies with a clenched fist of truth.
[29:51.000 --> 29:58.000]  I'm the National Rifle Association of America and I'm Freedom's Safest Place.
[29:58.000 --> 30:10.000]  After years of research working with top developers here in the United States with the latest cutting-edge science, we are rolling out three new digestive gut aids.
[30:10.000 --> 30:18.000]  One of them is a powerful pro-digestive enzyme carnivore for being able to break down meat and other proteins better.
[30:18.000 --> 30:28.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolive advanced restoration.
