[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[08:11.000 --> 08:17.000]  The Department of Energy has all these apologies and letters and websites about it, and they admit they did it.
[08:17.000 --> 08:28.000]  So to sit there and say they don't do this when there's thousands and thousands of programs, tens of thousands of separate cases alone in those thousands of programs that are declassified.
[08:28.000 --> 08:35.000]  For me to sit up here and talk about this could be the government is the first thing we should do.
[08:35.000 --> 08:47.000]  You know, they've had two releases in 2001 and then again last year out of the Porton Down Bioweapons Lab, Zoological Lab, in England.
[08:47.000 --> 08:56.000]  And then suddenly simultaneously it spreads all over England to the cows and sheep in just a matter of days and separate sites, hundreds of miles apart.
[08:56.000 --> 09:03.000]  And it's a weaponized form and we knew it was weaponized and said it was and it came out it was and they said, oh, somebody snuck out of the lab with it.
[09:03.000 --> 09:09.000]  And simultaneously this one rogue person went to hundreds of farms and, I mean, come on, folks.
[09:09.000 --> 09:22.000]  And then the government admits they released this deadly horse flu in Australia and they say, oh, some bad employee that's an environmentalist snuck out and gave horses all over Australia, thousands of miles apart.
[09:22.000 --> 09:23.000]  It all pops up at once.
[09:23.000 --> 09:25.000]  This is done by design.
[09:25.000 --> 09:29.000]  Now, I have some of the history of that.
[09:29.000 --> 09:31.000]  They had another Spanish flu.
[09:31.000 --> 09:41.000]  They had a swine epidemic in 1918 that killed several million people worldwide.
[09:41.000 --> 09:46.000]  600,000 died in UK, France, and Germany alone.
[09:46.000 --> 09:58.000]  548,452 died in the US, so just we'll say millions worldwide. That was the second one.
[09:58.000 --> 09:59.000]  And then it goes on.
[09:59.000 --> 10:00.000]  This is from the encyclopedia.
[10:00.000 --> 10:04.000]  It says another 20 to 50 million, I guess, from that wave.
[10:04.000 --> 10:06.000]  So you've got that going on.
[10:06.000 --> 10:08.000]  So we have to take this very seriously now to be clear.
[10:08.000 --> 10:11.000]  I want to be clear out of the gates here with everyone.
[10:11.000 --> 10:23.000]  I'm just reporting what the news is saying here, and I want to be more clear about this, that this is probably, well, it's not a false alarm if you're the 68 dead people in Mexico City.
[10:23.000 --> 10:29.000]  That's not a false alarm of your people being quarantined in South Texas hospitals like San Antonio.
[10:29.000 --> 10:35.000]  And the city of San Antonio is the AP's reporting.
[10:35.000 --> 10:41.000]  In fact, guys, I was printing that out there earlier, the San Antonio quarantine article, I forgot to bring it in, but you asked Aaron to bring it in.
[10:41.000 --> 10:43.000]  Thanks.
[10:43.000 --> 10:44.000]  Plastic Alex Jones.
[10:44.000 --> 10:58.000]  I've been at home for five, six hours a day printing articles, doing research, and then didn't think, looked over at the printer, pulled out this giant stack at seven when I had to drive into the office, and the printer had run out of ink, and it was worthless.
[10:58.000 --> 11:13.000]  That's why I run into the office here and I'm like, print this, print that, and we're a small little independent news outfit that is not controlled by corporate funding so we can talk about whatever we wish here, but sometimes the antics are amazing and generally it's my fault.
[11:13.000 --> 11:17.000]  Okay, but let me just break this down.
[11:17.000 --> 11:33.000]  Number one, if this is a normal, regularly occurring flu, because there's always new mutations hundreds a year that can make humans sick or even kill them, and between 15 and 30,000 Americans die each year from flu.
[11:33.000 --> 11:45.000]  I say 15 to 30,000 is the numbers put out by the CDC and the government are wide ranging year to year, but on the low and 15,000 on the high end, it's actually in as high as 35,000.
[11:45.000 --> 11:52.000]  But a lot of those are elderly people and folks that are sick and already had bad immune systems and the media likes to hype up flu to push inoculation.
[11:52.000 --> 12:00.000]  And so I tend to go with the low end, but still, if you're one of the 15,000 dead on the low end, it's still catastrophic for you.
[12:00.000 --> 12:03.000]  One person dies, it's catastrophic.
[12:03.000 --> 12:07.000]  So I want to be clear here, we're not saying this is a pandemic.
[12:07.000 --> 12:10.000]  The mainstream media is saying it's a pandemic.
[12:10.000 --> 12:16.000]  The mainstream media has all these headlines, fear mongering.
[12:16.000 --> 12:21.000]  But I've made some calls to some medical doctors and some virologists this evening.
[12:21.000 --> 12:28.000]  And today, and I did a lot of research, and I'm going to be having some of those men and women on on the Sunday show tomorrow, 4 to 6 p.m.
[12:28.000 --> 12:29.000]  That's on the AM and FM dial.
[12:29.000 --> 12:34.000]  This is internet only right now, though I'm told some micros and a few affiliates are picking it up.
[12:34.000 --> 12:54.000]  And I'll be detailing this more on Monday, Tuesday, we'll have guests on about it because regardless of whether this turns out to be a real pandemic or whether it's a false alarm, it illustrates things we should be concerned about as a society.
[12:54.000 --> 13:02.000]  Now, I've done a lot of research on the flu because I saw the New World Order hyping it and pushing it and all these headlines.
[13:02.000 --> 13:10.000]  Google them, 1 billion to die from bird flu, 3 billion to die from pig flu and swine flu.
[13:10.000 --> 13:14.000]  And I would see this 4, 5, 6, even 10 years ago, they were hyping it.
[13:14.000 --> 13:17.000]  And I went and I've researched it and interviewed a lot of doctors and people.
[13:17.000 --> 13:31.000]  So what I'm saying is with the doctors and virologists and epidemiologists said, it's not Alex Jones, that anytime you have something break out, even with airports and travel, when you have something simultaneously break out within a few days all over the world
[13:31.000 --> 13:34.000]  and all over regions like North America.
[13:34.000 --> 13:51.000]  And if it doesn't burn itself out very, very quickly, if it doesn't dissipate and become harmless, first weekend and then become harmless, very, very quickly, it is staged.
[13:51.000 --> 14:02.000]  And I talked to one medical doctor tonight and he said, look, I want to do more research on this, but Alex, here's some emails, here's the mainline medical charts on this.
[14:02.000 --> 14:06.000]  You can see the viral charts and we'll come on soon, but they wanted to do more research.
[14:06.000 --> 14:13.000]  But the point is, and they were busy at a family event to go to, we'll have some of those doctors again on tomorrow and Monday.
[14:13.000 --> 14:16.000]  But this is all common knowledge, so you can look it up.
[14:16.000 --> 14:31.000]  This is all done in short notice. If you have a real mutation, say, in Mexico City, somewhere where they're breeding pigs next to chickens, and then they're mixing all of the feces together, that's generally where it mutates.
[14:31.000 --> 14:37.000]  As a honeypot, like the Germans do, the Mexicans do it too, to create fertilizer.
[14:37.000 --> 14:51.000]  They let the human waste pool, then bacterial blooms take place, it heats up to 130 degrees, the bacteria then die on their own excrement, and then it basically becomes good fertilizer and there's really no pathogens in it.
[14:51.000 --> 15:02.000]  But within that toxic stew while it's fermenting, that's where you get the natural virus crossovers and mutations.
[15:02.000 --> 15:14.000]  Though it is incredibly rare to have a bird flu or the swine flu or the human flu mutate together, and then it's even more rare.
[15:14.000 --> 15:20.000]  This is tea. It's even more rare to have the strains.
[15:20.000 --> 15:27.000]  Normally you see it in South Korea or China, where they have this type of agriculture and big groups of people huddled together.
[15:27.000 --> 15:36.000]  You will see it start in China, start in South Korea, and you notice it never really gets to Europe, it burns itself out.
[15:36.000 --> 15:47.000]  And it will be flus, whether they're birds, swine, human, that have been seen and tracked in years past that will mutate together, and it'll be regional, because that's where it happens.
[15:47.000 --> 16:09.000]  In this case, it's from Europe, Asia, and North America, all mutating outside Mexico City, surrounding areas, appears to be the epicenter of this, and now here's the third part of what's key.
[16:09.000 --> 16:15.000]  First off, it's rare to have three of them together, human, bird, and swine together.
[16:15.000 --> 16:23.000]  Then it's very bizarre to have them have it from all over the world, from Asia, from Europe, and from North America together, mutating together.
[16:23.000 --> 16:30.000]  This normally happens, again, in agricultural slurries.
[16:30.000 --> 16:40.000]  Now, why if it's a naturally occurring pandemic of some type of dangerous virus or even bacteria?
[16:40.000 --> 16:53.000]  Why if it's naturally occurring by the time it gets to other countries or crosses borders, it almost always burns itself out and mutates into something that's not harmful or less harmful?
[16:53.000 --> 17:08.000]  Because, you know, to match up, to be zoological especially, and to be able to hit humans outside of its species, bird or pig, or whatever the case may be,
[17:08.000 --> 17:10.000]  it's like hitting a bullet with a bullet.
[17:10.000 --> 17:16.000]  It's very rare out of the trillions of viral interactions going on in any one area at a time.
[17:16.000 --> 17:19.000]  It's uncalculable the amounts of interactions going on.
[17:19.000 --> 17:20.000]  It's probably infinity.
[17:20.000 --> 17:24.000]  It's incredible, nearing infinity.
[17:24.000 --> 17:33.000]  So what we're dealing with here is an issue where if this started in Mexico, by the time it got into one person,
[17:33.000 --> 17:43.000]  one flu virus goes in and plugs in to the stomach wall, plugs in to the mucous membrane, it starts replicating,
[17:43.000 --> 17:48.000]  and it might create a million more viruses inside that cell.
[17:48.000 --> 17:56.000]  The cell busts open, you know, virus plugs in, programs it, turns the cell's engine on to manufacture viruses.
[17:56.000 --> 17:58.000]  The cell swells, busts open.
[17:58.000 --> 18:01.000]  There's a million viruses, sometimes more, sometimes less.
[18:01.000 --> 18:04.000]  Some systems, there's tens of millions they report.
[18:04.000 --> 18:11.000]  But a million viruses spill out whose DNA has now been replicated, and you're going to have a mutation right there.
[18:11.000 --> 18:13.000]  It hits the next group of cells.
[18:13.000 --> 18:15.000]  Now the millions turn into billions.
[18:15.000 --> 18:17.000]  They replicate.
[18:17.000 --> 18:19.000]  This is when you start getting sick.
[18:19.000 --> 18:21.000]  Your body heats up to slow down the viruses.
[18:21.000 --> 18:23.000]  It sends out white blood cells.
[18:23.000 --> 18:28.000]  Okay, that first virus hits, boom, a million more come out.
[18:28.000 --> 18:32.000]  Then a billion, then hundreds of billions, and thousands of trillions, then trillions.
[18:32.000 --> 18:37.000]  There's mutations and errors in the code as all of this goes on.
[18:37.000 --> 18:44.000]  And, you know, a virus gets blasted by a group of white blood cells, and it mutates even more than it mixes with human DNA.
[18:44.000 --> 18:46.000]  It's changing.
[18:46.000 --> 18:49.000]  All these things are going on inside the cells.
[18:49.000 --> 18:53.000]  And then this guy sneezes in a grocery store as he's getting sick in Mexico City.
[18:53.000 --> 19:02.000]  Somebody else gets it. This time it's a trillion replications later.
[19:02.000 --> 19:07.000]  Of course, they would say, you know, each time the virus replicated, it would be one replication.
[19:07.000 --> 19:09.000]  Let's actually say it's ten replications later.
[19:09.000 --> 19:13.000]  But there's all sorts of different replications and chains going on in different variants.
[19:13.000 --> 19:15.000]  So we could say a trillion or we could say ten.
[19:15.000 --> 19:18.000]  But let's just say it's already mutated several times.
[19:18.000 --> 19:21.000]  The person sneezes.
[19:21.000 --> 19:23.000]  Someone inhales that.
[19:23.000 --> 19:26.000]  Now it starts replicating and mutating again.
[19:26.000 --> 19:32.000]  And by the time it's gone through 10, 15 different people, that's thousands and thousands of replications.
[19:32.000 --> 19:35.000]  Depending on how you look at it, it could be trillions of replications.
[19:35.000 --> 19:40.000]  But major changes have happened many, many times now, thousands of times.
[19:40.000 --> 19:49.000]  And so by the time it gets from Mexico City to South Texas and San Antonio and then Austin and Kansas and New York and Montreal and all airplanes,
[19:49.000 --> 20:03.000]  all over the world, it has mutated, mutated, mutated, mutated, mutated, mutated, mutated, mutated, mutated, mutated, mutated, mutated until it is no longer as deadly as it was or as harmless.
[20:03.000 --> 20:17.000]  Now talking to doctors, and that's why the particular doctor I talked to said, well, it looks like if it does start killing people in the U.S., then it is manufactured.
[20:17.000 --> 20:21.000]  It is manufactured.
[20:21.000 --> 20:33.000]  But if, in fact, I had this question all day, so I was calling doctors up, you know, out of my Rolodex and virologists, and then looking online and trying to study it, even though I had a lot of knowledge on it.
[20:33.000 --> 20:41.000]  Because they're reporting 68 dead as of this morning, and now the BBC is reporting doctors inside hospitals are saying there's a cover-up, because they don't want to have a panic,
[20:41.000 --> 20:47.000]  that it's over 200 dead. I've got that report up on infowars.com and prismplanet.com right now.
[20:47.000 --> 20:55.000]  Drudge is also a good clearinghouse of all this news that I've seen. Just giving you the best places I've seen.
[20:55.000 --> 21:02.000]  And with the most coverage, infowars.com, prismplanet.com. Drudge is good as well.
[21:02.000 --> 21:09.000]  Because I'm saying, wait, it's killing all these people in Mexico City. Everybody's wearing masks. The military's locking the cities down.
[21:09.000 --> 21:16.000]  They're basically declaring martial law down there. They got people quarantined in South Texas, and that's on record. Families are quarantined in several towns.
[21:16.000 --> 21:21.000]  There's people at hospitals quarantined in San Antonio and other hospitals. This is happening.
[21:21.000 --> 21:30.000]  But they're saying no deaths in the U.S., but all these deaths in Mexico.
[21:30.000 --> 21:41.000]  Well, if it is a naturally occurring mutation, if it wasn't injected or sprayed on people or put in food by Black Ops,
[21:41.000 --> 21:49.000]  as they've been caught in the New York Subways in 1968, releasing a bioagent, deaths resulted, details remain classified.
[21:49.000 --> 21:59.000]  You can just Google that. It can mainstream news. All these other cases. If it pops up all over the place like weaponized footmouth did in England in 2001,
[21:59.000 --> 22:05.000]  I mean, you can look at the maps all over England, hundreds of miles apart in a two-day period. Weaponized footmouth pops up.
[22:05.000 --> 22:12.000]  We go on air. We have scientists. All we go, this is weaponized. This is killing most of the cows and sheep that get it. That doesn't happen with regular footmouth.
[22:12.000 --> 22:18.000]  Only the British and U.S. and French governments and the Russians have things like this. Then the government goes, oh, yeah, it's porting downstream.
[22:18.000 --> 22:28.000]  Somebody stole it out of our level four bio weapons lab and, again, was able to go spread it on farms and areas all over the country instantaneously.
[22:28.000 --> 22:35.000]  Baloney, that was the government. And they use it to crack down, take over agriculture, get control. Then they released it again last year.
[22:35.000 --> 22:43.000]  They've been caught in Australia doing it. They've been caught just Google. British government caught, you know, releasing bubonic plague over British cities.
[22:43.000 --> 22:57.000]  Google entire of England, entire nation, entire, entirety. I forget the exact headline, but there's a headline in BBC where the whole country's been sprayed at one time or another with different agents.
[22:57.000 --> 23:21.000]  And that happens here in all these tests. But the point is, is that if it simultaneously pops up all over the place, all over a wide area, and it has the exact same response, and it doesn't mutate quickly, then nine times out of 10, that's putting it lightly, it is staged.
[23:21.000 --> 23:36.000]  Now, you take that information and we don't know yet. We don't know. Maybe that's why it's not killing people in Canada and the United States from Kansas to Montreal to towns right outside Austin, Texas, where I'm coming to you from right now.
[23:36.000 --> 23:41.000]  We're coming to you from Austin, Texas, just north of the San Antonio that has confirmed cases.
[23:41.000 --> 23:53.000]  I-35 is right down the street from here, just a mile away from me, and it goes right to San Antonio. San Antonio is that way, to my south.
[23:53.000 --> 24:15.000]  So, we don't know. It's just very suspicious studying this for a decade with top experts, and all these murders are microbiologists that work specifically with weaponized flu, been brutally murdered and killed and tortured all over from Australia to Russia to Germany to England to the United States, to Mexico, to Chile,
[24:15.000 --> 24:30.000]  to knowing the CDC and Homeland Security and the Security and Prosperity Partnership, stating and classified documents that judicial watch suit and got that they could use an economic crisis, a military crisis, or a flu pandemic, a dark winter scenario,
[24:30.000 --> 24:44.000]  to bring in martial law, to bring in the North American Union to say, oh my God, look at our borders. We were unable to shut these down quick enough, but they want a continental border, merging our police and military, openly, you know, the same command and control will still be separate.
[24:44.000 --> 24:53.000]  Operationally under control, like NATO, you know, commands 15-something nations, but it's separate nations, but all under its joint command.
[24:53.000 --> 25:06.000]  So, it's operational integration. They said they would use things like this. So, then you have Barack Obama and the Bushes and everybody else owning Tamiflu stock that's shooting up right now.
[25:06.000 --> 25:14.000]  You have the fact that the White House was on Cipro, the Anthrax Fighting Antibiotic Associated Press reported. Ari Fleischer was asked about it, the White Press Secretary years ago.
[25:14.000 --> 25:22.000]  He said, yeah, the whole White House was on Cipro, September 10th, three and a half weeks before Anthrax got mailed around, then it was a U.S. government weaponized version from Fort Detrick, Maryland.
[25:22.000 --> 25:26.000]  That's confirmed. They tried to lie about it. They later had to admit it.
[25:26.000 --> 25:39.000]  I mean, you got this history here. So, of course, I mean, you know, if there was a murder committed in Austin and the guy killed people a certain way and the police had a file on a released murderer who had a history of killing people this way,
[25:39.000 --> 25:52.000]  that'd be the first person that they would go interview would be that individual. Come on in, Aaron. Thank you, sir.
[25:52.000 --> 25:57.000]  We've got a lot of new developments. We'll go over this coming up. Thank you, Aaron.
[25:57.000 --> 26:01.000]  I've got one of my most important reports here.
[26:01.000 --> 26:13.000]  A video report that you came in and gave me and I've got so many articles here. There it is. Dark winner. Okay. Thank you.
[26:13.000 --> 26:22.000]  Yeah, I asked her to get this up. I'm not sure if he has this up. Will you? I am him, that Jaren, that video clip we're about to play. Make sure that gets posted at infowars.com right now.
[26:22.000 --> 26:33.000]  Dark winner pretext. We're going to go over that coming up. I haven't even gotten started here. I promise to take your calls. Let me just give you the number. It's 888-201-2244.
[26:33.000 --> 26:43.000]  Let me say this. I'm asking you to wait five minutes when we open these phone lines up before you call the general public calls for people in Mexico City.
[26:43.000 --> 26:54.000]  I know we get calls from there from time to time. A lot of emails from there for people in Mexico City, in Kansas, in San Antonio, in towns and cities in North America, in the U.S. and Mexico, also in Canada,
[26:54.000 --> 27:00.000]  that have had the outbreaks of this deadly flu. This flu is killing people. That's confirmed.
[27:00.000 --> 27:09.000]  As of this morning, 68, BBC saying it could be more than 200 doctors are saying in reports on BBC. It's, again, up on infowars.com and prisonplanet.com.
[27:09.000 --> 27:20.000]  But I'm going to give you this number for folks in Mexico, Mexico and the United States. If you directly are seeing us in your town or I want to know about the martial law going on in Mexico City and other areas,
[27:20.000 --> 27:33.000]  here's the number. 888-201-2244. 888-201-2244. 888-201-2244.
[27:33.000 --> 27:50.000]  We are live. It is the 25th of April, 2009, at 827 and 45 seconds central standard time, because we're going to post the MP3 of this at infowars.com, and we're going to post for free the prisonplanet.tv archive of this.
[27:50.000 --> 28:00.000]  We're just live right now for prisonplanet.tv members and viewers. We're going to post this for free for everybody, so it gets out to everybody after the show tonight at infowars.com.
[28:00.000 --> 28:07.000]  I appreciate Curt and Emma on Saturday night coming in to do this. I appreciate Jaren. I appreciate Aaron Dykes and Rob Jacobson and the team.
[28:07.000 --> 28:15.000]  We have a limited team, and they really never seem to get off now and be able to have any time off because there is just so much going on these days.
[28:15.000 --> 28:20.000]  And I appreciate my wife as well, but she's certainly concerned about this.
[28:20.000 --> 28:27.000]  Okay, there's a lot of other facets and news I need to go over, but we are opening the phones up.
[28:27.000 --> 28:36.000]  Again, I only have one person in there tonight. Normally, this is a three-man job to take your calls, get your name and where you're calling from, run the TV version and the radio version.
[28:36.000 --> 28:41.000]  We got one guy, Jaren, in there doing it all, and I want to commend him for what he's doing as dedication.
[28:41.000 --> 28:48.000]  One of the other guys was moving today and had all the stuff packed up in a truck moving to another apartment, so he can't be here.
[28:48.000 --> 28:57.000]  Paul Hartman is in San Antonio visiting family, so he's down there where they have confirmed cases of this bird flu, so we'll pray for him.
[28:57.000 --> 29:03.000]  Okay, so let me recap the top information that I'll get into detail in articles and go to your calls.
[29:03.000 --> 29:30.000]  It is extremely rare to have a zoological virus that jumps into humans to begin with. Then it's even more rare to have it be a dual zoological virus jumping into humans in the same viral envelope or in the same organism.
[29:30.000 --> 29:37.000]  They debate whether a virus is an organism or not. It's almost like a computer that can, you know, it reproduces, but they say it's not really alive.
[29:37.000 --> 29:54.000]  The point is, it's data. It goes in programs, DNA, and to have it be swine, pig, porcine, pig, bird, and human.
[29:54.000 --> 30:05.000]  And then when those three mutated together to have it be able to affect humans, normally when something is zoological, it makes it a lot harder for it in its mutations to ever hurt humans.
[30:05.000 --> 30:14.000]  You know, there's tens of thousands of diseases out there humans can't get. There's very few animals that get the same disease, you know, the same pathogens humans do.
[30:14.000 --> 30:20.000]  Like leprosy in North America can only be transferred by one animal. It's very hard, and that's the armadilla to humans.
[30:20.000 --> 30:25.000]  Anyways, I digress. The point here is this is very, very serious, folks.
[30:25.000 --> 30:41.000]  Now, saying that it's probably a government release, saying that it's probably some type of government test tube release doesn't mean it's going to continue to be a major pandemic and that it won't mutate and stop killing people.
[30:41.000 --> 30:54.000]  More often than not, they do test balloons. Curt Nemo called me right before I went on air and said he found a document about the Navy in South Texas doing flu spread scenarios out of Mexico.
[30:54.000 --> 31:01.000]  And that's been done in these dark winter scenarios before. FEMA's coming up with a drill on that later in the month and into next month.
[31:01.000 --> 31:03.000]  We've been covering it in detail.
[31:03.000 --> 31:12.000]  Also, the Army reports another virus that got snuck out of their facilities a few days ago.
[31:12.000 --> 31:15.000]  So we've been covering this all week. We don't normally even get into this.
[31:15.000 --> 31:22.000]  And I've been really hot and heavy saying I'm seeing a lot of indicators. I'm seeing a lot of chatter, a lot of dots being connected here.
[31:22.000 --> 31:28.000]  And I said, I believe I'm on record that I believe bird flu scares or actual bird flu attack.
[31:28.000 --> 31:35.000]  A bird flu scare is a precursor to them a year from now, two years from now, really doing it.
[31:35.000 --> 31:42.000]  Army, three vials of virus samples missing from Maryland facility, Fort Hadrick, Maryland, same place they launched the weaponized anthrax attacks from.
[31:42.000 --> 31:52.000]  It is the Venezuelan equine, acephalitis, similar to what the government released that can kill humans in Australia last year.
[31:52.000 --> 31:55.000]  They got caught releasing it. They get caught and it's just barely a headline.
[31:55.000 --> 32:01.000]  Now that's seeing in.
[32:01.000 --> 32:11.000]  So we've got that. Now remember the last time, this is another big issue, the last time they had a bird flu scare,
[32:11.000 --> 32:16.000]  they tried to inoculate a bunch of people with experimental shots that had nothing to do with even the pathogen that people,
[32:16.000 --> 32:24.000]  the virus that people are getting sick from, but folks still line up and take flu shots even though the last six years or is it seven years?
[32:24.000 --> 32:27.000]  I know they missed again last year the viral spectrum.
[32:27.000 --> 32:32.000]  It's several different viruses. They come up with it. They guess the mutations will be the next year.
[32:32.000 --> 32:35.000]  So they got to guess the mutation.
[32:35.000 --> 32:38.000]  It hasn't been the big flu that kills so many people.
[32:38.000 --> 32:44.000]  I mean, it never works and it has mercury in it and it's tied to Alzheimer's and that's mainstream news.
[32:44.000 --> 32:47.000]  A shot in the dark swine flu vaccine lessons watched in post.
[32:47.000 --> 32:56.000]  And I just thought I'd mention that because remember the swine flu vaccine in 76 and 77 killed a bunch of people and they admit the government admitted
[32:56.000 --> 33:01.000]  then it cost Gillian's berets autoimmune situation.
[33:01.000 --> 33:04.000]  So we don't want that to happen.
[33:04.000 --> 33:06.000]  There's another flu strain.
[33:06.000 --> 33:09.000]  U.S. officials are tracking again.
[33:09.000 --> 33:14.000]  This was from Tuesday when they were tracking the swine flu but saying it was no problem.
[33:14.000 --> 33:18.000]  And now you know what's going on there.
[33:18.000 --> 33:23.000]  Okay.
[33:23.000 --> 33:27.000]  Do we have any callers from Mexico?
[33:27.000 --> 33:32.000]  Jamir in Mexico.
[33:32.000 --> 33:37.000]  Let's go to Jamir and then I got more coming up and I'll recap everything but this is calls from Mexico.
[33:37.000 --> 33:42.000]  Jamir in Mexico. Thank you for calling, sir.
[33:42.000 --> 33:44.000]  Hello? Yes, sir.
[33:44.000 --> 33:46.000]  Hey there.
[33:46.000 --> 33:52.000]  Well, I just moved down here a couple of months ago and I'm actually from Texas.
