[00:00:00.149 --> 00:00:03.451]  The GCN Radio Network.
[00:03:05.965 --> 00:03:10.326]  The NSA has been spying on us since it was set up.
[00:03:10.326 --> 00:03:17.308]  And most of it is economic spying on companies and giving it to select military industrial complex companies.
[00:03:17.308 --> 00:03:22.309]  It's also about mapping trends and trying to basically beat people to the punch on that.
[00:03:22.309 --> 00:03:23.990]  It's about insider trading.
[00:03:23.990 --> 00:03:25.850]  It's about controlling this big scam.
[00:03:25.850 --> 00:03:27.831]  Wayne Madsen, thank you for joining us, sir.
[00:03:27.831 --> 00:03:28.551]  Good to be with you.
[00:03:29.171 --> 00:03:33.074]  Do you agree with my ramblings that I was just spewing?
[00:03:33.074 --> 00:03:40.278]  Well, one thing, we know that NSA was basically not regulated.
[00:03:40.278 --> 00:03:50.685]  And we know that from the Vietnam War days and the Watergate era that NSA was doing a lot of this political spying internally.
[00:03:51.286 --> 00:03:53.126]  And then, of course, we had hearings.
[00:03:53.126 --> 00:03:55.627]  We had Frank Church in the Senate.
[00:03:55.627 --> 00:03:59.368]  We had Otis Pike and Bella Abzug over on the household hearings.
[00:03:59.368 --> 00:04:00.948]  This isn't our first rodeo.
[00:04:00.948 --> 00:04:01.828]  No, no.
[00:04:01.828 --> 00:04:13.091]  And what we got out of this was the Foreign Intelligence Surveillance Act, which limited what NSA could do and set up this Foreign Intelligence Surveillance Court that said that NSA could only eavesdrop on U.S.
[00:04:13.091 --> 00:04:13.591]  persons.
[00:04:13.591 --> 00:04:15.371]  And that's the U.S.
[00:04:15.371 --> 00:04:19.172]  companies, individuals, green card holders living in the United States.
[00:04:19.981 --> 00:04:25.204]  They could only do that if there was a court order from the Foreign Intelligence Surveillance Court.
[00:04:25.204 --> 00:04:33.608]  What Bush has done with this administration by FIAT is he's just ignored the Foreign Intelligence Surveillance Court.
[00:04:33.608 --> 00:04:36.169]  He said, I don't need the court, I don't need the law.
[00:04:36.169 --> 00:04:39.731]  And he said he wants it, just fills out their own national security letter.
[00:04:39.731 --> 00:04:40.551]  Well, that's right.
[00:04:40.551 --> 00:04:44.653]  In my opinion also, I think the reason this was leaked by senior people at the NSA is
[00:04:45.194 --> 00:04:49.589]  Is that they know it was illegal and they don't want to go back to those bad old days and um...
[00:04:50.174 --> 00:04:51.814]  And they know he violated the law?
[00:04:51.814 --> 00:04:53.135]  Well, Wayne, you're an expert on this.
[00:04:53.135 --> 00:04:54.475]  I mean, I'm not just saying this.
[00:04:54.475 --> 00:04:58.476]  I read your reporting and it's heads above so many other people that just don't know.
[00:04:58.476 --> 00:05:00.156]  I mean, I read them like, yeah, this guy's right on.
[00:05:00.156 --> 00:05:03.137]  Just from my experience dealing with these people.
[00:05:03.137 --> 00:05:08.759]  I mean, ten years ago, I'd be at a Second Amendment rally and have guys on a roof in camo taking photos of me.
[00:05:08.759 --> 00:05:15.680]  So all this stuff about the military takes photos of us and is watching us, that's never stopped since Vietnam.
[00:05:15.680 --> 00:05:17.221]  Quite frankly, I think it's increased.
[00:05:17.221 --> 00:05:18.301]  What I know about NSA,
[00:05:18.541 --> 00:05:19.282]  We're good to go.
[00:05:34.582 --> 00:05:45.505]  I'm not saying there aren't good people there at NSA, Wayne, but certainly there are compartments that you were never even connected to, and we know that there are zealots who are out there who enjoy doing all of this.
[00:05:45.505 --> 00:05:50.527]  We know in 96 they put in all the NSA hubs and the whole telecommunications system.
[00:05:50.527 --> 00:05:53.768]  We know that all the cell phones are tracked and can be listened to.
[00:05:53.768 --> 00:05:55.288]  We know OnStar does it.
[00:05:55.288 --> 00:05:58.049]  I mean, everybody's freaking out about these new revelations.
[00:05:58.049 --> 00:06:01.450]  My point is that it's been institutionalized at every level.
[00:06:01.870 --> 00:06:02.370]  That's right.
[00:06:02.370 --> 00:06:13.155]  I think the problem in NSA is that the senior management levels, the people who do the work, the analysts, linguists, the mathematicians, they know what the law is.
[00:06:13.155 --> 00:06:14.856]  They're briefed on that.
[00:06:14.856 --> 00:06:19.819]  They have an internal bible called USID 18, United States Signals Intelligence Directive 18.
[00:06:19.819 --> 00:06:24.621]  It says they're not allowed to conduct surveillance of US persons unless
[00:06:25.174 --> 00:06:33.996]  Uh... certain requirements are met, one of which is of course that there's been a court order, there's been authorization through the liaison with the Justice Department.
[00:06:33.996 --> 00:06:38.157]  But now he wants to prosecute whoever's leaking.
[00:06:38.157 --> 00:06:51.480]  It's like he wanted to prosecute the person who leaked the covert name of a CIA agent, Valerie Plain Wilson, and of course he can't prosecute that person because it looks like that person was Dick Cheney, his own vice president.
[00:06:51.480 --> 00:06:54.001]  Well, I totally agree with you on that.
[00:06:54.001 --> 00:06:54.281]  Wayne,
[00:06:55.265 --> 00:07:00.050]  Yeah, I mean Bush is up there saying the Patriot Act is good and never been used against U.S.
[00:07:00.050 --> 00:07:00.951]  citizens.
[00:07:00.951 --> 00:07:07.739]  I have them using the Patriot Act to go to a college senior who his professor said go check out Mao's Red Book and write a report on it.
[00:07:07.739 --> 00:07:12.083]  I mean the political science class is about command and control economies.
[00:07:12.083 --> 00:07:16.108]  And so Homeland Security comes out and toy store owners, I mean we know the list.
[00:07:16.808 --> 00:07:21.532]  Watching Bush's speeches, I mean, what is it like for you to watch 100% pure lies?
[00:07:21.532 --> 00:07:22.313]  I can't take it.
[00:07:22.313 --> 00:07:39.428]  I mean, it's, uh, I mean, it's, it's, it's, well, I mean, after living in Washington for as long as I have, I, you know, I used to listen to speeches by Ronald Reagan, and of course, although they didn't contain much substance, at least you could, you could sit there and listen to them.
[00:07:39.428 --> 00:07:43.111]  I mean, uh, but this, uh, this guy is so vacuous, and, and,
[00:07:43.702 --> 00:07:45.484]  Uh, there's just nothing there.
[00:07:45.484 --> 00:07:47.165]  There's no there there with him.
[00:07:47.165 --> 00:07:54.311]  And everything that he was saying last night was obviously pre-canned, written by all these political advisors.
[00:07:54.311 --> 00:08:01.277]  And his speech, his news conference today, was Kallsten and all this Imperial Presidency stuff.
[00:08:01.277 --> 00:08:03.739]  He's relying on Article 2 of the Constitution.
[00:08:04.164 --> 00:08:09.749]  But the framers of that constitution wrote that because they never wanted another King George.
[00:08:09.749 --> 00:08:13.832]  And we got another King George apparently through the back door.
[00:08:13.832 --> 00:08:17.915]  Well, later I'm going to play a clip, and I want to back that up, John, to the point you had it at.
[00:08:19.401 --> 00:08:24.783]  Where Gonzales, the Attorney General, the same guy that says Bush is the law, says it again.
[00:08:24.783 --> 00:08:27.264]  He says he has this executive power.
[00:08:27.264 --> 00:08:32.166]  In Bush's press conference, Bragg, hey, I can ban you asking questions from executive order.
[00:08:32.166 --> 00:08:32.966]  Executive order?
[00:08:32.966 --> 00:08:36.728]  He signs an executive order saying we all gotta paint ourselves green, Wayne, we don't have to do it.
[00:08:36.728 --> 00:08:44.871]  Well, that's right, and the thing with Bush, but the reason Bush got away with this, and he keeps saying, well, the Congress gave me the authorization, the Congress did this,
[00:08:45.359 --> 00:08:59.202]  That is a Republican Congress that gave him that authorization, and people need to understand that next November, that this Congress has become a rubber stamp, a rump organization for this administration.
[00:08:59.202 --> 00:09:04.304]  An independent Congress would have never given him that kind of authorization, but he can use those.
[00:09:04.304 --> 00:09:08.945]  He can use the Congress like the Soviet Politburo used to use these rubber stamp bodies.
[00:09:10.445 --> 00:09:12.247]  Chamber of People's Deputies.
[00:09:12.247 --> 00:09:14.389]  I mean, this was just all kinds of nonsense.
[00:09:14.389 --> 00:09:15.730]  Let's get something else straight here.
[00:09:15.730 --> 00:09:25.638]  With Abel, Danger, with Clinton and Bush, with all of it, any time NSA or Defense Intelligence had the smoking gun, they would come back to them and say, back off.
[00:09:25.638 --> 00:09:29.502]  When the Defense Language School deans going, why am I training these Arabs?
[00:09:29.502 --> 00:09:31.383]  Muhammad Adam, by the way.
[00:09:31.383 --> 00:09:35.347]  When they're at Pensacola Naval Air Station, people go, these are terrorists, leave them alone.
[00:09:35.347 --> 00:09:36.788]  Clearly they were government agents.
[00:09:37.128 --> 00:09:44.372]  But every time NSA did do its job overseas, or every time an embassy didn't want to let the hijackers back in, they were told back off.
[00:09:44.372 --> 00:09:45.413]  Give us your take on that.
[00:09:45.413 --> 00:09:48.875]  I mean, clearly, our government is protecting the terrorists.
[00:09:48.875 --> 00:09:52.477]  Not only protected them, but they basically groomed them.
[00:09:52.477 --> 00:10:01.882]  I go back to 1986, and I've got something on my website today showing a memo from a conservative, something called the Conservative Network
[00:10:02.347 --> 00:10:24.758]  about posting parties here in Washington for international freedom fighters that included not only the Nicaraguan Contras and the Southeast Asian Guerrillas but the Afghan Mujahideen and they were at the time tied in and linked up with the Saudis who were funding Osama Bin Laden and all his confederates
[00:10:25.174 --> 00:10:27.777]  In that Mujahideen, one of their veterans is now the U.S.
[00:10:27.777 --> 00:10:32.722]  Ambassador to Iraq, coincidentally, Zalmay Khalilzad.
[00:10:32.722 --> 00:10:42.994]  So, yeah, not only... I mean, you can trace the support for these people back to the 1980s, and the guy that was supporting that network was a guy named Jack Abramoff.
[00:10:44.620 --> 00:10:46.882]  And his confederate, Grover Norquist.
[00:10:46.882 --> 00:10:48.823]  Look at all the trouble they're in right now.
[00:10:48.823 --> 00:10:56.570]  So, understand folks, when Bush says, I'm doing this to keep you safe while our borders are wide open, understand, it's pure baloney.
[00:10:56.570 --> 00:11:00.293]  These supposed hijackers were given top spy training.
[00:11:00.293 --> 00:11:03.035]  They were government operatives, Wayne.
[00:11:03.035 --> 00:11:04.917]  Well, look, everybody knows
[00:11:05.393 --> 00:11:09.494]  That there was all kinds of hanky-panky going on before 9-11.
[00:11:09.494 --> 00:11:10.915]  Abel Danger shows that.
[00:11:10.915 --> 00:11:21.237]  What about, you know, there's the Israeli art students who are really Israeli intelligence agents that were living in the same neighborhoods, drinking in the same bars, running videos from the same video rental stores.
[00:11:21.237 --> 00:11:24.318]  Handling the FBI operatives in the houses!
[00:11:24.318 --> 00:11:24.938]  That's right.
[00:11:24.938 --> 00:11:30.800]  And that the people like John O'Neill who were trying to track this down were stymied at every turn.
[00:11:30.800 --> 00:11:34.001]  I've also been informed of other FBI agents who were
[00:11:34.301 --> 00:11:34.681]  We're good to go.
[00:11:56.198 --> 00:12:05.202]  Did you know that recent estimates by the Arthritis Foundation put the number of Americans with arthritis or chronic joint symptoms at 66 million, or 1 in 3 adults?
[00:12:05.202 --> 00:12:10.284]  Or that arthritis is the nation's leading cause of disability among Americans over age 15?
[00:12:10.284 --> 00:12:14.186]  Most individuals diagnosed with arthritis don't think anything can be done to help.
[00:12:14.566 --> 00:12:20.030]  Those who are aware of treatment options fear the debilitating side effects associated with prescription drugs.
[00:12:20.030 --> 00:12:30.216]  At ResearchedHerbs.com, we feature herbal formulations like Joint Care, whose safety and effectiveness in supporting healthy joints has been established in over 50 clinical trials and research studies.
[00:12:30.536 --> 00:12:37.901]  Joint care facilitates freedom of movement by promoting circulation and enhancing the overall functioning of the musculoskeletal system.
[00:12:37.901 --> 00:12:42.705]  Don't let arthritis stop you from doing the things you enjoy or leading a normal, healthy and active life.
[00:12:42.705 --> 00:12:46.548]  Visit us online today at researchedherbs.com or call us at 1-800-845-3841 to learn more.
[00:12:46.548 --> 00:12:46.768]  That's 1-800-845-3841.
[00:12:56.326 --> 00:12:59.648]  Introducing the most efficient gravity filter available.
[00:12:59.648 --> 00:13:04.092]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[00:13:04.092 --> 00:13:07.054]  But, if you placed them on the magnet, all would stick.
[00:13:07.054 --> 00:13:09.656]  The same principle applies in water filtration.
[00:13:09.656 --> 00:13:18.502]  Most filtration systems force water through the filter at 60 to 90 PSI, causing water molecules to race through the filter in less than a second.
[00:13:18.502 --> 00:13:20.043]  The Berkeley Light is different.
[00:13:20.043 --> 00:13:24.206]  Water molecules take 5 to 10 minutes to pass through the torturous path
[00:13:24.506 --> 00:13:25.146]  We're good to go!
[00:13:43.473 --> 00:13:46.219]  Get the Advanced Berkey Light for only $259 by calling New Millennium at 888-803-4438.
[00:13:46.219 --> 00:13:47.181]  Not yet available in Iowa.
[00:13:56.357 --> 00:14:00.278]  When making important financial decisions, you should always know the facts.
[00:14:00.278 --> 00:14:04.099]  That's why Midas Resources is willing to pay you to read the facts.
[00:14:04.099 --> 00:14:13.282]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:14:13.282 --> 00:14:17.203]  Midas Resources offers a host of services and stands behind their products.
[00:14:17.503 --> 00:14:22.366]  In fact, if you call and order their free MIDAS report, MIDAS resources will pay you!
[00:14:22.366 --> 00:14:30.492]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in, if you read the report.
[00:14:30.492 --> 00:14:34.655]  Alright, here is Gonzales, and then this goes on.
[00:14:34.655 --> 00:14:37.137]  I'll play more of it later.
[00:14:37.137 --> 00:14:40.099]  But here's Gonzales on national television, NBC.
[00:14:41.505 --> 00:14:47.088]  And he's just, now listen to what he says, the President has this executive power.
[00:14:47.088 --> 00:14:51.269]  No, the President doesn't have the power to violate the Constitution and Bill of Rights.
[00:14:51.269 --> 00:14:57.912]  This is the same guy, the same Attorney General who said, Bush, we're allowed to torture people until they die if we just don't call it torture.
[00:14:57.912 --> 00:15:10.758]  That's like saying you can drink 14 vodkas and go down the road drunk and run over a little kid, you know, jump the curb and run over some kid on his bike and when the kid's all splattered and dead and the cops get there and go, well I don't call this vodka, I call it water!
[00:15:11.440 --> 00:15:13.103]  So let's go ahead and play this buffoon.
[00:15:13.103 --> 00:15:14.105]  Here it is.
[00:15:14.105 --> 00:15:21.760]  Does the president have to avoid the normal process of obtaining court approved search warrants before eavesdropping is conducted?
[00:15:22.628 --> 00:15:40.993]  Katie, we believe the President has inherent authority as Commander-in-Chief under the Constitution to engage in signal intelligence of our enemy, but we also believe that the President has the authority under the Authorization to Use Military Force, which was passed by the Congress just days after the attacks of 9-11.
[00:15:40.993 --> 00:15:51.916]  The Foreign Intelligence Surveillance Act does require a court order to engage in the kind of electronic surveillance the President talked about on Saturday, except as otherwise authorized by statute.
[00:15:52.416 --> 00:16:04.541]  We believe that authorization to use military force constitutes that statute which does give permission for the President of the United States to engage in this kind of very limited, targeted, electronic surveillance against our enemies.
[00:16:04.541 --> 00:16:10.844]  Well, apparently some members of Congress disagree with you because there's been an outcry... Alright, that's enough right there.
[00:16:10.844 --> 00:16:11.684]  We'll play the rest later.
[00:16:11.684 --> 00:16:17.446]  But here's the point, folks.
[00:16:17.446 --> 00:16:19.687]  He can say it's constitutional all day.
[00:16:19.687 --> 00:16:21.268]  That doesn't make it
[00:16:22.040 --> 00:16:23.664]  Constitutional.
[00:16:23.664 --> 00:16:26.330]  And I want to get a comment from Wayne Manson on that, Wayne.
[00:16:27.109 --> 00:16:49.240]  Well, I mean, when he says that surveillance was limited, actually, Gonzales doesn't know what he's talking about, because the nature of modern telecommunications is that when you attempt to target one individual, you're picking up an awful lot of other communications as well.
[00:16:49.240 --> 00:16:52.261]  And this is fishnet intelligence gathering.
[00:16:53.239 --> 00:16:55.220]  And furthermore... Look at what it does!
[00:16:55.220 --> 00:17:00.223]  They just let the NSA, they sign a letter and then the NSA can go out and spy on thousands of phones!
[00:17:00.223 --> 00:17:01.223]  It's even worse than that.
[00:17:01.223 --> 00:17:14.610]  People in the NSA have told me that they call some operations training exercises because they don't have to keep logbooks, they don't have to have any... They're supposed to get rid of all that information afterwards, but they're not doing it and this is a way to get around
[00:17:15.214 --> 00:17:21.237]  Uh... the Foreign Intelligence Surveillance Act that I used at 18 and all the other uh... controls that were put in place.
[00:17:21.237 --> 00:17:40.164]  They just call the training exercise uh... the intelligence, the intercepts go to uh... like Cheney's office or Bush or GOP operatives and there's no record that NSA held on those operations and that was all... You've got a report here and it says NSA intercepts for Bolton were masked as training exercises.
[00:17:40.164 --> 00:17:41.945]  This guy wouldn't lie about the uh...
[00:17:43.130 --> 00:17:47.872]  Yellow Cake Uranium, well it turns out they're out snooping around with the NSA there.
[00:17:47.872 --> 00:17:49.673]  I guess he's with Al Qaeda too?
[00:17:49.673 --> 00:18:03.658]  Oh yeah, well they were also eavesdropping on Bolton was using the NSA to eavesdrop on his own boss, Colin Powell, who had conversations with Governor Bill Richardson in New Mexico.
[00:18:03.658 --> 00:18:07.960]  So if they're saying that Richardson and Powell are members of Al Qaeda, that's a
[00:18:08.440 --> 00:18:10.123]  That's interesting to me.
[00:18:10.123 --> 00:18:17.914]  I just wonder when Richardson and Powell are going to be picked up and sent to Guantanamo to be tortured.
[00:18:17.914 --> 00:18:19.497]  It's incredible.
[00:18:19.497 --> 00:18:23.563]  I mean look, Wayne, ten years ago, and I got video of this, I made films about it.
[00:18:24.386 --> 00:18:29.750]  I'm out at a pretty milquetoast event, mainstream groups there, and there's guys in camo on top roofs.
[00:18:29.750 --> 00:18:34.854]  Well now, I'll be at the RNC, they'll just march right up in camo and start videoing.
[00:18:34.854 --> 00:18:36.275]  Regular Army!
[00:18:36.275 --> 00:18:39.197]  And we hear about them going into peace groups, conservative groups.
[00:18:40.037 --> 00:18:47.259]  Uh, you know, the Army surveilling local student groups that don't want them recruiting in their public schools, so the Army starts watching them.
[00:18:47.259 --> 00:18:58.702]  I mean, this was all going on before 9-11, now it's gotten worse, but then Bush gets on TV and says, everything's fine, we're not surveilling you, the Pentagon isn't watching you, and I've had physical assets, buddy, following me around.
[00:18:59.202 --> 00:19:01.364]  Well, yes, and I've seen it too.
[00:19:01.364 --> 00:19:13.194]  I started seeing it at these anti-World Bank demonstrations where clearly people in uniform were taking photographs of the people who had legal permits to demonstrate against the World Bank meetings.
[00:19:14.308 --> 00:19:18.389]  So this is nothing new, but you're right, it's getting much worse.
[00:19:18.389 --> 00:19:31.893]  I think we're turning into sort of like East Germany was with the Stasi, when we know from the East German files that 25% of the population of East Germany were informants and spying on their neighbors and even members of their own family.
[00:19:33.658 --> 00:19:44.487]  Wayne, I didn't believe it five years ago, three years ago, two years ago when I hear about Primakov being hired as a consultant or this guy or that guy, but then I did confirm our government has hired these guys as consultants.
[00:19:44.487 --> 00:19:46.388]  Then they said, oh, but it's for overseas.
[00:19:46.388 --> 00:19:48.330]  But then I learned they've been hired domestically.
[00:19:48.330 --> 00:19:51.473]  I mean, this is like a Twilight Zone episode.
[00:19:51.473 --> 00:19:55.476]  A very bad Twilight Zone.
[00:19:55.476 --> 00:19:58.218]  But then the NSA is tracking a real terrorist.
[00:19:58.218 --> 00:19:59.099]  What does Bush say?
[00:19:59.099 --> 00:20:00.019]  Back off.
[00:20:00.019 --> 00:20:00.440]  That's right.
[00:20:01.312 --> 00:20:01.812]  Wayne, stay there.
[00:20:01.812 --> 00:20:06.853]  I want to play another clip and get your take on it, and get your take on where you think everything's going.
[00:20:06.853 --> 00:20:09.854]  On the other side with Wayne Madsen, WayneMadsenReport.com.
[00:20:09.854 --> 00:20:10.554]  I'm Alex Jones.
[00:20:10.554 --> 00:20:22.637]  Be sure to visit PrisonPlanet.tv and InfoWars.com today as we defend the republic from enemies foreign and domestic.
[00:20:22.637 --> 00:20:23.598]  We're on the march.
[00:20:23.598 --> 00:20:26.558]  The empire's on the run.
[00:20:26.558 --> 00:20:29.219]  Alex Jones and the GCN Radio Network.
[00:20:40.298 --> 00:20:49.820]  Alright, I was talking to Wayne Madsen during the break, and we'll tell you about the points that he raised when we go back to him here in just one minute.
[00:20:49.820 --> 00:20:51.861]  And we'll also play a clip of Bush.
[00:20:51.861 --> 00:20:53.741]  It's unbelievably disgusting.
[00:20:53.741 --> 00:20:56.822]  A little bit more of that clip with Alberto.
[00:20:56.822 --> 00:20:58.122]  Bush is above the law.
[00:20:58.122 --> 00:21:00.182]  I love torture.
[00:21:00.182 --> 00:21:03.563]  Gonzales, and I'm a member of a Mexican supremacist organization.
[00:21:04.432 --> 00:21:14.620]  Again, it is a Twilight Zone life, but if you want to see the troops training to take your guns, the troops training to confiscate your firearms and break your families up.
[00:21:14.620 --> 00:21:16.982]  These programs haven't gone away under Bush, they've expanded.
[00:21:16.982 --> 00:21:18.703]  I mean, I wouldn't cover this under Bill Clinton.
[00:21:18.703 --> 00:21:20.004]  He's just a puppet.
[00:21:20.004 --> 00:21:22.226]  Same thing with Bush.
[00:21:22.226 --> 00:21:26.369]  Then you need to get Police State 2000, Police State 2 The Takeover, Police State 3 Total Enslavement.
[00:21:26.369 --> 00:21:31.033]  You need to get my new film, Martial Law, to see cops and military taking video of us at the RNC.
[00:21:32.446 --> 00:21:35.287]  And then I got video of it from Alabama to Texas.
[00:21:35.287 --> 00:21:36.248]  Just troops!
[00:21:36.248 --> 00:21:38.209]  And that's five minutes of the film!
[00:21:38.209 --> 00:21:39.629]  On a three hour mini-series.
[00:21:39.629 --> 00:21:42.011]  Martial Law is three one hour films in one.
[00:21:42.011 --> 00:21:46.092]  It's Martial Law, 9-1-1, Rise of the Police State.
[00:21:46.092 --> 00:21:49.374]  There's my new film, The Order of Death, about what these weirdos do in their off hours.
[00:21:49.374 --> 00:21:55.137]  These Christian conservative leaders run around involved in bizarre cult activities.
[00:21:55.137 --> 00:21:57.638]  Stanley Kubrick's Eyes Wide Shut couldn't hold a candle to this.
[00:21:59.202 --> 00:22:07.606]  And when you get the new film Order of Death, you get absolutely free the re-edited, remastered, updated Dark Secrets Inside Bohemian Grub on the same DVD or same VHS.
[00:22:07.606 --> 00:22:11.508]  If you order today, we are shipping stuff out the same day it comes in now.
[00:22:11.508 --> 00:22:18.571]  If you order today, it's UPS Ground, a good chance you'll get it before Christmas.
[00:22:18.571 --> 00:22:25.475]  And if you want to give it as a gift, just go give us the address of where you want the videos and books you order off InfoWars.com.
[00:22:27.386 --> 00:22:32.030]  Just put the address properly in the form and tell us who you want to send it to.
[00:22:34.787 --> 00:22:41.071]  If you put a comment in the comment section, we can send that comment to that friend or family member with the box.
[00:22:41.071 --> 00:22:42.231]  You can say, here's your gift.
[00:22:42.231 --> 00:22:47.934]  If you order it today, it might get to them the day before Christmas, it might get to them the day after Christmas, I don't know.
[00:22:47.934 --> 00:22:50.116]  But it's a great gift to give.
[00:22:50.116 --> 00:22:54.538]  Or just order a bunch for yourself, and then give them as gifts when you get them.
[00:22:54.538 --> 00:22:58.040]  It is so important, and the specials we're offering just go to the first of the year.
[00:22:58.689 --> 00:23:02.032]  We're talking, in some cases, 75 plus percent off.
[00:23:02.032 --> 00:23:03.653]  T-shirts are normally $20, $9.95.
[00:23:03.653 --> 00:23:06.436]  DVDs are normally $24.95, $5.95.
[00:23:06.436 --> 00:23:12.541]  I mean, that's the type of specials we're talking about.
[00:23:12.541 --> 00:23:20.147]  Almost a half a year free, five plus months free on yearly subscriptions to PrisonPlanet.tv when you get them.
[00:23:20.936 --> 00:23:43.099]  So be sure and go to PrisonPlanet.tv and take advantage of that yearly subscription special where you get almost six months free when you get a yearly subscription or get a trial one month subscription for $5.95 but that's 15 cents a day or 19 cents a day and then if you get if you get the one year free what is it about 10 cents a day or less I mean come on a cup of coffee it's like a dollar fifty now
[00:23:43.739 --> 00:23:51.282]  And all my films, my book, Paul Watson's work, all my TV reports, all my best audio interviews, PrisonPlanet.tv, best deal on the web.
[00:23:52.743 --> 00:24:02.251]  Going back to Wayne Madsen, Wayne, I was talking to you during the break, of course you formerly worked there with the NSA, about what you thought was most important, and you mentioned a few of those.
[00:24:02.251 --> 00:24:06.555]  You mentioned the 10,000 enemies list.
[00:24:06.555 --> 00:24:10.458]  We have the no-fly list now of hundreds of thousands, and now we're going to have a criminal list.
[00:24:10.458 --> 00:24:12.019]  Go over that for us, please.
