[00:00.000 --> 00:20.000]  You can run on for a long time, run on for a long time, run on for a long time.
[04:10.000 --> 04:19.000]  So this isn't even California where most of this illegal immigration is going on.
[04:19.000 --> 04:36.000]  Now think about that when you have over 100,000 illegal border crossings happening a month right now and you've got a third potentially worse of the families seeking asylum are not even related.
[04:36.000 --> 04:42.000]  Just think about the massive human trafficking that is.
[04:42.000 --> 04:44.000]  That should make you sick.
[04:44.000 --> 04:50.000]  Latest from Alex Jones on the other side. Don't go anywhere.
[04:50.000 --> 04:57.000]  What you have witnessed is the biggest development in free speech in the Western world's history.
[04:57.000 --> 05:11.000]  This is a digital AI enforced gag order not to say the name Alex Jones are in full wars.com.
[05:11.000 --> 05:15.000]  This is Nazi Germany level. This is racketeering. This is cartels.
[05:15.000 --> 05:21.000]  Mr. President, we need your help. We need it now. You can take on big tech.
[05:21.000 --> 05:30.000]  They saw info wars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[05:30.000 --> 05:38.000]  So they thought first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like Domino's would fall.
[05:38.000 --> 05:44.000]  The way to fight back is to support info wars now more than ever and make it a standard of freedom and free speech.
[05:44.000 --> 05:49.000]  Understand that they believe they can take us down. They'll take everybody else down.
[05:49.000 --> 06:06.000]  But for the left, whether the country benefits is not the point,
[06:06.000 --> 06:11.000]  Congresswoman Ilhan Omar herself a symbol of America's failed immigration system.
[06:11.000 --> 06:16.000]  If there ever was one, someone who hates this country coming here at public expense,
[06:16.000 --> 06:24.000]  spending yesterday demanding the abolition of ICE, the decriminalization of illegal immigration itself, and an end to all deportation programs.
[06:24.000 --> 06:29.000]  She demands open borders, the unlimited arrival of anyone who wants to come to America,
[06:29.000 --> 06:54.000]  whether they have anything to contribute or not. And by the way, you get to pay for it.
[06:54.000 --> 07:05.000]  Ilhan Omar, who came here more than two decades ago illegally, she admits she married her brother fraudulently and then married others illegally to bring him here.
[07:05.000 --> 07:16.000]  She thinks we're a big joke. If you go to Somalia, a failed pirate sex slave state, the worst country in the world on average,
[07:16.000 --> 07:25.000]  you'll be kidnapped within five minutes. If you're white or you're Christian or you're Jewish, you'll be dead in an hour.
[07:25.000 --> 07:31.000]  And she came here as a, quote, refugee, and then all she does is give speeches about how America sucks,
[07:31.000 --> 07:39.000]  and that we shouldn't have any borders and no vetting at all. She really is cancer.
[07:39.000 --> 07:48.000]  So that's why she announced, is this country so bad? She came out today and she said,
[07:48.000 --> 07:56.000]  I am moving back to Somalia. She said, America is racist. It is bad. It's not open.
[07:56.000 --> 08:05.000]  She said, I'm moving to Somalia, whether you're Buddhist or Hindu or Christian or Jewish or gay, you can move there in peace.
[08:05.000 --> 08:10.000]  Your college tuition will be free. You can have a baby there. They finance anchor babies there.
[08:10.000 --> 08:17.000]  They have great airports, great high rises, great healthcare, great education, and it's all going to be free.
[08:17.000 --> 08:29.000]  So she said, since Somalia has a civilization and America sucks so bad, she is officially announced that she's moving back to Somalia,
[08:29.000 --> 08:39.000]  her heavenly Nirvana-like cloud nine homeland. So I'm so excited for Ilhan Omar.
[08:39.000 --> 08:43.000]  This is so good, sweetheart. You came to the West where women were empowered.
[08:43.000 --> 08:48.000]  You came to the West with all the technology. You came to the West where this bleeding heart brought you here.
[08:48.000 --> 08:56.000]  And you said it sucked and you hated it and it was bad and Venezuela was good and Somalia was good.
[08:56.000 --> 09:04.000]  We were bad. And finally, somebody that says America sucks didn't just stay here and bitch about it.
[09:04.000 --> 09:10.000]  She announced today that she is moving back next month to Somalia.
[09:10.000 --> 09:15.000]  And she's going to take a bunch of the Somali refugees, 80 plus percent that are still in welfare,
[09:15.000 --> 09:19.000]  that sit around and bitch and complain about America all day in Minnesota with her.
[09:19.000 --> 09:27.000]  I want to praise her integrity and the fact that she's announced she's going back to Somalia.
[09:27.000 --> 09:32.000]  Ilhan Omar, you did what no leftist hater ever did.
[09:32.000 --> 09:36.000]  You said, I'm not a parasite coming here to suck off you. You're an open free society.
[09:36.000 --> 09:39.000]  I'm not using your openness as a weakness like I'm a cancer.
[09:39.000 --> 09:46.000]  No, I hate you and I'm leaving because you weren't born here. You hate this country.
[09:46.000 --> 09:51.000]  A lot of folks that weren't born here love this country. I get it. You're putting your money where your mouth is.
[09:51.000 --> 09:56.000]  Oh, but wait a minute. You hear the record skip noise. She's not leaving folks. That was a joke.
[09:56.000 --> 10:02.000]  She's going to stay right here and use our openness against this and tell us how much we suck and how bad we are.
[10:02.000 --> 10:10.000]  And Tucker Carlson's right. Ilhan Omar is the poster child of everything failed with this open border system
[10:10.000 --> 10:15.000]  with leftist bringing people here to induct them into America hating garbage.
[10:15.000 --> 10:21.000]  So spread the article and spread this video because it's important people see the truth of what's happening.
[10:21.000 --> 10:26.000]  If Lynda Sorcerer is into cutting girls genitals off and loves to read a law and tells Iranian women,
[10:26.000 --> 10:31.000]  don't take your hijabs off. Good. Go back to the Middle East, lady.
[10:31.000 --> 10:40.000]  Take you and Ilhan and have this inferiority complex and hate the West and go from us forever and go build your utopia.
[10:40.000 --> 10:48.000]  But no one wants to get into countries you run. Everyone's fighting for their lives to get away from your authoritarianism,
[10:48.000 --> 10:54.000]  your arrogance and your corruption. So here is Tucker Carlson's excellent report breaking this down.
[10:54.000 --> 10:58.000]  More reports at m4wars.com and newswars.com.
[10:58.000 --> 11:06.000]  But go out and ask Ilhan, if America sucks so bad, take your little peanut head and your chicken neck
[11:06.000 --> 11:11.000]  and all your authoritarianism and go back to Somalia where women are sold into sex slavery.
[11:11.000 --> 11:17.000]  I'm sorry that's happening, but go back and praise your superior culture that's so closed.
[11:17.000 --> 11:23.000]  Go back. Don't try to turn us into you. Here's Tucker Carlson.
[11:23.000 --> 11:25.000]  Good evening and welcome to Tucker Carlson tonight.
[11:25.000 --> 11:30.000]  This week the Trump administration revealed its proposal to overhaul America's immigration system.
[11:30.000 --> 11:36.000]  The proposal would not by itself build the often promised wall on our southern border,
[11:36.000 --> 11:41.000]  nor would it cut current levels of immigration despite the fact that most Americans would like to see that happen.
[11:41.000 --> 11:48.000]  The one big thing the administration's proposal would do is give priority to immigrants who might actually help America,
[11:48.000 --> 11:51.000]  skilled workers with English proficiency.
[11:51.000 --> 11:57.000]  It's hard to see an argument against a system like that. There isn't really an argument against that system.
[11:57.000 --> 12:01.000]  For years, Democrats have argued that immigrants make vital additions to our economy.
[12:01.000 --> 12:06.000]  They're smarter than we are. They're harder working. They do better in school. They found more companies.
[12:06.000 --> 12:09.000]  Well, the president has decided to take Democrats at their word.
[12:09.000 --> 12:13.000]  He says he wants all of those good things that immigrants bring. Watch.
[12:13.000 --> 12:22.000]  We want immigrants coming in. We cherish the open door that we want to create for our country.
[12:22.000 --> 12:29.000]  But a big proportion of those immigrants must come in through merit and skill.
[12:29.000 --> 12:35.000]  Well, much of the world would move here if they could, hundreds and hundreds of millions of people.
[12:35.000 --> 12:38.000]  So why wouldn't we pick the absolute best?
[12:38.000 --> 12:42.000]  Immigrants with skills in English would fit in better here. Their kids would do better in school.
[12:42.000 --> 12:46.000]  They'd be more likely to contribute to social programs instead of draining them.
[12:46.000 --> 12:50.000]  So are Democrats rejoicing in this change? Of course not. They're outraged.
[12:50.000 --> 12:58.000]  House Speaker Nancy Pelosi spoke for the party when she declared that really merit is a bad word because everybody has merit.
[12:58.000 --> 13:04.000]  I want to just say something about the word that they use merit. It is really a condescending word.
[13:04.000 --> 13:10.000]  Are they saying family is without merit? Are they saying most of the people have ever come to the United States
[13:10.000 --> 13:15.000]  in the history of our country are without merit because they don't have an engineering degree?
[13:15.000 --> 13:25.000]  Certainly we want to attract the best to our country and that includes many people for many parts of society.
[13:25.000 --> 13:32.000]  What a shame we can't staff the Democratic caucus in the Congress using the same criteria the Speaker would like to fill our country.
[13:32.000 --> 13:38.000]  We want to attract the best for many parts of the world, she says, but of course by that Pelosi doesn't mean what she says.
[13:38.000 --> 13:45.000]  She means just the opposite because what exactly is best about immigrants who have criminal records or middle school educations
[13:45.000 --> 13:49.000]  or no ability to hold a job? The answer is there's nothing best about that.
[13:49.000 --> 13:55.000]  Immigrants like that might be nice people, but they're much more likely to burden the United States than to benefit, at least economically.
[13:55.000 --> 14:02.000]  Harvard doesn't admit students who can't speak English. It says so right on their website. So why should our country?
[14:02.000 --> 14:05.000]  The left doesn't want to answer questions like that or even have the conversation.
[14:05.000 --> 14:11.000]  Shut up racist and said that it's declared that the current system is great. No evidence necessary.
[14:11.000 --> 14:17.000]  Watch this former Obama official make her fact-free case on MSNBC yesterday.
[14:17.000 --> 14:23.000]  What's less obvious is that medium and even the least skilled immigrants also contribute to the U.S. economy.
[14:23.000 --> 14:30.000]  They come in and they do different things from natives and they allow everyone to specialize more in what they're doing best.
[14:30.000 --> 14:38.000]  What's that contribution of the unskilled immigrants that I think people overlook when they really push the so-called merit-based,
[14:38.000 --> 14:42.000]  as it's called in other countries, the point system?
[14:42.000 --> 14:50.000]  So what Professor Hunt and so many on the left, including the Speaker of the House, are arguing for is a feudal system
[14:50.000 --> 14:58.000]  where foreign-born worker bees toil to support a smug and pampered managerial class of which they, of course, are part.
[14:58.000 --> 15:03.000]  Another explanation for our current policies. We don't need more low-skilled workers in the United States.
[15:03.000 --> 15:08.000]  We have plenty of low-skilled workers. Their unemployment rate is higher than the national average.
[15:08.000 --> 15:12.000]  Their wage growth has been abysmal for decades, generations.
[15:12.000 --> 15:17.000]  So how do those workers benefit from having more competition? Of course they don't.
[15:17.000 --> 15:25.000]  How does the country benefit by having more low-skilled workers when technological changes may soon render millions of them permanently jobless?
[15:25.000 --> 15:31.000]  The answer, of course, is that we won't benefit. But for the left, whether the country benefits is not the point.
[15:31.000 --> 15:37.000]  Congresswoman Ilhan Omar herself, a symbol of America's failed immigration system, if there ever was one,
[15:37.000 --> 15:43.000]  someone who hates this country, coming here at public expense, spent yesterday demanding the abolition of ICE,
[15:43.000 --> 15:47.000]  the decriminalization of illegal immigration itself.
[15:50.000 --> 15:53.000]  Mike in New Jersey. You're on the air. Thanks for calling, Mike.
[15:53.000 --> 15:57.000]  You are the man, Alex. I'm so glad to be talking to you. I'm so excited. I'm such a big fan.
[15:57.000 --> 16:02.000]  Ever since I've been listening, I've been buying your products, I got to do a shout-out for the bone broth.
[16:02.000 --> 16:08.000]  The bone broth. The bone broth. The bone broth. The bone broth. The bone broth.
[16:08.000 --> 16:12.000]  Tastes like, tastes like great milkshake, you know, if you just add it to milk.
[16:12.000 --> 16:18.000]  It tastes like oval-team. It tastes like oval-team. It tastes like oval-team. Like good.
[16:18.000 --> 16:24.000]  I feel great since I've been taking it. My daughter uses the bubblegum fluoride-free toothpaste.
[16:24.000 --> 16:30.000]  I've used the SuperMail Vitality, a host of other products, so thank you so much for that as well.
[16:30.000 --> 16:34.000]  Brother, you're thanking me for buying the products and keeping us on air. I'm thanking you, but yes,
[16:34.000 --> 16:39.000]  this is the ultimate bone broth formula with the turmeric, the chocolate mushroom, the true bone broth.
[16:39.000 --> 16:42.000]  It is next level. It really is good, so thank you.
[16:42.000 --> 16:48.000]  I feel great since I've been taking it. Thank you.
[17:12.000 --> 17:15.000]  That's Kerbal Force. Five different types of caffeine.
[17:15.000 --> 17:18.000]  Doesn't have to crush. Five different types of caffeine.
[17:18.000 --> 17:23.000]  That's Kerbal Force. Can't derive. I'm not a no-aggrant, no-aggrant.
[17:23.000 --> 17:30.000]  Very bell of a low-burn. Can't derive. I'm not a no-aggrant, no-aggrant.
[17:30.000 --> 17:34.000]  Very bad. That's Kerbal Force. I tell you, I'm a liar.
[17:34.000 --> 17:38.000]  I'm just a brain-shower. I know right now. I know right now. I know right now.
[17:38.000 --> 17:53.820]  InfoWarsLife is bringing you a breakthrough in modern medicine, introducing pollen block.
[17:53.820 --> 17:59.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms
[17:59.000 --> 18:05.840]  including promoting clear nasal and sinus passageways, eye comfort and respiratory function.
[18:05.840 --> 18:10.840]  In the 1960s, researchers in France noticed that people who ate certain quail eggs
[18:10.840 --> 18:14.840]  experienced less seasonal immune and inflammatory responses.
[18:14.840 --> 18:17.840]  They began studying this effect in published trials
[18:17.840 --> 18:20.840]  and decades later, we now have the fruit of this research,
[18:20.840 --> 18:25.840]  a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:25.840 --> 18:29.840]  Pollen block is natural and effective. It is not an antihistamine.
[18:29.840 --> 18:34.840]  In fact, current research has found that it actually acts by blocking the activity of triptase,
[18:34.840 --> 18:39.840]  which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:39.840 --> 18:42.840]  Go outside and enjoy the air you breathe.
[18:42.840 --> 18:47.840]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[18:47.840 --> 18:53.840]  InfoWars, the most banned network in the world.
[18:53.840 --> 18:58.840]  Tom and Texas police officer on the border talks about MS-13 and more. Thanks for calling, Tom.
[18:58.840 --> 19:00.840]  Yes, sir. Thank you for taking my call.
[19:00.840 --> 19:06.840]  Just want to thank you for your products. I have the InfoWars decals on outside of my cell phone case.
[19:06.840 --> 19:10.840]  My truck, sport the shirts, all the equipment. I find it's the best way to get your word out.
[19:10.840 --> 19:11.840]  God bless you, brother.
[19:11.840 --> 19:15.840]  And I have three or four InfoWars bumper stickers in my glove box right now.
[19:15.840 --> 19:18.840]  I hand out if I get to talking to somebody just to help spread that word.
[19:18.840 --> 19:21.840]  You're our only hope, brother. I'm telling you, you're more important than I am.
[19:21.840 --> 19:25.840]  It's people like you on the ground, as you know, that's boots on the ground.
[19:25.840 --> 19:31.840]  All of our best sellers, Alphapower, Vivimental Fusion, BioTrux Selenium, X-Tube, RainForce Plus, Supernova Vitality,
[19:31.840 --> 19:37.840]  DNA Force Plus, Superblue, ProdX, TubePace, 4-5-4-5-4-4-5-4-4-5-4-5-9, Silver Bullet Colloidal Silver,
[19:37.840 --> 19:42.840]  Real Red Pill, Real Red Pill Plus, it goes on and on and on. Check it all out and know.
[19:42.840 --> 19:57.840]  Funding us will change the world. All of it. We're coming through the storm thanks to you.
[20:12.840 --> 20:27.840]  Welcome back. I want to show you're filling in for Alex Jones today.
[20:27.840 --> 20:36.840]  And I wonder if we can even properly grasp the history that we're living right now.
[20:36.840 --> 20:46.840]  And I just think about all the censorship that we're enduring here. Not just at Infowars, but in America.
[20:46.840 --> 20:57.840]  It seems every day somebody new is being taken down. And for what? Hate speech? Causing violence? No.
[20:57.840 --> 21:03.840]  Why, if that were true, I think we know where the censorship would be happening.
[21:03.840 --> 21:08.840]  And now they're coming after you if you just want to do comedy and satire.
[21:08.840 --> 21:13.840]  Oh, because, you see, that's real effective in the culture war.
[21:13.840 --> 21:23.840]  And, you know, I was actually thinking about this and it's great that we're having Sophon, who has recently banned,
[21:23.840 --> 21:34.840]  they say for hate based videos. And it's just a 14 year old that does satire.
[21:34.840 --> 21:45.840]  But you see, if it's funny and it's not directed in a liberal agenda, then it's hate speech.
[21:45.840 --> 21:56.840]  But I was actually thinking about this earlier. There will be a time in the future where the current leftist mindset
[21:56.840 --> 22:05.840]  will be a new form of satire and a running joke that will be ongoing.
[22:05.840 --> 22:10.840]  And they just don't see it yet. But I see it now.
[22:10.840 --> 22:16.840]  Especially if they start banning people like Soph, it's going to create now a drive for people to want that type of humor
[22:16.840 --> 22:21.840]  and then recreate that type of humor. So thank you.
[22:21.840 --> 22:30.840]  Thank you, left. You're creating, you're memeing yourself in real time and you're giving us an entire future of sarcasm.
[22:30.840 --> 22:37.840]  But folks, with the censorship we're enduring here, you know we need your supportedinforwarstore.com.
[22:37.840 --> 22:42.840]  Now, I'm not even going to be able to get to this video. I'm going to have to pitch to it in the next segment.
[22:42.840 --> 22:51.840]  But it's just, because we can talk about how great all the products are.
[22:51.840 --> 22:55.840]  And they are, and you can read the reviews. And of course we have to sell great products at a forwarstore.com.
[22:55.840 --> 23:01.840]  They're attacking us every day. If we don't sell a perfect product, they'll write a story about it saying it's the worst thing ever.
[23:01.840 --> 23:07.840]  So then they try to test it and they're like, wow, these are actually good products. That kind of backfired.
[23:07.840 --> 23:10.840]  I guess maybe we should not publish a story. Well, let's publish it anyway.
[23:10.840 --> 23:26.840]  So then they do like, they have like these weird, like pasty twig-like creatures that have never, I guess, stirred a milkshake or a protein shake for in their life
[23:26.840 --> 23:32.840]  and they dump it in and then they just drink it and they're like, bone bra is good. And it's like, no, you didn't even stir it or anything.
[23:32.840 --> 23:38.840]  There's the guy right there.
[23:38.840 --> 23:51.840]  Oh, but it's like, I mean, literally you are the sponsor of InfoWars when you shop at infowarstore.com.
[23:51.840 --> 23:58.840]  So we just make it easy on you by giving you the great products like the ultimate bone broth that's 50% off the brand new Ultra 12.
[23:58.840 --> 24:04.840]  It's the brand new B12 formula. The Secret 12 was already one of the top sellers, top rated products.
[24:04.840 --> 24:10.840]  And we just reinvented that and then made it Ultra 12.
[24:10.840 --> 24:19.840]  And we're giving to you a 50% discount right there on the Ultra 12 at infowarstore.com.
[24:19.840 --> 24:27.840]  The Survival Shield X2 is back. One of the best products, if not the best, as far as the ratings are concerned.
[24:27.840 --> 24:35.840]  And infowarstore.com and with a purchase of X2, you can get a free bottle of X3 as well.
[24:35.840 --> 24:38.840]  I mean, that's just what we do here.
[24:38.840 --> 24:45.840]  We created X3, which is a great product to replace X2, which we didn't think we would be able to manufacture anymore.
[24:45.840 --> 24:52.840]  And then there was just the increased demand for X2 and we still had a bunch of the X3, but the demand was for the X2.
[24:52.840 --> 24:58.840]  So we basically just marketed ourselves out of selling X3. So now we're just giving it to you for free.
[24:58.840 --> 25:04.840]  We just ask that you purchase a bottle of X2 and you get the bottle of X3.
[25:04.840 --> 25:11.840]  And we appreciate your sponsorship and shopping with the good guys at infowarstore.com.
[25:11.840 --> 25:21.840]  And some of those water filters that certain people tell you not to buy from us because I guess they want you to drink the poisoned water.
[25:21.840 --> 25:28.840]  I guess they want you to drink those glyphosates. I guess they want you to drink that runoff.
[25:28.840 --> 25:40.840]  But actually, I'm starting to see now some of these leftist activists that are getting sick of the politics are now kind of looking at the stuff in the water, for real.
[25:40.840 --> 25:47.840]  So that may kind of come full circle. But that's just stuff that info has always been doing.
[25:47.840 --> 25:53.840]  We're not left or right. We're just truth, reality, common sense, logic and reasoning.
[25:53.840 --> 25:59.840]  And that's why they want to shut down. And so when you shop with us at infowarstore.com, you literally keep us on air, folks.
[25:59.840 --> 26:08.840]  And it's beyond that. It's just like Alex is trying to build a ship just to compete against the enemy.
[26:08.840 --> 26:12.840]  And so you're building it at infowarstore.com.
[26:12.840 --> 26:19.840]  All right. Now, this report that I'm going to air in the next segment is so key.
[26:19.840 --> 26:25.840]  Oh, man. Well, we'll do that later.
[26:25.840 --> 26:36.840]  You had the Tommy Robinson event where a bunch of, I mean, honestly, I don't even know what the heck it's so out of control.
[26:36.840 --> 26:43.840]  How you have Muslims, I guess, inciting, what do you call it?
[26:43.840 --> 26:48.840]  Is it civil war? Is it an invasion?
[26:48.840 --> 26:54.840]  I mean, I don't even know what you call this. Is it a religious caliphate? Is it all the above?
[26:54.840 --> 26:59.840]  Muslim Defense League throws bricks at Tommy Robinson and supporters.
[26:59.840 --> 27:10.840]  They're throwing eggs and bricks and cursing and getting violent and oh, yeah, no, no, no, nothing to see here.
[27:10.840 --> 27:16.840]  I mean, clown world, man. Total clown world.
[27:16.840 --> 27:19.840]  So we've got that video again.
[27:19.840 --> 27:24.840]  But the report that I'm there in the next segment is just so key with that.
[27:24.840 --> 27:32.840]  We've got two of them that we need to air with the with the investigations going on into the Obama administration committing treason.
[27:32.840 --> 27:34.840]  Yeah.
[27:34.840 --> 27:51.840]  You know, I kind of, I actually had a weird dream the other night and I'll be honest, most of my dreams are not very pleasant,
[27:51.840 --> 28:01.840]  but I had a pleasant dream the other night that Trump had a raised platform on the White House grounds and he had a podium over here.
[28:01.840 --> 28:08.840]  And there's a big raised platform with a box on it and there was a cover over the box and they removed the sheet.
[28:08.840 --> 28:17.840]  And it was Obama and Hillary and Holder and Brennan and Clapper and Comey and Lynch all in that cage.
[28:17.840 --> 28:21.840]  And Trump was just standing there like, here you go.
[28:21.840 --> 28:30.840]  So it's not like, I mean, we're not as archaic as we used to be, you know, put their heads on a pike or hang them from the nearest highest tree in the middle of the town square.
[28:30.840 --> 28:40.840]  You know, we just roll them out in a big, a big prison cell for the public to see and the president's like, see, I got, I got the traitorous bastards.
[28:40.840 --> 28:47.840]  I got the treasonous bastards. That's why we elected him right there. Hope it happens.
[28:47.840 --> 28:52.840]  The globalists are hyper competitive, scientific dictators. They are technocrats.
[28:52.840 --> 29:02.840]  They are control freaks in their own words and they believe allowing you to live your own life and make your own decisions gets to the way of their great destiny to merge with AI gods.
[29:02.840 --> 29:06.840]  Now we're fighting them hard in cyberspace. We're fighting them hard right here in the third dimension.
[29:06.840 --> 29:13.840]  But one of the biggest places that we neglect to forget that we've really got a lot of control in our lives is our bodies.
[29:13.840 --> 29:18.840]  If I wasn't taking the highest quality supplements for the fourslife.com, I couldn't do it.
[29:18.840 --> 29:28.840]  That's why we decided to take our original secret 12 that was incredibly high quality medical bottleman and double the strength of it in a new formula, Ultra 12.
[29:28.840 --> 29:34.840]  Ultra 12 is undoubtedly the strongest, highest quality B12 over the counter that you're going to find anywhere.
[29:34.840 --> 29:47.840]  It is amazing. Experience pure medical bottleman B12 for yourself and fund the second American evolution against the tyrants at infowarsstore.com, infowarslife.com, or AAA 253-3139.
[30:04.840 --> 30:11.840]  Super blue favorite fluoride free toothpaste that every info warrior loves powered by iodine and nano silver.
[30:11.840 --> 30:18.840]  It's designed to deliver a powerful clean while supporting good oral health and fresh breath available in two refreshing flavors.
[30:18.840 --> 30:23.840]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[30:23.840 --> 30:29.840]  Super blue immune gargle is the only option for on the go immune system support like no other.
[30:29.840 --> 30:34.840]  It has significantly proven patented ingredient silver soul in three different sizes.
[30:34.840 --> 30:40.840]  You can take it wherever you go. Support good oral health with our one of a kind super blue products.
[30:40.840 --> 30:43.840]  Don't miss out on revolutionizing your morning routine.
[30:43.840 --> 30:49.840]  Head to infowarsstore.com and get our line of super blue products today.
[30:49.840 --> 30:57.840]  I want to salute and commend every man woman and child that has supported this broadcast over the years and that has stood with us.
[30:57.840 --> 30:59.840]  All of our sponsors and all of our affiliates.
[30:59.840 --> 31:03.840]  But I'll tell you like it is, you've seen the unmitigated attack we've been under.
[31:03.840 --> 31:05.840]  You're our only sponsors.
[31:05.840 --> 31:09.840]  And when you don't buy the products, they're absolutely the best out there.
[31:09.840 --> 31:11.840]  We aren't able to continue on.
[31:11.840 --> 31:14.840]  So remember, you are the info war.
[31:14.840 --> 31:16.840]  I'm not the leader. You are the leader.
[31:16.840 --> 31:18.840]  When you take action, nothing stops you.
[31:18.840 --> 31:23.840]  We've got giant specials running right now at infowarsstore.com that are unprecedented.
[31:23.840 --> 31:28.840]  And if you go there and buy great products that you already need from across the board,
[31:28.840 --> 31:31.840]  it funds the second American Revolution worldwide.
[31:31.840 --> 31:34.840]  So I want to thank you for your support and I want to encourage you again.
[31:34.840 --> 31:39.840]  Go to infowarsstore.com for whatever the product is you need.
[31:39.840 --> 31:42.840]  We have thousands of them and it makes this all possible.
[31:42.840 --> 31:44.840]  Thank you for making InfoWars possible.
[31:44.840 --> 31:53.840]  You deserve a deep restful sleep with Knockout by InfoWarsLife.
[31:53.840 --> 32:00.840]  Our organic formula is made from high quality natural ingredients such as Valerian root extract,
[32:00.840 --> 32:04.840]  L-tryptophan, lemon balm leaf extract and melatonin.
[32:04.840 --> 32:09.840]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[32:09.840 --> 32:15.840]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life,
[32:15.840 --> 32:17.840]  we need to be able to keep up the pace.
[32:17.840 --> 32:25.840]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[32:25.840 --> 32:27.840]  Wake up refreshed and take on the day.
[32:27.840 --> 32:35.840]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[32:35.840 --> 32:39.840]  Get the sleep you deserve and experience the power of Knockout.
[32:39.840 --> 32:43.840]  Head on over to infowarslife.com and say goodbye to fatigue.
[32:43.840 --> 33:08.840]  That's infowarslife.com.
[33:08.840 --> 33:13.840]  You want to stop tyranny? Well, so does he. It's Alex Jones.
[33:13.840 --> 33:21.840]  And now your host, Owen Troyer.
[33:21.840 --> 33:31.840]  You know, on any given day, you could pick one of five to ten issues as the biggest issue right now.
[33:31.840 --> 33:33.840]  I mean, go down the list.
[33:33.840 --> 33:37.840]  The attack on the First Amendment, the attack on the Second Amendment,
[33:37.840 --> 33:46.840]  the open treason and politicization really beyond that of our intelligence agencies,
[33:46.840 --> 33:56.840]  the wide open borders that are leading to death and disease in this country and poverty and economic distress.
[33:56.840 --> 34:02.840]  There's others. I can't even hear how they sit here and they talk about global warming, killing the earth,
[34:02.840 --> 34:06.840]  but they never mentioned the geoengineering.
[34:06.840 --> 34:11.840]  The cloud seeding, the chemtrails, they just act like it doesn't exist.
[34:11.840 --> 34:20.840]  So, oh, and by the way, we have a presidential election coming up in about 16 or so months.
[34:20.840 --> 34:23.840]  So there you go. So, yeah.
[34:23.840 --> 34:33.840]  So, by the way, they're teaching your kids about drag queen, transsexual, story time.
[34:33.840 --> 34:38.840]  So that's all going on. So, I mean, just depending on any given day, what's the biggest story?
[34:38.840 --> 34:43.840]  I mean, there's a bombshell report that just came out.
