[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[00:03:11.820 --> 00:03:24.582]  But if you go back to about 2,500 years ago or so, anybody can just type into Wikipedia or anybody can go to a history book and look up the tyrants of Greece.
[00:03:24.582 --> 00:03:36.985]  And that's the term that the aristocracy and the plutocrats and other authoritarian groups gave to democracy movements
[00:03:37.992 --> 00:03:46.097]  That then tended to be led by a champion of the people, or what they called a strongman, or a tyrant.
[00:03:46.097 --> 00:03:57.483]  Now, I've called globalist tyrants, I've called judges tyrants, because in the popular use of the word, it means an oppressor, a dictator, an enslaver of the people.
[00:03:57.483 --> 00:04:06.027]  So I know the public uses that term, so I've always used that word, because words change in their popular meaning.
[00:04:07.128 --> 00:04:14.860]  When I speak about tyrants, I'm speaking of what the globalists follow and the philosophy they follow.
[00:04:14.860 --> 00:04:22.170]  The tyrants challenged, and many times in Greek history, overthrew the aristocracy.
[00:04:23.445 --> 00:04:31.968]  And most of the biggest gains in Greece that led to the founding of other civilizations based on Greece came from the tyrants.
[00:04:31.968 --> 00:04:46.233]  So when you hear tyrant, that means leader of the mob or one that's able to mobilize the general public into action and one that is known for helping the general public or defending them.
[00:04:47.478 --> 00:04:54.364]  Alexander the Great, of course, came before that era, but he was seen as the first tyrant or the defender of men.
[00:04:54.364 --> 00:04:55.004]  We'll be right back.
[00:04:55.004 --> 00:05:01.069]  Stay with us.
[00:05:01.069 --> 00:05:07.094]  My fellow patriots, the Trafecta has not been in stock for years.
[00:05:07.094 --> 00:05:08.315]  Many of these products have been sold out
[00:05:09.093 --> 00:05:09.693]  We're good to go.
[00:05:26.940 --> 00:05:32.062]  All three of these products are back in stock right now for a limited time at 40% off.
[00:05:32.062 --> 00:05:38.764]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[00:05:38.764 --> 00:05:46.487]  Go to Infowarsstore.com, read about these products, find out why they're so game-changing, and get yours today.
[00:05:46.487 --> 00:05:52.910]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[00:05:53.590 --> 00:06:02.913]  It's the trifecta sale, 40% off for a limited time at infowarestore.com and it keeps us on air.
[00:06:02.913 --> 00:06:06.334]  It's Wednesday, September 20th, 2023.
[00:06:06.334 --> 00:06:15.076]  I'm your host, Alex Jones, and I have some very grave, serious news for you.
[00:06:15.076 --> 00:06:20.538]  The Wall Street Journal talking to, quote, federal agents of the Justice Department yesterday
[00:06:22.062 --> 00:06:35.465]  Publishing lengthy article and reported that Elon Musk is under criminal investigation by the Justice Department with an open grand jury.
[00:06:35.465 --> 00:06:37.366]  So they're been investigating him.
[00:06:37.366 --> 00:06:49.589]  Now they're trying to indict him for perks he had at Tesla in the last six, seven years.
[00:06:49.589 --> 00:06:50.389]  Yes, ladies and gentlemen.
[00:06:51.328 --> 00:06:55.870]  Like flying on the company jet.
[00:06:55.870 --> 00:07:02.733]  Things like living and having an apartment at their headquarters.
[00:07:02.733 --> 00:07:04.354]  Now obviously none of this is illegal.
[00:07:04.354 --> 00:07:07.775]  It's a shared operating procedure.
[00:07:07.775 --> 00:07:11.937]  These corporate chiefs can fly to Epstein Island and have sex with little kids.
[00:07:11.937 --> 00:07:13.858]  And of course that list is still completely secret.
[00:07:15.353 --> 00:07:19.954]  And that's Elon Musk's crime, is he says we shouldn't depopulate the Earth.
[00:07:19.954 --> 00:07:21.355]  He's got what, eight, nine children?
[00:07:21.355 --> 00:07:25.656]  And he's spoken out against the pedophiles.
[00:07:25.656 --> 00:07:28.937]  And he's spoken out against their entire operations.
[00:07:28.937 --> 00:07:34.439]  And now he is allowing some form of free speech on X, formerly Twitter.
[00:07:34.439 --> 00:07:36.880]  And they can't allow that.
[00:07:36.880 --> 00:07:37.240]  So let's
[00:07:38.359 --> 00:07:40.100]  Break down some of what's unfolding here.
[00:07:40.100 --> 00:07:46.145]  Now before I drill into this, let's just pull back for a moment and remember that the ADL has gone out and stripped roughly 60%
[00:08:08.711 --> 00:08:11.385]  of X's advertisers in the West.
[00:08:11.385 --> 00:08:12.872]  In Asia, they're actually doing better.
[00:08:14.946 --> 00:08:42.910]  Statistically according to Musk, but they've lost 60% of their main market in Europe and in North America because the bullying and the behind-the-scenes and public tactics of the ADL and others in concert with the Justice Department and the intelligence agencies, that's all come out in Congress, that they all team up and they surveil different platforms and they demand the platforms put their agents, their officers, both corporate and governmental, inside the platforms
[00:08:44.122 --> 00:08:44.422]  Not yet.
[00:08:59.096 --> 00:09:13.161]  Financial data and corporate data and business data and give that to their subsidiaries in fact the surveillance and censorship of political views is only one part I would even say the majority of
[00:09:14.521 --> 00:09:29.519]  The real power is in spying on their competitors and spying on the general public and using algorithms to aggregate trends so that the establishment can stay ahead of everybody else in the stock market.
[00:09:30.603 --> 00:09:32.724]  Technological developments in energy everywhere.
[00:09:32.724 --> 00:09:34.926]  That's the other big shoe to drop.
[00:09:34.926 --> 00:09:38.008]  It's come out in some of their technical papers.
[00:09:38.008 --> 00:09:39.849]  It's been reported on here and there.
[00:09:39.849 --> 00:09:45.313]  And obviously, historically, with any massive spy operation, it's not just, quote, political enemies.
[00:09:45.313 --> 00:09:47.394]  They spy on their, quote, friends, too.
[00:09:47.394 --> 00:09:50.336]  It's all about monopoly.
[00:09:50.336 --> 00:09:52.558]  And it's completely illegal.
[00:09:52.558 --> 00:09:58.322]  And it always leads to massive oppression and to totalitarianism.
[00:09:59.383 --> 00:10:03.326]  Because the globalists can get it down to just a hundred rulers of the planet.
[00:10:03.326 --> 00:10:06.729]  And it's really less than that now that actually own almost everything.
[00:10:06.729 --> 00:10:08.170]  And they're going to start competing with each other.
[00:10:08.170 --> 00:10:09.832]  In fact, they do compete with each other.
[00:10:09.832 --> 00:10:12.234]  You could have two globalists left.
[00:10:12.234 --> 00:10:13.775]  They could be husband and wife.
[00:10:13.775 --> 00:10:16.677]  And they consolidate power with, say, AI in 20 years.
[00:10:16.677 --> 00:10:17.318]  Hypothetically.
[00:10:17.318 --> 00:10:19.139]  I'm not saying that's going to happen.
[00:10:19.139 --> 00:10:21.201]  And then they would probably kill each other.
[00:10:21.201 --> 00:10:23.583]  So it's the very nature of these individuals.
[00:10:23.583 --> 00:10:25.945]  Now, we know the model.
[00:10:27.777 --> 00:10:34.383]  of promoting anti-male, anti-female, anti-family models has been going on on television since the late 1960s.
[00:10:34.383 --> 00:10:45.493]  Paul Ehrlich and others that helped set it all up bragged on national television that they've sold the idea of men being stupid and not needed in the family and that relationships between men and women that are serious are bad.
[00:10:45.493 --> 00:10:51.659]  Because it forms stable relationships and people are loyal to each other and they want us atomized so we can be more easily controlled.
[00:10:52.773 --> 00:10:58.480]  And then of course, six, seven years ago, they intensified all this with the beginning of the Me Too movement, what grew in the Me Too movement.
[00:11:00.029 --> 00:11:11.857]  And they had Gillette commercials and countless other commercials and TV shows and movies, where if a guy asks a girl out at a coffee shop or tells her her dress looks nice, everybody goes, whoa, that's evil.
[00:11:11.857 --> 00:11:13.998]  That's like worse than pedophilia.
[00:11:13.998 --> 00:11:16.079]  I mean, pedophilia is good now according to them.
[00:11:16.079 --> 00:11:24.645]  And, you know, the Gillette ads where, you know, the guy just tries to talk to a girl on the street, and the guy grabs his arm and says, whoa, man, that's basically rape.
[00:11:24.645 --> 00:11:25.906]  You don't, you know, talk to women.
[00:11:27.082 --> 00:11:29.203]  No, no, no, no.
[00:11:48.052 --> 00:11:48.853]  Don't even ask me out.
[00:11:48.853 --> 00:11:50.194]  Don't even talk to me.
[00:11:50.194 --> 00:11:56.998]  Don't even say you like somebody's purse, or you like their necklace, or, you know, hey, are you new to town?
[00:11:56.998 --> 00:11:58.319]  I can show you around.
[00:11:58.319 --> 00:11:59.881]  Don't have that normal interaction.
[00:11:59.881 --> 00:12:02.482]  That's basically rape.
[00:12:02.482 --> 00:12:07.126]  In fact, the feminist movement, talking about the CIA, Gloria Steinem, says that all sex is rape.
[00:12:08.274 --> 00:12:10.915]  And the same movement now doesn't call babies a blob of cells.
[00:12:10.915 --> 00:12:12.596]  They just say, hey, it's my right.
[00:12:12.596 --> 00:12:14.297]  It's a sacrifice for feminism.
[00:12:14.297 --> 00:12:15.277]  Kill that little bastard.
[00:12:15.277 --> 00:12:19.299]  So they're really taking the mask off here.
[00:12:19.299 --> 00:12:26.663]  And they've tried to get Elon Musk's girlfriends and wives to come out against him.
[00:12:26.663 --> 00:12:29.644]  He's been a prolific individual having children just like his dad.
[00:12:29.644 --> 00:12:32.806]  And he says he believes in that to keep the population going.
[00:12:34.614 --> 00:12:52.587]  Now you see what's happened to Russell Brand, and now you see what's happened to Tim Ballard, and now you see, just every day, anybody exposing the globalist agenda, anybody exposing the globalist golden cows, or sacred cows, is going to be attacked in a myriad of ways.
[00:12:52.587 --> 00:12:54.188]  So I thought we'd lay out some of those right now.
[00:12:55.714 --> 00:13:08.432]  Now this is a very complex, wide-ranging issue, and if you have an understanding of this, you'll really know how to stand up against it, educate others to stand up against it, and defeat this program of control.
[00:13:08.432 --> 00:13:11.457]  The first thing it counts on is groupthink, conformity.
[00:13:12.598 --> 00:13:12.958]  I think?
[00:13:42.878 --> 00:13:43.118]  We're good
[00:14:06.827 --> 00:14:15.493]  And so, even in mainline Pentagon reports that we've broken down here on air, they say, we're worried about men.
[00:14:15.493 --> 00:14:17.735]  We're worried about men that we don't control.
[00:14:17.735 --> 00:14:19.156]  We're not worried about terrorists.
[00:14:19.156 --> 00:14:22.498]  We're not worried about somebody in a cave with a gun and a bomb.
[00:14:22.498 --> 00:14:26.401]  We're worried about, quote, interesting people.
[00:14:26.401 --> 00:14:33.666]  And in the famous Jade Helm operation, it was, quote, a drill to identify interesting leaders in the community.
[00:14:34.918 --> 00:14:39.859]  That during a future reorganization or collapse won't go along with the agendas.
[00:14:39.859 --> 00:14:44.521]  They've been getting this Build Back Better, Great Reset, Operation Ready.
[00:14:44.521 --> 00:14:46.781]  And again, I'm just giving you some basic quick footnotes here.
[00:14:46.781 --> 00:14:51.142]  It's a much larger issue and basically it's the issue of our time.
[00:14:51.142 --> 00:14:52.763]  It's everything.
[00:14:52.763 --> 00:15:03.926]  So the first thing they do if they believe you're a competing member entering the superclass, which they say there's only a few thousand of that technically run the world, if you are independently building a system that competes with their
[00:15:05.265 --> 00:15:05.685]  We're good to go.
[00:15:22.535 --> 00:15:31.018]  And then if that doesn't work, they'll try to do a corporate takeover or forced buyout.
[00:15:31.018 --> 00:15:40.302]  And then if that doesn't work, they will then gadamine all the women and relationships you're in and try to find something to blackmail you with or some corruption you've been involved in.
[00:15:40.302 --> 00:15:51.726]  And of course, if that doesn't exist, they will then have whole teams of not just the Justice Department and FBI, but the other federal regulatory agencies then will go to work
[00:15:51.966 --> 00:16:02.471]  Full-time, trying to find anything they can twist into a crime to show a dumbed-down grand jury and then dumbed-down jury to throw your ass in prison.
[00:16:02.471 --> 00:16:05.992]  And if that doesn't work, they will kill you.
[00:16:05.992 --> 00:16:12.335]  Their favorite thing to do is come to your house, kill your wife, kill your children, and then kill you and say it's a murder-suicide so they can demonize you.
[00:16:12.335 --> 00:16:13.816]  That's one of their favorite things.
[00:16:13.816 --> 00:16:15.577]  They'll also blow your airplane up.
[00:16:15.577 --> 00:16:17.838]  They've got a lot of other ways to deal with you.
[00:16:17.838 --> 00:16:20.139]  Or they'll have a, quote, carjacking that went bad, or they'll
[00:16:21.020 --> 00:16:24.472]  Kidnap you, put you in a hotel room and give you an overdose of heroin.
[00:16:24.472 --> 00:16:25.957]  There's a lot of different things they do.
[00:16:27.558 --> 00:16:35.386]  So now they see Trump being a populist strongman against the globalists around the people.
[00:16:35.386 --> 00:16:36.867]  That's how they define him.
[00:16:36.867 --> 00:16:38.048]  They define him as a tyrant.
[00:16:38.048 --> 00:16:39.650]  I'll get back to that in a moment.
[00:16:39.650 --> 00:16:47.057]  Not the tyrant you classically think of, but the real classic tyrant going back 2,500 years ago in the Greek philosophies.
[00:16:47.057 --> 00:16:49.740]  And that's what the globalists follow, is the Greek philosophies.
[00:16:49.740 --> 00:16:50.440]  That's their system.
[00:16:51.041 --> 00:16:51.461]  We're good to go.
[00:17:19.467 --> 00:17:27.353]  from an aristocracy's view, from the aristocrats position.
[00:17:27.353 --> 00:17:37.020]  The original Greek system was an aristocracy that grew into a limited democracy and then there was different permutations and fights between those colliding systems, between the tyrants and the aristocracy.
[00:17:37.020 --> 00:17:41.904]  But let me just move back into where we were a few minutes ago.
[00:17:41.904 --> 00:17:45.627]  So, they're now going after Elon Musk with
[00:17:47.495 --> 00:17:57.361]  Multiple criminal investigations by the FTC and by the Justice Department and by a whole bunch of other agencies.
[00:17:57.361 --> 00:18:10.489]  Last time I checked, there are eight agencies that are criminally investigating Elon Musk right now because the order has gone out by the puppet Biden to shut him down.
[00:18:10.489 --> 00:18:13.231]  So I would imagine their next move is
[00:18:14.414 --> 00:18:26.036]  They're gonna try to insert operatives into SpaceX and start sabotaging the rockets and they may even take over the telemetry and direct one into Houston off its Texas launch pad in the
[00:18:29.420 --> 00:18:30.301]  Rio Grande Valley.
[00:18:30.301 --> 00:18:33.362]  I mean, they'll do anything at this point.
[00:18:33.362 --> 00:18:37.104]  And Musk needs to know that, needs to understand that.
[00:18:37.104 --> 00:18:44.469]  And I've seen some telltale signs about just saying that off the top of my head, where they've been demonizing his rocket program, his space program.
[00:18:45.732 --> 00:18:54.214]  And saying it's dangerous, it's going to hurt people, and a rocket could go astray, awry, and oh, it burned some grass at the launch site.
[00:18:54.214 --> 00:18:59.756]  I mean, they're already pre-programming that he's a bad guy because he has a successful space program.
[00:18:59.756 --> 00:19:04.677]  This is all part of the larger sabotage of civilization.
[00:19:04.677 --> 00:19:10.579]  But continuing, if you want to know if he's for real, he's definitely for real.
[00:19:10.579 --> 00:19:11.559]  They see him, though,
[00:19:12.913 --> 00:19:16.514]  As a competing person to their system.
[00:19:16.514 --> 00:19:24.517]  They see him as someone that is capable of basically taking them out of power.
[00:19:24.517 --> 00:19:26.838]  And so they just see him as competition.
[00:19:26.838 --> 00:19:32.120]  Whether they see him as a good person or a bad person is really not even up for discussion.
[00:19:32.120 --> 00:19:41.023]  They simply see him as someone who's intelligent and powerful and building his own systems, and who's now breaking with them and not following their orders, so he must be destroyed.
[00:19:42.526 --> 00:19:45.909]  So you can think what you want about Musk, you can say what you want.
[00:19:45.909 --> 00:19:50.333]  The globalists see everything as energy and resources, and who controls them.
[00:19:50.333 --> 00:19:56.839]  And Musk is not playing along with their globalist operation, so they see him as a competing system.
[00:19:56.839 --> 00:20:00.563]  And they see him as the ultimate threat along with Trump.
[00:20:00.563 --> 00:20:01.184]  And again, why?
[00:20:02.250 --> 00:20:08.775]  If you go back to the Greek philosophies, around 2,500 years ago, they developed a term called tyrants.
[00:20:08.775 --> 00:20:11.297]  And of course, they had that term before.
[00:20:11.297 --> 00:20:21.084]  But the tyrants were populist leaders that mobilized the general population and were, for the general population, having larger voting rights.
[00:20:21.084 --> 00:20:24.327]  So you see that repeated on throughout history over and over again.
[00:20:24.327 --> 00:20:28.670]  Look at our own country, where first it's limited, and then it expands.
[00:20:28.670 --> 00:20:31.733]  And the King of England saw George Washington as a tyrant.
[00:20:32.774 --> 00:20:40.878]  Again, in modern definitions, a tyrant is Kim Jong-un, a tyrant is Xi Jinping, or it just means a dictator.
[00:20:40.878 --> 00:20:42.498]  That's not what a tyrant is.
[00:20:42.498 --> 00:20:52.963]  According to the aristocracy that was the dominant system going back to the beginning of Greek culture, where you had a small elite of roundtable groups, the wise men, the watchers.
[00:20:53.743 --> 00:21:00.025]  The philosopher kings who would make the decisions in the society and in the culture.
[00:21:00.025 --> 00:21:03.286]  And if they didn't like your philosophy, they would order you murdered.
[00:21:03.286 --> 00:21:06.887]  And then they had limited democracy and it expanded.
[00:21:06.887 --> 00:21:14.809]  But tyrants were the first people to create city parks and public libraries and public baths and public bathrooms.
[00:21:17.550 --> 00:21:44.538]  Restaurants that the general public could go to it was the tyrants that did that and this was a big sin to the aristocracy Like Plato that came before the time of the tyrants, but he described populace in the same way as Horrible people that were going to empower the general public he believed the general public should be kept at very low numbers He believed the world was overpopulated and this is again
[00:21:46.229 --> 00:21:47.790]  The reality of it.
[00:21:47.790 --> 00:21:55.598]  And so they do this over and over and over and over again throughout the
[00:21:59.605 --> 00:22:04.969]  ongoing intellectual cultural societal battles that happened on the Greek islands.
[00:22:04.969 --> 00:22:09.352]  There's a lot of different city-states, a lot of different systems, other competing systems.
[00:22:09.352 --> 00:22:14.415]  Their ideas then branched off and founded what is Rome and then the Roman Empire.
[00:22:14.415 --> 00:22:19.518]  And again, I'm moving over this quick and I don't claim to be a detailed historian on it.
[00:22:19.518 --> 00:22:25.643]  I've just studied what the Pentagon says, what the Club of Rome says, what the Bilderberg Group says, and they quote
[00:22:26.483 --> 00:22:36.425]  The Greek philosophers and the Greek debates and set their whole system of modern psychology and philosophy and culture and war making on it.
[00:22:36.425 --> 00:22:46.267]  And so you have an aristocracy that doesn't believe in empowering humanity because aristocrats always claim that they're just the guardians of the system and they know what's best for the public.
[00:22:46.267 --> 00:22:49.848]  But really, on average, they're a bunch of Malthusian depopulationists.
[00:22:49.848 --> 00:22:55.109]  But today, they're the most radical form of
[00:22:56.962 --> 00:23:02.395]  What Plato called for, and that was forced depopulation.
[00:23:03.775 --> 00:23:03.835]  Uh,
[00:23:34.076 --> 00:23:39.942]  And that we do just need to be gotten rid of.
[00:23:39.942 --> 00:23:42.986]  So getting back to what's happening with Musk.
[00:23:42.986 --> 00:23:44.228]  Musk is seen as a tyrant.
[00:23:44.228 --> 00:23:45.829]  I'm seen as a tyrant.
[00:23:45.829 --> 00:23:47.291]  Anybody that's a fan of humanity
[00:23:48.286 --> 00:24:01.617]  Anybody that stands up for humanity, anybody that doesn't think humanity is bad, anybody that doesn't want to treat us like animals and depopulate us is a tyrant according to the ancient Greek definition that the globalists are using.
[00:24:01.617 --> 00:24:07.942]  So any men that don't get in line with the aristocracy and compete to serve it or be part of it will be eliminated.
[00:24:08.462 --> 00:24:18.752]  But of course, the final equation, they'll end up eliminating everybody, because aristocracies really don't want smart, powerful, interesting people under them, because they might actually try to overthrow them later.
[00:24:18.752 --> 00:24:27.260]  So that's why these aristocracies tend to create stagnation and collapse of civilization, because they go after any competition or new ideas.
[00:24:28.482 --> 00:24:45.308]  What does it say about the establishment that they've now taken the gloves off and are in the process of demonizing, canceling, debanking, and arresting any prominent man that says let's not destroy and dismantle civilization?
[00:24:45.308 --> 00:24:48.048]  Well, this was always where they were going.
[00:24:48.048 --> 00:24:49.309]  As it becomes evident that
[00:24:50.413 --> 00:25:00.876]  Our civilization's having the plug pulled on it, and it's more, quote, men and women, but just pro-human individuals, step up and stand up and say, this is wrong.
[00:25:02.045 --> 00:25:03.245]  We're good to go.
[00:25:25.712 --> 00:25:30.240]  It only energizes the public, including women, to recognize what's happening.
[00:25:30.240 --> 00:25:36.592]  If you're a globalist, you can commit any crime you want in real time in front of the world, and nothing is done.
[00:25:36.592 --> 00:25:37.834]  But if you stand up for humanity...
[00:25:38.735 --> 00:25:41.257]  You believe in the human future, they come after you.
[00:25:41.257 --> 00:25:42.318]  So I've said this many times.
[00:25:42.318 --> 00:25:43.078]  We need a union.
[00:25:43.078 --> 00:25:46.540]  I don't mean like a union like the AFL-CIO.
[00:25:46.540 --> 00:25:50.283]  I mean a pro-human union where humans stand up.
[00:25:50.283 --> 00:25:53.045]  We're competing unions of pro-human systems.
[00:25:53.045 --> 00:25:55.186]  And we say, hey, we buy products made by humans.
[00:25:56.087 --> 00:25:57.929]  We don't buy stuff made by a bunch of robots.
[00:25:57.929 --> 00:26:03.136]  It's not that robots are bad, it's that they're being positioned to take over, so the balance is out of whack.
[00:26:03.136 --> 00:26:08.963]  The robot's not bad enough itself, but it's being positioned to replace us, so we shouldn't let that happen.
[00:26:08.963 --> 00:26:14.370]  And we should demand to fly on airlines that aren't flown by AI automation.
[00:26:15.640 --> 00:26:19.223]  When the automation breaks, the pilots can't even land a plane at the time now.
[00:26:19.223 --> 00:26:22.646]  Did you know you're not in a plane with a human flying it?
[00:26:22.646 --> 00:26:23.827]  Again, this is not progress.
[00:26:23.827 --> 00:26:27.890]  This is a design takeover to make us obsolete.
[00:26:27.890 --> 00:26:33.815]  So we have to have a debate about the philosophies of the world, how the globalists operate, what their worldview is.
[00:26:33.815 --> 00:26:39.620]  We have the legalists out of communist China, who are following the old legalist views of China that's even older than the Greeks.
[00:26:39.620 --> 00:26:42.503]  It's an aristocracy as well, or the Politburo, or the
[00:26:43.880 --> 00:26:45.101]  Ruling Communist Party.
[00:26:45.101 --> 00:26:52.124]  All these new systems are just repeats and rebranding of what other ancient cultures created.
[00:26:52.124 --> 00:26:54.465]  Humans act the same over and over again.
[00:26:54.465 --> 00:27:05.770]  So whether it was Chinese philosophy of their emperors or the philosophy of the philosopher leaders of ancient Greece, it's the competing factions of pro-elite, pro-population.
[00:27:05.770 --> 00:27:07.911]  You've got to decide which side you're on.
[00:27:07.911 --> 00:27:09.732]  That's why it's so preposterous that leftists
[00:27:10.652 --> 00:27:19.494]  Act like they're fighting the establishment when they're bankrolled by the biggest banks, Hollywood, backed by the intelligence agencies, backed by the Justice Department.
[00:27:19.494 --> 00:27:21.494]  But deep down, they know they're employed by it.
[00:27:21.494 --> 00:27:22.875]  They know they're promoted by it.
[00:27:22.875 --> 00:27:24.575]  They know they've teamed up with it.
[00:27:24.575 --> 00:27:28.116]  But they're schmucks, because they're destroying their own future.
[00:27:28.116 --> 00:27:35.278]  Yes, they're getting a little money and a little bit of support today, but it's because the crocodile is only planning to eat them later.
[00:27:35.278 --> 00:27:36.878]  And if you study history, when the tyrants
[00:27:38.137 --> 00:27:39.017]  We're in Greece.
[00:27:39.017 --> 00:27:42.159]  Again, not the modern definition.
[00:27:42.159 --> 00:28:00.529]  They understood this and would explain to the public that if you join with the elites and if you let them basically divide and conquer you, in the end, you will end up much worse than you would be if you stand up and learn how to read and write and learn how to organize your own groups and your own associations.
[00:28:00.529 --> 00:28:05.292]  So just as the Greeks did this and just as our founding fathers did this, just as other cultures have done this,
[00:28:06.352 --> 00:28:14.475]  We have to organize our own reformation, our own new renaissance, our own great awakening against this globalist program.
[00:28:14.475 --> 00:28:18.677]  And we've got to realize this is happening now and this is going on.
[00:28:18.677 --> 00:28:19.918]  So they're coming from us.
[00:28:19.918 --> 00:28:20.818]  They're coming for everybody.
[00:28:20.818 --> 00:28:21.998]  They're coming for me.
[00:28:21.998 --> 00:28:23.379]  They've had grand juries open on me.
[00:28:23.379 --> 00:28:24.680]  I told you about that years ago.
[00:28:24.680 --> 00:28:32.803]  A lot of the stuff, again, I've been told in closed sessions and things I'm on liberty to get into, but the system's told me point blank.
[00:28:33.163 --> 00:28:36.945]  You're going to shut up and go off the air, or we're going to put you in prison.
[00:28:36.945 --> 00:28:37.666]  And that's their goal.
[00:28:37.666 --> 00:28:44.309]  It's not just people on TV, the lawyers, saying they want to put me off the air.
[00:28:44.309 --> 00:28:45.710]  They want us all in jail.
[00:28:45.710 --> 00:28:47.911]  But that's what they're building on this prison planet.
[00:28:47.911 --> 00:28:50.633]  A globalist program to put us all in jail.
[00:28:50.633 --> 00:28:55.555]  And so that's why we've got to come together and realize we don't want to live on a prison planet, we want to live on a free planet.
[00:28:55.555 --> 00:28:56.156]  We'll be right back.
[00:29:00.114 --> 00:29:06.117]  My fellow patriots, the Trifecta has not been in stock for years.
[00:29:06.117 --> 00:29:15.801]  Many of these products have been sold out for years, but we've not had all three of them at once together at InfoWarsTore.com for 40% off.
[00:29:15.801 --> 00:29:25.185]  This is your best opportunity at the lowest price to support the broadcast, but more importantly, experience DNA Force+, Real Red Pill+, and Body's Ultimate Turmeric Formula.
[00:29:25.985 --> 00:29:31.107]  All three of these products are back in stock right now for a limited time at 40% off.
[00:29:31.107 --> 00:29:37.810]  It would take me an hour to tell you about what's in DNA Force Plus, or Real Red Pill Plus, or Body's Ultimate Turmeric Formula.
[00:29:37.810 --> 00:29:45.534]  Go to InfoWarsTore.com, read about these products, find out why they're so game-changing, and get yours today.
[00:29:45.534 --> 00:29:51.957]  DNA Force Plus, Real Red Pill Plus, Body's Ultimate Turmeric Formula, all three back in stock
[00:29:52.637 --> 00:29:58.997]  It's the Trifecta Sale, 40% off for a limited time at infowarestore.com, and it keeps us on air.
[00:30:00.888 --> 00:30:04.011]  Have you tried taking the Real Red Pill?
[00:30:04.011 --> 00:30:10.037]  A one-of-a-kind heart and brain formula designed exclusively for InfoWarsStore.com.
[00:30:10.037 --> 00:30:14.961]  One of the most powerful ingredients in Real Red Pill Plus is Pregnanolone.
[00:30:14.961 --> 00:30:22.889]  Pregnanolone levels decrease with age, and low levels are associated with fatigue, low brain function, and unhealthy aging.
[00:30:23.089 --> 00:30:31.276]  The Real Red Pill Plus also provides essential trace minerals such as vitamin B12, calcium, copper, and zinc.
[00:30:31.276 --> 00:30:44.208]  Featuring naturally occurring L-theanine, caffeine, and theobromine, the energy blend inside the Real Red Pill Plus provides an extra pick-me-up for your day that goes beyond the second cup of coffee.
[00:30:44.508 --> 00:30:52.476]  So visit InfoWarsStore.com, go down the rabbit hole, and try taking the real red pill.
