[00:00.000 --> 00:08.880]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[05:28.960 --> 05:40.960]  Rich follows Sean Lucas to an early grave. On August 2nd, Lucas was found lying dead on the bathroom floor just one month after serving a lawsuit to the DNC on behalf of Sanders supporters.
[05:40.960 --> 05:50.960]  On June 22nd, former president of the UN General Assembly, John Ash, was found dead from a barbell to the neck just days before he was set to testify against a former Clinton crony.
[05:50.960 --> 06:12.960]  Where there's smoke, there's fire and dead bodies have been piling up around the Clintons for decades. Leanne McAdoo for Infowars.com.
[06:21.960 --> 06:29.960]  In the history of Infowars' life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality and so many others.
[06:29.960 --> 06:39.960]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[06:39.960 --> 06:50.960]  This formula is the platinum standard of multivitamin mineral products. The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[06:50.960 --> 06:58.960]  That means it's clean, that means it's pure. At InfowarsLife.com and vitamin mineral fusion. Take action now before we sell out.
[06:58.960 --> 07:07.960]  If you ever wanted a great deal on a powerful solar generator but were waiting for an outrageously low price, you are not going to want to miss this important message. Here's why.
[07:07.960 --> 07:12.960]  My friends, we already see major power grid problems and it's getting worse. So please listen.
[07:12.960 --> 07:22.960]  Solar generators really do provide life-saving electrical power. And unlike gas generators, solar generators run silently, emit no fumes or gases and produce electricity from the sun.
[07:22.960 --> 07:29.960]  Whether it's dangerous summer storms, blackouts, intensifying civil unrest, you're not going to have to suffer through it like the rest of the sheep.
[07:29.960 --> 07:43.960]  And here's the best news if you want to get one this week. Solutions from Science has a big sale on their fast charge solar generators and they're giving away a couple thousand dollars worth of off-the-grid gear in addition to the low price for Infowars listeners.
[07:43.960 --> 08:04.960]  So it's a good time to check it out. Go to gridwars.com. That's gridwars.com. It's a great opportunity to generate maximum electricity with minimum money. Go to gridwars.com. That's gridwars.com.
[08:04.960 --> 08:14.960]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe, you got one.
[08:14.960 --> 08:21.960]  From the front lines of the Information War, it's Alex Jones.
[08:21.960 --> 08:43.960]  It is the 11th day of August 2016 on this Thursday edition. We'll be here until three o'clock Central Standard Time to Death and Infowars Nightly News will return seven o'clock Central Standard Time.
[08:43.960 --> 09:02.960]  There is more news coming out from whistleblowers inside CENTCOM and the Defense Intelligence Agency that they were ordered by Hillary and Obama and others to fix intelligence around covering up the advance of Al Qaeda slash ISIS forces in
[09:02.960 --> 09:25.960]  Libya, into Egypt, into Syria, into areas of Iraq in the last five years. There's a new report upon Infowars.com by Kellan McBreen, CENTCOM whistleblowers, Obama distorting ISIS intelligence whistleblowers, out superiors for
[09:25.960 --> 09:38.960]  altering intelligence. And there's more on that coming out. They've been blowing the whistle obviously for five years. That's how we have Rand Paul and Ted Cruz for their credit coming out and saying we should not be Al Qaeda's Air Force.
[09:38.960 --> 09:56.960]  That's why they changed the name to the Islamic State that Al Qaeda wants to establish to confuse everyone. And then he said ISIL or ISIL or IS or ISIS, all to basically manipulate the American people into not understanding that criminal elements of our
[09:56.960 --> 10:18.960]  government and NATO have been arming, giving the intelligence, giving safe passage to the hobbyist, Saudi Arabian back jihadis under different names. And that's why they have trendy classes.
[10:18.960 --> 10:38.960]  That's why they have sensitivity classes to use the term that they actually use in Ireland and in the UK and in Germany and in Sweden and in France and other nations that when the jihadis come back by the tens of thousands into Europe that they are sent for a week long
[10:38.960 --> 10:56.960]  or month long government funded course to deradicalize them. And then to give left cover to it, the left comes out and says, this is too harsh. This is reeducation camps. You have actual terrorists who've been running around murdering people in mass.
[10:56.960 --> 11:16.960]  And then the London Telegraph comes out and says, tough courses. Jihadis returning to the UK are to be forced to go to anti extremist classes. Oh my gosh, they're forced to. They should be locked up.
[11:16.960 --> 11:32.960]  But they were protected the entire time and that's just one area where it's all in your face that they've been protected the entire time. So Trump came out a week ago and started hammering the fact that Hillary is the founder of ISIS.
[11:32.960 --> 11:48.960]  And then yesterday he came out and expanded on that. He said, you know, Obama is really the founder of ISIS. But the co-founders Hillary. And that's a fact. And that's why under incredible public pressure to start bombing ISIS because of Donald Trump last year and a half, Obama started limited
[11:48.960 --> 12:03.960]  bombing. So the Russians would have an excuse to come in and do it. The Russians knew it was a fake. So they went ahead and came in and started giving hour long or two hour long warnings by leaflets on the highways by the hundreds of thousands of leaflets get off the road.
[12:03.960 --> 12:09.960]  We're going to bomb any trucks on the road. Well, you just pull your truck and park it.
[12:09.960 --> 12:20.960]  And our own bomber pilots started leaking info saying we're not even allowed to hit real targets. We're told to blow up old empty buildings.
[12:20.960 --> 12:35.960]  And then Urgun of Turkey was videotaped by Russian drones day after day after day with thousands of trucks lined up coming across the border with stolen oil.
[12:35.960 --> 12:52.960]  Remember the media saying Donald Trump's a crazy man. Donald Trump's an idiot. Donald Trump's a moron. Why you don't bomb the oil. And that's exactly what the Russians did. And that's what stopped the advance of ISIS and started rolling them back in some areas of Syria.
[12:52.960 --> 13:19.960]  Really you bomb their money? Really you start bombing the border points where they're running back and forth across the border into Turkey and into Iraq? Like the VC in Vietnam running back and forth into Cambodia?
[13:19.960 --> 13:26.960]  I've got hundreds of articles here and so many special reports and incredible clips that I'm going to be getting into today.
[13:26.960 --> 13:50.960]  But there was one particular article this morning about 5 a.m. I woke up early and I was laying there in bed with an iPad and I clicked on US News and World Report story and at the bottom it had political campaign cartoons.
[13:50.960 --> 14:07.960]  More than 60 or 70 cartoons and all of them were anti-Donald Trump. Not one even made fun of Hillary. And then I saw one in particular and I thought I'm going to click on that one and go to the story that it was associated with.
[14:07.960 --> 14:26.960]  Because each one of these cartoons was associated with the story. And it took me back to April 22nd US News and World Report and it took me back to this graphic image that says it all.
[14:26.960 --> 14:42.960]  It's an image of Donald Trump as a Nazi dressed up in an SA brown shirt uniform. Now watch those losers in the press say there's something wrong with book burning.
[14:42.960 --> 14:50.960]  And he's burning GOP nomination the rules. Now what the GOP did was put in rules that they never had the nerve to implement that said the popular vote doesn't matter.
[14:50.960 --> 15:07.960]  So in truth he's defending the right of free expression and the right of the people. So they put him in a Nazi uniform when they're the ones involved in high tech burning of language and dissembling and reducing language and dumbing populations down.
[15:07.960 --> 15:34.960]  And then I read the whole article and it's a big one by Ed Scherner and it compares Democratic Party operative. It compares Donald Trump to Hitler because in his book he talks about struggling to build businesses and how hard it is to have successful businesses.
[15:34.960 --> 15:47.960]  So if you ever say you've struggled your Hitler and then it goes on to say he lives in a paranoid cosmology where he's being persecuted and he's being cheated and all of his followers do as well because they're the Uber mention the Superman.
[15:47.960 --> 15:58.960]  And so they should always be successful or someone's cheating them. And I'm sitting here looking at the graphic that has him burning a book.
[15:58.960 --> 16:09.960]  Implying that the Republicans trying to ignore a popular vote is a book and is freedom. They transmute that like Alchemist. They turn horsemen are into gold.
[16:09.960 --> 16:23.960]  They spend straw into gold. I mean it is total fraud. And I read it at every paragraph was just sophistic, foppish, empty, tired, pseudo-intellectual dribble.
[16:23.960 --> 16:33.960]  And then I sat there for another hour until I heard my kids running around and stuff and I went and made him breakfast.
[16:33.960 --> 16:42.960]  Just looking at US News and World Report just scanning. I looked at over a hundred articles and they all were just the same garbage.
[16:42.960 --> 16:53.960]  I mean it is. I've never seen such a daily. There's got to be 30,000 articles a day attacking Trump from every conceivable angle under the known universe.
[16:53.960 --> 17:01.960]  And it goes on and on and on. How could this not be our champion? How could this not be the answer?
[17:01.960 --> 17:09.960]  Americanism, not globalism will be our credo. Americanism, not globalism will be our credo.
[17:09.960 --> 17:18.960]  The era of our economic surrender is over. Hillary Clinton is an agent of the Communist Chinese. She is.
[17:18.960 --> 17:22.960]  And they just think this country belongs to them. They think your bank account belongs to them.
[17:22.960 --> 17:26.960]  They think they can put us into a depression and tell you it's the greatest economy we've ever had.
[17:26.960 --> 17:32.960]  Remember Obama said America is the best economy it's ever been. You didn't build that.
[17:32.960 --> 17:40.960]  You like your doctor, you can keep your doctor and Obama cares free. Tell them Gruber, yeah, you hired me to triple prices and rip them off. Thank God they're stupid.
[17:40.960 --> 17:48.960]  Hey, State Department, briefing. Only got college kids here to learn how to tell the truth and not to symbol and destroy the country.
[17:48.960 --> 17:58.960]  How ridiculous. We're going to wreck this nation. They even celebrate on our ashes.
[17:58.960 --> 18:04.960]  They are panicking because Donald Trump is ahead in internal polls. He's been ahead.
[18:04.960 --> 18:10.960]  And then when he surged 10 points ahead, even in their cook polls, they panicked. That means like 25 points ahead.
[18:10.960 --> 18:22.960]  And so they started sampling more Democrats than Republicans in the polls and started calling lists that the pollsters know who they're calling in the computer demographics in the actuaries and what's going to give them those numbers.
[18:22.960 --> 18:32.960]  It's a fact. And pollsters across the board said they've never seen fraud this heavy. Mainstream media brags. Yes, we're not impartial. Yes, we're lying because Trump deserves it. He's evil.
[18:32.960 --> 18:37.960]  He must be defeated. Someone needs to kill him.
[18:37.960 --> 18:45.960]  I mean, how many major newspaper editorialists? Do the New York Times editorialists that call for someone to put a bullet in Trump? Did he get in trouble? No.
[18:45.960 --> 18:53.960]  I told everybody two days ago they're going to make this the biggest thing ever because they're pushing for civil unrest when they steal the election. They're pushing to cause violence.
[18:53.960 --> 18:59.960]  They're pushing Black Lives Matter. By the way, shot up a black lady in a car because they were blocking a road and she bumped into them.
[18:59.960 --> 19:08.960]  They're pushing all this civil unrest. And so when he says, hey, they're going to take the Second Amendment unless some of you Second Amendment folks think, you know, you can do something about it at that point.
[19:08.960 --> 19:13.960]  But I don't know. That's what everybody always says. That's why the Second Amendment's there in case everything else fails.
[19:13.960 --> 19:17.960]  He just stated what everybody has said. But they act like they define reality.
[19:17.960 --> 19:25.960]  Ooh, did you hear what he said? And then I came out yesterday and said, he was just repeating what I said and what you said, what everybody has said.
[19:25.960 --> 19:33.960]  From my cold, dead hands, what Charleston Heston Chuck said at the NRA convention.
[19:33.960 --> 19:37.960]  That's all. That's all. That's all. That's all.
[19:37.960 --> 19:44.960]  And then they have media matters go. Alex Jones said, don't take our firearms or 1776 will commence again yesterday. He's calling for violence.
[19:44.960 --> 19:55.960]  No, I'm not. I quoted what I said on CNN. And of course I'm stating the obvious that yes, you keep taking over and suspending elections and trying to arrest people for their speech.
[19:55.960 --> 19:58.960]  There will be a counter-revolution against you, jackasses.
[19:58.960 --> 20:07.960]  There is an affordable alternative to the high cost of healthcare that offers freedom from insurance while providing compliance with the Obamacare individual mandate.
[20:07.960 --> 20:13.960]  Imagine having access to quality, affordable healthcare that allows you the freedom to choose your doctor and hospital.
[20:13.960 --> 20:19.960]  Members can share up to 100% of necessary medical expenses, including some alternative treatments.
[20:19.960 --> 20:24.960]  Find out how you and your family can contain healthcare costs without giving up your freedom.
[20:24.960 --> 20:28.960]  Go to libertyoncall.org. That's libertyoncall.org.
[20:54.960 --> 21:04.960]  If you missed buying emergency food from the patriotic guys during their mega sale last month, be grateful.
[21:04.960 --> 21:10.960]  Even when they slash their prices by 40%, you still get more food for your money from ready-supply foods.
[21:10.960 --> 21:15.960]  Ready-supply foods sells 50 to 230% more food for your money, and we can prove it.
[21:15.960 --> 21:19.960]  With 23 delicious entrees, we also have four times the variety, too.
[21:19.960 --> 21:28.960]  Surviving a disaster is hard enough without worrying about starving to death. See how much more food you can get for your money at readysupplyfoods.com today.
[21:28.960 --> 21:32.960]  This is Dan Pillard. Do you owe the IRS money you can't pay? Are tax debts crippling you?
[21:32.960 --> 21:37.960]  I've defended people from the IRS for over 30 years. I've helped thousands and I can help you, too.
[21:37.960 --> 21:42.960]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[21:42.960 --> 21:49.960]  Call 800-34-NO-TAX to finally get free of IRS debt. With the IRS's new programs, there's never been a better...
[21:49.960 --> 22:15.960]  Call 800-34-NO-TAX. That's 800-34-NO-TAX or my website, danpillard.com.
[22:19.960 --> 22:30.960]  New NSF EPA certified lab tests show Big Berkey water filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[22:30.960 --> 22:39.960]  Big Berkey water filters are the original and most trusted on the market. The gold standard in water purification and our filters last for years at less than 2 cents per gallon.
[22:39.960 --> 22:49.960]  Big Berkey, the one powerful enough to purify stagnant pond water. Get your Big Berkey today. Call 1-877-99 Berkey or click bigberkeywaterfilters.com.
[22:49.960 --> 23:16.960]  That's 1-877-99 BERKEY. Big Berkey water filters for the love of clean water.
[23:16.960 --> 23:36.960]  The investment world isn't fair. A precious metals trader buys gold and silver at spot price. You pay his price plus fees, costs and shipping.
[23:36.960 --> 23:47.960]  But today, you don't. Today, J.M. Bullion offers a 10-ounce bar of pure silver at spot price. No fees, no markups, no shipping. Invest in something real, not wall street paper.
[23:47.960 --> 24:07.960]  10 ounces of silver at spot price. Visit RealPriceSilver.com for this limited time offer. One per household, 50 United States only. RealPriceSilver.com.
[24:18.960 --> 24:28.960]  We have a very, very special piece that Darren McGreen put together. Paralleling modern world with idiocracy, the film produced by the patriot.
[24:28.960 --> 24:40.960]  And listener, just found for folks to know how many people are patriots. It's like knowing that Kurt Russell's a patriot. So many others are.
[24:40.960 --> 24:50.960]  Of course, we're talking about Mike Judge. This little four-minute piece is coming up at the start of the next segment and I have a very powerful special report from Paul Joseph Watson.
[24:50.960 --> 24:58.960]  Are they going to kill Julian Assange? Very, very serious situation. Obviously, he needs to start releasing everything now.
[24:58.960 --> 25:10.960]  The question is, will Julian Assange be assassinated? I have five or six clips that have been translated into English of Vladimir Putin's warning of nuclear war.
[25:10.960 --> 25:23.960]  Now, I played a few of these clips a month ago and tens of millions of people on YouTube alone watched them. So I thought we better just translate it all and give you the full import of his speeches on these subjects.
[25:23.960 --> 25:32.960]  So we'll premiere that coming up in the middle of the next hour as well. Roger Stone will be popping in in the third hour.
[25:32.960 --> 25:40.960]  I don't know how much he wants to get into on air, but he personally has had all hell breaking loose against him, obviously.
[25:40.960 --> 25:50.960]  Because they know that he's one of the people that is getting at Trump's ear and Trump is listening.
[25:50.960 --> 26:03.960]  And I'll tell you, it is surreal to talk about issues here on air and then word for word here, Trump say it two days later.
[26:03.960 --> 26:09.960]  It is amazing. And it just shows how dialed in this guy is and that's why they're so scared of him.
[26:09.960 --> 26:21.960]  I mean, think it's mainstream news that our government criminal elements of it armed al Qaeda and ISIS and worked with Saudi Arabia to turn them loose across Africa and the Middle East.
[26:21.960 --> 26:29.960]  And now they're pouring into Europe by design and Trump is exposing it. They are scared to death. He's talking substance.
[26:29.960 --> 26:34.960]  He's talking treason and even Fox News. I've been monitoring it this morning.
[26:34.960 --> 26:48.960]  Earlier, Daniels ran up and said, just during the break, you got to see this. They just savaged him. Everybody on the panel for saying, hey, if the courts ban the guns, it may have to go to the Second Amendment.
[26:48.960 --> 27:01.960]  That's what Charlton Heston said. That's what I said. That's what everybody says. That's what Ted Nugent says. The country started when they came to take the guns.
[27:01.960 --> 27:06.960]  I mean, it's like if they try to go to pure communism, we're going to have to stand up.
[27:06.960 --> 27:18.960]  I'm not planning it. I don't want that to happen. But when the president of the United States is allied with foreign al Qaeda forces by any other names, same thing.
[27:18.960 --> 27:32.960]  When the government and the Justice Department is coordinating with Black Lives Matter and George Soros to foment racial division and violence. And when the killing of cops is up 80 was 79%.
[27:32.960 --> 27:40.960]  Now it's 82% this year from last year alone. And that's skewed numbers because cop killing was way up the year before and way up the year before it's just going straight up.
[27:40.960 --> 27:46.960]  And people go, oh, what is this worship of police? How about a worship of not having a civil war?
[27:46.960 --> 27:53.960]  This is how these dirty forces that are in our government that have infiltrated are planning to bring the damn country down.
[27:53.960 --> 28:01.960]  Excuse me. I'm getting angry here. This is not rocket science. I want to reform the police because I want to live in a free country.
[28:01.960 --> 28:10.960]  I want to reform myself in my own life when I don't want to eat two cheeseburgers at night. I want to reform my kids and make them better kids, but I don't hate them.
[28:10.960 --> 28:17.960]  And the police are not the people running the New World Order. They're not the ones funding ISIS.
[28:17.960 --> 28:24.960]  And traditionally they're pro-second amendment and they're good people. And the globalists know they're going to stand in the way of a takeover.
[28:24.960 --> 28:33.960]  But I'm telling you, my life is one big chill. I get chills when I talk about certain things. I'm just all the time, just so much energy.
[28:33.960 --> 28:45.960]  It's such a quickening, such a crossroads, such a critical time. And they take this statement of Trump, a mild statement, and they turn it into the end of the world and even Fox News does.
[28:45.960 --> 28:54.960]  I told you they had a coup at Fox. That's now been confirmed. Let's go to the clip of what Biden said. No one's picking this up but Breitbart and Drudge. Thank God.
[28:54.960 --> 29:06.960]  No one else, I mean, I thank God, thank God they care enough. No one else even cares that Biden said he'd shoot, you know, he'd raise arms against Obama if he tried to take the guns.
[29:06.960 --> 29:12.960]  That's okay to say because it's 50 times more hardcore, but it wasn't meant. Here it is.
[29:12.960 --> 29:22.960]  I guarantee you, Barack Obama ain't taking my shotguns, so don't buy that malarkey. Don't buy that malarkey. They're going to start peddling that to you.
[29:22.960 --> 29:30.960]  I got two. If he tries to fool my Beretta, he's got a problem. I like that a little over and under. You know, I'm not bad with it.
[29:30.960 --> 29:37.960]  Okay, there you go. We're going to come back with a very special piece that we put together to illustrate the absurdity of reality.
[29:37.960 --> 29:49.960]  But I tell you, one of the biggest problems conservatives have is they want to sound reasonable. We're not facing reasonable adversaries. We're facing radicals.
[29:49.960 --> 29:55.960]  The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:20.960 --> 30:27.960]  The names on this letter are the ones the American people should look to for answers on why the world is such a mess.
[30:27.960 --> 30:35.960]  And we thank them for coming forward so everyone in the country knows who deserves the blame for making the world such a dangerous place.
[30:35.960 --> 30:43.960]  They are nothing more than the failed Washington elite looking to hold on to their power, and it's time they are held accountable for their actions.
[30:43.960 --> 30:49.960]  No longer will Crooked Hillary Clinton and the other disasters in Washington get rich at our expense.
[30:49.960 --> 31:15.960]  Mega! Leigh Ann McIntyre reporting for infowars.com.
[31:20.960 --> 31:28.960]  And when the Fukushima crisis worsened, as it still is worsening today, I was there telling you how to prepare yourself and your family.
[31:28.960 --> 31:41.960]  Now, in 2016, even more information has been revealed concerning the connection between iodine and the gut, which many experts are now saying could be the biggest revelation ever concerning iodine.
[31:41.960 --> 31:43.960]  You can pull these studies up for yourself.
[31:43.960 --> 31:49.960]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[31:49.960 --> 31:58.960]  Stock up on Survival Shield X2 today at infowarslife.com, or by calling 888-253-3139.
[31:58.960 --> 32:03.960]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[32:03.960 --> 32:12.960]  Young Jevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[32:12.960 --> 32:19.960]  Young Jevity also offers you an ingenious way to augment your income, and the best part? You'll be helping your friends and family along the way.
[32:19.960 --> 32:27.960]  Visit infowarsteam.com today. Become a member. It discounts on the amazing products and free shipping when you sign up for auto-ship,
[32:27.960 --> 32:34.960]  and you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[32:34.960 --> 32:35.960]  Another win-win.
[32:35.960 --> 32:40.960]  That's why I'm a member of the Young Jevity team at infowarsteam.com, and you can be too.
[32:40.960 --> 32:46.960]  It's simple. Just go to infowarsteam.com today. Complete a short sign-up and you're part of the team.
[32:46.960 --> 32:49.960]  That's infowarsteam.com or infowarshealth.com.
[32:49.960 --> 32:55.960]  So many people call into my radio show and tell me how Young Jevity and the products at infowarsteam.com have changed their lives.
[32:55.960 --> 32:57.960]  Check it out for yourself today.
[32:57.960 --> 33:11.960]  As the 21st century began, human evolution was at a turning point.
[33:11.960 --> 33:20.960]  Natural selection, the process by which the strongest, the smartest, the fastest reproduced in greater numbers than the rest,
[33:20.960 --> 33:27.960]  the process which had once favored the noblest traits of man, now began to favor different traits.
[33:27.960 --> 33:34.960]  Most science fiction of the day predicted a future that was more civilized and more intelligent,
[33:34.960 --> 33:40.960]  but as time went on, things seemed to be heading in the opposite direction, a dumbing down.
[33:40.960 --> 33:47.960]  Harvard researchers have found children who live in high-floor-eyed areas have significantly more IQs.
[33:47.960 --> 33:51.960]  Enjoy your extra-big-ass fry.
[33:51.960 --> 33:56.960]  Researchers found members of Congress, on average, speak at a tenth grade level.
[33:56.960 --> 33:59.960]  Most Americans read at an eighth or ninth grade level.
[33:59.960 --> 34:02.960]  Look now, talk slow so you can understand me.
[34:02.960 --> 34:08.960]  It was just a few thousand years ago that our ancestors were using primitive words to communicate.
[34:08.960 --> 34:19.960]  I stand here as a freed slave.
[34:19.960 --> 34:23.960]  You are so dumb, you are really dumb, for real.
[34:23.960 --> 34:28.960]  Mankind became stupider at a frightening rate.
[34:28.960 --> 34:30.960]  You're gonna whiten me!
[34:30.960 --> 34:34.960]  Do you want to know what I found out?
[34:34.960 --> 34:37.960]  Most of England speaks Americanish.
[34:37.960 --> 34:40.960]  I don't feel no ways tired.
[34:40.960 --> 34:42.960]  I've come too far.
[34:42.960 --> 34:49.960]  I believe that our education, like such as South Africa and Iraq, everywhere, like such as.
[34:49.960 --> 34:52.960]  And I believe that they should...
[34:52.960 --> 34:58.960]  Our education over here in the U.S. should help the U.S. or should help South Africa.
[34:58.960 --> 34:59.960]  What does that mean?
[34:59.960 --> 35:05.960]  Mercury-containing vaccines may help not harm kids according to two new studies in the journal Pediatric.
[35:05.960 --> 35:08.960]  Great.
[35:15.960 --> 35:19.960]  We now go live to violence channel correspondent for Micah Davis
[35:19.960 --> 35:23.960]  at the Extreme Court with highlights on today's trial.
[35:23.960 --> 35:39.960]  Good to see you in this exercise in transparency and democracy.
[35:39.960 --> 35:44.960]  Is that what it is?
[35:44.960 --> 35:51.960]  A great dust bowl had ravaged food supplies and the number one movie in the country was called...
[35:51.960 --> 35:53.960]  Ass.
[35:53.960 --> 35:57.960]  If Mr. Trump is suggesting that there is a conspiracy theory...
[35:57.960 --> 35:59.960]  That doesn't make any sense.
[35:59.960 --> 36:01.960]  Of course the elections will not be rigged.
[36:01.960 --> 36:02.960]  What does that mean?
[36:02.960 --> 36:05.960]  Obama, you should run for a third term because he needs to.
[36:05.960 --> 36:07.960]  Obama, third term!
[36:07.960 --> 36:11.960]  How many sides does a triangle have?
[36:11.960 --> 36:12.960]  Damn, four.
[36:12.960 --> 36:17.960]  There's no size.
[36:17.960 --> 36:20.960]  What does Sama bin Laden most infamous for?
[36:20.960 --> 36:21.960]  Osama?
[36:21.960 --> 36:22.960]  Yeah.
[36:22.960 --> 36:23.960]  Or Obama?
[36:23.960 --> 36:24.960]  Osama.
[36:24.960 --> 36:25.960]  I have no idea who Osama is.
[36:25.960 --> 36:29.960]  Which state does KFC come from?
[36:29.960 --> 36:32.960]  What, the chicken?
[36:32.960 --> 36:33.960]  I don't know.
[36:33.960 --> 36:34.960]  I really don't know.
[36:34.960 --> 36:36.960]  Okay, do you know what KFC stands for?
[36:36.960 --> 36:38.960]  Kentucky Fried Chicken.
[36:38.960 --> 36:44.960]  A little further south from that facility, there's a completely separate building where they get this.
[36:44.960 --> 36:49.960]  Change raw sewage water into water people drink.
[36:49.960 --> 36:50.960]  What?
[36:50.960 --> 36:51.960]  Like out the toilet?
[36:51.960 --> 36:53.960]  But Brando's got what plants pray.
[36:53.960 --> 36:55.960]  It's got electrolytes.
[36:55.960 --> 36:59.960]  Live from Austin, Texas. Broadcasting worldwide.
[36:59.960 --> 37:01.960]  It's Alex Jones.
[37:01.960 --> 37:03.960]  I thought your hair would be bigger.
[37:03.960 --> 37:05.960]  And for a stock copy.
[37:09.960 --> 37:11.960]  It's a circus, everybody! Look!
[37:11.960 --> 37:13.960]  Yeah, look at the monkey!
[37:13.960 --> 37:15.960]  Look at the monkey!
[37:15.960 --> 37:19.960]  I did that on purpose!
[37:19.960 --> 37:25.960]  Well, this is what psychological warfare does in the last 60, 70 years with television.
