[00:00:01.583 --> 00:00:12.193]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:09:13.973 --> 00:09:18.816]  Now with the face scan, even if you don't thumb scan, your digital photo is in a database
[00:09:19.236 --> 00:09:35.235]  The camera at Walmart will face scan you, and then they will have a record of what you bought scanned onto the chip, connected to your purchase number, and now they can track and trace you, and with the antennas off cell towers and radio readers, they can then track and trace your movements and what you do.
[00:09:37.209 --> 00:09:44.297]  Well, and if you throw RFID into the mix, and I think a lot of this, you know, the infrastructure clearly is in the planning stage for a lot of this.
[00:09:44.297 --> 00:09:46.639]  I think much of this does not yet exist.
[00:09:46.639 --> 00:09:49.261]  There's already RFIDs in almost everything.
[00:09:49.261 --> 00:09:54.066]  They're just the larger, old-fashioned ones.
[00:09:54.066 --> 00:09:54.827]  Go back up.
[00:09:54.827 --> 00:09:55.488]  Explain that to me.
[00:09:55.488 --> 00:09:57.269]  Well, there's already RFID.
[00:09:57.269 --> 00:09:58.871]  There's an RFID in the money since 96.
[00:10:00.635 --> 00:10:04.397]  Do you have a $5 bill or higher in your wallet right now?
[00:10:04.397 --> 00:10:06.898]  Yeah, I do.
[00:10:06.898 --> 00:10:08.719]  Hold your money up to the light.
[00:10:08.719 --> 00:10:09.160]  Let me do this.
[00:10:09.160 --> 00:10:10.120]  There's a strip in there.
[00:10:10.120 --> 00:10:12.341]  There's an anti-counterfeiting strip.
[00:10:12.341 --> 00:10:16.183]  Yeah, that's an RFID.
[00:10:16.183 --> 00:10:18.825]  That's the Federal Reserve's own admission.
[00:10:18.825 --> 00:10:20.966]  That is a readable strip from a distance.
[00:10:22.096 --> 00:10:22.956]  You know that?
[00:10:22.956 --> 00:10:23.917]  No, I did not know that.
[00:10:23.917 --> 00:10:27.899]  In fact, I have numerous denials on record that that's the case.
[00:10:27.899 --> 00:10:29.700]  So I would be very interested in getting that information.
[00:10:29.700 --> 00:10:33.622]  Well, I'm sure you heard the EU has said they're going to put RFID in all their new money.
[00:10:33.622 --> 00:10:34.622]  Did you see that article?
[00:10:34.622 --> 00:10:41.526]  Yes, that will be by... They're aiming for 2005, but they haven't totally admitted it, but Hitachi has admitted they're working with them on that.
[00:10:41.526 --> 00:10:42.807]  Well, maybe you didn't see the article.
[00:10:42.807 --> 00:10:49.090]  I saw they said they're going to do it, but... Yes, this is a primitive RFID that's in the money.
[00:10:49.090 --> 00:10:50.410]  And the Federal Reserve said in 1999
[00:10:52.271 --> 00:11:00.476]  Already four years ago that they, that if you do not keep your money in the bank, they're going to devalue it through the tracker strip in the money.
[00:11:00.476 --> 00:11:06.339]  That way they can, it turns your money into a cashless society receipt.
[00:11:06.339 --> 00:11:07.459]  Do you see what I'm saying?
[00:11:07.459 --> 00:11:14.163]  Yeah, that I actually have heard proposals to do that, to actually check, scan money as it comes out of the ATM machine.
[00:11:14.163 --> 00:11:19.226]  Yeah, and who you are and a record of it, but the Federal Reserve says they'll also devalue it.
[00:11:20.297 --> 00:11:23.181]  I have heard that, but I didn't know that it actually got into effect.
[00:11:23.181 --> 00:11:24.322]  We'll have to see how long it takes.
[00:11:24.322 --> 00:11:28.086]  Well, that was a policy announcement of the Federal Reserve Board of Virginia.
[00:11:28.086 --> 00:11:28.267]  In 99.
[00:11:31.661 --> 00:11:33.263]  And that's what the new colored money's about.
[00:11:33.263 --> 00:11:35.764]  It has even more of these identifiers in it.
[00:11:35.764 --> 00:11:44.050]  We'll talk about it on the other side, and to get into this, but yes, that is a readable script, and the money has nothing to do with counterfeiting.
[00:11:44.050 --> 00:11:45.031]  That's just what they say it's for.
[00:11:45.031 --> 00:11:50.915]  It's like they say the Amber Alert is why the feds can take over every radio and TV station.
[00:11:50.915 --> 00:11:51.776]  Well, I work in radio.
[00:11:51.776 --> 00:11:57.860]  They put the EAS system in in 97, and it is a takeover FEMA system.
[00:11:57.860 --> 00:11:59.902]  Whatever they say it's for, there's always the real reason.
[00:12:10.339 --> 00:12:17.142]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:12:17.142 --> 00:12:18.783]  We ask that you wait.
[00:12:18.783 --> 00:12:20.664]  Don't donate a dollar at a time.
[00:12:20.664 --> 00:12:26.246]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:12:26.246 --> 00:12:29.768]  Wait until you listen to five or ten, and then donate, please.
[00:12:29.768 --> 00:12:32.069]  We appreciate your voluntary support.
[00:12:39.403 --> 00:12:55.167]  We're talking to the founder and director of Caspian, Consumers Against Supermarket Privacy Invasion and Numbering.
[00:12:55.167 --> 00:12:58.608]  Catherine, did you try to explain this?
[00:12:58.608 --> 00:13:00.468]  You know, they call them RFID chips.
[00:13:00.468 --> 00:13:04.029]  They're really, in the more advanced models, transponders.
[00:13:05.171 --> 00:13:06.735]  Not quite.
[00:13:06.735 --> 00:13:08.959]  Let me see if I can clarify the technology.
[00:13:08.959 --> 00:13:12.226]  First, I was going to state two ways that they're different from the barcode.
[00:13:12.226 --> 00:13:15.373]  The first way is in that they contain individual numbers,
[00:13:20.520 --> 00:13:21.040]  I don't think so.
[00:13:51.070 --> 00:13:53.651]  Register it to yourself or you can't return it.
[00:13:53.651 --> 00:13:55.712]  Okay, well there's two pieces to that.
[00:13:55.712 --> 00:14:03.997]  First of all, yes, they are talking about needing these chips to be left on instead of disabled at checkout so that you could make returns.
[00:14:03.997 --> 00:14:14.322]  That's actually in the documentation of these companies themselves, which is a bit ironic because when you ask them about privacy, their first line will be to say, well, we're going to shut them off at checkout.
[00:14:14.322 --> 00:14:17.724]  Well, of course, that's a little bit nuts if you're going to be using them for returns.
[00:14:17.724 --> 00:14:19.965]  So they're talking out of both sides of their mouths there.
[00:14:20.325 --> 00:14:25.788]  Yeah, the transponder receives and transmits and if you scan this and it gives you back the information.
[00:14:25.788 --> 00:14:34.133]  You know, these transponders they put in cars that are the size of maybe half an inch long, quarter inch wide.
[00:14:34.133 --> 00:14:36.094]  The San Mato Times last Monday
[00:14:37.145 --> 00:14:39.326]  In San Francisco, the Bay Area.
[00:14:39.326 --> 00:14:41.306]  They said you gotta have these now to drive in the city.
[00:14:41.306 --> 00:14:44.448]  We're gonna put up radio readers and scan you as you drive around.
[00:14:44.448 --> 00:14:48.189]  They proposed satellite tracking and taxation for our cars.
[00:14:48.189 --> 00:14:50.450]  They're already putting the infrastructure in.
[00:14:50.450 --> 00:14:54.171]  So I'm talking about what they stated they're gonna do with these systems.
[00:14:55.117 --> 00:14:55.537]  Right.
[00:14:55.537 --> 00:15:02.162]  Well, as I said, these are different from the barcode in number one, they have unique numbers, and number two, they are readable from a distance.
[00:15:02.162 --> 00:15:06.665]  I think the only place where we're differing, Alex, is just in terms of the terminology that we're using.
[00:15:06.665 --> 00:15:10.687]  It wouldn't be quite technically correct to say that these devices transmit information.
[00:15:10.687 --> 00:15:15.751]  It would be more correct to say that they pick up ambient radio frequency waves and they reflect them back.
[00:15:15.751 --> 00:15:17.132]  They don't have their own power source.
[00:15:17.132 --> 00:15:18.753]  There's actually two types of chip.
[00:15:18.753 --> 00:15:24.016]  There's one that's called a passive chip, which picks up radio frequency energy from a reader device
[00:15:24.957 --> 00:15:27.779]  It was the Office of Naval Intelligence, correct, that developed the RFID?
[00:15:55.831 --> 00:15:56.452]  All right.
[00:15:56.452 --> 00:15:58.174]  How do we stop them from implementing this?
[00:16:12.029 --> 00:16:13.570]  Well, there's a couple of pieces.
[00:16:13.570 --> 00:16:24.456]  At this conference that I attended last week, one of the things being discussed was how, while they were asking the opposite question, how do we ensure that we can implement this, because we all stand to make a ton of money from doing it, was their thought on it.
[00:16:24.456 --> 00:16:31.140]  A gentleman by the name of Larry Kellam, K-E-L-L-A-M, who is the Director of Business-to-Business Supply Chain
[00:16:31.360 --> 00:16:31.600]  It's a
[00:16:54.720 --> 00:17:05.328]  Well, that's what I saw Reg say over a year ago on C-SPAN.
[00:17:05.328 --> 00:17:14.374]  I got on one of these myriad tapes and he said that we're going to put troops and FBI in the infrastructure and I've got it from Arkansas.
[00:17:14.374 --> 00:17:16.816]  They've got FBI at their RFID center.
[00:17:17.503 --> 00:17:23.547]  Well, and that's the piece I would be extremely interested in information about Walmart, because right now Walmart obviously is on our radar screen.
[00:17:23.547 --> 00:17:28.630]  They've called for a hundred of their top suppliers to put these devices on the supply side.
[00:17:28.630 --> 00:17:36.355]  Now, this is an important distinction, and as people hear about this more, they need to be very careful which of these two types of tagging the companies are talking about.
[00:17:36.835 --> 00:17:44.577]  Supply-side tagging means putting it on pallets, putting it on something called a tray, which is a big thing that contains lots of product to move it through the warehouses.
[00:17:44.577 --> 00:17:48.358]  They're trying to claim that's what they're doing, but the call is for them to put it in all the products.
[00:17:48.358 --> 00:17:49.178]  Correct.
[00:17:49.178 --> 00:17:51.498]  Now, here's the buzzword you want to be looking for.
[00:17:51.498 --> 00:17:54.119]  You want to be looking for item-level tagging.
[00:17:54.119 --> 00:17:58.560]  Item-level tagging means putting it actually on products that consumers will be taking home with them.
[00:17:58.560 --> 00:17:59.320]  That would be things like
[00:17:59.620 --> 00:18:00.501]  We're on the march.
[00:18:00.501 --> 00:18:02.181]  The Empire's on the run.
[00:18:02.181 --> 00:18:03.782]  Alex Jones and the GCN Radio Network.
[00:18:31.289 --> 00:18:55.937]  All right, Catherine Albrecht is our guest and she is the founder and head of Caspian, Consumers Against Supermarket Privacy Invasion and Numbering.
[00:18:57.083 --> 00:19:10.104]  And the Total Information Awareness Network run by convicted felon Admiral Poindexter says everything you buy, everything you sell, everything you do, everything you read, everything you say, even how you breathe will be monitored 24 hours a day.
[00:19:10.104 --> 00:19:11.487]  Now those are public announcements.
[00:19:12.273 --> 00:19:28.403]  And then now she's there at the big RFID convention where they're peddling all of this, and the big boys are trying to create this infrastructure control, and they're saying, oh, we need to get Homeland Security to say this is necessary for the food system, see?
[00:19:28.403 --> 00:19:37.129]  And then that gets Homeland Security into control of that, and they said that you're going to have to have four levels of security passes to have jobs anywhere, so an ID card to have a job.
[00:19:38.426 --> 00:19:42.170]  I've got Ridge on tape saying that, and I know we've got callers who want to talk to Catherine.
[00:19:42.170 --> 00:19:46.774]  The toll-free number to join us on air is 800-259-9231, 800-259-9231, and later I do have some other news coming up.
[00:19:46.774 --> 00:19:50.738]  Catherine, we were talking about ways to counter this, but first, you know,
[00:20:00.279 --> 00:20:05.561]  But talking about boycotting it now, anyone who does it now, so they'll back off.
[00:20:05.561 --> 00:20:09.703]  Because if they're able to put it in everywhere, then you can't boycott everyone.
[00:20:09.703 --> 00:20:17.787]  But before we get into that, how to boycott, what are some of the other things, the chilling statements you've heard, if any?
[00:20:25.035 --> 00:20:29.501]  Well, you know, it was funny the amount of religious terminology being tossed around at this event.
[00:20:29.501 --> 00:20:36.950]  One UK chain, which is Marks & Spencer, which claims to be one of the largest clothing retailers in the United Kingdom or in Great Britain,
[00:20:37.979 --> 00:20:46.669]  They're putting these tags into clothing that they're selling off the shelf and when we're talking about this item level tagging, putting them in things, they call that the Holy Grail.
[00:20:46.669 --> 00:20:51.135]  Item level tagging, putting these chips in individual items people walk out with is the Holy Grail.
[00:20:51.135 --> 00:20:57.362]  There was one gentleman who stood up and he said, I'm with Babylon Information Systems or Babylon Data Systems and I about swallowed my tongue.
[00:20:58.042 --> 00:20:59.403]  My gum there!
[00:20:59.403 --> 00:21:02.084]  A lot of terminology like that floating around.
[00:21:02.084 --> 00:21:14.329]  There was another comment, this is also Marks and Spencer, that they're looking at traceability legislation that they expect to go through in Europe, which would mandate traceability of consumer products, particularly food items.
[00:21:14.329 --> 00:21:15.910]  They're looking for that.
[00:21:15.910 --> 00:21:23.073]  And I have to say probably that the, and I don't want you to take this out of context, but there was a comment by a gentleman working for Philip Morris.
[00:21:23.773 --> 00:21:31.419]  And he was on a panel and he was talking about how the supply chain practices are going to have to change to adopt this technology.
[00:21:31.419 --> 00:21:34.080]  And his quote, by the way, his name is William Sweeney.
[00:21:34.080 --> 00:21:37.703]  He's the principal research engineer of Philip Morris USA.
[00:21:37.703 --> 00:21:41.826]  And his comment about the supply chain, now mind you, but I thought it was prophetic.
[00:21:41.826 --> 00:21:44.267]  He said, this is a destructive technology.
[00:21:44.267 --> 00:21:46.489]  Its purpose is to destroy our way of life.
[00:21:47.370 --> 00:21:50.972]  And the whole room kind of went silent and then everyone nervously laughed.
[00:21:50.972 --> 00:21:54.254]  And he paused for a dramatic effect after saying that.
[00:21:54.254 --> 00:21:57.276]  So they're against it because they know it'll affect their growing field.
[00:21:57.276 --> 00:21:58.497]  Oh no, he's totally in favor of it.
[00:21:58.497 --> 00:22:05.561]  He was up there, in fact that whole entire presentation was about how fabulous this is going to be, which is why... Well, then why did he say it was destructive?
[00:22:05.561 --> 00:22:10.184]  Well, his comment at that point was to say, guys, you need to totally revamp your supply chain systems.
[00:22:10.184 --> 00:22:11.484]  Tear down everything the way you're doing it.
[00:22:11.484 --> 00:22:13.405]  You've got to do it this whole new way.
[00:22:13.405 --> 00:22:14.146]  And that's what he said.
[00:22:14.858 --> 00:22:28.150]  Ridge said, you're going to have federal inspectors at all farms, all businesses of any size, very intrusive, a new level of taxation and regulation, and this will destroy any underground economy.
[00:22:28.150 --> 00:22:34.956]  Patriot Act 1 has bizarre stipulations about buying and selling and trading without authorization.
[00:22:34.956 --> 00:22:36.597]  People said, what does this mean?
[00:22:36.597 --> 00:22:38.179]  Well, it's obvious where they're going with this.
[00:22:39.071 --> 00:22:43.437]  Well, and I think we're seeing that in the food supply being potentially attacked from many sides.
[00:22:43.437 --> 00:22:52.489]  I just read an article about farmers markets, that they're cracking down on farmers markets now and making people jump through all sorts of health requirements and hoops.
[00:22:52.489 --> 00:22:57.255]  Yeah, it's about getting control of us, it's about controlling the infrastructure, getting us dependent.
[00:22:57.595 --> 00:23:06.479]  Well, and I think food is a key place where anyone who is concerned about privacy, liberty, and freedom needs to really stand up and say, hey, when it comes to my food, you don't mess with that.
[00:23:06.479 --> 00:23:07.239]  Well, the U.N.
[00:23:07.239 --> 00:23:10.761]  said that they would use food as a weapon and that they would make no apologies.
[00:23:12.669 --> 00:23:17.430]  Yeah, well I actually have a follow-up on that that I would be glad to send to anybody who's interested in this.
[00:23:17.430 --> 00:23:22.252]  Let me give out our email address, so if your listeners would like to get more information about what we're doing.
[00:23:22.252 --> 00:23:23.732]  We have a free newsletter.
[00:23:23.732 --> 00:23:24.973]  People are welcome to sign up for.
[00:23:24.973 --> 00:23:28.414]  We're online at www.nocards.org.
[00:23:28.414 --> 00:23:31.834]  We got started fighting supermarket cards in 1999.
[00:23:31.834 --> 00:23:35.115]  If you click on the feedback form there, you can fill out your email address.
[00:23:35.115 --> 00:23:37.176]  We'll go ahead and get you on our mailing list and keep
[00:23:37.256 --> 00:23:44.220]  Well, also, Catherine, they've already announced that they want to make people tag all of their produce and livestock and have this new federal regulatory system locally in your area.
[00:23:44.220 --> 00:23:45.941]  Your goats, your sheep, your cows, your horses, your pigs.
[00:24:03.426 --> 00:24:07.188]  Any livestock or any domesticated animals, L.A.
[00:24:07.188 --> 00:24:11.090]  has made it the law where you've got to put a chip in your dog or cat, period.
[00:24:11.090 --> 00:24:14.911]  It started out if you got them from the pound, but now it's all animals.
[00:24:14.911 --> 00:24:16.472]  A bunch of other cities are doing it.
[00:24:16.472 --> 00:24:21.094]  Total control, total surveillance, and this centralizes control as well.
[00:24:21.094 --> 00:24:29.218]  Well, you know Alex, it's funny because I know your listeners probably share our mindset, but if you're ever talking to somebody who says, you know, this is all going to
[00:24:29.258 --> 00:24:29.859]  Thank you so much.
[00:24:51.458 --> 00:24:56.403]  Well, if you want to know what that will be like, we've got some great examples in history where you can look at that.
[00:24:56.403 --> 00:24:59.586]  Talk about Stalin's Soviet Union, for example.
[00:24:59.586 --> 00:25:03.550]  That was arguably the most surveilled society on the planet.
[00:25:03.550 --> 00:25:08.695]  Every piece of mail was opened, every phone call potentially listened in on, every neighbor spying on every other neighbor.
[00:25:12.198 --> 00:25:15.861]  Absolutely not.
[00:25:15.861 --> 00:25:23.728]  In fact, now historians are saying that Stalin may have killed upwards of 60 million of his own people, people that he surveilled and found that, hey, you know, guess what?
[00:25:23.728 --> 00:25:27.492]  They didn't like the prevailing system, because the prevailing system was killing people.
[00:25:27.492 --> 00:25:34.578]  So if we go forward with this RFID technology and have the potential of scanning everything
[00:25:34.718 --> 00:25:35.318]  We're good to go.
[00:25:51.718 --> 00:26:10.206]  This is about control, and they're using terror as their excuse, but then take what they're doing with the borders being more open than they were before 9-1-1, and 800 plus cities accepting any fake ID from anybody from Poland or Mexico, it doesn't matter, the matricula cards, and on top of that, I mean, it's a joke.
[00:26:10.206 --> 00:26:18.190]  This is an excuse to centralize power and control, and to blow out any type of grassroots business or infrastructure.
[00:26:18.190 --> 00:26:21.251]  This is about total centralization, a compact city.
[00:26:23.010 --> 00:26:32.052]  Well, if that was your goal, and I'm not quite sure whose goal that would be, but let's say that was your goal, RFID technology would be an ideal tool to fall into those hands.
[00:26:32.052 --> 00:26:46.814]  And I've said many times publicly, I believe if Hitler had had this technology, there's not a Jew who would have escaped from any of the countries under his control, because this technology enables you to track people to know who's interacting with who, who's carrying what, who's doing what.
[00:26:46.814 --> 00:26:51.595]  And any form of resistance against the tyrannical government could easily be detected and squashed.
[00:26:54.091 --> 00:27:00.831]  I was actually used by Hitler with some of their primitive computers to do this.
[00:27:02.061 --> 00:27:04.583]  Well, for three years, IBM's been running the ad for IBM Blue.
[00:27:31.036 --> 00:27:38.709]  Where the guy walks in the store, sticks a chicken in his shirt, a bag of potato chips, beer.
[00:27:38.709 --> 00:27:43.598]  He's walking out and the security guard runs over and says, excuse me sir, you forgot your receipt.
[00:27:43.598 --> 00:27:44.820]  Everybody saw that ad.
[00:27:45.803 --> 00:27:47.743]  And that's what they're doing, bottom line.
