[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[07:00.340 --> 07:02.900]  They would get very, very scared the next time I saw them
[07:02.900 --> 07:04.820]  in a few months and say, man, you're right.
[07:04.820 --> 07:05.940]  This is just hoping.
[07:05.940 --> 07:08.220]  Folks, I didn't make any of this up.
[07:08.220 --> 07:08.700]  OK?
[07:08.700 --> 07:09.340]  It's real.
[07:09.340 --> 07:09.860]  It's real.
[07:09.860 --> 07:22.460]  Newcastle
[07:22.460 --> 07:34.900]  It is Tuesday, August 4.
[07:34.900 --> 07:36.120]  The year is 2020.
[07:36.120 --> 07:43.120]  We are 90 Earth rotations out from this incredible election.
[07:43.120 --> 07:45.120]  Strap yourselves in.
[07:45.120 --> 07:53.120]  There's been a giant explosion in Beirut in a huge mushroom cloud that some thought might have been an atomic or hydrogen bomb going off.
[07:53.120 --> 07:59.120]  It could be seen from 30, 40 miles away, going as high as 40,000 feet in the air.
[07:59.120 --> 08:04.120]  And that incredible still shot from AFP TV viewers can see on screen.
[08:04.120 --> 08:08.120]  But the good news is it's bad news, but not that bad.
[08:08.120 --> 08:14.120]  There was a fire at the port, a fireworks factory blew up.
[08:14.120 --> 08:22.120]  And so that is what caused that very ominous looking explosion that obviously killed a lot of people.
[08:22.120 --> 08:27.120]  So it's bad news, but the good news is it was not a terrorist attack.
[08:27.120 --> 08:33.120]  Just 20 minutes ago, it was terrifying mystery blast shockwave filmed over Beirut. Now they know it's fireworks.
[08:33.120 --> 08:36.120]  The BBC is reporting.
[08:36.120 --> 08:41.120]  Now, let's get into it here.
[08:41.120 --> 08:44.120]  Let's lay out the news.
[08:44.120 --> 08:48.120]  You know, I think the best thing for me to do is something I did yesterday and I did a pretty good job.
[08:48.120 --> 08:53.120]  And that was in the first segment, doing nothing but reading headlines.
[08:53.120 --> 09:00.120]  And then coming back after that and getting into the headlines in specifics in the tail, because that just gives you the flavor of what's going on.
[09:00.120 --> 09:03.120]  So let's go ahead and do that right now.
[09:03.120 --> 09:10.120]  New York Times op-ed suggests scrapping the 2020 presidential debates.
[09:10.120 --> 09:16.120]  Because when you're running a corpse, you can't actually have it on television.
[09:16.120 --> 09:24.120]  Trump claims authority to issue order on mail in votes, executive order, associated press.
[09:24.120 --> 09:33.120]  Good news. Trump is registering more new votes than Democrats in key swing states, gatewaypundit.com.
[09:33.120 --> 09:47.120]  New Nevada law allows Democrats to enter nursing homes, Fox News is reporting, vote for dementia patients without their signature actual video of it and the law.
[09:47.120 --> 10:00.120]  Wow. It's all political. New Mexico dem governor says protest are okay, but knocking on doors or register voters is not the definition of hypocrisy and fraud.
[10:00.120 --> 10:05.120]  Trump questions Epstein suicide. Was he killed?
[10:05.120 --> 10:10.120]  Explained what he was talking about with gasoline Maxwell. He said he wishes her well. He doesn't want her to die.
[10:10.120 --> 10:13.120]  He wants her to live a long time so she can testify.
[10:13.120 --> 10:21.120]  Trump fires CEO of Tennessee Valley Authority for outsourcing jobs to foreign workers after meeting with US tech workers.
[10:21.120 --> 10:24.120]  Talk about listening to your base.
[10:24.120 --> 10:30.120]  Singapore attack visitors with electronic monitoring devices to ensure COVID-19 quarantine appliance.
[10:30.120 --> 10:36.120]  But don't worry, when you're in the country, they've got the database on your phone, which is the new order plan.
[10:36.120 --> 10:44.120]  Singapore will give residents wearable tokens that track the people they interact with in new effort to contain COVID-19.
[10:44.120 --> 10:51.120]  And now city parks in Austin are making you register and give them a digital number at the beginning of this to be able to use Barton Springs, other areas.
[10:51.120 --> 10:59.120]  I am going to lead a march where we go into Barton Springs and we swim and we'll probably get arrested because we're not anti-shooting at police or something.
[10:59.120 --> 11:03.120]  But we've got to start having our civil rights movement, our human rights movement against this, ladies and gentlemen.
[11:03.120 --> 11:09.120]  This is an admitted takeover where you have to be tracked to go outside.
[11:09.120 --> 11:12.120]  And remember who else was pushing this a month ago? This is Jerusalem Post.
[11:12.120 --> 11:17.120]  Benjamin Netanyahu suggests microchipping kids slammed by experts.
[11:17.120 --> 11:24.120]  Michael Gates is announcing it. Your phone is spying on you and companies are generating secret surveillance scores based on info.
[11:24.120 --> 11:28.120]  A big detailed report from Michael Snyder at infowars.com.
[11:28.120 --> 11:31.120]  Suggest you read that and share that because it all ties into this.
[11:31.120 --> 11:34.120]  And look at this photo. You're a TV viewer. Radio listeners can go to infowars.com.
[11:34.120 --> 11:36.120]  It's a Paul Joseph Watson article.
[11:36.120 --> 11:43.120]  Houston mayor orders $250 fines for people who refuse to wear masks.
[11:43.120 --> 11:47.120]  He wears a mask that says, I can't breathe on it.
[11:47.120 --> 11:51.120]  Even though major studies are coming out.
[11:51.120 --> 11:56.120]  On record showing that they don't help you. They don't keep you safe and they cause health problems.
[11:56.120 --> 11:59.120]  Like not being able to breathe.
[11:59.120 --> 12:05.120]  We have video where doctors report pharmacies are refusing to fill HCQ totally legal prescriptions.
[12:05.120 --> 12:09.120]  In Ohio and Michigan have reversed bans on it after outcry by doctors.
[12:09.120 --> 12:13.120]  But now the pharmacies are good little globalists.
[12:13.120 --> 12:18.120]  They're going to refuse the people with medical degrees because Bill Gates said so.
[12:18.120 --> 12:21.120]  He's not a doctor, but he does run them.
[12:21.120 --> 12:25.120]  AP Spain's new wave of infections hits the young middle age.
[12:25.120 --> 12:27.120]  You read in the statistics it's all made up.
[12:27.120 --> 12:32.120]  FDA shifting standards for Chinese face mask fuel confusion.
[12:32.120 --> 12:34.120]  I can't effing breathe under this thing.
[12:34.120 --> 12:36.120]  LSU linebacker thenifies flaw.
[12:36.120 --> 12:41.120]  Flaw is actually a space helmet in new coronavirus helmets.
[12:41.120 --> 12:45.120]  It's a space helmet without an oxygen tube.
[12:45.120 --> 12:51.120]  But if they can get us to wear a bag over our head and affix it ourselves, why not?
[12:51.120 --> 12:55.120]  You know they're laughing at you.
[12:55.120 --> 12:59.120]  Meanwhile, Trump says crazy Nancy Pelosi slow rolling coronavirus aid.
[12:59.120 --> 13:02.120]  Only interested in bailing out radical leftists, which she admits.
[13:02.120 --> 13:05.120]  She says everybody else is collateral damage.
[13:05.120 --> 13:09.120]  The leader of the American Communist Party has endorsed Biden.
[13:09.120 --> 13:13.120]  Then of course the really big news is coming up at the bottom of the hour.
[13:13.120 --> 13:15.120]  There is a major move to crash the dollar.
[13:15.120 --> 13:18.120]  I'll explain what's behind that and how to stop it.
[13:18.120 --> 13:19.120]  And yes, we're fiat.
[13:19.120 --> 13:24.120]  Yes, we're over financial territory that we shouldn't be.
[13:24.120 --> 13:27.120]  But I'm going to explain the big picture and what's really going on.
[13:27.120 --> 13:30.120]  Why they have all these so-called conservatives out there saying America's over.
[13:30.120 --> 13:31.120]  The dollar's dead.
[13:31.120 --> 13:33.120]  You know, everything's going to collapse.
[13:33.120 --> 13:36.120]  It's because they're invested in China and they're invested with the globalist.
[13:36.120 --> 13:38.120]  Who's even more inflated than us.
[13:38.120 --> 13:41.120]  So I'll be explaining all that bottom of the hour.
[13:41.120 --> 13:43.120]  Back into the hydroxychloroquine area.
[13:43.120 --> 13:45.120]  You're going to really need to see these articles.
[13:45.120 --> 13:52.120]  COVID-19, Dr. Zelenko, 150,000 Americans and many more around the world are dead
[13:52.120 --> 13:58.120]  because HCQ stood in the way of making trillions for Fauci gates and others.
[13:58.120 --> 14:04.120]  These two charts should land Dr. Fauci in prison and shows the countries that use hydroxychloroquine
[14:04.120 --> 14:05.120]  had almost no deaths.
[14:05.120 --> 14:13.120]  Those that didn't use it had the highest deaths because it is a zinc deficiency in the cells,
[14:13.120 --> 14:15.120]  which the NIH website admits.
[14:15.120 --> 14:22.120]  Exclusive New York health commissioner, Zucker, won't provide number of elderly who went from nursing homes
[14:22.120 --> 14:26.120]  and then died in hospitals reportedly the only state not to gather this data.
[14:26.120 --> 14:29.120]  But we know they had the most deaths in any state in the nursing homes.
[14:29.120 --> 14:35.120]  The land with no face mask, Daily Mail, Holland's top scientists say there's no solid evidence
[14:35.120 --> 14:39.120]  covering work that they actually spread the disease and make you sick.
[14:39.120 --> 14:42.120]  And well, but then that's what the science shows.
[14:42.120 --> 14:47.120]  And of course they have some of the lowest numbers in the world, just like Sweden.
[14:47.120 --> 14:49.120]  But it's an act of submission.
[14:49.120 --> 14:50.120]  Unbelievable.
[14:50.120 --> 14:54.120]  A new interview, Bobby Kennedy Jr. claims, he doesn't claim, it's right there in the documents,
[14:54.120 --> 14:59.120]  Dr. Fauci will make millions on coronavirus vaccine and owns half of the patent.
[14:59.120 --> 15:01.120]  We reported that six months ago, folks.
[15:01.120 --> 15:09.120]  Bill and Melinda Gates Foundation own at least three patents, two of them with Fauci on a COVID-19
[15:09.120 --> 15:15.120]  type coming virus that's been developed for animals.
[15:15.120 --> 15:17.120]  But in the patent, it says we'll work in humans as well.
[15:17.120 --> 15:20.120]  Oh, it turns out they've already been doing some secret testing.
[15:20.120 --> 15:27.120]  Las Vegas gambler removed from famous Four Queens Casino in handcuffs after he went in
[15:27.120 --> 15:28.120]  without wearing a mask.
[15:28.120 --> 15:32.120]  But the illegal aliens come across with direct-resistant TB and a million point four die.
[15:32.120 --> 15:33.120]  But that's no big deal.
[15:33.120 --> 15:40.120]  The police want a virtue signal and grab someone not submitting properly.
[15:40.120 --> 15:46.120]  Continuing, ladies and gentlemen, lockdown 2.0 looks like harsher rules, deeper confusion.
[15:46.120 --> 15:51.120]  They're now admitting that Australia and Spain will be the model for the United States next.
[15:51.120 --> 15:56.120]  And they're going to be coming in your homes with the contact tracers.
[15:56.120 --> 16:02.120]  So the same group that says abolish the police, though, will have the police do their dirty work.
[16:02.120 --> 16:05.120]  And the UN says, oh, we're in for a rocky ride.
[16:05.120 --> 16:06.120]  Oh, it's only going to get worse.
[16:06.120 --> 16:07.120]  Coronavirus will never go away.
[16:07.120 --> 16:12.120]  Give up all your rights because they can take any death statistic they want and add it and rise COVID
[16:12.120 --> 16:19.120]  or lower COVID to lock you down when they want and make you accept total tracking, total control, total enslavement.
[16:19.120 --> 16:23.120]  We're going to go through more of this when we come back.
[16:23.120 --> 16:26.120]  I've only covered two of the stats.
[16:26.120 --> 16:30.120]  I have seven, eight other stacks here.
[16:30.120 --> 16:36.120]  And I think what I'll do is next segment, I'll finish up the hydroxychloroquine and the COVID-19 Worldwide
[16:36.120 --> 16:42.120]  Marshal Law Lockdown News, and then I'll get into the police stand-down news.
[16:42.120 --> 16:49.120]  Then I'll get into the UN power grab takeover news and I'll get into the election power grab news, the election fraud news,
[16:49.120 --> 16:57.120]  and then the bottom of the hour, the biggest new threat, the plan that's now admitted to crash the US dollar, destroy US dominance forever,
[16:57.120 --> 16:59.120]  and put communist China and the EU in the driver's seat.
[16:59.120 --> 17:04.120]  America and the world fighting against the new dark age of globalist tyranny.
[17:04.120 --> 17:05.120]  This couldn't be more critical.
[17:05.120 --> 17:09.120]  I'm Alex Jones, faithful to the United States.
[17:09.120 --> 17:21.120]  States cracking down on social gatherings says CNN because Fauci says if we don't, we'll see further surges in coronavirus positives
[17:21.120 --> 17:30.120]  because they're only ramping up the testing and because the tests have been designed at the Wuhan lab, it turns out, to be completely fraudulent.
[17:30.120 --> 17:42.120]  They cooked the whole thing up offshore in a communist dictatorship with Fauci, Bill Gates, and the Chai comms to be directed by the UN as a giant planetary power grab.
[17:42.120 --> 17:49.120]  And now it's all over the news that indeed Bill Gates has developed digital tattoos under your skin, and so has Google,
[17:49.120 --> 17:55.120]  and they're deploying them at the airports next year where you'll have to have it to be able to travel,
[17:55.120 --> 18:01.120]  oh, and then soon to leave your house or go in a grocery store, and the contact tracers work for Bill and Bill Gates and the Clintons,
[18:01.120 --> 18:04.120]  and they're going to come to your house and make sure you're inoculated.
[18:04.120 --> 18:08.120]  Yes, we're now inside the Mark of the Beast, resist to be enslaved.
[18:08.120 --> 18:16.120]  Another part of the Great Awakening that's taking place is people that haven't even been religious or Christian now see how evil is out in the open,
[18:16.120 --> 18:24.120]  how hundreds of churches have been burned in Europe and the US, hundreds of Christian icons have been burned, destroyed.
[18:24.120 --> 18:29.120]  Jesus has had their heads cut off all over the country, all over the Philippines, all over Europe.
[18:29.120 --> 18:32.120]  Virgin Mary's are getting torn down. I mean, crosses are being torn down.
[18:32.120 --> 18:39.120]  It's absolutely out of control, but people now understand that evil was always real. It is spiritual.
[18:39.120 --> 18:44.120]  And it was just waiting to make its move, building beneath the surface, and now it's emerged.
[18:44.120 --> 18:49.120]  That's why when I ask listeners and viewers for your prayer, I mean it. I'm praying for America, I'm praying for you,
[18:49.120 --> 18:52.120]  and I know the power of prayer is real and God hears it.
[18:52.120 --> 18:57.120]  We need to come together and pray for even greater awakening, pray for Donald Trump to be protected,
[18:57.120 --> 19:05.120]  pray for him to win a landslide, and pray for the people under deception of the globalists to awaken and join us in liberty and freedom.
[19:05.120 --> 19:29.120]  God bless you all. Please pray for him for us as well.
[19:29.120 --> 19:51.120]  Alex Jones, The Cure to Fake News, coming to you live from Austin, Texas.
[19:51.120 --> 19:59.120]  Ladies and gentlemen, we are Back Live Broadcasting Worldwide. I am your host, Alex Jones.
[19:59.120 --> 20:08.120]  And what I'm going to do for the rest of this segment is read through these headlines and break down what our enemies in the New World Order are doing
[20:08.120 --> 20:22.120]  and how they're building this giant cashless society system that tracks our every move and controls where we can do what we can do according to social engineering,
[20:22.120 --> 20:28.120]  which is designed to only tighten the news further.
[20:28.120 --> 20:39.120]  And so the more that we comply, the more that we submit, the worse things get.
[20:39.120 --> 20:51.120]  That's why they're announcing right now, oh, the UN's advising Australia and Spain on level four lockdown.
[20:51.120 --> 21:02.120]  And so the very bio weapons labs, the very UN program that dump this out on the planet, that owns the patents to the vaccines that standing at all this power and money in control
[21:02.120 --> 21:16.120]  are the very people that then censor all these medical doctors and all these scientists around the world that are simply coming out and reporting what's known real medical science.
[21:16.120 --> 21:31.120]  But see that known consensus by the actual professionals is under attack by the big tech technology that's merged with big pharma that is turning doctors into nothing but janitors
[21:31.120 --> 21:42.120]  who will oversee the robots and the computers and the AI systems that are programmed by the eugenicist to carry out the orderly extermination of the people of the earth.
[21:42.120 --> 21:58.120]  And so we've got a giant planetary Tuskegee level experiment going on against humanity right now.
[21:58.120 --> 22:07.120]  And you've got all these compliant sheeple that don't want to hear about how Fauci lied about everything that don't want to hear about how COVID was made in the lab,
[22:07.120 --> 22:16.120]  who don't want to hear about the contact tracing and the apps on the phones and who don't want to hear about the digital microchips and digital tattoos.
[22:16.120 --> 22:33.120]  They actually think that by submitting they are part of the power structure and that they are basking in the glow of the system when they're nothing but useful, idiot, schmuck, sucker, marks, fools, sheep.
[22:33.120 --> 22:42.120]  So again, when they come up to you and say, wear your mask, don't respond back because they're expecting you to do that and then they start yelling at you and don't listen.
[22:42.120 --> 22:48.120]  When they say, oh, you have nothing to say, you say, yes, I don't believe in cruelty to animals.
[22:48.120 --> 22:58.120]  And when they get mad at that and say, what are you saying, I'm a bitch, are you saying I'm a, no, I'm saying you're a sheep.
[22:58.120 --> 23:16.120]  Because when the system organizes the sheep in mob rule, in a giant stampede of lemmings, of cattle, to overrun us, we have a responsibility to tell those dumb cows that they better get out of your way.
[23:16.120 --> 23:20.120]  Because they're not going to listen to reason, they're not going to listen to science, they're not going to listen to facts.
[23:20.120 --> 23:30.120]  They're going to listen when they throw hot coffee on you, when you break their nose.
[23:30.120 --> 23:39.120]  They're going to listen when they come to your table and try to embarrass you when you go over and get in their face, because that's what it takes is standing up to them.
[23:39.120 --> 23:48.120]  When you bow down to sheeple, when you grovel to sheeple, it only makes them more emboldened.
[23:48.120 --> 23:59.120]  It only makes them more out of control, because finally they believe they can go out and have personal power over people, because they believe in the power of the sheep.
[23:59.120 --> 24:03.120]  Now, the crew is great. I kind of get in the zone here.
[24:03.120 --> 24:12.120]  And during the break, I was going to get some documents to do some research and I got talked to in the hall by my son, who brought up another story to me.
[24:12.120 --> 24:23.120]  And then I go back, he works here now, and he was like, look at this article, look at this story, and I just can't do it.
[24:23.120 --> 24:29.120]  Because I'm totally in the zone about this COVID thing, and I was loaded for bear to come in here and cover that.
[24:29.120 --> 24:32.120]  And now I just got distracted off.
[24:32.120 --> 24:36.120]  The rule is, don't talk to me in the hallway, folks. Everybody knows that.
[24:36.120 --> 24:48.120]  And I begged Rex to stop it, so I'll do it on air, and maybe he'll hear it that way.
[24:48.120 --> 24:53.120]  You know, I had my attention span destroyed by television, but it's nothing compared to young people now.
[24:53.120 --> 25:00.120]  And, you know, we sit here and we watch the enemy just wreck our minds and turn us against each other. It's just so damn sad.
[25:00.120 --> 25:04.120]  And, you know, the more prepared I get for a broadcast, the harder it is to do.
[25:04.120 --> 25:13.120]  Because I could talk for hours and hours and hours about one of these stories.
[25:13.120 --> 25:18.120]  And I just can't do it anymore.
[25:18.120 --> 25:22.120]  People think that I should be really happy right now because I've been vindicated.
[25:22.120 --> 25:31.120]  And I'm not happy about that because I'm sitting here watching scientific evil.
[25:31.120 --> 25:38.120]  Takeover society, takeover civilization.
[25:38.120 --> 25:46.120]  And I know it's all 100% certified, and the enemies that are running it say they want to kill me and my family.
[25:46.120 --> 25:56.120]  And even the most hardcore people that are awake, myself included, still don't take this as seriously as we should.
[25:56.120 --> 26:01.120]  It's outrageous to get into Barton Springs City Park. It's a damned up spring.
[26:01.120 --> 26:06.120]  They got downtown that I've been swimming in since I was born.
[26:06.120 --> 26:17.120]  That you've got to give them contact tracing info and your phone number and your driver's license so you can be contact traced when they test somebody else.
[26:17.120 --> 26:26.120]  And then they come up as infected. They can then count 15 random people around you under NIH UN guidelines.
[26:26.120 --> 26:29.120]  And then you get counted as having COVID.
[26:29.120 --> 26:36.120]  And again, it's all based on fraud because the system is a fraud and it wants you to accept total fraud.
[26:36.120 --> 26:38.120]  And so what do we do?
[26:38.120 --> 26:44.120]  I call for the lifeguards to all be fired. I call for Barton Springs to have its fences torn down.
[26:44.120 --> 26:49.120]  I call for the bureaucracy to be shut down. I call for the mayor to be gotten rid of.
[26:49.120 --> 26:51.120]  You know who isn't essential? That mayor.
[26:51.120 --> 26:57.120]  Anytime leftist globalists get control of your city, they ruin everything.
[26:57.120 --> 27:02.120]  They call in the homeless. They sell the fentanyl. There's feces everywhere.
[27:02.120 --> 27:11.120]  And then there's all these little city employees that line up and go along with the bureaucracy, including the police more and more around the country and the world.
[27:11.120 --> 27:17.120]  They enforce the fake mask ordinances and they enforce all the crap. They're not getting rid of the police.
[27:17.120 --> 27:34.120]  They're getting rid of the police doing regular police work now because now they're going to swing into being social workers that control and run our lives.
[27:34.120 --> 27:36.120]  And that's all.
[27:36.120 --> 27:42.120]  It's about controlling you and when they say jump, you ask how high.
[27:42.120 --> 27:45.120]  And so again, everything is about noncompliance now.
[27:45.120 --> 27:52.120]  I'm serious. They've broken the social contract. All blue cities in blue states are not American.
[27:52.120 --> 27:55.120]  They're globalist. They're enemies of the country. They don't believe it should exist.
[27:55.120 --> 28:00.120]  And they're nothing but criminals trying to bring it down and they see us as collateral damage, as Nancy Pelosi said.
[28:00.120 --> 28:02.120]  And that's it.
[28:02.120 --> 28:07.120]  We're trying to get refocused and come back. Stay with us.
[28:07.120 --> 28:17.120]  Alex Jones here and I'm very excited to introduce to you a new line of high quality products developed by my father, a retired dentist, Dr. David R. Jones.
[28:17.120 --> 28:27.120]  Dr. Jones Naturals, naturally fluoride free activated charcoal toothpaste, which cleans your teeth, freshens your breath and is enamel safe.
[28:27.120 --> 28:32.120]  This is a concentrated toothpaste. It doesn't have all the fillers. It is amazing.
[28:32.120 --> 28:37.120]  Folks have loved the other toothpaste that he's developed. If you like those, you're really going to love this.
[28:37.120 --> 28:41.120]  And there's also the high quality activated charcoal mouthwash.
[28:41.120 --> 28:50.120]  And then on top of that, eight other new products available at infowarstore.com with this new line, Dr. Jones Naturals.
[28:50.120 --> 29:00.120]  Again, infowarstore.com with a new line of Dr. Jones Naturals or visit Dr. Jones Naturals.com and find the entire line on his new shopping cart.
[29:00.120 --> 29:21.120]  Again, my dad, who helped launch the M4, is now a major sponsor of the operation. Thanks dad for all your support.
[29:21.120 --> 29:30.120]  That's why info wars life created the powerful vitamin mineral fusion formula, the new platinum standard of advanced multivitamin formulation.
[29:30.120 --> 29:38.120]  Vitamin mineral fusion uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[29:38.120 --> 29:47.120]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients.
[29:47.120 --> 29:56.120]  Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[29:56.120 --> 30:08.120]  Start supporting your body's needs in a great tasting natural and affordable drink mix with vitamin mineral fusion today available at infowarstore.com.
[30:08.120 --> 30:19.120]  He gives 57 year old lesbian preacher in Houston, went in with a cough, got intubated and then died.
[30:19.120 --> 30:26.120]  And as soon as I saw her face, as soon as I saw the report I said watch it'll be innovation, you know what's going to happen.
[30:26.120 --> 30:31.120]  It's a blue city, same story yet again, and they say her heart gave out.
[30:31.120 --> 30:39.120]  If you put somebody on a breathing tube of COVID-19 as a death sentence, it's on record when everyone you know before they go to the hospital and get killed.
[30:39.120 --> 30:49.120]  Why are almost all the deaths happening in blue cities and blue states? It's because they intubate them, putting a tube in their lungs and COVID-19 is causing an autoimmune response.
[30:49.120 --> 30:59.120]  And if you do that with oxygen, the doctors are on record saying it will kill you, but all these doctors in blue cities and blue states follow their orders.
[30:59.120 --> 31:03.120]  And the minute I saw this report today, I knew what I would be reading.
[31:03.120 --> 31:32.120]  Don't end up like Vicki Gibbs or everyone.
[31:32.120 --> 31:42.120]  Remember this broadcast only exists because of your support, your word of mouth, and your prayers.
[31:42.120 --> 31:45.120]  Thank you again for joining us. I am Alex Jones, your host.
[31:45.120 --> 31:54.120]  All right. This is a very complex issue if you get into all the minutiae.
[31:54.120 --> 31:57.120]  And I've studied the minutiae in depth.
[31:57.120 --> 32:02.120]  I've had the top experts on over the years. You've heard them. And you're your own experts on this.
[32:02.120 --> 32:10.120]  But there is a consensus in the Trump White House and with Larry Kudlow and there's a consensus here in Info Wars.
[32:10.120 --> 32:15.120]  And I tend to open the phones up and have you call in if you disagree or agree.
[32:15.120 --> 32:23.120]  But here's the final equation. Here's the bottom line.
[32:23.120 --> 32:31.120]  You got an old cow you really like and you're not ever going to send it off to get it butchered.
[32:31.120 --> 32:40.120]  But one day it wanders out into the road and gets hit by an 18-wheeler and it breaks its neck.
[32:40.120 --> 32:49.120]  You might as well grab it, drag it over the barn with a tractor, cut it up, and feed it to your dogs as dog food or eat it yourself.
