[00:00:00.249 --> 00:00:01.490]  Stay in anonymity.
[00:03:34.005 --> 00:03:40.388]  They're also trying to shut down midwives now nationwide which have been around longer than doctors.
[00:03:40.388 --> 00:03:40.628]  Yes.
[00:03:41.798 --> 00:03:53.124]  Now, why is it in third world countries, and even third world Eastern European white countries, it's not just a thing of color, why can women have a baby in an average of six hours, but in the U.S.
[00:03:53.124 --> 00:03:54.925]  the average is now 18 hours?
[00:03:54.925 --> 00:03:57.406]  Why is that?
[00:03:57.406 --> 00:03:59.587]  I think part of it is the state of our health.
[00:03:59.587 --> 00:04:04.770]  So many people's health is that they're not taking care of themselves, but also the medical intervention.
[00:04:04.770 --> 00:04:07.211]  So often they're inducing the labor and
[00:04:08.718 --> 00:04:18.746]  People are out of shape, they're not exercising, they're scared, they're led to believe that a birth is a medical process rather than a natural process.
[00:04:18.746 --> 00:04:25.011]  If the babies and mothers were just left alone, the baby would come on its own time of its own choosing.
[00:04:25.011 --> 00:04:27.754]  I had a friend in high school whose mother was a doctor.
[00:04:28.454 --> 00:04:30.657]  And, uh, in one of their rooms is an antique.
[00:04:30.657 --> 00:04:32.961]  They had a Swedish birthing chair.
[00:04:32.961 --> 00:04:38.428]  And they said in Sweden a woman squatting, I don't want to get into too many details, would have a baby in an average of two and a half hours.
[00:04:40.672 --> 00:04:41.893]  That's common.
[00:04:41.893 --> 00:04:42.734]  That's common.
[00:04:42.734 --> 00:04:45.656]  Well, why does it take 18 on average now?
[00:04:45.656 --> 00:04:48.318]  Well, it also depends on what we're talking about.
[00:04:48.318 --> 00:04:53.703]  Once the water breaks, oftentimes the baby normally naturally will come within a few hours.
[00:04:53.703 --> 00:04:57.906]  But before the water breaks, how long has a woman been having labor pains?
[00:04:57.906 --> 00:04:59.627]  It actually could be for days.
[00:04:59.627 --> 00:05:01.749]  I'm not talking about hard labor.
[00:05:01.749 --> 00:05:04.451]  Once the water breaks, the woman will go into much harder labor.
[00:05:04.451 --> 00:05:08.995]  But, you know, it's not uncommon for a woman to have labor pains for several days.
[00:05:09.594 --> 00:05:19.603]  But I mean, it just seems like gravity, that the old-fashioned way they did it in the Bible, is a way, it seems like with gravity, that that would be the sensible way to do it.
[00:05:19.603 --> 00:05:21.745]  It certainly makes sense to me, Alex.
[00:05:21.745 --> 00:05:33.215]  When they lay these women on their backs, and they're pushing against gravity, and it causes so much more back pain, and it's so much more difficult for the baby, of course it's going to take longer.
[00:05:33.215 --> 00:05:35.477]  The way that they birth babies in hospitals,
[00:05:36.275 --> 00:05:40.657]  Not in the birthing centers, but in the regular hospital medical rooms.
[00:05:40.657 --> 00:05:42.918]  In my opinion, it's horrible.
[00:05:42.918 --> 00:05:47.140]  Well, people can't defeat the statistics, and that's a fact.
[00:05:47.140 --> 00:05:47.741]  Let me check it out.
[00:05:47.741 --> 00:05:52.983]  So what happened, again in this case, and are you guys going to sue these people?
[00:05:52.983 --> 00:06:02.548]  The family is pursuing legal remedy because they feel, I'll let them tell you all this, but they feel it's their moral and ethical obligation to not let such
[00:06:03.328 --> 00:06:03.608]  Thank you.
[00:06:03.608 --> 00:06:04.249]  I'm Mary.
[00:06:04.249 --> 00:06:05.690]  It was a nightmare for us.
[00:06:31.052 --> 00:06:36.614]  My daughter needed help and the baby was transverse, couldn't be born in a transverse position.
[00:06:36.614 --> 00:06:38.435]  We recognized that.
[00:06:38.435 --> 00:06:44.697]  We took her to the hospital and when we got there, a doctor met us.
[00:06:44.697 --> 00:06:53.379]  We had called a head and a doctor had met us and he said, I know you think we're the enemy but I'm not here to get rich off of you.
[00:06:53.379 --> 00:06:58.201]  I have an office full of patients and I'm not here to get rich on you.
[00:06:59.441 --> 00:07:09.771]  Um, the attending nurse, I thought this was a strange comment, the attending nurse turned to the doctor and smiled and said, no we don't want your money, we just want your firstborn.
[00:07:10.709 --> 00:07:13.630]  And that was our introduction to the hospital.
[00:07:13.630 --> 00:07:15.471]  Oh, that didn't come out earlier today.
[00:07:15.471 --> 00:07:16.952]  Oh, how nice.
[00:07:16.952 --> 00:07:18.773]  Did you know that I've covered this in Austin?
[00:07:18.773 --> 00:07:24.075]  When you go to one of the city hospitals, in some weeks, the average is one-third of the kids are being grabbed.
[00:07:24.075 --> 00:07:26.937]  If you're poor, don't know your rights, they come in with police.
[00:07:26.937 --> 00:07:28.017]  We have this on video.
[00:07:28.017 --> 00:07:29.558]  We aired it on TV in Austin.
[00:07:29.558 --> 00:07:32.299]  They say, sign these documents now.
[00:07:32.299 --> 00:07:35.801]  The mother cries, signs the documents, and they never see the kid again.
[00:07:36.986 --> 00:07:44.692]  Well, she told you, this nurse said, now that's cruel and unusual, that was vicious, that shows premeditated activity.
[00:07:44.692 --> 00:07:48.234]  This nurse said, we just want your firstborn.
[00:07:48.234 --> 00:07:52.177]  We don't want your money, we just want your firstborn.
[00:07:52.177 --> 00:07:59.282]  And I, it was somewhat riveting, but I thought, I blew it off, I thought, okay, bad joke.
[00:07:59.981 --> 00:08:04.982]  But then, in light of what happened, looking back at that, I think it's quite telling.
[00:08:04.982 --> 00:08:06.022]  Well, I've heard the tactic.
[00:08:06.022 --> 00:08:12.724]  I don't know about this hospital, but that's how they, in some of the other cases, they will claim, oh, the mommy had a hepatitis thing.
[00:08:12.724 --> 00:08:14.544]  We've got to keep the baby for observation.
[00:08:14.544 --> 00:08:17.805]  They take them into neonatal, and there's no problem with them.
[00:08:17.805 --> 00:08:21.986]  Then they use that to freeze things to get the order to take the child.
[00:08:21.986 --> 00:08:27.687]  Of course, it turned out that your daughter, and she's on with us now, did not have hepatitis, totally, off this little test.
[00:08:27.927 --> 00:08:29.108]  We knew that from the beginning.
[00:08:29.108 --> 00:08:31.109]  She wasn't even at risk.
[00:08:31.109 --> 00:08:33.030]  So they do this now.
[00:08:33.030 --> 00:08:36.413]  It's starting to look premeditated.
[00:08:36.413 --> 00:08:38.334]  Well, it makes you wonder.
[00:08:38.334 --> 00:08:39.975]  It makes one wonder.
[00:08:39.975 --> 00:08:42.757]  The doctor did the C-section.
[00:08:42.757 --> 00:08:48.100]  The baby was taken to intensive care unit to monitor the baby.
[00:08:50.393 --> 00:08:53.215]  They kept the baby there.
[00:08:53.215 --> 00:08:55.517]  They didn't release the baby until two days later.
[00:08:55.517 --> 00:08:56.617]  Well, actually that evening.
[00:08:56.617 --> 00:08:58.058]  It was getting close to midnight.
[00:08:58.058 --> 00:09:02.822]  Did the baby look like a pen cushion by the time they were done with it?
[00:09:02.822 --> 00:09:04.062]  They poked the baby a lot.
[00:09:04.062 --> 00:09:08.846]  They took a lot of blood samples.
[00:09:08.846 --> 00:09:12.288]  It was not fun.
[00:09:12.288 --> 00:09:13.489]  But they made the blood sugar
[00:09:14.218 --> 00:09:15.238]  That's an issue.
[00:09:15.238 --> 00:09:17.099]  I talked to a pediatrician that way.
[00:09:17.099 --> 00:09:18.779]  Well, that's because the child wasn't nursed.
[00:09:18.779 --> 00:09:20.259]  It was immediately put on the breast.
[00:09:20.259 --> 00:09:22.740]  The milk would flow, the colostrum, and the bed.
[00:09:22.740 --> 00:09:27.961]  Of course, after labor and the stress of that, I looked at the old statistics we've had guests on about this.
[00:09:27.961 --> 00:09:30.361]  Of course, the blood sugar is low in most children at birth.
[00:09:30.361 --> 00:09:34.822]  Now they consider, what, a 45 level, which was average just 30 years ago.
[00:09:34.822 --> 00:09:36.303]  They consider that as low, correct?
[00:09:36.303 --> 00:09:36.783]  Is that what it is?
[00:09:36.783 --> 00:09:37.383]  It had to be.
[00:09:37.383 --> 00:09:39.143]  The criterion was 50.
[00:09:39.143 --> 00:09:40.404]  The baby was nursing.
[00:09:40.404 --> 00:09:40.664]  50?
[00:09:40.664 --> 00:09:40.824]  Yeah.
[00:09:42.264 --> 00:09:42.664]  Fifty?
[00:09:42.664 --> 00:09:43.805]  That's right.
[00:09:43.805 --> 00:09:45.505]  Oh man, that's a major scam.
[00:09:45.505 --> 00:09:47.166]  Right.
[00:09:47.166 --> 00:09:48.607]  The baby was nursing.
[00:09:48.607 --> 00:09:52.268]  The baby was nursing well until they forced the vaccination.
[00:09:52.268 --> 00:09:56.910]  And then the oxygen levels went down.
[00:09:56.910 --> 00:10:00.771]  They had a criterion for oxygen.
[00:10:00.771 --> 00:10:04.493]  That's listed as one of the most dangerous vaccines, even on the insert.
[00:10:04.493 --> 00:10:05.793]  Correct, Doctor?
[00:10:05.793 --> 00:10:06.714]  Oh yes.
[00:10:06.714 --> 00:10:07.854]  We knew that.
[00:10:07.854 --> 00:10:11.916]  Especially for newborns whose immune systems are not fully developed.
[00:10:14.298 --> 00:10:21.824]  Well they were holding, the last day the baby was there, they were holding the baby because blood sugar would not meet the 50 criterion.
[00:10:21.824 --> 00:10:28.629]  My daughter was so exhausted, we were trying to get her a little bit of rest.
[00:10:28.629 --> 00:10:30.010]  The whole experience was
[00:10:31.224 --> 00:10:32.967]  It was a nightmare for her.
[00:10:32.967 --> 00:10:36.391]  They kept coming in, having her sign papers.
[00:10:36.391 --> 00:10:38.955]  She signed the papers?
[00:10:38.955 --> 00:10:40.758]  There were papers that she did not sign.
[00:10:40.758 --> 00:10:43.101]  These are wolves.
[00:10:43.101 --> 00:10:46.205]  In the predatory world, I want to point this out, the government does this.
[00:10:46.205 --> 00:10:48.108]  The old, the young, the infirm, the sick.
[00:10:48.740 --> 00:10:59.948]  This is what wolves do, or hyena, and on the African Plain, wild dogs, lions, they target other mammals when they're down on their backs, or when they're down on their sides.
[00:10:59.948 --> 00:11:01.229]  That's when they attack.
[00:11:01.229 --> 00:11:09.715]  And in the same way here, with the New World Order, vicious attacks, with CPS, when the family is most exhausted.
[00:11:09.715 --> 00:11:11.217]  Well, it was exhausting.
[00:11:11.217 --> 00:11:16.520]  Seriously, my hyenas, what did you do as you're surrounded by them baying at you?
[00:11:17.867 --> 00:11:27.675]  Well, they walked in, they told her she had Hepatitis B. They felt, um, my goodness, that... She felt as if that was a death sentence.
[00:11:27.675 --> 00:11:33.359]  Um, they said, we've got to vaccinate your baby, you have Hepatitis B. When in fact, all they had was a screening test.
[00:11:33.359 --> 00:11:35.101]  And you got the medical report.
[00:11:36.095 --> 00:11:37.396]  You've got the medical report.
[00:11:37.396 --> 00:11:39.476]  Again, folks, I work in dentist offices, hospitals.
[00:11:39.476 --> 00:11:41.217]  There's a large animal vet I know about this stuff.
[00:11:41.217 --> 00:11:42.878]  I've sat there and watched the test done.
[00:11:42.878 --> 00:11:45.318]  They know that test is 40% wrong.
[00:11:45.318 --> 00:11:47.839]  And he told your daughter she had hepatitis?
[00:11:47.839 --> 00:11:49.940]  That is emotional damage right there.
[00:11:49.940 --> 00:11:56.523]  This was not even her doctor that told her that she had hepatitis C. Wasn't the pediatrician?
[00:11:56.523 --> 00:12:00.644]  This was a neonatologist who was in charge of the neonatology.
[00:12:00.644 --> 00:12:01.905]  Hospital pediatrician.
[00:12:01.905 --> 00:12:02.365]  Stay there.
[00:12:02.365 --> 00:12:05.466]  We'll be right back and expose the death camps.
[00:12:12.402 --> 00:12:18.208]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:12:18.208 --> 00:12:21.070]  Because there's a war on for your mind.
[00:12:21.070 --> 00:12:24.854]  We know you're paranoid about hospitals.
[00:12:24.854 --> 00:12:25.814]  Don't worry.
[00:12:25.814 --> 00:12:27.716]  We don't want your money.
[00:12:27.716 --> 00:12:30.579]  We just want your firstborn, is what we told them.
[00:12:30.579 --> 00:12:38.406]  Here in Austin, we've done TV shows, folks, where poor people, no criminal records, done nothing wrong, show up, CPS walks in,
[00:12:39.818 --> 00:12:42.019]  And says to them, oh, what do you do?
[00:12:42.019 --> 00:12:46.181]  Well, I'm a maid, and my husband is a construction worker.
[00:12:46.181 --> 00:12:48.323]  Well, how are you going to take care of this baby?
[00:12:48.323 --> 00:12:49.423]  Well, here, just sign here.
[00:12:49.423 --> 00:12:50.824]  They don't even tell them what it means.
[00:12:50.824 --> 00:12:51.865]  We've been there with cameras.
[00:12:51.865 --> 00:12:53.565]  The police are telling them to stand back.
[00:12:53.565 --> 00:12:57.007]  And the mother's crying, and the officer grabs the woman by the arm and says, sign it!
[00:12:57.007 --> 00:12:59.288]  And they go, ah!
[00:12:59.288 --> 00:13:01.930]  And sign it, and they take the child and laugh.
[00:13:02.788 --> 00:13:03.469]  We have video.
[00:13:03.469 --> 00:13:04.470]  We've aired this in Austin.
[00:13:04.470 --> 00:13:06.453]  It just horrifies people.
[00:13:06.453 --> 00:13:08.516]  This is a middle class family.
[00:13:08.516 --> 00:13:12.441]  Young parents with good parents and grandparents.
[00:13:12.441 --> 00:13:15.024]  With doctors who are in the family.
[00:13:15.024 --> 00:13:17.447]  Sarah Chase is a member of the family.
[00:13:17.447 --> 00:13:18.449]  It's her sister's daughter.
[00:13:19.481 --> 00:13:21.142]  And this is how they operate.
[00:13:21.142 --> 00:13:22.523]  This is what they do.
[00:13:22.523 --> 00:13:24.184]  I want you to know.
[00:13:24.184 --> 00:13:26.346]  And going along with them won't help you.
[00:13:26.346 --> 00:13:32.090]  The brain damage, the disease, the attack, the IQ reduction by the military-industrial complex is public.
[00:13:32.090 --> 00:13:35.772]  We have Henry Kissinger's plan on InfoWars.com.
[00:13:35.772 --> 00:13:43.197]  A national security document, public, where they say they want to sterilize half the women in the world at birth through different systems.
[00:13:43.197 --> 00:13:45.398]  And the baby girls are really in trouble.
[00:13:45.398 --> 00:13:46.779]  And the doctors, of course, don't know.
[00:13:46.779 --> 00:13:49.021]  They think it's all good, and they're following good orders.
[00:13:50.402 --> 00:13:53.084]  Because they're not the ones manufacturing these vaccines.
[00:13:53.084 --> 00:14:03.913]  The AMA does a good job of keeping this all quiet, but now the head of the medical school of Chicago up in Illinois has gone public about how dangerous the vaccines are.
[00:14:03.913 --> 00:14:11.039]  Going back to Sarah Chase, the doctor, the family member, the grandmother, the mother, and the father, Michael, are joining us.
[00:14:11.039 --> 00:14:12.280]  We're about to end this hour.
[00:14:12.280 --> 00:14:16.404]  I want to hold you over, but any other key areas you want to hit on about how
[00:14:17.250 --> 00:14:29.795]  I remember you said this morning when you were on the Joyce & Dave Show that you're sitting there and they call this hearing that night, don't tell you about it until you were calling around looking for lawyers and you call a lawyer's office and they go, oh we're already there having the hearing.
[00:14:29.795 --> 00:14:32.856]  You run up to it and they say, why isn't the mother here?
[00:14:32.856 --> 00:14:36.857]  Doesn't she care when she just had a C-section and couldn't even get out of bed?
[00:14:36.857 --> 00:14:40.159]  Can you talk about any other key areas for us?
[00:14:40.159 --> 00:14:41.219]  Whoever wants to jump in.
[00:14:42.560 --> 00:14:43.540]  Well, this is Dr. Chase.
[00:14:43.540 --> 00:14:48.463]  I'll be real brief so the others can talk, but the family was given less than an hour's notice.
[00:14:48.463 --> 00:14:49.984]  This was held after hours.
[00:14:49.984 --> 00:14:55.106]  The family had no chance of getting competent legal help or expert witnesses.
[00:14:55.106 --> 00:14:57.187]  We demanded to know why this was happening that night.
[00:14:57.187 --> 00:14:58.848]  They said it was a medical emergency.
[00:14:58.848 --> 00:15:01.269]  Now, mind you, the child's life was not in danger.
[00:15:01.269 --> 00:15:02.629]  The child wasn't bleeding.
[00:15:02.629 --> 00:15:04.190]  The child was doing well.
[00:15:04.190 --> 00:15:05.631]  And it went on for three hours.
[00:15:06.468 --> 00:15:13.554]  And when I challenged the jurisdiction, I did it probably way too late, but I asked the judge, what right do you have to do this?
[00:15:13.554 --> 00:15:18.078]  You know, you have no jurisdiction over the family, and he said, the child's here in the hospital.
[00:15:18.078 --> 00:15:25.384]  So, when you take your child into a hospital, they claim jurisdiction over it, so it's a very dangerous place to be.
[00:15:25.384 --> 00:15:30.789]  Well, also, I would add a caveat to this entire discussion, that
[00:15:31.713 --> 00:15:45.909]  If they recommended that you take the next shot in a week or you'd be arrested, even the insert says, I've read it, that that is dangerous for the hepatitis B shot and that you shouldn't do it until at least a month and a half to two months.
[00:15:45.909 --> 00:15:47.411]  So they were recommending that.
[00:15:49.094 --> 00:15:52.075]  That right there is malpractice.
[00:15:52.075 --> 00:15:54.495]  That was going against recommended protocol.
[00:15:54.495 --> 00:16:07.038]  The Center for Disease Control hotline was called and the Department of Health and Human Services and we asked about that even if we had chosen to give that shot on our own.
[00:16:07.038 --> 00:16:10.619]  The protocol that the CDC recommends is at birth
[00:16:13.234 --> 00:16:17.076]  And then no sooner than one to two months after.
[00:16:17.076 --> 00:16:21.219]  And they said if it was given any sooner, the child's life would certainly be in danger.
[00:16:21.219 --> 00:16:22.679]  Yeah, they violated AMA.
[00:16:22.679 --> 00:16:24.480]  I would hit them on that point.
[00:16:24.480 --> 00:16:27.182]  And then I would hit them on the threats.
[00:16:27.182 --> 00:16:31.524]  The, oh, we only want your firstborn, showing poor knowledge and racketeering.
[00:16:31.524 --> 00:16:33.065]  And do not labor.
[00:16:33.065 --> 00:16:35.827]  They all need to be, they need to lose their houses, everything they've got.
[00:16:37.273 --> 00:16:39.974]  Well, there's another point.
[00:16:39.974 --> 00:16:41.975]  Tell us the name of the hospital, too, before we end this hour.
[00:16:41.975 --> 00:16:42.095]  St.
[00:16:42.095 --> 00:16:43.156]  Mary's Hospital.
[00:16:43.156 --> 00:16:43.976]  What hospital?
[00:16:43.976 --> 00:16:44.237]  St.
[00:16:44.237 --> 00:16:46.318]  Mary's Hospital in Grand Junction, Colorado.
[00:16:46.318 --> 00:16:46.618]  Right.
[00:16:46.618 --> 00:16:48.219]  Grand Junction, Colorado.
[00:16:48.219 --> 00:16:53.341]  One of that for all our Colorado audiences on our four affiliates there before we... well, we aren't with them.
[00:16:53.341 --> 00:16:54.742]  They don't carry the third hour.
[00:16:54.742 --> 00:16:57.823]  Well, the social worker at the hospital, when... Say what?
[00:16:57.823 --> 00:16:58.244]  Stay there.
[00:16:58.244 --> 00:16:59.444]  We'll have to hear it on the other side.
[00:16:59.444 --> 00:17:03.606]  We'll be right back.
[00:17:03.606 --> 00:17:06.988]  Introducing the best air purifier in the world, the Aeronite.
[00:17:11.107 --> 00:17:17.909]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:17:17.909 --> 00:17:19.550]  We ask that you wait.
[00:17:19.550 --> 00:17:21.451]  Don't donate a dollar at a time.
[00:17:21.451 --> 00:17:27.033]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:17:27.033 --> 00:17:30.534]  Wait till you listen to five or ten, and then donate, please.
[00:17:30.534 --> 00:17:32.835]  We appreciate your voluntary support.
[00:17:38.580 --> 00:17:39.881]  Big Brother.
[00:17:39.881 --> 00:17:41.643]  Mainstream media.
[00:17:41.643 --> 00:17:43.424]  Government cover-up.
[00:17:43.424 --> 00:17:45.006]  You want answers?
[00:17:45.006 --> 00:17:46.547]  Well, so does he.
[00:17:46.547 --> 00:17:50.751]  He's Alex Jones on the GCN Radio Network.
[00:17:50.751 --> 00:17:53.133]  And now, live from Austin, Texas...
[00:17:53.975 --> 00:17:55.937]  Alex Jones.
[00:17:55.937 --> 00:17:58.479]  Alright, ladies and gentlemen.
[00:17:58.479 --> 00:17:59.299]  Welcome back.
[00:17:59.299 --> 00:18:02.222]  Already to the third to final hour of this worldwide edition.
[00:18:02.222 --> 00:18:05.404]  I'm here Monday through Friday from 11 to 2 Central.
[00:18:05.404 --> 00:18:06.805]  11 to 2 Central during the day.
[00:18:06.805 --> 00:18:09.587]  Then back from 9 to Midnight Central Standard Time.
[00:18:09.587 --> 00:18:11.509]  That's 10 PM to 1 AM.
[00:18:11.509 --> 00:18:18.154]  Websites are InfoWars.com, PrisonPlanet.com, and InfoWars.net.
[00:18:18.154 --> 00:18:19.715]  And we're talking to Dr. Sarah Chase.
[00:18:20.732 --> 00:18:31.681]  Uh, who is, uh, the, uh, sister, her, her, her sister is the mother of the 19-year-old young lady and her husband, who wanted to have natural childbirth, went ahead and went to the hospital.
[00:18:31.681 --> 00:18:38.566]  Uh, they claimed that the mother had hepatitis, told her she had it when they knew the test was 40 percent, uh, inaccurate, false positive.
[00:18:38.566 --> 00:18:41.629]  Then they said, you'll have to take the hepatitis shot now, enforced it.
[00:18:41.629 --> 00:18:44.191]  And then say, you'll have to take it again in a week, or we'll take your child.
[00:18:44.191 --> 00:18:46.933]  And they say, don't take it for at least a month and a half, but too much.
[00:18:46.933 --> 00:18:49.075]  That's the own guidelines from the insert.
[00:18:49.973 --> 00:18:51.074]  Uh, just out of control.
[00:18:51.074 --> 00:18:55.276]  They also told them up front, don't worry, we don't want your money, we just want your firstborn.
[00:18:55.276 --> 00:18:56.717]  It's real funny.
[00:18:56.717 --> 00:18:59.938]  The sick power trips these control freaks and witch doctors get on.
[00:18:59.938 --> 00:19:05.821]  This is a massive crisis, because this is a family that knew what they were doing and was middle class.
[00:19:05.821 --> 00:19:07.242]  Imagine being working class.
[00:19:07.242 --> 00:19:08.442]  Imagine being blue collar.
[00:19:08.442 --> 00:19:11.044]  It is a nightmare.
[00:19:11.044 --> 00:19:13.005]  So we were discussing the things they went through.
[00:19:13.005 --> 00:19:19.328]  We'll have them on with us for another 20 minutes, if they can stay with us, and I'll get into other international and national news that, believe me, you don't want to miss.
[00:19:20.377 --> 00:19:26.042]  Dr. Sarah Chase, and we're just talking to the grandmother, the mother, and the husband, who we haven't heard from yet, the father.
[00:19:26.042 --> 00:19:31.486]  I believe the grandmother, Mary, was trying to say something about the social workers.
[00:19:31.486 --> 00:19:36.990]  Any other disgusting things they said, or the nurses said, other than talking about how they wanted your child?
[00:19:38.652 --> 00:19:44.514]  Well, I think the mom should speak to that because this was told directly to her and her husband.
[00:19:44.514 --> 00:19:46.255]  Okay, let's talk to the mother again.
[00:19:46.255 --> 00:19:47.896]  Go ahead.
[00:19:47.896 --> 00:19:48.556]  Hi.
[00:19:48.556 --> 00:20:02.582]  I was laying in the recovery bed or whatever it was and a social worker came in and, well, my husband and I had already said that we had a conviction against vaccinations and we did not want vaccinations to be given and she came in and
[00:20:03.376 --> 00:20:08.559]  She said that she wanted us to sign all these papers for getting the vaccines.
[00:20:08.559 --> 00:20:15.963]  She said, you know, if you don't sign these, we're going to take your child or you could potentially lose your child over this.
[00:20:15.963 --> 00:20:22.507]  And she went and talked to us about other things, that we had no business having a midwife and no business having a home birth.
