[00:00:01.957 --> 00:00:03.658]  Another world.
[00:04:53.918 --> 00:05:00.340]  You've now been completely banned from every major platform, and they're moving against thousands of others an hour.
[00:05:00.340 --> 00:05:04.282]  Living in volcano may sound more dramatic than it really is.
[00:05:04.282 --> 00:05:07.583]  The real drama can be found here in Leilani Estates.
[00:05:07.583 --> 00:05:13.846]  But a lot of us on the Big Island rely on rainwater, and we need to be concerned about ash and acid rain.
[00:05:13.846 --> 00:05:16.607]  Volcanic ash may contain heavy metal particles.
[00:05:17.347 --> 00:05:21.172]  An acid rain could lower the pH of the water to unhealthy levels.
[00:05:21.172 --> 00:05:27.641]  To find out, we employed a series of tests for heavy metals, alkalinity, and pH.
[00:05:27.641 --> 00:05:32.608]  What we learned was that there was in fact unhealthy levels of heavy metals and acidity in the rainwater.
[00:05:33.362 --> 00:05:37.285]  Next, we tested the water from our Alexa Pure gravity filter.
[00:05:37.285 --> 00:05:44.469]  And not only were the heavy metal levels within safe measure, but the pH was also restored to optimal levels.
[00:05:44.469 --> 00:05:49.132]  As it turns out, the filter on the Alexa Pure raises the pH of the water.
[00:05:49.132 --> 00:05:55.396]  So what we've learned is that volcanic ash and acid rain can contaminate a rainwater supply.
[00:05:55.396 --> 00:05:59.359]  But more importantly, a good water filtration system will purify it.
[00:06:07.476 --> 00:06:24.130]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the Infowar.
[00:06:24.130 --> 00:06:33.517]  Well, my friends, just 60 days ahead of this historic midterm election, Twitter completely banned me for bullying
[00:06:34.682 --> 00:06:38.405]  ...and aggressive behavior in Congress.
[00:06:38.405 --> 00:06:42.908]  George Soros literally owns much of the big telecom stock, the big tech stock.
[00:06:42.908 --> 00:06:47.512]  He's openly pushing for censorship of myself and thousands of others, which has now happened.
[00:06:47.512 --> 00:06:55.478]  He's been caught through his foundations paying people cash to go in and disrupt the meetings and get arrested.
[00:06:55.478 --> 00:07:02.083]  I went in, had a press conference, totally dominated, ran into Oliver Darcy of CNN.
[00:07:03.817 --> 00:07:12.464]  Who admittedly runs the operations interfacing with Google, Facebook, Twitter, you name it, to censor myself and thousands of other conservatives.
[00:07:12.464 --> 00:07:15.607]  Who writes articles calling for them to blacklist me and ban me.
[00:07:15.607 --> 00:07:19.170]  Who is a thought police general.
[00:07:19.170 --> 00:07:32.141]  I confront this monster, public figure, a man, and they go and tattle and say he bullied me and the Antifa supporting
[00:07:33.513 --> 00:07:43.417]  Twitter, that's banning thousands of conservatives a day, everyone you know has basically been banned, comes out and says we've banned Alex Jones for being a bully.
[00:07:43.417 --> 00:07:51.300]  And then they've got quotes in the Associated Press by members of Congress.
[00:07:51.300 --> 00:07:53.261]  New Jersey Democrat Rep.
[00:07:53.261 --> 00:07:56.742]  Frank Pallone praised Twitter's action in a tweet.
[00:07:58.130 --> 00:08:03.834]  Glad Twitter's taking steps to put an end to the abusive behavior from Alex Jones and InfoWars, the tweet said.
[00:08:03.834 --> 00:08:14.980]  Tweets designed to threaten, belittle, demean, and silence individuals have no place on this platform.
[00:08:14.980 --> 00:08:17.102]  They are silencing me.
[00:08:17.102 --> 00:08:18.783]  They are calling me a white supremacist.
[00:08:18.783 --> 00:08:20.704]  They are demonizing this country.
[00:08:22.432 --> 00:08:29.781]  They're saying, get rid of the American flag, and then they turn around and bully us, and bully you, and then say, take him off.
[00:08:29.781 --> 00:08:31.563]  He wants to silence people.
[00:08:35.805 --> 00:08:37.807]  It's the left banning free speech on universities.
[00:08:37.807 --> 00:08:41.270]  It's the left doing brainwashing, diversity training in all the big corporations.
[00:08:41.270 --> 00:08:45.294]  It's the left and Nike pushing Kaepernick and force-feeding that garbage.
[00:08:45.294 --> 00:08:49.918]  But the good news is, America is rejecting it across the board.
[00:08:49.918 --> 00:08:52.200]  White, black, Hispanic, Asian, it doesn't matter.
[00:08:52.200 --> 00:08:54.522]  People are seeing through it.
[00:08:54.522 --> 00:08:57.265]  And all the polls and all the numbers and all the facts show that.
[00:08:57.265 --> 00:08:59.026]  The NFL's going straight down.
[00:08:59.026 --> 00:09:00.428]  Nike's going straight down.
[00:09:00.428 --> 00:09:01.589]  Hollywood's going straight down.
[00:09:03.459 --> 00:09:27.658]  These big tech corporations stock is starting to go down because people understand just 60 days out that Google and Facebook and Twitter all over the world are blocking nationalists and patriots and the man in the front running who said in his translation from Spanish and Portuguese and Brazil to
[00:09:30.188 --> 00:09:35.489]  Brazil first and God over everything.
[00:09:35.489 --> 00:09:44.972]  We've got video coming up of him getting brutally stabbed yesterday while he was being carried on the shoulders of a crowd.
[00:09:44.972 --> 00:09:47.672]  And they stabbed him.
[00:09:47.672 --> 00:09:50.673]  And then the left and the media and this country and Brazil celebrated it.
[00:09:50.673 --> 00:09:52.473]  Stabbed him in the liver.
[00:09:52.473 --> 00:09:55.494]  Stabbed him in the lungs.
[00:09:55.494 --> 00:09:57.455]  And stabbed him in the kidneys.
[00:09:57.455 --> 00:09:57.935]  Vicious.
[00:09:57.935 --> 00:09:58.975]  He's fighting for his life.
[00:10:01.573 --> 00:10:02.834]  Right now.
[00:10:02.834 --> 00:10:08.977]  Brazil's far-right candidate in serious condition.
[00:10:08.977 --> 00:10:10.638]  There's your violence.
[00:10:10.638 --> 00:10:12.019]  That's what's going on.
[00:10:12.019 --> 00:10:15.121]  And pray for him.
[00:10:15.121 --> 00:10:16.021]  Pray for him to survive.
[00:10:16.021 --> 00:10:19.023]  We'll get more into that coming up.
[00:10:19.023 --> 00:10:25.927]  But this is what they're trying to ban, ladies and gentlemen, are people standing up to these globalists.
[00:10:25.927 --> 00:10:28.829]  And there's a real photo taken in the committee hearing where I'm in the front row.
[00:10:30.168 --> 00:10:33.750]  Right behind Darcy.
[00:10:33.750 --> 00:10:34.670]  And the media spun it.
[00:10:34.670 --> 00:10:37.871]  Oh, Jones tried to attack Darcy, or Jack Dorsey.
[00:10:37.871 --> 00:10:40.492]  He bullied him.
[00:10:40.492 --> 00:10:42.373]  The media's all chasing him out.
[00:10:42.373 --> 00:10:43.794]  First, they said, oh, he's already outside.
[00:10:43.794 --> 00:10:44.714]  Everybody runs outside.
[00:10:44.714 --> 00:10:46.475]  I said, I got a feeling he's actually still in here.
[00:10:46.475 --> 00:10:48.136]  Boom, he comes out.
[00:10:48.136 --> 00:10:50.777]  And I say, Jack, I hope you really do support the First Amendment.
[00:10:50.777 --> 00:10:52.498]  Thanks for saying you do.
[00:10:52.498 --> 00:10:57.760]  But when you put that fake strike on me, I never threatened to use battle rifles on the media.
[00:10:59.076 --> 00:11:01.797]  So see, everything they've done has been a fraud.
[00:11:01.797 --> 00:11:14.820]  And all they were doing was legitimizing getting rid of InfoWars, because Twitter is the worst right now at purging people in MASH.
[00:11:14.820 --> 00:11:15.580]  That's what's going on.
[00:11:15.580 --> 00:11:22.222]  So I promise Jack Dorsey and everybody else this.
[00:11:22.222 --> 00:11:27.443]  We are going to be visiting with you.
[00:11:28.547 --> 00:11:35.829]  We are going to be coming to your events, your conferences, we're going to have demonstrations, I'm going to be coming to the committee hearings, and I'm going to be in the third dimension.
[00:11:35.829 --> 00:11:42.352]  We are going to invade with information and with love and with justice, bringing the truth.
[00:11:42.352 --> 00:11:49.474]  And we're going to be exposing Big Tech and their interference in the election, their violation of Federal Elections Commission laws.
[00:11:50.609 --> 00:12:02.280]  They're civil rights violations of conservatives and Christians en masse and the organized persecution that we have in your internal documents, that we have thanks to Project Veritas undercover videos, and that we've experienced.
[00:12:02.280 --> 00:12:04.962]  Look at DrudgeReport.com right now.
[00:12:04.962 --> 00:12:08.125]  Media briefed ahead of time.
[00:12:08.125 --> 00:12:16.793]  At the exact minute, BuzzFeed, CNN, AP, and others all published lengthy articles
[00:12:18.899 --> 00:12:23.201]  That I had been banned with their official story en masse that I was a bully.
[00:12:23.201 --> 00:12:25.701]  They didn't say who I bullied.
[00:12:25.701 --> 00:12:35.965]  But later, Oliver Darcy of CNN and BuzzFeed, writers all bragged how they had engineered it.
[00:12:35.965 --> 00:12:37.826]  So, there they are, coordinating.
[00:12:39.465 --> 00:12:56.640]  The entire thing and bragging about it in your face, how they coordinate to bully me and deplatform me and call me a white supremacist and stalk me and lie about me and going around and harass our sponsors and all of this.
[00:12:56.640 --> 00:13:02.766]  And then turn around and say that I did to them what they did to me because like a man, I dared stand up to them.
[00:13:03.780 --> 00:13:04.340]  There you see it.
[00:13:04.340 --> 00:13:04.601]  347.
[00:13:04.601 --> 00:13:06.642]  When did Twitter announce it?
[00:13:06.642 --> 00:13:07.363]  347.
[00:13:07.363 --> 00:13:09.384]  When did AP announce it?
[00:13:09.384 --> 00:13:09.885]  346.
[00:13:09.885 --> 00:13:14.829]  They jumped the gun.
[00:13:14.829 --> 00:13:17.291]  They jumped the gun.
[00:13:17.291 --> 00:13:18.792]  Look at that coordination.
[00:13:18.792 --> 00:13:19.272]  BuzzFeed, 345.
[00:13:21.525 --> 00:13:26.969]  Look at the criminal coordination of the New York Times, the Washington Post, all of them together.
[00:13:26.969 --> 00:13:27.790]  I didn't get called.
[00:13:27.790 --> 00:13:28.631]  I never got a call.
[00:13:28.631 --> 00:13:29.551]  I never got an email.
[00:13:29.551 --> 00:13:30.592]  Because I'm a slave.
[00:13:30.592 --> 00:13:31.233]  I'm a nobody.
[00:13:31.233 --> 00:13:32.133]  I'm dog meat.
[00:13:32.133 --> 00:13:34.676]  I'm one of those Americans.
[00:13:34.676 --> 00:13:36.937]  I'm an effing white male.
[00:13:36.937 --> 00:13:41.481]  You've got the real alpha males, the real alpha males, posing as little liberals.
[00:13:41.481 --> 00:13:42.282]  Oh, we're so sweet.
[00:13:42.282 --> 00:13:42.922]  Oh, we're so nice.
[00:13:42.922 --> 00:13:45.104]  But they're the savage killers of free speech.
[00:13:46.380 --> 00:13:51.142]  And they're the ones creating race war in this country to control all of us and play us off against each other.
[00:13:51.142 --> 00:13:59.766]  But, AP was the assassin of truth in their article, but in the minute and a half clip they ran in the same story of my press conference, they got it right.
[00:13:59.766 --> 00:14:00.246]  And here it is.
[00:14:02.003 --> 00:14:02.203]  Yes.
[00:14:21.169 --> 00:14:27.714]  To begin shutting down conservatives when the Democrats threatened to federalize big tech if they did not basically roll over to them.
[00:14:27.714 --> 00:14:34.320]  So the Republicans left a vacuum there by not coming in with regulations to say you cannot violate people's free speech.
[00:14:34.320 --> 00:14:39.404]  So I want regulations like the First Amendment to be enforced to say you're not going to violate people's free speech.
[00:14:39.404 --> 00:14:41.506]  You're not going to be able to shut people down like this.
[00:14:41.506 --> 00:14:43.868]  And I'm also here to be able to face my accusers.
[00:14:43.868 --> 00:14:45.269]  This is the 11th hearing they've had.
[00:14:45.829 --> 00:14:50.251]  Where they make up all these incredible lies about me and others to sell the end of the First Amendment.
[00:14:50.251 --> 00:14:53.413]  It's happening to everybody now who's a libertarian or conservative.
[00:14:53.413 --> 00:14:54.694]  The dominoes are falling.
[00:14:54.694 --> 00:14:56.254]  The First Amendment's being destroyed.
[00:14:56.254 --> 00:15:00.597]  But I think the corporate dying dinosaur media has been off more than it can chew.
[00:15:00.597 --> 00:15:05.059]  And what you've done is only going to make people be that much stronger and fight for free speech that much more.
[00:15:05.419 --> 00:15:06.160]  I'll say this.
[00:15:06.160 --> 00:15:08.781]  Shame on the mainstream corporate media.
[00:15:08.781 --> 00:15:19.128]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent free press working with big tech.
[00:15:19.128 --> 00:15:23.631]  These big monopolies need to be broken up, and these are digital commons.
[00:15:23.631 --> 00:15:33.858]  They've said in their own words and under federal law, and they shouldn't be in there controlling what individuals are saying in those private discussions and in those discussions online if it's not criminal what's being said and what's being done.
[00:15:35.219 --> 00:15:35.799]  So there you go.
[00:15:35.799 --> 00:15:37.560]  That's why they're trying to shut us down.
[00:15:37.560 --> 00:15:39.260]  That's what I really said.
[00:15:39.260 --> 00:15:41.240]  And I was effective.
[00:15:41.240 --> 00:15:45.641]  And they're saying I bullied Marco Rubio when he came over to where we were with our cameras.
[00:15:45.641 --> 00:15:50.902]  They're saying that I bullied the CNN operative who is the true racketeer.
[00:15:50.902 --> 00:15:55.063]  By the very definition of thought police Gestapo.
[00:15:55.063 --> 00:15:58.144]  These criminals don't want to be confronted because that's what they are.
[00:15:59.801 --> 00:16:01.001]  Hear that?
[00:16:01.001 --> 00:16:06.383]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[00:16:06.383 --> 00:16:09.284]  And what they don't steal will be destroyed.
[00:16:09.284 --> 00:16:12.866]  This year, resolve not to be the next victim of a break-in.
[00:16:12.866 --> 00:16:20.448]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[00:16:20.448 --> 00:16:25.030]  Security is a mindset, and Faketv should be part of your security solution.
[00:16:25.030 --> 00:16:27.471]  Be vigilant, but not fearful.
[00:16:27.471 --> 00:16:28.631]  Faketv.com
[00:16:29.707 --> 00:16:31.588]  Healthcare reform is confusing.
[00:16:31.588 --> 00:16:40.170]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[00:16:40.170 --> 00:16:43.871]  Control your own healthcare costs and choices with Liberty HealthShare.
[00:16:43.871 --> 00:16:45.832]  Liberty HealthShare is not insurance.
[00:16:45.832 --> 00:16:51.874]  It is an association of self-paid patients who unite with like-minded people to share the cost of each other's medical needs.
[00:16:51.874 --> 00:16:53.374]  Neighbor helping neighbor.
[00:16:53.374 --> 00:16:55.935]  Learn more now by going to libertyoncall.org.
[00:16:55.935 --> 00:16:57.816]  That's libertyoncall.org.
[00:16:59.133 --> 00:17:00.033]  It's a no-brainer.
[00:17:00.033 --> 00:17:02.435]  A Big Berkey water filter is the one you need, period.
[00:17:02.435 --> 00:17:10.579]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[00:17:10.579 --> 00:17:12.520]  And does it all at only two cents per gallon.
[00:17:12.520 --> 00:17:16.222]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[00:17:16.222 --> 00:17:20.944]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[00:17:20.944 --> 00:17:25.386]  Call or click 1-877-99-BERKEY or BigBerkeyWaterFilters.com.
[00:17:25.386 --> 00:17:26.027]  That's 1-877-99-BERKEY.
[00:17:30.120 --> 00:17:31.842]  Let's talk tough.
[00:17:31.842 --> 00:17:33.243]  Let's talk comfort.
[00:17:33.243 --> 00:17:35.625]  Let's talk about down-home value.
[00:17:35.625 --> 00:17:38.568]  Made in the USA, blue jeans.
[00:17:38.568 --> 00:17:40.570]  Like you wore as a kid.
[00:17:40.570 --> 00:17:41.470]  Remember?
[00:17:41.470 --> 00:17:44.473]  There's a place down in Tennessee.
[00:17:44.473 --> 00:17:50.118]  Where they make blue diamond gusset jeans.
[00:17:50.118 --> 00:17:52.941]  They sew pride in every stitch.
[00:17:52.941 --> 00:17:56.384]  Guarantee you'll love the way they fit.
[00:17:58.383 --> 00:18:00.138]  They put a diamond gusset in the...
[00:18:02.851 --> 00:18:12.234]  One of the most incredible cups of coffee can be found in the high mountains of southern Mexico, where the Chiapas farmers have spent years perfecting their techniques.
[00:18:12.234 --> 00:18:23.658]  Based on hundreds of years of traditional techniques and perfect conditions, we've sourced only the best to provide you with our immune support and Wake Up America Patriot Blend Coffee.
[00:18:23.658 --> 00:18:29.360]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee beans.
[00:18:29.620 --> 00:18:41.088]  Carefully harvested and free of toxic chemicals used in big agricultural productions, Patriot Blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[00:18:41.088 --> 00:18:49.274]  You can even choose to start your morning healthier with the Immune Support Blend, infused with a powerful blend to support your immune response and stamina.
[00:18:49.274 --> 00:18:51.776]  It's time to take care of your morning routine.
[00:18:51.776 --> 00:18:57.460]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine at InfoWarsStore.com.
[00:19:05.467 --> 00:19:07.809]  The Real Red Pill Plus, ladies and gentlemen.
[00:19:07.809 --> 00:19:11.252]  Our team is constantly on the lookout for newer and better ways to improve our products.
[00:19:11.252 --> 00:19:17.638]  That's why we're bringing you a brand new version of one of the newest fan-favorite products, The Real Red Pill Plus.
[00:19:17.638 --> 00:19:23.122]  The Real Red Pill Plus is an all-new version of the powerhouse preglanone product.
[00:19:23.122 --> 00:19:30.829]  It features the same great formula that supports your heart, brain, healthy aging process, with an all-new natural caffeine boost included.
[00:19:31.269 --> 00:19:37.710]  A powerful preglanone base, the Real Red Pill, has quickly become one of our fellow InfoWarriors' favorite products.
[00:19:37.710 --> 00:19:48.092]  Now, with an extra proprietary energy blend inside, including green tea extract, Aromante leaf extract, and more, you can get that extra pick-me-up while supporting your mind and body in a healthy way.
[00:19:48.092 --> 00:19:50.853]  It's got all the great stuff that Real Red Pill has.
[00:19:50.853 --> 00:19:52.793]  It's also got the boost in it.
[00:19:52.793 --> 00:19:56.054]  Get the Real Red Pill Plus at InfoWarStore.com.
[00:20:03.308 --> 00:20:18.356]  You're listening to the Alex Jones Show.
[00:20:18.356 --> 00:20:22.738]  Waging war on corruption.
[00:20:22.738 --> 00:20:28.381]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:20:45.030 --> 00:20:45.360]  I don't know.
[00:21:10.276 --> 00:21:34.585]  Alright folks, I'm gonna get more into the total attack that's taking place on the First Amendment in this country and the organized criminal corporate media that as a racketeering wall is focused and is integrated towards setting the stage to ban all their competition.
[00:21:34.585 --> 00:21:34.765]  Now,
[00:21:37.090 --> 00:21:38.951]  This is all being done because the midterms are here.
[00:21:38.951 --> 00:21:42.312]  It's all being done because they know the American people have woken up.
[00:21:42.312 --> 00:21:48.515]  This is all being done because we have true authoritarianism coming to this country.
[00:21:48.515 --> 00:21:50.957]  So it's a lot bigger than Infowars.com.
[00:21:50.957 --> 00:21:56.759]  Everyone I know is being either shadow banned or totally banned off of Twitter, Facebook, YouTube.
[00:21:56.759 --> 00:21:59.180]  And that's over 90% of the internet.
[00:21:59.180 --> 00:22:02.322]  Google has delisted anything pro-Trump.
[00:22:03.911 --> 00:22:09.816]  It is just getting more and more and more intense by the minute.
[00:22:09.816 --> 00:22:16.182]  Which shows that these authoritarians will basically do anything and are going for broke.
[00:22:16.182 --> 00:22:28.953]  And I have personally, behind the scenes, been experiencing all of this.
[00:22:28.953 --> 00:22:30.835]  And it's mind-blowing.
[00:22:33.035 --> 00:22:34.317]  Now, think about InfoWars.
[00:22:34.317 --> 00:22:42.470]  We've got hundreds of radio affiliates, hundreds of TV affiliates.
[00:22:42.470 --> 00:22:48.319]  And we're still able to reach a lot of people and our information ends up getting out there on these platforms one way or the other.
[00:22:54.212 --> 00:23:04.345]  But for the average person that just had a popular Facebook page or Twitter that they spent years promoting and maybe they have a local radio show or maybe
[00:23:05.547 --> 00:23:10.132]  They're formally a city council member or they're just a business person.
[00:23:10.132 --> 00:23:16.018]  Being banned from this is like being put in solitary confinement and the companies know that.
[00:23:16.018 --> 00:23:28.531]  So it's very abusive socially and it's being done to politically control people and make examples of people so others submit so they won't be blacklisted from the global social score that's being brought into place.
[00:23:30.814 --> 00:23:43.345]  Now, we were the first to report on this global social score five years ago, but now Facebook and Twitter and Google admit they're doing it, and they're allied with China.
[00:23:43.345 --> 00:23:52.592]  And Jack Dorsey and all of them would sit up there and talk about how concerned they are about China, while they're doing it here in America, and Google wouldn't even show up.
[00:23:52.592 --> 00:23:54.174]  Google won't even work with the U.S.
[00:23:54.174 --> 00:23:56.996]  military now, even though it was founded by DARPA.
[00:23:56.996 --> 00:23:59.058]  They won't even, but they'll work with the Chinese military.
[00:24:02.523 --> 00:24:08.647]  So these are globalists allied against America, and our own government hasn't even figured it out yet.
[00:24:08.647 --> 00:24:10.127]  Trump's figured it out.
[00:24:10.127 --> 00:24:11.308]  I've figured it out.
[00:24:11.308 --> 00:24:15.210]  You've figured it out.
[00:24:15.210 --> 00:24:20.293]  Now, Paul Watson's put out a new hot report on this that we're going to cover when we come back in the next segment.
[00:24:20.293 --> 00:24:25.797]  Then Drew, one of our great camera folks, stayed an extra day in D.C.
[00:24:25.797 --> 00:24:29.599]  He caught some amazing things when he was there that you haven't seen yet.
[00:24:29.599 --> 00:24:31.280]  We'll exclusively play that next segment.
[00:24:32.318 --> 00:24:36.120]  But I just briefly want to talk to you about a couple of key issues here.
[00:24:36.120 --> 00:24:37.960]  And that's this.
[00:24:37.960 --> 00:24:40.221]  Infowars is truly the tip of the spear.
[00:24:40.221 --> 00:24:42.122]  Everybody says they're the tip of the spear.
[00:24:42.122 --> 00:24:44.783]  And if you're on the ground, you are.
[00:24:44.783 --> 00:24:47.264]  And the listeners aren't just important, they're critical.
[00:24:47.264 --> 00:24:48.764]  Because you're the activist.
[00:24:48.764 --> 00:24:52.286]  You're what's unstoppable in the third dimension.
[00:24:52.286 --> 00:24:54.907]  And we've got to fight harder in the silicon dimension.
[00:24:56.374 --> 00:25:00.276]  We've also got to fight harder in the third dimension.
[00:25:00.276 --> 00:25:03.659]  And that means Infowarsarmy.com.
[00:25:03.659 --> 00:25:10.323]  Owen Troyer's idea to get the activists out there doing legal and lawful things, stunts, unfurling banners at sporting events, you name it.
[00:25:13.547 --> 00:25:21.715]  It's absolutely critical, and then we'll air those videos, we'll air that audio, we'll show those photos here, and then it will spread across the internet.
[00:25:21.715 --> 00:25:23.176]  So we're gonna up our game.
[00:25:23.176 --> 00:25:24.878]  What you saw me do in D.C.
[00:25:24.878 --> 00:25:26.339]  was just step one.
[00:25:26.339 --> 00:25:31.404]  I predicted in the car, leaving the Senate and House hearings, that I would be banned within days.
[00:25:31.404 --> 00:25:32.865]  It happened.
[00:25:32.865 --> 00:25:34.307]  So did the rest of the crew.
[00:25:34.307 --> 00:25:36.549]  They said they're gonna hit us for bullying.
[00:25:39.528 --> 00:25:52.533]  Oliver Darcy, the man behind getting us deplatformed and lying about us and organizing with mainstream media to brigade and go out and have us taken off the air.
[00:25:52.533 --> 00:25:54.453]  He brags he led brigades.
[00:25:54.453 --> 00:25:55.334]  So do these other guys.
[00:25:55.334 --> 00:26:04.117]  These are arrogant, horrible, Grimer, Wormtongue, Gollum-like Judas Iscariot creatures.
[00:26:05.503 --> 00:26:13.971]  But for InfoWars to maintain its attack profile against the enemy, and to really go into this strong, why they fear us, is your strength.
[00:26:13.971 --> 00:26:17.013]  If you simply do one thing.
[00:26:17.013 --> 00:26:18.355]  If you simply, every day.
[00:26:19.724 --> 00:26:28.026]  Print up some cards or whatever and tell people at the grocery store, at the racetrack, you know, at church, at work, wherever.
[00:26:28.026 --> 00:26:31.507]  Hey, you've probably heard about Alex Jones and why he's being demonized everywhere.
[00:26:31.507 --> 00:26:35.288]  People are asking, why is this guy demonized almost as much as Trump?
[00:26:35.288 --> 00:26:36.529]  What is it he's really saying?
[00:26:36.529 --> 00:26:39.009]  You might want to go see it and watch it.
[00:26:39.009 --> 00:26:44.671]  He's been banned everywhere but his own platform.
[00:26:44.671 --> 00:26:47.532]  And like the Alamo, with his crew,
[00:26:48.564 --> 00:26:56.849]  He's making a stand to get the word out against overwhelming odds, but thanks to you, we're going to win.
[00:26:56.849 --> 00:27:07.955]  Because the information we're talking about is cutting edge, about the shy comms, the globalists, the sellout, the Democrats planning to end the First Amendment, their plans to bring in authoritarianism, their plans to federalize elections.
[00:27:07.955 --> 00:27:09.055]  This is all happening.
[00:27:09.055 --> 00:27:12.597]  The AI control, the censorship, it's here.
[00:27:12.597 --> 00:27:14.458]  They're making their move.
[00:27:14.458 --> 00:27:15.459]  Trump just got to beat shit.
[00:27:16.334 --> 00:27:22.381]  If you will tell people about Infowars.com forward slash show.
