[00:00.000 --> 00:18.640]  The
[02:54.600 --> 03:00.680]  I believe HR1 is a broad-sweeping piece of legislation, S1, and of course I wish that
[03:00.680 --> 03:05.040]  that would get to the floor for a vote, but I would very much like to see us getting something
[03:05.040 --> 03:09.640]  done and I think it's very, very important that we recognize that if we don't do something
[03:09.640 --> 03:13.320]  at the federal level, the democracy in my opinion is threatened.
[03:13.320 --> 03:17.160]  We're igniting the fuse on a nationwide crime epidemic.
[03:17.160 --> 03:20.280]  Crime is the number one issue among Democrats.
[03:20.280 --> 03:21.680]  Those are the people voting.
[03:21.680 --> 03:24.600]  What does that say about the defund the police movement?
[03:24.600 --> 03:25.600]  Do people know what it means?
[03:25.600 --> 03:26.600]  Do they know what it is?
[03:26.600 --> 03:27.600]  Do they know what they want?
[03:27.600 --> 03:32.880]  I think that there are a lot of police unions and GOP operatives that would like for us
[03:32.880 --> 03:37.520]  to believe that this recent crime wave has everything to do with this idea of defunding
[03:37.520 --> 03:38.520]  the police.
[03:38.520 --> 03:41.080]  But guess what Stephanie, the police haven't been defunded.
[03:41.080 --> 03:45.480]  The Austin City Council making major cuts to the Austin Police Department voting to
[03:45.480 --> 03:51.760]  slash about $150 million from APD, about a third of the police department's budget.
[03:51.760 --> 03:56.480]  So this rising crime is not the fault of the movement, it's actually the fault of the police
[03:56.480 --> 03:58.680]  and this has been our point all along.
[03:58.680 --> 04:03.440]  Why should we keep funding systems and institutions that keep rendering themselves ineffective?
[04:03.440 --> 04:09.600]  We should be talking about gun control, livable wages, fair housing, education, that's where
[04:09.600 --> 04:13.840]  we should be moving the money to to ensure truly safe streets.
[04:13.840 --> 04:19.520]  Fueled by a border crisis that has reached epic proportions, the Democratic Party has
[04:19.520 --> 04:22.120]  proven what we all expected.
[04:22.120 --> 04:29.240]  They are as incompetent as they are deadly and November 8th, 2022 can't come soon enough.
[04:29.240 --> 04:36.600]  There are 435 seats in the United States House of Representatives and 34 of the 100 seats
[04:36.600 --> 04:39.880]  in the United States Senate that will be contested.
[04:39.880 --> 04:45.600]  39 state and territorial, gubernatorial and numerous other state and local elections
[04:45.600 --> 04:48.120]  will also be contested.
[04:48.120 --> 04:54.360]  This election will be the first to be affected by the redistricting that followed the 2020
[04:54.360 --> 04:56.080]  United States Senate.
[04:56.080 --> 04:58.400]  America, we must not be caught.
[04:58.400 --> 05:01.600]  Gerald in South Carolina, go ahead you're on the air trying to move quicker.
[05:01.600 --> 05:02.600]  Hey Alex, welcome.
[05:02.600 --> 05:08.160]  I would like to say first off thanks for being the voice of reason and amongst all this stupidity.
[05:08.160 --> 05:11.280]  Wanted to warn people I've been trying to get ahold of you for a year, okay?
[05:11.280 --> 05:18.000]  I'm a double amputee and I have bacteria infection on my lung that'll never go away.
[05:18.000 --> 05:19.480]  Living defense saved my life.
[05:19.480 --> 05:23.840]  They had me on antibiotics for two years that almost killed me.
[05:23.840 --> 05:25.280]  Living defense brought me back.
[05:25.280 --> 05:31.000]  I wanted to just quote from the Bible, Jesus is saying as to where we are right now.
[05:31.000 --> 05:37.800]  This is Matthew 24 verse nine, then they shall deliver you up to be afflicted and shall
[05:37.800 --> 05:43.920]  kill you and ye shall be hated of all nations for my name's sake and then shall many be
[05:43.920 --> 05:48.040]  offended and shall betray one another and shall hate one another.
[05:48.040 --> 05:49.840]  That's right where we're at brother.
[05:49.840 --> 05:54.280]  And that's because God's name is on the founding of this country no matter what they say and
[05:54.280 --> 06:20.920]  that's why the enemy hates it because God created this country.
[06:20.920 --> 06:29.760]  More than 30 years ago I discovered a public plan to establish world government to use
[06:29.760 --> 06:35.480]  automation to make humans obsolete and then to exterminate at least 90% of the people
[06:35.480 --> 06:37.720]  off the face of the earth.
[06:37.720 --> 06:44.720]  I began to try as best I could being a person in high school to learn about this plot and
[06:44.720 --> 06:51.400]  develop a plan to stop it and I'm just an average person from Texas but being aware
[06:51.400 --> 06:56.680]  of this information and being able to reach out to other like minded humans that are against
[06:56.680 --> 07:01.160]  the globalist program we've been able to put up a pretty good fight against these people
[07:01.160 --> 07:06.680]  showing that if we can get mainline humanity and especially the middle class and also a
[07:06.680 --> 07:12.600]  lot of wealthy elites who aren't on the inside eugenics operation to say no to this plan
[07:12.600 --> 07:19.120]  we can save humanity because where the new world order is taking the planet is an extremely
[07:19.120 --> 07:21.720]  nightmarish place.
[07:21.720 --> 07:29.680]  Now what's really incredible is that they wouldn't pass some legislation to ban human
[07:29.680 --> 07:31.760]  animal cloning in the United States.
[07:31.760 --> 07:36.120]  They've also got just straight up human cloning going on for at least 40 years that the documents
[07:36.120 --> 07:37.120]  admit have happened.
[07:37.120 --> 07:42.320]  And you notice the specific type of clones I told you about us what's down in the news
[07:42.320 --> 07:46.440]  and planning humans inside animals, animals inside humans all sorts of just nightmare
[07:46.440 --> 07:53.160]  stuff that Fauci the mad scientist has been quarter backing for 45 years.
[07:53.160 --> 07:56.720]  So that just gives you an idea of what type of monster he is.
[07:56.720 --> 08:03.480]  And when I come out and criticize that they have mainstream news articles attacking me
[08:03.480 --> 08:09.640]  and major memes being pushed by Twitter that I'm a white supremacist.
[08:09.640 --> 08:12.160]  What does that have to do with not wanting human animal clones?
[08:12.160 --> 08:14.440]  I care about the safety of all human life.
[08:14.440 --> 08:15.440]  It means nothing.
[08:15.440 --> 08:16.760]  It's just a label they use.
[08:16.760 --> 08:18.680]  Same thing on Tucker Carlson.
[08:18.680 --> 08:23.560]  I've got Daily Beast articles and Newsweek articles and all these stories attacking
[08:23.560 --> 08:29.200]  Tucker Carlson because he attacked one of the top bioethicists in the world that's who
[08:29.200 --> 08:31.720]  the Rockefellers have put in this new ethics board.
[08:31.720 --> 08:33.920]  Oh, we don't follow the old ethics.
[08:33.920 --> 08:36.680]  This board says we can merge humans with machines.
[08:36.680 --> 08:40.320]  This board says we can put chemicals in a vaccine to sterilize you because it's the
[08:40.320 --> 08:45.160]  greater good and we're the scientific rulers that control all of this.
[08:45.160 --> 08:46.640]  Dr. Matthew Lau.
[08:46.640 --> 08:53.680]  One of the top bioethicists in the world heads up a major university operation in New York
[08:53.680 --> 08:58.440]  and when you read the articles and see the attacks it's like the dumb conspiracy Carlson
[08:58.440 --> 09:00.440]  and it's just claiming this is going on.
[09:00.440 --> 09:05.800]  He's totally nuts like that psycho Alex Jones, white supremacist.
[09:05.800 --> 09:10.600]  And these are globalist playing God taking over civilization and setting the precedent
[09:10.600 --> 09:14.600]  to force all of us in your body in Klaus Schwab's own words.
[09:14.600 --> 09:19.960]  So here's part of Tucker Carlson knocking it out of the park last night getting into
[09:19.960 --> 09:25.400]  this incredibly important issue of genetically engineering us so we can't eat meat and shrinking
[09:25.400 --> 09:27.360]  down our size.
[09:27.360 --> 09:32.360]  Right now in this and other countries funded by the secretive daisy chain of government
[09:32.360 --> 09:35.400]  health agencies and powerful NGOs.
[09:35.400 --> 09:39.400]  Governments you have never heard of but that could change your life forever.
[09:39.400 --> 09:43.600]  If they can engineer bat viruses to make them more infectious and whoops they escaped from
[09:43.600 --> 09:46.560]  a lab what else are they doing?
[09:46.560 --> 09:48.280]  You're not supposed to ask that question.
[09:48.280 --> 09:52.760]  You've been commanded to trust the science and get back to watching Netflix, plebe, only
[09:52.760 --> 09:55.000]  Neanderthals ask questions.
[09:55.000 --> 09:58.800]  And honestly that has been the arrangement in science for quite a while now.
[09:58.800 --> 10:02.920]  You pay for it, we do it, it's all good.
[10:02.920 --> 10:04.800]  But why should that continue?
[10:04.800 --> 10:09.800]  Now that we know that liars and moral pygmies, people like Tony Fauci and the soulless bots
[10:09.800 --> 10:16.000]  at Google HQ are running global science, maybe it's worth being slightly more inquisitive
[10:16.000 --> 10:18.680]  about what's happening in labs around the world.
[10:18.680 --> 10:20.180]  Why not?
[10:20.180 --> 10:21.920]  It could affect us.
[10:21.920 --> 10:23.640]  For example take a look at this tape.
[10:23.640 --> 10:26.880]  It's from an annual conference called the World Science Festival.
[10:26.880 --> 10:31.880]  A few years ago the conference featured a professor of bioethics and philosophy at New York University
[10:31.880 --> 10:33.640]  called Matthew Lau.
[10:33.640 --> 10:38.640]  Lau was among the most influential bioethicists in the world and that's a fact that will amaze
[10:38.640 --> 10:41.240]  you once you see this tape.
[10:41.240 --> 10:45.400]  Here's Lau explaining that climate change can be solved with something called human
[10:45.400 --> 10:47.520]  engineering.
[10:47.520 --> 10:53.560]  My view is that what we need is a really robust ethical framework.
[10:53.560 --> 11:00.280]  And within this ethical, robust ethical framework we can, I think there's a way going forward
[11:00.280 --> 11:02.520]  where we can do this ethically.
[11:02.520 --> 11:06.520]  There's actually a lot of opportunities for this to solve big world problems.
[11:06.520 --> 11:09.840]  So one thing is the climate change.
[11:09.840 --> 11:15.360]  And there I'll just use, you know, sort of climate change is a really big problem.
[11:15.360 --> 11:16.720]  We don't really know how to solve it.
[11:16.720 --> 11:21.400]  But it turns out that we can use human engineering to help us address climate change.
[11:21.400 --> 11:24.640]  Okay, here's a tip.
[11:24.640 --> 11:29.760]  Anyone who uses the phrase robust ethical framework wouldn't know ethics if they got
[11:29.760 --> 11:31.240]  in the shower with him.
[11:31.240 --> 11:35.880]  And you know that for a fact because he uses the phrase human engineering.
[11:35.880 --> 11:37.080]  Human engineering?
[11:37.080 --> 11:39.800]  The name alone should make you pause and take a deep breath.
[11:39.800 --> 11:41.400]  People are not bridge abutments.
[11:41.400 --> 11:45.560]  You can't just add rebar, pour a few yards of concrete and improve the human condition,
[11:45.560 --> 11:47.400]  much less the human soul.
[11:47.400 --> 11:49.440]  People are living beings.
[11:49.440 --> 11:50.600]  They're alive.
[11:50.600 --> 11:52.080]  They can't be engineered.
[11:52.080 --> 11:56.240]  Lau, the eminent bioethicist, seems unaware of this.
[11:56.240 --> 12:00.440]  So he outlines some of his proposals in a recent paper in the Journal of Ethics, Policy,
[12:00.440 --> 12:01.600]  and Environment.
[12:01.600 --> 12:06.160]  In that paper, Lau suggests a solution to the problem, the pressing problem, of people
[12:06.160 --> 12:08.040]  eating hamburgers.
[12:08.040 --> 12:09.960]  People like hamburgers, it turns out.
[12:09.960 --> 12:11.800]  How can we get them to stop eating hamburgers?
[12:11.800 --> 12:14.480]  Well, not by convincing them that hamburgers are bad.
[12:14.480 --> 12:15.480]  That was the old way.
[12:15.480 --> 12:17.400]  That's how democracy worked.
[12:17.400 --> 12:21.440]  You would tell people something if they believed you, they didn't, if they didn't, they didn't.
[12:21.440 --> 12:22.960]  Because it was their country.
[12:22.960 --> 12:23.960]  It was their government.
[12:23.960 --> 12:24.960]  It was self-government.
[12:24.960 --> 12:27.360]  But it turns out that's too time consuming.
[12:27.360 --> 12:30.960]  The new model is we just use pharmaceuticals to make people comply.
[12:30.960 --> 12:35.120]  If your kids are getting up at eat, dope them out and they'll obey.
[12:35.120 --> 12:40.240]  And Lau proposes a nationwide system like that, a pill that would make people nauseous
[12:40.240 --> 12:41.920]  at the sight of red meat.
[12:41.920 --> 12:46.720]  Now, given that climate change is an existential threat that is limiting our time on earth
[12:46.720 --> 12:52.240]  to 20 years or 12 years or six months or pick your exaggeration, it's pretty hard to believe
[12:52.240 --> 12:55.400]  a pill like that would be optional.
[12:55.400 --> 12:57.640]  It would be mandatory pretty soon.
[12:57.640 --> 12:59.320]  Does that sound like a dystopian fantasy?
[12:59.320 --> 13:02.240]  Oh, it's not, because Lau is deadly serious.
[13:02.240 --> 13:05.320]  Watch him explain at the World Science Festival.
[13:05.320 --> 13:06.800]  So here's the thought, right?
[13:06.800 --> 13:13.000]  So it turns out that we know a lot about, so we have these intolerance to, for example,
[13:13.000 --> 13:15.200]  milk intolerance.
[13:15.200 --> 13:17.800]  And some people are intolerant to crayfish.
[13:17.800 --> 13:22.520]  So possibly we can use human engineering to make it the case that we're intolerant
[13:22.520 --> 13:23.760]  to certain kinds of meat.
[13:23.760 --> 13:26.440]  To certain kinds of bovine protein.
[13:26.440 --> 13:29.080]  So that's something that we can do through human engineering.
[13:29.080 --> 13:36.000]  We can kind of possibly address really big world problems through human engineering.
[13:36.000 --> 13:37.000]  Human engineering.
[13:37.000 --> 13:41.920]  Why do we laugh at Alex Jones' again sincere question?
[13:41.920 --> 13:45.880]  But again, says the bioethicist, human engineering is the answer.
[13:45.880 --> 13:47.600]  But wait a second, you ask.
[13:47.600 --> 13:50.440]  Human engineering, that's kind of creepy.
[13:50.440 --> 13:53.040]  Didn't we try this kind of thing in Europe 80 years ago?
[13:53.040 --> 13:56.720]  And at the time, didn't we agree we're not going to do that ever again?
[13:56.720 --> 13:57.920]  True.
[13:57.920 --> 14:00.200]  But bioethicists have short memories.
[14:00.200 --> 14:03.880]  In any case, climate change is a pressing emergency, so we don't have time to consider
[14:03.880 --> 14:08.160]  the consequences of our response to this existential crisis.
[14:08.160 --> 14:11.600]  So here's an idea, says Lau at the World Science Festival.
[14:11.600 --> 14:15.520]  Let's fiddle with the human genome to see if we can make human children smaller than
[14:15.520 --> 14:16.520]  they are now.
[14:16.520 --> 14:17.680]  A race of dwarfs.
[14:17.680 --> 14:21.320]  They would eat less and they'd be cheaper to transport.
[14:21.320 --> 14:24.040]  Because that would reduce greenhouse gases.
[14:24.040 --> 14:30.800]  So it turns out that the larger you are, think of the lifetime sort of greenhouse gas emissions
[14:30.800 --> 14:35.680]  that are required, the energy that's required to transport larger people rather than smaller
[14:35.680 --> 14:37.840]  people.
[14:37.840 --> 14:44.400]  But if we're smaller, just by 15 centimeters, that's a mass, I did the math and it's about
[14:44.400 --> 14:47.400]  mass reduction of 25%, which is huge.
[14:47.400 --> 14:53.360]  And 100 years ago, we're all on the average smaller, exactly about 15 centimeters smaller.
[14:53.360 --> 14:59.440]  So think of just the lifetime greenhouse gas emissions if we had smaller children.
[14:59.440 --> 15:03.480]  And so that's something that we could do.
[15:03.480 --> 15:08.640]  Imagine if we had smaller children, little tiny children, think of how little they would
[15:08.640 --> 15:10.720]  emit in greenhouse gases.
[15:10.720 --> 15:16.000]  Think about an easy way to come up, juggle them around, control them.
[15:16.000 --> 15:21.480]  All we need to do is experiment on human children and we can solve climate change.
[15:21.480 --> 15:25.880]  That was at a public conference five years ago, nobody said anything, that's where we
[15:25.880 --> 15:26.880]  are.
[15:26.880 --> 15:27.880]  Surprised?
[15:27.880 --> 15:28.880]  You shouldn't be surprised.
[15:28.880 --> 15:32.880]  In fact, what you just heard is less ghoulish than some of the things happening in labs
[15:32.880 --> 15:34.920]  right now.
[15:34.920 --> 15:40.440]  This is what science looks like when it's been completely decoupled from wisdom and
[15:40.440 --> 15:42.480]  from decency and from Christianity.
[15:42.480 --> 15:46.560]  It is a science fiction novel, come to life, except it's real.
[15:46.560 --> 15:49.120]  In fact, Google might be funding it right now.
[15:49.120 --> 16:18.960]  My Gallagher is a Wisconsin member of Congress, he's a Republican and happy to have him on
[16:18.960 --> 16:20.440]  the slide.
[16:20.440 --> 16:24.160]  All right.
[16:24.160 --> 16:32.260]  Thank you for coming.
[16:32.260 --> 16:40.500]  833-470-0438, that's 833-470-0438 for Info Wars Emergency News Alerts, or text the word
[16:40.500 --> 16:46.980]  SHOW to 833-470-0438 and receive LIVE SHOW NOTIFICATIONS.
[16:46.980 --> 16:51.460]  Take action now, rate the chain reaction, and tell others to share those texts.
[16:51.460 --> 17:10.620]  Get news alerts at 833-470-0438.
[17:10.620 --> 17:21.420]  Trouble 835-33139 Trouble 835-33139 Trouble 835-33139 Trouble 835-33139 Trouble 835-33139
[17:21.420 --> 17:36.980]  is the Info War Store hotline trouble 835-33139 Trouble 835-33139 is the Info War Store hotline
[17:36.980 --> 18:02.260]  I started taking high-end fish oil and high-end krill oil more than a decade ago because the
[18:02.260 --> 18:07.060]  scientific literature is overwhelming. It's good for your heart, your brain, your whole body,
[18:07.060 --> 18:11.380]  your well-being. A lot of folks take it before they take tests. People that have arthritis
[18:11.380 --> 18:16.100]  pain, they take it. It's well known for the things it does for a body. It makes our lives
[18:16.100 --> 18:22.340]  so much better. But then I learned about high-grade fish oil and high-grade krill oil. We've got both
[18:22.340 --> 18:26.180]  in the fullwarstore.com. But with the COVID lockdown, supply chains have broken down,
[18:26.180 --> 18:29.940]  so it's been months and months and months since we've had krill oil back at stock.
[18:29.940 --> 18:34.260]  But let's back, ladies and gentlemen. And despite the fact that it's already very fairly priced
[18:34.260 --> 18:39.540]  for the grade it is, highest quality, we're offering it at 40% off for a limited time
[18:39.540 --> 18:44.340]  at infowarstore.com with free shipping and double-paid credit points. Because I want
[18:44.340 --> 18:47.140]  those of you that have already been customers to have a chance to get more of it. And I want
[18:47.140 --> 18:51.940]  new viewers and listeners who have tried it to get it from us. And then try regular krill oil
[18:51.940 --> 19:00.260]  that is not one-tenth as powerful as ours. This is the highest grade back at stock at lowerstore.com.
[19:22.740 --> 19:36.740]  Well, there are three major college schools of health in the U.S. that produce the top
[19:36.740 --> 19:46.020]  bioethicism thing created by the post-Nazi globalist about 60 years ago. And bioethics,
[19:46.020 --> 19:51.140]  well, they decide the new ethics. And you've heard Governor Northamry says we keep them
[19:51.140 --> 19:57.540]  maybe alive. We take its organs even after it's nine months old. And we kill it, but it's not a
[19:57.540 --> 20:04.020]  human because the bioethics board decides whether you're viable or not, even if you have all your
[20:04.020 --> 20:08.660]  fingers, all your toes, and are a perfect little baby boy or baby girl. Black, white,
[20:08.660 --> 20:15.060]  doesn't matter. They decide who's human. They decide who isn't. They're God. But they're liberal,
[20:15.060 --> 20:20.340]  so it's okay if they dress up in blackface and KKK outfits. Because, you know, they're going to give
[20:20.340 --> 20:26.660]  you legal aliens free tuition like Governor Northam has just announced, but in state, people don't
[20:26.660 --> 20:34.020]  get that. It's all about rubbing it in your face. Now, we just joined us. I played a Tucker Carlson
[20:34.020 --> 20:38.660]  clip from last night. We, of course, covered the last few days here as well. The great Owen
[20:38.660 --> 20:47.860]  Schreuer sitting in for me. And this is a top bioethicist. He heads up the major college
[20:47.860 --> 20:55.380]  on global health center for bioethics at New York University. And he sits on some of the biggest
[20:55.380 --> 21:03.700]  boards in the world, including the UN. And he just says he suddenly got this idea to genetically
[21:03.700 --> 21:12.260]  engineer us where we can't eat meat. Oh, he also just got an idea to make the general worker class
[21:12.260 --> 21:20.740]  three feet tall. But, of course, Aldous Huxley wrote in 1932 Brave New World, his brother founded
[21:20.740 --> 21:26.260]  the World Eugenics Society, his brother founded the transhumanist movement, his brother founded
[21:26.260 --> 21:32.500]  UNESCO and really founded the United Nations and ran the whole thing for 30 years. And he wrote in
[21:32.500 --> 21:42.180]  1932 the entire plan of injections at first in utero to stunt the IQ and size of the general
[21:42.180 --> 21:46.740]  public. Then they would add chemicals to basically make the genitals shrivel away and go away.
[21:48.020 --> 21:58.500]  And that's when they decided to even keep humans around. So when you hear Dr. Matthew Lau on TV
[21:58.500 --> 22:02.740]  telling you how great it is that they're going to engineer your body and they're going to make you
[22:02.740 --> 22:08.340]  take these injections and now they're doing it. Remember, this is part of a long term strategic
[22:08.340 --> 22:13.780]  plan. And some would say, well, why don't they change their plan? Because the plan's 160 years old.
[22:14.500 --> 22:21.780]  It was launched in the 1850s, a 20 year study was done. And by 1870, they had an official battle
[22:21.780 --> 22:28.100]  plan. And they said we're going to figure out how to smash matter together and create huge
[22:28.100 --> 22:33.460]  explosions. We're going to learn what makes the body tick and learn how to reprogram humans.
[22:34.580 --> 22:40.260]  Oh, and I forgot the rest of it. It's in my film Endgame. This is in mainline histories about
[22:40.260 --> 22:46.740]  Galton, Wedgewood, Darwin, the Huxleys. They all intermarried to try to create supermen.
[22:47.860 --> 22:51.860]  And they found that when they created these inbred people from the smartest people they had,
[22:51.860 --> 22:59.380]  that they became very attuned or psychic to what they believed were extraterrestrials
[23:00.420 --> 23:06.740]  who would then tell them about the plan. And now you're living it, the 5G, the making us midget
[23:06.740 --> 23:11.700]  creatures, the poisoning us where we can't eat meat, making us eat bugs. And this is what you
[23:11.700 --> 23:15.860]  do if you were evil aliens that wanted to toy with us and basically watch us tear each other
[23:15.860 --> 23:20.340]  apart. Now, whether you believe in that or not, that's mainline history. Let me show you real
[23:20.340 --> 23:28.180]  quick here. This is just three weeks ago. Senate Dems reject ban on certain types of human animal
[23:28.180 --> 23:32.820]  hybrid. Remember, that didn't exist. Of course, it's always existed. The Bible talks about it.
[23:32.820 --> 23:37.140]  Senate votes down legislation to outlaw creation of human animal chimeras.
[23:38.820 --> 23:44.500]  And this is not a brave new world. 1932 was published. The lower caste said Mr. Foster,
[23:44.500 --> 23:52.180]  the shorter the oxygen. The first organ affected is the brain. After that, the skeleton. At 70%
[23:52.180 --> 23:58.580]  of normal oxygen, you get dwarfs. At less than 70, eyeless monsters. And, you know, at first,
[23:58.580 --> 24:02.500]  when they took over in this fictional world that's really in our future, Britain then,
[24:03.460 --> 24:07.460]  but now in present time, they first started having women wear masks. They told us we were
[24:07.460 --> 24:14.100]  dirty and bad. Humans are evil. You need to have your children artificially born by Caesarean.
[24:14.100 --> 24:17.620]  You need to be programmed. You need to be controlled. You need to be forced to be inoculated.
[24:17.620 --> 24:25.620]  And then they take full control of society in about 50 years. And then they basically grow most
[24:25.620 --> 24:30.180]  of the population in tanks. And they like to keep them just a few feet tall so they can feel powerful
[24:30.180 --> 24:34.900]  and big and rule over them. Then you've got the superclass that gets all the life extension
[24:34.900 --> 24:39.220]  and all the rest of it above them. You go, oh, yeah, I've seen like 50 movies like that.
[24:39.220 --> 24:44.740]  Logans run, the list goes on and on. Because they're preparing you for it. Because they're
[24:44.740 --> 24:48.420]  doing it to you. And they think you're so stupid you won't stop them.
[24:52.020 --> 24:57.220]  We literally have hundreds of TV shows and programs now saying it's time to sterilize
[24:57.220 --> 25:01.140]  everyone with vaccines to save the earth. Why do you think they're telling you that in movies and
[25:01.140 --> 25:05.140]  cartoons and work? Because they want to condition you to accept it. And they know as the general
[25:05.140 --> 25:10.180]  public wakes up to it, they can convince the general public, oh, you're part of it.
[25:10.980 --> 25:14.420]  You're not being sterilized. You're not being dumbed down. You're not being poisoned.
[25:14.420 --> 25:19.380]  Even though you are, they've trained the public to be evil to imagine and pretend
[25:20.660 --> 25:25.540]  that they're part of the captors. And they have a name for that called Stockholm Syndrome.
[25:27.380 --> 25:29.460]  And so you see all these people going along with
[25:29.460 --> 25:35.620]  pedophiles, storytime at schools, and all this is about getting you to unnatural things.
[25:35.620 --> 25:39.940]  Can a big fat man dress like it the clown, come and have your daughters and sons sit on
[25:39.940 --> 25:46.180]  their lap while they hump them. And if you'll let a big fat goblin man hump your child
[25:46.180 --> 25:50.500]  at drag queen storytime, you'll let them do anything they want.
[25:52.740 --> 25:56.820]  So it's about, oh, be so loving you have no instincts. You have no common sense.
[25:56.820 --> 26:02.740]  Go talk to the man at the park in the white van. Get in the back. Hell, they have that in
[26:02.740 --> 26:07.700]  school at elementary schools, books turned out nationwide, sitting in England teaching
[26:07.700 --> 26:11.940]  seven-year-old boys, if a man comes to the park and takes you to the bathroom
[26:11.940 --> 26:16.180]  and pulls your pants down and starts and they say what they do to the kid, enjoy it.
[26:17.060 --> 26:20.980]  That's public schools, teacher seven-year-olds to be kidnapped and murdered.
[26:20.980 --> 26:29.140]  Because the whole thing is about murdering you. They're going to murder you. Comprende?
[26:31.060 --> 26:35.860]  So we've let it all out. I don't know if it's aliens that run it, but I know in the ancient,
[26:35.860 --> 26:40.660]  every ancient text it said, entities come and they demand children be sacrificed under the
[26:40.660 --> 26:46.660]  Babylonians, under the Egyptians, under the Mesoamericans, the Aztecs, the Toltecs, under the
[26:46.660 --> 26:52.740]  Druids, every culture, built pyramids and sacrificed children to what they called snake gods.
[26:54.820 --> 26:58.500]  And now they've got all these shows about not just kids having sex with kids when they're eight
[26:58.500 --> 27:04.500]  years old, now it's about having sex with animals and sex with clones and sex with demons.
[27:05.620 --> 27:10.660]  And it's all just meant to make it look hideous and strange and weird to get you confused so
[27:10.660 --> 27:14.980]  that when you start seeing all these horrors and all this death, you'll conform. Remember what I
[27:14.980 --> 27:21.620]  told you? Three years ago I got invited to the Sundance Film Festival and I didn't have time to
[27:21.620 --> 27:26.740]  go so I sent an associate, smart guy, and he said none of them knew why they were being told to do
[27:26.740 --> 27:31.300]  it, but everyone said in the next few years everything's got to be destroyed, everything's
[27:31.300 --> 27:37.620]  got to be ugly and confusing, it's like we're trying to make everyone commit suicide. And now
[27:37.620 --> 27:41.940]  you see the Netflix shows, that's exactly what it is, every deity that demanded human sacrifice,
[27:41.940 --> 27:45.940]  that demanded death, and the UN set in the 60s, once they launched their takeover plan,
[27:45.940 --> 27:50.260]  they would reinstate human sacrifice. It's called partial birth abortion.
[27:51.220 --> 27:54.740]  We come back, I'll give you the rest of the story straight ahead, but they're making their move on
