[00:00.000 --> 00:07.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[04:06.000 --> 04:11.000]  but I couldn't talk about it. And then Ventura went ahead and said on air that for those that want to know,
[04:11.000 --> 04:20.000]  I'm going to be a bigger, even bigger part as a consultant and in the production and probably one of the main reporters in the new season of True TV.
[04:20.000 --> 04:26.000]  But they don't start production on that until the summer. So that's very, very exciting. This groundbreaking work continues.
[04:26.000 --> 04:36.000]  And that this information is becoming so mainstream that now I'm going to get even bigger role with Governor Ventura in his television program,
[04:36.000 --> 04:44.000]  his hit television program that is the first ever on national television really exposing in a fair manner the New World Order from our perspective.
[04:44.000 --> 04:51.000]  Okay, I'm going to launch into all the news straight ahead after this quick break, ladies and gentlemen. Stay with us.
[05:15.000 --> 05:22.000]  For example, with each pre production order of three seven day responders, they'll ship a fourth week of food free.
[05:22.000 --> 05:27.000]  That's buy three, get one free. They'll take orders from now until March 22nd.
[05:27.000 --> 05:35.000]  The following week, they'll produce huge runs of the pre ordered food passing the savings to you in this buy three, get one free program.
[05:35.000 --> 05:38.000]  Folks, this is the best chance to stock up you'll ever see.
[05:38.000 --> 05:48.000]  Another example by nine months worth of food and get three months free. You've got to go to eFoodsDirect.com slash Alex for the food buy of a lifetime.
[05:48.000 --> 06:09.000]  Or call 800-409-5633 go to eFoodsDirect.com slash Alex or 800-409-5633.
[06:19.000 --> 06:32.000]  Thank you for joining us on this Sunday edition. We are live the 14th day of March 2010 and to be here for the next two hours.
[06:32.000 --> 06:40.000]  Okay, I'm going to get into a big stack of nanny state news from not just the United States, but around the world.
[06:40.000 --> 06:57.000]  The same private corporate interest worldwide are lobbying governments to basically turn the planet into a prison and to micromanage and control every facet of our lives to literally completely domesticate us.
[06:57.000 --> 07:03.000]  I want to get into that stack of news, a lot of economic news as well today.
[07:03.000 --> 07:10.000]  But the first story I want to get into is from thebostonchannel.com.
[07:10.000 --> 07:18.000]  Team five investigates after Amesbury pulls sodium fluoride from the water supply.
[07:18.000 --> 07:35.000]  More than 70% of US cities and towns have sodium fluoride added and in 2000, in 2006, and we've had the head of the EPA's Union on who's a top toxicologist.
[07:35.000 --> 07:49.000]  Over 90% of their toxicologist and scientist have sent open letters to their bosses and to the Congress saying take fluoride out of the water.
[07:49.000 --> 07:52.000]  Number one, sodium fluoride is deadly poison.
[07:52.000 --> 08:06.000]  Number two, under the catch-all term sodium fluoride, they are adding over 150 on average, sometimes over 300, but most cities, 150 deadly chemicals.
[08:06.000 --> 08:18.000]  It is the toxic waste of nuclear weapons, uranium purification, aluminum production, and of course, fertilizer production, mercury, lead, arsenic.
[08:18.000 --> 08:25.000]  And they take this toxic waste at big companies. This is such a sick joke. It's going to be the biggest hoax in history.
[08:25.000 --> 08:39.000]  And in the 40s, when they were producing nuclear weapons secretly in Tennessee, this is all declassified, they began dumping the fluoride byproduct in the streams and rivers.
[08:39.000 --> 08:44.000]  And so they put out a report in the late 40s saying let's just put this in the water supply.
[08:44.000 --> 08:59.000]  And if you read mainline history books about communist Russia and about Nazi Germany, it was first the Russians by the 20s had learned that if they added sodium fluoride and its different cofactors,
[08:59.000 --> 09:05.000]  or different variants, different varieties they put in, that it is a toxic sedative.
[09:05.000 --> 09:09.000]  It also reduces fertility and attacks the entire body.
[09:09.000 --> 09:21.000]  Now, this is not my opinion. Kurt Nemo has written an article at infowars.com that has links to the federal government, to the EPA, to Austrian university research,
[09:21.000 --> 09:33.000]  just to major scientific reports. It has an entire the National Research Council, the Journal of Toxicology and Environmental Health, Agriculture Research Services.
[09:33.000 --> 09:43.000]  So everything I'm telling you here is on record. And you can go read how it attacks your bones and more than doubles bone cancer.
[09:43.000 --> 09:49.000]  It's even higher if you just look at men, but overall, averaging men and women together, a doubling of bone cancer.
[09:49.000 --> 10:02.000]  It attacks the bone marrow and the very important white blood cell production and stem cell production.
[10:02.000 --> 10:08.000]  It accelerates the aging process. It attacks the thyroid. It attacks the hypothalamus.
[10:08.000 --> 10:12.000]  And some will say, well, if this fluoride is so bad, why does the news say we're living longer?
[10:12.000 --> 10:20.000]  Well, the United States is listed as 25th in the world for longevity, right beside Libya and others.
[10:20.000 --> 10:28.000]  But the bigger issue here is we live less extended lives than we did 100 years ago.
[10:28.000 --> 10:35.000]  Oh, yes, let me explain how they cook the numbers. There's one area where Americans live longer.
[10:35.000 --> 10:40.000]  If you ever go out to an old cemetery, we've got an old family cemetery with 150 year old graves in it.
[10:40.000 --> 10:46.000]  And you'll notice that more than half the graves are five years old or younger.
[10:46.000 --> 10:59.000]  Yes, most families lost children, different statistics from different decades, but as much as a third or more of children never made it past age five.
[10:59.000 --> 11:03.000]  And you've had high infant mortality and a lot of women died giving births.
[11:03.000 --> 11:10.000]  You go to a graveyard, it's full of 16 and 18 and 20 and 22 year old women who died during childbirth.
[11:10.000 --> 11:13.000]  And a lot of times they're buried right next to their dead baby.
[11:13.000 --> 11:18.000]  So if you made it past the age of 10, and there's different statistics on this,
[11:18.000 --> 11:26.000]  but on average past the age of 10, you would live into your 80s, not to the average of what's 74 in the U.S.
[11:26.000 --> 11:34.000]  So we actually live, even though we have better food and supposed better medicine, we live a lot less longer than our ancestors did.
[11:34.000 --> 11:39.000]  Because you're going to see this hoax number put out everywhere that, well, we're living longer.
[11:39.000 --> 11:46.000]  No, we're not. We are not living longer. And we're way behind every other industrialized country.
[11:46.000 --> 11:56.000]  And because of better nutrition and a lot of good things that mainline, you know, classic western medicine provides,
[11:56.000 --> 12:00.000]  you don't die of gangrene from a broken leg or a bullet wound.
[12:00.000 --> 12:02.000]  So there's a lot of great things.
[12:02.000 --> 12:11.000]  And the establishment knows we'd be living to 120 with all of these advances if they weren't poisoning the water supply and the food.
[12:11.000 --> 12:18.000]  And this is on record. I have the White House science, our John P. Holdren writing a big textbook about drugging the water and the food.
[12:18.000 --> 12:23.000]  We have all these globalist statements about how they want to do this. It is going on.
[12:23.000 --> 12:31.000]  And ladies and gentlemen, I know you are all taught that only cooks say that fluoride isn't good for you.
[12:31.000 --> 12:36.000]  But if you'll just go to infowars.com and read this one article by Kurt Nemo,
[12:36.000 --> 12:42.000]  full of links to mainline universities and government research and even the EPA.
[12:42.000 --> 12:46.000]  Over 90% of the EPA's own scientists say, take it out. What are you doing?
[12:46.000 --> 12:51.000]  Even the American Dental Association five years ago said don't have kids take fluoride pills
[12:51.000 --> 12:57.000]  or brush their teeth with fluoride toothpaste until age six because of dental fluorosis and it weakens the teeth.
[12:57.000 --> 12:59.000]  It does not make them stronger.
[12:59.000 --> 13:05.000]  Don't believe me. Just search into the term sodium fluoride or fluoridation of water cancer.
[13:05.000 --> 13:08.000]  You'll get hundreds of mainstream news articles.
[13:08.000 --> 13:15.000]  This is an absolute fact. And the Russians and the Nazis learned to put this in the camp slaves water.
[13:15.000 --> 13:19.000]  There's a reason it seems like the average American is in a trance.
[13:19.000 --> 13:24.000]  You have been hit with a chemical weapon. This is an absolute fact.
[13:24.000 --> 13:30.000]  Now on screen, this is not just a radio show. If you go over to prisonplanet.tv, you can watch us live.
[13:30.000 --> 13:36.000]  On screen, we have the infowars.com article, but anybody can go to infowars and read this article.
[13:36.000 --> 13:42.000]  Story on mystery substance distracts from fact that fluoride is a deadly killer.
[13:42.000 --> 13:53.000]  Now, this team five news out of Boston talking about one of its suburbs that it hasn't been fluoridating in the last year.
[13:53.000 --> 14:08.000]  Talks about how whatever is in the fluoride that we're buying from China to put in our water is clogging up the machines and broke the machines.
[14:08.000 --> 14:14.000]  But this is what the city contract is. And so they aren't using it because it broke the machine.
[14:14.000 --> 14:24.000]  And it shows how of every bucket of the poison they put in, in the drainage system, in the filters, about a third of it is still there.
[14:24.000 --> 14:30.000]  And the city won't pay to have it tested for what it is. We know what it is.
[14:30.000 --> 14:37.000]  Okay, the top EPA scientists are on record. It is over 150 chemicals on average.
[14:37.000 --> 14:48.000]  When you hear the word fluoridation, that is a catch all for hundreds of toxic waste chemicals that by law are authorized to be added to your water.
[14:48.000 --> 14:58.000]  Okay, that's why what a few years ago, the top dentist who over a decade ago did the national campaign to get Canada's water Florida.
[14:58.000 --> 15:06.000]  We had him on a few years ago. He then found out, my God, this isn't calcium fluoride that actually is good for you and good for your teeth, a little bit of it.
[15:06.000 --> 15:14.000]  This is sodium fluoride and other sub molecules of it and hundreds of other chemicals.
[15:14.000 --> 15:18.000]  It's 150 on average, some water systems over 300.
[15:18.000 --> 15:25.000]  We got a tour of the Austin water treatment plant what six months ago, they wouldn't let us videotape.
[15:25.000 --> 15:32.000]  And it showed where when they dump the fluoride in it, it eats holes in the concrete if any of it dribbles out.
[15:32.000 --> 15:41.000]  And they gave us the paperwork that over a million dollars a year is what Austin pays for bags of toxic waste.
[15:41.000 --> 15:45.000]  Now, here's the issue. The media is freaking out about the mystery substance.
[15:45.000 --> 15:52.000]  But on the newscast, they show the bags of fluoride and it says deadly poison attacks all the organs will kill you.
[15:52.000 --> 15:59.000]  So there it says deadly poison and they're dumping in the water. We'll be right back.
[15:59.000 --> 16:06.000]  When you're out on the road, the last place you want to be is on the road.
[16:06.000 --> 16:12.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[16:12.000 --> 16:20.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[16:20.000 --> 16:29.000]  They so pride in every stitch, guarantee you love the way they fit.
[16:29.000 --> 16:34.000]  They put a diamond gusset in the crotch where you need it most.
[16:34.000 --> 16:39.000]  Blue diamond gussets got it, others don't.
[16:39.000 --> 16:46.000]  We turned jeans inside out, diamond gusset jeans, made in the USA with unparalleled quality.
[16:46.000 --> 16:52.000]  Your motorcycle jeans combine gusset comfort with Kevlar protection so you could ride all day with confidence.
[16:52.000 --> 17:00.000]  Order yours at gusset.com. Diamond gusset jeans got it, others don't.
[17:00.000 --> 17:05.000]  Hundreds of nations have fallen to tyranny in the last century alone.
[17:05.000 --> 17:08.000]  This is our last chance to not relive history.
[17:08.000 --> 17:13.000]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[17:13.000 --> 17:19.000]  They've turned tremendous influence on our president and Congress, and they really are calling the shots.
[17:19.000 --> 17:24.000]  I think it's incumbent upon all of us as American citizens to pay attention.
[17:24.000 --> 17:27.000]  Fall of the Republic identifies the enemies of our nation.
[17:27.000 --> 17:34.000]  The criminal offshore cartel hell bent on destroying sovereignty and on its ashes constructing world government.
[17:34.000 --> 17:38.000]  Tim Geithner, Bernanke, they're arsonists. They're asking for more matches.
[17:38.000 --> 17:41.000]  And the Congress is saying, who do we make the checkout to?
[17:41.000 --> 17:43.000]  Today seems like nobody does care.
[17:43.000 --> 17:48.000]  And right now in Washington DC, we have seen a fall of the Republic.
[17:48.000 --> 17:53.000]  Get your copy of Fall of the Republic on DVD at infowars.com.
[17:53.000 --> 18:12.000]  We're watching online right now in super high quality at prisonplanet.tv.
[18:23.000 --> 18:30.000]  We've introduced nano silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[18:30.000 --> 18:40.000]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the silver lungs generator.
[18:40.000 --> 18:45.000]  Very easy to follow step by step instructions are provided, making production fast and simple.
[18:45.000 --> 18:53.000]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the silver lungs generator.
[18:53.000 --> 18:59.000]  That's www.silverlungs.com
[18:59.000 --> 19:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[19:04.000 --> 19:08.000]  Number one, new climate legislation could easily double or triple your electric bill.
[19:08.000 --> 19:14.000]  Number two, our new energies are wants to control how much power your electric company allows you to have.
[19:14.000 --> 19:19.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[19:19.000 --> 19:28.000]  Number three, in some areas of the country, the power grid is dangerously overloaded and now new socialist legislation is only compounding the problem.
[19:28.000 --> 19:31.000]  Number four, dangerous weather is always a threat to local grids.
[19:31.000 --> 19:35.000]  Every year, thousands of families lose their power from weather related onages.
[19:35.000 --> 19:40.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[19:40.000 --> 19:45.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[19:45.000 --> 19:51.000]  You can get more information at www.mysolarbackup.com. That's mysolarbackup.com.
[19:51.000 --> 20:00.000]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[20:00.000 --> 20:04.000]  Coast to coast, direct from Austin.
[20:04.000 --> 20:11.000]  You're listening to the Alex Jones Broadcasting Network.
[20:11.000 --> 20:28.000]  Okay, up on screen for prisonplanet.tv viewers, you can see this screenshot from the Boston TV station.
[20:28.000 --> 20:32.000]  We'll put it back up on screen again.
[20:32.000 --> 20:39.000]  And it says, sodium fluoride, danger, poison, toxic bi-ingestion, target organs.
[20:39.000 --> 20:42.000]  This is what it's targeting.
[20:42.000 --> 20:48.000]  Heart, kidneys, bones, central nervous system, gastrointestinal system, teeth.
[20:48.000 --> 20:58.000]  Do not get in eyes. Do not ingest. Do not inhale. Use proper respiration.
[20:58.000 --> 21:06.000]  A screenshot capture from the WCVB TV report reveals fluoride added to drinking water is a deadly toxin.
[21:06.000 --> 21:08.000]  So what's the issue here?
[21:08.000 --> 21:12.000]  This isn't just about fluoride. It's about mind control and propaganda.
[21:12.000 --> 21:17.000]  Here's a newscast where they're saying, we're so worried, you know, for the last year or so,
[21:17.000 --> 21:23.000]  we haven't been putting fluoride in your water because we're ordered to buy this fluoride from China,
[21:23.000 --> 21:29.000]  and it's something else is in it. It's clogging all the machines. Look at all this gook.
[21:29.000 --> 21:36.000]  Look at all this garbage. Look at all this sludge. We need to get the fluoride to the children.
[21:36.000 --> 21:38.000]  We need to make sure people read it.
[21:38.000 --> 21:41.000]  And then they show at the water treatment plant the bags.
[21:41.000 --> 21:45.000]  And we saw these same bags in Austin. They wouldn't let us videotape it.
[21:45.000 --> 21:51.000]  I'm going to have to get like a four-year request or order it or something because people need to see this.
[21:51.000 --> 21:56.000]  So on the bag, it says deadly poison targets the organs. Absolutely devastating.
[21:56.000 --> 22:00.000]  And then they'll say, well, there's only one to three parts per million.
[22:00.000 --> 22:09.000]  Well, studies show that that causes a 10 IQ point reduction if it's drunk for just five years by an adolescent.
[22:09.000 --> 22:15.000]  And see, it builds up nothing according to the toxicologist, neurologist, and scientist we've had on here.
[22:15.000 --> 22:21.000]  Medical doctors and researchers. Nothing builds up worse in the body than fluoride.
[22:21.000 --> 22:24.000]  It's one of the smallest particles on the periodic table.
[22:24.000 --> 22:29.000]  It is just absolutely tiny and deadly poison.
[22:29.000 --> 22:33.000]  But the whole newscast is about, oh my gosh, there's something else in it.
[22:33.000 --> 22:39.000]  And after we heard about melamine in China, after we heard about lead in the toys and all these poisons in the jewelry,
[22:39.000 --> 22:42.000]  you know, we don't know what the Chinese are doing.
[22:42.000 --> 22:48.000]  Well, Austin buys its fluoride from a company in Florida, hundreds of chemicals in it.
[22:48.000 --> 22:52.000]  Hundreds, hundreds of other deadly chemicals, not just fluoride.
[22:52.000 --> 22:55.000]  So I want to play this newscast for everybody out there.
[22:55.000 --> 22:59.000]  And I want to explain something to you, even if you drink bottled water or filtered water.
[22:59.000 --> 23:06.000]  You absorb it when you breathe it in the shower or bath, and the biggest organ in the body is the skin, the skin.
[23:06.000 --> 23:14.000]  And this is so deadly, and it is in one particular book on World War II, a Pulitzer Prize-winning book that we have linked in this article,
[23:14.000 --> 23:19.000]  where the Nazis, when they were friends with Stalin, when they split up Poland together,
[23:19.000 --> 23:24.000]  learned of this, I.G. Farben did, from the Russians.
[23:24.000 --> 23:29.000]  And Stalin was putting this in their labor camp workers' water.
[23:29.000 --> 23:36.000]  Alexander Solzhenitsyn, who spent, what, six years in a forced labor camp, wrote about this.
[23:36.000 --> 23:44.000]  They put in your water what the Communist Russians and the Nazi Germans put in slave and death camp water supplies.
[23:44.000 --> 23:49.000]  Now, I have John P. Holdren, Eco Science book, where he says,
[23:49.000 --> 23:53.000]  we want to put stuff in the water supply to reduce your fertility.
[23:53.000 --> 23:55.000]  And what does fluoride do?
[23:55.000 --> 23:57.000]  It reduces fertility.
[23:57.000 --> 24:00.000]  It makes you passive. It attacks your bones.
[24:00.000 --> 24:03.000]  Let's go ahead and play the short newscast so we can analyze it.
[24:03.000 --> 24:06.000]  Here it is from Massachusetts.
[24:06.000 --> 24:09.000]  The water in Amesbury is supposed to have fluoride in it,
[24:09.000 --> 24:14.000]  but Rob Demaris has been concerned for years about what's in the supply he gets from China.
[24:14.000 --> 24:20.000]  The residue you see here is what won't dissolve when he puts the fluoride powder in the water.
[24:20.000 --> 24:21.000]  What is that?
[24:21.000 --> 24:22.000]  We don't know.
[24:22.000 --> 24:23.000]  You have no idea what's in there?
[24:23.000 --> 24:26.000]  I don't know what it is. It's not soluble.
[24:26.000 --> 24:31.000]  It doesn't appear to be sodium fluoride, so we're not quite sure what it is.
[24:31.000 --> 24:36.000]  Demaris says the residue clogs his machines and makes it difficult to get a consistent mix.
[24:36.000 --> 24:40.000]  For almost a year, these fluoride pumps in Amesbury have been off,
[24:40.000 --> 24:45.000]  and the water department says they'll stay off until they can figure out what's in the fluoride.
[24:45.000 --> 24:53.000]  The Department of Public Health says more than 650,000 customers in 44 communities are getting the product in question,
[24:53.000 --> 24:56.000]  and only Amesbury has temporarily stopped using it.
[24:56.000 --> 24:59.000]  But despite those concerns, we want to be clear.
[24:59.000 --> 25:05.000]  Both state and federal health officials tell Team Five Investigates Chinese fluoride is safe.
[25:05.000 --> 25:08.000]  The New York company, which supplies the fluoride in question,
[25:08.000 --> 25:14.000]  says it is certified by the National Sanitation Foundation, which assures the quality of the product.
[25:14.000 --> 25:19.000]  And despite a thousand complaints, the Centers for Disease Control also says it's safe,
[25:19.000 --> 25:24.000]  although testing continues to determine the precise composition of the residue.
[25:24.000 --> 25:27.000]  They should test it to make sure that what they're putting in is safe for us to drink.
[25:27.000 --> 25:32.000]  Paul Stewart lives in Newburyport and believes he has a right to know exactly what's in his water.
[25:32.000 --> 25:36.000]  On the same day that I read the story about the fluoride coming from China,
[25:36.000 --> 25:41.000]  I also read stories about the melamine that was being contaminated in the milk products coming from China,
[25:41.000 --> 25:45.000]  that, you know, Abercrombie and Fitch actually pulled some of their jewelry off the shelves
[25:45.000 --> 25:49.000]  because it was contaminated with cadmium coming from China.
[25:49.000 --> 25:52.000]  And then we had another story about more lead and kid's toys coming from China.
[25:52.000 --> 25:57.000]  Since 2007, most of the sodium fluoride has also been imported from China
[25:57.000 --> 26:00.000]  because it's the least expensive on the market.
[26:00.000 --> 26:04.000]  I don't think that when it comes to something that I ingest every day, the lowest bidder is good enough.
[26:04.000 --> 26:07.000]  I'd like to be able to add it in, you know, worry-free.
[26:07.000 --> 26:10.000]  For Team Five Investigates, I'm Kelly Tatel.
[26:10.000 --> 26:18.000]  Okay, now that is mind control. They show the bags that say deadly poison attacks every organ,
[26:18.000 --> 26:23.000]  attacks your bones, fluoride.
[26:23.000 --> 26:26.000]  And of course, the federal government certifies it.
[26:26.000 --> 26:29.000]  They allow over 300 chemicals to be added.
[26:29.000 --> 26:31.000]  Most companies put 150 in.
[26:31.000 --> 26:33.000]  And that's the sick joke.
[26:33.000 --> 26:37.000]  Austin pays 1.2 million.
[26:37.000 --> 26:40.000]  I've shown the paperwork here on air six months ago when we got the tour.
[26:40.000 --> 26:42.000]  And the name of the company.
[26:42.000 --> 26:47.000]  The particular company Austin buys it from in Florida is where they mine limestone and crush it up.
[26:47.000 --> 26:51.000]  And in the limestone are the chemicals that they need for fertilizer.
[26:51.000 --> 26:57.000]  But then they have all this poison byproduct that by law you can't put in crop fertilizer.
[26:57.000 --> 27:00.000]  And so they take out the poison and put it in your water.
[27:00.000 --> 27:03.000]  Here's something people will get and understand.
[27:03.000 --> 27:05.000]  Go to Home Depot.
[27:05.000 --> 27:10.000]  And if you buy fertilizer for food plants, tomato plants or whatever,
[27:10.000 --> 27:13.000]  it will not have all the toxic chemicals in it.
[27:13.000 --> 27:18.000]  But if it's lawn fertilizer, it will say do not use in agriculture, poison.
[27:18.000 --> 27:21.000]  But that runs off into our water and into our water table.
[27:21.000 --> 27:23.000]  And it's the same crud.
[27:23.000 --> 27:26.000]  And so they can't get rid of it and it brain damages us.
[27:26.000 --> 27:29.000]  And they'd have to store it or get rid of it.
[27:29.000 --> 27:32.000]  And so they say, okay, we'll just feed this to the American people.
[27:32.000 --> 27:34.000]  We will force medicate you.
[27:34.000 --> 27:38.000]  Now, even if it was good for your teeth, which the American Dental Association five years ago had to admit,
[27:38.000 --> 27:40.000]  no, that's not true.
[27:40.000 --> 27:43.000]  Fractures the teeth causes dental fluorescence.
[27:43.000 --> 27:45.000]  My dad's a dentist.
[27:45.000 --> 27:47.000]  I had to bring him the documents the last decade.
[27:47.000 --> 27:49.000]  He now agrees with me.
[27:49.000 --> 27:50.000]  He was never a bad guy.
[27:50.000 --> 27:53.000]  He just believed the system.
[27:53.000 --> 27:55.000]  Folks, you've got to look at this for yourself.
[27:55.000 --> 27:59.000]  You've got to find out what this is doing to you and your family.
[27:59.000 --> 28:01.000]  Don't you love your children?
[28:01.000 --> 28:03.000]  But let's say it was even good for us.
[28:03.000 --> 28:05.000]  Why is it forced medication?
[28:05.000 --> 28:07.000]  That is illegal on every front.
[28:07.000 --> 28:13.000]  It is illegal to put something in the water supply that they say is good for you and is a medication.
[28:13.000 --> 28:15.000]  But let's say it was good for your teeth, which it isn't.
[28:15.000 --> 28:20.000]  That's like saying, well, I want to put sunscreen on so I don't get too much sun.
[28:20.000 --> 28:23.000]  So I'm going to drink a big glass of sunscreen.
[28:23.000 --> 28:25.000]  It's supposedly for your teeth.
[28:25.000 --> 28:27.000]  Why don't you just brush your teeth?
[28:27.000 --> 28:29.000]  Oh, what's it say on the back of the toothpaste package?
[28:29.000 --> 28:31.000]  Look for yourself.
[28:31.000 --> 28:36.000]  If you ingest more than a piece of this, call poison control immediately.
[28:36.000 --> 28:42.000]  Ladies and gentlemen, long before I knew about fluoride being deadly, when I was a little kid,
[28:42.000 --> 28:44.000]  I'd get fluoride treatment or something.
[28:44.000 --> 28:46.000]  I'd get sick for days, have with headaches.
[28:46.000 --> 28:48.000]  They're poisoning all of us.
[28:48.000 --> 28:51.000]  We'll be back with Aaron Dykes.
[28:51.000 --> 28:54.000]  Because they're now adding it to your food as well.
[28:54.000 --> 28:59.000]  Chemical attack on you and your family.
[28:59.000 --> 29:02.000]  Hi, Alex has been encouraging you to get food.
[29:02.000 --> 29:08.000]  Well, here's an unbelievable chance for you to jumpstart your food savings plan from eFoodsDirect.com.
[29:08.000 --> 29:14.000]  Anyone placing food orders on the large volume production run scheduled for the week of March 22nd
[29:14.000 --> 29:17.000]  can get a lot of food for very little cost.
[29:17.000 --> 29:21.000]  For example, with each pre-production order of three seven-day responders,
[29:21.000 --> 29:23.000]  they'll ship a fourth week of food free.
[29:23.000 --> 29:25.000]  That's buy three, get one free.
[29:25.000 --> 29:28.000]  They'll take orders from now until March 22nd.
[29:28.000 --> 29:32.000]  The following week, they'll produce huge runs of the pre-ordered food,
[29:32.000 --> 29:36.000]  passing the savings to you in this buy three, get one free program.
[29:36.000 --> 29:39.000]  Folks, this is the best chance to stock up you'll ever see.
[29:39.000 --> 29:44.000]  Another example, buy nine months worth of food and get three months free.
[29:44.000 --> 29:49.000]  You've got to go to eFoodsDirect.com slash Alex for the food buy of a lifetime.
[29:49.000 --> 29:59.000]  Or call 800-409-5633. Go to eFoodsDirect.com slash Alex or 800-409-5633.
[29:59.000 --> 30:05.000]  One major world crisis away from having a totalitarian type of system.
[30:05.000 --> 30:08.000]  The main event is the wholesale destruction of the world economy.
[30:08.000 --> 30:13.000]  The push for every nation on the globe to identify and number all of its citizens.
[30:13.000 --> 30:18.000]  Friends, I hope that you will order Shadow Government from infowars.com.
[30:18.000 --> 30:21.000]  The specials where you get some of our other films have price.
[30:21.000 --> 30:26.000]  When you order Shadow Government, a new level in production quality and information
[30:26.000 --> 30:34.000]  exposes how a casual society surveillance beast grid of total control is being put into place.
[30:34.000 --> 30:37.000]  This film needs to be seen. Everybody needs to get it.
[30:37.000 --> 30:43.000]  So order yours today. Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[30:43.000 --> 30:47.000]  Shadow Government, ladies and gentlemen, get your copy at infowars.com today.
[30:47.000 --> 30:51.000]  Shadow Government, it gives big brother a black eye.
[30:51.000 --> 30:59.000]  Available at infowars.com or by calling toll-free 888-253-3139.
[30:59.000 --> 31:04.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
