[00:00.000 --> 00:27.860]  Little
[17:47.860 --> 18:15.860]  I don't want to talk and make things worse.
[18:15.860 --> 18:43.860]  I don't want to talk and make things worse.
[18:43.860 --> 19:07.860]  I don't want to talk and make things worse.
[19:13.860 --> 19:39.860]  I don't want to talk and make things worse.
[19:39.860 --> 20:05.860]  I don't want to talk and make things worse.
[20:05.860 --> 20:31.860]  I don't want to talk and make things worse.
[20:31.860 --> 20:59.860]  I don't want to talk and make things worse.
[20:59.860 --> 21:27.860]  I don't want to talk and make things worse.
[21:27.860 --> 21:55.860]  I don't want to talk and make things worse.
[21:55.860 --> 22:23.860]  I don't want to talk and make things worse.
[22:23.860 --> 22:51.860]  I don't want to talk and make things worse.
[22:51.860 --> 23:17.860]  I don't want to talk and make things worse.
[23:17.860 --> 23:43.860]  I don't want to talk and make things worse.
[23:43.860 --> 24:09.860]  I don't want to talk and make things worse.
[24:09.860 --> 24:35.860]  I don't want to talk and make things worse.
[24:35.860 --> 25:03.860]  I don't want to talk and make things worse.
[25:03.860 --> 25:31.860]  I don't want to talk and make things worse.
[25:31.860 --> 25:57.860]  I don't want to talk and make things worse.
[25:57.860 --> 26:23.860]  I don't want to talk and make things worse.
[26:23.860 --> 26:51.860]  I don't want to talk and make things worse.
[26:51.860 --> 27:17.860]  I don't want to talk and make things worse.
[27:17.860 --> 27:45.860]  I don't want to talk and make things worse.
[27:45.860 --> 28:13.860]  I don't want to talk and make things worse.
[28:13.860 --> 28:41.860]  I don't want to talk and make things worse.
[28:41.860 --> 29:09.860]  I don't want to talk and make things worse.
[29:09.860 --> 29:37.860]  I don't want to talk and make things worse.
[29:37.860 --> 30:03.860]  I don't want to talk and make things worse.
[30:03.860 --> 30:29.860]  I don't want to talk and make things worse.
[30:29.860 --> 30:57.860]  I don't want to talk and make things worse.
[30:57.860 --> 31:21.860]  I don't want to talk and make things worse.
[31:21.860 --> 31:49.860]  I don't want to talk and make things worse.
[31:49.860 --> 32:17.860]  I don't want to talk and make things worse.
[32:17.860 --> 32:39.860]  I don't want to talk and make things worse.
[32:39.860 --> 33:07.860]  I don't want to talk and make things worse.
[33:07.860 --> 33:35.860]  I don't want to talk and make things worse.
[33:35.860 --> 34:01.860]  I don't want to talk and make things worse.
[34:01.860 --> 34:29.860]  I don't want to talk and make things worse.
[34:29.860 --> 34:57.860]  I don't want to talk and make things worse.
[34:57.860 --> 35:25.860]  I don't want to talk and make things worse.
[35:25.860 --> 35:53.860]  I don't want to talk and make things worse.
[35:53.860 --> 36:21.860]  I don't want to talk and make things worse.
[36:21.860 --> 36:49.860]  I don't want to talk and make things worse.
[36:49.860 --> 37:11.860]  I don't want to talk and make things worse.
[37:11.860 --> 37:39.860]  I don't want to talk and make things worse.
[37:39.860 --> 38:07.860]  I don't want to talk and make things worse.
[38:07.860 --> 38:35.860]  I don't want to talk and make things worse.
[38:35.860 --> 39:03.860]  I don't want to talk and make things worse.
[39:03.860 --> 39:31.860]  I don't want to talk and make things worse.
[39:31.860 --> 39:59.860]  I don't want to talk and make things worse.
[39:59.860 --> 40:27.860]  I don't want to talk and make things worse.
[40:27.860 --> 40:55.860]  I don't want to talk and make things worse.
[40:55.860 --> 41:23.860]  I don't want to talk and make things worse.
[41:23.860 --> 41:51.860]  I don't want to talk and make things worse.
[41:51.860 --> 42:19.860]  I don't want to talk and make things worse.
[42:19.860 --> 42:47.860]  I don't want to talk and make things worse.
[42:47.860 --> 43:15.860]  I don't want to talk and make things worse.
[43:15.860 --> 43:43.860]  I don't want to talk and make things worse.
[43:43.860 --> 44:03.860]  I don't want to talk and make things worse.
[44:03.860 --> 44:31.860]  I don't want to talk and make things worse.
[44:31.860 --> 44:59.860]  I don't want to talk and make things worse.
[44:59.860 --> 45:27.860]  I don't want to talk and make things worse.
[45:27.860 --> 45:55.860]  I don't want to talk and make things worse.
[45:55.860 --> 46:21.860]  I don't want to talk and make things worse.
[46:21.860 --> 46:49.860]  I don't want to talk and make things worse.
[46:49.860 --> 47:17.860]  I don't want to talk and make things worse.
[47:17.860 --> 47:45.860]  I don't want to talk and make things worse.
[47:45.860 --> 48:13.860]  I don't want to talk and make things worse.
[48:13.860 --> 48:41.860]  I don't want to talk and make things worse.
[48:41.860 --> 49:09.860]  I don't want to talk and make things worse.
[49:09.860 --> 49:37.860]  I don't want to talk and make things worse.
[49:37.860 --> 50:05.860]  I don't want to talk and make things worse.
[50:05.860 --> 50:33.860]  I don't want to talk and make things worse.
[50:33.860 --> 51:01.860]  I don't want to talk and make things worse.
[51:01.860 --> 51:29.860]  I don't want to talk and make things worse.
[51:29.860 --> 51:57.860]  I don't want to talk and make things worse.
[51:57.860 --> 52:25.860]  I don't want to talk and make things worse.
[52:25.860 --> 52:53.860]  I don't want to talk and make things worse.
[52:53.860 --> 53:19.860]  I don't want to talk and make things worse.
[53:19.860 --> 53:47.860]  I don't want to talk and make things worse.
[53:47.860 --> 54:15.860]  I don't want to talk and make things worse.
[54:15.860 --> 54:43.860]  I don't want to talk and make things worse.
[54:43.860 --> 55:11.860]  I don't want to talk and make things worse.
[55:11.860 --> 55:39.860]  I don't want to talk and make things worse.
[55:39.860 --> 56:07.860]  I don't want to talk and make things worse.
[56:07.860 --> 56:35.860]  I don't want to talk and make things worse.
[56:35.860 --> 56:45.860]  I don't want to talk and make things worse.
[57:05.860 --> 57:33.860]  I don't want to talk and make things worse.
[57:33.860 --> 57:59.860]  I don't want to talk and make things worse.
[57:59.860 --> 58:23.860]  I don't want to talk and make things worse.
[58:23.860 --> 58:51.860]  I don't want to talk and make things worse.
[58:51.860 --> 59:19.860]  I don't want to talk and make things worse.
[59:19.860 --> 59:47.860]  I don't want to talk and make things worse.
[59:47.860 --> 1:00:15.860]  I don't want to talk and make things worse.
[1:00:15.860 --> 1:00:43.860]  I don't want to talk and make things worse.
[1:00:43.860 --> 1:01:11.860]  I don't want to talk and make things worse.
[1:01:11.860 --> 1:01:39.860]  I don't want to talk and make things worse.
[1:01:39.860 --> 1:02:07.860]  I don't want to talk and make things worse.
[1:02:07.860 --> 1:02:33.860]  I don't want to talk and make things worse.
[1:02:33.860 --> 1:02:55.860]  I don't want to talk and make things worse.
[1:02:55.860 --> 1:03:23.860]  I don't want to talk and make things worse.
[1:03:23.860 --> 1:03:51.860]  I don't want to talk and make things worse.
[1:03:51.860 --> 1:04:17.860]  I don't want to talk and make things worse.
[1:04:17.860 --> 1:04:45.860]  I don't want to talk and make things worse.
[1:04:45.860 --> 1:05:13.860]  I don't want to talk and make things worse.
[1:05:13.860 --> 1:05:41.860]  I don't want to talk and make things worse.
[1:05:41.860 --> 1:06:09.860]  I don't want to talk and make things worse.
[1:06:09.860 --> 1:06:37.860]  I don't want to talk and make things worse.
[1:06:37.860 --> 1:07:05.860]  I don't want to talk and make things worse.
[1:07:05.860 --> 1:07:33.860]  I don't want to talk and make things worse.
[1:07:33.860 --> 1:07:59.860]  I don't want to talk and make things worse.
[1:07:59.860 --> 1:08:27.860]  I don't want to talk and make things worse.
[1:08:27.860 --> 1:08:55.860]  I don't want to talk and make things worse.
[1:08:55.860 --> 1:09:23.860]  I don't want to talk and make things worse.
[1:09:23.860 --> 1:09:51.860]  I don't want to talk and make things worse.
[1:09:51.860 --> 1:10:19.860]  I don't want to talk and make things worse.
[1:10:19.860 --> 1:10:47.860]  I don't want to talk and make things worse.
[1:10:47.860 --> 1:11:15.860]  I don't want to talk and make things worse.
[1:11:15.860 --> 1:11:43.860]  I don't want to talk and make things worse.
[1:11:43.860 --> 1:12:11.860]  I don't want to talk and make things worse.
[1:12:11.860 --> 1:12:39.860]  I don't want to talk and make things worse.
[1:12:39.860 --> 1:13:07.860]  I don't want to talk and make things worse.
[1:13:07.860 --> 1:13:31.860]  I don't want to talk and make things worse.
[1:13:31.860 --> 1:13:55.860]  I don't want to talk and make things worse.
[1:13:55.860 --> 1:14:23.860]  I don't want to talk and make things worse.
[1:14:23.860 --> 1:14:51.860]  I don't want to talk and make things worse.
[1:14:51.860 --> 1:15:19.860]  I don't want to talk and make things worse.
[1:15:19.860 --> 1:15:47.860]  I don't want to talk and make things worse.
[1:15:47.860 --> 1:16:07.860]  I don't want to talk and make things worse.
[1:16:07.860 --> 1:16:35.860]  I don't want to talk and make things worse.
[1:16:35.860 --> 1:17:03.860]  I don't want to talk and make things worse.
[1:17:03.860 --> 1:17:31.860]  I don't want to talk and make things worse.
[1:17:31.860 --> 1:17:59.860]  I don't want to talk and make things worse.
[1:17:59.860 --> 1:18:27.860]  I don't want to talk and make things worse.
[1:18:27.860 --> 1:18:55.860]  I don't want to talk and make things worse.
[1:18:55.860 --> 1:19:23.860]  I don't want to talk and make things worse.
[1:19:23.860 --> 1:19:51.860]  I don't want to talk and make things worse.
[1:19:51.860 --> 1:20:19.860]  I don't want to talk and make things worse.
[1:20:19.860 --> 1:20:47.860]  I don't want to talk and make things worse.
[1:20:47.860 --> 1:21:15.860]  I don't want to talk and make things worse.
[1:21:15.860 --> 1:21:43.860]  I don't want to talk and make things worse.
[1:21:43.860 --> 1:22:11.860]  I don't want to talk and make things worse.
[1:22:11.860 --> 1:22:39.860]  I don't want to talk and make things worse.
[1:22:39.860 --> 1:23:07.860]  I don't want to talk and make things worse.
[1:23:07.860 --> 1:23:35.860]  I don't want to talk and make things worse.
[1:23:35.860 --> 1:24:03.860]  I don't want to talk and make things worse.
[1:24:03.860 --> 1:24:31.860]  I don't want to talk and make things worse.
[1:24:31.860 --> 1:24:55.860]  I don't want to talk and make things worse.
[1:24:55.860 --> 1:25:23.860]  I don't want to talk and make things worse.
[1:25:23.860 --> 1:25:45.860]  I don't want to talk and make things worse.
[1:25:45.860 --> 1:26:13.860]  I don't want to talk and make things worse.
[1:26:13.860 --> 1:26:41.860]  I don't want to talk and make things worse.
[1:26:41.860 --> 1:27:09.860]  I don't want to talk and make things worse.
[1:27:09.860 --> 1:27:35.860]  I don't want to talk and make things worse.
[1:27:35.860 --> 1:28:03.860]  I don't want to talk and make things worse.
[1:28:05.860 --> 1:28:29.860]  I don't want to talk.
[1:28:29.860 --> 1:28:57.860]  I don't want to talk and make things worse.
[1:28:57.860 --> 1:29:25.860]  I don't want to talk and make things worse.
[1:29:25.860 --> 1:29:53.860]  I don't want to talk and make things worse.
[1:29:53.860 --> 1:30:21.860]  I don't want to talk and make things worse.
[1:30:21.860 --> 1:30:47.860]  I don't want to talk and make things worse.
[1:30:47.860 --> 1:31:15.860]  I don't want to talk and make things worse.
[1:31:15.860 --> 1:31:43.860]  I don't want to talk and make things worse.
[1:31:43.860 --> 1:32:11.860]  I don't want to talk and make things worse.
[1:32:11.860 --> 1:32:39.860]  I don't want to talk and make things worse.
[1:32:39.860 --> 1:33:07.860]  I don't want to talk and make things worse.
[1:33:07.860 --> 1:33:35.860]  I don't want to talk and make things worse.
[1:33:35.860 --> 1:34:01.860]  I don't want to talk and make things worse.
[1:34:01.860 --> 1:34:29.860]  I don't want to talk and make things worse.
[1:34:29.860 --> 1:34:57.860]  I don't want to talk and make things worse.
[1:34:57.860 --> 1:35:25.860]  I don't want to talk and make things worse.
[1:35:25.860 --> 1:35:53.860]  I don't want to talk and make things worse.
[1:35:53.860 --> 1:36:21.860]  I don't want to talk and make things worse.
[1:36:21.860 --> 1:36:49.860]  I don't want to talk and make things worse.
[1:36:49.860 --> 1:37:17.860]  I don't want to talk and make things worse.
[1:37:17.860 --> 1:37:39.860]  I don't want to talk and make things worse.
[1:37:39.860 --> 1:38:07.860]  I don't want to talk and make things worse.
[1:38:07.860 --> 1:38:35.860]  I don't want to talk and make things worse.
[1:38:35.860 --> 1:39:03.860]  I don't want to talk and make things worse.
[1:39:03.860 --> 1:39:31.860]  I don't want to talk and make things worse.
[1:39:31.860 --> 1:39:53.860]  I don't want to talk and make things worse.
[1:40:01.860 --> 1:40:29.860]  I don't want to talk and make things worse.
[1:40:29.860 --> 1:40:55.860]  I don't want to talk and make things worse.
[1:40:55.860 --> 1:41:17.860]  I don't want to talk and make things worse.
[1:41:17.860 --> 1:41:45.860]  I don't want to talk and make things worse.
[1:41:45.860 --> 1:42:05.860]  I don't want to talk and make things worse.
[1:42:15.860 --> 1:42:43.860]  I don't want to talk and make things worse.
[1:42:43.860 --> 1:43:11.860]  I don't want to talk and make things worse.
[1:43:11.860 --> 1:43:33.860]  I don't want to talk and make things worse.
[1:43:33.860 --> 1:43:55.860]  I don't want to talk and make things worse.
[1:43:55.860 --> 1:44:21.860]  I don't want to talk.
[1:44:21.860 --> 1:44:45.860]  I don't want to talk and make things worse.
[1:44:45.860 --> 1:45:07.860]  I don't want to talk and make things worse.
[1:45:07.860 --> 1:45:33.860]  I don't want to talk and make things worse.
[1:45:33.860 --> 1:45:59.860]  I don't want to talk and make things worse.
[1:45:59.860 --> 1:46:25.860]  I don't want to talk and make things worse.
[1:46:25.860 --> 1:46:51.860]  I don't want to talk and make things worse.
[1:46:51.860 --> 1:47:19.860]  I don't want to talk and make things worse.
[1:47:19.860 --> 1:47:47.860]  I don't want to talk and make things worse.
[1:47:47.860 --> 1:48:15.860]  I don't want to talk and make things worse.
[1:48:15.860 --> 1:48:43.860]  I don't want to talk and make things worse.
[1:48:43.860 --> 1:49:11.860]  I don't want to talk and make things worse.
[1:49:11.860 --> 1:49:37.860]  I don't want to talk and make things worse.
[1:49:37.860 --> 1:50:03.860]  I don't want to talk and make things worse.
[1:50:03.860 --> 1:50:31.860]  I don't want to talk and make things worse.
[1:50:31.860 --> 1:50:57.860]  I don't want to talk and make things worse.
[1:50:57.860 --> 1:51:23.860]  I don't want to talk and make things worse.
[1:51:23.860 --> 1:51:51.860]  I don't want to talk and make things worse.
[1:51:51.860 --> 1:52:17.860]  I don't want to talk and make things worse.
[1:52:17.860 --> 1:52:41.860]  I don't want to talk and make things worse.
[1:52:41.860 --> 1:53:09.860]  I don't want to talk and make things worse.
[1:53:09.860 --> 1:53:37.860]  I don't want to talk and make things worse.
[1:53:37.860 --> 1:54:05.860]  I don't want to talk and make things worse.
[1:54:05.860 --> 1:54:33.860]  I don't want to talk and make things worse.
[1:54:33.860 --> 1:54:57.860]  I don't want to talk and make things worse.
[1:54:57.860 --> 1:55:25.860]  I don't want to talk and make things worse.
[1:55:25.860 --> 1:55:49.860]  I don't want to talk and make things worse.
[1:55:49.860 --> 1:56:17.860]  I don't want to talk and make things worse.
[1:56:17.860 --> 1:56:45.860]  I don't want to talk and make things worse.
[1:56:45.860 --> 1:57:13.860]  I don't want to talk and make things worse.
[1:57:13.860 --> 1:57:39.860]  I don't want to talk and make things worse.
[1:57:39.860 --> 1:58:07.860]  I don't want to talk and make things worse.
[1:58:07.860 --> 1:58:35.860]  I don't want to talk and make things worse.
[1:58:35.860 --> 1:59:03.860]  I don't want to talk and make things worse.
[1:59:03.860 --> 1:59:25.860]  I don't want to talk and make things worse.
[1:59:25.860 --> 1:59:51.860]  I don't want to talk and make things worse.
[1:59:51.860 --> 2:00:19.860]  I don't want to talk and make things worse.
[2:00:19.860 --> 2:00:47.860]  I don't want to talk and make things worse.
[2:00:47.860 --> 2:00:53.860]  I don't want to talk and make things worse.
[2:01:17.860 --> 2:01:43.860]  I don't want to talk and make things worse.
[2:01:43.860 --> 2:02:09.860]  I don't want to talk and make things worse.
[2:02:09.860 --> 2:02:37.860]  I don't want to talk and make things worse.
[2:02:37.860 --> 2:03:01.860]  I don't want to talk and make things worse.
[2:03:01.860 --> 2:03:21.860]  I don't want to talk and make things worse.
[2:03:21.860 --> 2:03:49.860]  I don't want to talk and make things worse.
[2:03:49.860 --> 2:04:13.860]  I don't want to talk and make things worse.
[2:04:13.860 --> 2:04:41.860]  I don't want to talk and make things worse.
[2:04:41.860 --> 2:05:03.860]  I don't want to talk and make things worse.
[2:05:03.860 --> 2:05:29.860]  I don't want to talk and make things worse.
[2:05:29.860 --> 2:05:55.860]  I don't want to talk and make things worse.
[2:05:55.860 --> 2:06:23.860]  I don't want to talk and make things worse.
[2:06:23.860 --> 2:06:51.860]  I don't want to talk and make things worse.
[2:06:51.860 --> 2:07:19.860]  I don't want to talk and make things worse.
[2:07:19.860 --> 2:07:47.860]  I don't want to talk and make things worse.
[2:07:47.860 --> 2:08:15.860]  I don't want to talk and make things worse.
[2:08:15.860 --> 2:08:41.860]  I don't want to talk and make things worse.
[2:08:41.860 --> 2:09:09.860]  I don't want to talk and make things worse.
[2:09:09.860 --> 2:09:37.860]  I don't want to talk and make things worse.
[2:09:37.860 --> 2:10:05.860]  I don't want to talk and make things worse.
[2:10:05.860 --> 2:10:33.860]  I don't want to talk and make things worse.
[2:10:33.860 --> 2:11:01.860]  I don't want to talk and make things worse.
[2:11:01.860 --> 2:11:29.860]  I don't want to talk and make things worse.
[2:11:29.860 --> 2:11:51.860]  I don't want to talk and make things worse.
[2:11:51.860 --> 2:12:19.860]  I don't want to talk and make things worse.
[2:12:19.860 --> 2:12:47.860]  I don't want to talk and make things worse.
[2:12:47.860 --> 2:13:15.860]  I don't want to talk and make things worse.
[2:13:15.860 --> 2:13:43.860]  I don't want to talk and make things worse.
[2:13:43.860 --> 2:14:11.860]  I don't want to talk and make things worse.
[2:14:11.860 --> 2:14:27.860]  I don't want to talk and make things worse.
[2:14:27.860 --> 2:14:53.860]  I don't want to talk and make things worse.
[2:14:53.860 --> 2:15:19.860]  I don't want to talk and make things worse.
[2:15:19.860 --> 2:15:47.860]  I don't want to talk and make things worse.
[2:15:47.860 --> 2:16:15.860]  I don't want to talk and make things worse.
[2:16:15.860 --> 2:16:43.860]  I don't want to talk and make things worse.
[2:16:43.860 --> 2:17:11.860]  I don't want to talk and make things worse.
[2:17:11.860 --> 2:17:39.860]  I don't want to talk and make things worse.
[2:17:39.860 --> 2:18:07.860]  I don't want to talk and make things worse.
[2:18:07.860 --> 2:18:35.860]  I don't want to talk and make things worse.
[2:18:35.860 --> 2:19:03.860]  I don't want to talk and make things worse.
[2:19:03.860 --> 2:19:31.860]  I don't want to talk and make things worse.
[2:19:31.860 --> 2:19:59.860]  I don't want to talk and make things worse.
[2:19:59.860 --> 2:20:21.860]  I don't want to talk and make things worse.
[2:20:21.860 --> 2:20:49.860]  I don't want to talk and make things worse.
[2:20:49.860 --> 2:21:17.860]  I don't want to talk and make things worse.
[2:21:17.860 --> 2:21:45.860]  I don't want to talk and make things worse.
[2:21:45.860 --> 2:22:13.860]  I don't want to talk and make things worse.
[2:22:13.860 --> 2:22:41.860]  I don't want to talk and make things worse.
[2:22:41.860 --> 2:23:09.860]  I don't want to talk and make things worse.
[2:23:09.860 --> 2:23:37.860]  I don't want to talk and make things worse.
[2:23:37.860 --> 2:24:05.860]  I don't want to talk and make things worse.
[2:24:05.860 --> 2:24:33.860]  I don't want to talk and make things worse.
[2:24:33.860 --> 2:24:51.860]  I don't want to talk and make things worse.
[2:25:03.860 --> 2:25:31.860]  I don't want to talk and make things worse.
[2:25:31.860 --> 2:25:59.860]  I don't want to talk and make things worse.
[2:25:59.860 --> 2:26:27.860]  I don't want to talk and make things worse.
[2:26:27.860 --> 2:26:55.860]  I don't want to talk and make things worse.
[2:26:55.860 --> 2:27:21.860]  I don't want to talk and make things worse.
[2:27:21.860 --> 2:27:49.860]  I don't want to talk and make things worse.
[2:27:49.860 --> 2:28:17.860]  I don't want to talk and make things worse.
[2:28:17.860 --> 2:28:43.860]  I don't want to talk and make things worse.
[2:28:43.860 --> 2:29:11.860]  I don't want to talk and make things worse.
[2:29:11.860 --> 2:29:39.860]  I don't want to talk and make things worse.
[2:29:39.860 --> 2:30:07.860]  I don't want to talk and make things worse.
[2:30:07.860 --> 2:30:29.860]  I don't want to talk and make things worse.
[2:30:29.860 --> 2:30:57.860]  I don't want to talk and make things worse.
[2:30:57.860 --> 2:31:23.860]  I don't want to talk and make things worse.
[2:31:23.860 --> 2:31:49.860]  I don't want to talk and make things worse.
[2:31:49.860 --> 2:32:17.860]  I don't want to talk and make things worse.
[2:32:17.860 --> 2:32:45.860]  I don't want to talk and make things worse.
[2:32:45.860 --> 2:33:13.860]  I don't want to talk and make things worse.
[2:33:13.860 --> 2:33:41.860]  I don't want to talk and make things worse.
[2:33:41.860 --> 2:34:07.860]  I don't want to talk and make things worse.
[2:34:07.860 --> 2:34:35.860]  I don't want to talk and make things worse.
[2:34:35.860 --> 2:35:03.860]  I don't want to talk and make things worse.
[2:35:03.860 --> 2:35:31.860]  I don't want to talk and make things worse.
[2:35:31.860 --> 2:35:59.860]  I don't want to talk and make things worse.
[2:35:59.860 --> 2:36:27.860]  I don't want to talk and make things worse.
[2:36:27.860 --> 2:36:49.860]  I don't want to talk and make things worse.
[2:36:49.860 --> 2:37:17.860]  I don't want to talk and make things worse.
[2:37:17.860 --> 2:37:45.860]  I don't want to talk and make things worse.
[2:37:45.860 --> 2:38:13.860]  I don't want to talk and make things worse.
[2:38:13.860 --> 2:38:41.860]  I don't want to talk and make things worse.
[2:38:41.860 --> 2:39:09.860]  I don't want to talk and make things worse.
[2:39:09.860 --> 2:39:37.860]  I don't want to talk and make things worse.
[2:39:37.860 --> 2:40:05.860]  I don't want to talk and make things worse.
[2:40:05.860 --> 2:40:33.860]  I don't want to talk and make things worse.
[2:40:33.860 --> 2:41:01.860]  I don't want to talk and make things worse.
[2:41:01.860 --> 2:41:27.860]  I don't want to talk and make things worse.
[2:41:27.860 --> 2:41:55.860]  I don't want to talk and make things worse.
[2:41:55.860 --> 2:42:23.860]  I don't want to talk and make things worse.
[2:42:23.860 --> 2:42:51.860]  I don't want to talk and make things worse.
[2:42:51.860 --> 2:43:19.860]  I don't want to talk and make things worse.
[2:43:19.860 --> 2:43:47.860]  I don't want to talk and make things worse.
[2:43:47.860 --> 2:44:15.860]  I don't want to talk and make things worse.
[2:44:15.860 --> 2:44:43.860]  I don't want to talk and make things worse.
[2:44:43.860 --> 2:44:47.860]  I should have gotten to this major news story today from Reuters.
[2:44:47.860 --> 2:44:53.860]  Facebook and tech giants to target attacker, manifestos, far right, militias and database and it's the same thing.
[2:44:53.860 --> 2:45:07.860]  Oh, we're just targeting white supremacists.
[2:45:07.860 --> 2:45:10.860]  Excuse me.
[2:45:10.860 --> 2:45:14.860]  Guys, this is actually out of control now. I can't sit here.
[2:45:14.860 --> 2:45:18.860]  So we're going to have to adjust cameras. Good thing it's the last segment.
[2:45:18.860 --> 2:45:24.860]  Okay, guys, you got to play a clip or something. Just play something.
[2:45:24.860 --> 2:45:40.860]  Enough already. Get the hook. President Biden isn't fit to serve and everybody knows it.
[2:45:40.860 --> 2:45:46.860]  Thank you. Every time I hear that, I wonder when he's coming.
[2:45:46.860 --> 2:45:52.860]  The first time I walked downstairs and they played hail to the chief, I wonder where is he?
[2:45:52.860 --> 2:45:55.860]  Sometimes you can't even make out what he's saying.
[2:45:55.860 --> 2:46:01.860]  And what makes his wild claims and hopes, he now hopes we don't notice what he said.
[2:46:01.860 --> 2:46:09.860]  I won't remember. And when he does follow through or doesn't do, we follow through the exact opposite.
[2:46:09.860 --> 2:46:18.860]  We have a whole group of lawyers who are going out to every polling, every voter registration physician in the states.
[2:46:18.860 --> 2:46:25.860]  The idea that the Democrats or the Biden is hiding people and sucking the blood of children.
[2:46:25.860 --> 2:46:27.860]  No, I'm serious. That's...
