[00:00:17.014 --> 00:00:22.097]  May 31st, 2019.
[00:02:19.561 --> 00:02:24.363]  And when we come back, I'll give you the title of the video, but I'm going to have it reposted in fullwords.com.
[00:02:24.363 --> 00:02:26.904]  And it just goes with the famous song.
[00:02:26.904 --> 00:02:28.005]  They're coming to take me away.
[00:02:28.005 --> 00:02:29.346]  Ha ha hoo hee.
[00:02:29.346 --> 00:02:29.646]  Here it is.
[00:02:31.403 --> 00:02:32.364]  Warning!
[00:02:32.364 --> 00:02:39.407]  This broadcast contains subject matter that may offend liberal snowflakes.
[00:02:39.407 --> 00:02:41.588]  I don't give you permission to record me!
[00:02:41.588 --> 00:02:42.829]  You're on live right now!
[00:02:42.829 --> 00:02:44.070]  I don't give you permission!
[00:02:44.070 --> 00:02:51.774]  Remember when you ran away and I got on my knees and begged you not to leave because I go berserk?
[00:02:51.774 --> 00:03:00.018]  Well, you left me anyhow and then the days got worse and worse and now you see I've gone completely out of my mind!
[00:03:01.578 --> 00:03:03.960]  They're coming to take me away, ha-ha!
[00:03:03.960 --> 00:03:07.263]  They're coming to take me away, ho-ho, he-he, ha-ha!
[00:03:07.263 --> 00:03:17.533]  To the funny farm, where life is beautiful all the time, and I'll be happy to see those nice young men in their clean white coats, and they're coming to take me away, ha-ha!
[00:03:18.411 --> 00:03:19.191]  Come here!
[00:03:19.191 --> 00:03:20.232]  Do nothing!
[00:03:37.540 --> 00:03:39.841]  They're coming to take me away, ha-ha!
[00:03:39.841 --> 00:03:42.463]  They're coming to take me away, ho-ho, he-he, ha-ha!
[00:03:42.463 --> 00:03:53.189]  This is a happy home with trees and flowers and chirping birds and basket weavers who sit and smile and twiddle their thumbs and toes and they're coming to take me away, ha-ha!
[00:03:53.189 --> 00:03:55.470]  I'm gonna grow a magnificent pair of breasts!
[00:03:55.470 --> 00:04:02.694]  I cooked your food, I cleaned your house and this is how you pay me back for all my kind, unselfish, loving deeds!
[00:04:04.474 --> 00:04:12.417]  Well, you just wait, they'll find you yet, and when they do, they'll put you in the ASPCA, you mangy muck!
[00:04:12.417 --> 00:04:16.158]  They're coming to take me away, ha ha ha!
[00:04:16.158 --> 00:04:19.459]  They're coming to take me away, ho ho, hee hee, ha ha!
[00:04:19.459 --> 00:04:22.960]  To the funny farm, where life is beautiful all the time!
[00:04:22.960 --> 00:04:27.741]  And I'll be happy to see those nice young men in their clear white coats, and they're coming to take me away, ha ha ha!
[00:04:33.334 --> 00:04:34.517]  We're good.
[00:04:55.513 --> 00:04:59.695]  InfoWars, the most banned network in the world.
[00:04:59.695 --> 00:05:02.097]  They've not shut down our speech!
[00:05:02.097 --> 00:05:07.600]  We're at InfoWars.com and NewsWars.com, and we're defeating the leftist tyrants!
[00:05:07.600 --> 00:05:15.104]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air, it was so good to see you on the iTunes or on YouTube.
[00:05:15.104 --> 00:05:16.425]  Are you coming back?
[00:05:16.425 --> 00:05:17.566]  We're at InfoWars.com.
[00:05:18.186 --> 00:05:19.527]  We're at NewsWords.com.
[00:05:19.527 --> 00:05:21.789]  Paul Watson's launched his own Summit.News.
[00:05:21.789 --> 00:05:23.791]  We have our own videos, we have our own articles.
[00:05:23.791 --> 00:05:28.536]  They're trying to destroy us, but thanks to you and others having us on, InfoWars are still chugging along.
[00:05:28.536 --> 00:05:30.798]  So we're there, folks, tomorrow's news, today.
[00:05:30.798 --> 00:05:32.399]  InfoWars!
[00:05:32.399 --> 00:05:34.081]  Don't tell me!
[00:05:34.081 --> 00:05:34.421]  Woo!
[00:05:37.145 --> 00:05:39.926]  InfoWars.com, because that's a bunch of people out here.
[00:05:39.926 --> 00:05:41.747]  I'm talking about InfoWars.com.
[00:05:41.747 --> 00:05:44.349]  I'm at InfoWars.com and NewsWars.com.
[00:05:44.349 --> 00:05:46.690]  We knew this censorship was coming forever.
[00:05:46.690 --> 00:05:50.192]  We have our own video streams, our own audio streams, and it's all free to air.
[00:05:50.192 --> 00:05:52.933]  Anybody can use it, re-upload it, do whatever you want.
[00:05:52.933 --> 00:05:55.014]  People go to InfoWars.com and NewsWars.com.
[00:05:55.014 --> 00:05:56.295]  That's where they find it.
[00:05:56.295 --> 00:05:57.755]  You know, there's things called websites.
[00:05:57.755 --> 00:05:58.596]  You just go there.
[00:06:01.730 --> 00:06:03.672]  Breaking news out of Silicon Valley.
[00:06:03.672 --> 00:06:08.475]  Facebook has banned a number of prominent conspiracy theorists and alt-right figures.
[00:06:08.475 --> 00:06:12.178]  Facebook is purging several high-profile names from its platform.
[00:06:12.178 --> 00:06:16.261]  This may be one of the biggest and most impactful decisions Facebook has ever made.
[00:06:16.261 --> 00:06:19.404]  Facebook taking steps to enforce its hate speech policies.
[00:06:19.404 --> 00:06:26.629]  Alex Jones, Milo Yiannopoulos, Paul Joseph Watson, Louis Farrakhan, Laura Loomer, all of them were designated dangerous.
[00:06:26.629 --> 00:06:27.170]  Dangerous.
[00:06:27.170 --> 00:06:27.750]  Dangerous.
[00:06:27.750 --> 00:06:28.271]  Dangerous.
[00:06:28.271 --> 00:06:29.411]  Dangerous people.
[00:06:29.411 --> 00:06:30.592]  Dangerous individuals.
[00:06:30.592 --> 00:06:31.493]  Dangerous individuals.
[00:06:31.753 --> 00:06:34.414]  Dangerous individuals and organizations.
[00:06:34.414 --> 00:06:37.116]  Basically, they've deemed these individuals to be dangerous.
[00:06:37.116 --> 00:06:38.816]  Danger, Will Robinson, danger!
[00:06:38.816 --> 00:06:39.977]  They call me dangerous.
[00:06:39.977 --> 00:06:41.598]  Danger's my middle name.
[00:06:41.598 --> 00:06:43.678]  Dangerous like hurting other people?
[00:06:43.678 --> 00:06:47.020]  Or dangerous as in saying things that Mark Zuckerberg doesn't like?
[00:06:47.020 --> 00:06:51.722]  This is about the total rollout for complete and total censorship.
[00:06:51.722 --> 00:06:53.383]  How dangerous is InfoWars?
[00:06:53.383 --> 00:06:57.985]  What is the difference at this point between Trump's Twitter feed and InfoWars.com?
[00:06:57.985 --> 00:07:00.506]  InfoWars tells viewers that the world is out to get them.
[00:07:00.686 --> 00:07:02.708]  None of this seems to repel President Trump.
[00:07:02.708 --> 00:07:05.451]  Infowars content is useful to him.
[00:07:05.451 --> 00:07:07.894]  Infowars personalities align with him.
[00:07:07.894 --> 00:07:08.975]  I want them shut down.
[00:07:08.975 --> 00:07:09.936]  I want them silenced.
[00:07:09.936 --> 00:07:10.656]  I want them muted.
[00:07:10.656 --> 00:07:12.779]  I think they are horrible for our society.
[00:07:12.779 --> 00:07:14.480]  I want them shut down!
[00:07:14.480 --> 00:07:15.702]  I want them silenced!
[00:07:15.702 --> 00:07:16.602]  I want them muted!
[00:07:16.602 --> 00:07:19.786]  Because these corporations are controlled by a liberal few.
[00:07:21.656 --> 00:07:39.457]  We're very focused on making sure that our recommendations and discovery surfaces aren't highlighting groups where people are repeatedly sharing misinformation or harmful content, and we're working hard to completely remove groups if they exist, primarily to violate our policies or do things that are dangerous.
[00:07:39.497 --> 00:07:40.518]  Screw your rules!
[00:07:40.518 --> 00:07:43.899]  Your rules go against our values, and they are patently un-American.
[00:07:43.899 --> 00:07:46.961]  Mark Zuckerberg is not simply censoring opinions.
[00:07:46.961 --> 00:07:51.163]  He's prescribing which political opinions you're allowed to have.
[00:07:51.163 --> 00:07:53.704]  We need a digital Bill of Rights.
[00:07:53.704 --> 00:07:57.606]  They're becoming the public square, and they control how we interact with each other.
[00:07:57.606 --> 00:08:04.630]  And if you think that you are going to throw up your hands and say, well, they're private companies, you are absolutely insane, and you are part of the problem.
[00:08:04.810 --> 00:08:05.951]  You are a bad person.
[00:08:05.951 --> 00:08:07.371]  You should be censored off the internet.
[00:08:07.371 --> 00:08:08.552]  Bad, yes!
[00:08:08.552 --> 00:08:09.812]  Get out of here, Alex!
[00:08:09.812 --> 00:08:14.314]  InfoWars might have been banned from Twitter, but it seems to have found a new home over at Trump's Twitter feed.
[00:08:14.314 --> 00:08:23.439]  President Trump's furious reaction to Facebook's action showcases that he is, I'm sorry to say, the InfoWars president.
[00:08:23.439 --> 00:08:29.021]  InfoWars, the most banned network in the world.
[00:08:29.021 --> 00:08:30.522]  How dangerous is InfoWars?
[00:08:32.816 --> 00:08:34.397]  How dangerous is America?
[00:08:34.397 --> 00:08:36.358]  How dangerous is freedom?
[00:08:36.358 --> 00:08:38.019]  How dangerous is free speech?
[00:08:38.019 --> 00:08:41.461]  Well, it's dangerous to tyrants.
[00:08:41.461 --> 00:08:58.032]  Yeah, they say that Waylon Jennings, and Willie Nelson, Chris Christopherson, and Johnny Cash were outlaw country music because they bucked Nashville.
[00:08:58.032 --> 00:08:59.513]  Why, they claim rock stars.
[00:09:01.385 --> 00:09:07.428]  Outlaw, because they got pyrotechnics at their concerts.
[00:09:07.428 --> 00:09:25.077]  But how outlaw is it when all you're doing is supporting your country, your republic, your freedoms against classical tyranny, and then in your own land, you're hunted, you're lied about, you're assaulted, you're demonized.
[00:09:25.077 --> 00:09:26.758]  I'm not a victim.
[00:09:26.758 --> 00:09:30.260]  I'm a target because I'm effective just like all of you are out there.
[00:09:31.701 --> 00:09:36.746]  And we're not laying down without a fight with the globalists.
[00:09:36.746 --> 00:09:42.371]  We're taking it to them with everything we've got.
[00:09:42.371 --> 00:09:47.456]  Let me tell you what's coming up today.
[00:09:47.456 --> 00:09:51.760]  A bunch of really important clips and yesterday's clips that I didn't get to.
[00:09:51.760 --> 00:09:54.783]  And then the huge news.
[00:09:57.216 --> 00:10:08.898]  Dealing with the collapse of blue cities, not just here, but all over the world, leftist and communist cities are descending into nightmare hell pits.
[00:10:08.898 --> 00:10:19.161]  And it's reaching crisis proportion on the fetid leftist controlled West Coast.
[00:10:19.161 --> 00:10:25.562]  Separately, even liberal publications are reporting exactly what we broke six years ago.
[00:10:27.196 --> 00:10:28.897]  BuzzFeed!
[00:10:28.897 --> 00:10:29.297]  U.S.
[00:10:29.297 --> 00:10:38.442]  universities and retirees are funding the technology behind China's surveillance state.
[00:10:38.442 --> 00:10:48.387]  What did I tell Sundar Pichai, the head of Google, six months ago to his face in Congress?
[00:10:48.387 --> 00:10:51.028]  In hearings, talking about me, lying about me.
[00:10:52.697 --> 00:10:59.680]  I didn't get to be in the hearing, I didn't get to, I'm sat in the hearing, I didn't get to be questioned, I didn't get to respond, I just got lied about.
[00:10:59.680 --> 00:11:03.321]  They've never done that in Congress until now.
[00:11:03.321 --> 00:11:12.084]  And I said, you're working with China, not just on Dragonfly, but other systems of surveillance and control, and you're exporting it back to the U.S.
[00:11:12.084 --> 00:11:16.206]  That of course was already known then, now it's all confirmed.
[00:11:16.206 --> 00:11:17.286]  That's a huge story.
[00:11:17.286 --> 00:11:19.947]  Then you've got all the leftist brainwashing.
[00:11:21.664 --> 00:11:26.567]  That's going on at lightning speed.
[00:11:26.567 --> 00:11:39.394]  If you look at what they did in Zimbabwe and South Africa, they would have reconciliation commissions where whites had to come in and say that they were bad people.
[00:11:39.394 --> 00:11:44.477]  Well, now that's being set up on universities here.
[00:11:44.477 --> 00:11:48.679]  And it's being exported into corporations and into government.
[00:11:49.775 --> 00:11:56.696]  Where you go into the meetings and you're told you're a horrible person and you agree that you're a horrible person.
[00:11:56.696 --> 00:12:07.539]  And that's why you see Joe Biden and Eric Swallowswell and Beto O'Rourke saying it's bad to be white.
[00:12:07.539 --> 00:12:09.479]  I apologize for being white.
[00:12:09.479 --> 00:12:10.859]  I'm a bad person.
[00:12:10.859 --> 00:12:12.140]  That's all coming up at the bottom of the hour.
[00:12:12.140 --> 00:12:14.140]  We're going to play some of those clips and then get into this.
[00:12:15.990 --> 00:12:22.834]  Group invites white women to voluntarily attend race-shaming dinners.
[00:12:22.834 --> 00:12:29.038]  That's up on newswars.com.
[00:12:29.038 --> 00:12:31.200]  Wrong on so many fronts.
[00:12:31.200 --> 00:12:36.943]  This is creating race war, creating division, creating mental illness.
[00:12:36.943 --> 00:12:43.448]  And where these leftist brainwashed universities, no matter what color they are, they can only identify with things through color.
[00:12:44.215 --> 00:12:48.236]  And so, we not grow yucca in New York?
[00:12:48.236 --> 00:12:50.057]  That's not how Cortez used to talk.
[00:12:50.057 --> 00:12:56.259]  But whenever she's talking to a group of black folks, she puts on a weird urban accent.
[00:12:56.259 --> 00:13:03.522]  And then when she's in front of a group of Hispanics, she starts going, like Rick Perry does when he speaks to a Hispanic Chamber of Commerce.
[00:13:03.522 --> 00:13:04.742]  He stops talking like Rick Perry.
[00:13:04.742 --> 00:13:08.903]  He starts going, how you do?
[00:13:08.903 --> 00:13:11.144]  Very condescending.
[00:13:11.144 --> 00:13:12.645]  But that's what leftists do, especially.
[00:13:13.407 --> 00:13:14.228]  They're famous for it.
[00:13:14.228 --> 00:13:15.068]  Remember Hillary?
[00:13:15.068 --> 00:13:19.391]  Gets up in front of people in Kentucky and she goes, how you doing today?
[00:13:19.391 --> 00:13:24.895]  Talking like granny about possum getting cooked up in the oven.
[00:13:24.895 --> 00:13:28.018]  Possum pie!
[00:13:28.018 --> 00:13:37.965]  And people thought it was satire when her defender went on Fox News and said, no, not only is cauliflower evil, corn is bad because it comes from Europe.
[00:13:39.008 --> 00:13:41.531]  It doesn't come from Europe, but so what if it did?
[00:13:41.531 --> 00:13:51.641]  This is the territorializing of everything by the left, where they're staking everything out and calling it racist.
[00:13:51.641 --> 00:13:58.088]  Martin Luther King is being removed all over the United States ecologists, because he wasn't leftist enough.
[00:14:00.936 --> 00:14:01.576]  You understand?
[00:14:01.576 --> 00:14:03.037]  He's the old face.
[00:14:03.037 --> 00:14:17.341]  So all the old FBI stuff's now being trotted out with no evidence against King, because King's now gonna be incinerated and removed, because he said, don't judge people by what color they are, but how they live and what they do and what they produce.
[00:14:17.341 --> 00:14:18.921]  Judge a tree by its fruits.
[00:14:18.921 --> 00:14:21.822]  He wasn't the first person to say, two plus two equals four.
[00:14:21.822 --> 00:14:26.744]  We're gonna get into all of that.
[00:14:26.744 --> 00:14:27.884]  But the first thing we're gonna hit
[00:14:29.127 --> 00:14:39.435]  When we come back, is medieval diseases are infecting California's homeless, now spreading to local citizens, school children, and police officers.
[00:14:39.435 --> 00:14:46.421]  California, the land of infectious disease, and it's not because of people being under vaccinated.
[00:14:46.421 --> 00:14:50.083]  It's the folks that have been vaccinated, the studies show, that are actually getting the sickest.
[00:14:50.083 --> 00:14:51.865]  Yeah, it removes your immune system.
[00:14:54.537 --> 00:14:55.598]  Dr. Drew says L.A.
[00:14:55.598 --> 00:14:57.339]  public health is a complete breakdown.
[00:14:57.339 --> 00:15:01.241]  No city on earth tolerates this.
[00:15:01.241 --> 00:15:06.004]  LAPD employee contracts typhoid.
[00:15:06.004 --> 00:15:07.525]  And it just gets worse.
[00:15:07.525 --> 00:15:09.145]  Seattle is dying.
[00:15:09.145 --> 00:15:10.206]  Portland is dying.
[00:15:10.206 --> 00:15:13.068]  And the left is celebrating.
[00:15:13.068 --> 00:15:19.391]  And I can play newscast where they celebrate men with jobs pooping on the street.
[00:15:19.391 --> 00:15:22.013]  And they've got liberal women going, it's Portland, do it!
[00:15:23.086 --> 00:15:25.648]  This is the mental illness.
[00:15:25.648 --> 00:15:27.570]  This is the demonic horde.
[00:15:27.570 --> 00:15:34.917]  You go to a Lepus event, this is who they are.
[00:15:34.917 --> 00:15:36.659]  It's all coming up, ladies and gentlemen.
[00:15:36.659 --> 00:15:40.182]  We must expose it to stop it.
[00:15:40.182 --> 00:15:43.746]  Trump's upcoming trip to the UK and so much more.
[00:15:43.746 --> 00:15:43.806]  Oh!
[00:15:44.994 --> 00:15:46.937]  Jared Kushner at the Bilderberg meeting.
[00:15:46.937 --> 00:15:48.519]  What's my take on that?
[00:15:48.519 --> 00:15:52.506]  Last segment of the hour, I'm going to detail my view on it and so much more.
[00:15:52.506 --> 00:15:55.450]  Whatever you do, tell whoever you're around how they can tune in.
[00:15:55.450 --> 00:15:58.255]  Your word of mouth is absolutely critical to winning this war.
[00:15:59.321 --> 00:16:01.222]  Fully cooked, ready-to-eat bacon.
[00:16:01.222 --> 00:16:04.443]  I'm talking thick, meaty, center-cut, presidential bacon.
[00:16:04.443 --> 00:16:06.044]  Savory and delicious.
[00:16:06.044 --> 00:16:08.865]  I buy some, I use some, I store some.
[00:16:08.865 --> 00:16:09.545]  Awesome!
[00:16:09.545 --> 00:16:12.626]  No refrigeration needed with a 10-year shelf life.
[00:16:12.626 --> 00:16:14.187]  NASA PAC Technology.
[00:16:14.187 --> 00:16:14.827]  Bacon.
[00:16:14.827 --> 00:16:18.969]  Fully cooked, fully hydrated, ready-to-eat right from the pack bacon.
[00:16:18.969 --> 00:16:20.410]  Or warm and served.
[00:16:20.410 --> 00:16:22.450]  Life-saving, ready-to-eat bacon.
[00:16:22.450 --> 00:16:24.411]  10-year shelf life bacon.
[00:16:24.411 --> 00:16:27.172]  Ships free at FullyCookedBacon.com.
[00:16:27.172 --> 00:16:28.393]  FullyCookedBacon.com.
[00:16:29.213 --> 00:16:33.096]  Most of you know that heart disease is the number one silent killer in the U.S.
[00:16:33.096 --> 00:16:38.080]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[00:16:38.080 --> 00:16:42.904]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[00:16:42.904 --> 00:16:44.265]  Don't just take my word for it.
[00:16:44.265 --> 00:16:48.028]  Check out all of the success stories at HBExtract.com.
[00:16:48.028 --> 00:16:49.029]  Or to order, call 866-295-5305.
[00:16:49.029 --> 00:16:49.249]  That's 866-295-5305.
[00:16:55.053 --> 00:16:56.673]  HBextract.com.
[00:16:56.673 --> 00:16:58.854]  Don't risk it when you can take charge of it.
[00:16:58.854 --> 00:17:03.415]  If you are trying to quit drinking or doing too many drugs, listen to me.
[00:17:03.415 --> 00:17:05.496]  You don't know me and we'll never meet.
[00:17:05.496 --> 00:17:07.236]  I had a problem like you once.
[00:17:07.236 --> 00:17:13.798]  I drank and used to party a little too much till it got out of control and almost ruined my life.
[00:17:13.798 --> 00:17:18.879]  I realized I needed help to fix my problem before it totally destroyed me.
[00:17:18.879 --> 00:17:23.560]  If you've tried to fix your drinking and drug problem and you know you can't do it alone,
[00:17:24.020 --> 00:17:27.121]  You need to call the National Treatment Advisors.
[00:17:27.121 --> 00:17:34.144]  They'll immerse you into a 30-day program to replace your old habits with new habits and totally change your life.
[00:17:34.144 --> 00:17:39.327]  And if you have PPO private health insurance, the entire program may be covered.
[00:17:39.327 --> 00:17:42.608]  Fix your problem right now before it gets any worse.
[00:17:42.608 --> 00:17:43.568]  Get clean.
[00:17:43.568 --> 00:17:45.389]  Call now and learn more.
[00:17:45.389 --> 00:17:45.429]  800-506-6740.
[00:17:49.751 --> 00:17:52.993]  800-506-6740.
[00:17:52.993 --> 00:18:00.276]  That's 800-506-6740.
[00:18:00.276 --> 00:18:03.877]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:18:03.877 --> 00:18:05.638]  Introducing Pollen Block.
[00:18:05.638 --> 00:18:16.903]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:18:17.683 --> 00:18:26.472]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[00:18:26.472 --> 00:18:37.424]  They began studying this effect in published trials, and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:18:37.924 --> 00:18:40.526]  Pollen Block is natural and effective.
[00:18:40.526 --> 00:18:42.267]  It is not an antihistamine.
[00:18:42.267 --> 00:18:52.254]  In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:18:52.254 --> 00:18:54.916]  Go outside and enjoy the air you breathe.
[00:18:54.916 --> 00:18:59.620]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:19:02.017 --> 00:19:06.639]  It's never been easy to figure out the essentials of a new supplement routine.
[00:19:06.639 --> 00:19:14.362]  That's why we created the 8-Pack Power Stack, your go-to option for the building blocks of a successful approach to supplementation.
[00:19:14.362 --> 00:19:22.005]  This one-stop shop for those looking to simplify or adjust their routine is perfect for new and old InfoWarriors alike.
[00:19:22.005 --> 00:19:28.528]  With the 8-Pack Power Stack, there's no trial and error, messy bottles laying across the counter, or 20-minute morning habits.
[00:19:29.787 --> 00:19:43.230]  Just take the Wake Up and Work or Rest and Recover Packs each day for quick, easy-to-use, and conveniently accessible formulas to help you reach your peak without the deep supplement knowledge, stacks of bottles, and complicated routine.
[00:19:43.230 --> 00:19:47.691]  Featuring eight different formulas for a total take on your health and wellness.
[00:19:47.691 --> 00:19:52.772]  You can find what you like and get even more powerful versions in the store.
[00:19:52.772 --> 00:19:58.833]  Head to InfoWarsStore.com and check out 8-Pack Power Stack today and jumpstart your supplement routine.
[00:20:03.380 --> 00:20:15.111]  You're listening to The Alex Jones Show.
[00:20:15.111 --> 00:20:18.093]  You walk into this room at your own risk.
[00:20:18.093 --> 00:20:20.255]  Because it leads to the future.
[00:20:20.255 --> 00:20:23.719]  Not a future that will be, but one that might be.
[00:20:23.719 --> 00:20:25.961]  This is not a new world.
[00:20:25.961 --> 00:20:29.244]  It is simply an extension of what began in the old one.
[00:20:30.333 --> 00:20:38.759]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[00:20:38.759 --> 00:20:46.825]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[00:20:46.825 --> 00:20:52.569]  But like every one of the super states that preceded it, it has one iron rule.
[00:20:52.569 --> 00:20:54.791]  Logic is an enemy and truth is a menace.
[00:21:00.131 --> 00:21:02.874]  This is Mr. Romney Wordsworth.
[00:21:02.874 --> 00:21:09.540]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[00:21:09.540 --> 00:21:14.304]  Because he's built out of flesh, and because he has a mind.
[00:21:14.304 --> 00:21:18.969]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[00:21:39.835 --> 00:21:41.176]  Welcome back, ladies and gentlemen.
[00:21:41.176 --> 00:21:42.677]  I am your host, Alex Jones.
[00:21:42.677 --> 00:21:45.959]  This is the InfoWar.
[00:21:45.959 --> 00:21:59.666]  We couldn't do it without you, the viewers and listeners, station managers and owners, and this incredible crew that stands in defiance of the globalist censorship and tyranny and stands between the globalists and all of us.
[00:21:59.666 --> 00:22:05.390]  This crew, this audience, this operation, our transmission is dead on.
[00:22:06.130 --> 00:22:09.952]  Vaporizing the enemy with truth, and they can't stand it.
[00:22:09.952 --> 00:22:27.201]  This transmission is a wartime broadcast, organically produced by the people of the United States and Texas, in direct resistance against the global government, corporate, post-human, dehumanization, silicon, AI, world government takeover, technocracy.
[00:22:27.201 --> 00:22:28.342]  That's in their words.
[00:22:28.342 --> 00:22:30.923]  We are countering them, ladies and gentlemen.
[00:22:32.671 --> 00:22:41.356]  It's in the WikiLeaks, it's in their own statements, it's in CIA declassifications, a Ford Foundation leftist inside the CIA, not the whole CIA.
[00:22:41.356 --> 00:22:44.538]  That's critical to understand.
[00:22:44.538 --> 00:23:01.529]  That they want to dehumanize, they want to make you desperate, they want to break up your family, they want to have ugly architecture, they want to destroy language, they want to destroy communication, because an informed, upwardly mobile population stands in the way of the globalists.
[00:23:03.723 --> 00:23:12.870]  I went and saw Godzilla last night, and for a cheesy Godzilla movie, it's the best Godzilla movie I ever saw.
[00:23:12.870 --> 00:23:17.774]  Spoiler alert, because of the plot.
[00:23:17.774 --> 00:23:19.736]  Endgame, blueprint for global enslavement.
[00:23:19.736 --> 00:23:23.499]  That's what you're going to be watching.
[00:23:23.499 --> 00:23:30.545]  Environmental terrorist, 12 monkey type, want to release
[00:23:32.461 --> 00:23:40.666]  These dormant titans to destroy humans and save the Earth.
[00:23:40.666 --> 00:23:42.287]  It's incredible.
[00:23:42.287 --> 00:23:58.078]  And the environmental terrorists want to release radiation that'll kill humans, but they believe re-green the Earth, which is something that modern leftists now say, oh, we didn't like nuclear power before, but now we're for it because it'll kill humans.
[00:23:58.078 --> 00:24:01.160]  That's main line top leftists.
[00:24:04.798 --> 00:24:31.197]  So when you go see this, ladies and gentlemen, you are literally being prepared and programmed for mass bioweapon plagues, collapse of civilization, you name it, and that you deserve it, and it's the right thing to do, because there was an ancient Atlantean civilization that was also destroyed because it got out of balance.
[00:24:31.197 --> 00:24:33.059]  And so aliens attacked the Earth,
[00:24:34.517 --> 00:24:36.958]  To wipe out humanity.
[00:24:36.958 --> 00:24:43.321]  But then Godzilla, this archetype of the Earth, of the Earth Spirit, stood up and resisted it.
[00:24:43.321 --> 00:24:49.925]  But Godzilla might have to come back and kill the humans, they tell you at the end of the movie.
[00:24:49.925 --> 00:24:52.106]  Now, now, why is this in all the movies?
[00:24:52.106 --> 00:24:59.950]  This is, when you see Endgame, it's still for free on YouTube, they haven't taken it down off a fan channel we let post it years ago, 12 years ago.
[00:25:01.311 --> 00:25:02.291]  It's been taken on everywhere else.
[00:25:02.291 --> 00:25:04.712]  It had like 80 million views on Google Video.
[00:25:04.712 --> 00:25:06.233]  They took that down years ago.
[00:25:06.233 --> 00:25:08.514]  They just made it defunct.
[00:25:08.514 --> 00:25:09.134]  It just went away.
[00:25:09.134 --> 00:25:12.496]  But it's there.
[00:25:12.496 --> 00:25:14.077]  This won't be Godzilla.
[00:25:14.077 --> 00:25:16.238]  This won't be fiction.
[00:25:16.238 --> 00:25:20.039]  This will be globalists, their quotes, their statements of how they're planning all this.
[00:25:20.039 --> 00:25:22.940]  Now, why am I getting into that right now?
[00:25:22.940 --> 00:25:23.741]  When you see
