[00:00.000 --> 00:30.000]  That's the law required.
[06:09.100 --> 06:13.540]  and much much more. Terror Storm is the definitive guide to the history of government sponsored
[06:13.540 --> 06:18.380]  terrorism. It's an anthology of government crimes. Terror Storm is a film that everyone
[06:18.380 --> 06:24.740]  who wants to be truly informed must see. Get your copy today at infowars.com or prisonplanet.com
[06:24.740 --> 06:34.980]  or by calling toll-free 1-888-253-3139 or watch it right now online at prisonplanet.tv. Now you
[06:34.980 --> 06:40.140]  can upgrade your existing gravity filter to remove chemicals such as triomethylenes, atrazine,
[06:40.140 --> 06:45.380]  benzene, chlorine, chloroform, and MTBE to below detectable limits. Black Berkey elements are so
[06:45.380 --> 06:50.460]  powerful they remove pathogenic bacteria, cysts and parasites to non-detectable levels and
[06:50.460 --> 06:55.260]  transform water, even raw stagnant pond water, into delicious crystal-clear drinking water.
[06:55.260 --> 07:00.980]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are no
[07:00.980 --> 07:05.780]  problem. Foul tastes like chlorine and obnoxious sulfur odors are removed without removing the
[07:05.780 --> 07:10.100]  healthful and beneficial minerals that your body needs. Black Berkey elements flow one and a half
[07:10.100 --> 07:15.020]  to two times faster than ordinary gravity elements, which means it takes much less time to filter your
[07:15.020 --> 07:19.740]  water. Supercharge your gravity filter today. Upgrade to Black Berkey purification elements.
[07:19.740 --> 07:30.100]  Get a 2-pack only $99 or a 4-pack only $1.88. Call new millennium, 888-803-4438. That's 888-803-4438
[07:30.100 --> 07:38.100]  or order on the web at berkeywater.com. This is Jack Blood with the Genesis Radio Network
[07:38.100 --> 07:43.380]  and I have an urgent message for our listeners. The mass media keeps telling us that we are the
[07:43.380 --> 07:49.620]  richest, most powerful economy in the world. If this is true, why can't we pay our bills? Why
[07:49.620 --> 07:56.020]  is the United States the world's largest debtor nation? The truth is that we are in the worst
[07:56.020 --> 08:01.060]  debt bubble in our nation's history. When the bubble bursts, will you be able to feed your
[08:01.060 --> 08:07.700]  family? When the inevitable crash occurs, will you be ready? Call Whitehurst International at
[08:07.700 --> 08:19.740]  1-888-892-6238. That's 1-888-892-6238 for the following two free reports. US debt bubble red
[08:19.740 --> 08:31.180]  alert and real estate crash. Call 888-8 Xanadu. That's 1-888-8-XANADU. Ask for George.
[08:35.020 --> 08:44.460]  Ease the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[08:49.740 --> 09:17.500]  Again, my friends, it is Friday the 13th. I just noticed that. It is April 13th. It is Friday.
[09:19.820 --> 09:25.500]  Why is Friday the 13th the Friday the 13th? I ought to go pull the exact year in history on
[09:25.500 --> 09:38.700]  this, but in the 1500s, there was a big raid or push or counter coup d'etat by the Catholic Church
[09:38.700 --> 09:48.060]  against the Knights Templars, who you could call the ancestors of the modern day Illuminati.
[09:49.980 --> 09:55.900]  They hunted them down and went to all their palaces and towers across Europe and the Middle
[09:55.900 --> 10:05.580]  East and killed them on Friday the 13th. That was the set day across the known world for the
[10:05.580 --> 10:14.540]  military forces of those different countries under the Pope's control to go in and kill them.
[10:14.540 --> 10:26.780]  I am not saying that the Catholic Church was the good guys. That's how they knew where all
[10:26.780 --> 10:30.300]  the Templars were based. That's how they knew how much wealth they had because many people in the
[10:30.300 --> 10:36.620]  Church were Templars and so it was just basically a bunch of backstabbing going on. But the Templars
[10:36.620 --> 10:42.780]  then ran to Scotland. That's why you have the Scottish Rite Freemasonry and set up their whole
[10:42.780 --> 10:54.860]  base of operations there. In fact guys, we pull up the history of Friday the 13th for me. Here's
[10:54.860 --> 10:57.980]  a few things I've just got in front of me that I've found to be interesting and I want to get
[10:57.980 --> 11:04.220]  out of the way before I get into this Monsanto corn causing serious liver and other organ
[11:04.220 --> 11:12.300]  problems in mammals. Kerry Gingrich debates global warming. This happened a few days ago
[11:12.940 --> 11:21.260]  and when you read into this it has Newt Gingrich saying global warming is real and Republicans need
[11:21.260 --> 11:27.980]  to do something about it and embrace it and get green and we need a carbon tax. So Newt Gingrich,
[11:27.980 --> 11:35.580]  we need the turbine tax, we need the wellhead tax, we need the carbon tax, we need the world
[11:35.580 --> 11:40.620]  government. This is the guy that says we should abolish the first amendment, literally get rid
[11:40.620 --> 11:46.380]  of it. This is the guy who says torture is good. I mean Newt Gingrich was put into power,
[11:47.020 --> 11:51.900]  now maybe conservatives will listen to me because I studied it, he was put into power in 94 to
[11:51.900 --> 11:57.580]  derail those Republican freshmen that did want to abolish different federal departments and did want
[11:57.580 --> 12:03.020]  to reduce the size of government. He came in and said, hey boys, we're only supposed to say that,
[12:03.900 --> 12:09.340]  okay, to the constituents. The corporate bosses want big government, that's what they feed off of.
[12:11.260 --> 12:15.500]  So they are definitely circling the wagons. I mean when the NFL and Sports Illustrated
[12:15.500 --> 12:22.220]  come out for global warming and say we need global taxes and when the Weather Channel does,
[12:22.220 --> 12:28.060]  I mean it's everywhere. When they're all over the place pushing a global tax,
[12:28.780 --> 12:31.260]  you know they mean business and they're not playing around.
[12:34.860 --> 12:38.940]  I'm not saying there isn't climate change, we've gone over this over and over again.
[12:38.940 --> 12:44.380]  There are real environmental crises that have got me very concerned because I've looked at the
[12:44.380 --> 12:51.340]  actual data. I didn't just go, you know, 15 years ago, well that's what liberals believe in global
[12:51.340 --> 12:58.780]  warming when nobody was talking about it. So it just must be a lie. I don't set about politically
[12:58.780 --> 13:05.420]  or sociologically with factoids to just prove what I already believe. I have an open mind
[13:06.060 --> 13:12.860]  and I've interviewed the experts on both sides and it is conclusive, iron
[13:13.420 --> 13:24.140]  clad that man-made global warming is a complete and total fraud. A. B. Every major study shows
[13:24.140 --> 13:34.220]  there are more benefits to global warming than there are problems. Higher carbon dioxide has
[13:34.220 --> 13:40.700]  nothing to do with heating. Carbon dioxide comes several hundred years, between 200-800 it depends,
[13:41.260 --> 13:47.900]  but it's always after the heating. Because it causes more life, ladies and gentlemen,
[13:47.900 --> 13:54.700]  with the heat, thus more carbon dioxide is off-put, both from rotting life,
[13:55.900 --> 14:02.460]  dying life, and of course the process of respiration.
[14:02.460 --> 14:11.740]  More carbon dioxide, more of the life-giving gas for plants that then put off more oxygen,
[14:11.740 --> 14:18.700]  here let me suck in some of that pollutant. Still oxygen there, there's a lot of GMO pollen,
[14:18.700 --> 14:27.260]  but we're surviving. Oh yes, they're listing carbon dioxide as an evil pollutant.
[14:27.980 --> 14:30.540]  God forbid the plants put off more oxygen for us.
[14:33.180 --> 14:39.340]  So, I already said I'd get into the news and I'm digressing. I have that article here in front of
[14:39.340 --> 14:48.140]  me. Let me, and I'm not going to get into the Wolfowitz scandal, the guy's a puppet, runs nothing
[14:48.140 --> 14:52.300]  at the World Bank. I'm not going to get into Gonzalez caught lying over and over again.
[14:52.300 --> 14:57.980]  He should be in prison for writing memos ordering the military that this was their authorization
[14:58.620 --> 15:04.780]  to torture children. But he's still a puppet, and so that's a distraction in and of itself.
[15:04.780 --> 15:07.900]  When we start hearing about indictments of David Rockefeller and
[15:09.740 --> 15:18.380]  Prince Bernhard of Orange and Queen Beatrix, when we start hearing about Prince Philip about to be
[15:18.380 --> 15:22.540]  clapped in irons or Lord Rothschild, then folks, I'm going to be covering it.
[15:25.100 --> 15:29.420]  But they laugh at how we go after their birdcage liners,
[15:31.340 --> 15:37.420]  they just remove and put in new ones. You just wait when the Bush leaves office, if he does,
[15:39.260 --> 15:44.380]  Hillary's going to rule the absolute iron fist of hell, and you will suddenly see most of these
[15:44.380 --> 15:48.300]  Democrats that could see the Patriot Act as bad, that could see the Military Commission's Act as
[15:48.300 --> 15:53.180]  bad. They're suddenly going to be running around with little glinting eyes going, it's our time
[15:53.180 --> 16:03.260]  now. No, no, no. The war is good now, and she's arresting evil militias and gun control is good.
[16:05.900 --> 16:11.100]  We've got to bolster now and wake up the liberals that are tuning into these type of shows
[16:11.100 --> 16:15.180]  because we're going after Bush and go, no, no, no, no. You got to shift your paradigm. You got
[16:15.180 --> 16:19.420]  to understand they own both parties. They move forward with an agenda. They have different
[16:19.420 --> 16:27.740]  rhetoric, but the agenda is a carbon copy. Okay, let me get into the Tasmanian devils.
[16:29.740 --> 16:33.900]  I was clued into this last night while I was cooking dinner with my wife and listening to NPR.
[16:34.780 --> 16:38.700]  You know, we monitor the National Petroleum
[16:40.940 --> 16:47.100]  Radio, brought to you by Rothschild Industries, brought to you by Rockefeller,
[16:47.100 --> 16:54.300]  a Stadenburg CPB Foundation, Tasmanian devil. So I didn't pull this up this morning.
[16:54.300 --> 17:01.100]  Tasmanian devil relocated. Tasmanian devils are being relocated to an island off Australia
[17:01.100 --> 17:10.300]  to avert their extinction by a contagious cancer, contagious cancer. Let me say it again,
[17:10.940 --> 17:19.420]  contagious cancer. The diagnoses, depending on which type of cancer, which family of cancers,
[17:19.420 --> 17:23.340]  is up on average over 2000% since the 1930s.
[17:23.340 --> 17:33.820]  Then you learn that since the 20s, there have been massive zoological studies with guinea pigs
[17:33.820 --> 17:42.220]  and rats and monkeys and dogs, hundreds of different types of animals, different varieties
[17:42.220 --> 17:48.540]  in the US, in Germany, in England, in Japan, in China, in Australia. And you learn that they've
[17:48.540 --> 17:52.540]  open air, been released, and then you learn that the Rockefellers cornered cancer treatment
[17:52.540 --> 17:58.540]  on the market and also pioneered vaccine research and pioneered cancer virus research,
[17:58.540 --> 18:03.900]  and then suddenly with their big Rockefeller cancer hospitals, the stuff starts becoming
[18:03.900 --> 18:15.340]  like a case of the flu. And boy, do they have some special injections for you. And then we have all
[18:15.340 --> 18:19.660]  the articles, I've got it for the new film I'm making, and doing all this research, because you
[18:19.660 --> 18:23.260]  get the knowledge, you come across it over the years, but it becomes like knowledge. A lot of
[18:23.260 --> 18:27.020]  you don't remember where you got it, you just have it. And then you're able to say it and then
[18:27.020 --> 18:31.420]  you go pull it up and you're exactly right. I'm always amazed by, you know, I say something and I
[18:31.420 --> 18:35.820]  go, is that right? Because I'm like, man, how do I know that from 10 years ago? And I go, pull it
[18:35.820 --> 18:41.660]  up and it's exactly right. But the point is, is that don't look it up for yourself. All this
[18:41.660 --> 18:46.940]  research into cancer viruses, and then magically it pops up and then you find out the Rockefellers
[18:46.940 --> 18:51.820]  are behind the German and British and other schools of eugenics and they're obsessed with it.
[18:52.380 --> 18:59.420]  And they're obsessed with it today. Now, there were naturally occurring communicable forms
[18:59.420 --> 19:09.660]  of cancer. And frankly, most cancer is communicable. Then you get the viruses in your
[19:09.660 --> 19:17.260]  body. And then once your body has divided its cells enough times, and once your immune system
[19:17.260 --> 19:23.100]  gets out of whack, either jacked up too high or too low, then your body isn't able to fight it
[19:23.100 --> 19:27.740]  and doesn't recognize it and you die of cancer. So I want you to know those of you that have lost
[19:27.740 --> 19:34.060]  children or husbands or wives or sons or daughters when they're older, or people who've lost cousins
[19:34.060 --> 19:39.820]  and friends and all these young people you know who've got cancer, you can thank the New World
[19:39.820 --> 19:46.220]  Order. You have been under a eugenics attack. And of course, you'll notice rates of cancer are
[19:46.220 --> 19:52.220]  higher in Asians and higher in blacks. And of course, and they can't understand it because the
[19:52.220 --> 19:56.380]  genetics aren't very different from one country to another, but you'll have one group of Orientals
[19:56.380 --> 19:59.820]  very similar to the next country, but they'll have a much higher rate, even though their diet's the
[19:59.820 --> 20:05.500]  same, which then you'll notice there's higher incidences of IMF funded World Health Organization
[20:05.500 --> 20:17.580]  vaccine programs. Of course, they don't care because now they can just engineer it right
[20:17.580 --> 20:24.780]  into the food. So I thought I'd mention these Tasmanian devils. They're pretty much all got
[20:24.780 --> 20:29.420]  the virus. Most of them are dying. They're very close to being extinct now. We'll tell you what
[20:29.500 --> 20:37.020]  the virus does to them when we get back. Nuclear reactors provide economical energy,
[20:37.020 --> 20:42.060]  but would you be prepared during an accident? During nuclear disasters, great amounts of
[20:42.060 --> 20:47.020]  radioactive iodine are released into the atmosphere, which are then readily absorbed
[20:47.020 --> 20:52.460]  into the body. Medical course potassium iodate gives you virtually complete protection from the
[20:52.460 --> 20:57.740]  most feared consequence of a nuclear accident, radioactive poisoning. Potassium iodate can
[20:57.740 --> 21:03.500]  protect against radioactive poisoning by filling the thyroid with good iodine. This shields the
[21:03.500 --> 21:09.420]  thyroid and prevents it from absorbing the harmful radioactive iodine. Potassium iodate is better
[21:09.420 --> 21:15.420]  than the iodide form because it is not as likely to cause upset stomachs in children, the elderly,
[21:15.420 --> 21:23.100]  the sick, and pets. Order the official potassium iodate for only $24 and save $5 by calling New
[21:23.100 --> 21:32.540]  Millennium at 888-803-4438. Call now and get free shipping. That's 888-803-4438.
[21:35.900 --> 21:42.780]  Hi, this is Ted Anderson here for the 2007 Red Book. The commodity markets like gold, silver,
[21:42.780 --> 21:47.820]  copper, aluminum, and oil have exploded over the last year. This is a glaring testimony of how
[21:47.820 --> 21:53.900]  quickly the US dollar can be devalued. Many have turned to precious metals to provide a safe haven
[21:53.900 --> 21:58.940]  while increasing the potential profits. Though accumulating precious metals has been a proven
[21:58.940 --> 22:03.580]  method for the storage of wealth, it is important that you understand the market you are getting
[22:03.580 --> 22:10.940]  into. Midas Resources is offering the Red Book and Silver Dollar for only $27.95. The Red Book is the
[22:10.940 --> 22:19.260]  number one best-selling guide to gold and silver coins. Call for your copy today. It's 800-686-2237.
[22:19.260 --> 22:23.740]  If you've already accumulated or plan to get into the precious metals market, you simply must have
[22:23.740 --> 22:36.060]  the Red Book in your library. Call 800-686-2237. That's 1-800-686-2237. Do you know the truth about
[22:36.060 --> 22:41.980]  cancer treatments? Do you realize that with all presently accepted methods, you are not correctly
[22:41.980 --> 22:48.060]  attacking the cancer and you are mostly fighting to survive the treatment? Do you realize that
[22:48.060 --> 22:55.660]  mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary? But now
[22:55.660 --> 23:02.220]  it's cancer's turn to die with Lace Med Inks patented methodology. Without cutting, bleeding,
[23:02.220 --> 23:09.020]  drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without
[23:09.020 --> 23:15.980]  adverse side effects at our physician's office. Laser technology at its best. For more information,
[23:15.980 --> 23:32.780]  call 702-953-0267 or visit www.lasemedinc.com. Call 702-953-0267.
[23:33.660 --> 23:38.700]  Are you looking for a one-stop shop to find all your favorite books and videos? Look no further.
[23:38.700 --> 23:44.460]  Northern Voice Bookstore has everything you need. Hundreds of titles from self-defense, survival,
[23:44.460 --> 23:49.100]  and financial freedom to history, politics, conspiracy, and everything you need to know
[23:49.100 --> 23:53.740]  about the New World Order. You can order everything you need on the web 24 hours a day
[23:53.740 --> 23:59.900]  at northernvoicebookstore.com or send $2 for our latest catalog to Northern Voice Bookstore,
[23:59.900 --> 24:07.260]  Post Office Box 281, Wildwood, PA 15091. Northern Voice Bookstore offers a broad range of different
[24:07.260 --> 24:11.340]  perspectives and believes strongly that the American people need alternative sources of
[24:11.340 --> 24:15.820]  information in order to understand the society they live in today. You won't find a better
[24:15.820 --> 24:21.420]  selection of books or videos anywhere. So make Northern Voice Bookstore your bookstore. Visit
[24:21.420 --> 24:26.940]  us online at northernvoicebookstore.com or send $2 for our latest catalog to
[24:26.940 --> 24:32.540]  Northern Voice Bookstore, P.O. Box 281, Wildwood, PA 15091.
[24:56.940 --> 25:02.060]  With George Prep, his partner, and brother, Billy, too,
[25:03.020 --> 25:11.580]  they crossed the Yukon River and found the Bonanza Gold. Below that old white mountain,
[25:11.580 --> 25:19.180]  just a little southeast of Nome, Sam crossed the majestic mountains to the valleys far below.
[25:20.140 --> 25:25.020]  He talked to his team of huskies as he mushed on through the snow.
[25:25.900 --> 25:30.860]  With the northern lights a running wild in the land of the midnight sun.
[25:31.660 --> 25:36.620]  Yes, Sam the court was a mighty man in the year of 1901.
[25:36.620 --> 25:37.260]  Welcome back.
[25:39.900 --> 25:48.620]  All right, let me get into these Tasmanian devils. Now, now, now notice they're in Tasmania.
[25:49.100 --> 25:55.580]  They're already on an island. They've been there for eons. And then suddenly
[25:56.620 --> 26:03.180]  it says that 90% of the devils have died of the cancer that makes their face swell up
[26:04.220 --> 26:10.620]  and their mouth become a bloody mess. Now, my only point is I get up here and I tell you that
[26:10.620 --> 26:16.300]  most cancer is communicable from all the top scientists, virologists, and the major studies
[26:16.300 --> 26:21.980]  that are out there. This is well known by people within the system, but they don't ever tell you
[26:21.980 --> 26:27.100]  this. It's really bizarre. Just your body malfunctions and this just happens. And there
[26:27.100 --> 26:32.780]  are some forms of that cancer. But very interesting that just suddenly this is happening and they're
[26:32.780 --> 26:36.940]  having to relocate them. Tasmanian devils are being relocated to an island off Australia to
[26:36.940 --> 26:44.380]  avert their extinction by a contagious cancer, contagious cancer. Some scientists fear the move
[26:44.380 --> 26:54.300]  could endanger rare birds and other animals on the island. But other experts say it is a last resort
[26:54.300 --> 27:02.460]  and should pose no problem since the devils are scavengers, not predators. The path to extinction
[27:02.460 --> 27:08.860]  is looking pretty certain on Tasmania, said William Karish of the New York-based Wildlife
[27:08.860 --> 27:14.700]  Conservation Society, who organized a workshop in Australia to help the government and biologists
[27:14.700 --> 27:23.980]  develop a plan to save the devils. And basically, if they just test their blood, make sure they don't
[27:23.980 --> 27:28.700]  have it, put them on the other island, then all the others will die, they say, over the next few years,
[27:28.700 --> 27:32.700]  then the virus will burn itself out and they can put them back over there unless it's some other
[27:32.700 --> 27:40.460]  animal that's been introduced that's carrying the virus, like the European brown rat. It continues,
[27:43.180 --> 27:47.740]  the fox-like animals with powerful jaws and blood-curdling growls are being wiped out on
[27:47.740 --> 27:53.980]  the island state of Tasmania by contagious cancer that creates grotesque facial tumors.
[27:53.980 --> 27:59.500]  The disease was first noticed in the mid-90s in the state's northeast where 90% of the devils
[27:59.500 --> 28:03.900]  have since perished. It is spreading south and west and scientists estimate that within five
[28:03.900 --> 28:08.620]  years there will be no disease-free populations in Tasmania. The only place in the world where
[28:08.620 --> 28:16.700]  the devils exist is outside zoos. And it goes on. Well, what about people, ladies and gentlemen?
[28:16.700 --> 28:24.940]  What about us? I don't like my loved ones. I don't like living on the street where I used to live
[28:24.940 --> 28:30.140]  where two kids died of leukemia, little babies and little toddlers in one year, and then, boy,
[28:30.140 --> 28:35.980]  that's really linked to the mercury and the rest of it, not to mention the cancer viruses.
[28:35.980 --> 28:41.660]  If you take their vaccines run by a criminal group of eugenicists who have been caught doing it in
[28:41.660 --> 28:47.660]  the past over and over again, you're crazy. I mean, again, you wouldn't trust your neighbors
[28:47.660 --> 28:52.300]  or an employer if they'd done one or two things to crush you or that had been deceptive and sneaky.
[28:53.020 --> 28:58.140]  But you're going to trust a government and an elite. Well, I guess most people just don't know
[28:58.140 --> 29:04.860]  how nuts they are. I do. I've done the research and let me tell you, it's fathomless how bad they
[29:04.860 --> 29:12.700]  are. And you're going to have to say no to the system and they'll fear monger and, you know,
[29:12.700 --> 29:17.020]  well, your kids might die of another disease or they might get one of the naturally occurring
[29:17.020 --> 29:21.900]  things. Yeah, they might. They just might. Of course, the problem is that some of this stuff
[29:21.900 --> 29:26.780]  is so communicable that once another child has it at the school your child goes to, they can still
[29:26.780 --> 29:30.460]  get the different viruses and things from them. It's like HV40.
[29:33.020 --> 29:38.540]  The human cancer-causing virus that they admit has caused hundreds of millions of cancers
[29:38.540 --> 29:43.660]  worldwide in humans. Every sewage system in India, and a major study that was done a few years ago,
[29:43.660 --> 29:56.380]  had was HPV40 in their sewage. It's a tough virus. It can live in really harsh environments
[29:56.380 --> 30:05.180]  like that. And it causes all sorts of cancers. When we get back, I'll tell you about it,
[30:06.060 --> 30:10.700]  about how to be put into the pollen, into your potatoes, and into your corn.
[30:14.060 --> 30:16.220]  A lot of it is in there. It's too late for a lot of us.
[30:24.220 --> 30:30.860]  We're on the march. The empire's on the run. Alex Jones and the GCN Radio Network.
[30:34.380 --> 30:39.180]  Attention gardeners, this is an urgent GCN self-reliance update. GCN has just discovered
[30:39.180 --> 30:43.420]  a new bioactive superfood for garden plants, flowers, and herbs. It's called Protogrow,
[30:43.420 --> 30:47.420]  and it's so effective at producing rapid plant growth that it seems to almost force plants to
[30:47.420 --> 30:51.820]  grow like crazy under practically any soil and light conditions. Now here's the best part for
[30:51.820 --> 30:55.980]  our listeners who garden for self-reliance. Protogrow's unique blend of sea nutrients
[30:55.980 --> 31:00.140]  maximizes mineral uptake and dramatically increases bloom set, creating maximum plant
[31:00.140 --> 31:04.220]  growth in minimum time. Protogrow works by providing geometric keys which have the capacity
[31:04.220 --> 31:08.540]  to actually unlock the genetic code for nutritional uptake in plants. Protogrow's full spectrum plant
[31:08.540 --> 31:11.900]  fertility meets fruits and vegetables with extraordinary taste, enough to 10 times the
[31:11.900 --> 31:15.820]  nutritional value. And if you want to double or triple the potency of herbs or wheatgrass,
[31:15.820 --> 31:20.140]  you can. If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[31:20.140 --> 31:23.820]  GCN listeners who want to grow dirt cheap superfoods should visit the Protogrow website
[31:23.820 --> 31:33.500]  at growlikecrazy.com. That's www.growlikecrazy.com or call 877-327-0365. That's 877-327-0365.
[31:33.500 --> 31:40.540]  Do you need more than just the constant news of impending tyranny? Yes, this is Elizabeth
[31:40.540 --> 31:46.860]  Porter back with the Divided Kingdom, the hour that analyzes spiritual and cultural issues too.
[31:46.860 --> 31:52.300]  Blue Blanchard and I are delighted, thanks in large part to past listeners' lobbying efforts,
[31:52.300 --> 31:58.700]  now to be on the great Genesis Communications Network Monday through Friday at 6 p.m. central.
[31:58.700 --> 32:04.700]  Formidable Alex Jones says, this is the network often imitated but never duplicated.
[32:04.700 --> 32:11.100]  Blue and I made the conscious decision to move to GCN because of its classy lineup and leadership.
[32:11.100 --> 32:16.940]  We invite you to hear our program, one we pray will strengthen and bless you. Indeed,
[32:16.940 --> 32:23.740]  trouble is part of the story, but the fellowship of faith surpasses it. Tune in at 6 p.m. central.
[32:23.740 --> 32:32.060]  Also, be sure to visit our Tuesday guest host, Dr. Carl Sanders' website, trumpetmen.org.
[32:33.740 --> 32:38.780]  It's a fact, you can legally eliminate credit card debt which has been fraudulently created by the
[32:38.780 --> 32:44.140]  banks. Since its creation in 1913, the Federal Reserve has not been held responsible for its
[32:44.140 --> 32:48.620]  own debt. So why should you, the hardworking American, be harassed for yours? There's a
[32:48.620 --> 32:53.180]  double standard when it comes to being responsible for debt and unlike the Federal Reserve, the people
[32:53.180 --> 32:58.220]  of this country can't print more money when needed. Day of Jubilee has created a successful
[32:58.220 --> 33:02.220]  program designed for people that want to stop harassing calls and threatening letters from
[33:02.220 --> 33:07.980]  bill collectors. This is not a debt consolidation company. Join the thousands of Americans who now
[33:07.980 --> 33:12.300]  breathe a sigh of relief because they have legally eliminated their credit card debt.
[33:12.300 --> 33:16.460]  Instead of living each day in fear, it's time to turn your life around.
[33:16.460 --> 33:24.940]  Call Day of Jubilee open 9 a.m. to 5 p.m. Central Standard Time at 920-293-8024.
[33:24.940 --> 33:41.740]  That's 920-293-8024 and ask for Robert. Don't wait any longer to get your life back in order.
[33:46.460 --> 34:03.740]  Don't you know that it's time to get on board and let this train keep on riding on through.
[34:16.460 --> 34:37.740]  Don't you know that it's time to get on board and let this train keep on riding on through.
[34:37.740 --> 34:51.020]  Please don't miss this train at the station. Folks, if you miss it, I feel sorry, sorry for you.
[34:51.020 --> 35:12.460]  Yeah, we've played this song a few times this week because I was just reminded that it was one
[35:12.460 --> 35:18.780]  of hundreds of songs banned. Just remember that by Claire Channel and others in the months leading
[35:18.780 --> 35:27.100]  up and a few months after the attack on Iraq in 2003. That's the level of psychological control.
[35:28.540 --> 35:33.980]  And some will say, well, that's a commie song. They use that world peace and love thing as a
[35:33.980 --> 35:41.500]  front for their world government. And they do. Anything good, anything laudable, anything
[35:41.500 --> 35:45.020]  uplifting, the New World Order is going to try to take control of or counterfeit.
[35:45.580 --> 35:54.380]  But I assure you, you may see corruption and backstabbing and subterfuge in your daily lives.
[35:54.380 --> 35:59.660]  You may see problems with your fellow man. But I assure you, the evil you see out of the general public,
[36:01.180 --> 36:05.580]  it is nothing on average compared to what we will find in elite circles.
[36:08.620 --> 36:13.420]  The New World Order is totally and completely out of control in every way.
