[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[07:05.280 --> 07:09.280]  And I'm going to get to currently what's happening and how the globalists are going to strike back
[07:09.280 --> 07:14.280]  and what I believe you can expect to see unfold very, very quickly.
[07:14.280 --> 07:17.280]  And knowing this may actually be able to stop them.
[07:17.280 --> 07:21.280]  But if we don't have a massive awakening now, we're in deep trouble.
[07:21.280 --> 07:24.280]  You see, we don't have a year and a half to prove things again.
[07:24.280 --> 07:26.280]  We don't have six months to do it.
[07:26.280 --> 07:28.280]  We need to get people up to speed that you need to listen now.
[07:28.280 --> 07:35.280]  And I don't mean the listeners that are already dialed in, but the government and others that tune in and other media individuals.
[07:35.280 --> 07:37.280]  We know what we're talking about.
[07:37.280 --> 07:40.280]  We live in the real world, the real politic.
[07:40.280 --> 07:41.280]  That's what I do.
[07:41.280 --> 07:42.280]  I study how these people actually operate.
[07:42.280 --> 07:47.280]  And so we can either start being participants in the world and actually know how it works
[07:47.280 --> 07:51.280]  and realize we got some really bad people running things that are building a post-human world,
[07:51.280 --> 07:53.280]  or we can be totally enslaved.
[07:53.280 --> 07:58.280]  And I know a lot of leftists and a lot of corporate types sign on to this dehumanization program
[07:58.280 --> 08:04.280]  and know about a lot of it, but pretend is a key operative word
[08:04.280 --> 08:09.280]  that you're part of the system so you could just go along with it and you'll do better in the end.
[08:09.280 --> 08:10.280]  No, no, no.
[08:10.280 --> 08:16.280]  So far selling out your species has gotten you ahead, but now at the end you learned you were set up.
[08:16.280 --> 08:19.280]  So I'll talk about that today as well.
[08:19.280 --> 08:26.280]  But let's go to Tucker Carlson last night with the fall of the Gates U.N. frontman, Anthony Fauci.
[08:26.280 --> 08:29.280]  Good evening and welcome to Tucker Carlson tonight.
[08:29.280 --> 08:36.280]  The utter fraudulence of Tony Fauci is obvious now and it's widely acknowledged, but it was not always obvious.
[08:36.280 --> 08:40.280]  In March of last year, we interviewed Fauci on this show.
[08:40.280 --> 08:41.280]  We treated him with respect.
[08:41.280 --> 08:43.280]  We took his answer seriously.
[08:43.280 --> 08:50.280]  We're Americans, so we assume the man in charge of protecting the U.S. from COVID must be rational and impressive.
[08:50.280 --> 08:53.280]  We also assumed he must be honest, but we were wrong.
[08:53.280 --> 09:01.280]  It soon became clear that Tony Fauci was just another sleazy federal bureaucrat, deeply political and often dishonest.
[09:01.280 --> 09:08.280]  More shocking than that, we then learned that Fauci himself was implicated in the very pandemic he'd been charged with fighting.
[09:08.280 --> 09:14.280]  Fauci supported the grotesque and dangerous experiments that appeared to have made COVID possible.
[09:14.280 --> 09:20.280]  We came to these conclusions incrementally spurred by evidence that accumulated over the course of the year.
[09:20.280 --> 09:22.280]  Tonight, we have the mother load.
[09:22.280 --> 09:29.280]  Thanks to a freedom of information request from Buzzfeed, we have thousands of emails to and from Anthony Fauci.
[09:29.280 --> 09:32.280]  They go back to the early winter of 2020.
[09:32.280 --> 09:42.280]  Collectively, they show that from the beginning, Tony Fauci was worried that the public might conclude COVID had originated at the Wuhan Institute of Virology.
[09:42.280 --> 09:47.280]  Now, why would Tony Fauci be concerned that Americans would conclude that?
[09:47.280 --> 09:55.280]  Possibly because Tony Fauci knew perfectly well that he had funded gain of function experiments at that very same laboratory.
[09:55.280 --> 09:59.280]  The emails prove that Fauci lied about this under oath.
[09:59.280 --> 10:03.280]  Consider this exchange, which began the evening of January 31st, 2020.
[10:03.280 --> 10:05.280]  It was a Friday just before midnight.
[10:05.280 --> 10:12.280]  The first email came from an immunologist called Christian Anderson, who works at the Scripps Research Institute in La Jolla, California.
[10:12.280 --> 10:18.280]  Anderson warned Fauci that COVID appeared to have been possibly manipulated in a laboratory.
[10:18.280 --> 10:24.280]  Quote, the unusual features of the virus make up a really small part of the genome, less than 0.1%.
[10:24.280 --> 10:32.280]  So one has to look really closely at all the sequences to see that some of the features potentially look engineered.
[10:32.280 --> 10:37.280]  The next day on February 1st, Tony Fauci wrote back, thanks Christian, talk soon on the call.
[10:37.280 --> 10:42.280]  Fauci then sent an urgent email to his deputy, a man called Hugh Awkencloss.
[10:42.280 --> 10:49.280]  The subject of that email, in all caps, was important. Quote, Hugh, it is essential that we speak this AM.
[10:49.280 --> 10:53.280]  Keep your cell phone on. Read this paper as well as the email that I will forward.
[10:53.280 --> 10:56.280]  You will have tasks today that must be done.
[10:56.280 --> 11:07.280]  Attached to that email was a document. It was entitled, quote, Barrick Sheet et al. Nature Medicine, SARS Gain of Function.PDF.
[11:07.280 --> 11:15.280]  Now, the Barrick in the attachment referred to Ralph Barrick, a virologist based in the U.S., who collaborated with the Wuhan Institute of Virology.
[11:15.280 --> 11:22.280]  Barrick worked with a woman called Dr. Xi Shengli, known as the bat lady, because she manipulates coronaviruses that infect bats.
[11:22.280 --> 11:24.280]  She was the she in the attachment.
[11:24.280 --> 11:35.280]  Now, keep in mind that during the questioning from Senator Rand Paul of Kentucky fairly recently, Tony Fauci denied that this same Ralph Barrick had conducted gain of function research.
[11:35.280 --> 11:44.280]  Again, this is the Ralph Barrick in Fauci's attachment, which was entitled, Barrick Sheet et al. SARS Gain of Function.PDF.
[11:44.280 --> 11:49.280]  And yet, under oath before the United States Congress, Fauci denied this.
[11:49.280 --> 11:59.280]  Dr. Barrick does not doing gain of function research, and if it is, it's according to the guidelines and it is being conducted in North Carolina.
[11:59.280 --> 12:09.280]  And if you look at the grant and you look at the progress reports, it is not gain of function despite the fact that people tweet that.
[12:09.280 --> 12:14.280]  Oh, it wasn't just on Twitter. It was in Fauci's own emails.
[12:14.280 --> 12:24.280]  In retrospect, that looks a lot like perjury. We do know that starting early last year, a lot of people in NIH were worried that COVID had not occurred naturally.
[12:24.280 --> 12:33.280]  They were concerned it had been instead manipulated in a lab in China, and yet they seem determined to hide those facts from the public. Again, why?
[12:33.280 --> 12:38.280]  On the afternoon of February 1st last year, Fauci held a conference call with several top virologists.
[12:38.280 --> 12:43.280]  Most of the details of that call were made hidden from public view. They've been redacted.
[12:43.280 --> 12:48.280]  We know the call was related to a document entitled coronavirus sequence comparison.
[12:48.280 --> 12:56.280]  Jeremy Ferrar, a British physician who runs a major research nonprofit, reminded everyone on the call that what they said was top secret.
[12:56.280 --> 13:03.280]  Quote, information and discussion is shared in total confidence and not to be shared until agreement on next steps.
[13:03.280 --> 13:13.280]  In other emails, Jeremy Ferrar passed along an article from the website ZeroHedge. That piece suggested the coronavirus might have been created as a bio weapon.
[13:13.280 --> 13:22.280]  We now know that is a more plausible explanation than the one we believed at first and were told by the media, which is that corona came from a pangolin.
[13:22.280 --> 13:30.280]  And yet for the crime of saying that out loud, a more plausible explanation, ZeroHedge was banned from social media platforms.
[13:30.280 --> 13:34.280]  Until recently, you were not allowed to suggest that COVID might be man-made.
[13:34.280 --> 13:39.280]  Why couldn't you suggest that? The fact checkers wouldn't allow it. Why wouldn't they?
[13:39.280 --> 13:45.280]  Because Tony Fauci assured the tech monopolies that the coronavirus could not have been man-made.
[13:45.280 --> 13:51.280]  And so the tech monopolies shut down the topic. Watch Fauci lie.
[13:51.280 --> 14:04.280]  A group of highly qualified evolutionary virologists looked at the sequences there and the sequences in bats as they evolved.
[14:04.280 --> 14:15.280]  And the mutations that it took to get to the point where it is now is totally consistent with a jump of a species from an animal to a human.
[14:15.280 --> 14:21.280]  That was April 17, 2020, very shortly into the course of this pandemic.
[14:21.280 --> 14:27.280]  At that point, what Tony Fauci just asserted as known could not conclusively have been known.
[14:27.280 --> 14:37.280]  That was a lie. Tony Fauci suggested that he knew because top researchers had decided conclusively that this must have jumped naturally from an animal to a human being.
[14:37.280 --> 14:41.280]  But again, at that point, he could not have known that. That was dishonest.
[14:41.280 --> 14:50.280]  Two days after he said that, one of the virologists that Tony Fauci had funded to conduct dangerous coronavirus experiments in Wuhan wrote to thank him for the help.
[14:50.280 --> 15:00.280]  That man, a man called Peter Dazic, complained to Fauci that the American tax dollars he'd taken for these experiments were being, quote, publicly targeted by Fox News reporters.
[15:00.280 --> 15:10.280]  Yet Dazic remained grateful for Tony Fauci's support, quote, I just wanted to say a personal thank you on behalf of our staff and collaborators, end quote.
[15:10.280 --> 15:19.280]  Now, strangely, most of this specific email from Dazic to Fauci has been redacted and it was redacted under FOIA Section B7A.
[15:19.280 --> 15:27.280]  That specific exemption to the FOIA law applies to, quote, records or information compiled for law enforcement purposes,
[15:27.280 --> 15:35.280]  but only to the extent that production of those documents could reasonably be expected to interfere with enforcement proceedings.
[15:35.280 --> 15:41.280]  Are Peter Dazic and Tony Fauci under a criminal investigation? We can only hope they are. They certainly deserve it.
[15:41.280 --> 15:48.280]  At this point, we can't say for sure. We do know that Fauci hasn't simply lied about the origins of COVID pretending to know things he could not know.
[15:48.280 --> 16:06.280]  He's lied about the vaccines and will come back with that, the conclusion of Tucker, that I'll give you, what's coming next, the key. Stay with us.
[16:18.280 --> 16:25.280]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds,
[16:25.280 --> 16:29.280]  both the regular shows and special reports and share them with everyone you know.
[16:29.280 --> 16:48.280]  Take action now by texting the word NEWS to 833-470-0438. That's 833-470-0438 for InfoWars Emergency News Alerts or text the word SHOW to 833-470-0438 and receive live show notifications.
[16:48.280 --> 16:59.280]  Take action now, rate the chain reaction and tell others to share those texts. Get news alerts at 833-470-0438.
[17:18.280 --> 17:23.280]  Well, with no hesitation whatsoever, the best tasting beans in the entire world.
[17:23.280 --> 17:33.280]  The best part? We've dropped the price by 33% this week for listeners who know higher food prices are coming and want an inflation hedge you can actually eat if you want to.
[17:33.280 --> 17:45.280]  It gets even better. With your permission and with a high regard for your health and well-being, I also want to send you two pounds of what we think is the single most underrated superfood in the world.
[17:45.280 --> 17:58.280]  Period. Go to soupbeansurvival.com, that's soupbeansurvival.com and discover the real reason we're giving this unusual superfood away at soupbeansurvival.com, that's soupbeansurvival.com.
[18:15.280 --> 18:24.280]  Well, let me tell you, we are Tomorrow's News today and thanks for your support. We're still on air at infowars.com and Bandai Video radio stations and TV stations across the country.
[18:24.280 --> 18:33.280]  And our film Endgame, censored and taken offline by Amazon when it hit number one a few years ago, is now available again. We have reprinted it with high quality DVD in HD.
[18:33.280 --> 18:40.280]  It has a zero country code. Anyone in the world is authorized to make copies of it and I'm asking you to get the original, make copies, give it to everyone you know.
[18:40.280 --> 18:46.280]  Errol O'Vlax says TV, give it to your pastors, your police chiefs, your state reps, your prime ministers, whatever you do, warn the world.
[18:46.280 --> 18:52.280]  This film uses their own documents and own statements 14 years ago to expose them. It's more important than ever.
[18:52.280 --> 18:58.280]  Available at infowarsstore.com, that's infowarsstore.com, Endgame, blueprint for global enslavement.
[18:58.280 --> 19:08.280]  I've been on air 27 years and we've gone through a lot of criticism, a lot of attacks, but also a lot of amazing support.
[19:08.280 --> 19:19.280]  And so that's why I always take time out to thank you for keeping us on air because without you, without the crew, without our sponsors, without our affiliates, without everybody, we would not be on air and the world would be a different place.
[19:19.280 --> 19:33.280]  So it's not a power trip when I realized the great effect we've had, it's really counting the cost and realizing that if we weren't here, if you hadn't supported us, the whole planet would be in a much worse position with the globalists.
[19:33.280 --> 19:44.280]  Instead a lot of really, really positive things are happening and so many of the corrupt things the globalists have been involved in are now coming out in the open and so infowars credibility is higher than it's ever been.
[19:44.280 --> 19:50.280]  But the enemy is trying to shut us down with so many different attacks, we've had to build our own infrastructure to stay on air, it's so expensive.
[19:50.280 --> 19:56.280]  So please get great products and keep infowars on the air at the same time, at infowarsstore.com.
[19:56.280 --> 20:18.280]  In fact, for the week of Memorial Day, we have Shroyd free shipping and double Patriot points.
[20:26.280 --> 20:52.280]  All right, again, I rarely air an entire Carlson monologue, but this one is just well done, it's all truthful, but it only goes so far.
[20:52.280 --> 21:00.280]  We're going to give you the rest of the story as soon as we are done finishing this report here in just a moment.
[21:00.280 --> 21:04.280]  So here is Tucker Carlson last night with the fall of Fauci.
[21:04.280 --> 21:14.280]  He's gone to the lab, how Fauci developed the gain of function, how he lied to Congress, how there's videos, how there's documents, how there's witnesses, how there's emails.
[21:14.280 --> 21:26.280]  And then they move on to the next thing, which is he's also the guy in control of the vaccine and the response and the rollout and the investigation into himself.
[21:26.280 --> 21:37.280]  Because if you're going to launch something like this, which they did on purpose, the timing, the preparation, the white papers, the Rockefeller documents, event 201, crimson contagion,
[21:37.280 --> 21:49.280]  all of it preplanned, all of the response rolled out for the UN to be in charge, everyone else to be censored, real treatments like hydroxychloroquine, Rindesivir and others blocked.
[21:49.280 --> 22:01.280]  So you can bring out the experimental gene therapy and set the precedent of a medical tyranny upon the world, which is causing massive heart attacks, massive strokes, massive disintegration of lungs,
[22:01.280 --> 22:11.280]  which again, Fauci did specific studies at the University of Texas and others, knowing that vaccines of the same type, but under another name, did this.
[22:11.280 --> 22:22.280]  This is a very sophisticated criminal rollout plan. They did it at Wuhan, a multinational lab, so you couldn't blame the US, you couldn't blame China, and the UN could be the savior.
[22:22.280 --> 22:31.280]  This is all a globalist, great reset operation. Schwab even admits this is helping bring in their world government, helping cut the carbon, all of this.
[22:31.280 --> 22:41.280]  This is their big move, how wonderful and quiet the cities are, how it's depopulating the third world, how it caused birth rates to plummet across the West.
[22:41.280 --> 22:48.280]  This is their big salvo. Then there's the hack attacks that are just tests to also break down civilization society.
[22:48.280 --> 22:59.280]  And while that happens, the big mega banks, the big tech companies, the big box stores, they're essential, they're designed to take the collapse and only they are left standing.
[22:59.280 --> 23:10.280]  There was a Roman emperor, of course, particularly famous when they ended up dying in the gladiatorial arena himself, whose chief of staff held off the grain supplies.
[23:10.280 --> 23:27.280]  What was his name? Held off the grain supplies for six months so he could be a hero and bring in the grain supplies, but it actually got out of control and made people so sick that they starved and so they got the black plague and ended up bringing down that emperor and the guy that tried the false flag.
[23:27.280 --> 23:35.280]  And it's happening yet again, ladies and gentlemen. History repeats, here it is.
[23:35.280 --> 23:41.280]  Well, investigation, we can only hope they are. They certainly deserve it. At this point, we can't say for sure.
[23:41.280 --> 23:51.280]  We do know that Fauci hasn't simply lied about the origins of COVID pretending to know things he could not know. He has also lied about vaccines in key ways.
[23:51.280 --> 23:58.280]  In March of last year, former Obama official Zeke Emanuel wrote to Fauci to ask a very simple question, one that we've asked countless times.
[23:58.280 --> 24:08.280]  Are people who have recovered from COVID generally immune from getting infected with COVID once again? That applies to about 100 million Americans, so it's not a small question.
[24:08.280 --> 24:16.280]  Fauci's response, quote, no evidence in this regard, but you would assume that there would be substantial immunity post infection.
[24:16.280 --> 24:21.280]  Well, yes, you would assume that we always have. And in fact, studies now show it is true.
[24:21.280 --> 24:28.280]  People who have had COVID and recovered almost never get sick again from COVID, so they don't need to be vaccinated.
[24:28.280 --> 24:37.280]  Yet to this day, Tony Fauci has never admitted that in public. In his email to Zeke Emanuel, he admitted something else that's also now obvious.
[24:37.280 --> 24:44.280]  Surgical masks, the paper kind, all of us wear don't really work. They offer very little protection from COVID.
[24:44.280 --> 24:51.280]  In fact, at least one study shows they may accelerate transmission of viruses. They are in short a form of make belief.
[24:51.280 --> 24:57.280]  Yet once again, while under oath in public, Tony Fauci claimed precisely the opposite.
[24:57.280 --> 25:02.280]  You're telling everybody to wear a mask, whether they've had an infection or a vaccine.
[25:02.280 --> 25:05.280]  What I'm saying is they have immunity and everybody agrees they have immunity.
[25:05.280 --> 25:11.280]  What studies do you have that people that have had the vaccine or have had the infection are spreading the infection?
[25:11.280 --> 25:14.280]  If we're not spreading the infection, isn't it just theater?
[25:14.280 --> 25:15.280]  No, it's not.
[25:15.280 --> 25:18.280]  You've got the vaccine and you're wearing two masks. Isn't that theater?
[25:18.280 --> 25:20.280]  No, here we go again with the theater.
[25:20.280 --> 25:26.280]  Let me just state for the record that masks are not theater. Masks are protective.
[25:26.280 --> 25:28.280]  And we have immunity there, theater.
[25:28.280 --> 25:31.280]  If you already have immunity, you're wearing a mask to give comfort to others.
[25:31.280 --> 25:34.280]  You're not wearing a mask because of any sign.
[25:34.280 --> 25:37.280]  I totally disagree with you.
[25:37.280 --> 25:42.280]  Rand Paul is a physician. He's smart. What he just said was true.
[25:42.280 --> 25:44.280]  And the science shows that it's true.
[25:44.280 --> 25:47.280]  There's not much debate about it actually among honest people.
[25:47.280 --> 25:50.280]  But Tony Fauci claimed it wasn't true. He lied.
[25:50.280 --> 25:52.280]  Why would he do that? Well, here's one reason.
[25:52.280 --> 25:56.280]  The emails show that Tony Fauci speaks regularly to Bill Gates.
[25:56.280 --> 26:00.280]  That's odd. Bill Gates is not a doctor. Bill Gates is not a scientist.
[26:00.280 --> 26:06.280]  Bill Gates is a very rich man who made billions making mediocre software for office computers.
[26:06.280 --> 26:11.280]  So why would Tony Fauci be in such regular contact with Bill Gates?
[26:11.280 --> 26:16.280]  The term Bill Gates comes up more than two dozen times when you search the Fauci emails.
[26:16.280 --> 26:21.280]  Has Bill Gates profited in any way from Tony Fauci's COVID guidance?
[26:21.280 --> 26:25.280]  That would definitely be worth knowing immediately.
[26:25.280 --> 26:29.280]  And yet we don't know. Our media don't seem interested in finding out.
[26:29.280 --> 26:32.280]  In fact, here's how CNN covered the emails today.
[26:32.280 --> 26:38.280]  Quote, thousands of emails from and to Dr. Fauci revealed the weight that came with his role
[26:38.280 --> 26:43.280]  as a rare source of frank honesty within the Trump administration's COVID-19 task force.
[26:43.280 --> 26:50.280]  Can you imagine a more dishonest characterization of anything than that?
[26:50.280 --> 26:51.280]  It's hard to.
[26:51.280 --> 26:53.280]  By the way, it wasn't just CNN.
[26:53.280 --> 26:57.280]  No reporters asked about these emails at today's White House press briefing.
[26:57.280 --> 26:59.280]  Not one question.
[26:59.280 --> 27:01.280]  But you shouldn't be surprised. Of course they didn't ask.
[27:01.280 --> 27:05.280]  Tony Fauci is too big to question at this point.
[27:05.280 --> 27:10.280]  Quote, oh my God, one Biden voter wrote to Tony Fauci back in March.
[27:10.280 --> 27:14.280]  Is there anything I can do for you besides being grateful?
[27:14.280 --> 27:16.280]  Wash my feet with your tears.
[27:16.280 --> 27:18.280]  Fauci may have responded.
[27:18.280 --> 27:20.280]  We can't say that he did respond that way for certain.
[27:20.280 --> 27:22.280]  We don't have his reply.
[27:22.280 --> 27:25.280]  We do know that in affluent neighborhoods throughout Northwest Washington.
[27:25.280 --> 27:30.280]  All right, ladies and gentlemen, yes, this was released by design and that's the rest of the story.
[27:30.280 --> 27:32.280]  Not leaked.
[27:32.280 --> 27:35.280]  We keep calling it a vaccine.
[27:35.280 --> 27:36.280]  It's not.
[27:36.280 --> 27:39.280]  It's a bio weapon, a gene therapy.
[27:39.280 --> 27:41.280]  We keep calling it a leak.
[27:41.280 --> 27:44.280]  It was a purposeful release.
[27:44.280 --> 27:47.280]  It's not a vaccine.
[27:47.280 --> 27:49.280]  It wasn't a leak.
[27:49.280 --> 27:51.280]  It's not a vaccine.
[27:51.280 --> 27:53.280]  It wasn't a leak.
[27:53.280 --> 27:55.280]  Even info wars has headlines.
[27:55.280 --> 28:00.280]  The info wars told you about the Wuhan leak in January 2020.
[28:00.280 --> 28:04.280]  No, I said that it was a purposeful release.
[28:04.280 --> 28:06.280]  You could see it all.
[28:06.280 --> 28:08.280]  It was in the blueprints.
[28:08.280 --> 28:11.280]  It was in the war games.
[28:11.280 --> 28:14.280]  When we come back.
[28:14.280 --> 28:16.280]  Start your engines.
[28:16.280 --> 28:21.280]  Because I'm going to lay out where we really are and what is going to happen next.
[28:21.280 --> 28:23.280]  Unless we the people do something.
[28:23.280 --> 28:25.280]  That's what he is going down.
[28:25.280 --> 28:29.280]  And you notice now people are learning who was controlling him Bill Gates.
[28:29.280 --> 28:35.280]  And so this is a big moment, but the enemy is going to strike back.
[28:35.280 --> 28:38.280]  They've already beta tested.
[28:38.280 --> 28:43.280]  It's going to be a cocktail of terror attacks.
[28:43.280 --> 28:47.280]  Cyber attacks, regional conflicts and even world war.
[28:47.280 --> 28:50.280]  And the globalists are moving to take the dollar.
[28:50.280 --> 28:54.280]  And Alex Jones were broadcasting worldwide for what's left of the Republic.
[28:54.280 --> 29:23.280]  Stay with us.
[29:24.280 --> 29:31.280]  We've got to go research.
[29:31.280 --> 29:34.280]  All those ads and forgot the most important point.
[29:34.280 --> 29:36.280]  Super all that's how these back stuff.
[29:36.280 --> 29:38.280]  Prostate guards back 40% off.
[29:38.280 --> 29:41.280]  Alpha powers back 50% off.
[29:41.280 --> 29:43.280]  That ultra 12.
[29:43.280 --> 29:45.280]  Incredible is back.
[29:45.280 --> 29:47.280]  Also 50% off.
[29:47.280 --> 29:49.280]  No.
[29:49.280 --> 29:59.280]  Instead we've got double patriot points and free shipping store wide double patriot points free shipping store wide on top of the huge sales.
[29:59.280 --> 30:03.280]  Memorial Day 2021 has come and gone.
[30:03.280 --> 30:05.280]  But the fight against the globalist continues.
[30:05.280 --> 30:12.280]  And the huge mega sale the biggest of the year is now ongoing until this Sunday.
[30:12.280 --> 30:23.280]  You've got as of time I'm taking this report about four days to get your orders in store wide free shipping double patriot points to get 10% off for auto shift.
[30:23.280 --> 30:27.280]  Those are the biggest deals of the year all ongoing right now together.
[30:27.280 --> 30:38.280]  That's to protect the DNA force plus so incredible for your DNA for your mitochondria for your telomeres for your cells back in stocks sold out for almost seven months 40% off.
[30:38.280 --> 30:44.280]  Polymob for your allergy seasonal discomfort back in stocks sold out for months 40% off.
[30:44.280 --> 30:46.280]  Supermail Vitality Prostate Guard out the power of 12.
[30:46.280 --> 30:53.280]  That's though beats and so much more Ionic busy magnesium drink all of it 40% 50% off.
[30:53.280 --> 30:59.280]  Store wide free shipping double patriot points for a few more days at infowarstore.com.
[30:59.280 --> 31:07.280]  In 60 seconds I don't have time to tell you how amazing Polymob lock is but you should go to infowarstore.com and read the third party review sites.
[31:07.280 --> 31:10.280]  We have links to where it's got five stars of people love it.
[31:10.280 --> 31:23.280]  Polymob lock is a proprietary formula from France where they just learned by happenstance that quail that eat a certain diet produce eggs and eggshells that are amazing.
[31:23.280 --> 31:27.280]  People eat them for knocking out seasonal discomfort or what folks call allergies.
[31:27.280 --> 31:30.280]  It's back in stock mix a lot for a long time.
[31:30.280 --> 31:32.280]  It's very hard to get despite that.
[31:32.280 --> 31:38.280]  It's 40% off. We have store wide free shipping right now for Memorial Day and double patriot points.
