[00:00:00.049 --> 00:00:00.209]  Oh my!
[00:04:11.006 --> 00:04:14.508]  There is no doubt it's reduced your IQ massively, and mine.
[00:04:14.508 --> 00:04:16.709]  There's no doubt we're in the same boat.
[00:04:16.709 --> 00:04:22.351]  You just think you're in the boat that didn't go into the bottom, when you're in the boat with us going to the bottom.
[00:04:22.351 --> 00:04:32.336]  By the way, in a three-mile stretch, I saw nine police running speed traps today on 360.
[00:04:32.336 --> 00:04:35.457]  And I literally started crying.
[00:04:37.153 --> 00:04:38.754]  It's over.
[00:04:38.754 --> 00:04:39.735]  It's just beginning.
[00:04:39.735 --> 00:04:54.166]  They're going to triple the number and they are going to literally micromanage everything you do.
[00:04:54.166 --> 00:04:55.487]  It is a big idea.
[00:04:56.624 --> 00:04:58.385]  A New World Order.
[00:04:58.385 --> 00:05:03.289]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.289 --> 00:05:06.111]  It's known as the Bilderberg Group.
[00:05:06.111 --> 00:05:08.913]  Could their objective be world domination?
[00:05:08.913 --> 00:05:12.095]  For thousands of years, their dark order grew.
[00:05:12.095 --> 00:05:19.421]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.452 --> 00:05:27.876]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:27.876 --> 00:05:31.258]  You will learn the secret that drives the entire New World Order agenda.
[00:05:53.053 --> 00:05:58.899]  Doctors around the world claim that cancer and other diseases cannot live in a pH balanced alkaline environment.
[00:05:58.899 --> 00:06:04.326]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:06:04.326 --> 00:06:09.712]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:06:09.712 --> 00:06:13.276]  People who alkalize the water they drink experience normalized blood sugar.
[00:06:13.556 --> 00:06:15.597]  Mental clarity and loss of weight.
[00:06:15.597 --> 00:06:21.819]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[00:06:21.819 --> 00:06:25.621]  The fact is that disease simply cannot exist in an alkaline environment.
[00:06:25.621 --> 00:06:30.443]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[00:06:30.443 --> 00:06:31.483]  Do your part.
[00:06:31.483 --> 00:06:34.084]  Alkalize and supercharge your body now!
[00:06:34.084 --> 00:06:40.227]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[00:06:40.527 --> 00:06:43.312]  Up to the pH of 10, with only 10 drops.
[00:06:43.312 --> 00:06:49.782]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:06:49.782 --> 00:06:51.785]  Again, that's alkavision.com.
[00:06:52.955 --> 00:06:54.936]  Heart disease is on the rise.
[00:06:54.936 --> 00:07:01.898]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:07:01.898 --> 00:07:10.301]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:07:10.301 --> 00:07:16.023]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:07:16.443 --> 00:07:18.045]  My blood pressure has normalized.
[00:07:18.045 --> 00:07:20.228]  My diabetes has totally improved.
[00:07:20.228 --> 00:07:24.773]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:07:24.773 --> 00:07:26.995]  I recommend Heart and Body Extract to everyone.
[00:07:26.995 --> 00:07:34.744]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:07:34.924 --> 00:07:37.267]  Order your two month supply today by calling 866-295-5305.
[00:07:37.267 --> 00:07:37.608]  That's 866-295-5305.
[00:07:37.608 --> 00:07:39.350]  Or order online at hbextract.com.
[00:07:39.350 --> 00:07:40.291]  Heart and Body Extract, 866-295-5305.
[00:07:40.291 --> 00:07:41.092]  Or hbextract.com.
[00:07:58.376 --> 00:08:03.221]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:03.221 --> 00:08:04.802]  You want answers?
[00:08:04.802 --> 00:08:05.723]  Well, so does he.
[00:08:05.723 --> 00:08:10.548]  He's Alex Jones on the GCN Radio Network.
[00:08:10.548 --> 00:08:14.632]  And now, live from Austin, Texas, Alex Jones.
[00:08:27.660 --> 00:08:46.846]  Well, in the next few weeks, he's found out that the past 35 years, every time, he should discover the location, either in North America or Europe, of the Bilderberg Group annual meeting of 125 owners of the Chattel Slaves.
[00:08:46.846 --> 00:08:51.708]  Its global economic steering arm, it's openly called for world government, the end of the dollar,
[00:08:53.104 --> 00:08:57.627]  Just met Global Elite Gather NDC Trilateral Commission.
[00:08:57.627 --> 00:09:00.849]  He's got major leaks from the inside.
[00:09:00.849 --> 00:09:04.711]  And by the way, Jim's leaks always turn out to be very accurate.
[00:09:04.711 --> 00:09:08.433]  Kissinger a few years ago talked about $200 a barrel oil.
[00:09:08.433 --> 00:09:11.155]  It's gone well past $120 a barrel.
[00:09:11.155 --> 00:09:14.757]  When Kissinger said that, it was at $40 a barrel.
[00:09:14.757 --> 00:09:18.319]  And he said within the next few years, they would raise it artificially.
[00:09:21.468 --> 00:09:28.215]  And now Jim Tucker's got us another window via spies into the Trilateral Commission meeting in Washington, D.C.
[00:09:28.215 --> 00:09:38.106]  He joins us from the offices of American Free Press in Washington, D.C., the super sleuth, straw hat and all, it is Jim Tucker.
[00:09:38.106 --> 00:09:40.208]  Jim, thanks for coming on with us.
[00:09:40.208 --> 00:09:40.869]  It's always a pleasure.
[00:09:41.616 --> 00:09:44.097]  All right, we've only got you for one segment.
[00:09:44.097 --> 00:09:54.182]  Run down what you've got from the Trilateral Boys, the sub-directorate, with David Rockefeller, and then where you think Bilderberg may be.
[00:09:54.182 --> 00:09:58.705]  Well, the Trilateral Commission meeting in Washington was a lot of fun this weekend.
[00:09:58.705 --> 00:10:01.746]  We still don't know where Bilderberg's going to meet.
[00:10:01.746 --> 00:10:11.051]  The boys in Europe have some ideas, but they're not checking out very well, and the possibility of Japan is only suggested because
[00:10:11.829 --> 00:10:19.154]  The G8 has a state from North America and Europe are going to meet in Japan this year for the first time ever.
[00:10:19.154 --> 00:10:20.534]  So there could be a connection there.
[00:10:20.534 --> 00:10:39.006]  The China Commission this past weekend was a lot of fun because they closed their meeting absolutely convinced that there would be no reporting, nobody would know who was there, or maybe a few people identifying by sight of Rockefeller or a famous face.
[00:10:39.676 --> 00:10:43.418]  But we have their complete list of participants.
[00:10:43.418 --> 00:10:45.298]  We have their complete agenda.
[00:10:45.298 --> 00:10:47.760]  We know everything that transpired.
[00:10:47.760 --> 00:11:03.026]  And they're going to be shocked when they see American Free Press this week, a four-page pull-out insert that tells all about their mischief, as usual.
[00:11:03.026 --> 00:11:07.648]  Well, one interesting thing is they are very upset about Ron Paul.
[00:11:10.131 --> 00:11:18.895]  No, they said they're... Tell you what, stay there, because I know you're in a newsroom, and it's noisy, but I want you to back up a little bit, because somebody's voice is overpowering things.
[00:11:18.895 --> 00:11:22.437]  Jim, explain to people, you guys had a mole in there.
[00:11:22.437 --> 00:11:32.541]  I mean, I don't want you to give us any details, but, I mean, or give us as much as you can of how you're getting this info out.
[00:11:32.541 --> 00:11:37.604]  Somehow, I can't go further, but it came into my hands, their complete packet, which is listed there.
[00:11:40.152 --> 00:11:44.113]  Of course, as we said, they're drinking lemonade or something.
[00:12:06.567 --> 00:12:09.488]  Their concern over Ron Paul fascinated me.
[00:12:09.488 --> 00:12:21.713]  They say that they're quite sure that they own any of the three potential presidents, meaning Senator John McCain and Barack Obama and Hillary Clinton.
[00:12:21.713 --> 00:12:35.219]  They noted that Hillary and Obama have pretended they've got reservations about NAFTA, and they say that's pure politics, citing the Obama boy in Canada who reassured Canadian diplomats, according to
[00:12:36.398 --> 00:12:42.663]  Uh, stories published in Canadian newspapers that Obama was, uh, all far and after.
[00:12:42.663 --> 00:12:46.625]  It's just campaign rhetoric with his reassurances to the Canadians.
[00:12:46.625 --> 00:12:52.229]  Okay, but you specifically, this is coming from Milderberg, I mean, from Trilateral Commission, same thing.
[00:12:52.229 --> 00:12:56.132]  Why are they still worried about Ron Paul?
[00:12:56.132 --> 00:13:03.878]  Because they're concerned about Ron Paul's turning out thousands and thousands of young voters who
[00:13:04.787 --> 00:13:08.209]  So they're worried about the movement and what it's built, rather than the candidacy?
[00:13:24.029 --> 00:13:25.510]  Yes, they're sure that Ron Paul will.
[00:13:25.510 --> 00:13:30.151]  Ron Paul himself says that he recognizes the chance to be elected president.
[00:13:30.151 --> 00:13:43.516]  Well, if Ron Paul will give us some marching orders for the tens of millions that will do whatever he says, like, let's try to repeal NAFTA now that it's up, or let's repeal gun laws, or let's shut down the border or end the war, they would go out and continue the grassroots operations.
[00:13:43.516 --> 00:13:49.939]  Right now, they're still spending 99% of their time on the delegate process and running around shouting Ron Paul and buying his book.
[00:13:50.399 --> 00:13:51.500]  And that's all fine and dandy.
[00:13:51.500 --> 00:13:53.362]  We saw the book, too.
[00:13:53.362 --> 00:14:05.332]  It's just that I think Ron Paul needs to understand he is the leader right now, and he needs to, I think, go ahead and give some orders, because an army that doesn't fight kind of falls apart.
[00:14:05.332 --> 00:14:15.640]  Well, he's got about 50 delegates, with all the campaign election cheating and so forth, still about 50 delegates, and he's hoping to
[00:14:17.307 --> 00:14:21.888]  ...be able to deliver a primetime speech at the convention on that basis.
[00:14:21.888 --> 00:14:46.053]  It used to be that if you got even one delegate, you could be placed in nominations in an adoring fashion, but they're concerned that these thousands of young people who follow Ron Paul are being educated on the Constitution, which they despise, the First and Tenth Amendments, which they despise, and the fact that Ron Paul would
[00:14:47.791 --> 00:14:51.672]  Okay, so bottom line, they're worried about the anti-globalist movement exploding in size with Ron Paul as a focal point.
[00:15:14.866 --> 00:15:22.450]  Yes, and with all these young people embracing, and traditionally young people were always considered left-wingers in the 1960s.
[00:15:22.450 --> 00:15:30.033]  They all voted for McGovern, who was opposed to, directly opposed to the war, but also favored a whole lot of socialism.
[00:15:31.173 --> 00:15:32.014]  That's right.
[00:15:32.014 --> 00:15:34.955]  So now they're not buying into fake conservatives and neocons.
[00:15:34.955 --> 00:15:38.337]  They're not buying into a foundation, establishment, gatekeeper liberals.
[00:15:38.337 --> 00:15:46.061]  They're actually waking up to the New World Order, and your sources are saying that that was one of the main topics?
[00:15:46.061 --> 00:15:53.365]  It was not actually on the agenda, but a lot of people expressed concern about Ron Paul.
[00:15:53.365 --> 00:15:54.906]  Did they talk about ways to counter it?
[00:15:58.593 --> 00:16:00.774]  We've got to do something about it.
[00:16:00.774 --> 00:16:06.017]  They won't call Republicans to pressure Paul to drop out now and stop his education rallies.
[00:16:06.017 --> 00:16:09.399]  That assignment was given to Thomas Foley, former U.S.
[00:16:09.399 --> 00:16:11.260]  Speaker of the House, but he was a Democrat.
[00:16:11.260 --> 00:16:17.844]  How is Foley going to go after Paul, do we know, from the enemy operation?
[00:16:17.844 --> 00:16:25.048]  He will call up old cronies in Congress, Republicans and Democrats, who will pressure Paul to
[00:16:26.804 --> 00:16:41.132]  So the Trilateral Commission is putting a political photo out on Paul, you will see demonization campaigns, all of this suddenly heat up.
[00:16:41.132 --> 00:16:52.858]  Yes, but Paul is a strong man, he will resist that, and he'll stay in at least until the Republican Convention, and I hope he'll run as a third party.
[00:16:52.858 --> 00:16:55.579]  Oh absolutely, that's the way to go, but he's not going to do that.
[00:16:57.825 --> 00:17:11.693]  Well, maybe he will allow himself to be persuaded until the convention would be not politic to say, I'm not nominated, if you don't vote for me, the convention I'm going to run is a third party.
[00:17:11.693 --> 00:17:17.217]  He should have announced that at his peak, as I look at all the graphs, in late January.
[00:17:17.217 --> 00:17:20.499]  I mean, my God, we had total destiny in our hands.
[00:17:21.876 --> 00:17:31.740]  Ron Paul's advisors, I have to say, are very old school, and I don't think in the 21st century, but Shaila V, he's a great man, and we appreciate the work he's done, and it shows that they're afraid.
[00:17:31.740 --> 00:17:47.906]  Jim Tucker, they also, according to your sources, are very upset that our taxes aren't 75-80%, and that's back on, I guess, the agenda to make sure we pay all of our money into, I guess, taxes of one form or another to pay off the debt on what the bankers have run up.
[00:17:48.856 --> 00:18:06.600]  Oh, uh, yes, they've, uh, well, let's see, uh, scanning even as we, uh, speak, uh, the, uh, well, they're saying as far as the, uh, uh, title, title, U.S.
[00:18:06.600 --> 00:18:10.341]  foreign and domestic policy brought out, outlines for a new administration.
[00:18:10.341 --> 00:18:14.982]  It was presided over by a journalist named David Gergen who will write nothing about
[00:18:15.925 --> 00:18:17.667]  This is a magazine, U.S.
[00:18:17.667 --> 00:18:29.657]  News and World Report, and the conclusion was that Americans simply don't pay enough of their fair share.
[00:18:29.657 --> 00:18:31.699]  We should pay our arrears to the U.N.
[00:18:31.699 --> 00:18:37.024]  dues and allow as many immigrants as the United States wants to come and provide amnesty for illegal aliens already here.
[00:18:37.668 --> 00:18:41.251]  But nothing was said about the American taxpayers paid one-fourth of the U.N.'
[00:18:41.231 --> 00:18:46.615]  's operating costs, one-third of the peacekeeping missions overseas.
[00:18:46.615 --> 00:18:48.416]  We should stop doing that right now.
[00:18:48.416 --> 00:19:01.667]  And also we have a duty, it says here in your article at AmericanFreePress.net, we have a duty to intervene and pay off all the banks and give them unlimited money and pay taxes for that.
[00:19:01.667 --> 00:19:05.490]  Oh yes, we should bail out the banks, but they didn't express much concern
[00:19:06.330 --> 00:19:13.752]  If any, about the Americans who have hundreds of thousands of Americans whose homes are being foreclosed.
[00:19:13.752 --> 00:19:15.953]  Now, it can be said it was stupid.
[00:19:15.953 --> 00:19:21.874]  In fact, out of a Billeberg meeting some years ago, we had an advanced story on this financial crisis.
[00:19:21.874 --> 00:19:34.498]  And surely it could be said that it was very stupid of a young couple to buy a house with not a nickel to pay on, be told that you can only have to pay this much each month, that's just your interest.
[00:19:35.186 --> 00:19:36.147]  That's right.
[00:19:36.147 --> 00:19:40.192]  The Bilderberg Group said in 2006 they were going to pop the mortgage bubble.
[00:19:40.192 --> 00:19:42.414]  Jim Tucker, thank you so much for the time.
[00:19:42.414 --> 00:19:44.056]  You'll be reporting for us, of course, from Bilderberg.
[00:19:55.185 --> 00:19:57.867]  Do you know the truth about cancer treatments?
[00:19:57.867 --> 00:20:07.334]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:07.334 --> 00:20:14.420]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:15.140 --> 00:20:21.123]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:20:21.123 --> 00:20:31.909]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:20:32.489 --> 00:20:33.109]  It is a big idea.
[00:20:33.109 --> 00:20:34.070]  A new world order.
[00:20:34.070 --> 00:20:35.430]  In the near future.
[00:21:00.313 --> 00:21:03.376]  Earth is dominated by a powerful world government.
[00:21:03.376 --> 00:21:06.218]  It's known as the Bilderberg Group.
[00:21:06.218 --> 00:21:09.001]  Could their objective be world domination?
[00:21:09.001 --> 00:21:12.184]  For thousands of years, their dark order grew.
[00:21:12.184 --> 00:21:19.511]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:22.540 --> 00:21:27.984]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:27.984 --> 00:21:31.866]  You will learn the secret that drives the entire New World Order agenda.
[00:21:31.866 --> 00:21:34.428]  Build America is making great progress toward a world government.
[00:21:34.428 --> 00:21:35.589]  Most people have no idea.
[00:21:35.589 --> 00:21:36.369]  They're not after money.
[00:21:36.369 --> 00:21:37.650]  They have all the money they need.
[00:21:37.650 --> 00:21:38.631]  They're after power.
[00:21:38.631 --> 00:21:39.772]  That's what they're after these years.
[00:21:39.772 --> 00:21:48.517]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:21:48.517 --> 00:21:51.299]  Endgame, blueprint for global enslavement.
[00:21:51.299 --> 00:21:52.380]  You have been warned.
[00:21:54.574 --> 00:22:00.658]  Did you know the accumulation of acidic waste in the body is the single largest cause of disease such as cancer or diabetes?
[00:22:00.658 --> 00:22:06.603]  Acidic waste is created by the types of food we eat, what we drink, the environment, and our high-stress lifestyles.
[00:22:06.603 --> 00:22:10.765]  It's these choices that cause decreased energy, weight gain, and eventually disease.
[00:22:10.765 --> 00:22:15.929]  The easiest way to reduce disease-causing acidic waste is by drinking alkaline ionized water.
[00:22:15.929 --> 00:22:23.334]  At SnyderHealth.com, we offer a full line of alkaline water ionizers from Jupiter Science, the leader in water ionization technology for over 25 years.
[00:22:24.415 --> 00:22:34.680]  Instantly transform ordinary tap water into clean, living, energized water containing alkaline minerals, disease-fighting antioxidants, and highly absorbable oxygen.
[00:22:34.680 --> 00:22:39.883]  Now you can easily and effectively rid your body of harmful acidic waste with alkaline ionized water.
[00:22:39.883 --> 00:22:44.225]  Let SnyderHealth.com provide the water ionizer that's right for you and your family.
[00:22:44.225 --> 00:22:48.227]  Call us today at 877-356-2508 and visit us online at SnyderHealth.com.
[00:22:48.227 --> 00:22:49.047]  That's SnyderHealth.com.
[00:22:53.376 --> 00:22:56.237]  Terror Storm, a history of government-sponsored terror.
[00:22:56.237 --> 00:22:57.797]  Loose Change Final Cut.
[00:22:57.797 --> 00:22:59.938]  Endgame, blueprint for global enslavement.
[00:22:59.938 --> 00:23:01.839]  The true story of the Bilderberg Group.
[00:23:01.839 --> 00:23:03.339]  The late, great USA.
[00:23:03.339 --> 00:23:05.100]  America, freedom to fascism.
[00:23:05.100 --> 00:23:12.122]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:23:12.122 --> 00:23:16.203]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:23:16.203 --> 00:23:19.604]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:23:19.984 --> 00:23:22.746]  Or you would like a book on the history of the Federal Reserve.
[00:23:22.746 --> 00:23:25.828]  We've got the most well-researched and documented titles.
[00:23:25.828 --> 00:23:28.190]  All available at PrisonPlanet.com.
[00:23:28.190 --> 00:23:33.894]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[00:23:33.894 --> 00:23:38.857]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:23:39.898 --> 00:23:50.513]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:23:50.513 --> 00:23:51.975]  Join the info war today!
[00:24:30.515 --> 00:24:33.177]  Thanks for taking your chances with us, this show.
[00:24:33.177 --> 00:24:40.300]  Again and again.
[00:24:40.300 --> 00:24:42.942]  Together, we're coming straight on.
[00:24:42.942 --> 00:24:47.745]  Straight on.
[00:24:47.745 --> 00:24:53.768]  Straight on for the New World Order, and they're scared.
[00:24:53.768 --> 00:24:56.810]  They know that we know they're the enemy.
[00:24:56.810 --> 00:24:59.171]  They first tried to deny they were setting up a world government.
[00:25:00.345 --> 00:25:08.529]  Now they admit it and try to claim it's benevolent and loving and good, but we can see the fruits of everything they do.
[00:25:08.529 --> 00:25:10.991]  They're war criminals.
[00:25:10.991 --> 00:25:15.673]  Their combine will be brought to justice.
[00:25:15.673 --> 00:25:17.714]  Because humanity doesn't have a choice.
[00:25:17.714 --> 00:25:27.419]  And we're coming straight on.
[00:25:27.419 --> 00:25:29.060]  We're not listening to their propaganda.
[00:25:31.536 --> 00:25:34.737]  They're misdirection anymore.
[00:25:34.737 --> 00:25:38.079]  We've broken our conditioning.
[00:25:38.079 --> 00:25:49.403]  We see clearly.
[00:25:49.403 --> 00:25:53.825]  The New World Order knows their time is short.
[00:25:53.825 --> 00:25:56.426]  All right, later in the show, again we have the
[00:25:57.483 --> 00:26:00.824]  Condo manager, friends with Debra Jean Palfrey, the murdered D.C.
[00:26:00.824 --> 00:26:02.324]  madam, joining us.
[00:26:02.324 --> 00:26:06.025]  That's going to be a radio first.
[00:26:06.025 --> 00:26:07.326]  He's going to be coming on with us.
[00:26:07.326 --> 00:26:11.707]  We've got Mike Rivera, who's been working the case since the start, popping in in the next hour.
[00:26:11.707 --> 00:26:17.008]  James Whale, making all the big British papers, getting fired over supporting a candidate for mayor of London.
[00:26:17.008 --> 00:26:17.909]  His candidate won.
[00:26:17.909 --> 00:26:18.869]  He's been fired.
[00:26:18.869 --> 00:26:21.890]  That's your so-called free speech.
[00:26:21.890 --> 00:26:25.491]  Country, where have you do one of a couple hundred things, you get arrested speech-wise.
[00:26:28.117 --> 00:26:32.658]  It didn't used to be like that, but it's no longer jolly old England, it's police state England.
[00:26:32.658 --> 00:26:41.820]  And I want to explain this again, because I get emails and message board comments from people claiming to be cops, calling me trash.
[00:26:41.820 --> 00:26:49.982]  You know something, I've been there at the hospital watching innocent families have their babies kidnapped from them for no reason.
[00:26:49.982 --> 00:26:57.644]  I have seen the sheriff where I grew up go to jail for shipping in the drugs, I already knew that, and told people I had the cops threatening to kill me.
[00:26:59.162 --> 00:27:05.583]  I, uh, have witnessed thousands of videos of police beating people up and then charging them with assaulting them.
[00:27:05.583 --> 00:27:11.044]  I have had police demand to search my car without a warrant repeatedly, and then threaten me when I said no.
[00:27:11.044 --> 00:27:20.506]  I, uh, on a three-mile stretch of road, three miles, saw nine cops this morning radaring people.
[00:27:20.506 --> 00:27:23.287]  That's too many.
[00:27:23.287 --> 00:27:24.667]  There's too many of you.
[00:27:24.667 --> 00:27:26.988]  You're in our business too much.
[00:27:26.988 --> 00:27:28.048]  There's too many cameras.
[00:27:30.595 --> 00:27:35.796]  And I was thinking, it was running through my head, racing through my head, the thousands of things that make me mad at police.
[00:27:35.796 --> 00:27:45.059]  Like pulling up last year at my office, and my IT guy pulled into the office, and they said that looked suspicious, the way he pulled into his workplace.
[00:27:45.059 --> 00:27:47.600]  They were behind him, thought he was running from him, pulling in.
[00:27:47.600 --> 00:27:49.460]  No, he works here.
[00:27:49.460 --> 00:27:52.081]  And so his license was expired.
[00:27:52.990 --> 00:28:04.614]  They were putting him in the police car when I pull up and cops kind of bull up at first and they recognize me and start laughing and saying how they've been watching me for all these years and how one of them is retiring in six months and he can't wait.
[00:28:04.614 --> 00:28:09.336]  And, uh, two senior cops, a woman cop, is taking him to jail.
[00:28:09.336 --> 00:28:11.677]  And I said, if he was an illegal alien, you wouldn't be arresting him.
[00:28:11.677 --> 00:28:19.220]  He said, you know, Alex, really, you're right, because we're encouraged not to because the judge just lets him go or gives him a $50 fine.
[00:28:19.220 --> 00:28:20.280]  And that's really true.
[00:28:20.280 --> 00:28:21.020]  And I don't like that.
[00:28:21.020 --> 00:28:22.141]  But I said, that's not a law, is it?
[00:28:22.141 --> 00:28:22.521]  He goes, no.
[00:28:23.376 --> 00:28:26.799]  You know, it's... What else did he say?
[00:28:26.799 --> 00:28:30.642]  He was like, well, and quotas aren't a law, but we gotta do it!
[00:28:30.642 --> 00:28:31.343]  He started laughing.
[00:28:31.343 --> 00:28:33.745]  He goes, that's why I'm glad I'm out of here in six months.
[00:28:33.745 --> 00:28:35.086]  Ha ha ha ha ha!
[00:28:35.086 --> 00:28:37.948]  The other guys there, black guy, white guy, they're both laughing.
[00:28:37.948 --> 00:28:47.897]  I lean over to the car while she's driving off, and I said, yeah, he was an illegal alien when we were going to jail, and she got mad and pulled off.
[00:28:47.897 --> 00:28:50.639]  And don't deny you do that.
[00:28:50.639 --> 00:28:51.460]  Don't deny that's...
[00:28:53.263 --> 00:29:00.104]  You know, the cop who called me trash on my comment section on InfoWars today said, you know what?
[00:29:00.104 --> 00:29:01.245]  We've got too many things.
[00:29:01.245 --> 00:29:05.766]  You know, I'm too busy.
[00:29:05.766 --> 00:29:07.046]  Wasn't even part of the conversation.
