[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[00:11:32.547 --> 00:11:34.188]  The more interested we tend to be.
[00:11:34.188 --> 00:11:37.110]  That's usually a sign you're over the target.
[00:11:37.110 --> 00:11:40.933]  A lot of people with impressive sounding credentials in this country are frauds.
[00:11:40.933 --> 00:11:42.754]  They have no idea what they're doing.
[00:11:42.754 --> 00:11:47.338]  They're children posing as authorities and when they're caught they lie and then they blame you for it.
[00:11:48.120 --> 00:11:49.180]  We see that every day.
[00:11:49.180 --> 00:11:53.042]  It's the central theme of this show and will continue to be.
[00:11:53.042 --> 00:11:55.783]  So that's a long way of saying we took Sidney Powell seriously.
[00:11:55.783 --> 00:11:57.064]  We had no intention of fighting with her.
[00:11:57.064 --> 00:11:58.744]  We've always respected her work.
[00:11:58.744 --> 00:12:00.385]  We simply wanted to see the details.
[00:12:00.385 --> 00:12:02.526]  How could you not want to see them?
[00:12:02.526 --> 00:12:04.247]  So we invited Sidney Powell on the show.
[00:12:04.247 --> 00:12:05.827]  We would have given her the whole hour.
[00:12:05.827 --> 00:12:11.570]  We would have given her the entire week, actually, and listened quietly the whole time at rapt attention.
[00:12:11.570 --> 00:12:12.590]  That's a big story.
[00:12:13.766 --> 00:12:17.154]  But she never sent us any evidence, despite a lot of requests.
[00:12:17.154 --> 00:12:18.076]  Polite requests.
[00:12:18.076 --> 00:12:19.379]  Not a page.
[00:12:19.379 --> 00:12:22.607]  When we kept pressing, she got angry and told us to stop contacting her.
[00:12:23.260 --> 00:12:30.365]  When we checked with others around the Trump campaign, people in positions of authority, they told us Powell has never given them any evidence either.
[00:12:30.365 --> 00:12:33.628]  Nor did she provide any today at the press conference.
[00:12:33.628 --> 00:12:35.950]  Powell did say that electronic voting is dangerous.
[00:12:35.950 --> 00:12:36.630]  And she's right.
[00:12:36.630 --> 00:12:37.951]  We're with her there.
[00:12:37.951 --> 00:12:45.057]  But she never demonstrated that a single actual vote was moved illegitimately by software from one candidate to another.
[00:12:45.057 --> 00:12:45.457]  Not one.
[00:12:45.457 --> 00:12:48.539]  So why are we telling you this?
[00:12:48.539 --> 00:12:50.561]  We're telling you this because it's true.
[00:12:51.590 --> 00:12:53.371]  And in the end, that's all that matters.
[00:12:53.371 --> 00:12:55.011]  The truth.
[00:12:55.011 --> 00:12:56.552]  It's our only hope.
[00:12:56.552 --> 00:12:58.773]  It's our best defense.
[00:12:58.773 --> 00:13:01.154]  And it's how we're different from them.
[00:13:01.154 --> 00:13:02.495]  We care what's true.
[00:13:02.495 --> 00:13:04.816]  And we know you care too.
[00:13:04.816 --> 00:13:05.596]  That's why we told you.
[00:13:06.857 --> 00:13:12.499]  Maybe Sidney Powell will come forward soon with details on exactly how this happened and precisely who did it.
[00:13:12.499 --> 00:13:13.139]  Maybe she will.
[00:13:13.139 --> 00:13:16.181]  We are certainly hopeful that she will.
[00:13:16.181 --> 00:13:26.625]  What happened with the vote counting this month, and at the polling places in Detroit, and the polling places in Philadelphia, and so much else, actually matters.
[00:13:26.625 --> 00:13:30.326]  It matters no matter who you voted for, it matters whether or not you think this election is already over.
[00:13:30.999 --> 00:13:38.644]  Until we know the answers to those questions conclusively and we can agree on them, this country will not be united.
[00:13:38.644 --> 00:13:43.146]  Alright, ladies and gentlemen, that was Tucker Carlson last night.
[00:13:43.146 --> 00:13:49.210]  The number one rated show on primetime news television.
[00:13:49.210 --> 00:13:55.834]  When we come back from this upcoming break, Alex Jones is going to dive deeper into what all of this means.
[00:13:57.162 --> 00:14:05.587]  And of course the electronic voting machines and the evidence that Sidney Powell is going to have to come up with.
[00:14:05.587 --> 00:14:10.830]  And then some of the behind the scenes stuff that's going on.
[00:14:10.830 --> 00:14:16.813]  I think, quite frankly, and I've been saying this, this is going to be the toughest legal challenge for Trump's team.
[00:14:16.813 --> 00:14:19.995]  And it's going to be proving that the voting machines were rigged.
[00:14:21.093 --> 00:14:29.736]  And you already have Dominion backing out of testifying in Pennsylvania today.
[00:14:29.736 --> 00:14:36.899]  The headline on the Gateway Pundit is Dominion Voting System backs out from testifying before Pennsylvania State House Committee.
[00:14:36.899 --> 00:14:38.700]  What are they hiding?
[00:14:38.700 --> 00:14:41.041]  The Pennsylvania House Republicans made a statement.
[00:14:41.041 --> 00:14:46.283]  Representative Don Keefer, 14 counties use the Dominion Voting System software.
[00:14:46.283 --> 00:14:49.564]  We trust the workers in our polling places and in our counties.
[00:14:49.977 --> 00:14:59.924]  But what we don't know is the role of third-party companies, and when they rescind their participation in our hearing, we're left wondering why.
[00:14:59.924 --> 00:15:06.048]  And so, they're recounting in Wisconsin, they're recounting in Georgia, but they're recounting the fake votes.
[00:15:06.048 --> 00:15:17.135]  And you can't recount votes that are just numbers and data on a computer, on a database, and you don't actually have a paper record.
[00:15:18.564 --> 00:15:21.846]  So this is a near impossible challenge.
[00:15:21.846 --> 00:15:25.067]  These rigged voting machines have been used around the world for decades.
[00:15:25.067 --> 00:15:27.869]  They've mastered their craft.
[00:15:27.869 --> 00:15:36.053]  Can Rudy Giuliani, Sidney Powell, Jenna Ellis, Joe DiGenova, Lin Wood and others slay this beast?
[00:15:36.053 --> 00:15:42.977]  Slay these rigged elections that happen worldwide with Dominion voting systems and Smartmatic?
[00:15:42.977 --> 00:15:46.719]  This is a final level battle for the United States of America.
[00:15:48.083 --> 00:15:51.270]  For democracy and for our republic.
[00:15:51.270 --> 00:15:54.938]  And Alex Jones breaks it all down on the other side of this short break.
[00:15:56.627 --> 00:16:03.290]  Urgent warnings are being issued right now by the United Nations, the Davos Group, Bank of America, JPMorgan Chase, Goldman Sachs.
[00:16:03.290 --> 00:16:09.253]  They're saying that the COVID virus is going to cause a global depression and hundreds of millions to starve to death.
[00:16:09.253 --> 00:16:10.494]  Incredible!
[00:16:10.494 --> 00:16:19.378]  They're the very organizations that ordered the global lockdowns that are causing the chain reaction that's causing the mass starvation, not the COVID virus.
[00:16:19.378 --> 00:16:20.538]  That is a fact.
[00:16:20.538 --> 00:16:25.801]  And all the hero sheep that wear the mask and go along with this are signing on to mass murder.
[00:16:26.121 --> 00:16:27.662]  Bigger than what Hitler did.
[00:16:27.662 --> 00:16:31.125]  That's when we got the Geneva Convention and the Nuremberg Code.
[00:16:31.125 --> 00:16:40.092]  This is a medical, world government, tyrannical takeover, causing starvation, setting up world IDs, and coming with forced inoculations.
[00:16:40.092 --> 00:16:45.175]  And now Bank of America says global unrest is sure to trigger an even bigger depression.
[00:16:45.175 --> 00:16:46.957]  That story's on InfoWars.com.
[00:16:46.957 --> 00:16:55.223]  That's why it's vital for all of you to be public and to say you do not stand for this or the mass global genocide being caused by the planetary Great Reset.
[00:16:56.570 --> 00:16:59.111]  Alex Jones here with an important message to all of our listeners and viewers.
[00:16:59.111 --> 00:17:00.532]  I want to thank you for your support over the years.
[00:17:00.532 --> 00:17:03.073]  I want to thank you for having skin in the game.
[00:17:03.073 --> 00:17:06.415]  And no one has had more skin in the game than our president.
[00:17:06.415 --> 00:17:07.436]  And he needs our prayers.
[00:17:07.436 --> 00:17:08.356]  He needs our support.
[00:17:08.356 --> 00:17:10.217]  He is the president.
[00:17:10.217 --> 00:17:11.958]  Secretary of State Pompeo understands.
[00:17:11.958 --> 00:17:17.601]  That's why he said yesterday there will be a smooth transition from this Trump administration into the next.
[00:17:17.841 --> 00:17:18.281]  I don't think so.
[00:17:40.945 --> 00:17:41.285]  He's not.
[00:17:41.285 --> 00:17:47.110]  The president has to concede and or all of the states have to certify the vote, which hasn't happened yet.
[00:17:47.110 --> 00:17:51.373]  And then you have to have the electors seek who is going to be the president.
[00:17:51.373 --> 00:17:53.495]  And this may be a dispute that goes back to the states.
[00:17:53.495 --> 00:17:54.916]  That's why it's in the Constitution.
[00:17:54.916 --> 00:17:59.720]  And the Constitution is kicking in.
[00:17:59.720 --> 00:18:02.362]  You're listening to the Alex Jones Show.
[00:18:20.461 --> 00:18:24.404]  Very strong words from Tucker Carlson about Sidney Powell.
[00:18:24.404 --> 00:18:27.066]  First, let me just say I've been friends with Tucker Carlson for 10 years.
[00:18:27.066 --> 00:18:28.607]  He listens to my show.
[00:18:28.607 --> 00:18:29.448]  I listen to his show.
[00:18:29.448 --> 00:18:39.135]  I think he's got some of the best guests, the best analysis, and the most courage of anybody on mainstream television, or even radio for that matter, other than InfoWars.
[00:18:39.135 --> 00:18:44.939]  And I understand why he's frustrated with Sidney Powell, one of Trump's main lawyers, and looking into fraud.
[00:18:44.939 --> 00:18:48.442]  Because he offered her the whole show, 45 minutes of airtime.
[00:18:48.442 --> 00:18:49.563]  You might have seen the commercials.
[00:18:51.004 --> 00:18:54.625]  And she responded back, oh, I can't just go on for five minutes.
[00:18:54.625 --> 00:18:56.206]  I would need more time to present my truth.
[00:18:56.206 --> 00:19:01.428]  And I'm too busy investigating what's going on.
[00:19:01.428 --> 00:19:03.068]  Well, here's the problem with that.
[00:19:03.068 --> 00:19:04.869]  He did offer you an hour.
[00:19:04.869 --> 00:19:08.150]  And the press conference you did didn't get covered by the media because they're shutting you out.
[00:19:08.150 --> 00:19:13.232]  You would have had one of the biggest audiences in media out there for you and Giuliani to go on his show.
[00:19:14.511 --> 00:19:18.774]  All you have to do is provide him with the proof of the algorithm.
[00:19:18.774 --> 00:19:23.077]  Now, that said, there is proof of the algorithm.
[00:19:23.077 --> 00:19:29.762]  The problem is, Sidney Powell is not a mathematician, she's not a software engineer, she's not a statistician.
[00:19:29.762 --> 00:19:36.046]  And there are a whole group, four different groups, I've talked to Trump's lawyers, people that are right here in Georgia, high level.
[00:19:36.046 --> 00:19:38.488]  There are four corporate groups that have scanned
[00:19:39.631 --> 00:19:40.072]  I don't know.
[00:19:52.639 --> 00:19:59.344]  They simply need to present the information that those groups have garnered, the software engineers have found, and give it to Tucker Carlson.
[00:19:59.344 --> 00:20:14.195]  Anyone with their own eyeball can see that as soon as they close the polls prematurely, in Georgia, in Michigan and other areas, that instead of an organic circle or curve, it went straight up for Biden and all those states.
[00:20:14.195 --> 00:20:17.197]  So that's what the computers are picking up.
[00:20:17.197 --> 00:20:20.080]  And I've interviewed Bev Harris and all the other experts.
[00:20:21.309 --> 00:20:25.333]  About Dominion, about all these software companies that have been banned in most states.
[00:20:25.333 --> 00:20:27.656]  My God, it's famous how they've been caught.
[00:20:27.656 --> 00:20:32.861]  It's famous how they put patches on the day before the election, and weird groups were breaking in.
[00:20:32.861 --> 00:20:39.308]  But it's so complex that judges don't understand it, the general public doesn't understand it, and lawyers like Powell don't understand it.
[00:20:39.308 --> 00:20:40.089]  They're sitting there.
[00:20:41.230 --> 00:20:41.630]  I think?
[00:21:02.015 --> 00:21:04.116]  It's something that the public just doesn't understand.
[00:21:04.116 --> 00:21:08.358]  But what we do understand is law about signature verification.
[00:21:08.358 --> 00:21:19.924]  Now, you've got to have signature verification if you show up in person, but not supposedly, according to these agreements that were made by governors outside of law, outside of the legislature, in the states.
[00:21:19.924 --> 00:21:23.145]  And so in Georgia and other areas, they weren't verifying the signatures.
[00:21:23.145 --> 00:21:24.886]  They weren't even looking at them.
[00:21:24.886 --> 00:21:26.867]  That's the violation of law.
[00:21:26.867 --> 00:21:29.068]  And bare metal, there needs to be a new election.
[00:21:30.228 --> 00:21:32.131]  In the six states that showed the anomaly.
[00:21:32.131 --> 00:21:34.234]  Hell, it needs to be in California too.
[00:21:34.234 --> 00:21:41.543]  Judge ruled Newsom illegally said mail-in ballots had to be 100% in many counties and said that signatures to be waived.
[00:21:41.543 --> 00:21:43.045]  So that's the reality.
[00:21:43.045 --> 00:21:45.649]  And I understand Tucker Carlson's frustration.
[00:21:45.649 --> 00:21:47.471]  And I understand him putting Powell on the spot.
[00:21:47.912 --> 00:21:48.332]  I don't think so.
[00:22:08.988 --> 00:22:10.909]  We're going to continue fighting the globalist takeover.
[00:22:10.909 --> 00:22:18.512]  This is America under war, a new type of war, a globalist corporate chi-com war, and the sooner people figure that out, the better we're going to be able to turn this around.
[00:22:18.512 --> 00:22:25.355]  Because it's only going to get worse until people wake up and stop complying with the overblown hoax that is COVID-19.
[00:22:25.355 --> 00:22:33.719]  Top epidemiologists coming out saying it's basically not even as bad as the flu, that it's hysteria, that it's going to kill tens of millions by starvation.
[00:22:33.719 --> 00:22:36.801]  All of that is now confirmed, and the globalists on the left admit
[00:22:37.461 --> 00:22:42.005]  Let's real quickly go to Sidney Powell's response with Maria Bartiromo this morning.
[00:23:07.731 --> 00:23:12.173]  Alright, Sidney, I want you to respond to what Tucker Carlson said last night, Sidney.
[00:23:12.173 --> 00:23:31.204]  I don't know if you watched it, but Tucker Carlson said that he had invited you on his show to share evidence of the software flipping votes, and he said you got angry and refused to provide evidence for your claims of voting software flipping votes.
[00:23:31.644 --> 00:23:33.565]  How do you respond to Tucker Carlson?
[00:23:33.565 --> 00:23:41.249]  Did you get angry with the show because they texted you and asked you to please provide evidence of what you're alleging?
[00:23:41.249 --> 00:23:44.191]  No, I didn't get angry with the request to provide evidence.
[00:23:44.191 --> 00:23:50.534]  In fact, I sent an affidavit to Tucker that I had not even attached to a pleading yet.
[00:23:51.124 --> 00:23:56.346]  Now quite frankly, I think that this is irrelevant and maybe even a little bit petty bickering that's happening here.
[00:24:22.697 --> 00:24:27.923]  I don't understand why Sidney Powell would reveal her evidence, quite frankly.
[00:24:27.923 --> 00:24:32.088]  Why would Sidney Powell reveal all of her evidence before it gets to court?
[00:24:32.088 --> 00:24:37.635]  I don't know a single lawyer that's getting ready for a major court battle that would do that and then give the defense.
[00:24:38.678 --> 00:24:45.459]  A chance to preemptively respond or prepare an argument against the evidence you're about to bring forward.
[00:24:45.459 --> 00:24:57.222]  So, I don't understand that, and Sidney Powell has actually provided tons of evidence, many which is available to the public, and then about ten sworn affidavits of people swearing to what she's saying.
[00:24:57.222 --> 00:25:01.323]  So, I don't know why she would reveal her evidence before the court.
[00:25:01.323 --> 00:25:02.843]  It gets to the Supreme Court potentially, so...
[00:25:04.323 --> 00:25:06.825]  I don't really understand that.
[00:25:06.825 --> 00:25:12.468]  A couple other anecdotal pieces of information here before we come back and are rejoined by Alex Jones.
[00:25:12.468 --> 00:25:22.193]  In 2012, President Trump tweeted out that he believes the voting machines were rigged and were flipping votes from Romney to Obama.
[00:25:22.193 --> 00:25:23.454]  So Trump has known about this.
[00:25:23.454 --> 00:25:25.815]  This has been on Trump's radar.
[00:25:25.815 --> 00:25:31.338]  Now, whether he thinks that that is the biggest thing to look at or signatures or the mail-in ballots or all of it,
[00:25:32.856 --> 00:25:36.838]  We know all the different angles that they're using for the theft.
[00:25:36.838 --> 00:25:41.279]  I think the voting machines have to be target number one.
[00:25:41.279 --> 00:25:44.801]  I don't think they can even get enough mail-in ballots with fake signatures to beat Trump.
[00:25:44.801 --> 00:25:47.002]  They needed the electronic voting machines.
[00:25:47.002 --> 00:25:49.443]  They needed those rig jobs.
[00:25:49.443 --> 00:25:52.404]  So I think that's target number one.
[00:25:52.404 --> 00:25:54.605]  Now be careful!
[00:25:54.605 --> 00:25:59.867]  These stories that are surfacing about seizures of hard drives in Germany
[00:26:01.260 --> 00:26:11.766]  That are allegedly, I guess it's called sidle, that are harboring information that gets transferred, harboring vote data that gets transferred in the voting process from America to Germany to Spain and then I guess back to America for the results.
[00:26:11.766 --> 00:26:13.767]  Very suspicious.
[00:26:13.767 --> 00:26:16.169]  Be very weary.
[00:26:16.169 --> 00:26:19.731]  Be very weary about this story.
[00:26:22.352 --> 00:26:27.035]  Claiming that the FBI or someone went in and raided those servers.
[00:26:27.035 --> 00:26:28.917]  Let me tell you something right now.
[00:26:28.917 --> 00:26:32.639]  If it was the FBI or the CIA, it's game over.
