[00:00.000 --> 00:16.000]  From the front lines of the Information War, it's Alex Jones.
[05:42.000 --> 05:53.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[05:53.000 --> 05:59.000]  Head to InfoWarsLife.com or call 1-888-253-3139.
[05:59.000 --> 06:19.000]  Live from the InfoWars.com studios, you're listening to the Alex Jones show.
[06:19.000 --> 06:32.000]  Yes, my friends, you found it. The vaunted. The celebrated. The superb. That's how we're seen by those that love liberty.
[06:32.000 --> 06:45.000]  We're seen as the victors. We're seen as the slayers. The globalist lies. But to the enemy, we are reviled and hated and cursed.
[06:45.000 --> 07:02.000]  And I wouldn't have it any other way. I hate you too. But I don't fight you because I hate you.
[07:02.000 --> 07:21.000]  I fight you because I love my family and I love humanity. You hate me. You hate me. You asked me. You asked me. You asked me. You asked me. And I didn't say anything.
[07:21.000 --> 07:34.000]  All right. I'm going to do my very best at the bottom of the hour. Usually I'd say something this big. I'd say next hour.
[07:34.000 --> 07:46.000]  And then by then I've already gotten wound up too much. Bottom of the hour, I'm going to summon my mental capacity to its fullest if that's possible.
[07:46.000 --> 07:54.000]  And I'm going to really try to lay out the facts and how we can stop it. But I have studied the architecture of the next phase, the globalist operation.
[07:54.000 --> 08:02.000]  And I am now starting out, as you've seen in the last few weeks, to laying out the analysis and the testament to those facts.
[08:02.000 --> 08:12.000]  So get ready on every subject, what they're going to do the family next, what 5G is going to do next, what the next military actions are going to be if the globalists are able to carry them out.
[08:12.000 --> 08:23.000]  And how their intimidation operations are going to work. What I see them doing with the casual society, it's all happening. It's all going into overdrive, ladies and gentlemen.
[08:23.000 --> 08:49.000]  Now, did you know that fiber optics has almost zero failure, right? And the best 5G out there is thousands of times slower than the best fiber that the public can get.
[08:49.000 --> 09:00.000]  Did you hear what I just said? I'm going to show you the engineering for that. There's no radiation that comes out of the end of a fiber optic cable other than light.
[09:00.000 --> 09:10.000]  What comes out of a 5G broadcasting array, they admit will kill you if you were to live by it, say 10 feet from it for a year.
[09:10.000 --> 09:17.000]  It would physically cook you. And in further distance, it just damages your DNA and gives you cancer.
[09:17.000 --> 09:28.000]  So why in the hell would they be rolling 5G out all over the world with all of its security risk and all of its problems and all of it, if it gives you cancer and doesn't work as well?
[09:28.000 --> 09:44.000]  Well, I'm going to explain all of it coming up at the bottom of the hour.
[09:44.000 --> 09:51.000]  Now, there's a place. There's not just one. They've got these facilities under different covers.
[09:51.000 --> 10:01.000]  And I've been told about these and I've looked into them and I've discovered at least 10. There are a lot more.
[10:01.000 --> 10:11.000]  There are at least 10 corridors in the Western world where no cell phone towers or microwave radiation towers are allowed.
[10:11.000 --> 10:18.000]  It turns out, guess who's running this program worldwide? NASA.
[10:18.000 --> 10:34.000]  Of course, who do you think NASA really is? It's the breakaway civilization or one of them set up by Kennedy, led and commanded by Nazis.
[10:34.000 --> 10:44.000]  And I'm not even saying that NASA itself was bad, but this is big boy stuff. This isn't junior wearing his little short shorts.
[10:44.000 --> 10:52.000]  This is the real world, folks, how the cookie really crumbles.
[10:52.000 --> 11:10.000]  And you have the establishment and ultra rich all moving completely now into these corridors and commuting by helicopter and aircraft for short periods of time into mega cities, the rest of the time video conferencing in.
[11:10.000 --> 11:18.000]  And if you read and follow the industry of Silicon Valley, very few of their CEOs or leadership are ever seen anymore.
[11:18.000 --> 11:26.000]  They just teleconference in and they teleconference in over fiber optic.
[11:26.000 --> 11:33.000]  They are all with their children far away from what they're setting up.
[11:33.000 --> 11:37.000]  So that's coming up bottom of the hour. I'm going to get into it.
[11:37.000 --> 11:49.000]  And by the way, this is hiding like everything super evil is in pure view, pure evil hiding in pure view.
[11:49.000 --> 12:02.000]  Turn I'm turn a phrase I've known calling, but I intended pure view right in your face, telling you it kills you telling you it robs you and surveils you and doesn't even work good.
[12:02.000 --> 12:09.000]  When there are more advanced things that work far better and are proven and don't hurt you.
[12:09.000 --> 12:15.000]  Plus you see with electromagnetic radiation, you can control people's brains and their bodies and their cells.
[12:15.000 --> 12:20.000]  And so that's why this is happening. That's bottom of the hour.
[12:20.000 --> 12:25.000]  And it'll take me a couple of segments to get to and then let me tell you what I'm going to cover in the second hour.
[12:25.000 --> 12:35.000]  We always have the Sunday show that's abbreviated 4 to 6pm and I have the weekday broadcast 11am to 3pm and we have the war room with Owen Schreuer 3pm every day doing a great job.
[12:35.000 --> 12:43.000]  And of course, David Knight weekday mornings and knocking out of the park 8am central, the verboten, the censored, the blocked, the hated, the lied about, find out why we're under attack.
[12:43.000 --> 12:47.000]  We've cracked the code. We've got the globalist operation. We know how to beat it.
[12:47.000 --> 12:52.000]  Most of the governments compartmentalized. Most of the governments good people, they don't know what's going on.
[12:52.000 --> 12:59.000]  But they know when they hear this show that we know more than they do in most cases and then we give them the missing pieces.
[12:59.000 --> 13:07.000]  Just like you have Legos and you got a bunch of Legos without the map, without the directions. You're like, what the hell does this build?
[13:07.000 --> 13:18.000]  But as soon as you have the directions, it's so simple. My dad bought me a high powered pellet gun for Christmas two Christmases ago.
[13:18.000 --> 13:26.000]  I've been fighting so hard, working so hard, I've never even opened it. And once I did open it, my wife threw away the box and the instructions, even though it was already built,
[13:26.000 --> 13:32.000]  took me 20 minutes to figure out where the lever was to break it, to pop it open and to cock it and load it.
[13:32.000 --> 13:37.000]  I knew it. I had a button on. I knew it was a single shot, high powered, supersonic.
[13:37.000 --> 13:50.000]  And when I finally found the mechanism, it was the sight. I felt like an idiot, but I didn't have the owner's manual.
[13:50.000 --> 13:57.000]  Once I would have had it, I could have done it in 20 seconds. It's the same thing, folks. I've studied the pieces.
[13:57.000 --> 14:06.000]  We've got the owner's manual. We've got the blueprint. And let me tell you, it ain't pretty. You're not in Kansas anymore.
[14:06.000 --> 14:11.000]  No, sir. And I'm not either.
[14:11.000 --> 14:16.000]  And all this race baiting and all this other crap isn't going to mean anything once the public finally gets what's happening.
[14:16.000 --> 14:21.000]  I'm going to explain something. It's going to get a lot worse a lot quicker from here on out.
[14:21.000 --> 14:26.000]  I'm not trying to be negative. I'm just telling you that there's a plan and we ain't in it.
[14:26.000 --> 14:35.000]  Like George Carl used to say, there's a club and we ain't in it. There's a plan and we ain't in it.
[14:35.000 --> 14:41.000]  And I discovered the plan that many others have discovered 50 years before me, but I really dug into the plan
[14:41.000 --> 14:48.000]  and did more research than anybody else has really done into eugenics, depopulation, the whole world government plan from their own admissions.
[14:48.000 --> 14:53.000]  And the system was arrogant and they ignored me and I put out dozens of films for free.
[14:53.000 --> 14:58.000]  They were watched hundreds and hundreds and hundreds of millions of times online for free.
[14:58.000 --> 15:05.000]  I sold millions of DVDs and I funded building this to resist them into the future knowing that once they announced their world government
[15:05.000 --> 15:10.000]  and once they started breaking up the family and once they started castrating little kids genitals
[15:10.000 --> 15:14.000]  and once they launched their whole plan, people go, whoa, this is real.
[15:14.000 --> 15:21.000]  The globals are so arrogant they thought, no, they'll never wake up. They'll have learned helplessness.
[15:21.000 --> 15:27.000]  They'll never wake up. They'll have learned helplessness. They'll just adapt to being slaves and by the time they wake up, they'll be dead.
[15:27.000 --> 15:30.000]  Wake up dead is the term. Never do what hits you.
[15:30.000 --> 15:36.000]  Well, guess what? We got the jump on you, globalists, because our listeners spread the word faithfully.
[15:36.000 --> 15:39.000]  It was mainly Christians that did it. A lot of other folks, but Christians.
[15:39.000 --> 15:45.000]  That's why the globalists hate Christians because their whole prophecy is about what's being built, a world government,
[15:45.000 --> 15:51.000]  an attack on the family, a cashless world society, can't buy or sell. It's being announced now.
[15:51.000 --> 15:57.000]  And praise God. God's real. We're going to make it through this, but it's going to be tough. Stay with us.
[16:22.000 --> 16:29.000]  I know I'm getting under their skin. I'm bloody and then I'm up politically. I'm banging heads with them and they can't help but attack back with lies.
[16:29.000 --> 16:36.000]  That just brings more people here. So I'm in one hell of a fight and so are you and I need war bonds. I need gas. I need ammo politically now.
[16:36.000 --> 16:43.000]  But literally, if you flood us with money and if you flood us with product purchases and if you flood us with your word of mouth, you're unstoppable.
[16:43.000 --> 16:50.000]  We're unstoppable together. I want to send a strong message to the enemy. I want to raise a couple million dollars right now to let the enemy know that their attacks are failing
[16:50.000 --> 16:55.000]  and that you will stand with us and I will never back down. You have my commitment. This only gives me more energy
[16:55.000 --> 16:58.000]  and more understanding of what we're facing and that we were right about this.
[17:05.000 --> 17:10.000]  Tom and Texas police officer on the border talks about MS-13 and more. Thanks for calling, Tom.
[17:10.000 --> 17:17.000]  Yes, sir. Thank you for taking my call. I just want to thank you for your product. I have an info word, P.K. I was on outside of my cell phone case.
[17:17.000 --> 17:21.000]  My truck, sport, the shirts, all the equipment. I find it's the best way to get your word out.
[17:21.000 --> 17:22.000]  God bless you, brother.
[17:22.000 --> 17:26.000]  And I have three or four info war bumper stickers in my glove box right now.
[17:26.000 --> 17:29.000]  I'll hand out if I get to talking to somebody just to help spread that word.
[17:29.000 --> 17:58.000]  You're our only hope, brother. I'm telling you, you're more important than I am. It's people like you on the ground as you know that's boots on the ground.
[17:58.000 --> 18:04.000]  Info war's life is bringing you a breakthrough in modern medicine, introducing pollen block.
[18:04.000 --> 18:13.000]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways,
[18:13.000 --> 18:16.000]  eye comfort and respiratory function.
[18:16.000 --> 18:25.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses.
[18:25.000 --> 18:28.000]  They began studying this effect in published trials.
[18:28.000 --> 18:36.000]  And decades later, we now have the fruit of this research, a fast acting, chewable tablet that helps alleviate seasonal distress symptoms.
[18:36.000 --> 18:40.000]  Pollen block is natural and effective. It is not an antihistamine.
[18:40.000 --> 18:50.000]  In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[18:50.000 --> 18:53.000]  Go outside and enjoy the air you breathe.
[18:53.000 --> 18:58.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[18:58.000 --> 19:01.000]  Frank in North Carolina, thanks for holding so long. Go ahead.
[19:01.000 --> 19:09.000]  Yeah, I just have to say something, man. It seems like every time I turn on your broadcast, your bracket, it just gets old, man.
[19:09.000 --> 19:11.000]  I'm going to shut you down right now, okay?
[19:11.000 --> 19:18.000]  We're taking calls about your nomination. Do you understand they're having congressional hearings trying to shut us down?
[19:18.000 --> 19:20.000]  Do you understand I'm ringing the alarm?
[19:20.000 --> 19:23.000]  If that was happening to anybody else, I'd be freaked out.
[19:23.000 --> 19:27.000]  I mean, what's it going to take? Us being shut down? Is that what you want, Frank?
[19:27.000 --> 19:29.000]  Yeah, you know what, Alex?
[19:29.000 --> 19:36.000]  I'm going to put it on pause again. Hey, Frank, do you understand it's not bragging to say we are the tip of the spear, we're under attack, we need your help.
[19:36.000 --> 19:41.000]  As much begging as I do, we can barely pay the bills and grow in the face of this.
[19:41.000 --> 19:44.000]  I'm not going to just stop growth and let them start pushing us backwards.
[19:44.000 --> 19:48.000]  You understand? I need your help, Frank. I need your help, Frank.
[19:48.000 --> 19:54.000]  Go to infowarstore.com right now and help fund the info war.
[19:54.000 --> 19:58.000]  Do you understand? I need your help, Frank. Free press needs your help, Frank.
[19:58.000 --> 20:23.000]  You're listening to the Alex Jones show.
[20:23.000 --> 20:33.000]  From the front lines of the information war, it's Alex Jones.
[20:33.000 --> 20:39.000]  Okay, let me tell you what's coming up in the second hour, though. Let me do that.
[20:39.000 --> 20:49.000]  Tucker Carlson has had Antifa put up flyers all around his house that they're planning an attack on his home coming up in a few days.
[20:49.000 --> 20:56.000]  They're organizing a lynch mob down the street. The Democrats are praising this, Maxine Waters is praising this.
[20:56.000 --> 21:02.000]  They really hate the fact that he talked to the president and helped stop the president from attacking Iran.
[21:02.000 --> 21:10.000]  Now, the left now openly wants total war, just absolute criminal activity. That's coming up.
[21:10.000 --> 21:15.000]  I know the inside baseball, a lot they've gone through, not just the stuff you've heard about in the news,
[21:15.000 --> 21:19.000]  but it's similar things we've gone through. I've had to have armed guards at my house.
[21:19.000 --> 21:24.000]  They say, oh, you can just go to sleep and just have a gun by your side. It doesn't work like that.
[21:24.000 --> 21:33.000]  I want to make sure anybody ever shows up and tries something. They're going to get it, so it's expensive, but that's what's got to be done.
[21:33.000 --> 21:41.000]  Now continuing, you've got the latest with Trump and the fact that we're swamped. We're overwhelmed with human trafficking.
[21:41.000 --> 21:49.000]  I've got mainline articles, Fox News, AP, human trafficking in America, amongst worse in the world, report by the UN,
[21:49.000 --> 21:57.000]  and people blame Trump for that. That's because the globalists have done their bum rush to overwhelm us and crush our borders
[21:57.000 --> 22:03.000]  and overwhelm the courts and overwhelm the jails. And then when we put people in facilities to find out who's who,
[22:03.000 --> 22:08.000]  one-third of the kids aren't even with their parents, we're told it's a concentration camp.
[22:08.000 --> 22:14.000]  Ladies and gentlemen, though people don't fight to get into a concentration camp, they fight to get out of them,
[22:14.000 --> 22:23.000]  but Omar incests Ilhan, or Ilhan incests Omar, you know, married her brother.
[22:23.000 --> 22:29.000]  Probably got three kids with him. I can't believe it. She says, what's wrong with calling the concentration camps?
[22:29.000 --> 22:34.000]  Hey, Penn Head, why'd you try to come here so you could conquer us? I know.
[22:34.000 --> 22:43.000]  Once you get out on those little Somali pirate boats, see how it goes for you. Just absolutely never ends.
[22:43.000 --> 22:50.000]  Hey, we're letting in a bunch of crazy pirates and they're pissing on us. What a surprise. That's all coming up.
[22:50.000 --> 22:56.000]  Also, we're going to get into the latest with Iran. We're going to the latest. The story is linked up on dredgerport.com.
[22:56.000 --> 23:10.000]  Amazon patents creepy drone technology to spy on your home. And then, oh, infowars.com published this with a letter from the Justice Department and the FBI.
[23:10.000 --> 23:16.000]  And no media picked it up, of course. FBI clears info wars and child porn hoax.
[23:16.000 --> 23:23.000]  We've been sent 9.6 million emails since Sandy Hook. They sent us a penis for all 9 million.
[23:23.000 --> 23:29.000]  We fought it in court in five different, six different hearings. The judge said 57,000.
[23:29.000 --> 23:38.000]  Any email that had Sandy Hook or anybody's name associated with it, all these search terms, two law firms, tons of money later.
[23:38.000 --> 23:47.000]  We sent them 57,000 emails complying. They had hidden coded links in them to child porn that we never opened.
[23:47.000 --> 23:55.000]  The FBI said we were the victim. The media said, oh, that's just your lawyer saying that now I have the letter from the FBI.
[23:55.000 --> 24:03.000]  But that doesn't stop the media. They're still running with headlines. Did you hear Jones sent child porn to the Sandy Hook families?
[24:03.000 --> 24:18.000]  No, their lawyers, famous Democrat prosecutors, now turned ambulance chasers, sued me and asked for all the emails.
[24:18.000 --> 24:25.000]  And when they got the emails they got, they went in there and found this and went reported to the FBI hoping I'd get in trouble.
[24:25.000 --> 24:40.000]  I didn't get in trouble. I was the victim. But what's worse about it is that I had a feeling when the FBI got back with us and it's in the letter
[24:40.000 --> 24:47.000]  and gave us a list of the email addresses and how to track them. We have a reward out that it would have come after the lawsuits.
[24:47.000 --> 24:56.000]  And guess what? It did. It wasn't the first five years or five and a half years.
[24:56.000 --> 25:05.000]  No, right after I get sued, we get sent child porn. We don't open. Never gets past the spam filter with hidden links.
[25:05.000 --> 25:12.000]  Oh, man. And they went to court and they begged that judge to make us open the attachments in the hearings.
[25:12.000 --> 25:17.000]  We said, no, we're not opening attachments. We don't know what's in them. If we would have opened them.
[25:17.000 --> 25:21.000]  We would have been opened to five years in federal prison for opening child porn.
[25:21.000 --> 25:27.000]  But guess what? We didn't open them. We said no.
[25:27.000 --> 25:32.000]  But we still get subjected to being called that in the press, unbelievable.
[25:32.000 --> 25:42.000]  Shall I get more into that? Storiesuponinfullwars.com and newswars.com. So when your family calls, like, mind's called, like, what's all this child porn stuff?
[25:42.000 --> 25:48.000]  You could just go, oh, here's a letter from the FBI. Oh my gosh. Well, I hope they catch you. Get it? That's horrible crime.
[25:48.000 --> 25:55.000]  Yeah, that's Democrats. Whoever did it is a Democrat, obviously. Who else would have child porn to send it to somebody?
[25:55.000 --> 26:01.000]  Who does things like this and then hides it?
[26:01.000 --> 26:07.000]  That's how crazy it's gotten to fight for this country.
[26:07.000 --> 26:12.000]  They said the same thing about Alan Dershowitz. Turned out it wasn't true. Same thing about Trump. Was it true?
[26:12.000 --> 26:16.000]  We're the people that advocate for children here. We're the people that fight child trafficking.
[26:16.000 --> 26:24.000]  You know, like the Senate report admitted, tens of thousands of children were sex trafficked into the U.S. under Obama letting them in and were given to sex traffickers.
[26:24.000 --> 26:32.000]  Senate report. Washington Post. I'm not the one trafficking kids in the U.S. It's a Democratic Party and Trump's trying to stop it.
[26:32.000 --> 26:40.000]  So what happens? Well, the media runs with a story that I sent child porn to people that subpoenaed me when it was hidden links.
[26:40.000 --> 26:47.000]  It says the families. It was sent to the lawyers and they're the ones that subpoenaed it.
[26:47.000 --> 26:50.000]  Unbelievable. The good news is everybody sees through it.
[26:50.000 --> 26:56.000]  Separately, we've got something special coming up this week and a long time. So we did some big overnight special transmission.
[26:56.000 --> 27:05.000]  Clown World. Clown World, the greatest comedy show on Earth. Two nights, 20 candidates and tons of laughs.
[27:05.000 --> 27:12.000]  June 26th and 27th coverage starts at 7 p.m. Our regular broadcasting ends at 6 p.m. Central at 7 p.m.
[27:12.000 --> 27:19.000]  Myself, Owen Schreuer and a whole list of other guests will do one hour of pre coverage and then we'll have live clown world coverage
[27:19.000 --> 27:30.000]  of Beto O'Rourke and Cory Booker and Bernie Tambov. Eric Swallows well.
[27:30.000 --> 27:42.000]  Camila Harris and so many others like De Blasio. It's all coming up this Wednesday and Thursday.
[27:42.000 --> 27:52.000]  Coverage starts at 7 p.m. Central Standard Time and when you get excited about a live broadcast, a special broadcast,
[27:52.000 --> 27:58.000]  we've had millions during elections like 5 million to one night. We've had 3 million to other special elections.
[27:58.000 --> 28:01.000]  When you don't get excited a few hundred thousand to an end, that's still great.
[28:01.000 --> 28:07.000]  But when you get excited about infowars.com and newswars.com and our own audio and our own video feeds and local radio stations,
[28:07.000 --> 28:16.000]  it'll be family friendly. Everyone's small and it's internet only. I start using non-kings language and they take me off here when I do that now.
[28:16.000 --> 28:25.000]  So it doesn't ever happen. Good clean family fun. That's clown world, the greatest show on earth this Wednesday and Thursday.
[28:25.000 --> 28:32.000]  We will have live coverage of the two democratic debates. I mean there was like 26 of them, 27 of them, but I guess only 20 have made the cut.
[28:32.000 --> 28:43.000]  So this is going to be step aside. Step aside Ted Bundy. Step aside John Wayne Gacy.
[28:43.000 --> 28:53.000]  What's the name of the clown in it? Step aside it. This is going to be the real clown world.
[28:53.000 --> 28:59.000]  Stay with us ladies and gentlemen newswars.com. Tomorrow's news today.
[28:59.000 --> 29:04.000]  I just want listeners to understand money is what allows us to beat this and stand against this.
[29:04.000 --> 29:11.000]  And we're seeing a lot of orders right now with the save info wars 50% off, but we make only like $5, $10 on higher marked up stuff.
[29:11.000 --> 29:16.000]  We're making like $2 on the toothpaste at that price and we're moving a ton of it, okay?
[29:16.000 --> 29:19.000]  But you move a couple hundred thousand dollars or something and you get $20,000.
[29:19.000 --> 29:22.000]  That doesn't pay for all the infrastructure, the bandwidth, the lawyers, the crew.
[29:22.000 --> 29:25.000]  So we need to sell millions and millions and millions of dollars of product.
[29:25.000 --> 29:29.000]  I want to expand, not contract. And for six months, we've not just made a standstill.
[29:29.000 --> 29:34.000]  The enemy's been winning and I have labored and labored and labored and labored on this.
[29:34.000 --> 29:36.000]  I like to be expanding. I like to be winning. I like to be fighting.
[29:36.000 --> 29:40.000]  And we are winning the info war. That's why we're so hated, but we need to be retreaded.
[29:40.000 --> 29:44.000]  We need to be tuned up. We need to be fixed up. We never have time to get into drive up.
[29:44.000 --> 29:47.000]  We got a lot of holes shot at us and the enemy wants to silence us.
[29:47.000 --> 29:52.000]  Then they're really going to plant child porn on us. Then they're going to kill me or you or anybody else.
[29:52.000 --> 29:56.000]  I mean, the Democrats now are going into a full revolutionary fervor funded by foreign banks in the Chicombs.
[29:56.000 --> 30:25.000]  So go to infowarstore.com.
[30:26.000 --> 30:30.000]  Maximize the effects and give your body the tools it needs to support your body.
[30:30.000 --> 30:39.000]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients.
[30:39.000 --> 30:48.000]  Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids and more.
[30:48.000 --> 30:55.000]  Start supporting your body's needs in a great tasting, natural and affordable drink mix with vitamin mineral fusion today.
[30:55.000 --> 30:59.000]  Get available at infowarstore.com.
[31:25.000 --> 31:33.000]  While encouraging hormonal balance, perfect by itself or with super male vitality in the true alpha male pack,
[31:33.000 --> 31:40.000]  alpha power can help lose performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[31:40.000 --> 31:44.000]  Let alpha power help bring you to the peak of your optimal health.
[31:44.000 --> 31:47.000]  Don't fall short on energy in the fight against tyranny.
[31:47.000 --> 31:51.000]  Show the world what a true alpha male looks like today with alpha power.
[31:51.000 --> 32:00.000]  Welcome to infowarstore.com today.
[32:00.000 --> 32:05.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[32:05.000 --> 32:16.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract and melatonin.
[32:16.000 --> 32:21.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[32:21.000 --> 32:29.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[32:29.000 --> 32:37.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[32:37.000 --> 32:39.000]  Wake up refreshed and take on the day.
[32:39.000 --> 32:47.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[32:47.000 --> 32:51.000]  Get the sleep you deserve and experience the power of knockout.
[32:51.000 --> 33:11.000]  Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[33:21.000 --> 33:37.000]  Alex Jones here back live and I'm sitting here in my television slash radio studio in central Texas.
[33:37.000 --> 33:42.000]  Literally on ground that my ancestors conquered.
[33:42.000 --> 33:45.000]  And I don't want to be conquered by the globalist.
[33:45.000 --> 33:50.000]  I've studied their plans with the military and political mind.
[33:50.000 --> 33:53.000]  I've devised their endgame.
[33:53.000 --> 33:57.000]  I've developed strategies and operations to defeat them.
[33:57.000 --> 33:59.000]  That's why they want me off here.
[33:59.000 --> 34:07.000]  You see there's tens of thousands of shows and programs in the U.S. alone, hundreds of thousands worldwide conservatively.
[34:07.000 --> 34:14.000]  But where are the programs, where are the shows actually talking about the real world?
[34:14.000 --> 34:16.000]  They're not there.
[34:16.000 --> 34:20.000]  And the globalists know that info wars is not bragging.
[34:20.000 --> 34:30.000]  We're pointing out the fact that when you hear Tucker Carlson or Sean Hannity talking about the New World Order and global government in the surveillance state and all the rest of it.
[34:30.000 --> 34:45.000]  Individuals like myself and Ron Paul and Matt Drudge and going all the way back to like Barry Goldwater made it safe to talk about those things.
[34:45.000 --> 34:52.000]  So I said I would get into the giant news here at the bottom of the hour.
[34:52.000 --> 34:56.000]  And I'm not doing this for suspense.
[34:56.000 --> 35:04.000]  I was sitting here during the break trying to figure out where I start.
[35:04.000 --> 35:12.000]  I mean something this big, you should build up for like a year and have spotlights at night going.
[35:12.000 --> 35:18.000]  Because people don't pay attention unless you have fanfare like the Super Bowl or the Oscars.
[35:18.000 --> 35:27.000]  And then a huge 50 foot TV screens at a PowerPoint showing the quotes and showing the admissions and showing all the facts and having ominous music play.
[35:27.000 --> 35:35.000]  So people get, hey out of the whole wash of the news and information you hear and see, this is really what's important.
[35:35.000 --> 35:44.000]  But see that's how the globalists operate. They show you all this glitz and all this glamour and all this fancy crap.
[35:44.000 --> 35:58.000]  And then they tell you that there aren't two genders and that men are bad and that capitalism is bad when they're ultra rich and they sell you poison with the sugar fancy coating.
