[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[03:55.000 --> 04:16.000]  That said, we're going to get into the election, the latest on that, and we come back, a very interesting report. Sacron and Aspartame, compared with the sucralose, that's a form of natural sugar, into his greater weight gain adult wister rats at a similar total caloric intake levels.
[04:16.000 --> 04:21.000]  And this is published in the National Institute of Health.
[04:21.000 --> 04:35.000]  It's a prestigious study. The point is, is that I've seen a much other study showing this. And that's why you see diabetics, incredibly obese people, always with a Diet Coke or Diet Dr. Pepper in their hand, Diet Pepsi in their hand.
[04:35.000 --> 04:40.000]  Diet Pepsi would be flavored with baby parts. I didn't believe that one. I heard that two years ago. Looks it up. Turned out it was true.
[04:40.000 --> 04:58.000]  So that's a big piece of news. And I got a retraction too. I'm going to make her a clarification coming up as well. It has to do with automobiles. Stay with us. I'm Alex Jones. It's Sunday. We're live. Blasting out worldwide. Stay with us.
[04:58.000 --> 05:11.000]  Aaron Fullen here. As the food police shut down food co-ops, the Amish and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[05:11.000 --> 05:18.000]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria. But frankly, I'm not sure what the food police are so afraid of.
[05:18.000 --> 05:33.000]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture. Even today, Japanese eat miso, Africans eat fermented porches, Koreans eat kamichi, and in India, fermented milk is a staple for healthy living.
[05:33.000 --> 05:44.000]  But here's some good news. South Reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes. Since it's still legal to make these foods as long as you can make them yourself.
[05:44.000 --> 05:49.000]  For more information, check out fermentationfactor.com. That's fermentationfactor.com.
[05:49.000 --> 06:15.000]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com. That's www.fermentationfactor.com.
[06:15.000 --> 06:24.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[06:24.000 --> 06:33.000]  Waging war on corruption. Info warriors roll out. We are live.
[06:33.000 --> 06:56.000]  Thank you so much for joining us. On this Sunday, the 28th day of October 2012, we're here every Sunday, 4-6pm Central, 5-7pm Eastern. That's 2-4pm Pacific, 3-5pm Mountain, and broadcasting all over the world via WWCR Global Shortwave 100,000 Watt World Service.
[06:56.000 --> 07:10.000]  Shymal Casting, of course, on the internet at infowars.com and prisonplanet.com with the audio streams. Then the podcast, you'll find in the Alex Jones radio show link area along with free iPhone and Android apps listed there as well.
[07:10.000 --> 07:26.000]  You can also subscribe to prisonplanet.tv and see our nightly news show, 7pm, weeknight, Central, and of course, video inside the radio studio, not just a webcam. We're talking a 5-camera shoot. You name it. It adds a whole other dimension to the Info War.
[07:26.000 --> 07:40.000]  Prisonplanet.tv, 9 and a half years up and running, 17 years on radio. I know we have a lot of new affiliates, just want to introduce myself. I'm Alex Jones. I love liberty. I hate tyranny. I hate bullies.
[07:40.000 --> 08:01.000]  And I am here to try to wake up my fellow humans to demand a restoration of our constitutional republic. I could not do the show without my incredible crew in there and all the other great co-hosts and people with the nightly news and some of the people that come in and visit sometimes to sit in as guest host as well like in the 48-hour broadcast.
[08:01.000 --> 08:11.000]  We did a few weeks ago. Again, I want to thank all those folks and salute them because I haven't thanked them enough. I've thanked them a few times, but I was just thinking how thankful I was again today for all of you out there that make this broadcast possible.
[08:11.000 --> 08:21.000]  The sponsors, the AM and FM affiliates, and of course, most importantly, the good Lord above. And after that, you, the listeners, are what is most important.
[08:21.000 --> 08:36.000]  Okay, Stuart Rhodes, founder of Oath Keepers Constitutional Lawyer, Army paratrooper. He's got the contacts in the police and military like no one else I know, active duty military and currently serving here in Unda homeland police.
[08:36.000 --> 08:45.000]  And we're going to get into all these preparations for civil unrest, the preparations for gun confiscation, the reeducation camp manuals that the Army admits are now public.
[08:45.000 --> 08:58.000]  And what broke in the AP about a week ago, well, it broke here, but then AP picked it up and confirmed. Yeah, a guy going to visit his wife got stranded in Hawaii, no criminal record, but he was a prepper.
[08:58.000 --> 09:07.000]  And if you think that you need to be prepared, no government digs in, buys 1.6 billion rounds of ammo, builds bunkers everywhere with tax money, is constantly hardening their structures.
[09:07.000 --> 09:15.000]  But if you try to get prepared, they have executive orders. Just look them up to confiscate your food, your water, to put you into forced work brigades.
[09:15.000 --> 09:26.000]  Each president has reissued them. Just type in presidential executive orders on a confiscation of food, hoarders, forced labor. Look it up.
[09:26.000 --> 09:37.000]  You'll find dozens and dozens because it's been reissued over and over again, sometimes multiple times by the same president. So people say, well, give us a number. Look it up. There's literally dozens of them.
[09:37.000 --> 09:49.000]  That guys just show people that are watching on prisonblended.tv. Type in executive orders for forced labor and then executive orders for food confiscation or executive orders for seizure of infrastructure.
[09:49.000 --> 09:53.000]  Again, this is a show where we want you to check out our claims and what we're saying.
[09:53.000 --> 10:02.000]  Now, I'll tell you this. We are incredibly accurate over 95% of the time on average.
[10:02.000 --> 10:13.000]  And when I do mess up, it's generally a whopper because I'll be out there managing stuff or signing checks or, you know, a reviewing a video report during the breaks.
[10:13.000 --> 10:20.000]  I don't just sit around during the breaks or my wife calls or my kids are running around the studio or, you know, whatever the case may be.
[10:20.000 --> 10:26.000]  Yeah, just click web for executive orders, guys, and it'll pull them up for you. And then just print me some of those.
[10:26.000 --> 10:34.000]  Yeah, there it is. Obama quietly signs executive order. I mean, there's a whole bunch of them. You can pull up the whole list. There's sites that list them.
[10:34.000 --> 10:41.000]  And then you can go to the federal register as well and find it. But that's fine. Just once you get them, we'll cover them later.
[10:41.000 --> 10:48.000]  It's important to read those executive orders. Our film, Police State for the Rise of FEMA has them since the 50s and then shows them reissued.
[10:48.000 --> 10:56.000]  You show hundreds of them through time changing and the numbers right up into the 13,000 series. They're almost into the 14,000s now in executive orders.
[10:56.000 --> 11:07.000]  But but side issue, I was covering a article Friday on the show and no one corrected me on this.
[11:07.000 --> 11:13.000]  I was listening to a rebroadcast on local station and heard it and it just blew me away.
[11:13.000 --> 11:20.000]  I'm like, the way I was talking, it sounded like I was saying Jeep was owned by General Motors when we all know it's owned by Chrysler.
[11:20.000 --> 11:27.000]  I mean, I grew up with Jeeps. My dad's got a Jeep. I know that sometimes I listen to my show and it's just it's when I mess something up.
[11:27.000 --> 11:34.000]  It's such a everybody does that, you know, you'll call people the wrong name or whatever. And it's always because I got 20 other things going on in my head.
[11:34.000 --> 11:42.000]  And the reason, yeah, here it is. This is out of the Washington Examiner Jeep and Obama favorite looks to shift production to China.
[11:42.000 --> 11:50.000]  And then I was pointing out that the bailout money, 20 plus billion of General Motors, you can look this up, help move Hummer, not Hummer.
[11:50.000 --> 11:55.000]  They stopped that help move. This article says the Hummers what fights with Jeep.
[11:55.000 --> 12:02.000]  That's why I said that help move Cadillac and help move a vault to China.
[12:02.000 --> 12:06.000]  But but but now Jeep separate is looking to leave Detroit.
[12:06.000 --> 12:13.000]  If you got to leave Detroit because it's collapsing, even though it's a great American city or was, why do you got to leave the US?
[12:13.000 --> 12:20.000]  Man, that's crazy. People need to let Jeep know and Chrysler know do not move it to China. Unbelievable.
[12:20.000 --> 12:30.000]  Can I can I buy anything made America? I've never been a Ford guy and I've got a Ford truck now just because I want to try to buy something made America while you can still say something's made here.
[12:30.000 --> 12:39.000]  I know most of the components are made overseas. It's unbelievable how they have set up the tax incentives and the rest of it to ship jobs out of this country.
[12:39.000 --> 12:48.000]  And speaking of the roads, street lights turned off in their thousands to meet carbon emission targets.
[12:48.000 --> 12:52.000]  This is not one in telegraph all over the world, including here in the US.
[12:52.000 --> 13:03.000]  They're saying they start turning off most of the street lights because it's bad to have electricity because carbon dioxide that comes out of cold powered plants is bad for the earth.
[13:03.000 --> 13:15.000]  Folks, plants respirate. They literally engage in photosynthesis with the sunlight using using carbon dioxide humans exhale it and you can type in the New York Times article.
[13:15.000 --> 13:23.000]  New York Times a few years ago said a tax to breathe and that was an article that was the headline promoting this show.
[13:23.000 --> 13:33.000]  It's a way to shut down any industry they want and ignore all the real environmental issues that are out there and control one of the four components of the life cycle and the carbon cycle.
[13:33.000 --> 13:39.000]  Carbon dioxide, oxygen, water and sunlight. You've got to have those four things and they know you know water is not bad.
[13:39.000 --> 13:45.000]  They know you know oxygen is not bad. They know you know sunlight is not bad. So they know that well carbon dioxide.
[13:45.000 --> 13:49.000]  They chose that back in the 80s. The club of Rome said we're going to try to tax this.
[13:49.000 --> 13:53.000]  A lot of Americans think it's carbon monoxide. The stuff that will kill you.
[13:53.000 --> 14:05.000]  They've done national TV shows. You've seen it. Penn and Teller's done it where they can get most people to sign a petition on the street saying ban dihydrogen monoxide.
[14:05.000 --> 14:12.000]  It sounds pretty darn scary. Of course dihydrogen monoxide is water last time I checked or they give people to ban sodium chloride.
[14:12.000 --> 14:22.000]  Sounds pretty darn scary. Sodium chloride. Sodium chloride. Of course that's table salt ladies and gentlemen.
[14:22.000 --> 14:32.000]  But street lights turned off in their thousands to meet carbon emission targets. Huge swaths of Britain are being plunged into darkness as more and more street lights are switched off by councils and road authorities.
[14:32.000 --> 14:39.000]  But the taxes are going up though. Less services, more taxes. And they always dangle police cuts out if you don't let them raise taxes.
[14:39.000 --> 14:46.000]  Standard trick worldwide. Speaking of world government, Obama urges governors to celebrate UN Day from the newamerican.com.
[14:46.000 --> 14:50.000]  New American magazine breaks the call for world government down. They're actually taking over the cities.
[14:50.000 --> 14:58.000]  The international funding and stuff. You'll see you'll get international or even federal funding if it starts following UN rules under UNESCO.
[14:58.000 --> 15:04.000]  And more on cars later. Robo cars are coming to crowded California freeways near you.
[15:04.000 --> 15:11.000]  And I've got a big stack of articles about oh, Robo cars are going to be safer. Will we not let you have drive your own cars soon?
[15:11.000 --> 15:17.000]  And the answer is Toyota and others have said this years ago. And now I've got a new Toyota report here admitting it.
[15:17.000 --> 15:22.000]  They're going to say well the computer watches you and if you're doing something dangerous, it'll take over.
[15:22.000 --> 15:30.000]  So see, we're already talking about computers running our lives, robots running our lives, not just drones doing the fighting and combat robots.
[15:30.000 --> 15:37.000]  And I saw an ad on New Zade Austin when I was surfing the other day for Austin Lexus.
[15:37.000 --> 15:44.000]  And it was about a face scanning system. So I clicked it and sure enough it goes, the new Lexuses tell you if you're tired.
[15:44.000 --> 15:52.000]  Stand your eyes, yeah, and are dialed into a cell phone that will report you to the cops down the road, just like OnStar does. They didn't tell you that part.
[15:52.000 --> 16:18.000]  But again, it's not the technology's bad, the globalist running it is bad. Hey, will the hurricane affect the election? We'll cover that when we get back.
[16:22.000 --> 16:30.000]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere for any application.
[16:30.000 --> 16:37.000]  The Silver Lungs Generator is a one time purchase that requires no maintenance nor replacement parts for the life of the unit.
[16:37.000 --> 16:42.000]  This product was designed to be an invaluable part of your vital preparations.
[16:42.000 --> 17:00.000]  For a detailed report on the differences between ionic silver, colloidal silver and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[17:12.000 --> 17:24.000]  Our nun is Propure and it's available discounted at infowars.com. Its filters are silver and pregnated to prevent bacterial growth. There's no priming required. It's NSF 42 certified.
[17:24.000 --> 17:34.000]  Optional fluoride filters can reduce fluoride up to 95%. Easy to set up and use. Doesn't require electricity. Purify water from lake streams, ponds and wells.
[17:34.000 --> 17:42.000]  This filter system leaves in beneficial minerals which is key. Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[17:42.000 --> 17:49.000]  Propure is the best gravity fed filter out there. It's what my family uses. Infowars.com already has the lowest price on Propure.
[17:49.000 --> 17:59.000]  But if you add the promo code water at checkout, you get an additional 10% off at infowars.com. You can also call to order 888-253-3139.
[17:59.000 --> 18:12.000]  Aaron Fullen here. As the food police shut down food co-ops, the Amish and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy home-crafted sources for fermented foods like sauerkraut, yogurt and kefir.
[18:12.000 --> 18:19.000]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria. But frankly, I'm not sure what the food police are so afraid of.
[18:19.000 --> 18:27.000]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[18:27.000 --> 18:35.000]  Even today, Japanese eat miso, Africans eat fermented porges, Koreans eat kamichi, and in India, fermented milk is a staple for healthy living.
[18:35.000 --> 18:42.000]  But here's some good news. Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[18:42.000 --> 18:50.000]  Since it's still legal to make these foods as long as you can make them yourself, for more information check out fermentationfactor.com.
[18:50.000 --> 18:59.000]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com. That's www.fermentationfactor.com.
[19:20.000 --> 19:27.000]  To counter this is to freeze your food cost at today's prices by getting your own supply of foods from Eat Foods Direct now.
[19:27.000 --> 19:32.000]  As the price of raw ingredients increases, Eat Foods will have to raise prices too. Now is the time to get your supply.
[19:32.000 --> 19:39.000]  I recently increased my supply from Eat Foods Direct because we have all known this was coming. You know about their delicious long-term storable foods.
[19:39.000 --> 19:46.000]  The fact is you can eat it anytime to save money today, and because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[19:46.000 --> 19:52.000]  Don't wait. Call 800-409-5633 or go to EatFoodsDirect.com forward slash Alex.
[19:52.000 --> 20:20.000]  Call 800-409-5633 or EatFoodsDirect.com forward slash Alex. You can bet your life on Eat Foods Direct.
[20:22.000 --> 20:40.000]  Okay, my friends, we're going to get into Hurricane Sandy right now, and I have really been hoping that all this Frankenstorm hype for the last five days or so was just that hype.
[20:40.000 --> 20:57.000]  I had really been hoping earnestly that the blue-norther coming down in the big West Coast cold front blowing out of the Pacific that they would get to the coast early and somehow blow that hurricane out to sea.
[20:57.000 --> 21:01.000]  Instead, I know you've been following and I've been following it.
[21:01.000 --> 21:11.000]  It's 50 million people are in its path, and the gusts are now up to 100 miles an hour. It had been weakening a bit. Now it's strengthening.
[21:11.000 --> 21:20.000]  I have the National Weather Service report here in front of me, and if you go to DrudgeReport.com, it's got the best coverage out there.
[21:20.000 --> 21:32.000]  We also have a data page, basically copying his links at infowars.com, the U.S. News section, but Drudge continually has the track, the latest, the cone, the models, the satellite, the radar.
[21:32.000 --> 21:39.000]  The great part about Drudge is he's not a weather channel or something where they're only showing their feeds or other media where they won't show other people's feeds.
[21:39.000 --> 21:42.000]  He's got all the different perspectives up there. That's why I like it.
[21:42.000 --> 21:50.000]  And it's got the track, the latest, the cone, the models, the satellite, the radar, but on there for hours last night and a day because this is a big deal. And why is this a big deal?
[21:50.000 --> 21:57.000]  Even U.S. News and World Report last Thursday said this could postpone the election. I didn't know that.
[21:57.000 --> 22:04.000]  I went on air Friday and said this could postpone the election and saw some people on Twitter going, you fair monger, this will never happen.
[22:04.000 --> 22:11.000]  And then they walk in and go, here's U.S. News and World Report, here's Reuters, here's Fox News, here's AP.
[22:11.000 --> 22:15.000]  Look, I'm not saying it's going to cancel the election or postpone it.
[22:15.000 --> 22:23.000]  I'm saying if you've got a hurricane that hits two cold fronts, they call that a perfect storm. They call that a Frankenstorm.
[22:23.000 --> 22:29.000]  The 1991 was really bad, nothing compared to this. They say they don't think anything's hit in like 100 years.
[22:29.000 --> 22:37.000]  And you can now see that it is set to start coming in, what, by Monday or Tuesday, it varies.
[22:37.000 --> 22:41.000]  It's already part of it's already hitting, but it's going to get really intense Tuesday into Wednesday.
[22:41.000 --> 22:49.000]  And I hope it gets blown out to sea. But that big, what is it, low pressure system with hurricanes?
[22:49.000 --> 22:55.000]  We've got a meteorologist coming on to practice down the last 30 minutes of the next hour.
[22:55.000 --> 22:59.000]  So he'll be able to look at that and break it down. Scott Stevens is going to be joining us.
[22:59.000 --> 23:03.000]  But all I know is, they're saying it can be really bad.
[23:03.000 --> 23:08.000]  So, and they're talking about, well, I mean, here are some of the headlines right here.
[23:08.000 --> 23:14.000]  New York City issues widespread mandatory evacuation orders.
[23:14.000 --> 23:26.000]  I said, you know, if they issue that in New York City, mandatory evacuation orders, how many?
[23:26.000 --> 23:30.000]  Is it eight, nine million? How are they going to vote?
[23:30.000 --> 23:34.000]  This thing won't blow out, they're saying, until Wednesday.
[23:34.000 --> 23:38.000]  I mean, how close are we to the election then? Five, six days?
[23:38.000 --> 23:43.000]  Largest tropical cyclone to ever develop in the Atlantic Basin?
[23:43.000 --> 23:51.000]  Could wreak havoc across 800 miles, urgent warnings, life-threatening storms surge to New York Harbor.
[23:51.000 --> 23:55.000]  Five reasons Sandy will be epic.
[23:55.000 --> 23:58.000]  And it just goes on and on and on.
[23:58.000 --> 24:05.000]  I don't know. The Weather Channel says five reasons Sandy will be epic.
[24:05.000 --> 24:12.000]  And they go over the five reasons. It's a northbound hurricane.
[24:12.000 --> 24:14.000]  In fact, I know you guys printed me that article.
[24:14.000 --> 24:19.000]  I need to go over that later when the, when Scott Stevens is on the broadcast.
[24:19.000 --> 24:26.000]  A number two, early winter storm, and it goes over the history of why those are so bad mixing with other hot air.
[24:26.000 --> 24:29.000]  It continues here.
[24:29.000 --> 24:31.000]  Number three, Arctic air from the north.
[24:31.000 --> 24:33.000]  Yeah, see, it's three storms colliding.
[24:33.000 --> 24:37.000]  People are forgetting it's not just that western cold front coming across.
[24:37.000 --> 24:44.000]  It's three storms, a hurricane, a blue-norther, and that big western moisture-filled cold air.
[24:44.000 --> 24:50.000]  And you, again, get to number four, high tides could worsen flooding.
[24:50.000 --> 24:56.000]  We're talking about massive flooding in potentially 50 million people that are affected.
[24:56.000 --> 24:58.000]  The Weather Channel is reporting.
[24:58.000 --> 25:03.000]  And number five, snow-wind combo increases risk for power outages.
[25:03.000 --> 25:12.000]  Yeah. I mean, how could this be happening in the middle of the 2012 super-contested election?
[25:12.000 --> 25:18.000]  Now, I've had been living in the father of weather weapons on the show six years ago when it was declassified,
[25:18.000 --> 25:25.000]  that he was the father of weather weapons, and in World War II had flown into the first typhoons in the Pacific.
[25:25.000 --> 25:27.000]  And he was almost 90 when I interviewed him.
[25:27.000 --> 25:29.000]  Still alive the last time I checked.
[25:29.000 --> 25:34.000]  And now they've got history channel shows, you know, with him showing all the old footage.
[25:34.000 --> 25:37.000]  He'd lead squadrons in Vietnam flooding the Ho Chi Minh Trail.
[25:37.000 --> 25:45.000]  And he said, by 67, Stanford Research Institute and the Navy certified along with the Air Force,
[25:45.000 --> 25:49.000]  they looked this up that they could, we can look up our hour-long interview with him.
[25:49.000 --> 25:52.000]  Well, there are several at prisonplanet.tv.
[25:52.000 --> 25:53.000]  It's also on YouTube.
[25:53.000 --> 25:55.000]  Just type in Ben Livingston, Weather Weapons.
[25:55.000 --> 25:58.000]  And he goes over all the documents, showed me what he could.
[25:58.000 --> 26:02.000]  It was, you know, unclassified now. A lot of people couldn't show me.
[26:02.000 --> 26:04.000]  But we visit with him quite a bit.
[26:04.000 --> 26:09.000]  He and his wife, the point is, is that they could steer hurricanes, kill hurricanes,
[26:09.000 --> 26:11.000]  weaken them, strengthen them, all of it.
[26:11.000 --> 26:13.000]  They could create them.
[26:13.000 --> 26:17.000]  And you see this storm they haven't seen in a hundred years.
[26:17.000 --> 26:22.000]  It makes the perfect storm of 1991 look tame, the meteorologists are saying.
[26:22.000 --> 26:27.000]  And you've got all of these storms coming together for this Frankenstorm, as it's called,
[26:27.000 --> 26:31.000]  set to hit the 30 at 31st and the 1st.
[26:31.000 --> 26:35.000]  And then you're five days out from that with flooding and power outages.
[26:35.000 --> 26:39.000]  They're saying power could be out for weeks in the most populous area of the United States.
[26:39.000 --> 26:41.000]  And they're calling it a freak storm.
[26:41.000 --> 26:44.000]  And I thought, oh, that's just that meteorologist typing it.
[26:44.000 --> 26:46.000]  So I go check this. I mean, I've been weather junky.
[26:46.000 --> 26:49.000]  When I was a kid, I couldn't stand being in my grandparents.
[26:49.000 --> 26:51.000]  They want to go in and see the weather report.
[26:51.000 --> 26:53.000]  Or my parents would want to see the weather report.
[26:53.000 --> 26:56.000]  I guess it's as you get older, knowing the weather report's really neat.
[26:56.000 --> 26:58.000]  And now you can check it online.
[26:58.000 --> 27:00.000]  So I find that's my first stop.
[27:00.000 --> 27:04.000]  I'm sure the NSA knows that tracking all my internet activities illegally.
[27:04.000 --> 27:08.000]  They track all yours, too, that they now had court cases admitting it and whistleblowers.
[27:08.000 --> 27:10.000]  You know, it's a felony when they do it.
[27:10.000 --> 27:12.000]  Side issue, I guess it's land of the free home of the brave,
[27:12.000 --> 27:14.000]  the most revealed country in the world.
[27:14.000 --> 27:21.000]  But I've really been following this and can't wait to get the meteorologist Scott Stevens on,
[27:21.000 --> 27:25.000]  because he's worked for big city TV stations, you name it.
[27:25.000 --> 27:30.000]  He's a researcher, author, and he's gone over the chem trails,
[27:30.000 --> 27:32.000]  but not just the cloud seeding.
[27:32.000 --> 27:34.000]  He's electromagnetic harper rays they have.
[27:34.000 --> 27:38.000]  When I first heard him talking about this 10 years ago, I knew a lot of it was real,
[27:38.000 --> 27:41.000]  but I still just, I couldn't even believe it.
[27:41.000 --> 27:48.000]  And now, what we showed that Friday, guys, all the Daily Mail, USA Today, BBC,
[27:48.000 --> 27:51.000]  showing the Russians, the Chinese, the Saudi Arabians,
[27:51.000 --> 27:56.000]  with these antenna arrays that can go up and ionize the atmosphere,
[27:56.000 --> 27:59.000]  form nuclei, and make it rain out of a clear blue sky.
[27:59.000 --> 28:01.000]  They can form clouds and do it.
[28:01.000 --> 28:05.000]  So now, that's really the next generation they've had for decades,
[28:05.000 --> 28:09.000]  not so much the cloud seeding, but they've got these systems,
[28:09.000 --> 28:12.000]  and the only people that seem to not know about this are the American people.
[28:12.000 --> 28:15.000]  This stuff is well known all over the world,
[28:15.000 --> 28:17.000]  but you talk about it, you call it conspiracy theorists,
[28:17.000 --> 28:21.000]  and I've just got to ask, I mean, are elements of the government,
[28:21.000 --> 28:25.000]  of the national security apparatus, of the national security state,
[28:25.000 --> 28:27.000]  totally secret and gets away with whatever it wants,
[28:27.000 --> 28:29.000]  are they manipulating this storm?
[28:29.000 --> 28:31.000]  Or why don't they go out?
[28:31.000 --> 28:33.000]  Bill Gates, I showed you ABC on Friday.
[28:33.000 --> 28:37.000]  Bill Gates owns a company that can create or kill hurricanes.
[28:37.000 --> 28:40.000]  They can do it with aircraft. They can kill hurricanes.
[28:40.000 --> 28:42.000]  Certified, 1967.
[28:42.000 --> 28:45.000]  Livingston had been doing it since the 50s, but they certified it.
[28:45.000 --> 28:49.000]  They did tests in the Atlantic, right where this is happening.
[28:49.000 --> 28:51.000]  Look it up.
[28:51.000 --> 28:53.000]  We'll be back with Stuart Rhodes.
[28:53.000 --> 28:55.000]  Will preppers be arrested? Will they be rounded up?
[28:55.000 --> 29:04.000]  Is it terrorist attack carrier family?
[29:25.000 --> 29:50.000]  Supernatural silver is what you need for any emergency.
[29:50.000 --> 29:54.000]  Go to supernaturalsilver.com today and use the promo code
[29:54.000 --> 29:59.000]  Alex says for 20% off and like us on Facebook.
[30:25.000 --> 30:29.000]  If you want to know who Obama's real daddy is, this is the film for you.
[30:29.000 --> 30:34.000]  Don't forget, your purchase supports our broadcast and our growing media network.
[30:34.000 --> 30:36.000]  You'll also find it in fullwarshop.com.
[30:36.000 --> 30:40.000]  None dare call a conspiracy by Gary Allen, the book that woke me up.
[30:40.000 --> 30:44.000]  We're also carrying behind the green mask, you and agenda 21 by Rosa Corey.
[30:44.000 --> 30:47.000]  This book is coffin nails to the globalist takeover.
[30:47.000 --> 30:52.000]  The greater good, the most professional and up-to-date film I've ever seen,
[30:52.000 --> 30:55.000]  exposing the scourge that is vaccines.
[30:55.000 --> 31:24.000]  For more information, visit www.infowarshop.com.
[31:25.000 --> 31:51.000]  For more information, visit www.infowarshop.com.
[31:51.000 --> 32:17.000]  For more information, visit www.infowarshop.com.
[32:17.000 --> 32:45.000]  For more information, visit www.infowarshop.com.
[32:45.000 --> 32:50.000]  For more information, check out fermentationfactor.com.
[32:50.000 --> 33:00.000]  It's easy to create your own powerful fermented foods and you can do it by going to www.fermentationfactor.com.
[33:00.000 --> 33:19.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[33:19.000 --> 33:31.000]  We are on the march. The empire is on the run.
[33:31.000 --> 33:36.000]  About five days before it broke in, AP Reuters, the Washington Post, you name it,
[33:36.000 --> 33:41.000]  Doug Hagman of the Northeast Intelligence Network, who gives us a lot of good intel.
[33:41.000 --> 33:51.000]  He said, hey, do you want to interview a high-security clearance, high-level military contractor who has been stranded
[33:51.000 --> 33:55.000]  and was told because you're a prepper?
[33:55.000 --> 33:59.000]  Okay, and then the Washington Post, because we've had him on twice before AP picked it up,
[33:59.000 --> 34:03.000]  spun it like, oh, he thinks that's why he was stranded at his own expense.
[34:03.000 --> 34:05.000]  Here's the Washington Post with the story.
[34:05.000 --> 34:11.000]  Man stranded in Hawaii by no fly list. It's okay and flies to San Francisco Friday.
[34:11.000 --> 34:21.000]  Wade Hicks Jr. was stranded for six days at his own expense.
[34:21.000 --> 34:24.000]  So there you go.
