[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[10:05.000 --> 10:09.000]  I said no that's all a whisper campaign to keep us from having her on the show.
[10:09.000 --> 10:14.000]  Six months later I think she's been on a few of the shows but hasn't been back on just because time flies by.
[10:14.000 --> 10:21.000]  I told Daria, I said call and get her on right now, she's at the center of attention with this Kanye West thing and I said I want her on routinely.
[10:21.000 --> 10:25.000]  And I said why haven't we got her on, just time flew by, we didn't.
[10:25.000 --> 10:29.000]  And it kind of wait for me as the head producer to say when I want somebody on.
[10:29.000 --> 10:33.000]  No, I want people like her on routinely because the system's so scared of her.
[10:33.000 --> 10:36.000]  Whoever's getting the heat is who I want on.
[10:36.000 --> 10:40.000]  See, Kanye West knows that.
[10:40.000 --> 10:50.000]  He knows the left's trying to shackle people with chips on their shoulders and inferiority complexes or racism.
[10:50.000 --> 10:56.000]  Paradoxes when he goes and sees half his fans being young white women and men.
[10:56.000 --> 11:01.000]  And he knows that's not true in the mainstay.
[11:01.000 --> 11:06.000]  And so he's talking about how they're shackling people, how they're enslaving people, how they're controlling people.
[11:06.000 --> 11:09.000]  He said I love the way Candace Owen thinks.
[11:09.000 --> 11:11.000]  So now they're ganging up on him.
[11:11.000 --> 11:20.000]  You see, he's the only superstar, one of the top three people grossing who will actually say they're a libertarian or a conservative or a nationalist.
[11:20.000 --> 11:24.000]  You don't even hear that from a George straight who I know is a big patriot.
[11:24.000 --> 11:30.000]  You don't hear it from a Kurt Russell because they attacked him when he spoke out super eloquently.
[11:30.000 --> 11:38.000]  Or even maybe a Clint Eastwood says a few things and then gets attacked but barely sticks his head up.
[11:38.000 --> 11:42.000]  Kanye comes in bold and says they got black people on the racism plantation.
[11:42.000 --> 11:45.000]  This is mind control. This is fraud.
[11:45.000 --> 11:54.000]  They threw him in a mental institution for a week and a half last year saying they thought he went crazy because he supported Trump.
[11:54.000 --> 11:57.000]  That's America. That's the new Soviet Union.
[11:57.000 --> 12:02.000]  Look at Taylor Swift, the number one grossing artist in the world.
[12:02.000 --> 12:10.000]  She just won't get political and attack Trump and has American flags and things in some of her videos.
[12:10.000 --> 12:20.000]  And so they're attacking and demonizing her, calling her a white supremacist all over the news.
[12:20.000 --> 12:22.000]  So you see, that's what's going on.
[12:22.000 --> 12:29.000]  So there's one thing I really recognize and something I support and something I admire and that's courage.
[12:29.000 --> 12:36.000]  The fact that they threw him in a mental institution, they hospitalized him for almost two weeks because he supported Trump and they said it in the news.
[12:36.000 --> 12:39.000]  He's lost his mind.
[12:39.000 --> 12:42.000]  No, he hasn't lost his mind. Look at the economy coming back.
[12:42.000 --> 12:47.000]  Look at everything happening. He's been friends with Trump for a decade. He knows Trump's a good guy.
[12:47.000 --> 12:49.000]  He knows it's a sack of bull.
[12:49.000 --> 12:57.000]  He knows Trump's actually batting for the American people and trying to give everybody a real shot.
[12:57.000 --> 13:01.000]  And so now what do we have dovetailing with all this?
[13:01.000 --> 13:08.000]  Alan West, Facebook, Google and Twitter are at war with conservatives online.
[13:08.000 --> 13:12.000]  It's time to fight back.
[13:12.000 --> 13:14.000]  Fox News, absolutely.
[13:14.000 --> 13:21.000]  Kanye West, blast thought police upon info wars.com after he attacked for endorsing conservative commentator.
[13:21.000 --> 13:25.000]  We have freedom of speech, but not freedom of thought.
[13:25.000 --> 13:28.000]  Meanwhile, we have the video coming up after the break video.
[13:28.000 --> 13:39.000]  Clinton logs efforts to censor alternative media and says intensify it because she says there's a war on truth and she's the guardian along with the half billion dollar.
[13:39.000 --> 13:53.000]  Funded Southern Poverty Law Center and the ADL with its billions that now run Google, YouTube, Twitter, Facebook admittedly saying American flag supporting veterans being a capitalist supporting Trump is white supremacist.
[13:53.000 --> 13:55.000]  This is the guardian of truth.
[13:55.000 --> 14:11.000]  This monstrous, bloodthirsty, evil criminal that turned the Middle East with Obama over the most radical forms of Islam to kill over a million people in the Arab Spring and slave hundreds of thousands of women, kill thousands of children.
[14:11.000 --> 14:30.000]  This evil establishment cracker head who used, and I'm not knocking it, but in her case she uses racism, rebel flags in their gubernatorial runs and wins and who said black people are like animals, super predators that must be brought to heal like a dog.
[14:30.000 --> 14:34.000]  We ought to play that clip all the time because that's who still runs the Democratic Party.
[14:34.000 --> 14:35.000]  She still runs it.
[14:35.000 --> 14:36.000]  That's who we're up against.
[14:36.000 --> 14:50.000]  We're in Soros, a weirdo, freak Nazi collaborator, and this monster woman whose first job was getting thrown off the committee in Congress for creating fake evidence against Nixon.
[14:50.000 --> 15:02.000]  Her second job was representing pedophiles, child rapists, brutal child kidnappers, where seven men raped a little, but 10 year old girl till her body came out of her.
[15:02.000 --> 15:09.000]  And she laughed about it, we got that audio, how she knew they were guilty, but how funny it was to get them off, and she laughed about it.
[15:09.000 --> 15:19.000]  It's so much fun when a little girl's in a shack for 10 hours with full grown men knocking the bottom out of them.
[15:19.000 --> 15:31.000]  This is what you're talking about is a savage demon, a pit of hell scum, and she's up there on her hind legs saying, I'm going to piss on the First Amendment and we're going to dominate Darkheart Jones.
[15:31.000 --> 15:36.000]  We're going to bring Alex Jones down because they think if they can bring down us, they see us as Americana.
[15:36.000 --> 15:41.000]  By the way, Zach just got grabbed at International Airport in San Francisco by the FBI.
[15:41.000 --> 15:43.000]  He was about to come on the show.
[15:43.000 --> 15:45.000]  Can't wait to reveal his real identity on air.
[15:45.000 --> 15:48.000]  And that's for coming on the show, folks.
[15:48.000 --> 15:50.000]  Giving you that A.S. stamp.
[15:50.000 --> 15:52.000]  People have no idea how hardcore this all is.
[15:52.000 --> 15:54.000]  Here's the deal.
[15:54.000 --> 15:59.000]  Everybody who's got soul and guts in a heart knows it's time to fight back.
[15:59.000 --> 16:02.000]  This is Dan Pilla. Do you owe the IRS money you can't pay?
[16:02.000 --> 16:04.000]  Are tax debts crippling you?
[16:04.000 --> 16:06.000]  I've defended people from the IRS for over 30 years.
[16:06.000 --> 16:09.000]  I've helped thousands and I can help you too.
[16:09.000 --> 16:13.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[16:13.000 --> 16:17.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[16:17.000 --> 16:21.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[16:21.000 --> 16:29.000]  Call 800-34-NO-TAX, that's 800-34-NO-TAX or my website, danpilla.com.
[16:52.000 --> 16:55.000]  Learn more now by going to libertyoncall.org.
[16:55.000 --> 17:22.000]  That's libertyoncall.org.
[17:22.000 --> 17:26.000]  My blood pressure has normalized. My diabetes has totally improved.
[17:26.000 --> 17:30.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[17:30.000 --> 17:32.000]  I recommend heart and body extract to everyone.
[17:32.000 --> 18:00.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[18:00.000 --> 18:09.000]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor?
[18:09.000 --> 18:15.000]  That's right, now's the time to build your own food storage with Harvest Rights Freeze Dryers.
[18:15.000 --> 18:21.000]  Go to infowarstore.com to learn more and check out this innovative and smart technology that's easy to use.
[18:21.000 --> 18:29.000]  And let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[18:29.000 --> 18:30.000]  Woo, that's what I'm talking about.
[18:30.000 --> 18:39.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know like what you get at the grocery store, there is no comparison.
[18:39.000 --> 18:48.000]  Harvest Right Freeze Dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[18:48.000 --> 18:52.000]  Now that's what I call the miracle of food preservation.
[18:52.000 --> 18:56.000]  Harvest Right is truly the world's best, most affordable freeze dryer.
[18:56.000 --> 18:57.000]  So what are you waiting for?
[18:57.000 --> 19:00.000]  Check it out right now at infowarstore.com.
[19:27.000 --> 19:38.000]  We began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[19:38.000 --> 19:42.000]  Pollen block is natural and effective, it is not an antihistamine.
[19:42.000 --> 19:52.000]  In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[19:52.000 --> 19:55.000]  Go outside and enjoy the air you breathe.
[19:55.000 --> 20:03.000]  Visit infowarstlife.com and grab a pack of our pollen block chewable tablets.
[20:03.000 --> 20:10.000]  You're listening to the Alex Jones Show.
[20:10.000 --> 20:14.000]  They said in October I'd be dead in six months.
[20:14.000 --> 20:29.000]  It's also what happens when you listen to the radio host Alex Jones. I don't know what happens in somebody's mind or how dark their heart must be to say things like that.
[20:29.000 --> 20:33.000]  We came, we saw, we died.
[20:33.000 --> 20:42.000]  The intervention led by NATO to Topol Gaddafi has led to a failed state.
[20:42.000 --> 20:49.000]  Maybe Libya was not perfect under Gaddafi, but it had, even if to some extent, a functioning government.
[20:49.000 --> 20:53.000]  One unified country, it was a sovereign state.
[20:53.000 --> 21:00.000]  Libya now has two rival governments, a civil war that has left over 4,000 people dead and its cities are in ruin.
[21:00.000 --> 21:07.000]  I don't know what happens in somebody's mind or how dark their heart must be.
[21:07.000 --> 21:12.000]  Women are treated, discriminated against in all these countries she took money against.
[21:12.000 --> 21:19.000]  Gays and lesbians are either executed or punished severely. They're mistreated. She claims to be their champion.
[21:19.000 --> 21:28.000]  We let ISIS take this position. It was Hillary Clinton that she should get an award from them as the founder of ISIS.
[21:28.000 --> 21:37.000]  We had this brilliant idea that we were going to come to Pakistan and create a force of Mujahideen, equip them with stinger missiles and everything else,
[21:37.000 --> 21:44.000]  to go after the Soviets inside Afghanistan. And we were successful. And this really just is so disgusting.
[21:44.000 --> 21:51.000]  When Vince Foster left his White House office on that July day in 1993, he told his secretary that he would be back.
[21:51.000 --> 21:55.000]  But the Deputy White House Counsel and boyhood friend of Bill Clinton never returned.
[21:55.000 --> 22:03.000]  There has been this urgency to end this. And you know, historically that makes no sense.
[22:03.000 --> 22:08.000]  We all remember Bobby Kennedy was assassinated in June in California.
[22:08.000 --> 22:17.000]  Google is being accused of hiding negative stories about Hillary and her campaign by changing its algorithm to marry stories like the Clinton body count story.
[22:17.000 --> 22:24.000]  That's according to website Infowars. If a Google user types in Clinton body, they get car repair shop results.
[22:24.000 --> 22:31.000]  Instead of a story that talks about a list of people tied to the Clintons who have died under mysterious circumstances over the last three decades.
[22:31.000 --> 22:36.000]  Whistleblowers go to significant efforts to get us material and often very significant risks.
[22:36.000 --> 22:47.000]  We have upcoming leaks in relation to Hillary Clinton. You know, the emails we published show that Hillary Clinton is receiving constant updates about my personal situation.
[22:47.000 --> 22:54.000]  The latest story was the death of DNC staffer Seth Rich, who was murdered last month in an apparent robbery.
[22:54.000 --> 23:02.000]  WikiLeaks founder Julian Assange has hinted that Rich was his source, but as made known from the comments about the case, that murder, we should say, remains unsolved.
[23:02.000 --> 23:13.000]  He's a 27-year-old that works for the DNC. We shot in the back, murdered just two weeks ago for unknown reasons as he was walking down the street in Washington.
[23:13.000 --> 23:18.000]  It's also what happens when you listen to the radio host Alex Jones.
[23:18.000 --> 23:25.000]  I don't know what happens in somebody's mind or how dark their heart must be.
[23:25.000 --> 23:29.000]  He made an ill of himself. It's true.
[23:29.000 --> 23:44.000]  We've got the globalist number. We know who they are, what their plans are, and now Trump's got the courage to stand against them.
[23:44.000 --> 23:49.000]  You have the courage to stand against them. Kanye West has the courage to stand against them.
[23:49.000 --> 23:52.000]  Candace Owens has the strength to stand against them.
[23:52.000 --> 23:59.000]  They are the thought police. They are the authoritarians. In Europe, they arrest you if you criticize radical Islam.
[23:59.000 --> 24:04.000]  They've indicted, again, Marie Le Pen, who is leading in presidential polls over there.
[24:04.000 --> 24:10.000]  Macron, that's been for open borders and globalism, suddenly has done an about face and is saying he wants to control the borders.
[24:10.000 --> 24:22.000]  He was under fire from his own party for strict immigration controls passing through their highest chamber.
[24:22.000 --> 24:27.000]  So a lot is going on. We're on the march. The globalists are on the run.
[24:27.000 --> 24:44.000]  But Hillary Clinton came out of stories on infowars.com and newswars.com, Clinton lauds efforts to censor alternative media, crooked Hillary winds about living through an all out war on truth, facts and reason.
[24:44.000 --> 25:07.000]  And then she tries to use us as the example when she was at Penn State, but then didn't, when she did that, ever actually give any of the things that we're lying about.
[25:07.000 --> 25:18.000]  She is the guardian of the truth, though, and she needs to take your rights. She needs to take your freedom. And then the little specialized folks, they brought into the big tech giants that are going to run your life.
[25:18.000 --> 25:25.000]  They're just the bosses, and they're going to protect us. And they get trained on the anti free speech universities.
[25:25.000 --> 25:36.000]  They get trained by the Comedy Central brainwashing brigade. They get trained by the political correctness that laces every major Hollywood production, every mainstream media production.
[25:36.000 --> 25:53.000]  That then just hammers the most weak minded followers. If you've ever wondered why modern liberals are like drooling, low IQ, stupid, hateful people, it's because they are the dumbest of the dumb.
[25:53.000 --> 26:02.000]  The successful, the intelligent, the informed, the mavericks, the trailblazers, they know authoritarianism when they see it.
[26:02.000 --> 26:16.000]  And people know what this broadcast is really all about. They're just trying to demonize me in every platform and every system ahead of not just the lawsuits, the fake lawsuits, the frivolous lawsuits,
[26:16.000 --> 26:22.000]  but they're trying to get one of their little bots, one of their little minions to physically attack me or kill me.
[26:22.000 --> 26:32.000]  Just like Milo Yiannopoulos, I want to get back on the show as soon as possible, he got booed out of a bar, people screaming Nazi get out of here, a bunch of leftist.
[26:32.000 --> 26:45.000]  And then meanwhile, ladies and gentlemen, the leader of the whole leftist movement in America and worldwide is George Soros, a real Nazi.
[26:45.000 --> 26:54.000]  That's how dangerous these mobs of people are, and they think they're going to intimidate us, they're not, they're going to make us work harder. But here's Hillary, we're living through an all out war on truth, facts and reason.
[26:54.000 --> 27:00.000]  Yes, by the globalists, by the communist Chinese, by the left, by the EU, here it is.
[27:00.000 --> 27:08.000]  Well, today we have a president who seems to reject the role of a free press in our democracy.
[27:08.000 --> 27:22.000]  Although obsessed with his own press coverage, he evaluates it based not on whether it provides knowledge or understanding, but solely on whether the daily coverage helps him and hurts his opponents.
[27:22.000 --> 27:27.000]  He has referred to the media as an enemy of the people.
[27:27.000 --> 27:39.000]  Not the media, CNN, The New York Times, The Washington Post, The Fake News Week that got sold out and is even owned by a worse group now. It's fake news.
[27:39.000 --> 27:47.000]  There's hundreds of articles a day that totally lie about me and my family that just make up whole cloth BS from anonymous sources.
[27:47.000 --> 27:57.000]  You are the liars. Trump is not attacking the First Amendment. It was you and Obama that had record numbers of members of the press arrested.
[27:57.000 --> 28:06.000]  They had a reign of terror against it. You're the one censoring now. You're the ones wanting the fairness doctrine to shut down talk radio. You are a lying war criminal. Continue.
[28:06.000 --> 28:17.000]  Justed that broadcast licenses of some news networks should be challenged. He wants to block the sale of CNN to AT&T for the same reason.
[28:17.000 --> 28:23.000]  And he has repeatedly threatened Amazon because Jeff Bezos also owns The Washington Post.
[28:23.000 --> 28:27.000]  Let's stop right there. We're going to come back with more of this. This is so telling.
[28:27.000 --> 28:36.000]  Bezos gets $1.50 on every package. It's gone up from $1.48. He gets all these other government freebies and goodies. He owns The Washington Post, a weaponized system.
[28:36.000 --> 28:40.000]  He got CIA contracts for hundreds and hundreds of millions of dollars a year under Obama.
[28:40.000 --> 28:44.000]  They're waging war on our free speech. You're trying to get rid of our speech.
[28:44.000 --> 28:50.000]  And Trump is striking back counter punching against authoritarian groups that need to be broken up under antitrust.
[28:50.000 --> 28:59.000]  Amazon. All of them. Time Warner. Viacom. Google. Twitter. All of them. Facebook. Break them up.
[29:20.000 --> 29:31.000]  You have been lied to.
[29:31.000 --> 29:41.000]  My name is Kevin Ship. I'm a former decorated CIA officer. Finally someone has come out and written what I think is the best ex-Mose on the shadow government ever.
[29:41.000 --> 29:47.000]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[29:47.000 --> 29:51.000]  We've got to get this out because just because you're awake, folks, doesn't mean other people are.
[29:51.000 --> 29:54.000]  This is critical to get, to read, to give them a library, to give them a church.
[29:54.000 --> 30:18.000]  This is critical to get, to read, to give them a library, to give them a church.
[30:18.000 --> 30:28.000]  It's completely free of toxins and allergens. Simply put, if you want the best at an extremely low price, this is it.
[30:28.000 --> 30:35.000]  Winner's Son is the result of our pursuit of the best source of Vitamin D3. The research and development took over two years,
[30:35.000 --> 30:41.000]  but the result, as verified by independent laboratories, is the best vegan Vitamin D3 product in the world.
[30:41.000 --> 30:49.000]  Read the facts at infowarslife.com about Winner's Son Vitamin D3. Not only does Vitamin D3 promote a healthy mood,
[30:49.000 --> 30:54.000]  but Vitamin D supports our memory and brain function. Something the globalists are targeting.
[30:54.000 --> 31:00.000]  Visit infowars.com today or call 888-253-3139.
[31:00.000 --> 31:03.000]  Mike in Arizona, you're on the air worldwide. Go ahead.
[31:03.000 --> 31:11.000]  Oh, Alex, you can rent any day of the week. Thank you, sir, for doing what you do and being a patriot and doing your best to save America.
[31:11.000 --> 31:16.000]  And encouraging us as fellow patriots to do that in our local areas as well.
[31:16.000 --> 31:22.000]  And as a longtime InfoWars listener, I want to say thanks for the awesome brain force, Anthroplex.
[31:22.000 --> 31:25.000]  My girlfriend would like to say thanks for the Anthroplex, too.
[31:25.000 --> 31:26.000]  Thank you.
[31:26.000 --> 31:32.000]  I use the Biotru Selenium, the Super Blue toothpaste. For you folks who aren't big normal toothpaste fans, the Super Blue is awesome.
[31:32.000 --> 31:36.000]  And thank you so much, Alex, for the InfoWarslife products. They are quality.
[31:36.000 --> 31:41.000]  I can't wait to get some more. And thank you so much for doing that for us to keep us healthy.
[31:41.000 --> 31:42.000]  Absolutely.
[31:42.000 --> 31:50.000]  Because then we could all, as educated patriots, help our other countrymen and women understand that there's bigger problems going on.
[31:50.000 --> 31:55.000]  And if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[31:55.000 --> 32:03.000]  InfoWarslife is launching its newest product. We're really, really proud of it.
[32:03.000 --> 32:07.000]  It's a best source prebiotic fiber.
[32:07.000 --> 32:19.000]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[32:19.000 --> 32:29.000]  And it synergistically works with our 50 billion live, active culture, floral life, as well as MycoZX that targets the yeast, the mold, and the funguses and the gut.
[32:29.000 --> 32:35.000]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[32:35.000 --> 32:40.000]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[32:40.000 --> 32:42.000]  And I'm doing this to introduce these products to you.
[32:42.000 --> 32:49.000]  Bodies sold out in a month. Strongest concentrated turmeric formula we can come up with.
[32:49.000 --> 32:54.000]  It's sold out for another month and a half. We sold it at 50% off till it's sold out.
[32:54.000 --> 32:59.000]  And I think it's going to be the same way with this fiber. Get yours today at InfoWarslife.com.
[32:59.000 --> 33:06.000]  You're listening to the Alex Jones Show.
[33:10.000 --> 33:14.000]  The right-wing smear machine has gotten Alex Jones-ified this election cycle.
[33:14.000 --> 33:15.000]  It's a guy named Alex Jones.
[33:15.000 --> 33:16.000]  Alex Jones.
[33:16.000 --> 33:17.000]  From InfoWars.
[33:17.000 --> 33:18.000]  From InfoWars.
[33:18.000 --> 33:19.000]  Yeah.
[33:19.000 --> 33:20.000]  Alex Jones.
[33:20.000 --> 33:21.000]  Alex Jones.
[33:21.000 --> 33:24.000]  One of those guys who believes Bigfoot was responsible for 9-11.
[33:24.000 --> 33:26.000]  I heard that on Alex Jones so it's true.
[33:26.000 --> 33:31.000]  It's true. Claims that 9-11 and the Oklahoma City bombings were inside jobs.
[33:31.000 --> 33:36.000]  The conspiracy du jour, Hillary Clinton is harboring a secret medical condition.
[33:36.000 --> 33:38.000]  You just had to keep digging, didn't you, Alex?
[33:38.000 --> 33:41.000]  I heard it on Alex Jones so I know it's Jones.
[33:41.000 --> 33:42.000]  Why Jones?
[33:42.000 --> 33:46.000]  Google is being accused of hiding negative stories about Hillary and her campaign,
[33:46.000 --> 33:51.000]  by changing its algorithm to marry stories like the Clinton's body count stories.
[33:51.000 --> 33:53.000]  That's according to website InfoWars.
[33:53.000 --> 33:55.000]  And this really, this is so disgusting.
[33:55.000 --> 33:58.000]  The juice of these pickles is on you, Alex Jones.
[34:01.000 --> 34:04.000]  It goes right from Alex Jones and it shows up in Donald Trump's mouth.
[34:04.000 --> 34:07.000]  Hillary Clinton created ISIS with Obama.
[34:07.000 --> 34:10.000]  The very fringe of the conspiracy movement, like Alex Jones,
[34:10.000 --> 34:13.000]  are being kind of incorporated into the campaign.
[34:13.000 --> 34:15.000]  If Trump gets elected he's going to be Secretary of Defense.
[34:15.000 --> 34:17.000]  I think that Alex Jones is a lunatic.
[34:17.000 --> 34:20.000]  Move, bitch! Get out of the way!
[34:20.000 --> 34:22.000]  Bill Clinton is a rapist at InfoWars.com.
[34:22.000 --> 34:24.000]  Bill Clinton is a rapist.
[34:24.000 --> 34:26.000]  The New World Order sends its regards.
[34:34.000 --> 34:38.000]  If you are receiving this transmission, you are the Resistance.
[34:38.000 --> 34:40.000]  It's Alex Jones.
