[00:00.000 --> 00:07.000]  the
[02:32.000 --> 02:34.000]  Police dispatch.
[02:34.000 --> 02:36.000]  Paul Pelosi said he doesn't know
[02:36.000 --> 02:38.000]  who the male is but
[02:38.000 --> 02:40.000]  he advised that his name is David
[02:40.000 --> 02:42.000]  and he is a friend.
[02:42.000 --> 02:44.000]  He was in his underwear.
[02:44.000 --> 02:46.000]  They were naked.
[02:46.000 --> 02:48.000]  The stuff was broken inside not
[02:48.000 --> 02:50.000]  broken into and so
[02:50.000 --> 02:52.000]  something very
[02:52.000 --> 02:54.000]  interesting going on there
[02:54.000 --> 02:56.000]  with Mr. or Herr
[02:56.000 --> 02:58.000]  Monsieur
[02:58.000 --> 03:00.000]  Pelosi will be getting into
[03:00.000 --> 03:02.000]  all of that here
[03:02.000 --> 03:04.000]  today and of course the really
[03:04.000 --> 03:06.000]  big COVID news.
[03:06.000 --> 03:08.000]  The really big
[03:08.000 --> 03:10.000]  COVID news
[03:10.000 --> 03:12.000]  that we also have to get to
[03:12.000 --> 03:14.000]  but again in a moment we're going
[03:14.000 --> 03:16.000]  to play the 911 call
[03:16.000 --> 03:18.000]  from
[03:18.000 --> 03:20.000]  Pelosi's husband
[03:20.000 --> 03:22.000]  not the DWI call
[03:22.000 --> 03:24.000]  the 911 call
[03:24.000 --> 03:26.000]  here in just a moment and then
[03:26.000 --> 03:28.000]  after advocating for COVID-19
[03:28.000 --> 03:30.000]  vaccine for a year
[03:30.000 --> 03:32.000]  Ben Shapiro says he was deceived
[03:32.000 --> 03:34.000]  we're being lied to by everyone
[03:34.000 --> 03:36.000]  by Bill Gates
[03:36.000 --> 03:38.000]  and the New World Order. Now he knows
[03:38.000 --> 03:40.000]  everyone's turning against him. Now he's
[03:40.000 --> 03:42.000]  doubling back and we've got a lot of
[03:42.000 --> 03:44.000]  big developments on that
[03:44.000 --> 03:46.000]  front. They're also getting ready to
[03:46.000 --> 03:48.000]  steal the election if they can in 10 days.
[03:48.000 --> 03:50.000]  You're a cook, you're a terrorist,
[03:50.000 --> 03:52.000]  you're a criminal, you should be censored,
[03:52.000 --> 03:54.000]  you should be outlawed, you should be persecuted.
[03:54.000 --> 03:56.000]  You're the worst person on earth
[03:56.000 --> 03:58.000]  if you question elections.
[03:58.000 --> 04:00.000]  Though the State Department sends the U.S.
[04:00.000 --> 04:02.000]  around everywhere to check other elections
[04:02.000 --> 04:04.000]  now the Democrats are saying they believe
[04:04.000 --> 04:06.000]  the Republicans
[04:06.000 --> 04:08.000]  are going to steal the election in 10
[04:08.000 --> 04:10.000]  days and Pennsylvania
[04:10.000 --> 04:12.000]  has said waiting on Pennsylvania
[04:12.000 --> 04:14.000]  by the U.S. Senate race
[04:14.000 --> 04:16.000]  may drag past election night
[04:16.000 --> 04:18.000]  it's being reported
[04:18.000 --> 04:20.000]  by the Times
[04:20.000 --> 04:22.000]  leader and others so
[04:22.000 --> 04:24.000]  more of those special magical
[04:24.000 --> 04:26.000]  mail-in ballots but here is
[04:26.000 --> 04:28.000]  the audio of this post
[04:28.000 --> 04:30.000]  of the article on infowars.com
[04:30.000 --> 04:32.000]  police dispatch Paul Palos
[04:32.000 --> 04:34.000]  he said he doesn't know
[04:34.000 --> 04:36.000]  who the mail is but
[04:36.000 --> 04:38.000]  he advised that his name is David
[04:38.000 --> 04:40.000]  and he is a friend
[04:40.000 --> 04:42.000]  here it is
[04:42.000 --> 04:44.000]  Northern four car
[04:44.000 --> 04:46.000]  a priority 910-2640
[04:46.000 --> 04:48.000]  Broadway, Cross of Scott and Normandy
[04:48.000 --> 04:50.000]  a 14 hour copy
[04:50.000 --> 04:52.000]  R.P. stated that there's a mail in the
[04:52.000 --> 04:54.000]  home and that he's going to wait for his wife
[04:54.000 --> 04:56.000]  R.P. stated that he doesn't know who the mail is
[04:56.000 --> 04:58.000]  but he advised that his name is David
[04:58.000 --> 05:00.000]  there's a friend
[05:00.000 --> 05:02.000]  R.P. sounded somewhat confused
[05:02.000 --> 05:04.000]  there's a friend
[05:04.000 --> 05:06.000]  R.P. sounded somewhat confused
[05:06.000 --> 05:08.000]  let's go over back and get it
[05:08.000 --> 05:10.000]  alright his name is David
[05:10.000 --> 05:12.000]  and he's a friend but he doesn't know
[05:12.000 --> 05:14.000]  who he is
[05:16.000 --> 05:18.000]  well I guess the dude would look good
[05:18.000 --> 05:20.000]  if your wife
[05:20.000 --> 05:22.000]  was Nancy Pelosi that would turn
[05:22.000 --> 05:24.000]  anybody gay I would think
[05:24.000 --> 05:26.000]  but the whole point
[05:26.000 --> 05:28.000]  is they're trying to saddle
[05:28.000 --> 05:30.000]  they're trying to frame
[05:30.000 --> 05:32.000]  the American people
[05:32.000 --> 05:34.000]  with this right now
[05:34.000 --> 05:36.000]  some type of attempted false flag
[05:36.000 --> 05:38.000]  I'm not saying it didn't happen I'm saying
[05:38.000 --> 05:40.000]  they're trying to blame conservative voters
[05:40.000 --> 05:42.000]  they're calling it a new
[05:42.000 --> 05:44.000]  January 6 but it gets worse
[05:44.000 --> 05:46.000]  Senator Rand Paul who had
[05:46.000 --> 05:48.000]  six ribs broken
[05:48.000 --> 05:50.000]  and a lung punctured
[05:50.000 --> 05:52.000]  and a still and serious health problems because of it
[05:52.000 --> 05:54.000]  the left celebrated we got physically attacked
[05:54.000 --> 05:56.000]  he had a speedy recovery and saying
[05:56.000 --> 05:58.000]  political violence should not happen
[05:58.000 --> 06:00.000]  and it's wrong
[06:00.000 --> 06:02.000]  the left called him a little bitch
[06:02.000 --> 06:04.000]  went on to celebrate the attack on him
[06:04.000 --> 06:06.000]  what a group
[06:06.000 --> 06:08.000]  of
[06:08.000 --> 06:10.000]  scum that we are
[06:10.000 --> 06:12.000]  dealing with ladies and gentlemen
[06:12.000 --> 06:14.000]  now let's look at this we'll play the Shapiro
[06:14.000 --> 06:16.000]  clip here this has been Shapiro
[06:16.000 --> 06:18.000]  walks back to support for the so-called
[06:18.000 --> 06:20.000]  vaccine he now says
[06:20.000 --> 06:22.000]  well he said two shots and his wife said three shots
[06:22.000 --> 06:24.000]  and he got lied to and it's terrible
[06:24.000 --> 06:26.000]  but lied to by who
[06:26.000 --> 06:28.000]  big pharma the corporate media
[06:28.000 --> 06:30.000]  and by you saying it was safe
[06:30.000 --> 06:32.000]  and we should all take it or we're bad
[06:32.000 --> 06:34.000]  people
[06:34.000 --> 06:36.000]  here is Ben Shapiro
[06:36.000 --> 06:38.000]  we were lied to by the scientists
[06:38.000 --> 06:40.000]  we were lied to by Pfizer we were lied to by the government
[06:40.000 --> 06:42.000]  we were lied to by the Biden administration we were lied to
[06:42.000 --> 06:44.000]  I don't like being lied to I don't know about you
[06:44.000 --> 06:46.000]  and it makes me
[06:46.000 --> 06:48.000]  not believe these people
[06:48.000 --> 06:50.000]  now as I've spoken out before
[06:50.000 --> 06:52.000]  I got back twice what happened double
[06:52.000 --> 06:54.000]  that's my wife being a doctor and seeing bone
[06:54.000 --> 06:56.000]  neural patients is triple that's but
[06:56.000 --> 06:58.000]  knowing now what I know then
[06:58.000 --> 07:00.000]  what
[07:00.000 --> 07:02.000]  knowing then what I know now rather
[07:02.000 --> 07:04.000]  what I have actually gotten back
[07:04.000 --> 07:06.000]  based on the information that
[07:06.000 --> 07:08.000]  my actual chance
[07:08.000 --> 07:10.000]  of death from COVID were
[07:10.000 --> 07:12.000]  exorbitantly low and I wouldn't be preventing
[07:12.000 --> 07:14.000]  my parents from getting that was really what I was concerned about
[07:14.000 --> 07:16.000]  because we were bubbled with my parents what I've gotten it
[07:16.000 --> 07:18.000]  I don't know I really don't know
[07:18.000 --> 07:20.000]  I think maybe not
[07:20.000 --> 07:22.000]  because again my personal risk when it
[07:22.000 --> 07:24.000]  comes to the vaccine was
[07:24.000 --> 07:26.000]  extremely low when it came to COVID
[07:26.000 --> 07:28.000]  I'm a young healthy male with no
[07:28.000 --> 07:30.000]  pre-existing conditions
[07:32.000 --> 07:34.000]  yeah he's in damage control
[07:34.000 --> 07:36.000]  on his damage report
[07:36.000 --> 07:38.000]  listen Eddie monster
[07:38.000 --> 07:40.000]  the CDC's
[07:40.000 --> 07:42.000]  own document in October 2000
[07:42.000 --> 07:44.000]  said heart attacks heart swelling
[07:44.000 --> 07:46.000]  blood clots strokes
[07:46.000 --> 07:48.000]  infertility
[07:48.000 --> 07:50.000]  cancer death
[07:50.000 --> 07:52.000]  and you followed the corporate
[07:52.000 --> 07:54.000]  talking point and it's in
[07:54.000 --> 07:56.000]  spars 2025
[07:56.000 --> 07:58.000]  2028 globalist document
[07:58.000 --> 08:00.000]  that they'd hit us with two years of the poison shot
[08:00.000 --> 08:02.000]  and then admit it was wrong
[08:02.000 --> 08:04.000]  to destroy confidence in the government and the system
[08:04.000 --> 08:06.000]  but not in the UN and the big corporations
[08:06.000 --> 08:08.000]  that did it so
[08:08.000 --> 08:10.000]  Shapiro's walking it back
[08:10.000 --> 08:12.000]  but he's not telling us who's the blame
[08:12.000 --> 08:14.000]  or how it was an evil plan or how much
[08:14.000 --> 08:16.000]  money he got
[08:16.000 --> 08:18.000]  as a little monster
[08:18.000 --> 08:20.000]  to promote all this
[08:20.000 --> 08:22.000]  they'll watch our report from almost
[08:22.000 --> 08:24.000]  two years ago
[08:24.000 --> 08:26.000]  spars 2025 2028
[08:26.000 --> 08:28.000]  it's got about four million views
[08:28.000 --> 08:30.000]  banned out of video needs a
[08:30.000 --> 08:32.000]  billion views we want to save ourselves
[08:32.000 --> 08:34.000]  and you will be so blown away
[08:34.000 --> 08:36.000]  it'll make your head spin
[08:38.000 --> 08:40.000]  it even describes how people
[08:40.000 --> 08:42.000]  would find out it was poison
[08:42.000 --> 08:44.000]  they were going to spin that later
[08:44.000 --> 08:46.000]  it's beyond operation lockstep
[08:46.000 --> 08:48.000]  and the Rockefeller Foundation document
[08:48.000 --> 08:50.000]  so
[08:50.000 --> 08:52.000]  the rats are definitely leaving the sinking ship
[08:52.000 --> 08:54.000]  meanwhile this came out weeks ago
[08:54.000 --> 08:56.000]  and where's the congressional hearings
[08:56.000 --> 08:58.000]  where's the arrest
[08:58.000 --> 09:00.000]  say it for me now
[09:00.000 --> 09:02.000]  Alex Jones was right
[09:02.000 --> 09:04.000]  you see they're desperate to silence him
[09:04.000 --> 09:06.000]  Boston University creates new covid strain
[09:06.000 --> 09:08.000]  that is an 80% kill rate
[09:08.000 --> 09:10.000]  and here it is
[09:10.000 --> 09:12.000]  sailing mail even AP
[09:12.000 --> 09:14.000]  and Reuters admitted it
[09:14.000 --> 09:16.000]  but weeks later they want to
[09:16.000 --> 09:18.000]  sweep it on the rug kills 80% of humans
[09:18.000 --> 09:20.000]  it comes in contact
[09:20.000 --> 09:22.000]  with inhumanized mice
[09:22.000 --> 09:24.000]  that are part human and cloning
[09:24.000 --> 09:26.000]  have the exact same effect
[09:28.000 --> 09:30.000]  I wonder if Ben Shapiro is worried about that a little bit
[09:30.000 --> 09:32.000]  meanwhile flu they said
[09:32.000 --> 09:34.000]  was gone for two years they were counting that as covid
[09:34.000 --> 09:36.000]  you take the poison shot now so far
[09:36.000 --> 09:38.000]  the flu season is more severe than it's been
[09:38.000 --> 09:40.000]  13 years there's all these deaths of the vaccinated
[09:40.000 --> 09:42.000]  and they're calling it
[09:42.000 --> 09:44.000]  the flu
[09:44.000 --> 09:46.000]  and they've got new lock downs
[09:46.000 --> 09:48.000]  in China
[09:48.000 --> 09:50.000]  Wuhan plunged back into lock down
[09:50.000 --> 09:52.000]  almost three years after first covid case
[09:52.000 --> 09:54.000]  with 800,000 K in quarantine amid
[09:54.000 --> 09:56.000]  spike in cases
[09:56.000 --> 09:58.000]  and it goes on
[09:58.000 --> 10:00.000]  and on
[10:00.000 --> 10:02.000]  and on from there
[10:02.000 --> 10:04.000]  meanwhile we've got all these
[10:04.000 --> 10:06.000]  Debo Scroop
[10:06.000 --> 10:08.000]  CFR
[10:08.000 --> 10:10.000]  New World Ordered People like the new Prime Minister
[10:10.000 --> 10:12.000]  Rishi Sundack
[10:12.000 --> 10:14.000]  own social credit score
[10:14.000 --> 10:16.000]  he's the new British Prime Minister
[10:16.000 --> 10:18.000]  with links to World Economic Forum
[10:18.000 --> 10:20.000]  and he announces carbon taxes
[10:20.000 --> 10:22.000]  and total control and social credit scores
[10:22.000 --> 10:24.000]  and he meanwhile owns the company
[10:24.000 --> 10:26.000]  that'll be making money out of it
[10:28.000 --> 10:30.000]  it doesn't matter who you elect
[10:30.000 --> 10:32.000]  if they control all
[10:32.000 --> 10:36.000]  the major candidates
[10:36.000 --> 10:38.000]  that's their plan
[10:38.000 --> 10:40.000]  that's their operation
[10:40.000 --> 10:42.000]  remember the idiocy of the last three years
[10:42.000 --> 10:44.000]  people swimming with mask on
[10:44.000 --> 10:46.000]  people swimming with plexiglass in front of them
[10:46.000 --> 10:48.000]  all of it a sign of
[10:48.000 --> 10:50.000]  how mind controlled
[10:50.000 --> 10:52.000]  you really were
[10:52.000 --> 10:54.000]  Canada launched ID together
[10:54.000 --> 10:56.000]  with the WEF Bill Gates funding
[10:56.000 --> 10:58.000]  the initiative removes any physical passports
[10:58.000 --> 11:00.000]  that can also be used as a combined
[11:00.000 --> 11:02.000]  vaccine passport
[11:02.000 --> 11:04.000]  well fit well with the
[11:04.000 --> 11:06.000]  CBDC and its social credit score
[11:06.000 --> 11:08.000]  all for your safety of course
[11:08.000 --> 11:10.000]  all officially being
[11:10.000 --> 11:12.000]  rolled out now
[11:12.000 --> 11:14.000]  but here are the Twitter executives
[11:14.000 --> 11:16.000]  being fired
[11:16.000 --> 11:18.000]  they don't look too happy now
[11:18.000 --> 11:20.000]  and a lot of people are saying Jones
[11:20.000 --> 11:22.000]  when are you going to challenge
[11:22.000 --> 11:24.000]  Elon Musk
[11:24.000 --> 11:26.000]  and demand that you be reinstated to Twitter
[11:26.000 --> 11:28.000]  let me speak to that briefly
[11:28.000 --> 11:30.000]  before we get to these big guests
[11:30.000 --> 11:32.000]  got three of them coming up that are incredible
[11:32.000 --> 11:34.000]  I know because
[11:34.000 --> 11:36.000]  my weekday shows 11 a.m. to 3 p.m. are live
[11:36.000 --> 11:38.000]  my Sunday show 4 to 6 p.m. is live
[11:38.000 --> 11:40.000]  but the Saturday shows are usually taped
[11:40.000 --> 11:42.000]  so I'm taping
[11:42.000 --> 11:44.000]  this little news intro
[11:44.000 --> 11:46.000]  after three hours
[11:46.000 --> 11:48.000]  with Roger Stone
[11:48.000 --> 11:50.000]  with Acharya
[11:50.000 --> 11:52.000]  who'll introduce to you
[11:52.000 --> 11:54.000]  and with
[11:54.000 --> 11:56.000]  Mark Passio and this was a particularly
[11:56.000 --> 11:58.000]  powerful broadcast
[11:58.000 --> 12:00.000]  so that's all coming up here just a few minutes
[12:00.000 --> 12:02.000]  but
[12:02.000 --> 12:04.000]  let me just get back
[12:06.000 --> 12:08.000]  to the main points
[12:08.000 --> 12:10.000]  I wanted to get to here today
[12:10.000 --> 12:12.000]  the wheels are coming off
[12:12.000 --> 12:14.000]  the new world order
[12:14.000 --> 12:16.000]  the world population
[12:16.000 --> 12:18.000]  is waking up
[12:18.000 --> 12:20.000]  at record levels
[12:20.000 --> 12:22.000]  and the globalist are completely
[12:22.000 --> 12:24.000]  and totally
[12:24.000 --> 12:26.000]  absolutely
[12:26.000 --> 12:28.000]  desperate right now
[12:28.000 --> 12:30.000]  and that's why I want to encourage
[12:30.000 --> 12:32.000]  viewers to realize
[12:32.000 --> 12:34.000]  these aren't words when I say this
[12:34.000 --> 12:36.000]  how incredibly essential you are
[12:36.000 --> 12:38.000]  in this fight
[12:38.000 --> 12:40.000]  now getting back
[12:40.000 --> 12:42.000]  to Elon Musk
[12:42.000 --> 12:44.000]  I look at a tree
[12:44.000 --> 12:46.000]  by what fruits it bears
[12:46.000 --> 12:48.000]  you know I used to before
[12:48.000 --> 12:50.000]  my ex-wife divorced me
[12:50.000 --> 12:52.000]  have nine acres out in the country outside Austin
[12:52.000 --> 12:54.000]  on the Barton Creek
[12:54.000 --> 12:56.000]  and we had a couple acres on one side of the creek
[12:56.000 --> 12:58.000]  and like seven acres on the other side
[12:58.000 --> 13:00.000]  the folks we bought the house from
[13:00.000 --> 13:02.000]  had an apple
[13:02.000 --> 13:04.000]  a plum
[13:04.000 --> 13:06.000]  and a pear orchard
[13:08.000 --> 13:10.000]  and
[13:10.000 --> 13:12.000]  we could get more apples and plums
[13:12.000 --> 13:14.000]  and pears
[13:14.000 --> 13:16.000]  than we could ever eat
[13:18.000 --> 13:20.000]  off of that
[13:20.000 --> 13:22.000]  seven acres about four acres of it
[13:22.000 --> 13:24.000]  right in the middle was
[13:24.000 --> 13:26.000]  those trees
[13:26.000 --> 13:28.000]  we didn't take care of them, we didn't prune them
[13:28.000 --> 13:30.000]  but I go over there all the time
[13:30.000 --> 13:32.000]  a little spillway there at the creek
[13:32.000 --> 13:34.000]  so instead of walking through the water
[13:34.000 --> 13:36.000]  I drive my truck across
[13:36.000 --> 13:38.000]  and I just load baskets
[13:38.000 --> 13:40.000]  with
[13:40.000 --> 13:42.000]  apples and plums
[13:42.000 --> 13:44.000]  and pears
[13:44.000 --> 13:46.000]  some other fruit I'm forgetting it
[13:46.000 --> 13:51.000]  but it doesn't matter
[13:51.000 --> 13:53.000]  and the crazy thing was
[13:53.000 --> 13:55.000]  you'd have a little tree
[13:55.000 --> 13:57.000]  next to a big one
[13:57.000 --> 13:59.000]  but it would have twice as many
[13:59.000 --> 14:00.000]  plums on it
[14:00.000 --> 14:02.000]  or twice as many pears on it
[14:02.000 --> 14:03.000]  or apples
[14:03.000 --> 14:05.000]  and sometimes you'd have one of the bigger trees
[14:05.000 --> 14:07.000]  that grew really big and strong and look great
[14:07.000 --> 14:09.000]  but it would have almost nothing on it
[14:11.000 --> 14:13.000]  and that's what the Bible is talking about
[14:13.000 --> 14:15.000]  judging a tree by its fruits
[14:15.000 --> 14:17.000]  you look at this little tree
[14:17.000 --> 14:19.000]  and it's loaded with apples
[14:19.000 --> 14:21.000]  where it's almost weighed down to the ground
[14:21.000 --> 14:23.000]  in fact we had one tree that went down to the ground
[14:24.000 --> 14:26.000]  it had so many apples on it
[14:26.000 --> 14:28.000]  like a hundred apples
[14:28.000 --> 14:30.000]  and we were making apple pies
[14:30.000 --> 14:32.000]  constantly and everything just gods bounding
[14:35.000 --> 14:37.000]  and the same thing for a plum tree
[14:37.000 --> 14:39.000]  you'd have like a medium sized plum tree
[14:39.000 --> 14:40.000]  and then a big plum tree
[14:40.000 --> 14:42.000]  and there would be a few plums on the big plum tree
[14:42.000 --> 14:44.000]  and a whole bunch on the little one
[14:44.000 --> 14:46.000]  and it wasn't always like that
[14:46.000 --> 14:48.000]  we had a few trees, we probably had 50 of them
[14:48.000 --> 14:50.000]  that were big trees that were also loaded
[14:50.000 --> 14:52.000]  you had to get a ladder up there and get them off
[14:52.000 --> 14:54.000]  but that's not where I'm going with this
[14:54.000 --> 14:56.000]  people ask me
[14:56.000 --> 14:58.000]  what I think of Elon Musk
[14:58.000 --> 15:00.000]  and I try to be Christ like
[15:00.000 --> 15:02.000]  I don't claim to be very Christ like
[15:02.000 --> 15:04.000]  I try to be Christ like
[15:04.000 --> 15:06.000]  but I definitely follow the teachings of Christ
[15:06.000 --> 15:08.000]  I certainly respect Christ, he's my leader
[15:08.000 --> 15:10.000]  and my savior but let's just say this
[15:10.000 --> 15:12.000]  Christ is never wrong
[15:12.000 --> 15:14.000]  thinking to Christ that isn't from an arrogant perspective
[15:14.000 --> 15:16.000]  just be very clear
[15:16.000 --> 15:18.000]  but Christ said
[15:18.000 --> 15:20.000]  you judge a tree by its fruits
[15:20.000 --> 15:22.000]  and so when I look at Elon Musk
[15:22.000 --> 15:24.000]  and the things he's done
[15:24.000 --> 15:26.000]  promoting Neuralink
[15:26.000 --> 15:28.000]  and Starlink and all of it
[15:28.000 --> 15:30.000]  that kind of weighs down him being a good guy
[15:30.000 --> 15:32.000]  on the side of bad
[15:32.000 --> 15:34.000]  but then you look at coming out
[15:34.000 --> 15:36.000]  against the vaccine two years ago and saying
[15:36.000 --> 15:38.000]  don't take it at the start
[15:38.000 --> 15:40.000]  and coming out against world government
[15:40.000 --> 15:42.000]  and now coming out against the Ukraine war
[15:42.000 --> 15:44.000]  and now coming out against censorship
[15:44.000 --> 15:46.000]  and now saying we shouldn't get rid of fossil fuels
[15:46.000 --> 15:48.000]  they're a good thing, we need them
[15:48.000 --> 15:50.000]  alongside electric while we develop better
[15:50.000 --> 15:52.000]  systems and then we will collapse
[15:52.000 --> 15:54.000]  and we don't have it
[15:54.000 --> 15:56.000]  and just on and on and on
[15:56.000 --> 15:58.000]  I look at the tree that is Elon Musk
[15:58.000 --> 16:00.000]  and I say
[16:00.000 --> 16:02.000]  this guy's getting better and better
[16:02.000 --> 16:04.000]  and so the good side of him
[16:04.000 --> 16:06.000]  way outside the
[16:06.000 --> 16:08.000]  bad
[16:08.000 --> 16:10.000]  isn't just judging a tree by its fruits
[16:10.000 --> 16:12.000]  in my psychological, cultural,
[16:12.000 --> 16:14.000]  economic, spiritual
[16:14.000 --> 16:16.000]  lexicon
[16:16.000 --> 16:18.000]  and that is
[16:18.000 --> 16:20.000]  the trajectory
[16:20.000 --> 16:22.000]  because let's say Elon used to be somewhat bad
[16:22.000 --> 16:24.000]  we don't know
[16:24.000 --> 16:26.000]  and then he gets better and better and better and better
[16:26.000 --> 16:28.000]  and better and if he starts getting bad again
[16:28.000 --> 16:30.000]  we got a problem and we still can't trust him
[16:30.000 --> 16:32.000]  but he's not getting
[16:32.000 --> 16:34.000]  he's not stopping his peak
[16:34.000 --> 16:36.000]  he's going like this getting better
[16:36.000 --> 16:38.000]  instead of like
[16:38.000 --> 16:40.000]  kind of this and we don't know what he's going to do
[16:40.000 --> 16:42.000]  well, no it's this
[16:42.000 --> 16:44.000]  and so
[16:44.000 --> 16:46.000]  I had dinner with a lot of people
[16:46.000 --> 16:48.000]  I told you about this on the air
[16:48.000 --> 16:50.000]  two years ago and I told you about it
[16:50.000 --> 16:52.000]  other sources and I said
[16:52.000 --> 16:54.000]  people tell me Elon Musk is a listener
[16:54.000 --> 16:56.000]  people tell me Elon Musk cares
[16:56.000 --> 16:58.000]  people tell me watch what Elon's about to do
[16:58.000 --> 17:00.000]  and Elon wants you to know he's about to do all this
[17:00.000 --> 17:02.000]  and then years later I had dinner with some other folks
[17:02.000 --> 17:04.000]  pretty close to Elon, I'll leave it at that
[17:04.000 --> 17:06.000]  you'd say extremely close
[17:06.000 --> 17:08.000]  they basically told me the same thing
[17:10.000 --> 17:12.000]  I used to joke about
[17:12.000 --> 17:14.000]  talking to Trump on the phone all the time
[17:14.000 --> 17:16.000]  and I'd say well I'll talk to someone very close
[17:16.000 --> 17:18.000]  to President Trump
[17:18.000 --> 17:20.000]  but the point is
[17:20.000 --> 17:22.000]  is that I'm not stupid
[17:22.000 --> 17:24.000]  I didn't sell out to the New World Order
[17:24.000 --> 17:26.000]  I'm not selling out to anybody because they're a billionaire
[17:26.000 --> 17:28.000]  they're powerful, I already sold out of the truth
[17:28.000 --> 17:30.000]  but
[17:30.000 --> 17:32.000]  that's what I said, I said to these people
[17:32.000 --> 17:34.000]  I said well if Elon Musk is so good
[17:34.000 --> 17:36.000]  when I was having dinner with one of his chief scientists
[17:36.000 --> 17:38.000]  a well-known household name
[17:38.000 --> 17:40.000]  I said
[17:40.000 --> 17:42.000]  if he's so good two years ago
[17:42.000 --> 17:44.000]  let me see first
[17:44.000 --> 17:46.000]  well now I've been seeing
[17:46.000 --> 17:48.000]  so I'm not up here as an apologist
[17:48.000 --> 17:50.000]  for Elon Musk and
[17:50.000 --> 17:52.000]  Gregory said well I can't even put out pieces of tackling
[17:52.000 --> 17:54.000]  I respect Gregory, I think he brings up pertinent points
[17:54.000 --> 17:56.000]  we're not running a cult here
[17:56.000 --> 17:58.000]  but you can't
[17:58.000 --> 18:00.000]  deny
[18:00.000 --> 18:02.000]  that Elon Musk is going this
[18:02.000 --> 18:04.000]  going straight up towards liberty
[18:04.000 --> 18:06.000]  while Donald Trump not going against the vaccines
[18:06.000 --> 18:08.000]  is doing this
[18:08.000 --> 18:10.000]  that mean I'm throwing Trump out
[18:10.000 --> 18:12.000]  that mean I dislike Trump, that mean I don't support Trump
[18:12.000 --> 18:14.000]  but Trump's like this
[18:14.000 --> 18:16.000]  now I'm going down a little, I'm kind of like man
[18:16.000 --> 18:18.000]  I hope he doesn't keep dropping
