[00:00:00.152 --> 00:00:00.623]  Let's go.
[00:06:28.650 --> 00:06:30.853]  Don't act so surprised, globalist.
[00:06:30.853 --> 00:06:35.518]  You didn't think you could silence the American people, did you?
[00:06:35.518 --> 00:06:39.502]  It is Thursday, January 23rd, 2020.
[00:06:39.502 --> 00:06:41.724]  I am your host, Alex Jones.
[00:06:41.724 --> 00:06:47.050]  We're gonna be here live until Florida kicks off live from D.C.
[00:06:47.050 --> 00:06:47.891]  Until 3 p.m.
[00:06:47.891 --> 00:06:49.353]  Central Standard Time today.
[00:06:50.990 --> 00:07:11.403]  All right, we already had Mike Adams, who's an engineer and health news writer and a very smart person, joining us to cover the latest developments on the coronavirus outbreak that clearly is much worse than what Beijing has been saying and is something out of a science fiction horror film.
[00:07:11.403 --> 00:07:16.286]  As we see images, hundreds of videos are now pouring out of people just dropping
[00:07:17.694 --> 00:07:36.293]  Like flies to the ground flopping around being put inside containment tubes out of the movie Outbreak and panicked medical workers on board airplanes at checkpoints scanning people for high temperatures.
[00:07:38.066 --> 00:08:02.464]  This is clearly much worse than they're saying, and a lot of top scientists, we have reports up on Infowars.com, are reporting that it has as high a rate of death as the Spanish flu, swine flu, in 1918, 1919, that killed between 30 and 40 million people, so I'll just say 30 million people.
[00:08:06.840 --> 00:08:12.464]  And DrivesReport.com is linked to a big report right now that lays all that out.
[00:08:12.464 --> 00:08:16.407]  We're going to be detailing it here today.
[00:08:16.407 --> 00:08:18.188]  Here are some of the headlines.
[00:08:18.188 --> 00:08:28.076]  Wuhan quarantine, that's what they're calling the virus, expands as Chinese fear authorities not telling full story about coronavirus outbreak.
[00:08:28.076 --> 00:08:31.038]  That's out of the Greenwich Times.
[00:08:31.038 --> 00:08:32.319]  And that is absolutely
[00:08:34.142 --> 00:08:40.346]  A common sense response with all the cover-ups and things that we've seen in the past.
[00:08:40.346 --> 00:08:44.789]  It was Rob Dew a few days ago that filed a report.
[00:08:44.789 --> 00:08:45.550]  A text report.
[00:08:45.550 --> 00:08:46.751]  He's now filed a video report.
[00:08:46.751 --> 00:08:50.193]  We're going to play here in just a few minutes.
[00:08:50.193 --> 00:08:52.375]  InfoWars News Director, who's in D.C.
[00:08:52.375 --> 00:08:52.655]  right now.
[00:08:53.911 --> 00:09:01.857]  On the fact that Bill and Melinda Gates fund a shadowy foundation that's been developing coronavirus vaccines.
[00:09:01.857 --> 00:09:13.046]  And then of course you have Bill and Melinda Gates and their connection to Planned Parenthood, the depopulation programs, and the statements of Bill Gates wanting to reduce world population down massively.
[00:09:13.046 --> 00:09:15.128]  And then you see something like this unfolding.
[00:09:15.128 --> 00:09:16.589]  It's very, very suspicious.
[00:09:16.589 --> 00:09:19.191]  One of the scientists who invented the coronavirus,
[00:09:20.558 --> 00:09:22.299]  That's what it says on the patent.
[00:09:22.299 --> 00:09:40.771]  Works for a company called Pyrite Institute, which gets funding from Bill Gates, the primary funder on the patent is a fella named Bao Q. Lee.
[00:09:40.771 --> 00:09:49.757]  And again, that's linked all up on InfoWars.com right now.
[00:09:53.177 --> 00:10:00.920]  Also, John Hopkins has done big study partnerships with the World Economic Forum, Bill and Melinda Gates Foundation.
[00:10:00.920 --> 00:10:07.083]  They hosted an event 201, a high-level pandemic exercise on October 18, 2019 in New York City.
[00:10:07.083 --> 00:10:17.928]  The exercise illustrates areas where public-private partnerships will be necessary during the response to a severe pandemic in order to diminish large-scale economic and societal consequences.
[00:10:23.215 --> 00:10:27.558]  Is the new deadly China virus a covert operation?
[00:10:27.558 --> 00:10:35.502]  Well, we're going to get investigative journalist John Rappaport and Mike Adams on to break all of that down.
[00:10:35.502 --> 00:10:42.046]  Here's the patent history on the particular Corona virus that they say that they have invented.
[00:10:44.650 --> 00:10:50.054]  Bill Gates funded a coronavirus pandemic exercise in October of 2019.
[00:10:50.054 --> 00:10:56.019]  All very, very coincidental, I'm sure, until you realize everything else he's involved in.
[00:10:56.019 --> 00:11:00.763]  Here's the Paul Joseph Watson Infowars.com article that's linked on Drudge Report.
[00:11:00.763 --> 00:11:07.448]  Professor warns, new coronavirus has same kill rate as the Spanish flu.
[00:11:07.448 --> 00:11:09.730]  And that's what we're going to cover.
[00:11:11.081 --> 00:11:16.525]  On the other side of this break that is coming up.
[00:11:16.525 --> 00:11:21.769]  Passenger infected with coronavirus wheeled out of airport in quarantine box.
[00:11:21.769 --> 00:11:27.253]  And let's just roll some of the footage that we have put together for TV viewers.
[00:11:27.253 --> 00:11:31.196]  And more is being added by our intrepid reporters here as they come in.
[00:11:31.196 --> 00:11:35.039]  But there are hundreds of these videos now proliferating the internet.
[00:11:35.039 --> 00:11:37.101]  New, more shocking ones every few minutes.
[00:11:38.982 --> 00:11:44.809]  Shock videos reveal Chinese collapsing on city streets as coronavirus spreads.
[00:11:47.042 --> 00:11:56.187]  Video shows hazmat teams treating people who have collapsed in the streets as potential victims of the coronavirus that's spreading worldwide.
[00:11:56.187 --> 00:12:09.975]  In one video, purportedly shot in the Chinese providence of Wuhan, first responders in full hazmat suits can be seen dealing with a man laying in a pool of blood, which indicates he hit his head as he collapsed suddenly on the sidewalk.
[00:12:10.998 --> 00:12:11.078]  Wow.
[00:12:11.078 --> 00:12:11.138]  Now,
[00:12:39.139 --> 00:12:44.140]  As I said, we're going to get to Professor Warren's new coronavirus has same kill rate as Spanish flu.
[00:12:44.140 --> 00:12:50.982]  We come back and we're going to air Rob New's report ahead of Mike Adams joining us.
[00:12:50.982 --> 00:12:55.423]  Then I will get into all the other attacks on free speech that are taking place.
[00:12:55.423 --> 00:13:05.106]  And Greenwald, Glenn Greenwald of all people, have come to my defense and said that it's very dangerous once you start banning Alex Jones, then you ban everybody else.
[00:13:05.106 --> 00:13:07.347]  And now they're trying to lock him up for his journalism.
[00:13:07.347 --> 00:13:08.247]  We're going to be looking at that.
[00:13:09.605 --> 00:13:13.867]  We're also going to be looking at what's happening with Trump in Davos.
[00:13:13.867 --> 00:13:19.549]  The ratings for Trump in Davos are roughly five times that of the impeachment viewership.
[00:13:19.549 --> 00:13:27.212]  People are completely and totally and absolutely sick and tired of it, and they know it's garbage.
[00:13:27.212 --> 00:13:33.995]  Now, I plug basically every day in the fall and in the winter what I'm about to do.
[00:13:36.601 --> 00:13:41.063]  But now is a time to think about it even closer.
[00:13:41.063 --> 00:13:55.791]  My daughters this morning took their fish oil and had with their orange juice they'd like to mix in some of the vitamin mineral fusion because I'm trying to make sure they get additional nutrients they need so they don't get sick all the time like the other children.
[00:13:55.791 --> 00:13:56.572]  Then I went, wait a minute.
[00:13:57.711 --> 00:13:59.271]  When's the last time you guys had iodine?
[00:13:59.271 --> 00:14:01.432]  They said, Daddy, you know, you made us take it last week.
[00:14:01.432 --> 00:14:02.832]  I said, well, you should take it a couple times a week.
[00:14:02.832 --> 00:14:03.952]  So they went and did that.
[00:14:03.952 --> 00:14:05.713]  Small dose of X2.
[00:14:05.713 --> 00:14:07.733]  One of the daughters took X3.
[00:14:07.733 --> 00:14:09.533]  Then I said, wait a minute.
[00:14:09.533 --> 00:14:12.874]  And I rummaged around because I'd been forgetting to take this.
[00:14:12.874 --> 00:14:20.576]  And I went, you understand about the coronavirus and all this stuff, that the reason people get a lot sicker during the winter is not just being in cramped spaces.
[00:14:20.576 --> 00:14:21.456]  They know it's because
[00:14:22.766 --> 00:14:35.477]  You don't produce vitamin D3, which is essential to fighting off viruses and bacteria, as a building block in your body, in the winter because you're not producing it from your skin, getting sun, like plants have photosynthesis?
[00:14:35.477 --> 00:14:40.201]  Well, we produce vitamin D3 from the sun.
[00:14:40.201 --> 00:14:44.965]  And that's why white people from northern climates have lighter skin, is to be able to absorb more of it.
[00:14:44.965 --> 00:14:47.007]  Folks from the equator don't need more, they have dark skin.
[00:14:48.254 --> 00:14:50.843]  It doesn't matter if you got black skin, white skin, or red skin.
[00:14:50.843 --> 00:14:54.676]  Whatever pretty color your beautiful human skin is, you need.
[00:14:55.816 --> 00:15:02.759]  Winter sun, organic, concentrated, absorbable, under the tongue, vitamin D3, wide spectrum.
[00:15:02.759 --> 00:15:04.440]  It's the best you're going to find.
[00:15:04.440 --> 00:15:07.921]  It's super high-end at a low price because we don't market up five times.
[00:15:07.921 --> 00:15:09.442]  And it's discounted right now.
[00:15:09.442 --> 00:15:12.303]  I can't go 50% anymore on sales because we'll go bankrupt.
[00:15:12.303 --> 00:15:13.704]  Because we don't have that much markup.
[00:15:13.704 --> 00:15:16.946]  It's 40% off at InfoWareStore.com.
[00:15:16.946 --> 00:15:18.226]  And I was just in the meeting this morning.
[00:15:18.226 --> 00:15:19.507]  That's why I was almost laking on air.
[00:15:20.447 --> 00:15:23.151]  Looking at the product we have, what we can sell, what we can do.
[00:15:23.151 --> 00:15:27.196]  And this is close to selling out in the next month at the current sell rate.
[00:15:27.196 --> 00:15:28.157]  But you know what?
[00:15:28.157 --> 00:15:30.219]  I'm going to keep it at 40% off, $23.97.
[00:15:30.219 --> 00:15:34.785]  Way better than what you're going to find out there in the synthetic garbage.
[00:15:34.785 --> 00:15:36.367]  Some of it costs you more, some of it costs less.
[00:15:36.367 --> 00:15:38.410]  This is a great deal for what you're getting.
[00:15:38.410 --> 00:15:39.110]  Winner's son.
[00:15:40.461 --> 00:15:43.063]  Vitamin D at m4warrestore.com.
[00:15:43.063 --> 00:15:46.145]  You really need this to fortify your immune system.
[00:15:46.145 --> 00:15:47.867]  If you don't get it from us, get it somewhere.
[00:15:47.867 --> 00:15:54.271]  Just make sure it's real and it's organic and you take it out of the tongue because most people don't absorb a lot of it in the gut.
[00:15:54.271 --> 00:15:54.912]  Get your D3 today.
[00:15:58.223 --> 00:16:01.245]  We can all agree these are troubled times, right?
[00:16:01.245 --> 00:16:04.146]  So do you know who's on your wireless network?
[00:16:04.146 --> 00:16:11.370]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[00:16:11.370 --> 00:16:16.612]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[00:16:16.612 --> 00:16:24.196]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[00:16:24.196 --> 00:16:27.678]  And not just one, but all your devices with one out-of-the-box setup.
[00:16:27.958 --> 00:16:37.124]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[00:16:37.124 --> 00:16:39.985]  Call or click FlashRouters today at 1-866-509-5817 or flashrouters.com.
[00:16:39.985 --> 00:16:41.466]  That's 1-866-509-5817 or flashrouters.com.
[00:16:41.466 --> 00:16:46.429]  Protect your wireless home network today with FlashRouters.
[00:16:57.526 --> 00:17:00.168]  Hunters, anglers, campers and survivalists.
[00:17:00.168 --> 00:17:01.269]  Get back to nature.
[00:17:01.269 --> 00:17:08.573]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:17:08.573 --> 00:17:11.976]  Slingbow products are compact and models start from just 1798.
[00:17:11.976 --> 00:17:15.558]  They're perfect for your bug out bag or storing in your vehicle.
[00:17:15.558 --> 00:17:19.721]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:17:19.721 --> 00:17:24.304]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:17:24.304 --> 00:17:26.966]  Feel the thrill only at slingbow.com.
[00:17:27.566 --> 00:17:28.807]  Hi, I'm Dan Pilla.
[00:17:28.807 --> 00:17:32.728]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[00:17:32.728 --> 00:17:34.269]  I sued the IRS and won.
[00:17:34.269 --> 00:17:37.210]  I beat the IRS then, and I've been beating them ever since.
[00:17:37.210 --> 00:17:42.772]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[00:17:42.772 --> 00:17:43.972]  I can help you, too.
[00:17:43.972 --> 00:17:46.913]  If you owe taxes you can't pay, don't wait another day.
[00:17:46.913 --> 00:17:49.134]  There's no such thing as a hopeless tax case.
[00:17:49.134 --> 00:17:53.576]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[00:17:53.576 --> 00:17:55.877]  That's danpilla.com, danpilla.com.
[00:17:59.662 --> 00:18:04.345]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:18:04.345 --> 00:18:14.772]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:18:15.672 --> 00:18:20.475]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:18:20.475 --> 00:18:28.879]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:18:28.879 --> 00:18:36.584]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:18:36.584 --> 00:18:38.565]  Wake up refreshed and take on the day.
[00:18:39.025 --> 00:18:46.970]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:18:46.970 --> 00:18:50.633]  Get the sleep you deserve and experience the power of knockout.
[00:18:50.633 --> 00:18:55.016]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:18:55.016 --> 00:18:58.678]  That's InfoWarsLife.com.
[00:18:58.678 --> 00:19:06.863]  Knock on wood, I am not tempting fate, but everybody around the office, especially folks that have worked here a long time,
[00:19:08.092 --> 00:19:10.874]  I've noticed that I really don't ever get sick.
[00:19:10.874 --> 00:19:14.497]  Now, again, I might get sick tomorrow, because I just made that statement.
[00:19:14.497 --> 00:19:15.778]  I'm not tempting fate.
[00:19:15.778 --> 00:19:18.880]  I'll say that again, because I am superstitious when it comes down to that.
[00:19:18.880 --> 00:19:23.524]  I'm very thankful to the good Lord for the constitution I've been given.
[00:19:23.524 --> 00:19:32.410]  But up until about eight, nine years ago, when I started taking X2 and the products to enforce life, I still got sick every couple of years.
[00:19:33.504 --> 00:19:37.647]  And, you know, I still get sore throats from allergies and pollen and things like that.
[00:19:37.647 --> 00:19:48.977]  But now that I religiously take the products that InfoWars Life, one of the highest quality supplements you're going to find out there, I just never get a fever anymore.
[00:19:48.977 --> 00:19:54.201]  It's probably been three, four years since I've had a fever.
[00:19:54.201 --> 00:19:55.582]  It's just crazy.
[00:19:55.582 --> 00:19:57.724]  So I chalk it up to genetics and the great products.
[00:20:01.914 --> 00:20:17.723]  You're listening to the Alex Jones Show.
[00:20:17.723 --> 00:20:23.626]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:20:34.557 --> 00:20:49.308]  There's no doubt, ladies and gentlemen, that Bill and Melinda Gates are on record being obsessed with depopulating the Earth and being connected to very, very clandestine operations and have made public statements about depopulation.
[00:20:50.202 --> 00:21:02.532]  So the fact that they are involved funding the group that has now patented the coronavirus and are doing mass drills for its outbreak, and now this is happening, is very, very suspect.
[00:21:02.532 --> 00:21:06.195]  Remember who Bill and Melinda Gates hang out with secretly, got caught lying about?
[00:21:06.195 --> 00:21:09.978]  Yes, Jeffrey Epstein.
[00:21:09.978 --> 00:21:11.439]  Their front man.
[00:21:11.439 --> 00:21:13.721]  So these people are the top of the pyramid.
[00:21:14.548 --> 00:21:16.470]  Make no mistake.
[00:21:16.470 --> 00:21:24.419]  Well now, Professor warns new coronavirus has same kill rate as the Spanish flu.
[00:21:25.362 --> 00:21:35.247]  A professor has warned the new deadly coronavirus, which originated in China, has the same kill rate as the Spanish flu, which claimed the lives of 20 to 50 million people in 1918.
[00:21:35.247 --> 00:21:37.829]  Fears of widespread contagion are growing.
[00:21:37.829 --> 00:21:45.913]  After hundreds of cases were confirmed and 70 people died, the virus originated in an animal market in Wuhan, we're told.
[00:21:45.913 --> 00:21:48.455]  China has now spread an
[00:21:49.435 --> 00:21:56.279]  Numerous other countries, including the United States, the virus has a 2% death rate compared to 0.1 for the regular flu.
[00:21:56.279 --> 00:22:00.541]  For every 50 people who are infected, one will statistically die.
[00:22:00.541 --> 00:22:03.182]  And then it goes through the calculations of that.
[00:22:03.182 --> 00:22:06.844]  Novel viruses spread much faster because we have no immunity.
[00:22:06.844 --> 00:22:11.506]  And it goes into what Professor Neil Ferguson of Imperial College London said.
[00:22:11.506 --> 00:22:13.907]  The report goes on from there.
[00:22:13.907 --> 00:22:15.008]  I suggest you read it.
[00:22:16.857 --> 00:22:21.480]  Now, days ago, we began to point out that Bill & Melinda Gates fund basically all these big foundations.
[00:22:21.480 --> 00:22:26.863]  And sure enough, it's come out that they are the main funders of this one.
[00:22:26.863 --> 00:22:30.645]  For the PIR Bright Institute.
[00:22:30.645 --> 00:22:35.948]  PI Bright, or that PI Bright Institute is how it's pronounced.
[00:22:35.948 --> 00:22:41.571]  And they hosted the operation called Event 201, Bill & Melinda Gates did.
[00:22:42.694 --> 00:22:46.696]  Dealing with just such a pandemic just a few months ago.
[00:22:46.696 --> 00:23:00.102]  So, ladies and gentlemen, we need to understand that every time they have one of these big events, they've had drills that are eerily similar right around the time that are used for cover for any surveillance of what they're doing.
[00:23:00.102 --> 00:23:09.265]  If it ever comes out, they just say, oh, that was part of the drill that Building 7 was magically going to fall on 9-11, a 47-story building the CIA was based in.
[00:23:09.265 --> 00:23:10.286]  Let's go to Rob News Report.
[00:23:12.731 --> 00:23:15.353]  Rob Dew here reporting for InfoWars.com.
[00:23:15.353 --> 00:23:19.175]  There have been some updates in the coronavirus and I want to make everyone aware of them.
[00:23:19.175 --> 00:23:26.039]  Right now there's about 17 deaths associated with the virus and over 400 people have been infected with the disease in the Wuhan province.
[00:23:26.039 --> 00:23:29.361]  What they're calling now is the Wuhan coronavirus.
[00:23:29.361 --> 00:23:33.464]  It is a type of bronchial infection that's related to SARS and also MERS.
[00:23:33.464 --> 00:23:35.565]  These are also forms of the coronavirus.
[00:23:35.805 --> 00:23:37.026]  But did you know this?
[00:23:37.026 --> 00:23:39.467]  Did you know that there is a patent for the coronavirus?
[00:23:39.467 --> 00:23:45.311]  That's right, the Perbright Institute owns the patent to the coronavirus, and I'm going to tell you the patent number right now.
[00:23:45.311 --> 00:23:52.035]  It is 10130701, and it was invented by Erica Bickerson, Sarah Keepe, and Paul Britton.
[00:23:52.535 --> 00:23:59.039]  They filed for the patent in July 23rd, 2015, and the patent was granted November 20th, 2018.
[00:23:59.039 --> 00:24:00.240]  Now, why is that important?
[00:24:00.240 --> 00:24:04.742]  Well, a lot of companies that develop vaccines must first patent the virus.
[00:24:04.742 --> 00:24:08.465]  Did you know the Ebola virus is patented now by the CDC?
[00:24:08.465 --> 00:24:11.506]  They own the patent to the literal Ebola virus.
[00:24:11.506 --> 00:24:16.109]  So we have these companies making vaccines, but first they have to patent these viruses.
[00:24:16.109 --> 00:24:17.370]  And why are they doing that?
[00:24:17.370 --> 00:24:17.550]  Well,
[00:24:18.590 --> 00:24:21.752]  A lot of people say it's because of depopulation.
[00:24:21.752 --> 00:24:29.616]  In fact, it was Prince Philip who once said he wanted to be reincarnated as a virus to come back and help kill off most of the population.
[00:24:29.616 --> 00:24:32.397]  Because in his effect, humans are bad for the Earth.
[00:24:32.397 --> 00:24:37.340]  As you see, the society we've created here, we're bad for the Earth and therefore need to be eliminated.
[00:24:37.340 --> 00:24:42.562]  That's why you also see groups like Extinction Rebellion and others touting global warming.
[00:24:42.562 --> 00:24:45.924]  Because that is a way to control human development and human growth.
[00:24:46.707 --> 00:24:47.747]  What do humans exhale?
[00:24:47.747 --> 00:24:48.688]  Carbon dioxide.
[00:24:48.688 --> 00:24:49.868]  What is the bad element?
[00:24:49.868 --> 00:24:51.009]  Carbon dioxide.
[00:24:51.009 --> 00:24:56.010]  So they have to get rid of that, and one way to do it is by getting rid of humans and human development.
[00:24:56.010 --> 00:25:01.912]  Getting back to the coronavirus, the area of Wuhan where this virus originated has now gone on full quarantine.
[00:25:01.912 --> 00:25:06.514]  People are not allowed to leave or enter the city, and they've stopped all public transportation.
[00:25:06.514 --> 00:25:12.036]  But is it possible, since this virus is patented and they are making a vaccine for it, that this is a man-made problem?
[00:25:12.036 --> 00:25:14.297]  I take you back to the SV40 virus.
[00:25:14.297 --> 00:25:14.817]  Never heard of it?
[00:25:15.337 --> 00:25:19.360]  It was named for simian virus 40, which was found in the polio shot.
[00:25:19.360 --> 00:25:22.882]  And it gave hundreds of millions of people here in the United States cancer.
[00:25:22.882 --> 00:25:31.808]  In fact, you can find videos of a one Dr. Heinemann talking about the SV40 virus and how they were testing it on the Russians and how they knew it was going to give them cancerous tumors.
[00:25:31.808 --> 00:25:33.269]  Gee, that damn SV40.
[00:25:33.269 --> 00:25:36.231]  I mean, that damn evacuating agent that we have.
[00:25:36.231 --> 00:25:38.852]  I'm going to just pick that particular one.
[00:25:38.852 --> 00:25:41.154]  That virus has got to be in vaccines.
[00:25:43.433 --> 00:25:47.974]  It's got to be in Sabin's vaccine, so I quickly tested it.
[00:25:47.974 --> 00:25:50.034]  Sure enough, it was in there.
[00:25:50.034 --> 00:25:51.395]  Don't be downed.
[00:25:51.395 --> 00:25:57.076]  So now, I go ahead and... So you just took stocks of Sabin's vaccine off the shelf here at Merck?
[00:25:57.076 --> 00:25:58.796]  Yeah, it had not been made at Merck.
[00:25:58.796 --> 00:25:59.996]  It was made at Merck.
[00:25:59.996 --> 00:26:01.497]  You were making it for Sabin at this point?
[00:26:01.497 --> 00:26:03.357]  Yeah, it was made before I came.
[00:26:03.357 --> 00:26:06.898]  Yeah, but at this point Sabin is still just doing these massive field trials.
[00:26:06.898 --> 00:26:07.338]  Mm-hmm.
[00:26:07.338 --> 00:26:08.198]  Okay.
[00:26:08.198 --> 00:26:09.318]  In Russia and so forth.
[00:26:09.318 --> 00:26:11.999]  So I go down, I talked about the...
[00:26:13.717 --> 00:26:15.337]  The detection of non-technical viruses.
[00:26:15.337 --> 00:26:19.359]  I told Albert... But at this point, Sabin is still just doing these massive field trials.
[00:26:19.359 --> 00:26:19.859]  Mm-hmm.
[00:26:19.859 --> 00:26:20.699]  Okay.
[00:26:20.699 --> 00:26:21.819]  In Russia and so forth.
