[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[00:09:58.628 --> 00:10:01.588]  Speaking of North Korea now... We have no road left.
[00:10:01.588 --> 00:10:03.309]  We'll come back with more if it gets into the memo.
[00:10:04.811 --> 00:10:05.992]  Here's the issue.
[00:10:05.992 --> 00:10:30.645]  As we told you, as Congressman Gates told you here on this broadcast, and as other congressional sources told you, it is a roadmap of Congress and of the Intelligence Committee saying we found that they premeditatedly lied, made up Russian collusion, created a fake dossier, paid money for it, and we have witnesses, we have FBI agents that are ready to go public.
[00:10:32.657 --> 00:10:41.579]  The Steele dossier formed an essential part of the initial and all three renewals of FISA applications against Carter Page.
[00:10:41.579 --> 00:10:42.820]  The media thinks you're dumb.
[00:10:42.820 --> 00:10:46.160]  They spin it and go, who cares about Carter Page and a wiretap on him?
[00:10:46.160 --> 00:10:49.981]  Because that FISA memo isn't a classic wiretap.
[00:10:49.981 --> 00:10:55.023]  It's to spy on millions of people in a dragnet.
[00:10:55.023 --> 00:10:57.403]  That's what they do with these FISA situations.
[00:10:57.403 --> 00:11:00.584]  Andrew McCabe confirmed that no FISA warrant would have been sought.
[00:11:01.749 --> 00:11:02.549]  Yeah, the word is McCabe.
[00:11:02.549 --> 00:11:03.810]  It's singing like a canary.
[00:11:03.810 --> 00:11:05.430]  Oh, they didn't tell him that.
[00:11:05.430 --> 00:11:06.651]  The DOJ official, Bruce Orr, met with Steele.
[00:11:22.776 --> 00:11:25.917]  Remember his wife worked at Fusion GPS just for the job.
[00:11:25.917 --> 00:11:32.600]  She just got hired for the dossier beginning in the summer of 2016 and relayed the DOJ information about Steele's bias.
[00:11:32.600 --> 00:11:38.962]  Steele told Orr that he, Steele, was desperate that Donald Trump not get elected president and was passionate about him.
[00:11:40.379 --> 00:12:04.086]  Not becoming president, which is more communications, more witnesses in the FBI, not just text messages now, not just him talking to his girlfriend, or somebody talking to his wife, or not just Orr talking to his wife at Fusion GPS, but directly talking to McCabe and others about this situation and how they wanted to stop Trump.
[00:12:06.590 --> 00:12:11.071]  So the president says a lot of people should be ashamed of themselves.
[00:12:11.071 --> 00:12:11.771]  It's beyond that.
[00:12:11.771 --> 00:12:13.492]  They're trying to steal our election.
[00:12:13.492 --> 00:12:16.872]  They're trying to steal our votes.
[00:12:16.872 --> 00:12:19.433]  Every vote for Trump, they're trying to overturn it.
[00:12:19.433 --> 00:12:23.334]  Breaking Trump on newly declassified GOP memo.
[00:12:23.334 --> 00:12:24.414]  Alleging FBI abuses.
[00:12:24.414 --> 00:12:25.775]  A lot of people should be ashamed of themselves.
[00:12:25.775 --> 00:12:27.055]  There's no alleging.
[00:12:27.055 --> 00:12:28.355]  You have the text messages.
[00:12:28.355 --> 00:12:31.236]  You have the FBI agents that are now talking to Congress.
[00:12:32.851 --> 00:12:43.476]  And this is just the beginning, as Congressman Gates and many others said, and as I told you last week from our sources, that it's the roadmap for a public indictment.
[00:12:43.476 --> 00:12:47.198]  The House indicts in an impeachment as well.
[00:12:47.198 --> 00:12:49.219]  So this is a public indictment.
[00:12:50.276 --> 00:12:54.238]  And then now it gives the President and others room to move against him.
[00:12:54.238 --> 00:12:56.459]  The Democrats know this was all political.
[00:12:56.459 --> 00:12:59.481]  CNN and MSNBC know it was all political.
[00:12:59.481 --> 00:13:03.783]  They know what this was all about and they are scared to death saying it's the end of America.
[00:13:03.783 --> 00:13:05.084]  It's the end of our democracy.
[00:13:05.084 --> 00:13:06.264]  It's the end.
[00:13:06.264 --> 00:13:11.367]  As if the FBI and Robert Mueller are the government and everybody else doesn't matter.
[00:13:11.367 --> 00:13:16.710]  And if political appointments like Robert Mueller, Democratic Party operatives,
[00:13:18.134 --> 00:13:19.976]  Who protected the Clinton crime machine.
[00:13:19.976 --> 00:13:33.452]  If they want to step in and use a made-up dossier about Trump being urinated on, and then leverage that in to claim that there's some perjury somewhere, or there's some obstruction, when they're the ones lying to Congress there was no leaks.
[00:13:33.452 --> 00:13:34.694]  Comey told Congress I didn't leak.
[00:13:36.138 --> 00:13:40.560]  He directly then later said, oh, I gave it to a friend in the press to leak it.
[00:13:40.560 --> 00:13:43.422]  Oh, you gave it to a professor of journalism to leak it.
[00:13:43.422 --> 00:13:58.969]  It's the same, it's like saying if I hire somebody to go kill somebody, and then I'm on video telling the person, here's $10,000, now go kill this person, and they go kill the person, I am just as guilty or more because I generated it.
[00:13:58.969 --> 00:14:00.630]  It's murder one.
[00:14:00.630 --> 00:14:03.972]  I didn't pull the trigger, you didn't pull the trigger, but you gave the order.
[00:14:04.994 --> 00:14:07.215]  This is open and shut!
[00:14:07.215 --> 00:14:10.997]  And Comey's like, well, I told Congress that I never leaked because I didn't.
[00:14:10.997 --> 00:14:13.798]  I gave it to a journalist friend.
[00:14:13.798 --> 00:14:14.958]  Uh-huh.
[00:14:14.958 --> 00:14:17.800]  You gave it to a professor?
[00:14:17.800 --> 00:14:18.840]  Friend of yours?
[00:14:18.840 --> 00:14:21.101]  In the journalism school?
[00:14:21.101 --> 00:14:22.161]  Mm-hmm.
[00:14:22.161 --> 00:14:22.942]  Mm-hmm.
[00:14:22.942 --> 00:14:24.723]  Did it get to the Washington Post?
[00:14:24.723 --> 00:14:25.503]  Oh, okay.
[00:14:25.503 --> 00:14:27.624]  And then McCabe got caught leaking.
[00:14:27.624 --> 00:14:29.925]  So they have really made some bold moves here.
[00:14:31.568 --> 00:14:33.510]  And again, this is Congress leveling up.
[00:14:33.510 --> 00:14:43.737]  The memo is Trump leveling up and saying, we have your names on the three FISA court events.
[00:14:43.737 --> 00:14:51.083]  During the campaign, the nomination, right through his election, when he's president-elect, those three warrants.
[00:14:51.083 --> 00:14:54.546]  When he's getting the nomination, when he's running against Hillary,
[00:14:55.976 --> 00:15:05.081]  And then, when he's President-Elect, three different warrants to spy on everything in Trump land, to spy, and then they lie to the media and say they didn't.
[00:15:05.081 --> 00:15:13.306]  And it's exactly as William Binney, we gotta get Binney back on ASAP, emergency today if we have to, just get him on, please.
[00:15:13.306 --> 00:15:17.968]  Binney said, I got a call, they'd like you to look at this memo, no one's giving it attention.
[00:15:17.968 --> 00:15:23.091]  And then the media spun it, oh, Jones made it up, it's not the congressional memo, and what's Binney know?
[00:15:23.091 --> 00:15:23.612]  Oh, I don't know.
[00:15:24.949 --> 00:15:29.472]  I don't know who picked up the phone and called him and said we'd like to see this on the show.
[00:15:29.472 --> 00:15:32.754]  Come on.
[00:15:32.754 --> 00:15:35.536]  Maybe we'll tell you who asked him to talk about it.
[00:15:35.536 --> 00:15:42.060]  Because that is the basis of the roadmap of their fraud and that's what they're now reporting is in the memo!
[00:15:43.197 --> 00:15:44.418]  See?
[00:15:44.418 --> 00:15:45.139]  Oh!
[00:15:45.139 --> 00:15:47.141]  Next week's news today!
[00:15:47.141 --> 00:15:49.884]  InfoWars was on target!
[00:15:49.884 --> 00:15:51.786]  InfoWars was correct!
[00:15:51.786 --> 00:15:55.169]  And that Jedi mind trick crap didn't work on me.
[00:15:55.169 --> 00:15:55.630]  We'll be back.
[00:15:59.369 --> 00:16:01.770]  Hello, I'm Mike Lindell, the inventor of MyPillow.
[00:16:01.770 --> 00:16:04.351]  And like all of you out there, I had problems sleeping.
[00:16:04.351 --> 00:16:12.015]  Pillows would go flat, I would flip-flop all night long, I would wake up with a sore neck, maybe a headache, or feel like I needed a nap even though I slept eight hours.
[00:16:12.015 --> 00:16:20.039]  When I invented MyPillow, I wanted it to where you can move the patent and fill to give you the exact support you need as an individual, regardless of sleep position.
[00:16:20.279 --> 00:16:24.543]  MyPillow will get you into that deep REM sleep faster and you will stay there longer.
[00:16:24.543 --> 00:16:29.026]  It's not about how much time we spend in bed, it's about how much of that quality sleep we get.
[00:16:29.026 --> 00:16:31.929]  I do all of my own manufacturing right here in the United States.
[00:16:31.929 --> 00:16:33.370]  I have a 10-year warranty.
[00:16:33.370 --> 00:16:39.035]  You can wash and dry MyPillow and I give you a 60-day money-back guarantee so you have nothing to lose.
[00:16:39.035 --> 00:16:40.616]  And here's my best offer ever.
[00:16:40.616 --> 00:16:43.499]  You can buy one of MyPillows and get one absolutely free.
[00:16:43.499 --> 00:16:44.920]  Go to MyPillow.com
[00:16:45.120 --> 00:16:47.383]  Or call 800-870-0305 and use promo code GCN.
[00:16:47.383 --> 00:16:50.308]  That's MyPillow.com or 800-870-0305 with promo code GCN.
[00:16:58.905 --> 00:17:04.767]  Here's a special message for those of you who owe the IRS at least $10,000 or more in back taxes.
[00:17:04.767 --> 00:17:10.889]  The IRS has special programs in place that could eliminate or reduce your tax debt by thousands of dollars.
[00:17:10.889 --> 00:17:14.090]  Call the Federal Tax Management Helpline that has been set up for you.
[00:17:14.090 --> 00:17:17.191]  800-503-8625.
[00:17:17.191 --> 00:17:20.612]  Stop the wage garnishments, levies, and tax liens now.
[00:17:20.612 --> 00:17:25.014]  Once you've qualified and enrolled, the IRS will stop all the collection activities against you.
[00:17:25.234 --> 00:17:31.442]  These unique programs have been allocated to help the economy and significantly reduce or eliminate your tax burden.
[00:17:31.442 --> 00:17:36.267]  The IRS is currently accepting reduced settlements and other favorable programs.
[00:17:36.267 --> 00:17:40.853]  You may qualify for substantial savings, so get the help you need.
[00:17:40.853 --> 00:17:44.497]  If you owe more than $10,000 in taxes, call for free information.
[00:17:44.537 --> 00:17:44.897]  We're good.
[00:18:00.279 --> 00:18:09.368]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:18:09.368 --> 00:18:17.776]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:18:17.776 --> 00:18:22.460]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:18:22.640 --> 00:18:29.424]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:18:29.424 --> 00:18:36.608]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:18:36.608 --> 00:18:43.632]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:18:43.632 --> 00:18:48.114]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:18:48.114 --> 00:18:51.336]  Available in original or with our immune support infusion blend.
[00:18:51.496 --> 00:18:57.781]  You will be supporting a free press, all the while enjoying a truly great-tasting cup of my favorite coffee.
[00:18:57.781 --> 00:19:00.263]  Available at InfoWarsLife.com.
[00:19:00.263 --> 00:19:04.926]  Support good oral health with our one-of-a-kind, super-blue, fluoride-free products.
[00:19:04.926 --> 00:19:12.572]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano-silver, designed to deliver a powerful clean.
[00:19:12.572 --> 00:19:16.515]  Enjoy a minty, fresh flavor made with peppermint oil, or try our bubblegum flavor.
[00:19:16.795 --> 00:19:22.917]  Pair this groundbreaking toothpaste with the Super Blue Fluoride-Free Mouthwash and supercharge your oral health.
[00:19:22.917 --> 00:19:29.540]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[00:19:29.540 --> 00:19:39.664]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[00:19:39.904 --> 00:19:46.686]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[00:19:46.686 --> 00:19:49.567]  Xylitol, Nano Silver, and Iodine.
[00:19:49.567 --> 00:19:53.169]  Notice the difference with our Super Blue Fluoride-Free products.
[00:19:53.169 --> 00:19:58.170]  Refresh your breath and invigorate your oral health routine at InfoWarsTore.com.
[00:19:58.170 --> 00:20:03.412]  That's InfoWarsTore.com.
[00:20:03.412 --> 00:20:06.073]  You're listening to the Alex Jones Show.
[00:20:27.589 --> 00:20:35.579]  We're about to go to the full remarks of the president just 15 minutes ago or so on the bombshell congressional memo that details
[00:20:47.825 --> 00:21:07.305]  Links and a roadmap to a larger investigation that is now going to be launched into the confirmed political operation at the Justice Department starting in the summer of 2016 before the RNC, then when he was the nominee, and then when he was president-elect for two months
[00:21:07.725 --> 00:21:24.401]  Spying on his entire entourage, the Republican Party, Republican members of Congress, yours truly, and a roadmap to demonize and call everyone who is victorious in the American resistance against the globalist Russian agents.
[00:21:25.797 --> 00:21:28.839]  And the document is up on Infowars.com.
[00:21:28.839 --> 00:21:38.506]  Yes, the document, the original document that we broke last Tuesday, that the media used a Jedi mind trick and said, oh well that's declassified, that's not the secret part.
[00:21:38.506 --> 00:21:50.894]  It's the roadmap of this memo and it's now confirmed that it is the blacked out areas that are being pointed out in this new memo that shows, here's the key, being reported by all the newspapers now,
[00:21:52.486 --> 00:21:59.913]  That it shows criminal activity lying to the FISA court, not once, not twice, but three times.
[00:21:59.913 --> 00:22:07.020]  What did I say last week over and over again and every hour, every day?
[00:22:07.020 --> 00:22:11.765]  Again, FISA memo confirms surveillance of Trump campaign was based on dodgy steel dossier.
[00:22:11.765 --> 00:22:12.285]  That's polls.
[00:22:13.308 --> 00:22:30.192]  Latest article, but let's go back to last week's article, where we published the full memo that the Director of National Intelligence had published on their website, that was hiding in plain view, that had excised portions, but only about 10%, roadmapping three times that people went to the court
[00:22:31.531 --> 00:22:46.880]  And the court said, we believe what you're doing is illegal, so they would come back excluding the political nature of it and lying about their intelligence to get the warrants, which we now know were illegal and fraudulent and political.
[00:22:46.880 --> 00:22:49.802]  Read page 19 of the 99 page memo.
[00:22:49.802 --> 00:22:59.547]  This is what Nunes based the proof of the perjury to Congress about what the FBI, Democrat leadership did, the Democrat moles in the FBI.
[00:22:59.547 --> 00:23:00.508]  That's what it is.
[00:23:02.096 --> 00:23:07.822]  And then it expands into them lying to also get the three warrants.
[00:23:07.822 --> 00:23:10.025]  Exactly as we told you!
[00:23:12.486 --> 00:23:17.210]  William Binney is obviously being advised by not just WikiLeaks, but the CIA.
[00:23:17.210 --> 00:23:18.992]  He's the former technical head of the NSA.
[00:23:18.992 --> 00:23:23.155]  He came on last week and for an hour laid everything out in front of you.
[00:23:23.155 --> 00:23:26.899]  Then we had Congressman Gates on to lay it out, saying the roadmap is coming out.
[00:23:26.899 --> 00:23:28.440]  That's all this is, is the roadmap.
[00:23:28.440 --> 00:23:29.881]  The president's going to fight back.
[00:23:29.881 --> 00:23:31.303]  We have the proof they've colluded.
[00:23:31.303 --> 00:23:32.424]  Well, that's bombshell!
[00:23:32.824 --> 00:23:37.048]  But this is just the beginning, and it's them lying to the court three times.
[00:23:37.048 --> 00:23:42.712]  Here, pull up the Washington Examiner, it's linked on DrudgeReport.com, and read what they say the main finding is.
[00:23:42.712 --> 00:23:47.757]  That they lied to the FISA court, and the judges now recuse themselves.
[00:23:49.209 --> 00:23:52.111]  That they lied to the court to get the memo.
[00:23:52.111 --> 00:23:55.232]  And what does the court say?
[00:23:55.232 --> 00:23:59.735]  They say, we were lied to, this was illegal, three times.
[00:23:59.735 --> 00:24:02.397]  They just blacked out who came to them and who did it.
[00:24:02.397 --> 00:24:04.278]  Well, Nunes can read the blacked out parts.
