[00:00.000 --> 00:15.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[15:17.000 --> 15:23.000]  Oh, listen, it's always been like this and it's just he's a sore loser. He's mad that the voters have spoken.
[15:23.000 --> 15:28.000]  This is voters. It's how it voters and they smile.
[15:28.000 --> 15:36.000]  Look, Mommy, I lied. Look, a British psych warfare firm told me these lies and wrote out four or five lines.
[15:36.000 --> 15:45.000]  And I'm a big boy now. I go on TV and I say my line like I'm in the kindergarten play.
[15:45.000 --> 16:06.000]  Meanwhile, I wish Donald Trump would do more of his Hillary Clinton impressions
[16:06.000 --> 16:10.000]  because it's just comedy gold. He's got great body posture.
[16:10.000 --> 16:16.000]  He knows how to pull it off. And I personally want to have a big lectern and put on a wig this week, guys.
[16:16.000 --> 16:23.000]  And I want to dress up like Hillary and actually take one of her speeches with a teleprompter.
[16:23.000 --> 16:28.000]  I guess we can rent one loaded up and actually give real quotes.
[16:28.000 --> 16:32.000]  She's given about we're going to get the guns with executive orders. Amen.
[16:32.000 --> 16:39.000]  We need to put men in fun camps. Socialism is good. I mean, these are real quotes.
[16:39.000 --> 16:44.000]  And just show people the body language of.
[16:44.000 --> 16:53.000]  Hello, I'm lying. Hillary, it's good to see you. I'm glad you're here. We're going to give you lots of free stuff.
[16:53.000 --> 16:58.000]  And when you actually see Trump do that, that's what they look like when Hillary and Obama go up and just turn.
[16:58.000 --> 17:05.000]  But Hillary's even worse. She just looks at a teleprompter, reads a line, turns to the next line, turns to the next line.
[17:05.000 --> 17:10.000]  And it's pure garbage. Speaking of Hillary's cough, she says it's allergies.
[17:10.000 --> 17:21.000]  And you know what? Maybe it is because I have a mold allergy and it's been raining for months here in Austin almost every day.
[17:21.000 --> 17:27.000]  I was up almost all night and it is mold because I went for a hike this morning and it's the mold.
[17:27.000 --> 17:33.000]  And I'm just going to have to stop hiking when the mold count is so high because I feel like I have fire ants in my bronchioles right now.
[17:33.000 --> 17:38.000]  So excuse me for the coughing her today.
[17:38.000 --> 17:43.000]  Not good. I had a huge coughing fit over breakfast with my children this morning as well.
[17:43.000 --> 17:45.000]  My son asked me, he said, Daddy, turn into Hillary Clinton.
[17:45.000 --> 17:54.000]  And I said, maybe about to dress up like hers. I can even hack and cough and it won't be acting because I'll really be hacking and coughing.
[17:54.000 --> 18:01.000]  When I do the line, Hillary imitation.
[18:01.000 --> 18:04.000]  So that's coming up today as well.
[18:04.000 --> 18:09.000]  But I want to kick off a topic for listeners first and kind of a thematic thing.
[18:09.000 --> 18:17.000]  I think really of the week and really of the month because we need to focus on this.
[18:17.000 --> 18:22.000]  We need to really, in my humble view, let me know what you think.
[18:22.000 --> 18:34.000]  Let's get the globalist plans for us and why they're engineering a global collapse and why that makes it basically inevitable.
[18:34.000 --> 18:39.000]  And how that ties in to this little grouping of articles.
[18:39.000 --> 18:48.000]  Beyonce invokes urban terrorism in new video veiled encouragement of violence typical of pop star.
[18:48.000 --> 18:52.000]  Veiled encouragement. But I'm not mad at my writers for saying that.
[18:52.000 --> 18:54.000]  I mean, they're trying to be conservative.
[18:54.000 --> 19:00.000]  But when a woman's running around blowing things up, beating things up, attacking, saying she hates men and saying she hates police,
[19:00.000 --> 19:04.000]  it's clear she's trying to get young people to go out and act like this and do this.
[19:04.000 --> 19:10.000]  And this ties into what the establishment wants and how they want to treat people to behave.
[19:10.000 --> 19:16.000]  And it ties into the CIA and other big think tanks and foundations.
[19:16.000 --> 19:19.000]  You guys get me some lung cleanse. I forgot to use that. Thank you.
[19:19.000 --> 19:21.000]  And what they're up to.
[19:21.000 --> 19:27.000]  And that ties into this Michael Snyder article. We should get him on about this this week because I want this to be really, again, a theme we cover.
[19:27.000 --> 19:33.000]  Unhappy America will the United States collapse due to an internal societal meltdown.
[19:33.000 --> 19:39.000]  All great nations eventually fall and the United States is not going to be any expectation, any exception.
[19:39.000 --> 19:44.000]  So that's coming up. We're going to be talking about will the Republic survive?
[19:44.000 --> 19:48.000]  What are the globalists plan to replace it with? Can we defeat?
[19:48.000 --> 19:56.000]  This new planetary dark age is being introduced and brought into place by design.
[19:56.000 --> 20:18.000]  Stay with us. I'm Alex Jones. This is the info war.
[20:27.000 --> 20:52.000]  Thank you.
[20:52.000 --> 20:59.000]  Thank you.
[21:22.000 --> 21:29.000]  Thank you.
[21:52.000 --> 21:59.000]  Thank you.
[22:22.000 --> 22:29.000]  Thank you.
[22:52.000 --> 22:59.000]  Thank you.
[23:22.000 --> 23:29.000]  Thank you.
[23:52.000 --> 23:59.000]  Thank you.
[24:22.000 --> 24:32.000]  Thank you.
[24:32.000 --> 24:42.000]  Thank you.
[24:42.000 --> 24:50.000]  Thank you.
[24:50.000 --> 25:00.000]  Thank you.
[25:00.000 --> 25:10.000]  Thank you.
[25:10.000 --> 25:19.000]  Thank you.
[25:19.000 --> 25:29.000]  Thank you.
[25:29.000 --> 25:39.000]  Thank you.
[25:39.000 --> 25:48.000]  Thank you.
[25:48.000 --> 25:58.000]  Thank you.
[25:58.000 --> 26:08.000]  Thank you.
[26:08.000 --> 26:17.000]  Thank you.
[26:17.000 --> 26:24.000]  Thank you.
[26:24.000 --> 26:32.000]  Thank you.
[26:32.000 --> 26:37.000]  Thank you.
[26:37.000 --> 26:46.000]  Thank you.
[26:46.000 --> 26:53.000]  Thank you.
[26:53.000 --> 27:01.000]  Thank you.
[27:01.000 --> 27:10.000]  Thank you.
[27:10.000 --> 27:18.000]  Thank you.
[27:18.000 --> 27:26.000]  Thank you.
[27:26.000 --> 27:34.000]  Thank you.
[27:34.000 --> 27:44.000]  Thank you.
[27:44.000 --> 27:54.000]  Thank you.
[27:54.000 --> 28:03.000]  Thank you.
[28:03.000 --> 28:13.000]  Thank you.
[28:13.000 --> 28:23.000]  Thank you.
[28:23.000 --> 28:34.000]  Thank you.
[28:34.000 --> 28:43.000]  Thank you.
[28:43.000 --> 28:52.000]  Thank you.
[28:52.000 --> 29:02.000]  Thank you.
[29:02.000 --> 29:12.000]  Thank you.
[29:12.000 --> 29:21.000]  Thank you.
[29:21.000 --> 29:50.000]  Thank you.
[29:50.000 --> 30:00.000]  Thank you.
[30:20.000 --> 30:45.000]  Thank you.
[30:45.000 --> 31:00.000]  Thank you.
[31:00.000 --> 31:23.000]  Thank you.
[31:23.000 --> 31:38.000]  Thank you.
[31:38.000 --> 31:50.000]  Thank you.
[31:50.000 --> 32:00.000]  Thank you.
[32:20.000 --> 32:30.000]  Thank you.
[32:50.000 --> 33:00.000]  Thank you.
[33:20.000 --> 33:49.000]  Thank you.
[33:49.000 --> 34:09.000]  Thank you.
[34:09.000 --> 34:18.000]  Thank you.
[34:18.000 --> 34:25.000]  Thank you.
[34:25.000 --> 34:33.000]  Thank you.
[34:33.000 --> 34:38.000]  Thank you.
[34:38.000 --> 34:47.000]  Thank you.
[34:47.000 --> 34:57.000]  Thank you.
[34:57.000 --> 35:07.000]  Thank you.
[35:07.000 --> 35:16.000]  Thank you.
[35:16.000 --> 35:27.000]  Thank you.
[35:27.000 --> 35:36.000]  Thank you.
[35:36.000 --> 35:45.000]  Thank you.
[35:45.000 --> 35:52.000]  Thank you.
[36:15.000 --> 36:25.000]  Thank you.
[36:25.000 --> 36:35.000]  Thank you.
[36:35.000 --> 36:44.000]  Thank you.
[36:44.000 --> 36:55.000]  Thank you.
[36:55.000 --> 37:04.000]  Thank you.
[37:04.000 --> 37:13.000]  Thank you.
[37:13.000 --> 37:28.000]  Thank you.
[37:28.000 --> 37:39.000]  Thank you.
[37:39.000 --> 37:54.000]  Thank you.
[37:54.000 --> 38:07.000]  Thank you.
[38:07.000 --> 38:22.000]  Thank you.
[38:22.000 --> 38:49.000]  Thank you.
[38:49.000 --> 39:04.000]  Thank you.
[39:04.000 --> 39:15.000]  Thank you.
[39:15.000 --> 39:41.000]  Thank you.
[39:41.000 --> 40:10.000]  Thank you.
[40:10.000 --> 40:25.000]  Thank you.
[40:25.000 --> 40:39.000]  Thank you.
[40:39.000 --> 41:08.000]  Thank you.
[41:08.000 --> 41:37.000]  Thank you.
[41:37.000 --> 41:56.000]  Thank you.
[41:56.000 --> 42:22.000]  Thank you.
[42:22.000 --> 42:48.000]  Thank you.
[42:48.000 --> 43:14.000]  Thank you.
[43:14.000 --> 43:40.000]  Thank you.
[43:40.000 --> 44:07.000]  Thank you.
[44:07.000 --> 44:33.000]  Thank you.
[44:33.000 --> 45:00.000]  Thank you.
[45:00.000 --> 45:28.000]  Thank you.
[45:28.000 --> 45:55.000]  Thank you.
[45:55.000 --> 46:23.000]  Thank you.
[46:23.000 --> 46:50.000]  Thank you.
[46:50.000 --> 47:18.000]  Thank you.
[47:18.000 --> 47:47.000]  Thank you.
[47:48.000 --> 48:17.000]  Thank you.
[48:18.000 --> 48:45.000]  Thank you.
[48:45.000 --> 49:12.000]  Thank you.
[49:12.000 --> 49:39.000]  Thank you.
[49:39.000 --> 50:06.000]  Thank you.
[50:06.000 --> 50:33.000]  Thank you.
[50:33.000 --> 51:00.000]  Thank you.
[51:00.000 --> 51:28.000]  Thank you.
[51:28.000 --> 51:55.000]  Thank you.
[51:55.000 --> 52:22.000]  Thank you.
[52:22.000 --> 52:49.000]  Thank you.
[52:49.000 --> 53:15.000]  Thank you.
[53:15.000 --> 53:42.000]  Thank you.
[53:42.000 --> 54:11.000]  Thank you.
[54:12.000 --> 54:39.000]  Thank you.
[54:39.000 --> 55:06.000]  Thank you.
[55:06.000 --> 55:35.000]  Thank you.
[55:36.000 --> 56:03.000]  Thank you.
[56:03.000 --> 56:31.000]  Thank you.
[56:31.000 --> 56:58.000]  Thank you.
[56:58.000 --> 57:27.000]  Thank you.
[57:28.000 --> 57:57.000]  Thank you.
[57:58.000 --> 58:25.000]  Thank you.
[58:25.000 --> 58:49.000]  Thank you.
[58:49.000 --> 59:15.000]  Thank you.
[59:15.000 --> 59:42.000]  Thank you.
[59:42.000 --> 01:00:09.000]  Thank you.
[01:00:09.000 --> 01:00:36.000]  Thank you.
[01:00:36.000 --> 01:01:03.000]  Thank you.
[01:01:03.000 --> 01:01:31.000]  Thank you.
[01:01:31.000 --> 01:02:00.000]  Thank you.
[01:02:01.000 --> 01:02:28.000]  Thank you.
[01:02:28.000 --> 01:02:57.000]  Thank you.
[01:02:58.000 --> 01:03:25.000]  Thank you.
[01:03:25.000 --> 01:03:53.000]  Thank you.
[01:03:53.000 --> 01:04:20.000]  Thank you.
[01:04:20.000 --> 01:04:49.000]  Thank you.
[01:04:50.000 --> 01:05:17.000]  Thank you.
[01:05:17.000 --> 01:05:42.000]  Thank you.
[01:05:42.000 --> 01:05:57.000]  Thank you.
[01:05:57.000 --> 01:06:24.000]  Thank you.
[01:06:24.000 --> 01:06:51.000]  Thank you.
[01:06:51.000 --> 01:07:18.000]  Thank you.
[01:07:18.000 --> 01:07:45.000]  Thank you.
[01:07:45.000 --> 01:08:11.000]  Thank you.
[01:08:11.000 --> 01:08:37.000]  Thank you.
[01:08:37.000 --> 01:09:04.000]  Thank you.
[01:09:04.000 --> 01:09:31.000]  Thank you.
[01:09:31.000 --> 01:09:58.000]  Thank you.
[01:09:58.000 --> 01:10:25.000]  Thank you.
[01:10:25.000 --> 01:10:52.000]  Thank you.
[01:10:52.000 --> 01:11:19.000]  Thank you.
[01:11:19.000 --> 01:11:46.000]  Thank you.
[01:11:46.000 --> 01:12:13.000]  Thank you.
[01:12:13.000 --> 01:12:40.000]  Thank you.
[01:12:40.000 --> 01:13:08.000]  Thank you.
[01:13:08.000 --> 01:13:35.000]  Thank you.
[01:13:35.000 --> 01:14:03.000]  Thank you.
[01:14:03.000 --> 01:14:32.000]  Thank you.
[01:14:33.000 --> 01:15:02.000]  Thank you.
[01:15:03.000 --> 01:15:30.000]  Thank you.
[01:15:30.000 --> 01:15:56.000]  Thank you.
[01:15:56.000 --> 01:16:23.000]  Thank you.
[01:16:23.000 --> 01:16:52.000]  Thank you.
[01:16:53.000 --> 01:17:22.000]  Thank you.
[01:17:23.000 --> 01:17:50.000]  Thank you.
[01:17:50.000 --> 01:18:17.000]  Thank you.
[01:18:17.000 --> 01:18:44.000]  Thank you.
[01:18:44.000 --> 01:19:11.000]  Thank you.
[01:19:11.000 --> 01:19:38.000]  Thank you.
[01:19:38.000 --> 01:20:05.000]  Thank you.
[01:20:05.000 --> 01:20:32.000]  Thank you.
[01:20:32.000 --> 01:21:00.000]  Thank you.
[01:21:00.000 --> 01:21:27.000]  Thank you.
[01:21:27.000 --> 01:21:54.000]  Thank you.
[01:21:54.000 --> 01:22:23.000]  Thank you.
[01:22:23.000 --> 01:22:51.000]  Thank you.
[01:22:51.000 --> 01:23:18.000]  Thank you.
[01:23:18.000 --> 01:23:45.000]  Thank you.
[01:23:45.000 --> 01:24:12.000]  Thank you.
[01:24:12.000 --> 01:24:39.000]  Thank you.
[01:24:39.000 --> 01:25:07.000]  Thank you.
[01:25:07.000 --> 01:25:34.000]  Thank you.
[01:25:34.000 --> 01:26:01.000]  Thank you.
[01:26:01.000 --> 01:26:28.000]  Thank you.
[01:26:28.000 --> 01:26:55.000]  Thank you.
[01:26:55.000 --> 01:27:24.000]  Thank you.
[01:27:25.000 --> 01:27:54.000]  Thank you.
[01:27:55.000 --> 01:28:22.000]  Thank you.
[01:28:22.000 --> 01:28:49.000]  Thank you.
[01:28:49.000 --> 01:29:16.000]  Thank you.
[01:29:16.000 --> 01:29:43.000]  Thank you.
[01:29:43.000 --> 01:30:10.000]  Thank you.
[01:30:10.000 --> 01:30:39.000]  Thank you.
[01:30:40.000 --> 01:30:59.000]  Thank you.
[01:30:59.000 --> 01:31:26.000]  Thank you.
[01:31:26.000 --> 01:31:52.000]  Thank you.
[01:31:52.000 --> 01:32:19.000]  Thank you.
[01:32:19.000 --> 01:32:46.000]  Thank you.
[01:32:46.000 --> 01:33:12.000]  Thank you.
[01:33:12.000 --> 01:33:39.000]  Thank you.
[01:33:39.000 --> 01:34:06.000]  Thank you.
[01:34:06.000 --> 01:34:35.000]  Thank you.
[01:34:35.000 --> 01:35:02.000]  Thank you.
[01:35:02.000 --> 01:35:29.000]  Thank you.
[01:35:29.000 --> 01:35:56.000]  Thank you.
[01:35:56.000 --> 01:36:23.000]  Thank you.
[01:36:23.000 --> 01:36:50.000]  Thank you.
[01:36:50.000 --> 01:37:17.000]  Thank you.
[01:37:17.000 --> 01:37:44.000]  Thank you.
[01:37:44.000 --> 01:38:11.000]  Thank you.
[01:38:11.000 --> 01:38:38.000]  Thank you.
[01:38:38.000 --> 01:39:05.000]  Thank you.
[01:39:05.000 --> 01:39:32.000]  Thank you.
[01:39:32.000 --> 01:39:59.000]  Thank you.
[01:39:59.000 --> 01:40:26.000]  Thank you.
[01:40:26.000 --> 01:40:53.000]  Thank you.
[01:40:53.000 --> 01:41:20.000]  Thank you.
[01:41:20.000 --> 01:41:47.000]  Thank you.
[01:41:47.000 --> 01:42:15.000]  Thank you.
[01:42:15.000 --> 01:42:42.000]  Thank you.
[01:42:42.000 --> 01:43:09.000]  Thank you.
[01:43:09.000 --> 01:43:36.000]  Thank you.
[01:43:36.000 --> 01:44:03.000]  Thank you.
[01:44:03.000 --> 01:44:30.000]  Thank you.
[01:44:30.000 --> 01:44:57.000]  Thank you.
[01:44:57.000 --> 01:45:25.000]  Thank you.
[01:45:25.000 --> 01:45:52.000]  Thank you.
[01:45:52.000 --> 01:46:19.000]  Thank you.
[01:46:19.000 --> 01:46:47.000]  Thank you.
[01:46:47.000 --> 01:47:16.000]  Thank you.
[01:47:17.000 --> 01:47:44.000]  Thank you.
[01:47:44.000 --> 01:48:11.000]  Thank you.
[01:48:11.000 --> 01:48:38.000]  Thank you.
[01:48:38.000 --> 01:49:04.000]  Thank you.
[01:49:04.000 --> 01:49:31.000]  Thank you.
[01:49:31.000 --> 01:49:58.000]  Thank you.
[01:49:58.000 --> 01:50:25.000]  Thank you.
[01:50:25.000 --> 01:50:50.000]  Thank you.
[01:50:50.000 --> 01:51:17.000]  Thank you.
