[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[08:49.000 --> 08:58.000]  It was a baby brother to 9-11. Administrations changed, but the people running the country, the New World Order, remained the same.
[08:58.000 --> 09:13.000]  The first film I made 10 years ago in 1997 that I was producing in 1996, America Destroyed by Design, is about Oklahoma City attack.
[09:13.000 --> 09:25.000]  We lay out how the government did it, why they did it in that film, made about a year and a half after the attack on the Alfred P. Murrow Building at 9.02 a.m. on April 19, 1995.
[09:25.000 --> 09:33.000]  And everything I put in that film, my first film I've since made 14 others, 15 films total, latest is Terror Storm,
[09:33.000 --> 09:38.000]  going as high as number eight on the Amazon.com charts, which shows we're having an effect.
[09:38.000 --> 09:43.000]  Everything we laid out there has unfortunately turned out to be accurate and true.
[09:43.000 --> 09:49.000]  I was going off the state police, off the FBI, off the grand jury, the head of the grand jury, the grand jury foreman,
[09:49.000 --> 09:59.000]  Hoppy Honleberg, I was going off the testimony of Cop of the Year, Terrence Yakey, who all the evidence shows FBI tortured to death and killed
[09:59.000 --> 10:03.000]  because he wouldn't have shut up about the government being involved.
[10:03.000 --> 10:08.000]  So Cop of the Year, we saved all those people, saw a little bit too much, them removing the bombs and the rest of it,
[10:08.000 --> 10:11.000]  so they killed him in cold blood.
[10:11.000 --> 10:21.000]  And we'll go over some of the basics of this because I can't get into the new developments without giving you some of the things that happened previously.
[10:21.000 --> 10:27.000]  Before you call me or email me and say, why would the government do that?
[10:27.000 --> 10:33.000]  Let's be clear, small criminal elements of our government did this.
[10:33.000 --> 10:41.000]  And they did this to pass the omnibus crime bill and get triple the funding for the BATF, double the funding for the FBI,
[10:41.000 --> 10:48.000]  and to increase the total anti-terror budget by over 100%.
[10:48.000 --> 10:55.000]  Bill Clinton on Air Force One in 1996, after he had a 32% approval rating when the bombing took place,
[10:55.000 --> 11:00.000]  was expected with a 68% approval rating, riding high a month after the election.
[11:00.000 --> 11:07.000]  A reporter in the White House press pool on Air Force One said, what do you owe your reelection to?
[11:07.000 --> 11:11.000]  And he said, the Oklahoma City bombing, it brought the country together,
[11:11.000 --> 11:17.000]  just like Hitler firebombing his own Reichstag helped bring the country together under the furor.
[11:17.000 --> 11:20.000]  And there's so much evidence in this, it would make your head spin.
[11:20.000 --> 11:26.000]  I've done three-hour programs on coast to coast AM with reporters coming on, covering it as well.
[11:26.000 --> 11:28.000]  I've done my own syndicated show weekdays.
[11:28.000 --> 11:32.000]  I've probably done conservatively 75, 80 programs.
[11:32.000 --> 11:34.000]  I looked it up.
[11:34.000 --> 11:38.000]  In 2006, I did no fewer than 15 alone on this.
[11:38.000 --> 11:43.000]  I'd already done several this year, several segments of a broadcast on it.
[11:43.000 --> 11:49.000]  So literally, it'd be like if you came to an engineer who had an engineering degree
[11:49.000 --> 11:51.000]  and you said, teach me how to engineer.
[11:51.000 --> 11:57.000]  I have been studying this since it happened almost 12 years ago.
[11:57.000 --> 11:59.000]  And there's so much evidence.
[11:59.000 --> 12:03.000]  I don't even claim to have all the answers or know every little detail.
[12:03.000 --> 12:07.000]  So it's hard to walk through this, but we're going to try to today.
[12:07.000 --> 12:09.000]  Again, there's too much evidence.
[12:09.000 --> 12:12.000]  We have smoking guns piled up to the sky.
[12:12.000 --> 12:16.000]  It is now obscuring the sun, my friends.
[12:16.000 --> 12:19.000]  Let's just read through the latest headlines.
[12:19.000 --> 12:22.000]  This is the Salt Lake City Tribune.
[12:22.000 --> 12:25.000]  Nichols, McVeigh had high-level FBI help.
[12:25.000 --> 12:26.000]  Desert News.
[12:26.000 --> 12:29.000]  Nichols says bombing was FBI up.
[12:29.000 --> 12:34.000]  Now, here's the more detailed reports that literally are receiving millions of readers.
[12:34.000 --> 12:40.000]  Attorney Ashcroft gagged Nichols from exposing McVeigh's OKC bombing conspirators.
[12:40.000 --> 12:46.000]  Trinadu drops new bombshell on Alex Jones' show. This was Thursday. Breaking.
[12:46.000 --> 12:50.000]  Attorney, sealed documents indicate OKC inside job.
[12:50.000 --> 12:52.000]  Here's another one.
[12:52.000 --> 12:54.000]  FBI agent, early arrival in Oklahoma City.
[12:54.000 --> 12:56.000]  Hotel receipt shows it.
[12:56.000 --> 12:58.000]  World Net Daily.
[12:58.000 --> 13:00.000]  McVeigh at a military base.
[13:00.000 --> 13:04.000]  Two years after he was supposedly out of the military at a demolitions compound.
[13:04.000 --> 13:06.000]  It goes on and on.
[13:06.000 --> 13:08.000]  We're going to go over all of it.
[13:08.000 --> 13:11.000]  OKC revelation, spotlight, FBI involvement and bombing.
[13:11.000 --> 13:16.000]  But again, before I go through all the new evidence, let me give you the big news.
[13:16.000 --> 13:20.000]  The Salt Lake City Tribune doesn't have it. ABC News doesn't have it.
[13:20.000 --> 13:24.000]  Guess who has it? Right here, in my hands.
[13:24.000 --> 13:27.000]  Right here.
[13:27.000 --> 13:32.000]  This is the declaration of Terry Lynn Nichols,
[13:32.000 --> 13:37.000]  United States District Court for the District of Utah Central Division.
[13:37.000 --> 13:43.000]  Interviewed and deposed in his jail cell for a day and a half by Jesse C. Trinadu, plaintiff.
[13:43.000 --> 13:45.000]  Attorney at law.
[13:45.000 --> 13:49.000]  And again, Jesse C. Trinadu's brother was mistaken as one of the black operators.
[13:49.000 --> 13:51.000]  That doesn't mean a black person, folks.
[13:51.000 --> 13:55.000]  One of the black world operators, one of the special forces individuals involved in this.
[13:55.000 --> 13:58.000]  So they tortured him to death because he matched another individual.
[13:58.000 --> 14:02.000]  Once the feds got that other fellow, they tortured him to death and hung him in his cell as well.
[14:02.000 --> 14:08.000]  So this, Jesse C. Trinadu just started investigating this years ago. I interviewed him three and a half years ago.
[14:08.000 --> 14:14.000]  That's why I was really proud and honored when he made the point that on my radio program, we originally broke all this.
[14:14.000 --> 14:16.000]  And now the documents have come out.
[14:16.000 --> 14:21.000]  We have the sealed federal documents. Let me just go ahead and get to the meat of the matter.
[14:21.000 --> 14:31.000]  In my hand, I have the sealed federal documents. I have the sealed FBI documents in my hands right now.
[14:31.000 --> 14:41.000]  Trinadu, an accomplished lawyer, what, 25, 30 years in practice, has never seen them seal something anywhere near this quick.
[14:41.000 --> 14:48.000]  Within a day of these being filed, they had already gotten a motion before the court to seal these.
[14:48.000 --> 15:03.000]  Now, not before we were able to see them and not before, and that's the only reason we can cover this, the Salt Lake City Tribune was able to see them and not before the Desert News was able to see them.
[15:03.000 --> 15:07.000]  So they were able to see them. We were able to see them. We have them right here.
[15:07.000 --> 15:19.000]  And yes, ladies and gentlemen, Trinadu wisely has not given to the media the most important sealed parts, and that is exhibit A through G.
[15:19.000 --> 15:30.000]  The exhibits are the names, social security numbers of FBI agents, internal FBI documents that it turns out the defense had that Stephen Jones reportedly had in the Denver Trial.
[15:30.000 --> 15:37.000]  The federal judge would not allow them to put this evidence on for national security reasons.
[15:37.000 --> 15:45.000]  Now, you want to understand how they set patsies up and how they run black ops? Once you've studied a black op, you start learning there's two or three different types.
[15:45.000 --> 15:56.000]  There's really two main types, a couple of subgroups. We're going to walk through how they do this by first explaining what happened in Oklahoma City and then going through the evidence.
[15:56.000 --> 16:08.000]  But yes, ladies and gentlemen, if you go to prisonplanet.com and infowars.com and jonesupport.com right now, you can read the federal documents for yourself.
[16:08.000 --> 16:15.000]  You can see them for yourself. Sealed under national security. I'm Alex Jones.
[16:15.000 --> 16:34.000]  We'll be right back, coast to coast, border to border, exposing the terrorist, defending the Republic.
[16:34.000 --> 16:47.000]  Hi, I'm Joyce Wiley and many of you know that for years I was a cardiovascular heart transplant nurse. Since that time I've educated myself on the importance of preventative care. It all begins with providing your heart and vascular system with building blocks for good health.
[16:47.000 --> 16:51.000]  Strauss Heart Drops is the original formula that was copied by others but never duplicated.
[16:51.000 --> 17:00.000]  Strauss Heart Drops were developed by a master herbalist, Jim Strauss, after he suffered a heart attack in 1979. His doctor said he would only survive if he had heart bypass surgery.
[17:00.000 --> 17:06.000]  And Jim said no. He developed Strauss Heart Drops the formula that has been copied by others but never been surpassed.
[17:06.000 --> 17:10.000]  Get the original Strauss Heart Drops four ounce bottle for only $79.99.
[17:10.000 --> 17:33.000]  Call the power hour at 877-817-9829. 877-817-9829. You've probably heard about the other products that have tried to copy the Strauss formula. We'll get the original Strauss Heart Drops by calling 877-817-9829. That's 877-817-9829. Now you could really do your heart right with Strauss Heart Drops.
[17:33.000 --> 17:50.000]  The United States seems to be celebrating over its triumph of reducing government debt, but the truth be told public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase outpacing its previous 10 years.
[17:50.000 --> 17:57.000]  The U.S. economy receives its currency by taking on debt through private banking institution called the Federal Reserve System.
[17:57.000 --> 18:12.000]  In the year 2000, debt growth collapsed to only 4.5%. It's bad enough that the U.S. citizens is bound by debt in order to have commerce. However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[18:12.000 --> 18:22.000]  Before you make your next investment decision, get the cold hard facts. Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[18:22.000 --> 18:32.000]  You must understand how recession and depression are driven by outstanding debt. Call 1-800-686-2237. That's 1-800-686-2237.
[18:32.000 --> 18:53.000]  It's year after a year in production and traveling the distant lands, my new film Terror Storm is complete. Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[18:53.000 --> 19:10.000]  Terror Storm is an inside job, but the attacks of 777 in London were carried out by British intelligence. Terror Storm Chronicles, the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[19:10.000 --> 19:20.000]  Terror Storm is the definitive guide to the history of government-sponsored terrorism. It's an anthology of government crimes. Terror Storm is a film that everyone who wants to be truly informed must see.
[19:20.000 --> 19:33.000]  Get your copy today at infowars.com or prisonplanet.com, or by calling toll 3-1-888-2533139, or watch it right now online at prisonplanet.tv.
[19:33.000 --> 19:35.000]  Hey Jane, how's it going?
[19:35.000 --> 19:41.000]  Gosh, I'm not doing so well. Even though I'm doing everything I'm supposed to do, my blood sugar is way out of control.
[19:41.000 --> 19:44.000]  Oh, Jane, I'm sorry to hear that.
[19:44.000 --> 19:52.000]  I have to monitor my blood sugar again if there was only something natural I could take that would help control my blood sugar that really works.
[19:52.000 --> 19:54.000]  Have you tried sucrablast?
[19:54.000 --> 20:04.000]  For millions of Americans who can't keep their high blood sugar levels off their minds, there's sucrablast. Sucrablast is the all-natural way to help keep your high blood sugar levels under control.
[20:04.000 --> 20:14.000]  For a limited time, you can get a free consultation from a sucrablast specialist. Call 1-800-99-HEALTHY. That's 1-800-99-HEALTHY.
[20:14.000 --> 20:21.000]  Or visit them on the web at mybloodsugarbreakthrough.com. That's mybloodsugarbreakthrough.com.
[20:21.000 --> 20:23.000]  So, Jane, what do you think?
[20:23.000 --> 20:27.000]  I'm going to call sucrablast to set up a free consultation right now.
[20:27.000 --> 20:34.000]  Excellent, Jane. He'll be glad you did.
[20:34.000 --> 20:44.000]  You are listening to GCN. Visit GCNLive.com today.
[20:44.000 --> 20:53.000]  Corruption never had a worse enemy. You're locked into the Alex Jones show.
[20:53.000 --> 21:04.000]  Okay, let's be clear. On February 16, this filing was written up. It was filed several days later.
[21:04.000 --> 21:12.000]  Within a day, the federal government had sealed the filing and its exhibits.
[21:12.000 --> 21:21.000]  That was A through G. We're talking about the Oklahoma City bombing and the revelations by Terry Nichols that this was a government inside job, a black op.
[21:21.000 --> 21:29.000]  We wouldn't just listen to Terry Nichols. We'll walk through his story and show how it fits in with all the pieces, the hundreds of pieces and smoking guns that we have.
[21:29.000 --> 21:40.000]  Since then, the federal judge has said, since the media already had it, since it had already been reported on by major newspapers, that the filing can be public, just not the exhibits.
[21:40.000 --> 21:57.000]  Those are not public and the government is fighting to keep those secrets. In the filing, you learn that Nichols had written a letter in 2004 to John Ashcroft, the then attorney general, saying he wanted to go public about all this information.
[21:57.000 --> 22:12.000]  And then an order was put into effect over the federal bureau of prisons and the super maxis in there in the Rocky Mountains, and they wouldn't allow him to talk to any of the media.
[22:12.000 --> 22:18.000]  And the media could not get into scene. I've talked to newspaper reporters, TV reporters, national reporters who weren't allowed to get in.
[22:18.000 --> 22:28.000]  In fact, there had been a press report doing some research I found from 2004 where 60 minutes tried to get into scene, and the federal government said no, no media.
[22:28.000 --> 22:30.000]  But they couldn't keep a lawyer.
[22:30.000 --> 22:44.000]  And so because court proceedings had been started by Jesse Trinadu, and because Nichols could then say that he was having him in as his counsel, they couldn't stop Trinadu from getting in for a day and a half of interview time.
[22:44.000 --> 22:59.000]  Now, in this affidavit and in this request that's been filed as part of a lawsuit, they're asking that Jesse Trinadu, attorney Trinadu, be able to go in and get a videotape deposition of Terry Nichols.
[22:59.000 --> 23:12.000]  So there's some background about what's currently happening right now. Again, the headlines, desert news, Nichols says bombing was FBI operation, Salt Lake City Tribune headline, Nichols McVeigh had a high level FBI help.
[23:12.000 --> 23:17.000]  Now, let's go back to what really happened in a nutshell in Oklahoma City.
[23:17.000 --> 23:21.000]  You'd had Ruby Ridge, which had ended in a disaster.
[23:21.000 --> 23:26.000]  Larry Potts, the head of the operation had gotten a reprimand letter.
[23:26.000 --> 23:31.000]  There was talk of the BATF being disbanded, the Bureau of Alcohol, Tobacco and Firearms.
[23:31.000 --> 23:46.000]  Excuse me, the Bureau of Alcohol, Tobacco and Firearms. Then we have the videotapes that was in Waco, the Rules of Engagement and in several other films where it shows the BATF loading their big Betamax cameras saying, oh, we're going to get lots of funding off this.
[23:46.000 --> 23:52.000]  This is going to make us look good. They picked a group they thought was kooky and weird, regardless of what they were.
[23:52.000 --> 24:03.000]  The point is they were set up, they were attacked, they were shot at by helicopters, 51 days into the siege, they burned the place down. Later that came out in congressional testimony and Delta Force documents when they sent the Delta Force in.
[24:03.000 --> 24:08.000]  Again, you have the same FBI agents that were involved, Lon Horiyuchi and others, from Ruby Ridge are there.
[24:08.000 --> 24:18.000]  That happens in 1993, a few months after Ruby Ridge, just a few months after the first World Trade Center attack, which I'll get to in a moment.
[24:18.000 --> 24:46.000]  Same thing there, government op will walk you through it. So, they've got this really bad name, there's talk of them being disbanded, and because of Waco and Ruby Ridge, and then boom, 902 AM, 1995, a supposed truck bomb blows up out front and knocks out giant columns in the back of the building, the furthest away from the truck, but doesn't knock columns up over that are right up against the truck bomb.
[24:46.000 --> 24:55.000]  And there's video tape of these that the former head of Air Force Weapons Development, General Benton K. Barton, that's a three star general by the way, did analysis of it.
[24:55.000 --> 25:12.000]  You could see the columns blown off at 45 degree angles, perfect blast points, okay, they were even blackened. So, you've got the columns blown out at the back, you've got pieces of rubble blown across the street, big chunks of columns blown across the street up on top of four story buildings.
[25:12.000 --> 25:23.000]  Okay, and we have video and photos of that in the film I made in 1997. Then in my film, the road to tyranny I made in 2002, we covered the first World Trade Center, Oklahoma City, and 9 11.
[25:23.000 --> 25:33.000]  We spent 45 minutes in that three hour film just on OKC with police surveillance tape. Oh, yes, we got it. And newscast as they're removing the bombs, but again, the problem is there's too much evidence here.
[25:33.000 --> 25:43.000]  Go to Google Video, type in road to tyranny, you can watch it for free tonight. After the show, that's your homework. So, there's nothing more riveting than reality, is there?
[25:43.000 --> 25:55.000]  My hair on the back of my neck stands every time I talk about this. So, this bomb goes off. Immediately, police start going, you know, the BATF in 30 seconds was in full bomb gear.
[25:55.000 --> 26:03.000]  The first firemen to arrive, the first police, some of them were just down the block, some of them were there a minute after, and there's BATF with their bomb truck in full bomb gear.
[26:03.000 --> 26:10.000]  Some of it takes 20, 30 minutes to put on running around. They run up to the local doctor, the local coroner, they say, bandage us up, we run the ninth floor.
[26:10.000 --> 26:14.000]  The doctor says, you're not hurt, you're making that up. What are you talking about? How'd you get dressed so quick?
[26:14.000 --> 26:28.000]  Terrence Yakey, cop of the year, you know, big, strong, handsome black guy, looked like an NFL linebacker, runs in, saves like 20-something people, almost breaks his back doing it, carrying him out on his shoulders.
[26:28.000 --> 26:33.000]  He sees him running around day one, he sees him in the bomb gear, he was just right down the street, cop of the year.
[26:33.000 --> 26:43.000]  He blows the whistle, is on the phone to his partner, the night he died, because the chief was telling him, get off the case, he's going to a storage shed they had because they've been told to hand over all their evidence.
[26:43.000 --> 26:49.000]  He said, I'm getting followed by a couple FBI feds, I got to go, it looks like they're going to pull me over.
[26:49.000 --> 27:00.000]  He's found, right off the road, about a couple hundred feet, tortured, tied to a tree with all these stab wounds and burn marks in his throat, slit and shot twice in the back of the head.
[27:00.000 --> 27:09.000]  Cop of the year, these are cop killers. And again, he may have thought they were FBI, that we know there were special forces troops involved, men associated with special forces, I should say.
[27:09.000 --> 27:21.000]  And so that happened in any black op, whether it's the Kennedy assassination or any of these events, they get lots of criminal groups and government groups involved.
[27:21.000 --> 27:27.000]  So there's layers of Patsy's, layers of distractions, different fallback groups.
[27:27.000 --> 27:32.000]  So let me tell you who we know from videotape, police reports, surveillance cameras, everything.
[27:32.000 --> 27:39.000]  There were Iraqis involved, okay. There were white supremacists involved.
[27:39.000 --> 27:44.000]  And there was the FBI and the BATF involved. Okay, now how did this work?
[27:44.000 --> 27:52.000]  And it's all in the deposition. It's all in the filing. Go read it up on prisonplanet.com right now with all the massive reportage.
[27:52.000 --> 27:56.000]  How did this happen?
[27:56.000 --> 28:07.000]  When you're going to carry out a knob, you can either provocateur one or you can simply carry it out yourself and then blame some innocent Patsy you set up.
[28:07.000 --> 28:16.000]  Or you can do a combo of the two where there's a real attack that's going to be launched by the private corporation hired by the government to do it or by a government agency, a subgroup in that agency.
[28:16.000 --> 28:31.000]  You can do it that way or the most common type is you go find people. It may take years and you recruit them and you train them and you lead them as a Klan leader, a Black Panther leader, a whatever quote radical group leader it is.
[28:31.000 --> 28:40.000]  We see this over and over again. We saw it in Miami. We saw it in Canada last year where they go find street kids, give them $100,000 over a year, give them video cameras.
[28:40.000 --> 28:47.000]  The FBI creates the group. The FBI created the Klan group in 98, tried to give them the bomb chemical plant outside Dallas.
[28:47.000 --> 28:59.000]  We talked about it last week, Texas Monthly. The major news report out of the Orlando Sentinel about the FBI leading the Nazi group in Orlando March behind the major groups create fear.
[28:59.000 --> 29:07.000]  There's a lot of evidence here. Let's walk through it and get back. We'll tell you what happened in Oklahoma City. The different groups they had to create a smoke screen around it.
[29:07.000 --> 29:19.000]  All right. And then we'll get to your phone calls. We'll go through the affidavit. We'll go through the filing. We'll go through the latest news on this. This is huge, breaking news.
[29:19.000 --> 29:22.000]  We'll be right back. Stay with us. I'm Alex Jones.
[29:22.000 --> 29:39.000]  According to the American Diabetes Association, more than 18 million people in the U.S. have diabetes.
[29:39.000 --> 29:46.000]  Most people with diabetes have risk factors such as obesity, high blood pressure and cholesterol, which increase their risk for heart disease.
[29:46.000 --> 29:54.000]  For example, more than 65% of people with diabetes die from heart disease or stroke. Finding out you or your loved ones have diabetes can be scary.
[29:54.000 --> 30:01.000]  This is why, as your trusted online partner in health, we are committed to bringing you products that help you make informed decisions about your health.
[30:01.000 --> 30:20.000]  At researcherbs.com, you can learn more about leukocare, a highly effective and safe natural herbal supplement formulated specifically to help maintain optimal blood sugar levels. As with all products featured on researcherbs.com, leukocare is the result of several years of rigorous development and is backed by numerous clinical trials and experimental studies.
[30:20.000 --> 30:31.000]  Visit us online at researcherbs.com or call 1-800-845-3841 to learn more. That's 1-800-845-3841.
[30:50.000 --> 31:02.000]  To prove it, we want you to try our amazing software free. Just request a free demo CD-ROM and see how fast you can learn a language. For your free CD-ROM, call 1-800-441-3955.
[31:02.000 --> 31:14.000]  Discover the secret to learning languages that U.S. diplomats NASA and the Peace Corps have known for years. And best of all, there's no tedious translation, no useless memorization and no boring drills.
[31:14.000 --> 31:19.000]  If my friends were impressed by that, just wait till we go to Chinatown next week.
[31:19.000 --> 31:32.000]  Experience the fastest way to learn any of 28 languages guaranteed. Request your free CD-ROM by calling 1-800-441-3955. That's 1-800-441-3955.
[31:32.000 --> 31:40.000]  The disciples asked Jesus and Matthew 24, what shall be the signs of thy coming and the end of the world? You shall hear of wars and rumors of wars.
[31:40.000 --> 31:46.000]  For nation shall rise against nation and kingdom against kingdom, and there shall be famines, disease and earthquakes in many places.
[31:46.000 --> 31:52.000]  We are living in this time of Earth's history. Many people are trying to understand the climactic world events in light of human wisdom.
[31:52.000 --> 31:55.000]  But without the wisdom of God, this is impossible.
[31:55.000 --> 32:00.000]  Second Peter says, we have a more sure word of prophecy, and you do well if you take heed.
[32:00.000 --> 32:05.000]  But first know this, that no prophecy of the Scripture is of any private interpretation.
