[00:00.000 --> 00:27.700]  Infowars, tomorrow's news, today.
[08:47.100 --> 08:55.100]  And so all the societal cultural numbers worldwide show a surge towards populism and capitalism
[08:55.100 --> 08:59.100]  and family and basic stuff that works that God gave us.
[08:59.100 --> 09:04.100]  But there's a surge worldwide of absolute election theft financed by the big central
[09:04.100 --> 09:11.100]  banks and quarterbacked by the criminals that run the central intelligence agency that are
[09:11.100 --> 09:16.100]  in the U.S. news bragging two years ago they helped steal the election.
[09:16.100 --> 09:18.100]  Big Time Magazine article about that.
[09:18.100 --> 09:22.100]  And they're bragging today how they did this with big tech.
[09:22.100 --> 09:27.100]  And there's many ways they do it with voter suppression, with 95% of the links going to
[09:27.100 --> 09:29.100]  Democrats, with blocking their bad policies.
[09:29.100 --> 09:31.100]  I mean, there's that suppression.
[09:31.100 --> 09:37.100]  There's all the key battleground counties and cities that were swinging wildly to the Republicans
[09:37.100 --> 09:44.100]  from Texas, to New Jersey, to Michigan, to Wisconsin, to Georgia, to Pennsylvania, to
[09:44.100 --> 09:51.100]  Nevada, to Arizona, to New Mexico, income the cavalry, and the machine's malfunction in
[09:51.100 --> 09:58.100]  the most red districts and red precincts inside blue cities.
[09:58.100 --> 10:01.100]  And they say, don't worry, just put your ballots here.
[10:01.100 --> 10:05.100]  We'll count them, wink, wink, wink, for the next few days and weeks.
[10:05.100 --> 10:10.100]  And then you know the rest of the story once they get their hands on them at the special
[10:10.100 --> 10:21.100]  tabulation center in Maricopa County, Arizona, run by the lady neck and neck with Cary Lake.
[10:21.100 --> 10:27.100]  Yes, her opponent is running the election, her own election.
[10:27.100 --> 10:33.100]  And then you wonder why the Republican areas that we're surging with, we're talking 70%,
[10:33.100 --> 10:38.100]  80% voter turnout, the biggest ever by Republicans in the midterm.
[10:38.100 --> 10:46.100]  But despite the fact they have higher Republican turnout, they admit, oh, magically, the Democrats
[10:46.100 --> 10:52.100]  will probably get the Senate, just like last time in Georgia, with a runoff two years ago,
[10:52.100 --> 11:01.100]  and maybe 10 House members in the House representatives will be Republican over the line.
[11:01.100 --> 11:06.100]  And so you'll have a narrow majority, but controlled by a bunch of neocons, exactly what I've been predicting
[11:06.100 --> 11:10.100]  would happen with this giant red tsunami being blocked by the seawall.
[11:10.100 --> 11:15.100]  I tried to be optimistic, but Owen Schreuer and Harrison Smith early yesterday called it.
[11:15.100 --> 11:17.100]  They said, no, it's the same thing two years ago.
[11:17.100 --> 11:22.100]  I said, it looks like it, but let's be optimistic.
[11:22.100 --> 11:25.100]  And by 11 o'clock at night, it was very, very clear what had happened.
[11:25.100 --> 11:27.100]  They threw everything they had at this show.
[11:27.100 --> 11:30.100]  Let's just pull back here, because there's a lot to unpack.
[11:30.100 --> 11:35.100]  And it's not just for this audience, obviously, that's massive and important and incredible.
[11:35.100 --> 11:38.100]  It's for everybody else tuning in today that's not normally part of the audience.
[11:38.100 --> 11:41.100]  They need to understand your birthrights being stolen.
[11:41.100 --> 11:46.100]  And under the New World Order, you're going to be poor and destitute if you're even allowed to live.
[11:46.100 --> 11:49.100]  So understand that and wake up.
[11:49.100 --> 11:51.100]  But, you know, they did wake up.
[11:51.100 --> 12:01.100]  Exit polls on places like CNN and ABC and NBC all found 70 to 85% in that spectrum.
[12:01.100 --> 12:03.100]  Most of them in the mid-70s.
[12:03.100 --> 12:08.100]  I've got literally more than 20 exit polls from different regions here.
[12:08.100 --> 12:16.100]  Found that the vast majority were against the collapsing economy, against the prices exploding in inflation,
[12:16.100 --> 12:28.100]  against the open borders, against the war in Ukraine, and almost 75%, 74% blame Joe Biden and the Democrats.
[12:28.100 --> 12:32.100]  So Democrats are coming out saying, I voted Republican the first time in my life.
[12:32.100 --> 12:36.100]  The majority of them in these video exit polls and scientific exit polls.
[12:36.100 --> 12:42.100]  And they're saying that they blame Joe Biden, but they voted in a landslide.
[12:42.100 --> 12:47.100]  Because it was a Democrat landslide in opposition to the Republican tsunami.
[12:47.100 --> 12:49.100]  So it was massive voter turnout.
[12:49.100 --> 12:51.100]  Who really believes that?
[12:51.100 --> 12:59.100]  No, the smoking gun is the exit polls coupled with the key districts having the computers go out all day long in different areas.
[12:59.100 --> 13:10.100]  And all in the specific key, not just states, we said it would happen, but in the very districts and sub districts and precincts
[13:10.100 --> 13:15.100]  that had the highest Republican turnout, no problems in all the Democrat areas.
[13:15.100 --> 13:24.100]  And the same thing happened in Houston, same thing happened in Dallas, same thing happened in San Antonio, almost no news coverage.
[13:24.100 --> 13:30.100]  And then you find out who they hired around the country to run all these computer failures.
[13:30.100 --> 13:41.100]  And they're all well known, discredited, famous Democrat operatives who've been caught and disgraced is the headline in other bots.
[13:41.100 --> 13:47.100]  Oh, it was a oopsie oopsie.
[13:47.100 --> 13:51.100]  It was all just a big accident to help the Democrats steal it over and over again.
[13:51.100 --> 13:55.100]  And they'll just be sent to another state, another city to do it all over again.
[13:55.100 --> 13:59.100]  So here's the big takeaway.
[13:59.100 --> 14:01.100]  They stole the last election.
[14:01.100 --> 14:05.100]  They just stole this election massively.
[14:05.100 --> 14:09.100]  Publicers should have gotten 54, 56 seats in the Senate.
[14:09.100 --> 14:19.100]  And that's your 60 plus seats, bringing them to 40 something seats over the line with a big majority in the house, but they didn't.
[14:19.100 --> 14:25.100]  But a lot of that was the Republican leadership blew the money didn't support new candidates because they're part of the establishment.
[14:25.100 --> 14:36.100]  The rhinos that he'll cause the top that are battling in their own civil war for control the Republican Party against the populist movement whose figureheads are Donald Trump and Mr. DeSantis,
[14:36.100 --> 14:37.100]  Governor DeSantis.
[14:37.100 --> 14:43.100]  So there's that but they've now painted themselves into a corner, causing even bigger political realignment.
[14:43.100 --> 14:47.100]  It's not going to dissuade people from voting to make them vote more like I said two years ago.
[14:47.100 --> 14:52.100]  This election that won't make you vote less and make you vote more to go and improve it and show it.
[14:52.100 --> 14:53.100]  So you don't give up.
[14:53.100 --> 15:01.100]  You go with even bigger numbers until you finally get 70% of people that vote who are registered voting Republican.
[15:01.100 --> 15:03.100]  There's no way to steal that number.
[15:03.100 --> 15:08.100]  But the Republicans only got in most areas into the 60s.
[15:08.100 --> 15:09.100]  And so they were able to do it.
[15:09.100 --> 15:16.100]  And this is what I learned covering elections for 28 years and actually working elections in Travis County is famous for election fraud here in Austin.
[15:16.100 --> 15:22.100]  Is always at 1am they steal it and they have a few token Republicans in there.
[15:22.100 --> 15:27.100]  But Democrat big city machine systems never go red again.
[15:27.100 --> 15:29.100]  They just don't do it.
[15:29.100 --> 15:34.100]  Republican districts can flip because they're not engaged in organized crime and fraud.
[15:34.100 --> 15:35.100]  I know Republicans.
[15:35.100 --> 15:40.100]  They're not perfect, but on average they are a whole different animal compared to Democrats.
[15:40.100 --> 15:43.100]  They're afraid to speed, run red lights, you know, anything.
[15:43.100 --> 15:45.100]  They're not risk takers.
[15:45.100 --> 15:47.100]  And they don't want to commit crimes.
[15:47.100 --> 15:48.100]  They see it as valuable.
[15:48.100 --> 15:49.100]  They're a good person.
[15:49.100 --> 15:53.100]  And the left just laughs at us and I'm not saying we speak criminals like them, but what are we going to do?
[15:53.100 --> 15:54.100]  I'll break it down and we come back.
[15:54.100 --> 15:55.100]  This is huge news.
[15:55.100 --> 16:17.100]  Stay with us.
[16:17.100 --> 16:43.100]  Thank you.
[16:43.100 --> 17:09.100]  Thank you.
[17:09.100 --> 17:35.100]  Thank you.
[17:35.100 --> 18:00.100]  Thank you.
[18:00.100 --> 18:26.100]  Thank you.
[18:26.100 --> 18:52.100]  Thank you.
[18:52.100 --> 19:18.100]  Thank you.
[19:18.100 --> 19:44.100]  Thank you.
[19:44.100 --> 20:10.100]  Thank you.
[20:10.100 --> 20:39.100]  Thank you.
[20:39.100 --> 21:06.100]  Thank you.
[21:06.100 --> 21:32.100]  Thank you.
[21:32.100 --> 21:58.100]  Thank you.
[21:58.100 --> 22:24.100]  Thank you.
[22:24.100 --> 22:50.100]  Thank you.
[22:50.100 --> 23:16.100]  Thank you.
[23:16.100 --> 23:42.100]  Thank you.
[23:42.100 --> 24:08.100]  Thank you.
[24:08.100 --> 24:34.100]  Thank you.
[24:34.100 --> 25:00.100]  Thank you.
[25:00.100 --> 25:26.100]  Thank you.
[25:26.100 --> 25:52.100]  Thank you.
[25:52.100 --> 26:18.100]  Thank you.
[26:18.100 --> 26:44.100]  Thank you.
[26:44.100 --> 27:10.100]  Thank you.
[27:10.100 --> 27:36.100]  Thank you.
[27:36.100 --> 28:02.100]  Thank you.
[28:02.100 --> 28:28.100]  Thank you.
[28:28.100 --> 28:54.100]  Thank you.
[28:54.100 --> 29:20.100]  Thank you.
[29:20.100 --> 29:46.100]  Thank you.
[29:46.100 --> 29:58.100]  Thank you.
[30:16.100 --> 30:42.100]  Thank you.
[30:42.100 --> 31:02.100]  Thank you.
[31:02.100 --> 31:24.100]  Thank you.
[31:24.100 --> 31:50.100]  Thank you.
[31:50.100 --> 32:00.100]  Thank you.
[32:20.100 --> 32:42.100]  Thank you.
[32:42.100 --> 33:08.100]  Thank you.
[33:08.100 --> 33:36.100]  Thank you.
[33:36.100 --> 34:02.100]  Thank you.
[34:02.100 --> 34:28.100]  Thank you.
[34:28.100 --> 34:54.100]  Thank you.
[34:54.100 --> 35:22.100]  Thank you.
[35:22.100 --> 35:48.100]  Thank you.
[35:48.100 --> 36:14.100]  Thank you.
[36:14.100 --> 36:42.100]  Thank you.
[36:42.100 --> 37:08.100]  Thank you.
[37:08.100 --> 37:36.100]  Thank you.
[37:36.100 --> 38:04.100]  Thank you.
[38:04.100 --> 38:30.100]  Thank you.
[38:30.100 --> 38:58.100]  Thank you.
[38:58.100 --> 39:26.100]  Thank you.
[39:26.100 --> 39:54.100]  Thank you.
[39:54.100 --> 40:22.100]  Thank you.
[40:22.100 --> 40:50.100]  Thank you.
[40:50.100 --> 41:18.100]  Thank you.
[41:18.100 --> 41:46.100]  Thank you.
[41:46.100 --> 42:14.100]  Thank you.
[42:14.100 --> 42:42.100]  Thank you.
[42:42.100 --> 43:10.100]  Thank you.
[43:10.100 --> 43:38.100]  Thank you.
[43:38.100 --> 44:00.100]  Thank you.
[44:00.100 --> 44:28.100]  Thank you.
[44:28.100 --> 44:56.100]  Thank you.
[44:56.100 --> 45:24.100]  Thank you.
[45:24.100 --> 45:52.100]  Thank you.
[45:52.100 --> 46:20.100]  Thank you.
[46:20.100 --> 46:48.100]  Thank you.
[46:48.100 --> 47:14.100]  Thank you.
[47:14.100 --> 47:18.100]  Welcome back to The Alex Jones Show, Wednesday edition.
[47:18.100 --> 47:24.100]  And as the Democrats promised us in key battleground areas, the machines went out.
[47:24.100 --> 47:26.100]  So they stacked up all the ballots.
[47:26.100 --> 47:34.100]  And now in places like Arizona, the woman that Kerry Lake's running against is the one counting the ballots.
[47:34.100 --> 47:38.100]  Can't make that up.
[47:38.100 --> 47:44.100]  So look, big picture is this, Jim Hoff, GatewayPunna.com is here.
[47:44.100 --> 47:46.100]  And I want Jim's take on this.
[47:46.100 --> 47:48.100]  I don't know if he agrees, disagrees, or wants to add to it.
[47:48.100 --> 47:50.100]  I imagine he does agree because I read his stuff five, ten times a day.
[47:50.100 --> 47:52.100]  I live on the site. It's like I live on infowars.com.
[47:52.100 --> 47:56.100]  And we look at the national polls.
[47:56.100 --> 48:02.100]  45% of Americans, including the large portion of Democrats, think there's a shadow corrupt government running things.
[48:02.100 --> 48:08.100]  70-plus percent say that they blame Joe Biden for the inflation of the Democrats.
[48:08.100 --> 48:14.100]  But then we're to believe that the Democrats just beat the biggest Republican turnout in modern history in a midterm.
[48:14.100 --> 48:18.100]  It's just preposterous with all the exit polls showing this.
[48:18.100 --> 48:20.100]  So your view on that.
[48:20.100 --> 48:26.100]  And then Michael Moore, who is a big insider, rubs elbows in the top politicos.
[48:26.100 --> 48:28.100]  He consistently is right.
[48:28.100 --> 48:34.100]  If Donald Trump's going to win six years ago, he did.
[48:34.100 --> 48:40.100]  And then you add to that, ladies and gentlemen, that he came out two weeks ago and said, you watch.
[48:40.100 --> 48:46.100]  The Democrats are going to win the Senate and maybe might lose a little bit of the house.
[48:46.100 --> 48:50.100]  And he's been proven right because they knew what they were planning.
[48:50.100 --> 48:52.100]  I'm deadly serious.
[48:52.100 --> 49:00.100]  Michael Moore is confident of a Democrat midterm win and coming back from a massive tsunami that should have been the biggest political realignment in history,
[49:00.100 --> 49:02.100]  which has actually happened in our hearts and minds.
[49:02.100 --> 49:10.100]  This is a win for them if they don't lose the Senate and barely lose the house.
[49:10.100 --> 49:14.100]  What do you say to all of that, Jim Hoff?
[49:14.100 --> 49:18.100]  Well, it looks and smells very fishy, doesn't it, Alex?
[49:18.100 --> 49:26.100]  And I did notice that Pelosi was saying the same thing that, oh, yeah, we're going to keep the house and we're not worried.
[49:26.100 --> 49:36.100]  And you see the same reaction you saw from these same people two years ago during the election when they were running Joe Biden from a basement.
[49:36.100 --> 49:38.100]  Didn't even campaign.
[49:38.100 --> 49:42.100]  The guy beats Trump with the largest turnout ever.
[49:42.100 --> 49:52.100]  So, yeah, maybe Michael Moore has better context than we do because he nailed it, it looks like.
[49:52.100 --> 49:58.100]  And we don't know how the Senate's going to go, but it's terrifying to think if they do win back the Senate.
[49:58.100 --> 50:04.100]  That's really some scary stuff, especially if they get a majority there.
[50:04.100 --> 50:12.100]  I agree, you know, there's so much of Gateway Pundit's covering it, and a lot of times we kind of follow you on politics because you're even faster than we are.
[50:12.100 --> 50:14.100]  Roger Stone is doing a great job.
[50:14.100 --> 50:22.100]  He'll be joining us next hour along with Darren Beatty and many others, but you've got so many articles showing Democrat officials in Pennsylvania,
[50:22.100 --> 50:26.100]  other states inside the polling area, electioneering, federal crime.
[50:26.100 --> 50:32.100]  You also have the same replay of Michigan, middle of the night, illegally trucks arriving with boxes and ballots.
[50:32.100 --> 50:36.100]  Talk about some of the big stories you're covering and tracking.
[50:36.100 --> 50:44.100]  Yeah, well, right now we're, of course, watching for the Arizona results because we love those candidates there.
[50:44.100 --> 50:46.100]  They're exceptional candidates.
[50:46.100 --> 50:48.100]  They all should have won by double digits.
[50:48.100 --> 50:54.100]  And now we'll see if the regime lets them squeak a victory out there for these Republicans.
[50:54.100 --> 50:56.100]  We're watching that.
[50:56.100 --> 50:58.100]  We're also, of course, covering the fraud.
[50:58.100 --> 51:07.100]  We had some friends in Michigan who followed some Pinsky trucks from the election center in Detroit a few days ago.
[51:07.100 --> 51:11.100]  And the Pinsky truck went down to this empty warehouse.
[51:11.100 --> 51:20.100]  There's a lot of empty warehouses in Detroit between the election center and the former TCF arena where they count ballots.
[51:20.100 --> 51:22.100]  They stopped there.
[51:22.100 --> 51:25.100]  It's right across from the company that prints ballots.
[51:25.100 --> 51:27.100]  They were doing work there.
[51:27.100 --> 51:30.100]  People staked out on the street there.
[51:30.100 --> 51:36.100]  Don't know what that heck was going on, but we have people who are willing to put out some affidavits.
[51:36.100 --> 51:38.100]  We have, hopefully, some film on that.
[51:38.100 --> 51:41.100]  But it's the same old tricks by these Democrats.
[51:41.100 --> 51:49.100]  And hopefully, I really believe, Alex, that we're going to find out how they're doing this.
[51:49.100 --> 51:58.100]  This isn't that any mathematician in this country could look at these numbers, could look at the odds,
[51:58.100 --> 52:05.100]  and know right away that these elections are not free, not fair, and that they are stolen.
[52:05.100 --> 52:07.100]  And I think we're going to find that out.
[52:07.100 --> 52:12.100]  I think they can't hide this forever, especially in this day and age.
[52:12.100 --> 52:15.100]  And so we will find out what they're doing.
[52:15.100 --> 52:18.100]  It's obviously probably a combination of several things.
[52:18.100 --> 52:22.100]  But I don't think they can get away with this forever.
[52:22.100 --> 52:27.100]  And when we do find it out, we're going to find the true number of Democrat voters in this country.
[52:27.100 --> 52:35.100]  And I suspect it's going to be probably about 20% smaller than what they're recording every election.
[52:35.100 --> 52:44.100]  And about the same percentage is smaller as the number, the percent of tabulators that went out yesterday in Arizona.
[52:44.100 --> 52:48.100]  That's the numbers we see over and over again.
[52:48.100 --> 52:50.100]  And they know they're a fraudulent party.
[52:50.100 --> 52:52.100]  They know they're criminal.
[52:52.100 --> 52:59.100]  And now, as Tucker Carlson said last night, predicting they would steal it, they have nothing to lose.
[52:59.100 --> 53:02.100]  That's what makes them so incredibly dangerous.
[53:02.100 --> 53:07.100]  And we have all the Democrats, when they lose elections, with no evidence saying Republicans have stolen it, that's okay.
[53:07.100 --> 53:11.100]  And in case they couldn't steal it last night, they said, oh, Republicans are going to steal it.
[53:11.100 --> 53:15.100]  So they can't talk out of both sides of their mouth and say you're a terrorist, you're a criminal.
[53:15.100 --> 53:21.100]  The FBI needs to investigate you because you're an election denier when they famously run around challenging elections.
[53:21.100 --> 53:27.100]  And one of the great examples of Stacey Abrams always challenging elections, but then saying Republicans can't challenge Democrat elections.
[53:27.100 --> 53:28.100]  Just no one's buying it.
[53:28.100 --> 53:34.100]  All the national polls show the American people, including Democrats, know the fix is in.
[53:34.100 --> 53:35.100]  Absolutely.
[53:35.100 --> 53:39.100]  And speaking of Stacey Abrams, boy, that's a curious case.
[53:39.100 --> 53:42.100]  Somebody's trying to figure out Georgia.
[53:42.100 --> 53:46.100]  For all the candidates there, win by about 10 points.
[53:46.100 --> 53:52.100]  The Republicans, you know, from six to 10 points, including Brian Kemp, a big trumpeter.
[53:52.100 --> 54:04.100]  And yet Herschel Walker, who's running against this radical Marxist, who spews anti-white rhetoric from his pulpits and runs over his wife and his car.
[54:04.100 --> 54:07.100]  And Herschel Walker, one of them American hero.
[54:07.100 --> 54:08.100]  Everybody knows Herschel Walker.
[54:08.100 --> 54:10.100]  They love Herschel Walker.
[54:10.100 --> 54:12.100]  And he's down to this guy.
[54:12.100 --> 54:14.100]  I mean, try to figure out Georgia.
[54:14.100 --> 54:21.100]  It's one of the states that we will probably never figure out until they get rid of those Dominion voting machines.
[54:21.100 --> 54:23.100]  Well, I'm not a big fanboy for sports.
[54:23.100 --> 54:24.100]  I like sports.
[54:24.100 --> 54:25.100]  I played sports.
[54:25.100 --> 54:26.100]  I watch it.
[54:26.100 --> 54:28.100]  But as I got older, I spent all my time fighting the globalists.
[54:28.100 --> 54:31.100]  But I've only owned like two football jerseys growing up.
[54:31.100 --> 54:33.100]  Of course, I had a Roger Stahl back when I was a little kid.
[54:33.100 --> 54:34.100]  We go to the games.
[54:34.100 --> 54:35.100]  That's how old I am.
[54:35.100 --> 54:42.100]  And I actually, in junior high, had a Herschel Walker jersey that I would wear because I like Herschel Walker.
[54:42.100 --> 54:44.100]  Such a gentleman, such a great guy.
[54:44.100 --> 54:47.100]  And again, only two people that were owned a jersey.
[54:47.100 --> 54:49.100]  That's Roger Stahl back and Herschel Walker.
[54:49.100 --> 54:50.100]  He would be so great in the Senate.
[54:50.100 --> 54:53.100]  And damn it, we know he's really winning by 20 points.
[54:53.100 --> 54:54.100]  But I have a bad feeling.
[54:54.100 --> 54:59.100]  Unless we have just total massive turnout and everybody watching the polls, that when they have the runoff, they're going to steal it from him.
[54:59.100 --> 55:00.100]  They're just scared of him.
[55:00.100 --> 55:02.100]  He's too all-American.
[55:02.100 --> 55:04.100]  I agree with you.
[55:04.100 --> 55:05.100]  Yeah.
[55:05.100 --> 55:06.100]  So we'll see.
[55:06.100 --> 55:11.100]  Hopefully, hopefully we're wrong here, but at least they let Herschel get to the runoff.
[55:11.100 --> 55:13.100]  But it's unbelievable.
[55:13.100 --> 55:15.100]  There's no way this Marxist is ahead.
[55:15.100 --> 55:18.100]  Georgia didn't go from a Trump state by six points.
[55:18.100 --> 55:25.100]  And then six years later, go to electing Marxist, re-electing Marxist into the U.S. Senate.
[55:25.100 --> 55:26.100]  It didn't happen.
[55:26.100 --> 55:27.100]  It doesn't happen.
[55:27.100 --> 55:29.100]  Well, things like that never happen in politics.
[55:29.100 --> 55:30.100]  That's right.
[55:30.100 --> 55:35.100]  I'm going to be watching Gateway Pundit very closely and, of course, infowars.com and some of the other great sites.
[55:35.100 --> 55:39.100]  But there's not many out there as big or as informative as you.
[55:39.100 --> 55:43.100]  And so we salute you and just look forward to having you on again very soon.
[55:43.100 --> 55:44.100]  God bless.
[55:44.100 --> 55:45.100]  Thanks so much.
[55:45.100 --> 55:46.100]  God bless.
[55:46.100 --> 55:47.100]  All right.
