[00:00:41.343 --> 00:00:43.825]  I rarely get goosebumps.
[00:03:28.751 --> 00:03:30.292]  Said, well, we need to put you in the emergency room.
[00:03:31.479 --> 00:03:38.741]  And then they were doing a procedure intubating him while he was awake, shoving tubes into his lungs.
[00:03:38.741 --> 00:03:40.702]  And they said the procedure killed him.
[00:03:40.702 --> 00:03:50.985]  It actually says he died of a heart attack while having them shove tubes into his lungs.
[00:03:50.985 --> 00:03:54.006]  Guess he didn't like it too much when they turned on the pressure.
[00:03:54.006 --> 00:03:55.507]  They say it's excruciating torture.
[00:03:56.425 --> 00:04:00.307]  You're having an autoimmune response and they pump your lungs up full of air.
[00:04:00.307 --> 00:04:02.608]  We've known day one, 11 months, don't do it.
[00:04:02.608 --> 00:04:06.410]  But they did it and he's dead.
[00:04:06.410 --> 00:04:10.712]  Deader than a box of hammers.
[00:04:10.712 --> 00:04:18.115]  But when you see the headlines, oh, he died of COVID and the left celebrated it.
[00:04:18.115 --> 00:04:19.796]  Oh, he's a Republican.
[00:04:19.796 --> 00:04:21.376]  Oh, he deserves it.
[00:04:21.376 --> 00:04:24.218]  Oh, but you see, we already have the CDC's own numbers.
[00:04:25.222 --> 00:04:25.882]  Year to date?
[00:04:25.882 --> 00:04:27.563]  The year's almost over.
[00:04:27.563 --> 00:04:32.026]  Right at about the same amount of deaths we had in 2019, we've had in 2020.
[00:04:32.026 --> 00:04:41.771]  The facts don't lie, but oh, what happened to Epstein's jailmate that got moved the day before he was killed?
[00:04:41.771 --> 00:04:44.552]  He got his neck broken, reportedly, like Epstein.
[00:04:44.552 --> 00:04:46.053]  But they said he died of COVID.
[00:04:48.385 --> 00:04:50.047]  You know, Kennedy died of COVID.
[00:04:50.047 --> 00:04:52.069]  He didn't get his head blown off or anything.
[00:04:52.069 --> 00:04:53.790]  So that's all coming up.
[00:04:53.790 --> 00:04:54.651]  Died in a car wreck?
[00:04:54.651 --> 00:04:55.452]  COVID.
[00:04:55.452 --> 00:04:56.693]  Died in a motorcycle accident?
[00:04:56.693 --> 00:04:58.895]  COVID.
[00:04:58.895 --> 00:05:03.600]  Fight for Trump on January 6th in Washington, D.C.
[00:05:03.600 --> 00:05:10.446]  Our fight to drain the Washington swamp and reclaim America's destiny has just begun.
[00:05:10.446 --> 00:05:10.947]  It's 1776 time!
[00:05:14.952 --> 00:05:22.901]  On November 14th, hundreds of thousands of American patriots gathered in the nation's capital to stop the biggest election steal in American history.
[00:05:22.901 --> 00:05:25.764]  America is going under leftist martial law!
[00:05:25.764 --> 00:05:28.046]  And the communist Chinese agent, Joe Biden,
[00:05:28.780 --> 00:05:33.583]  We will never give in, we will never give up, and we will never back down.
[00:05:33.583 --> 00:05:37.026]  We will never, ever surrender.
[00:06:03.519 --> 00:06:09.502]  When I grow up, I want to see Bill Gates put in prison.
[00:06:09.502 --> 00:06:14.165]  We now take you live to the front lines of the fight for the human future.
[00:06:14.165 --> 00:06:15.366]  It is December 30th.
[00:06:15.366 --> 00:06:23.390]  The year is 2020 and we are 21 days out from the inauguration of the Chinese Communist agent.
[00:06:23.390 --> 00:06:24.831]  I am Alex Jones, your host.
[00:06:28.476 --> 00:06:34.917]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:06:34.917 --> 00:06:39.758]  You're listening to Alex Jones.
[00:06:39.758 --> 00:06:44.679]  You know, as negative as things seem, I gotta get my Ric Flair on and say, whoo!
[00:06:44.679 --> 00:06:51.861]  Because if you look back 20 years ago, 10 years ago, a year ago, the world is white-hot awake to the new world order right now.
[00:06:51.861 --> 00:06:56.662]  And they've been forced to try to steal this election in front of God and the whole world.
[00:06:58.550 --> 00:07:09.056]  And just everything they do is turning to pure crap as they try to wreck the economy, as they put us under siege, as everything they do gets exposed, they're a bunch of criminals.
[00:07:09.056 --> 00:07:14.880]  And so humanity is not going down without an explosive fight.
[00:07:14.880 --> 00:07:19.723]  And humanity is fighting back and the New World Order is in a absolute panic.
[00:07:20.891 --> 00:07:29.457]  Okay, we've got that New York nurse that first came on and showed how they are intubating people that are totally healthy and do not have COVID-19 and killing them.
[00:07:29.457 --> 00:07:34.161]  She's gonna pop back in today, big whistleblower, because this is in the news.
[00:07:34.161 --> 00:07:42.147]  Congressman-elect Luke Letlow suffered a heart attack following operation.
[00:07:42.147 --> 00:07:47.831]  They were doing, they were intubating him and a bunch of other stuff, and they say he died of a heart attack, not of COVID.
[00:07:49.701 --> 00:07:54.324]  Well, that's exactly what this nurse and many medical doctors have said is going on.
[00:07:54.324 --> 00:07:57.706]  But when you read the rest of the news, that's the New York Post.
[00:07:57.706 --> 00:08:07.293]  Fox reporter backpedals his mocking a Republican representative-elect from COVID after Twitter beatdown.
[00:08:07.293 --> 00:08:08.714]  But he didn't die of COVID.
[00:08:08.714 --> 00:08:16.239]  They say he died of a heart attack from the procedures they were doing to his lungs, lungs, lungs, lungs, lungs.
[00:08:20.265 --> 00:08:24.946]  Simply amazing.
[00:08:24.946 --> 00:08:30.347]  We're gonna be going through all of the latest COVID information today.
[00:08:30.347 --> 00:08:43.790]  Also, we have Joe Hoft, the analyst, the corporate fraud auditor, with a lot of big new developments on the election fraud front popping in.
[00:08:43.790 --> 00:08:47.231]  And we also have a very interesting analyst,
[00:08:48.562 --> 00:08:54.728]  And former world champion, Bare Knuckles boxer, Andrew Tate of CobraTate.com joining us.
[00:08:54.728 --> 00:08:56.909]  He lives in Eastern Europe.
[00:08:56.909 --> 00:09:05.217]  He can give you a breakdown on the Islamic ongoing invasion, the UN lockdowns, how Eastern European countries are resisting in some cases, submitting in others.
[00:09:05.217 --> 00:09:10.982]  That should be a very informative talk as well.
[00:09:10.982 --> 00:09:14.965]  Trump said three days ago, I'm going to sign the bill because they've promised
[00:09:15.816 --> 00:09:18.118]  To go back and vote on $2,000 per person, $4,000 per family.
[00:09:46.561 --> 00:10:00.807]  Instead of giving all the money to foreign countries and dictators and corrupt institutions and gender studies in Africa, teaching African men how to be women, literally, shouldn't it just be direct payments to kickstart the economy?
[00:10:00.807 --> 00:10:06.550]  Because the whole point of the globalists is to shut down the economy, to bankrupt Main Street, to bankrupt the middle class.
[00:10:06.550 --> 00:10:07.210]  That's on record.
[00:10:07.210 --> 00:10:08.431]  That's the Great Reset.
[00:10:08.431 --> 00:10:10.712]  That's the New World Order.
[00:10:10.712 --> 00:10:13.573]  So Trump is trying to directly fight that.
[00:10:13.573 --> 00:10:16.014]  But I mean, what, the last stimulus money was six months ago?
[00:10:17.910 --> 00:10:20.232]  Well, it was $2,000.
[00:10:20.232 --> 00:10:22.955]  Now it's $2,000 again.
[00:10:22.955 --> 00:10:27.159]  Even if Mitch McConnell could get the bill through, it is a lesser of two evils.
[00:10:27.159 --> 00:10:35.588]  It would be much better to end the lockdowns, to end the shutdown, and get the talking point out that Communist China is bragging.
[00:10:36.735 --> 00:10:42.419]  We played the clip, so Senator Carlson, on national TV that, haha, the Americans will not even exist soon.
[00:10:42.419 --> 00:10:43.919]  America will be dead.
[00:10:43.919 --> 00:10:45.160]  These are quotes.
[00:10:45.160 --> 00:10:46.881]  We control their higher circles.
[00:10:46.881 --> 00:10:49.223]  They will never reopen again.
[00:10:49.223 --> 00:10:50.504]  We did right with COVID.
[00:10:50.504 --> 00:10:51.224]  They didn't.
[00:10:51.224 --> 00:10:54.406]  Of course, they just did a fake lockdown and were never really closed.
[00:10:54.406 --> 00:10:57.328]  And now, because they did bad, they have all the cases.
[00:10:57.328 --> 00:10:59.029]  They've stopped the PCR test.
[00:11:02.458 --> 00:11:09.645]  Here, if three people take the test, sometimes they make businesses, make people, some of them, take it three times a day.
[00:11:09.645 --> 00:11:12.768]  I mean, three times a week.
[00:11:12.768 --> 00:11:14.369]  We had a D.C.
[00:11:14.369 --> 00:11:18.693]  cop and we had some Maryland cops as security last time we were in D.C.
[00:11:18.693 --> 00:11:22.257]  And I went out to dinner with a few of them because I wanted to pick their brains.
[00:11:22.257 --> 00:11:25.240]  And they said, listen, we do auxiliary work for the Secret Service.
[00:11:26.377 --> 00:11:38.249]  And when we work for the Feds, every time we go in for a shift, they do a PCR test in a little automatic machine like Joe Rogan had me do for his show.
[00:11:38.249 --> 00:11:47.499]  And when somebody does test positive, they keep testing them and they count it as a COVID each time, even though they admit, no, you really don't have COVID.
[00:11:48.848 --> 00:11:55.849]  But that's put into a database of all these COVID numbers, and now they just count everyone that dies of something else as COVID.
[00:11:55.849 --> 00:11:58.210]  And we all know that.
[00:11:58.210 --> 00:12:08.332]  But at the minute I saw that this congressman had, quote, died of COVID, I said, I bet when I read deeper, there'll be a footnote that he died of something else.
[00:12:08.332 --> 00:12:13.393]  And sure, as the sun came up, he died of a heart attack.
[00:12:13.393 --> 00:12:17.414]  It's like, the head Palestinian negotiator died of COVID.
[00:12:18.595 --> 00:12:26.603]  And it said two years ago, he got a risky double lung transplant because of lung cancer.
[00:12:26.603 --> 00:12:31.387]  He also had liver cancer and had been in a coma.
[00:12:31.387 --> 00:12:33.930]  He died in Israel of COVID.
[00:12:39.650 --> 00:12:55.883]  But as soon as I saw CNN, you know, oh, the head Palestinian died, and then I read, not even CNN, I had to read other places, oh, that he had had a double lung transplant years ago and had been in a coma and had cancer?
[00:12:55.883 --> 00:13:00.407]  So basically, if you get hit by a car, if you get eaten by a shark,
[00:13:01.499 --> 00:13:06.082]  If you die of cancer, if you die of pneumonia, if you die of the flu, you are COVID.
[00:13:06.082 --> 00:13:09.023]  And every winter, they'll say, oh, COVID is up.
[00:13:09.023 --> 00:13:10.224]  We've got a lockdown again.
[00:13:10.224 --> 00:13:11.885]  And notice, all the lockdowns don't work.
[00:13:11.885 --> 00:13:12.966]  It only gets worse.
[00:13:12.966 --> 00:13:18.189]  Because what does Cuomo and what does Newsom and what does all of them say?
[00:13:18.189 --> 00:13:20.570]  Testing, testing, testing, testing.
[00:13:20.570 --> 00:13:23.132]  Ventilators, ventilators, ventilators, ventilators.
[00:13:23.132 --> 00:13:26.494]  Get a bunch of people that aren't sick, put them on ventilators, kill them.
[00:13:26.494 --> 00:13:26.754]  Get your $53,000.
[00:13:26.754 --> 00:13:27.134]  Hype up the fear.
[00:13:31.621 --> 00:13:34.422]  It's simply incredible.
[00:13:34.422 --> 00:13:39.123]  So I want to ask you, what do you think Trump should do with 21 days out?
[00:13:39.123 --> 00:13:44.645]  Do you think he's going to be at the big giant march on Wednesday?
[00:13:44.645 --> 00:13:47.225]  Gee, I don't know.
[00:13:47.225 --> 00:13:52.747]  I don't even know what time he's speaking on Wednesday, but I'm going to let the president announce that.
[00:13:52.747 --> 00:13:57.508]  And the word is he should be making an announcement this afternoon.
[00:13:57.508 --> 00:13:59.329]  But he said, please come to DC.
[00:13:59.329 --> 00:14:00.129]  It's going to be wild.
[00:14:02.498 --> 00:14:17.509]  And we need millions and millions of people there when the Congress is set to have senatorial debate on not accepting these electors from Wisconsin, Michigan, Pennsylvania, Georgia, Arizona, Nevada, where now
[00:14:18.717 --> 00:14:21.298]  People just become kind of numb to it.
[00:14:21.298 --> 00:14:22.579]  The evidence of fraud.
[00:14:22.579 --> 00:14:24.640]  They had total evidence a month ago.
[00:14:24.640 --> 00:14:27.041]  Complete over-the-top evidence two weeks ago.
[00:14:27.041 --> 00:14:31.344]  And now, it's just videos of people stuffing ballot boxes.
[00:14:31.344 --> 00:14:33.925]  Videos of people running the same stack of ballots over and over again.
[00:14:33.925 --> 00:14:38.507]  Videos of them kicking everybody out and covering up the windows and then engaging in the fraud.
[00:14:38.507 --> 00:14:39.748]  Michigan, you name it.
[00:14:39.748 --> 00:14:40.308]  Pennsylvania, Georgia.
[00:14:44.434 --> 00:14:50.276]  Democrat judges trying to block signature checks when they're found.
[00:14:50.276 --> 00:14:52.637]  They're getting ready to steal Georgia with both the Senate seats.
[00:14:52.637 --> 00:14:57.318]  I mean, this is absolutely out of control and crazy.
[00:14:57.318 --> 00:15:00.960]  I think Trump should be at the Resolute Desk every night exposing this and fighting this.
[00:15:00.960 --> 00:15:05.581]  I guess he wants to build up the crescendo so when he does speak, people really listen.
[00:15:05.581 --> 00:15:06.701]  I don't think that's the strategy.
[00:15:06.701 --> 00:15:08.102]  We're running out of time.
[00:15:09.906 --> 00:15:11.027]  What do you think you should do?
[00:15:11.027 --> 00:15:22.755]  And what are you going to do when they try to intimidate you to take these deadly vaccines, which they now admit, Pfizer, Moderna, they all came out and said quietly, by the way, this won't even protect you from COVID.
[00:15:22.755 --> 00:15:24.236]  It won't protect you from mutations.
[00:15:24.236 --> 00:15:28.479]  And you'll have to get five of them a year and you'll still be able to spread it.
[00:15:29.403 --> 00:15:38.547]  Now the head of the WHO, the head vaccine program, she said that yesterday, and now nurses that took the shot two weeks ago are going, they say I've got COVID now!
[00:15:38.547 --> 00:15:42.889]  Of course the vaccine made you test positive, Dumbo!
[00:15:42.889 --> 00:15:45.090]  Why do you think they're testing positive for HIV?
[00:15:45.090 --> 00:15:49.491]  I mean, this is such an evil rollout.
[00:15:49.491 --> 00:15:55.514]  We'll open the phones up, we'll get the number out when we come back, and I'll explain the methodology behind what's happening, why this is so obvious.
[00:15:57.478 --> 00:16:02.021]  Introducing InfoWars Life Pure Turmeric Extract.
[00:16:02.021 --> 00:16:04.563]  This is taken under the tongue.
[00:16:04.563 --> 00:16:06.764]  It is pure turmeric.
[00:16:06.764 --> 00:16:15.970]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[00:16:15.970 --> 00:16:21.813]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[00:16:21.813 --> 00:16:23.955]  So it's more of an intense delivery system.
[00:16:24.415 --> 00:16:27.656]  The two formulas are different, but both are concentrates.
[00:16:27.656 --> 00:16:29.496]  And our first product got rave reviews.
[00:16:29.496 --> 00:16:31.596]  We've now been testing this out for several months.
[00:16:31.596 --> 00:16:33.797]  Some of our staff like it more than bodies.
[00:16:33.797 --> 00:16:35.157]  Some like bodies better.
[00:16:35.157 --> 00:16:39.278]  For me, they're both amazing for their anti-inflammatory action and so much more.
[00:16:39.278 --> 00:16:40.478]  And they fund the InfoWare.
[00:16:40.478 --> 00:16:45.079]  So get our new Liquid Timeric Extract exclusively at InfoWareStore.com today.
[00:16:45.079 --> 00:16:45.839]  An additional 25% off.
[00:16:45.839 --> 00:16:46.339]  This is a 360 win.
[00:16:49.600 --> 00:16:54.682]  Turmeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[00:16:54.682 --> 00:16:57.683]  Get yours today at InfoWarsLife.com.
[00:16:57.683 --> 00:16:59.364]  Mountain Patriot in Colorado.
[00:16:59.364 --> 00:17:00.784]  Thank you for holding.
[00:17:00.784 --> 00:17:02.265]  How you doing, Alex?
[00:17:02.265 --> 00:17:03.686]  Man, I'm just working as hard as I can.
[00:17:03.686 --> 00:17:04.926]  We're in such a critical time, brother.
[00:17:04.926 --> 00:17:05.666]  How are you?
[00:17:05.666 --> 00:17:06.447]  I love you, man.
[00:17:06.447 --> 00:17:08.768]  I want to make a quick plug.
[00:17:08.768 --> 00:17:10.648]  That DNA Force, I love it.
[00:17:10.648 --> 00:17:17.271]  I've been using it quite a while, and I just went, looked at the ingredients again the other day, and I see that it contains quercetin,
[00:17:18.200 --> 00:17:27.138]  Which according to some published studies that Dr. Merkula has cited is an ionophore similar to hydroxychloroquine.
[00:17:27.757 --> 00:17:33.159]  And it helped channel the zinc into the cells, so people might want to take a look at that.
[00:17:33.159 --> 00:17:46.665]  All I know is with DNA Force, we went out and looked at these high-end products that they sell through doctor clinics that aren't prescription, but the doctor sells like 300 bucks a bottle, because there's a lot of expensive products and it's really only cost them like 50 bucks.
[00:17:46.665 --> 00:17:51.367]  And so we basically cloned two different top brands together, and that's what produced this.
[00:17:51.367 --> 00:17:52.828]  So thanks for the plug.
[00:18:00.419 --> 00:18:15.928]  You're listening to the Alex Jones Show!
[00:18:15.928 --> 00:18:23.292]  I can tell you, my friends, this January 6th, in D.C., has got the establishment scared.
[00:18:25.077 --> 00:18:28.999]  They've had the CIA, the FBI following me around for over a month.
[00:18:28.999 --> 00:18:30.180]  They've been following other people around.
[00:18:30.180 --> 00:18:32.060]  They've had people reach out to us.
[00:18:32.060 --> 00:18:36.483]  They've come and visited us and just said, please be careful in D.C.
[00:18:36.483 --> 00:18:37.683]  Please be careful at these rallies.
[00:18:37.683 --> 00:18:40.104]  Please don't incite anyone.
[00:18:40.104 --> 00:18:41.325]  Please, it's so dangerous.
[00:18:41.325 --> 00:18:43.326]  We're so concerned.
[00:18:43.326 --> 00:18:47.188]  They had a big ABC Nightly News anchor.
[00:18:47.188 --> 00:18:47.728]  I'll leave it at that.
[00:18:47.728 --> 00:18:48.869]  It's like one of their big people.
[00:18:50.014 --> 00:18:51.395]  Call me up and say, we're so scared.
[00:18:51.395 --> 00:18:52.275]  You're not planning anything.
[00:18:52.275 --> 00:18:54.556]  And I always say to them, you know, that's funny.
[00:18:54.556 --> 00:19:03.339]  Antifa is the one that burned down all those police stations and public housing and shot people in the head and ran checkpoints and did all that terrible stuff.
[00:19:03.339 --> 00:19:05.239]  And BLM that got $10.6 billion.
[00:19:05.239 --> 00:19:12.142]  And it's been the left calling for all this violence and the overthrow of the government and no borders, no walls, no USA at all.
[00:19:12.142 --> 00:19:15.143]  It's the UN building refugee centers, then hammering our borders.
[00:19:16.994 --> 00:19:24.276]  It's Hollywood saying they wanted to bankrupt the economy and basically use COVID to drive Trump for power.
[00:19:24.276 --> 00:19:31.379]  And so past activity is always the best indicator of future activity.
[00:19:31.379 --> 00:19:34.740]  And so no, we're not planning to come to DC to overrun the Capitol.
[00:19:36.254 --> 00:19:37.834]  We're not planning to go to D.C.
[00:19:37.834 --> 00:19:40.555]  to shoot anybody or bomb anything.
[00:19:40.555 --> 00:19:41.656]  That's the last thing we want.
[00:19:41.656 --> 00:19:46.817]  We're there to show the numbers that Joe Biden can't get 1,000 people out or 100 people out.
[00:19:46.817 --> 00:19:53.279]  And everywhere Trump goes, he can get 20,000, 50,000, 100,000 or 5 million.
[00:19:53.279 --> 00:19:54.280]  We're voting with our feet.
[00:19:54.280 --> 00:19:57.921]  The Democrats are closing a bunch of the hotels and saying, oh, you're not allowed in the city.
[00:19:57.921 --> 00:19:58.421]  You know what?
[00:19:58.421 --> 00:20:00.501]  But the illegal aliens are.
[00:20:00.501 --> 00:20:01.562]  We're just not allowed.
[00:20:01.562 --> 00:20:05.323]  I got footage out of San Antonio where our listeners went to the mall.
[00:20:07.076 --> 00:20:10.457]  Didn't wear their mask and got assaulted by police.
[00:20:10.457 --> 00:20:16.500]  But if they were BLM burning the place down, the police would salute them.
[00:20:16.500 --> 00:20:24.143]  Because this is a disgusting political takeover.
[00:20:24.143 --> 00:20:24.984]  That's what this is.
[00:20:24.984 --> 00:20:34.628]  And so, I say this, we're going to DC, there's going to be millions of people there, and anti-fund BLM aren't going to show their little rat faces.
[00:20:34.628 --> 00:20:36.469]  If you are with children,
[00:20:38.001 --> 00:20:43.643]  You don't want to go out unaccompanied at parking garages or at night.
[00:20:43.643 --> 00:20:46.064]  Because there aren't really children or people in D.C.
[00:20:46.064 --> 00:20:46.305]  now.
[00:20:46.305 --> 00:20:48.966]  It's been locked down for months and months and months.
[00:20:48.966 --> 00:20:52.707]  And so, yes, they will attack women and children, but it's only a few cases of it.
[00:20:52.707 --> 00:20:54.448]  And that is if you get off the beaten path.
[00:20:54.448 --> 00:21:03.292]  And if you're wearing a Make America Great Again hat or any type of American flag, that is like a red banner to a bull.
[00:21:04.653 --> 00:21:08.276]  But we will outnumber them a thousand to one.
[00:21:08.276 --> 00:21:17.202]  And the police are under globalist control in D.C., but they are not about to try to start anything with millions of American people.
[00:21:17.202 --> 00:21:20.524]  So all of you should come to D.C.
[00:21:20.524 --> 00:21:21.505]  for this historic event.
[00:21:21.505 --> 00:21:28.450]  This is the same level as July 4, 1776, as we declare independence against the globalists and their operatives.
[00:21:28.450 --> 00:21:31.992]  And believe me, you're going to want to be there on the 5th and the 6th.
[00:21:33.902 --> 00:21:42.988]  And depending on what happens, a lot of people are going to end up just staying in DC and occupying it because Joe Biden is not our president.
[00:21:42.988 --> 00:21:44.069]  Be part of history.
[00:21:44.069 --> 00:21:44.870]  Fight for Trump.
[00:21:44.870 --> 00:21:45.610]  Fight for yourself.
[00:21:45.610 --> 00:21:46.411]  Fight for America.
[00:21:46.411 --> 00:21:50.033]  Fight for voting integrity.
[00:21:50.033 --> 00:21:55.237]  Fight with the First Amendment and with nonviolent action.
[00:21:55.237 --> 00:21:59.380]  Now let's go to the puppet in chief, the so-called president-elect
[00:22:00.390 --> 00:22:03.652]  Joe Biden again says the quiet part aloud.
[00:22:03.652 --> 00:22:05.873]  President-elect Kamala Harris.
[00:22:05.873 --> 00:22:08.734]  Here it is.
[00:22:08.734 --> 00:22:11.976]  I took it to instill public confidence in the vaccine.
[00:22:11.976 --> 00:22:17.299]  President-elect Harris took hers today for the same reason.
[00:22:17.299 --> 00:22:22.641]  And when the president's doctors recommended, President Trump should take it and instill the same degree of confidence.
[00:22:27.864 --> 00:22:34.089]  Here is Joe Biden yesterday saying he's not getting his military briefings as a communist Chinese agent.
[00:22:34.089 --> 00:22:37.191]  With his son going, I work for the head communist Chinese.
[00:22:37.191 --> 00:22:39.493]  Me and my dad are under criminal investigation.
[00:22:39.493 --> 00:22:40.874]  We get billions from them.
[00:22:40.874 --> 00:22:42.735]  I'm scared.
[00:22:42.735 --> 00:22:45.357]  But Bill Barr says no problem.
[00:22:45.357 --> 00:22:49.720]  And now Jeffrey Epstein's cellmate was found with his neck broken in his apartment.
[00:22:49.720 --> 00:22:50.881]  He died of COVID.
[00:22:50.881 --> 00:22:55.644]  Just like this congressman they killed with innovation with a heart attack.
[00:22:55.644 --> 00:22:56.145]  Died of COVID.
[00:22:57.790 --> 00:23:04.953]  Next they're going to say Jesus died of COVID, not of being crucified and bayoneted in the side.
[00:23:04.953 --> 00:23:13.097]  Let's go ahead and go to Joe Biden, whining that as a Chinese communist agent, he hasn't been given the keys to the nukes yet to give the CHICOMS.
[00:23:13.097 --> 00:23:14.677]  Here it is.
[00:23:14.677 --> 00:23:23.241]  And right now, as our nation is in a period of transition, we need to make sure that nothing is lost in the handoff between administrations.
[00:23:24.656 --> 00:23:32.019]  My team needs a clear picture of our force posture around the world and our operations to deter our enemies.
[00:23:32.019 --> 00:23:44.404]  We need full visibility into the budget planning underway at the Defense Department and other agencies in order to avoid any window of confusion or catch-up that our adversaries may try to exploit.
[00:23:44.404 --> 00:23:45.344]  Our adversaries?
[00:23:45.344 --> 00:23:54.348]  As I said from the beginning, we have encountered roadblocks from the political leadership at the Department of Defense and the Office of Management and Budget.
[00:23:55.356 --> 00:24:06.138]  Right now, we just aren't getting all the information that we need from the outgoing administration in key national security areas.
[00:24:06.138 --> 00:24:09.539]  It's nothing short, in my view, of irresponsibility.
[00:24:09.539 --> 00:24:10.659]  Irresponsibility?
[00:24:10.659 --> 00:24:23.002]  You're the ones that had a shadow government and shadow diplomacy with you and John Kerry and Obama, following Trump around the world, telling world leaders don't listen to him, he'll be gone soon, your previous two attempts.
[00:24:23.002 --> 00:24:23.582]  You're the ones.
[00:24:25.011 --> 00:24:26.753]  That tried to keep him from even getting an office.
[00:24:26.753 --> 00:24:31.557]  You're the ones that had the bureaucracy not do what the President said!
[00:24:31.557 --> 00:24:32.718]  Unbelievable.
[00:24:32.718 --> 00:24:33.759]  Let's go to this next clip.
[00:24:33.759 --> 00:24:41.146]  This is Australian Senator Jim Malone, former Major General on Communist China.
[00:24:41.146 --> 00:24:45.670]  Cutting-edge night vision helmets soon to be distributed to more than 5,000 ADF personnel.
[00:24:49.170 --> 00:24:56.395]  It's part of the Morrison Government's record $270 billion investment in defence capability over the next decade.
[00:24:56.395 --> 00:24:59.757]  The ADF has never been better than it is now.
[00:24:59.757 --> 00:25:02.358]  And according to some, there's a reason for that.
[00:25:02.358 --> 00:25:11.604]  We are likely in the next three to five years, or in the next five to ten years, to be involved in a war between China and the United States.
[00:25:11.724 --> 00:25:20.135]  Former Major General and Liberal Senator Jim Molan says Australia must develop a national security strategy to prepare for war.
[00:25:20.135 --> 00:25:24.361]  A war is more likely now than it's been probably for 75 years.
[00:25:24.361 --> 00:25:26.343]  And security experts agree.
[00:25:26.343 --> 00:25:29.848]  It's certainly a much higher risk than we've seen for a long, long time.
[00:25:30.208 --> 00:25:36.872]  There are also concerns that the United States, our most powerful ally, is not at its greatest military capacity.
[00:25:36.872 --> 00:25:41.634]  In 1991, the US Navy was 600 warships strong.
[00:25:41.634 --> 00:25:43.035]  Now, it's less than 300.
[00:25:43.035 --> 00:25:45.857]  There's limits even to what the Americans can actually do.
[00:25:46.388 --> 00:25:51.772]  Labor says speculating about war is only making a bad situation with China worse.
[00:25:51.772 --> 00:25:56.015]  What we need now is a calm and strategic approach from Scott Morrison.
