[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[05:00.000 --> 05:08.000]  The system is satanic. The system is vampiric.
[05:08.000 --> 05:15.000]  Why is the fungus? Why is the mold? Why is the yeast taking over? What is going on? What has changed?
[05:15.000 --> 05:23.000]  Dr. Group, the new product, Myco ZX, supports normal fungal and yeast balance proprietary blend of herbs and enzymes made with high quality ingredients.
[05:23.000 --> 05:30.000]  Yeah, fungus is a growing epidemic and I've been testing this formula and making changes to this formula for over 10 years.
[05:30.000 --> 05:38.000]  It's available at infowarsstore.com. We also have free shipping. Order $50 or more and 10% off. You can sign up for auto-ship additionally on top of that.
[05:38.000 --> 05:42.000]  Please, we only have a limited supply of this. I want to get your reviews. I want to hear what you have to say.
[05:42.000 --> 05:49.000]  For me, it's been incredible. Myco ZX, antifungal, antifungus, anti-yeast, get it today.
[05:49.000 --> 06:00.000]  Limit it around. It will be months until we get more. Infowarsstore.com and ForwardsLife.com are triple A, 2, 5, 3, 3, 1, 3, 9. I cannot sell something unless it helps somebody.
[06:00.000 --> 06:05.000]  And you can't support an organization that didn't fight harder. Look at the response we're getting. Whoever changed the world together.
[06:05.000 --> 06:08.000]  You are the Infowar. God bless you all.
[06:08.000 --> 06:13.000]  As most of you already know, I am a voracious consumer of news and information.
[06:13.000 --> 06:26.000]  And in the last four or five years doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[06:26.000 --> 06:32.000]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[06:32.000 --> 06:46.000]  And so I set out to develop Caveman, but to not just have concentrated bone broth from chicken, but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[06:46.000 --> 06:56.000]  Infowars isn't just fighting the globalist. We're getting results and we're expanding in the face of the complete media assault and winning because of your support.
[06:56.000 --> 07:08.000]  Caveman is finally back at the Infowar Store. You can get 25% off the regular price for a limited time only at infowarslife.com, or by calling toll-free, AAA-253-3139.
[07:27.000 --> 07:32.000]  Uncented body wash, tea tree shampoo, and long-lasting natural deodorant.
[07:32.000 --> 07:36.000]  Emmerich's Essentials is free of chemicals and toxins that may harm your body.
[07:36.000 --> 07:42.000]  We carefully select pure and simple ingredients to create formulas that are certified USDA made with organic.
[07:42.000 --> 07:47.000]  Our mission is to offer you everyday organic household products to enhance your life.
[07:47.000 --> 07:59.000]  Truly feel the difference by going organic natural without compromising on quality. Feel good about using Emmerich's Essentials. Start saving money and stop exposing yourself and your family to toxic ingredients.
[07:59.000 --> 08:18.000]  Visit infowarsstore.com and learn more about the new Emmerich Essentials line of organic products. That's infowarsstore.com.
[08:29.000 --> 08:35.000]  Live from the Infowars.com Studios, it's Alex Jones.
[09:00.000 --> 09:07.000]  I just wanted to come in because obviously these are such incredible times, the good, the bad, and the ugly.
[09:07.000 --> 09:24.000]  But right now, I want to, before I get into North Korea and China and Russia and the economy and the SWAT team raids on Trump campaign people and just all the rest of it.
[09:24.000 --> 09:35.000]  And this big story that's on infowars.com, it's also on drugsreport.com, black sky event, feds preparing for widespread power outages across the U.S.
[09:35.000 --> 09:45.000]  They're preparing for nuclear war. Trump is not doing the old ducking cover to scare you, which statistically would get you politically in line behind him.
[09:45.000 --> 10:05.000]  He is not doing that, but he is making preparations. So it's a very serious situation. But before I get to that, I have several hundred news articles in front of me and each one of them is more insane than the next.
[10:05.000 --> 10:16.000]  It's like when I was on coast to coast AM last night on 600 radio stations, the second biggest radio show in the world, 10 million listeners a night.
[10:16.000 --> 10:23.000]  And George Norrie asked me, he said, What happened with you and Trump? What goes on behind the scenes?
[10:23.000 --> 10:36.000]  And I went ahead and just said it. And it was so fantastical that this morning I was thinking about it and I was just like, that's not even real.
[10:36.000 --> 10:52.000]  And we just put this stuff out there and it's like, do people understand we've seized control of the government, at least partially, and are defeating the globalist right now?
[10:52.000 --> 11:08.000]  They asked, how was Trump introduced to you? Trump didn't even know who I was. And patriots in the government heard what I said, looked into what I was documenting and others were going back to bury goldwater.
[11:08.000 --> 11:19.000]  But I was doing it with a modern megaphone and they decided to counter the globalists. It's kind of like six months ago, I went, you know, I've not been anti-Israel.
[11:19.000 --> 11:34.000]  But if Israel doesn't come out against George Soros, who in the WikiLeaks wants to overthrow Israel and supports Islamic jihad and bombing Jews, then I'm against Israel because Israel is against itself.
[11:34.000 --> 11:42.000]  And then Israel, I'm not saying I did this, just that it was the timing, Israel came out and said George Soros is an enemy of Israel.
[11:42.000 --> 12:01.000]  It's like, all we're doing is covering common sense stuff here. And these labels that we hear out there don't actually fit into the reality of what's going on or how complex things are.
[12:01.000 --> 12:21.000]  El Cid is the King Arthur of Spain. Roland Deshaigne is the King Arthur of, well, the archetypal person of France. Everybody will think, oh, that's the Dark Tower, that's Stephen King.
[12:21.000 --> 12:34.000]  No, that's Stephen King took the mythos of France and made a character, the gunslayer, who's fighting Satan and then turns it into a character.
[12:34.000 --> 12:52.000]  But every culture has its ethos, has its leader, has its warrior, has its priest, like Shaka Zulu and South Africa and the Zulus, named Shaka Zulu.
[12:52.000 --> 13:05.000]  They named the tribe after the strongest, smartest man.
[13:05.000 --> 13:28.000]  And I think about El Cid, that was the Arab name for him. When Spain was a Germanic country, it had six different kingdoms in it.
[13:28.000 --> 13:37.000]  And then it was overrun by North African Muslims and every town they took over, took them 500 years to take most of Spain.
[13:37.000 --> 13:52.000]  They couldn't take Catalonia, they didn't take the Moors, the mountains, but they took almost the entire country and they killed every man above the age of 13.
[13:52.000 --> 13:59.000]  And the Moors, of course, ran galleys, slave galleys, and they ran slave women, that was what they sold.
[13:59.000 --> 14:21.000]  And they sold the women all over the world, as far east as what is Indonesia today, they loaded women on ships and trans shipped them across the Gulf into the Indian Ocean, into the South China Sea.
[14:21.000 --> 14:39.000]  I mean, this is history. Muslims had ships all the way as far out 200 years ago as Hawaii, trying to take Hawaii.
[14:39.000 --> 14:58.000]  And that's why most of the Pacific is Muslim. In fact, it wasn't until about 500, 600 years ago that the desperate Polynesians started breeding their men to be bigger and more warlike just to stave off the Muslims.
[14:58.000 --> 15:04.000]  And I'm not attacking Muslims, they're attacking me.
[15:04.000 --> 15:11.000]  You know, we have the term La Reconquista, the Ford Foundation, the CIA uses for Mexico, saying, oh, reconquer the Southwest, take it over, whatever.
[15:11.000 --> 15:30.000]  But the real La Reconquista took 300 years and it took French Norman and it took Germanics and it took all these groups to come into Spain and fight town by town,
[15:30.000 --> 15:41.000]  to drive the Muslims out.
[15:41.000 --> 15:57.000]  And I'm not bashing the Muslims, but if you go to North Africa after our government liberated Libya, who was a progressive, true progressive, women going to college, not wearing burqas, you know,
[15:57.000 --> 16:02.000]  they now sell women. This is like International Business Times Associated Press on slave blocks.
[16:02.000 --> 16:09.000]  I mean, women are slaves in North Africa. And this is what George Soros wants.
[16:09.000 --> 16:23.000]  And then there's video of Spain because Italy finally cut off because it was thousands a day, these 100 foot and 60 foot Zodiac rubber boats that George Soros has spent $2 billion on.
[16:23.000 --> 16:32.000]  And he gets taxpayer money from the EU, and they always show like a little baby. It's like 90%, I mean, I say 90%, it's like 100% men.
[16:32.000 --> 16:38.000]  You see these videos, the actual videos, there's like no women, no children, but they always do these PR stage deals.
[16:38.000 --> 16:52.000]  They show one woman and one baby out of North Africa, but you understand, they're advertising with these 100 foot boats, these Zodiacs that pull up and then the military aged men get on.
[16:52.000 --> 16:59.000]  And they drive up on the beach in Spain and they go to town.
[16:59.000 --> 17:12.000]  And some of them are real people fleeing. The point is, though, they're fleeing a culture that our government destabilized and blew up and destroyed in Tunisia and Libya and Egypt.
[17:12.000 --> 17:21.000]  Egypt got back in control. And so it's been done by design. It's a plan. It's an admitted plan.
[17:21.000 --> 17:30.000]  And then they flood 10 million. I kept saying from numbers I'd read, 5 million in the last four years.
[17:30.000 --> 17:49.000]  The UN came out two months ago and said, no, it is 10 million people, 81% military aged men, because women in North Africa, ladies and gentlemen, are kept as lower than a donkey.
[17:49.000 --> 18:04.000]  I mean, women are kept in chains. Women are used like animals. Most areas of Africa aren't like that. I mean, it's a fact. It's like Nazis killed people and did bad stuff.
[18:04.000 --> 18:14.000]  Muslims in Africa are like demons. I mean, let's just admit this.
[18:14.000 --> 18:28.000]  You look at Western culture, women run my life. My whole life is red carpets for women. Women are God. You go to Muslim countries and women are dirt.
[18:28.000 --> 18:35.000]  And I will not sit here and play games with this anymore.
[18:35.000 --> 18:46.000]  I will not sit here and watch these videos in Spain, as they say in Spanish, run, run. And a Zodiac brand nude pulls up with nothing but men dumping off.
[18:46.000 --> 18:55.000]  And then you turn on our news, they'll show the one baby every month or something. They even stage like a dead baby on the beach. They got caught doing that.
[18:55.000 --> 19:16.000]  I mean, our elites, skip this break. I know I said I would not do it. Our elites, so-called elites, they own factories in China where people work 18 hours a day till their fingers bleed.
[19:16.000 --> 19:29.000]  And they have suicide nets in the hallways, in the stairwells, and on the tops of the buildings. And they force drug people with addictive, high-tech synthetic drugs.
[19:29.000 --> 19:33.000]  They're completely whacked out of their minds. And why do I bring that up?
[19:33.000 --> 19:51.000]  Our liberal elite are allied with China that has a billion, 300 million people, a billion of them living on like a dollar a week, basically. And our elites would treat us just like that in a second.
[19:51.000 --> 19:59.000]  They're not bringing in North Africans. And they're not bringing in people from the Middle East because they want to make their world a better place.
[19:59.000 --> 20:12.000]  If we were doing real programs to go there and bring culture and wells and funding and solar power like Gaddafi was doing, I don't want to sit here and say Gaddafi was an angel compared to our elites.
[20:12.000 --> 20:22.000]  He lived in a tent with a little 10-foot wall around him and gave 99% of the money from the oil to the people directly in jobs and creation.
[20:22.000 --> 20:34.000]  That's what's so crazy about this is that I don't want to sit there and look down on Africans or Muslims because I feel good because they're satanic cavemen.
[20:34.000 --> 20:47.000]  But they're coming for me. The globalists are allied with them, with their AI and their fluoride and their vaccines and their GMO and all this death.
[20:47.000 --> 21:01.000]  And I watched the video on Infowars.com that Paul Watson posted because you can go to YouTube and I mean there are thousands of videos of boats pulling up and you don't ever see a woman.
[21:01.000 --> 21:09.000]  I mean, I've watched hundreds of these and I've seen like one woman.
[21:09.000 --> 21:18.000]  It's the internal news. It's like a woman and a baby and some PR op on some nice boat, nice barge. Oh look, we saved this baby out of the water.
[21:18.000 --> 21:23.000]  Save the baby out of the water.
[21:23.000 --> 21:39.000]  Muslim countries are so backward and so barbarous and gang driven by patriarchal gangs of men who feed on each other. I mean, it is the most anti-liberal evil.
[21:39.000 --> 21:56.000]  And then our government goes and blows up secular countries like Syria and blows up Iraq that was secular. Saddam Hussein was a CIA officer.
[21:56.000 --> 22:03.000]  He wasn't just an asset. He was trained. It's all declassified. He was set up. He wanted swimming pools. He wanted women in college.
[22:03.000 --> 22:09.000]  He wanted Burqa's band. He wanted Hajib's band. He had a band basically.
[22:09.000 --> 22:22.000]  And so our government told him to attack Iran and then double crossed him after he killed 2 million Iranians and lost 700,000 Iraqis.
[22:22.000 --> 22:34.000]  And then they told him invade Kuwait. He did it and they set him up. And then they went and took him out. There was Playboy magazine in 7-11's in Iraq when Saddam was there in 1990.
[22:34.000 --> 22:44.000]  And there was rock and roll music on the radio. And by the way, I'm not saying that's a good thing. I'm saying that's what our government got rid of.
[22:44.000 --> 22:54.000]  Now you put that in your pipe and you think about that. You know who Saddam Hussein tortured? It was radical Muslims. And I'm not defending what he did.
[22:54.000 --> 23:13.000]  But he had this thumb on them. 60% just like Syria of the same number. It's a similar number in Libya. 60% of the college graduates were women.
[23:13.000 --> 23:25.000]  And have you looked at Qaddafi and Saddam? And have you looked at the Alawite Christian, Crypto Christian Assad?
[23:25.000 --> 23:33.000]  If you look at their cabinets, it was a third or in some cases a half women. And where are the liberals and the feminists there?
[23:33.000 --> 23:43.000]  They're blowing those countries up. See, if you're empowering women, they destroy you. And if women are empowered in America or Europe, they say you're not empowered.
[23:43.000 --> 23:54.000]  So the state becomes your husband. The state becomes your father. The state becomes your protector. You say, I'm a woman. I don't need a protector. I need a protector.
[23:54.000 --> 24:04.000]  My mother looked out for me. My father looked out for me. I look out for them. How they ever convince you you don't need somebody standing up for you.
[24:04.000 --> 24:15.000]  If you don't think your family is there to stand up for you, who else is?
[24:15.000 --> 24:26.000]  The mafia never did too good in Texas because you go threatening somebody. You get killed. People don't talk big talk about it. They don't run their mouth. They just kill people.
[24:26.000 --> 24:49.000]  And I'm not going to sit here and put up with the globalists, put up with them pissing down our backs with the most barbarous, backward, ignorant, evil people the world has ever seen.
[24:49.000 --> 25:04.000]  And then having Linda Sarsour trot around in a jib and run her mouth about how women should convert to Islam and how wearing a jib is a symbol of feminine strength.
[25:04.000 --> 25:24.000]  When I looked at the numbers, in Egypt alone more than 10,000 women have been imprisoned, thousands more executed, stoned to death, murdered by crowds in the 1920s, 30s, and 40s so that Egypt is quasi-secular and
[25:24.000 --> 25:40.000]  non-exceptive in women. Women by the thousands died so they would have freedom in Egypt. Not feminism, freedom, humanism.
[25:40.000 --> 26:00.000]  And you hear nothing about it. Instead, there is the obnoxious abomination of Linda Sarsour in our face with her mother writing white papers on chopping little girls' genitals off.
[26:00.000 --> 26:15.000]  And when I first covered this about a year ago, they had articles in mainstream news making jokes going, how do you cut a woman's genitals off, Alex? Thinking their readers were stupid.
[26:15.000 --> 26:28.000]  And they had articles saying, Alex is a pervert. He's criticizing Abedin's mother who also wrote a book on genital mutilation, how good it is. And they said, Alex, stop digging in the penny drawer pervert.
[26:28.000 --> 26:41.000]  That was in a bunch. It was like a Soros talking point. That I didn't want women to have their clitoris cut off with loppers at birth.
[26:41.000 --> 27:03.000]  And then I was the pervert. And in the BuzzFeeds and in the Daily Beast, the world, they sat there and told their readers that I made it up that women are being mutilated.
[27:03.000 --> 27:13.000]  Think about the type of scum you've got to be to do something like that.
[27:13.000 --> 27:23.000]  It's in Spanish. That's probably the dominant language on the planet today. So let me just play in Spanish for you.
[27:23.000 --> 27:43.000]  The video in the audio. Stunned tourists watch migrants invade beach in Spain. Now remember, these are the ancestors of people that fought a 300 year war that reportedly millions died in.
[27:43.000 --> 28:06.000]  Because it went on generationally to let women not wear hoods over their heads or be sold in the slave galleries. And they're now there watching brand new black Zodiac boats admittedly paid for by George Soros and the UN pulling up with military aged men storming the beach like it's Normandy.
[28:06.000 --> 28:15.000]  And it's all organized. It's all funded. It's all run. Here it is.
[28:15.000 --> 28:34.000]  If you're a radio listener, it's a brand new Zodiac pulling up. And what looks like 50 men, 40 men, I don't know, one, two, three, four, five, six, seven, eight, nine, ten years, but 40 men. A brand new boat admittedly paid for by the EU, paid for by the UN.
[28:34.000 --> 28:54.000]  But there's not people going the other direction. And the Spaniards are sitting there literally watching a replay of.
[28:54.000 --> 29:04.000]  What are Larry Conquista took 300 years to turn around?
[29:04.000 --> 29:19.000]  What is it? It's men come here with the boy.
[29:19.000 --> 29:27.000]  The group vanished before authorities arrived and been picked up by buses.
[29:27.000 --> 29:35.000]  Now again, it's one thing if starving people from Africa came in or the Middle East, but it's orchestrated.
[29:35.000 --> 29:39.000]  They go, Oh, have open arms.
[29:39.000 --> 29:42.000]  You go to those countries.
[29:42.000 --> 29:50.000]  You're going to walk up in five minutes to you and say, quote, this patches the current. If you don't, they're going to shove a collision cuff in your face.
[29:50.000 --> 29:55.000]  And you're going to be kidnapped. And you're going to be lucky if you ever see the light of day again.
[29:55.000 --> 29:57.000]  We'll be back with us.
[29:57.000 --> 30:09.000]  We're on the March, the empires on the run. Alex Jones and the GCN radio network.
[30:09.000 --> 30:15.000]  Why is the fungus? Why is the mold? Why is the yeast taking over? What is going on? What has changed?
[30:15.000 --> 30:23.000]  Dr. Group, the new product, Myco ZX supports normal fungal and yeast balance proprietary blend of herbs and enzymes made with high quality ingredients.
[30:23.000 --> 30:30.000]  Yeah, fungus is a growing epidemic. And I've been testing this formula and making changes to this formula for over 10 years.
[30:30.000 --> 30:35.000]  It's available at infomercial.com. We also have free shipping. Order $50 or more and 10% off.
[30:35.000 --> 30:41.000]  You sign up for auto ship additionally on top of that. Please. We only have a limited supply of this.
[30:41.000 --> 30:44.000]  I want to get your reviews on here. What do you have to say for me? It's been a crowd.
[30:44.000 --> 30:50.000]  Myco ZX, antifungal, antifungus, anti yeast. Get it today. Limited around.
[30:50.000 --> 30:56.000]  It'll be months until we get more. Infomercial.com, infomercialife.com, our triple A, two, five, three, three, one, three, nine.
[30:56.000 --> 30:59.000]  I cannot sell something unless it helps somebody.
[30:59.000 --> 31:05.000]  And you can't support an organization that didn't fight harder. Look at the response we're getting. Whoever changed the world together.
[31:05.000 --> 31:30.000]  You are the Info War. God bless you all.
[31:30.000 --> 31:37.000]  It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[31:37.000 --> 31:47.000]  That's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[31:47.000 --> 31:56.000]  Harvest right freeze dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[31:56.000 --> 32:04.000]  Now that's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze dryer.
[32:04.000 --> 32:08.000]  So what are you waiting for? Check it out right now at InfoWarsStore.com.
[32:08.000 --> 32:14.000]  Today I'm excited to announce the new limited shipment of DNA Forces finally arrived at the InfoWars warehouse in Austin, Texas.
[32:14.000 --> 32:20.000]  We have thousands of listeners on the waiting list who've signed up for auto ship to receive out of stock products like DNA Force.
[32:20.000 --> 32:26.000]  And we are now once again expected to sell out very, very soon. And when it comes to a formula that is such a game changer like DNA Force,
[32:26.000 --> 32:30.000]  we never know when we will be able to secure an additional supply of the key ingredients.
[32:30.000 --> 32:40.000]  The secret behind DNA Force is its powerful lineup of patented ingredients like OQ10, systematic enzymes, NAR, lipoic acid, BiOPQQ, and many others.
[32:40.000 --> 32:48.000]  BiOPQQ alone is backed by an unprecedented 175 clinical studies and just one batch of this stuff costs us more than $30,000.
[32:48.000 --> 32:51.000]  Visit InfoWarsLife.com and read the reviews for yourself.
[32:51.000 --> 32:59.000]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third party certified review agency Power Review.
[32:59.000 --> 33:05.000]  Take advantage of this new limited shipment and get DNA Force today at InfoWarsLife.com before it sells out again.
[33:05.000 --> 33:20.000]  That's InfoWarsLife.com.
[33:20.000 --> 33:39.000]  So here's the big secret.
[33:39.000 --> 33:45.000]  There are competing programs inside the global system, obviously.
[33:45.000 --> 34:02.000]  But the general decision has been made to make life as ugly and fallen as possible that the general public retreats into fantasy land, into AI, into virtual reality.
[34:02.000 --> 34:22.000]  And then meanwhile, the globalists admittedly have destabilized the third world, engaged in policies that actually create ballooning populations, then they use that to exploit the populations, flood the West, and they want us morally to not sign on to a piece of paper,
[34:22.000 --> 34:35.000]  but just to metaphysically say, release the bioweapon, the race-specific bioweapon. And they've had those for 50 years that are very targeted.
[34:35.000 --> 34:44.000]  And with the CRISPR gene splicing and gene editing and all of them, they got stuff that'll kill you right down to your family genome.
[34:44.000 --> 34:53.000]  In South Africa and other people, Israel's developed it. I mean, that's the country that admittedly have developed it. But I mean, if you know that the United States doesn't have all that, you're living on their planet.
[34:53.000 --> 34:59.000]  And so that's really where all this is right now.
[34:59.000 --> 35:08.000]  And so I was against the Iraq war. I was against all these things. I knew it was in the strategy of tension to stir up the Muslims, to put radicals in.
[35:08.000 --> 35:16.000]  And I saw in the EU reports about replacing Europe with Muslims and all that. I thought, that's just too crazy. No one would do that. And now we're here.
[35:16.000 --> 35:29.000]  And so I don't want to release the race-specific bioweapon and kill all the Muslims, because most of them do happen to be of the same genetic derivation.
[35:29.000 --> 35:39.000]  And you could say, oh really, there's very diverse Muslims. There's some Anglo-Muslims and African-Muslims and whatever. What about half the Muslims are Arabic?
[35:39.000 --> 35:48.000]  And what's Arabic? It's a mix of Asian, Anglo, and African.
[35:48.000 --> 36:02.000]  And all you got to do is tailor the different bioweapons to the Pacific Receptor sites and some of the weapons and as many others, it's a very large discussion area.
[36:02.000 --> 36:07.000]  And you can kill everybody. You can kill everybody with an Asian background.
[36:07.000 --> 36:14.000]  That being Native Americans, Chinese, Japanese, they're all dead. You can tailor it to kill Africans.
[36:14.000 --> 36:23.000]  You can tailor bioweapons to kill more than Europeans. That's a different group on average than Central Europeans or Southern Europeans.
[36:23.000 --> 36:35.000]  And they got it all. And Dick Cheney wrote in the PNAC documents publicly in 2000 that we should go ahead and legitimize the use of race weapons in discussion with the Middle East.
[36:35.000 --> 36:47.000]  And he was vetoed at the UN Security Council in closed session on the discussion of using bioweapons to depopulate the Middle East.
[36:47.000 --> 36:57.000]  Now, that's one end of the cycle. Then you got Soros allied with it to take over Europe.
[36:57.000 --> 37:09.000]  So it's like you don't want to kill everybody. You don't want to commit genocide. You don't want to be Hitler. But people are coming for you like they're Hitler, but they've got brown skin.
[37:09.000 --> 37:16.000]  And they've been put in that position and brainwashed to be that way just like dumbass Nazis.
[37:16.000 --> 37:26.000]  Just like anybody in a prison. Everybody's put in your group. You don't want to be a Nazi in prison. If you're white though, you better swear allegiance to the Aryan nations or whatever the group is in that prison.
[37:26.000 --> 37:31.000]  Or you're going to get killed. And if you're not in the Mexican mafia and part of that racist group, you're going to get killed.
[37:31.000 --> 37:37.000]  And if you're not part of the black racist group, you're going to be killed too.
[37:37.000 --> 37:47.000]  See how that works? You get put in prison for whatever the case is. Bank fraud, whatever it is. And you march in. You're a black guy. You march in. You're 25 years old.
[37:47.000 --> 37:55.000]  You're serving a three-year prison sentence in, say, Huntsville, Texas. And you walk in there and they stick you right in an area of nothing but black people.
[37:55.000 --> 38:00.000]  And why do they do that? Because if they didn't, you get killed in about five minutes.
[38:00.000 --> 38:06.000]  And then you get in there and it's a whole gang controlling you. We're going to kill whitey. We're all Muslims. You know, we're going to get together.
[38:06.000 --> 38:15.000]  And it's just a group preying on you. And those black racist groups are reporting directly to the warden.
[38:15.000 --> 38:20.000]  And so are the white supremacists. And so are the Hispanic race groups.
[38:20.000 --> 38:29.000]  And then if you're on the East Coast or West Coast, there'll be four areas. There'll be an Asian group too. And they didn't have to divide that up sometimes, you know, between the Chinese and, you know, the Vietnamese.
[38:29.000 --> 38:39.000]  They'll kill each other more than, you know, black guys and white guys will. Of course, the most group that fights the most is Hispanics and blacks. That's just a statistical fact.
[38:39.000 --> 38:52.000]  So I'm just sitting here going, I'd like to build space stations. I would like life extension, please. I'd like to have everybody have swimming pools and get along.
[38:52.000 --> 38:59.000]  Because I like people that are white, people that are black, people that are brown, people that cook good food, have good music, good doctors.
[38:59.000 --> 39:06.000]  You know, if I look up the best doctor for surgery and it's a guy from India, I'm going to go to him. I don't care he's got brown skin.
[39:06.000 --> 39:15.000]  But see, I then fundamentally am not going to be criticized because I'm white and told out all day how bad I am.
[39:15.000 --> 39:28.000]  It's not my fault, genetically, that my ancestors went through repeated ice ages and that if you didn't make future planning and basic
[39:28.000 --> 39:40.000]  mathematic equations and didn't build structures for survival, you died. It's not my fault that I'm constantly trying to build things and constantly
[39:40.000 --> 39:48.000]  trying to do things and constantly trying to survive because I'm constantly under attack because I'm genetically in a position where I'm not sitting around eating coconuts
[39:48.000 --> 40:02.000]  and fighting off the neighboring people that are coming to take over. I'm doing that too. I just want to build stuff and I'm not your enemy.
[40:02.000 --> 40:15.000]  But if you try to kill me or if you try to enslave me, I'm going to come after you and I'm here simply trying to lay out the game plan.
