[00:00:30.203 --> 00:00:31.624]  It's Sunday Live.
[00:08:16.084 --> 00:08:18.125]  I mean, they're always finding more and more and more.
[00:08:18.125 --> 00:08:22.647]  There's like fish in the sea, sand at the beach, leaves on trees in the forest.
[00:08:22.647 --> 00:08:24.028]  There's a lot.
[00:08:24.028 --> 00:08:28.830]  And it's our body's defenses that defeat that 99.999% of the time.
[00:08:28.830 --> 00:08:33.452]  Not taking a vaccine that is specifically for one variant
[00:08:34.068 --> 00:08:44.774]  When viruses are constantly changing and their own medical science admits, when you take a vaccine like this, it causes your body to slough off things that basically are other variants of the virus.
[00:08:44.774 --> 00:08:46.635]  That's even Wall Street Journal.
[00:08:46.635 --> 00:08:50.357]  That's the discoverer of HIV saying that, saying this is insane, don't take it.
[00:08:50.357 --> 00:08:52.738]  So the mainline science has said all along,
[00:08:53.784 --> 00:09:09.436]  Armies of top scientists, armies of Nobel Prize winners, and heads of universities, and heads of hospitals, and heads of research firms, and the chief scientist at Pfizer, who just retired three years ago, saying this is going to cause blood clots and heart attacks, and it did!
[00:09:10.208 --> 00:09:13.570]  Because they've already done studies on similar vaccines.
[00:09:13.570 --> 00:09:15.751]  Well, here it is out of the VAERS reporting system.
[00:09:15.751 --> 00:09:20.373]  Reported deaths, COVID vaccines, more than the last 10 years combined.
[00:09:20.373 --> 00:09:22.655]  And I think about 1 in 40 is the real number.
[00:09:22.655 --> 00:09:24.156]  Not 1 in 10, not 1 in 100.
[00:09:24.156 --> 00:09:27.537]  About 1 in 40 of these things get put down as COVID.
[00:09:27.537 --> 00:09:29.138]  So it's 40 times worse than that.
[00:09:29.138 --> 00:09:30.899]  40 times 5,888 dead.
[00:09:33.889 --> 00:09:38.375]  Oh, and now the FDA adds warning to COVID vaccine about risk of heart inflammation.
[00:09:38.375 --> 00:09:40.337]  No longer just saying, oh, it's rare.
[00:09:40.337 --> 00:09:42.700]  It's very common.
[00:09:42.700 --> 00:09:50.150]  And estimates are now out that you're 500 times more likely to die from a COVID vaccine than from COVID if you are young.
[00:09:51.437 --> 00:09:52.378]  For whatever reason.
[00:09:52.378 --> 00:09:56.241]  And we're going to be breaking some of that down coming up as well.
[00:09:56.241 --> 00:09:57.503]  Here's another headline.
[00:09:57.503 --> 00:10:04.329]  Who urges fully vaccinated people to continue to wear masks as Delta COVID variant spreads?
[00:10:04.329 --> 00:10:06.871]  Oh, a variant of the cold virus.
[00:10:06.871 --> 00:10:08.853]  My goodness, we can't ever leave our houses again.
[00:10:09.798 --> 00:10:11.259]  People better wake up now, folks.
[00:10:11.259 --> 00:10:16.301]  BBC, Andrew Marr says he caught COVID after getting the vaccine.
[00:10:16.301 --> 00:10:17.422]  A lot of folks dying.
[00:10:17.422 --> 00:10:19.723]  They say they're dying of COVID or dying from the vaccine.
[00:10:19.723 --> 00:10:21.483]  That's BBC and RT.
[00:10:21.483 --> 00:10:26.946]  Some fully vaccinated people may get sick if exposed to variants, CDC says, CNN.
[00:10:26.946 --> 00:10:31.008]  COVID-19 killed 26 Indonesian doctors in June after they'd been vaccinated.
[00:10:31.008 --> 00:10:33.429]  10 had taken China's Sinovac vaccine.
[00:10:34.207 --> 00:10:36.929]  And it goes on and on and on.
[00:10:36.929 --> 00:10:41.952]  4,115 vaccinated people have died, been hospitalized with COVID-19 breakthrough infections.
[00:10:41.952 --> 00:10:44.233]  Uh-huh.
[00:10:44.233 --> 00:10:46.675]  Again, it goes through all of it right here.
[00:10:46.675 --> 00:10:48.636]  And I've got so much more just in this stack.
[00:10:48.636 --> 00:10:54.479]  But the first thing I want to hit is Bill Maher finally waking up that his audience isn't buying his bull.
[00:10:54.479 --> 00:10:58.662]  Or maybe he said, the road to Damascus
[00:10:59.649 --> 00:11:10.015]  Awakening that Paul did, but he's totally, absolutely getting it now and saying, wait a minute.
[00:11:10.015 --> 00:11:14.018]  We've got Google and Facebook invested at the Wuhan lab.
[00:11:14.018 --> 00:11:20.922]  We've got them invested billions in these vaccines and then they're involved covering up.
[00:11:20.922 --> 00:11:22.783]  That's criminal.
[00:11:22.783 --> 00:11:23.243]  That's right.
[00:11:23.243 --> 00:11:25.845]  I mean, how did I tell you last year, Google and Facebook are all involved?
[00:11:25.845 --> 00:11:27.306]  I went and looked it up.
[00:11:28.877 --> 00:11:31.079]  They're obsessed with depopulation.
[00:11:31.079 --> 00:11:32.360]  It's their cult.
[00:11:32.360 --> 00:11:34.963]  So they paid to have the viruses found in the wild.
[00:11:34.963 --> 00:11:36.224]  They paid to have them spliced.
[00:11:36.224 --> 00:11:38.346]  Facebook and Google.
[00:11:38.346 --> 00:11:40.548]  Facebook and Google aren't just big tech companies.
[00:11:40.548 --> 00:11:44.412]  They are the tip of the New World Order attack system.
[00:11:44.412 --> 00:11:45.333]  They surveil you.
[00:11:45.333 --> 00:11:46.234]  They watch you.
[00:11:46.234 --> 00:11:47.235]  They listen to you.
[00:11:47.235 --> 00:11:48.516]  They censor you.
[00:11:48.516 --> 00:11:49.817]  They control you.
[00:11:49.817 --> 00:11:52.360]  And they report you to your bank and you lose your bank account.
[00:11:53.135 --> 00:12:03.184]  If you question the election, they are the intimidators, they are the bullies, they are the trillion pound gorilla on our back.
[00:12:03.184 --> 00:12:05.907]  And they are bringing in the new dark age.
[00:12:05.907 --> 00:12:07.928]  They're monsters, and they know they're monsters.
[00:12:07.928 --> 00:12:10.591]  They're not liberal, well-meaning idiots that just go too far.
[00:12:12.088 --> 00:12:13.349]  They are the brainwashers.
[00:12:13.349 --> 00:12:14.590]  They are the controllers.
[00:12:14.590 --> 00:12:24.418]  Now, on the children's games and children's articles and everything on Facebook, to be allowed to be on Facebook, all teaching material that came out, is going to have to use gender-neutral pronouns in all this.
[00:12:24.418 --> 00:12:27.740]  This is an assault on humanity itself.
[00:12:27.740 --> 00:12:30.062]  On our very biology for depopulation.
[00:12:30.062 --> 00:12:36.487]  And in the white papers out of Tabastock Institute, I've got articles on it today, they admit, oh, we're doing this to depopulate the Earth.
[00:12:37.651 --> 00:12:40.852]  That's why we're sterilizing all the autistic and mentally retarded children.
[00:12:40.852 --> 00:12:44.054]  We don't want them having kids, so we teach them to be transgender.
[00:12:44.054 --> 00:12:46.475]  We make it a celebration of having their genitals removed.
[00:12:46.475 --> 00:12:52.577]  So first they brain damage you with the vaccines, then they cut your testicles off, and they admit they're doing it!
[00:12:52.577 --> 00:12:57.499]  Is this something all of you really want to sign on to this madness, this evil, which is only going to get worse?
[00:12:58.820 --> 00:13:04.684]  Once you sign on to the eugenics and the depopulation and the transhumanism that we're bombarded with everywhere.
[00:13:04.684 --> 00:13:11.629]  Three weeks ago, the Senate wouldn't even outlaw human animal cloning that they admitted was, well, it's been going on for 30 years in the U.S.
[00:13:11.629 --> 00:13:13.191]  and so we're not going to ban it.
[00:13:13.191 --> 00:13:13.551]  See?
[00:13:13.551 --> 00:13:16.373]  People are like, how did you know that?
[00:13:16.373 --> 00:13:17.834]  It's in all the medical literature!
[00:13:17.834 --> 00:13:25.980]  They're not supposed to grow the clones up with brains, but they do because the clones don't operate enough if they don't have brains.
[00:13:26.727 --> 00:13:27.828]  So they have accelerated aging.
[00:13:27.828 --> 00:13:28.868]  They don't even know what they are.
[00:13:28.868 --> 00:13:31.250]  They're basically kept in these facilities.
[00:13:31.250 --> 00:13:32.311]  And it's all going to come out, folks.
[00:13:32.311 --> 00:13:41.076]  That's why they're desperately got all these new shows on TV about the clones and about the human-animal hybrids like Sweet Tooth and Sexy Beast.
[00:13:41.076 --> 00:13:48.121]  They're just desperately trying to acclimate you before it all comes out because they can't even hide it anymore.
[00:13:48.121 --> 00:13:52.604]  You're going to wake up and find out they've created alien species by the thousands on Earth.
[00:13:53.348 --> 00:13:54.689]  Intestines.
[00:13:54.689 --> 00:13:56.730]  New species that never existed.
[00:13:56.730 --> 00:14:02.572]  Salmon is now on store shelves that has walking stick and asparagus genes in it.
[00:14:02.572 --> 00:14:10.095]  The Pfizer shot has the entire genome of a jellyfish hive colony creature.
[00:14:10.095 --> 00:14:11.496]  You know why, right?
[00:14:11.496 --> 00:14:21.160]  They've already announced that if you have contact with a certain type of tick from Texas, lone star tick, it's actually all across the country,
[00:14:22.427 --> 00:14:33.740]  And that if you have had access to a certain type of jellyfish stings, that you develop an allergy to meat, and it's the same jellyfish that they put in you with a human genome.
[00:14:33.740 --> 00:14:41.508]  They combined the jellyfish colony creature genome with a boy who died in the 60s.
[00:14:41.508 --> 00:14:42.349]  It's in the patent.
[00:14:44.187 --> 00:14:48.249]  They say it's secret why they did it, but they spliced a human with a jellyfish and they injected it.
[00:14:48.249 --> 00:14:51.230]  And you saw the professor on TV last week, Tucker Carlson played it.
[00:14:51.230 --> 00:14:52.911]  They had bioethicists in the U.S.
[00:14:52.911 --> 00:14:55.592]  He said, we're going to inject you so that you never eat meat again, beef again.
[00:14:55.592 --> 00:14:56.433]  Yeah.
[00:14:56.433 --> 00:14:57.914]  So it's not just going to be sterile.
[00:14:57.914 --> 00:14:59.394]  It's not just you're not going to be able to have children.
[00:14:59.394 --> 00:15:00.835]  You're not going to be able to eat beef anymore.
[00:15:01.826 --> 00:15:04.728]  They're hitting you and hitting you hard.
[00:15:04.728 --> 00:15:06.089]  They're like kamikazes.
[00:15:06.089 --> 00:15:07.209]  You know, well, they're all going to go to prison.
[00:15:07.209 --> 00:15:08.290]  They're all going to get in trouble.
[00:15:08.290 --> 00:15:09.070]  They don't care.
[00:15:09.070 --> 00:15:10.191]  They're psychos.
[00:15:10.191 --> 00:15:12.312]  It's a control cult.
[00:15:12.312 --> 00:15:18.276]  It's their excuse to play God and take over to save the earth.
[00:15:18.276 --> 00:15:20.117]  We know what they're doing, ladies and gentlemen.
[00:15:20.117 --> 00:15:22.699]  I'm going to say it again.
[00:15:22.699 --> 00:15:26.421]  Salmon sold in stores across the U.S., unlabeled.
[00:15:26.421 --> 00:15:29.983]  Joe Biden removed a order on that.
[00:15:29.983 --> 00:15:31.404]  So you can now eat
[00:15:32.495 --> 00:15:35.556]  A fish that's part insect.
[00:15:35.556 --> 00:15:36.556]  And you're like, well that's not too bad.
[00:15:36.556 --> 00:15:37.897]  They tell me I'm going to eat bugs all over TV.
[00:15:37.897 --> 00:15:39.277]  See, it's just to acclimate you.
[00:15:39.277 --> 00:15:40.758]  Oh, you're going to have sex with animals.
[00:15:40.758 --> 00:15:41.938]  You're going to have sex with children.
[00:15:41.938 --> 00:15:42.678]  You're going to eat bugs.
[00:15:42.678 --> 00:15:46.860]  It's all just to shock you, disorient you, so you accept all of this.
[00:15:46.860 --> 00:15:48.160]  We're going to come back.
[00:15:48.160 --> 00:15:53.502]  I'm going to play the Bill Maher piece, another powerful Gregory's piece, and then Roger Stone with exclusive intel.
[00:15:53.502 --> 00:15:57.323]  Straight ahead, I'm Alex Jones, InfoWars.com, NewsWars.com, Band.Video.
[00:16:01.025 --> 00:16:04.668]  Infowars is here because there's a war on for your mind.
[00:16:04.668 --> 00:16:07.310]  That's why it's been our motto for more than 25 years.
[00:16:07.310 --> 00:16:18.259]  And if you research even the UN's own admissions, over 2 billion people on planet Earth out of 7.5 billion have cognitive disabilities, lower IQ because of lack of iodine.
[00:16:18.259 --> 00:16:22.482]  That's why they work to make sure iodine isn't in the food, isn't in the salt anymore.
[00:16:22.482 --> 00:16:27.586]  Now regular iodine that you find in food is bound to different minerals.
[00:16:27.586 --> 00:16:29.308]  And so it's hard for your body to absorb.
[00:16:29.808 --> 00:16:34.912]  But if you get the proper type of iodine, there's three types that are good for the body, it does amazing things.
[00:16:34.912 --> 00:16:36.493]  It's essential in the body.
[00:16:36.493 --> 00:16:40.295]  Well, we have our amazing Tri-Iodine, a big shipment came in.
[00:16:40.295 --> 00:16:43.658]  We're able to offer it at the lowest price ever, 16% off.
[00:16:43.658 --> 00:16:49.302]  That is, Survival Shield X3, 60% off with three types of powerful iodine.
[00:16:49.302 --> 00:16:55.386]  Tri-Iodine is from a patented process that stabilizes the iodine and makes it even more powerful at the cellular level.
[00:16:55.726 --> 00:16:57.007]  You and your family will love it.
[00:16:57.007 --> 00:16:58.048]  It's incredible for your body.
[00:16:58.048 --> 00:16:59.949]  Get it at InfoWareStore.com today.
[00:16:59.949 --> 00:17:04.293]  All of the experts agree that getting proper sleep is the cornerstone of good health.
[00:17:04.293 --> 00:17:14.601]  It has been proven that a poor sleep schedule is linked with numerous health problems including weight gain, memory issues, mood changes, poor concentration, and even a weakened immune system.
[00:17:14.901 --> 00:17:21.085]  Introducing RocketRest, the new product from our Dr. Jones Naturals line at InfowarsStore.com.
[00:17:21.085 --> 00:17:29.631]  The new RocketRest formula is loaded with the best natural ingredients to help not only improve your quality of sleep, but help you wake up feeling refreshed.
[00:17:29.631 --> 00:17:39.257]  Many competitors sleep formulas focus only on getting you to sleep, but RocketRest was specifically formulated to help you feel rested and ready to take on the next day.
[00:17:39.717 --> 00:17:47.541]  It uses a unique quick release capsule system to ensure fast delivery of deep sleep support ingredients like melatonin and magnesium.
[00:17:47.541 --> 00:17:52.223]  Rocket Rest helps you fall asleep fast, stay asleep, and wake up feeling rested.
[00:17:52.223 --> 00:17:57.906]  So get the new Rocket Rest formula from Dr. Jones Naturals right now at InfoWarsStore.com.
[00:18:00.296 --> 00:18:05.422]  The 4th of July Super Sale starts now at m4warstore.com.
[00:18:05.422 --> 00:18:10.908]  July 4th, 2021 is now upon us, and that means our yearly big sale is here.
[00:18:10.908 --> 00:18:12.469]  Storewide free shipping.
[00:18:12.469 --> 00:18:16.494]  Double Patriot Points starts right now and runs through July 4th.
[00:18:17.034 --> 00:18:21.417]  Survival Shield X3 Tri-Iodine, the good halogen, 60% off.
[00:18:21.417 --> 00:18:24.698]  Bio-True Selenium, essential for your whole body, 50% off.
[00:18:24.698 --> 00:18:29.161]  Ultimate Krill Oil, 40% off with the free shipping and double Patriot Points.
[00:18:29.161 --> 00:18:34.124]  All water filtration systems are 10% off and the list goes on and on.
[00:18:34.124 --> 00:18:41.928]  And while this sale runs, we're going to be adding new specials every day that are one-day specials alone because we don't have enough supplies to keep them on sale.
[00:18:42.268 --> 00:18:54.819]  So the stuff I just listed is going to be on sale through July 4th, but every day visit InfoWarsTore.com because there's going to be new specials of select items with free shipping and double patriot points up to 60% off at InfoWarsTore.com.
[00:18:54.819 --> 00:19:02.386]  The 4th of July Super Sale starts now at InfoWarsTore.com.
[00:19:02.386 --> 00:19:05.769]  What are champions made of?
[00:19:05.769 --> 00:19:06.910]  Here's a man who can show you.
[00:19:13.477 --> 00:19:14.998]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:19:14.998 --> 00:19:16.919]  AAA-253-3139, AAA-253-3139, AAA-253-3139 is the InfoWars store hotline.
[00:19:16.919 --> 00:19:18.359]  AAA-253-3139 is the InfoWars store hotline.
[00:19:18.359 --> 00:19:19.580]  AAA-253-3139 is the InfoWars store hotline.
[00:19:19.580 --> 00:19:20.680]  AAA-253-3139 is the InfoWars store hotline.
[00:19:20.680 --> 00:19:22.301]  AAA-253-3139 is the InfoWars store hotline.
[00:19:22.301 --> 00:19:23.861]  AAA-253-3139 is the InfoWars store hotline.
[00:19:39.668 --> 00:19:43.130]  InfoWarsStore.com is simply the best.
[00:19:43.130 --> 00:19:46.172]  InfoWarsStore.com beats out all the rest.
[00:19:46.172 --> 00:19:46.632]  888-253-3139, 888-253-3139, 888-253-3139.
[00:19:46.632 --> 00:19:48.013]  It's the InfoWarsStore Online.
[00:19:48.013 --> 00:19:48.413]  888-233-3139, 888-233-3139, 888-233-3139.
[00:19:48.413 --> 00:19:49.674]  That's InfoWarsStore.com.
[00:19:49.674 --> 00:19:50.935]  You're listening to the Alex Jones Show.
[00:20:19.651 --> 00:20:22.574]  Monday through Friday from 11 a.m.
[00:20:22.574 --> 00:20:23.194]  to 3 p.m.
[00:20:23.194 --> 00:20:24.155]  I'm live.
[00:20:24.155 --> 00:20:25.276]  I'm Alex Jones.
[00:20:25.276 --> 00:20:30.380]  Then we return Sunday nights 4 to 6 p.m.
[00:20:30.380 --> 00:20:36.445]  Central and of course Owen Schroer that also hosts the War Room 3 to 6 p.m.
[00:20:36.445 --> 00:20:36.985]  weekdays.
[00:20:36.985 --> 00:20:44.191]  He also hosts two hours on Sunday night right when this transmission ends and of course there's other great broadcasts like Harrison Smith 8 a.m.
[00:20:44.191 --> 00:20:48.935]  weekday mornings with American Journal so many great guests so many great callers and his amazing analysis.
[00:20:49.961 --> 00:20:54.684]  All right, so let's get back into the COVID situation.
[00:20:54.684 --> 00:20:57.666]  Real science shows that they cooked it in a lab.
[00:20:57.666 --> 00:21:08.152]  Real science shows they did that so they'd have a new chimera virus they could corporately own and produce vaccines off of that companies tied to Fauci and Gates would make hundreds of billions of dollars off of.
[00:21:08.152 --> 00:21:11.434]  And now it came out in government documents last week.
[00:21:11.434 --> 00:21:12.195]  And major U.S.
[00:21:12.195 --> 00:21:17.738]  universities have had copies of this that the federal government that Fauci had destroyed last year.
[00:21:18.988 --> 00:21:32.500]  Right under Trump's nose that they were, a month before COVID was even announced, preparing COVID-19 vaccines at Wuhan and that they were developing vaccines for COVID-19 there that they then released themselves.
[00:21:32.500 --> 00:21:43.630]  I remember Peter Daszak said in 2019 in an interview that they were developing vaccines off of combining five viruses from bats in the COVID family.
[00:21:43.630 --> 00:21:44.991]  That was always hiding in plain view.
[00:21:44.991 --> 00:21:46.052]  We were the first to hammer that.
[00:21:46.810 --> 00:21:51.392]  And Tucker covered it as well, but I mean, again, I could talk for hours about this.
[00:21:51.392 --> 00:21:54.653]  We have every damn facet of it.
[00:21:54.653 --> 00:22:09.018]  How they cooked it up, why they did it, the lockdown, the control, the carbon taxes, the shutting down their competition, the rolling out the vaccines that they own themselves, because when they could isolate it and already know it was about to be released, they could then tell Pfizer, Moderna, and others,
[00:22:10.584 --> 00:22:11.765]  We're good to go.
[00:22:41.013 --> 00:22:42.594]  So your body attacks itself.
[00:22:42.594 --> 00:22:44.695]  It kills you in a thousand different ways.
[00:22:44.695 --> 00:22:47.316]  And this is, you understand, this is not debatable.
[00:22:47.316 --> 00:22:52.859]  They have committed giant crimes against humanity on a scale of Hitler, Stalin, and Mao.
[00:22:52.859 --> 00:22:55.720]  I mean, you are living to just see insane-ness.
[00:22:55.720 --> 00:22:57.161]  But they're depopulationists.
