[00:00:02.876 --> 00:00:04.837]  This is the InfoWar.
[00:08:05.008 --> 00:08:08.474]  The Empire is on the run.
[00:08:08.474 --> 00:08:11.578]  Alex Jones and the GCN Radio Network.
[00:08:38.104 --> 00:08:44.350]  Well, the founder of Motorhead, Lenny's, made the jump into hyperspace at age 70.
[00:08:44.350 --> 00:08:49.195]  But we'll have to get to that a little bit later in the broadcast.
[00:08:49.195 --> 00:08:55.622]  Because InfoWars is under sustained attack across the board.
[00:08:56.997 --> 00:09:07.780]  From our Facebook accounts to our Twitter accounts to our passwords into InfoWars to other attacks that are going on currently simultaneously.
[00:09:07.780 --> 00:09:13.562]  Definitely a large coordinated attack and we are writing stories about it right now.
[00:09:13.562 --> 00:09:22.665]  About 25 minutes ago a story went up on InfoWars.com where one of the hacks was successful.
[00:09:22.665 --> 00:09:25.666]  We had it removed within 11 minutes.
[00:09:27.644 --> 00:09:30.447]  And, of course, had changed a particular passcode.
[00:09:30.447 --> 00:09:37.996]  They hacked through and got David Knight's passcode, but simultaneously got Paul Watson's code to his Twitter.
[00:09:37.996 --> 00:09:40.518]  That account is currently hijacked.
[00:09:40.518 --> 00:09:46.865]  We'll put Paul Watson's Twitter account, Prison Planet, up on screen for folks so they can see what's happening right now.
[00:09:47.921 --> 00:10:00.606]  We are investigating Islamic training schools in the United States currently, and we're on the ground yesterday, and basically all hell's been breaking loose since that happened.
[00:10:00.606 --> 00:10:03.788]  I told Biggs I had a bad feeling about it and just to get ready.
[00:10:03.788 --> 00:10:07.529]  I'm the one that sent him out there, but I told him yesterday at 5 o'clock, I said, get ready.
[00:10:07.529 --> 00:10:11.971]  Spidersense says, you know, we got enemy fighters coming in, watch your six.
[00:10:11.971 --> 00:10:13.652]  There's a lot of intel coming in right now.
[00:10:14.432 --> 00:10:19.217]  I basically already put my finger on what's going on here.
[00:10:19.217 --> 00:10:21.379]  You have to go back in time.
[00:10:21.379 --> 00:10:25.342]  Here's an RT article, a CNN article, and a bunch of others.
[00:10:25.342 --> 00:10:28.565]  Let me put the pieces together for you first.
[00:10:28.565 --> 00:10:35.692]  Back in 2013 and 14, CNN and a bunch of other globalist media operations got hacked.
[00:10:37.833 --> 00:10:42.314]  Probably by Russians calling themselves the Syrian Electronic Army.
[00:10:42.314 --> 00:10:49.956]  We know it was the Russian government that hacked and got the climate change emails, where they were coordinating with the UN and all the major professors at over a thousand colleges.
[00:10:49.956 --> 00:10:51.196]  It was 2000 plus.
[00:10:51.196 --> 00:10:56.497]  How to engage in fraud, how to hide the decline, how to pass carbon taxes.
[00:10:56.497 --> 00:10:58.338]  So again, the Russians blew that wide open.
[00:10:59.278 --> 00:11:00.199]  Probably the Russians.
[00:11:00.199 --> 00:11:13.172]  In fact, they pretty much admitted it's Russians involved in the, quote, Syrian Electronic Army, because it deals with Syria, sending out the intel that our government was funding radical al-Nusra al-Qaeda groups that became ISIS.
[00:11:13.172 --> 00:11:14.573]  That's now mainstream news.
[00:11:14.573 --> 00:11:20.419]  So the Russians won that info war in concert with American patriots that will not engage in treason.
[00:11:21.599 --> 00:11:39.162]  Cy Hearst came out last week with a huge article and excerpts of his new book, Military to Military, or our own military, at the very time that I was engaging in my patriotic duties just as an American to not work with Al Qaeda and working with Colonel Schaefer and many others on and off air, generals, you name it.
[00:11:39.162 --> 00:11:40.882]  I'm just going to leave it at that.
[00:11:40.882 --> 00:11:44.723]  Retired generals.
[00:11:44.723 --> 00:11:46.563]  This is real war, folks.
[00:11:46.563 --> 00:11:49.464]  This is against the globalists that are playing all our countries off against each other.
[00:11:50.583 --> 00:11:54.626]  Very high-level chess.
[00:11:54.626 --> 00:11:59.990]  We knew at the time that if we could get the military informed of this, it would all implode.
[00:11:59.990 --> 00:12:06.135]  Turning the Christian areas of Syria over to Al-Qaeda so they could slaughter everybody by the hundreds of thousands.
[00:12:06.135 --> 00:12:20.166]  And so, as the Syrian Electronic Army continued to hack CNN, to hack other hundreds of publications, and post Infowars.com articles, and you can look it up, that's who they posted, mainly,
[00:12:21.465 --> 00:12:31.291]  BBC, NPR, Skype, I mean, Facebook accounts, Twitter accounts, this is now the counter response to that.
[00:12:31.291 --> 00:12:45.641]  Directed out of Turkey, ISIS connected groups, to go in and post disinfo to discredit InfoWars, and also then blame it on the Syrian Electronic Army, which hasn't happened yet.
[00:12:46.903 --> 00:12:53.247]  But that is my belief where this is coming from and what we've expected to happen.
[00:12:53.247 --> 00:12:54.227]  Breaking!
[00:12:54.227 --> 00:12:56.028]  Here's the headline.
[00:12:56.028 --> 00:12:59.871]  Kudeytah in Turkey, Ergun flees to US airbase.
[00:12:59.871 --> 00:13:01.832]  This is the hacked article.
[00:13:02.870 --> 00:13:06.773]  That was put up by someone not in InfoWars.
[00:13:33.531 --> 00:13:44.843]  Double our load balancing systems, to use an old-fashioned term, with more media tentacles.
[00:13:44.843 --> 00:13:49.148]  And we're always adding new tentacles, new heads to the Hydra, and so we're just going to grow a bunch more.
[00:13:49.148 --> 00:13:49.828]  That's what we do.
[00:13:49.828 --> 00:13:50.870]  In fact, that's when we grow.
[00:13:50.870 --> 00:13:53.733]  That's our directive to grow when we're effectively attacked.
[00:13:54.741 --> 00:14:03.509]  That's in all organisms across this planet, and we follow the genetic model that God's laid down when it comes to info war.
[00:14:03.509 --> 00:14:08.513]  And so now we're going to just expend even more capital and just get more aggressive and work even harder.
[00:14:08.513 --> 00:14:12.496]  And we're going to double our output now against the enemy in the next 12 months.
[00:14:12.496 --> 00:14:15.459]  It was already pretty much planned, but I'm going to ensure that happens.
[00:14:15.459 --> 00:14:17.701]  So just continue to attack.
[00:14:17.701 --> 00:14:20.123]  The more successful you are, the more successful we'll be.
[00:14:20.123 --> 00:14:20.903]  That's how this works.
[00:14:21.934 --> 00:14:33.120]  So breaking, they successfully hacked InfoWars and posted a fake article that Ergun, the pretty much dictator, he had a staged election.
[00:14:33.120 --> 00:14:36.021]  The guy caught by the Russians buying the ISIS oil.
[00:14:36.021 --> 00:14:38.143]  The Russians have blown up thousands of their trucks.
[00:14:38.143 --> 00:14:40.424]  They're now stopped the route out of Iraq.
[00:14:41.955 --> 00:14:51.901]  Um, up into Turkey, up through Syria, and so now they're going out of Iraq into Turkey, and there are thousands of trucks lined up there.
[00:14:51.901 --> 00:14:53.923]  The Russians have exposed all that.
[00:14:53.923 --> 00:14:58.125]  And so, uh, Ergun is threatening to blow up Russian ships in the Mediterranean.
[00:14:58.125 --> 00:14:59.486]  He's threatening to start World War III.
[00:14:59.486 --> 00:15:01.528]  He's threatening to shoot down more aircraft.
[00:15:01.528 --> 00:15:09.873]  The Russians, uh, obviously have been pointing out that Ergun, a month ago, invaded Iraq, uh, with actual tank battalions.
[00:15:10.333 --> 00:15:29.049]  They actually sent ground troops in, and so it is just a full-on battle with Saudi Arabia, Turkey, and NATO, and others, fighting the Russians, the Iraqis, and the Syrians, who are battling the Al-Qaeda forces that are the proxy warriors for the West.
[00:15:29.049 --> 00:15:36.936]  And this is all just spilling out into the open, and so we see these feeble, I mean it is feeble,
[00:15:38.226 --> 00:15:42.068]  I mean, you go on, you post a fake article, like we're going to be upset by that.
[00:15:42.068 --> 00:15:44.990]  We're just going to come out and expose that you successfully did that.
[00:15:44.990 --> 00:15:47.852]  We'll just change our passcodes, increase our security.
[00:15:47.852 --> 00:15:52.415]  We've been, compared to a lot of other media outlets, very successful defeating a lot of this.
[00:15:52.415 --> 00:15:54.216]  We have a lot of great top hackers and people.
[00:15:55.919 --> 00:16:03.262]  Like Mr. Gray and others I need to get back in contact with who do routine analysis of the holes in our systems.
[00:16:03.262 --> 00:16:05.443]  There's always holes in everything.
[00:16:05.443 --> 00:16:08.524]  But we try to keep those holes to a minimum.
[00:16:08.524 --> 00:16:12.426]  So this is ongoing and it's what we expect.
[00:16:12.426 --> 00:16:16.067]  It's what we expect engaging the globalists.
[00:16:16.067 --> 00:16:19.149]  So there you see Paul Watson's account hacked.
[00:16:19.149 --> 00:16:21.249]  It is now shut down by Twitter for now.
[00:16:21.249 --> 00:16:24.491]  Locked down until Paul, who is in transit,
[00:16:25.410 --> 00:16:28.071]  Uh, visiting family in Europe.
[00:16:28.071 --> 00:16:32.473]  So as soon as he's able to, uh, he will get the Twitter account back under his control.
[00:16:32.473 --> 00:16:35.435]  Uh, the hackers are not, are no longer in control.
[00:16:35.435 --> 00:16:36.655]  Twitter has locked it down.
[00:16:36.655 --> 00:16:41.618]  Uh, our Twitter account is locked down right now, but we're in contact with them.
[00:16:41.618 --> 00:16:48.941]  Uh, they didn't successfully take over the real Alex Jones, but they successfully tried to change the passcode so many times it locked out.
[00:16:50.956 --> 00:16:53.078]  And by the way, these are long passcodes.
[00:16:53.078 --> 00:16:58.862]  These are not our dates of birth or our mommy's dates of birth or middle names.
[00:16:58.862 --> 00:17:02.285]  You know, the classic questions banks ask you.
[00:17:02.285 --> 00:17:07.109]  So they clearly got a breach into someone's computer.
[00:17:09.397 --> 00:17:12.580]  We're really going into the info war against these people.
[00:17:12.580 --> 00:17:14.322]  Kevin Booth, who's had major documentaries air on Showtime and on HBO.
[00:17:33.203 --> 00:17:42.983]  And on other major networks, documentary filmmaker, also film producer, good friend of mine, known for years, Bill Hicks producer.
[00:17:44.071 --> 00:17:53.455]  He was already going to be in studio today and he has a major Turkish insider who's been tracking ISIS and the government working with ISIS.
[00:17:53.455 --> 00:17:56.876]  This gentleman is now in hiding and has had to flee Turkey.
[00:17:56.876 --> 00:17:59.397]  He is going to be joining us with Kevin via Skype.
[00:17:59.397 --> 00:18:01.038]  Kevin Booth will be in the in-studio.
[00:18:01.038 --> 00:18:06.720]  He's back in Texas visiting family over the Christmas holiday, normally out in Los Angeles.
[00:18:06.720 --> 00:18:12.223]  So we are going to show you exclusive footage from Istanbul, Turkey.
[00:18:13.437 --> 00:18:14.018]  We're good to go.
[00:18:35.458 --> 00:18:36.779]  Wasn't playing both sides.
[00:18:36.779 --> 00:18:37.859]  People say, oh, they were just playing both sides.
[00:18:37.859 --> 00:18:38.819]  No, they weren't.
[00:18:38.819 --> 00:18:46.643]  They have been working from day one with the Russians and with the Syrians to not let Al Qaeda and Saudi Arabia take over.
[00:18:46.643 --> 00:18:48.203]  They've been totally against it.
[00:18:48.203 --> 00:18:51.585]  They went public three years ago and said, don't be Al Qaeda's air force.
[00:18:51.585 --> 00:18:53.345]  It was such a big deal.
[00:18:53.345 --> 00:18:57.887]  I told you it won't bring down the globalist overnight, but it has wounded them grievously.
[00:18:57.887 --> 00:18:58.848]  They're crippled right now.
[00:18:59.662 --> 00:19:14.006]  Like, you know, the Bismarck German battleship, twice the size of the British battleships, finally had its rudder shot, and it was spinning in circles, and it wasn't long until it went to the bottom of the deep blue sea to Davy Jones' locker.
[00:19:14.006 --> 00:19:26.589]  Well, this is the type of crippling blow, just like the Russians blowing climate change wide open by hacking the UN and the University of Cambridge, and England and others.
[00:19:26.589 --> 00:19:28.650]  This is a devastating blow.
[00:19:29.551 --> 00:19:31.252]  Devastating.
[00:19:31.252 --> 00:19:35.415]  And we intend to continue rubbing, rubbing into the wound.
[00:19:35.415 --> 00:19:43.502]  This just has them howling mad that the criminals that have hijacked our government have been caught running ISIS.
[00:19:43.502 --> 00:19:56.251]  They now have the Democrats out saying they want national taxes to pay for the fight against ISIS that Hillary Clinton literally laid down on her back four years ago and gave birth to.
[00:19:56.251 --> 00:19:58.193]  I mean, that baby came out of mama.
[00:19:59.381 --> 00:20:00.782]  911, what is your emergency?
[00:20:00.782 --> 00:20:02.304]  There's somebody in my house.
[00:20:02.304 --> 00:20:03.565]  Hurry, please.
[00:20:03.565 --> 00:20:06.528]  A home break-in happens every 22 seconds.
[00:20:06.528 --> 00:20:10.952]  Homes without a security system are up to three times more vulnerable to a burglary.
[00:20:10.952 --> 00:20:12.873]  That's why they're SimpliSafe.
[00:20:12.873 --> 00:20:17.878]  In an emergency, our advanced wireless technology alerts police up to 10 times faster.
[00:20:17.878 --> 00:20:23.523]  And your connection to emergency services can't be cut because SimpliSafe doesn't rely on landlines.
[00:20:23.763 --> 00:20:27.226]  SimplySafe costs less than half what traditional companies charge.
[00:20:27.226 --> 00:20:31.149]  Just $14.99 a month and there's no commitment to an annual contract.
[00:20:31.149 --> 00:20:34.271]  Protect your family with the highest caliber security.
[00:20:34.271 --> 00:20:40.876]  Go now to SimplySafeDefense.com and get 10% off with free shipping and a three-year warranty.
[00:20:41.136 --> 00:20:44.879]  Hurry, and you'll also receive a keychain remote worth $25.
[00:20:44.879 --> 00:20:47.201]  Try SimpliSafe for a full 60 days.
[00:20:47.201 --> 00:20:50.784]  You'll feel confident that your family is safe or your money back.
[00:20:50.784 --> 00:20:54.588]  Go to SimpliSafeDefense.com right now.
[00:20:54.588 --> 00:20:56.830]  SimpliSafeDefense.com
[00:20:58.715 --> 00:21:04.919]  Our bloated federal government and a coterie of megacorporations are hoping that we all have the memory of a goldfish.
[00:21:04.919 --> 00:21:08.101]  We forget to use those holiday gift cards.
[00:21:08.101 --> 00:21:17.267]  Every year, millions of Americans are unknowingly letting government institutions and megacorporations steal billions of dollars of their money.
[00:21:17.267 --> 00:21:19.428]  Instead, use your gift cards to help support
[00:21:19.428 --> 00:21:19.668]  We're good.
[00:21:39.457 --> 00:21:41.740]  Don't throw those gift cards away.
[00:21:41.740 --> 00:21:50.150]  Use that money to get high quality products and save 15% in the process, all the while funding the tip of the spear in the fight for human liberty worldwide.
[00:21:50.150 --> 00:21:51.532]  That's a 360 win.
[00:21:51.532 --> 00:21:53.394]  Don't donate your money to the banksters.
[00:21:53.394 --> 00:21:57.680]  Visit InfoWarsTore.com and help fund the tip of the spear in the fight for human liberty.
[00:21:58.462 --> 00:22:05.549]  Something just happened that has explained why survival food is literally flying off the shelves and has sold out in many areas of the country.
[00:22:05.549 --> 00:22:09.533]  It caught me totally by surprise, and it involves FEMA.
[00:22:09.533 --> 00:22:12.936]  I couldn't believe FEMA tried this until I saw proof.
[00:22:12.936 --> 00:22:18.041]  Revealing their secret could land me in hot water, but I think you deserve to know exactly what they're doing.
[00:22:18.621 --> 00:22:29.145]  Watch the viral video at FEMA3.com before it disappears again, but be warned, it's really disturbing because the fact is, they must know something we don't.
[00:22:29.145 --> 00:22:39.170]  Go to FEMA3.com to see the number one item you should be hoarding and why supplies of this critical item are so low or even completely sold out at many stores across America.
[00:22:39.870 --> 00:22:41.091]  Don't miss out.
[00:22:41.091 --> 00:22:46.297]  Watch the controversial video that thousands of other smart patriots have already seen in recent days.
[00:22:46.297 --> 00:22:51.903]  Go to FEMA3.com and discover the number one most critical item in a crisis.
[00:22:51.903 --> 00:22:55.566]  Watch the shocking video right now at FEMA3.com.
[00:22:55.566 --> 00:22:56.628]  Again, that's FEMA3.com.
[00:22:58.544 --> 00:22:59.364]  This is Dan Pilla.
[00:22:59.364 --> 00:23:01.145]  Do you have the IRS money you can't pay?
[00:23:01.145 --> 00:23:02.806]  Are tax debts crippling you?
[00:23:02.806 --> 00:23:05.627]  I've defended people from the IRS for over 30 years.
[00:23:05.627 --> 00:23:07.908]  I've helped thousands and I can help you too.
[00:23:07.908 --> 00:23:12.430]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[00:23:12.430 --> 00:23:16.372]  Call 800-34-NO-TAX to finally get free of IRS debt.
[00:23:16.372 --> 00:23:20.134]  With the IRS's new programs, there's never been a better time to solve your problem.
[00:23:20.134 --> 00:23:20.554]  Call 800-34-NO-TAX.
[00:23:20.554 --> 00:23:22.195]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:23:27.654 --> 00:23:31.117]  So you've got to take a state construction license exam or certification.
[00:23:31.117 --> 00:23:33.559]  Can't decide on what books or what chapters to study?
[00:23:33.559 --> 00:23:38.123]  Discover right now how you can eliminate unnecessary books and wasted study time.
[00:23:38.123 --> 00:23:45.689]  At ContractorExam.com, our study materials zero in on state-required test topics in an effective, multiple-choice format.
[00:23:45.689 --> 00:23:53.335]  So whether you're a plumber, electrician, general contractor or other construction-related trade, ContractorExam.com will help get you prepared.
[00:23:53.335 --> 00:23:57.118]  Visit us at www.ContractorExam.com today.
[00:24:04.241 --> 00:24:07.605]  So to be clear, I'm going to move out of this hacking story of InfoWars.
[00:24:07.605 --> 00:24:13.291]  Again, InfoWars successfully hacked, but you've got to quantify success.
[00:24:13.291 --> 00:24:21.020]  The camel's nose did get under the tent flap, but we stomped on it within 11 minutes, 12 minutes of it being under the flap.
[00:24:21.020 --> 00:24:23.944]  So it ran honking and squawking off into the desert.
[00:24:25.182 --> 00:24:26.964]  Quite literally.
[00:24:26.964 --> 00:24:34.791]  But we will continue to redouble our vigilance and track exactly what's going on, obviously.
[00:24:34.791 --> 00:24:45.760]  But they were able to get into InfoWars about, now about 45 minutes ago, for 11 minutes, and they posted the article.
[00:24:45.760 --> 00:24:46.601]  Here it is.
[00:24:46.601 --> 00:24:48.863]  We have a screenshot of it of your TV viewer.
[00:24:48.863 --> 00:24:51.245]  Adon Salazar is writing an article on this right now.
[00:24:52.486 --> 00:24:56.450]  And you will have a screenshot of that for radio listeners in the next hour or so.
[00:24:56.450 --> 00:24:57.031]  Breaking!
[00:24:57.031 --> 00:24:59.874]  coup d'etat in Turkey, Erdogan flees to U.S.
[00:24:59.874 --> 00:25:00.835]  airbase.
[00:25:00.835 --> 00:25:08.383]  President Erdogan Tuesday was overthrown as a result of coup d'etat.
[00:25:08.383 --> 00:25:12.288]  And it was put out by quote, David Knight is who they claimed did it.
[00:25:13.826 --> 00:25:14.847]  So there you go.
[00:25:14.847 --> 00:25:18.452]  That is what they were able to do.
[00:25:18.452 --> 00:25:20.855]  They were able to hijack Paul Watson's account successfully.
[00:25:20.855 --> 00:25:26.623]  They tried to hijack our Twitter account and it looks like they tried to get into everything else but failed.
[00:25:31.232 --> 00:25:36.975]  So they had some sophisticated computer systems plugged into things trying to break through codes and things.
[00:25:36.975 --> 00:25:42.678]  They didn't just get through an admin and then use that to get into some of the other accounts.
[00:25:42.678 --> 00:25:49.321]  They were in there trying to figure out codes across a wide spectrum of different systems.
[00:25:49.321 --> 00:25:51.903]  So this is not one person.
[00:25:51.903 --> 00:25:53.844]  And they're acting like they're the electronic
[00:25:55.009 --> 00:26:02.296]  The Syrian Electronic Army is pro-Syrian government, anti-Al Qaeda, al-Nusra, anti-ISIS.
[00:26:02.296 --> 00:26:13.347]  So this is done, in my opinion, with a first approximation, to discredit the Syrian Electronic Army and InfoWars.
[00:26:13.347 --> 00:26:15.570]  And again, I want to be clear, we don't engage in hacking.
[00:26:16.909 --> 00:26:21.897]  We don't engage in anything that could be considered illegal.
[00:26:21.897 --> 00:26:23.640]  We're out in the open, in the sunshine.
[00:26:23.640 --> 00:26:25.263]  It's where we fight these tyrants.
[00:26:25.263 --> 00:26:26.746]  It's where we choose to meet the vampires.
[00:26:26.746 --> 00:26:27.908]  We don't scurry around in the dark.
[00:26:29.861 --> 00:26:35.924]  That's why usually when I go to an investigative report or something or I'm going to a foreign country, I say, I'm coming to your country to do this.
[00:26:35.924 --> 00:26:39.886]  And I tell the security services in an article addressed to them what I'm doing.
[00:26:39.886 --> 00:26:46.990]  And then they have, you know, MI5 and MI6 waiting for me at the hotel, want to have dinner and, you know, talk about what's coming up at Bilderberg.
[00:26:46.990 --> 00:26:48.250]  And I'd just rather have it that way.
[00:26:51.215 --> 00:26:52.296]  I'm a white knight, folks.
[00:26:52.296 --> 00:27:02.383]  I'm up here on the Green Hill, on the horse, with my spear, and, you know, I don't claim to be the toughest guy or the smartest guy around, but I know this, I'm going to take on tyranny.
[00:27:02.383 --> 00:27:05.946]  And I have nothing to be afraid of or ashamed of, because I'm in the right.
[00:27:05.946 --> 00:27:14.232]  And if I get struck down or destroyed or set up or politically assassinated with disinformation, that's just the way the cookie crumbles, folks.
[00:27:14.232 --> 00:27:17.335]  Our ancestors fought tooth and nail that we have basic liberty today.
[00:27:18.277 --> 00:27:22.641]  And I'm not going to let down my family name or my ancestors.
[00:27:22.641 --> 00:27:24.983]  So, I'm committed.
[00:27:24.983 --> 00:27:29.867]  So many people are scared of being demonized by the media or being physically attacked.
