[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[17:15.000 --> 17:20.000]  Jill Stein's recount could also throw the result in doubt in Wisconsin, Michigan, and Pennsylvania.
[17:20.000 --> 17:26.000]  Electors are also being bombarded with death threats and pressure to change their votes from Hillary supporters.
[17:26.000 --> 17:35.000]  This would be totally unprecedented, and it's a long shot, but it illustrates the left's desperation to do anything to sabotage Trump.
[17:35.000 --> 17:41.000]  Many of these electors will be breaking the law if they vote against the will of the people in their states.
[17:41.000 --> 17:50.000]  But in most cases, the punishment is a fine of just $1,000, and many of them will happily pay that to try and keep Trump out of office.
[17:50.000 --> 17:55.000]  As with the recount, it's virtually impossible to prevent Trump from taking the presidency.
[17:55.000 --> 18:06.000]  This dirty tricks campaign will help create the narrative that Trump's presidency is illegitimate, a narrative already being framed by the constant assertion that Hillary Clinton won the popular vote.
[18:06.000 --> 18:33.000]  Erailing Trump's effort to implement significant policy changes within his first 100 days, could 15 or more electors really be planning to defy the democratic will of the American people, over 62 million of whom voted for Donald Trump?
[18:33.000 --> 18:43.000]  Jill Stein is a complete idiot. Her recount campaign has nothing to do with electoral integrity. It's a vicious assault on the very bedrock of democracy itself.
[18:43.000 --> 18:47.000]  This is not being done to benefit one candidate at the expense of the other.
[18:47.000 --> 19:05.000]  Really? Is that why all the recounts are taking place only in states that Trump won? Why not a single recount in a blue state that Hillary narrowly won? Jill Trump won Pennsylvania by 78,000 votes, while Clinton won New Hampshire by less than 3,000 votes,
[19:05.000 --> 19:18.000]  she won Minnesota by less than 44,000 votes and Nevada by around 26,000 votes. Smaller margins than Trump won Pennsylvania in every case. Why no recount in any of those states?
[19:18.000 --> 19:26.000]  Why a recount in Michigan, which doesn't even use electronic voting machines? None of their systems are even connected to the internet.
[19:26.000 --> 19:36.000]  Well, Stein and Hillary Clinton's campaign admit they have no proof whatsoever of any fraud. But Jill's only doing this because she really cares about democracy.
[19:36.000 --> 19:46.000]  In fact, Jill cares so much about democracy that she spent the last few days fawning over someone who spent his entire life sending democracy activists to gulags.
[19:46.000 --> 20:02.000]  Fidel Castro was a symbol of the struggle for justice in the shadow of empire, presente. So you're calling for electoral integrity while praising a dictator who ruled for half a century without a proper election?
[20:02.000 --> 20:16.000]  Americans deserve fair, transparent elections. You're saying Americans deserve fair, transparent elections while genuflecting over someone who presided over a one-party state for 50 years. Give me a break.
[20:16.000 --> 20:28.000]  Hey, Jill, Cuba's last election seemed a little bit fishy. How about a recount there? And while you're at it, why don't you audit California and find out how many illegal aliens voted for Hillary?
[20:28.000 --> 20:38.000]  That's not going to happen, is it, Jill? Because this has nothing to do with electoral integrity. It's about you remaining relevant, having failed to get barely 1% of the vote.
[20:38.000 --> 20:50.000]  It's about you fooling people into giving you a ton of money for something disguised as a recount, which when you read the fine print actually says the surplus money is going straight into the Green Party's back pocket.
[20:50.000 --> 21:06.000]  It's about you trying to regain lefty street cred by doing Hillary's dirty work for her. It's about the left trying to delegitimize Trump's presidency before it even begins by stripping him of his electoral college margin of victory, forcing Congress to directly select Trump.
[21:06.000 --> 21:19.000]  It's all about her Hillary when the popular vote morons can go out and riot again full of contrived, righteous indignation. Unless they engage in brazen fraud, Trump is still going to be president.
[21:19.000 --> 21:27.000]  But given that the recounts probably won't even be done in time, they're going to use this to disrupt the electoral college vote before December 19th.
[21:27.000 --> 21:37.000]  Oh, and isn't it just rich that the raised corpse of Hillary, only people who hate democracy challenge election results? Clinton is now hovering in the background of all this.
[21:37.000 --> 21:41.000]  Maybe November Hillary should have listened to October Hillary.
[21:41.000 --> 21:48.000]  To say you won't respect the results of the election, that is a direct threat to our democracy.
[21:48.000 --> 21:53.000]  Look, some people are sore losers and, you know, we just, we just got to keep going.
[21:53.000 --> 22:03.000]  The same hag who lectured us about being sore losers refused to even concede to Trump on election night until Obama basically forced her to.
[22:03.000 --> 22:09.000]  She also reneged on a deal with Trump to concede within 15 minutes of the Associated Press announcing the winner.
[22:09.000 --> 22:18.000]  Now George Soros, globalist despot who specializes in overthrowing democratically elected governments, has been connected to the recount campaign.
[22:18.000 --> 22:20.000]  Well, imagine my shock.
[22:20.000 --> 22:27.000]  Listen, don't think that just because Trump won the presidency, they're actually going to let him become president without a fight.
[22:27.000 --> 22:34.000]  The political elite don't play by the rules. The rioting, hateful, but her intolerant left are their attack dogs.
[22:34.000 --> 22:39.000]  They're perfectly willing to trash democracy when the result doesn't go their way.
[22:39.000 --> 22:45.000]  Look at Brexit, nearly six months later, they're still doing everything to sabotage it.
[22:45.000 --> 22:49.000]  Between now and January, we have a massive battle on our hands.
[22:49.000 --> 22:53.000]  Listen up, Jill. We know you have complete contempt for democracy.
[22:53.000 --> 22:56.000]  We know you're bought and paid for by Team Hillary.
[22:56.000 --> 22:59.000]  We know you're a lying piece of s***.
[22:59.000 --> 23:05.000]  Why not just admit the real reasons for all this and stop pretending it's about electoral integrity,
[23:05.000 --> 23:13.000]  while you simultaneously praise dictators who once imprisoned and killed those who actually fought for electoral integrity?
[23:13.000 --> 23:23.000]  Take your George Soros money, go back to being a political failure, and stop being used as a pawn to overturn the democratic will of the American people.
[23:31.000 --> 23:34.000]  All right, it's December 1st. I'm David Knight here, live in the studio.
[23:34.000 --> 23:37.000]  We're going to be having Gerald Salenty join us in the next hour.
[23:37.000 --> 23:47.000]  He's going to be looking at, I'm sure, a lot of economic issues, post-election issues, looking forward to seeing what Gerald has to say about the cabinet picks that we've seen,
[23:47.000 --> 23:53.000]  especially the Treasury Secretary that we had yesterday, Steve Mnuchin.
[23:53.000 --> 23:56.000]  There's been a lot of talk about Steve Mnuchin, and we're going to get to that first,
[23:56.000 --> 24:03.000]  but I want to follow up with what Paul Watson was just talking about, the 15 electors saying they're going to refuse to vote for Trump.
[24:03.000 --> 24:07.000]  Most of this elector stuff and the talk that we've seen has been coming from Democrats.
[24:07.000 --> 24:10.000]  Isn't it interesting in Colorado and other places like that?
[24:10.000 --> 24:14.000]  But I'm sure there's a strong never Trump strain in there.
[24:14.000 --> 24:18.000]  I think it may have to do with Trump picking Reince Priebus.
[24:18.000 --> 24:21.000]  Perhaps he picked Priebus to shut that down.
[24:21.000 --> 24:24.000]  Remember, the same thing was happening in the lead up to the RNC.
[24:24.000 --> 24:34.000]  They were saying, well, we had an election and you should have electors going to represent the particular candidate, but they're not.
[24:34.000 --> 24:38.000]  They're going to vote their own conscience and defy what the electors want.
[24:38.000 --> 24:41.000]  That was what the never Trump people were pushing at the time.
[24:41.000 --> 24:49.000]  And actually, I think that was probably a more dangerous time because if you want to state, you didn't get to pick those electors.
[24:49.000 --> 24:56.000]  And so we saw Ted Cruz going in and getting people who supported him rather than people who supported Trump if Trump won the state.
[24:56.000 --> 24:58.000]  We saw that happening over and over again.
[24:58.000 --> 25:00.000]  It's a different deal when it comes to electoral college.
[25:00.000 --> 25:05.000]  In the electoral college, you have a slate of electors that are picked by that party.
[25:05.000 --> 25:16.000]  So if you can keep that party in line, if you can have somebody like Reince Priebus, keep that party in line so that you've got people who are supporting the Republican rather than Hillary Clinton,
[25:16.000 --> 25:19.000]  then I think we're going to be in good shape.
[25:19.000 --> 25:27.000]  And I think as we look at all of this talk about Jill Stein, we got to remember that this lady doesn't understand economics.
[25:27.000 --> 25:33.000]  She's a socialist. She's praising Castro, as you just saw in the report from Paul Joseph Watson.
[25:33.000 --> 25:35.000]  She doesn't appreciate democracy.
[25:35.000 --> 25:40.000]  She doesn't understand how the process works, just like these people who immediately took to the streets.
[25:40.000 --> 25:43.000]  They looked at a lot of these protesters who were arrested.
[25:43.000 --> 25:45.000]  Most of them were not even registered to vote.
[25:45.000 --> 25:51.000]  Okay, that's the way they participate in the elections is after the fact to burn stuff down.
[25:51.000 --> 25:54.000]  But she doesn't even understand how the appeal process works.
[25:54.000 --> 25:57.000]  She missed the deadline in Pennsylvania by full week.
[25:57.000 --> 26:01.000]  That means that those 20 votes would still be there for Donald Trump.
[26:01.000 --> 26:11.000]  And if that all holds, then even if she's able to stop these other two states from participating in the electoral college, then he would still have 280 votes.
[26:11.000 --> 26:16.000]  So that's something that bears watching. I think that explains a lot of the things that are going on there.
[26:16.000 --> 26:21.000]  And of course, it is a move to really come after the electoral college.
[26:21.000 --> 26:23.000]  We need to understand that as well.
[26:23.000 --> 26:26.000]  All these people who are pushing for this is kind of interesting.
[26:26.000 --> 26:29.000]  I was going to talk about this yesterday, but we didn't have time to talk about it.
[26:29.000 --> 26:33.000]  They've actually got a group that names themselves after Hamilton.
[26:33.000 --> 26:39.000]  The irony of it was that Hamilton was an elitist who didn't trust the people.
[26:39.000 --> 26:41.000]  He supported the electoral college.
[26:41.000 --> 26:44.000]  And yet these people are saying, well, we want Hamilton electors.
[26:44.000 --> 26:46.000]  We want to have a direct democracy.
[26:46.000 --> 26:48.000]  And it's like, that's not what Hamilton supported.
[26:48.000 --> 26:49.000]  You don't understand history.
[26:49.000 --> 26:51.000]  You don't know what the guidelines are.
[26:51.000 --> 26:53.000]  You don't understand any of this stuff.
[26:53.000 --> 27:03.000]  But as I pointed out before, the electoral college is a good thing because it is a firewall against the corruption and the concentration of power that we see in large states.
[27:03.000 --> 27:09.000]  And we have an article on infowars.com from Alan West pointing out this very fact.
[27:09.000 --> 27:12.000]  He said, these numbers should shut up liberals about the electoral college once and for all.
[27:12.000 --> 27:21.000]  But he makes a point and he says, our founders in their infinite wisdom created the electoral college to ensure the states were fairly represented.
[27:21.000 --> 27:25.000]  Why should one or two densely populated areas speak for the whole of the nation?
[27:25.000 --> 27:30.000]  And again, we have to understand they viewed and they rightfully so.
[27:30.000 --> 27:33.000]  The federal government was a creation of the states.
[27:33.000 --> 27:38.000]  It's not just we, the people that created the federal government, but the states created the federal government as well.
[27:38.000 --> 27:46.000]  And they were so concerned about the concentration and consolidation of power in the federal government that we have now seen become a reality in our lifetimes.
[27:46.000 --> 27:55.000]  That to try to avoid that, they separated power not only within the federal government, but also between the people and the states.
[27:55.000 --> 28:01.000]  They gave the state governments the power to directly appoint senators and other things which we have now repealed.
[28:01.000 --> 28:04.000]  And that's why we have the kind of concentration that we have in the states.
[28:04.000 --> 28:16.000]  But still, it remains as a firewall to having New York and Chicago and LA, New York City, those three cities essentially pick the presidency.
[28:16.000 --> 28:21.000]  We can see what's happening even in North Carolina where there really is legitimate recount going on there.
[28:21.000 --> 28:30.000]  At the very last minute, a very corrupt Democrat center Durham in North Carolina extended their election times for an hour and a half.
[28:30.000 --> 28:34.000]  And then at midnight, they came in with 100,000 votes that switched the election around for the governor.
[28:34.000 --> 28:40.000]  And yet we see the Democrat lawyers who are pushing for this recount saying we don't want to recount in North Carolina.
[28:40.000 --> 28:49.000]  Because at this point, with Durham's votes thrown in heavily skewed towards Democrats, the Democrat candidate is winning in North Carolina.
[28:49.000 --> 28:57.000]  When we're looking at this recount, I heard on the radio yesterday somebody had someone from, I think it was Wisconsin.
[28:57.000 --> 29:02.000]  Might have been Michigan, but I think it was Wisconsin fighting with Jill Stein.
[29:02.000 --> 29:07.000]  They said this is highly unusual for a candidate who got less than 1% to demand a recount.
[29:07.000 --> 29:09.000]  She has absolutely no chance of winning.
[29:09.000 --> 29:11.000]  And of course, it's not about that.
[29:11.000 --> 29:18.000]  We have a report from Kit Daniels talking about how Hillary is holding up with this and also kind of touches on the motivations behind this.
[29:18.000 --> 29:26.000]  Not only the self-serving motivations of Jill Stein, but also the motivations of the progressives of Barack Obama,
[29:26.000 --> 29:31.000]  initially calling on Hillary Clinton and saying concede, but now encouraging her to participate in the process
[29:31.000 --> 29:37.000]  because he thinks that progressives are stunned and helpless and they've got to rise out of their stupor.
[29:37.000 --> 29:39.000]  And so he thinks this is going to be a morale builder.
[29:39.000 --> 29:43.000]  Stay with us. We'll talk about that and other issues when we come back. We'll be right back.
[29:43.000 --> 29:53.000]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[30:14.000 --> 30:19.000]  Please leave now. Let's take all the good people out of there because there's some good ones down there.
[30:19.000 --> 30:27.000]  And then we'll just dump the rest of Portland and New York and Miami and Austin and all the liberal hellholes.
[30:27.000 --> 30:33.000]  And we'll just dump them all in California and we'll even help break away the land and push you guys out into the ocean.
[30:33.000 --> 30:37.000]  That'd be even better. You don't even have to have borders because guess what?
[30:37.000 --> 30:41.000]  Nobody's going to want to go there because that sounds like hell on earth.
[30:41.000 --> 30:49.000]  Now facing Donald Trump's imminent entrance to the Oval Office, the once outlandish idea of succession doesn't seem so crazy anymore to some Californians.
[30:49.000 --> 31:15.000]  Doesn't sound crazy to me either. See you later. This has been Joe Biggs with Infowars.com.
[31:19.000 --> 31:21.000]  These are the little cups on the end of our chromosomes.
[31:21.000 --> 31:23.000]  And when it runs out, you start dying.
[31:23.000 --> 31:30.000]  We chose the PQQ because it has over 175 different clinical trials. It's one of the most effective substances in the world.
[31:30.000 --> 31:35.000]  It works like an antioxidant. It works to repair nerve growth factor.
[31:35.000 --> 31:39.000]  So this is a formula to deliver the maximum amount. It's in powder form.
[31:39.000 --> 31:44.000]  We have so many five star reviews. I take this. This is the product that I take.
[31:44.000 --> 31:49.000]  Infowarslife.com and the profit we make. We fight the globalists. We fight the new world order.
[31:49.000 --> 32:15.000]  Secure your DNA force today at Infowarslife.com or call toll-free 888-253-3139.
[32:15.000 --> 32:21.000]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[32:21.000 --> 32:30.000]  God was in school. Morality had a future. And beef was for supper. Revelation dawned of global government.
[32:30.000 --> 32:34.000]  We're the solution. Americans ain't nothing more to it than that.
[32:34.000 --> 32:46.000]  Starring Alex Jones, Charlie Daniels, N Special Ops General, Jerry Boykin, theatrical screenings on demand. DVDs now available.
[32:46.000 --> 33:13.000]  We now take you live to the Central Texas Commence Center in the heart of the resistance.
[33:13.000 --> 33:19.000]  Rallying Patriots Worldwide.
[33:19.000 --> 33:35.000]  You're listening to the Alex Jones Show.
[33:35.000 --> 33:44.000]  Welcome back to the Alex Jones Show. I'm David Knight, your host in studio, and Gerald Salenty is going to be joining us in the next hour.
[33:44.000 --> 33:47.000]  He's going to talk about post-election issues. He's going to talk about the economy, the global effects of the Trump presidency trade.
[33:47.000 --> 33:54.000]  He's also going to talk about some of his top 10, top, not top 10, but his top trends for 2017.
