[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[21:58.000 --> 22:07.000]  And I don't talk about my own personal story here to make it about myself but about the whole human experience of us together.
[22:07.000 --> 22:15.000]  And it hit me today stronger than ever that that's why I have such enmity against the New World Order social engineers.
[22:15.000 --> 22:17.000]  Because they really hate humanity.
[22:17.000 --> 22:25.000]  Their shared experience is a disdain for the general public and a will to dumb them down
[22:25.000 --> 22:33.000]  and to try to rob their destinies, try to shutter the doors of perception in their minds.
[22:33.000 --> 22:41.000]  And for me, that is the ultimate sin to want to hurt the innocent, to want to falsely program a mind
[22:41.000 --> 22:57.000]  so that you can rule over a planet of mentally stunted individuals.
[22:57.000 --> 23:04.000]  That is the ultimate sin.
[23:04.000 --> 23:14.000]  So if you have to separate who, those of us that love liberty from those that love evil, it really is those that love light
[23:14.000 --> 23:21.000]  and those that love pain and domination and failure and wickedness and betrayal.
[23:21.000 --> 23:29.000]  Those of us that love starlight, those of us that love the light of the sun, those of us that love the light of a child's eyes,
[23:29.000 --> 23:36.000]  those of us that love the light of a happy chuckle or time well spent with friends,
[23:36.000 --> 23:46.000]  those of us that enjoy and value the fact that we don't betray our people and that we don't betray anyone.
[23:46.000 --> 23:55.000]  We reluctantly crush those that would dominate and enslave us like you step on a scorpion you find in your bed.
[23:55.000 --> 24:14.000]  Darkness is just assaulting every form of goodness because to the darkness, goodness is ugly and must be pulled down and destroyed.
[24:14.000 --> 24:20.000]  I have a lot of news here today and I will comment on the whole Duck Dynasty situation because normally when something's a big mainstream media story,
[24:20.000 --> 24:26.000]  it's a diversion, it's a distraction or it's meant to socially push an agenda and of course that's the case here,
[24:26.000 --> 24:37.000]  but it's important because it's a major battle over the First Amendment and it's a battle that we're actually winning
[24:37.000 --> 24:42.000]  and I want to break that down, but this is not about tolerance for gay people.
[24:42.000 --> 24:51.000]  I want folks out there who are happy in their lives and in those they love and those that they're attracted to.
[24:51.000 --> 25:02.000]  I want you to know that it's not out of some form of guilt or out of some form of being beaten over the head that I say that I don't judge you or dislike you.
[25:02.000 --> 25:08.000]  It's important for you to know that quite frankly, I'm not thinking about you.
[25:08.000 --> 25:18.000]  But frankly, I don't care what you do in your own life. I'm an individual, I'm a libertarian, but I do not want to be conquered by your culture,
[25:18.000 --> 25:28.000]  which is a socialist, democratic party, anti-family, anti-man, anti-woman, control freak agenda and you're just the tip of the spear.
[25:28.000 --> 25:38.000]  Using the goodwill of the general public towards equality and egalitarianism and non-judgmental freedom,
[25:38.000 --> 25:46.000]  you have used our goodwill to push your whole anti-free speech agenda and people are sick of it and it's blown up in your face.
[25:46.000 --> 25:49.000]  And I will talk about that later, but I even have more important news.
[25:49.000 --> 26:02.000]  That's important, but even more important news I must cover first. But it is the assault on the youth of this country and in pushing the sexualization of children,
[26:02.000 --> 26:10.000]  I don't care heterosexual, homosexual, it's pedophilia. And I've had enough of it.
[26:10.000 --> 26:17.000]  And I've had enough of the, you're a racist if you don't agree with Obamacare and the giant screw job that that is.
[26:17.000 --> 26:25.000]  And you're a conspiracy theorist if you're informed and then that's just some throwaway term that ignorant people use to not listen to what you have to say.
[26:25.000 --> 26:35.000]  I'm tired of it. This country and this world is in deep trouble and if you fundamentally as an individual out there don't realize that,
[26:35.000 --> 26:40.000]  you have no connection to reality, no street smarts, no common sense, no nothing.
[26:40.000 --> 26:46.000]  Because this stuff's all staring us in the face now. It's not hiding. It's looking at you eye to eye.
[26:46.000 --> 26:52.000]  And I want to talk again to talk show host, liberal, conservative, libertarian, I don't care who you are.
[26:52.000 --> 26:58.000]  And I've seen some response in a good direction this way and private communication, things like that, that's good.
[26:58.000 --> 27:07.000]  I don't care who you are, whether you're Rachel Maddow or whether you're a local radio host or who you are out there, whether you're Rush Limbar, Glenn Beck.
[27:07.000 --> 27:10.000]  I don't care who you are.
[27:10.000 --> 27:20.000]  I've never been an infighter against humanity. I've never been somebody that snipes at anyone that I believe has a stance of liberty even if I disagree with their perspective.
[27:20.000 --> 27:25.000]  But this is the time for humans to come together who want to have any type of due process for future.
[27:25.000 --> 27:37.000]  Because when we give into corruption, the sky's the limit and we have fallen into a bottomless pit and things are degrading and degenerating and becoming critical right now.
[27:37.000 --> 27:50.000]  And we're going to pass the point of no return towards dominoes falling across the board that are not going to be pretty economically, culturally for sovereignty, you name it.
[27:50.000 --> 28:04.000]  There is such an arrogant assault by the corrupt against everything good that the corrupt are even destroying the very foundational underpinnings of the prosperous structure that has allowed the corrupt to become so wealthy skimming off the top.
[28:04.000 --> 28:08.000]  And the corrupt always do this. They always bring down the whole structure.
[28:08.000 --> 28:17.000]  But I say to all of us who aren't corrupt and who don't have an instinct to hate goodness, we have to rally behind everything good now.
[28:17.000 --> 28:25.000]  And I know sin is alluring. I know corruption is alluring. Believe me, ladies and gentlemen, I understand this stuff up one side and down the other.
[28:25.000 --> 28:37.000]  I would love to use all the rings of Mordor to use that analogy, all the tricks of evil to be successful against evil, but evil used against evil only begets more evil.
[28:37.000 --> 28:43.000]  Terrany only produces more tyranny.
[28:43.000 --> 28:55.000]  But I look into my cultural and spiritual and historical Palantir, my crystal ball, and I can tell you, you shouldn't need a crystal ball to see what we're in, not what's coming.
[28:55.000 --> 29:17.000]  I've got medical news straight ahead in the First Amendment news.
[29:26.000 --> 29:33.000]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code water.
[29:33.000 --> 29:50.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[29:50.000 --> 29:59.000]  Get your pro pure with a new pro one filter today at infowarstore.com or by calling 888-253-3139.
[30:21.000 --> 30:24.000]  But we can help to get it out of our bodies.
[30:24.000 --> 30:40.000]  I am extremely excited to announce the exclusive info wars line fluoride shield formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[30:40.000 --> 30:45.000]  Let's take a stand against the globalist by blocking their poisons with fluoride shield.
[30:45.000 --> 30:53.000]  I use fluoride shield every day, secure your fluoride shield and other pioneering formulations at infowarslife.com today.
[30:53.000 --> 30:57.000]  Let's start cleansing our bodies now and support the info war at the same time.
[30:57.000 --> 30:59.000]  That's infowarslife.com.
[30:59.000 --> 31:04.000]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[31:04.000 --> 31:12.000]  Why do we have the highest cancer rates on the planet, the highest rates of diabetes, autism and every other major disease?
[31:12.000 --> 31:16.000]  It all comes down to one thing, we are what we eat.
[31:16.000 --> 31:20.000]  Our food is devoid of nutrition and processed with poisons and additives.
[31:20.000 --> 31:25.000]  Our water is filled with toxic poisons and big pharma runoff.
[31:25.000 --> 31:27.000]  All of this has been engineered by design.
[31:27.000 --> 31:33.000]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[31:33.000 --> 31:36.000]  To learn more visit infowarshealth.com.
[31:36.000 --> 31:41.000]  The site is literally packed with audio and video featuring top health professionals
[31:41.000 --> 31:43.000]  who don't bow down to big pharma.
[31:43.000 --> 31:46.000]  The fight against the new world order starts with you
[31:46.000 --> 31:51.000]  and you can't stand against the machine of your sick, tired and obese when you visit infowarshealth.com.
[31:51.000 --> 31:56.000]  Be sure and check out the catalog with nearly 400 life-changing products
[31:56.000 --> 31:59.000]  and get free shipping when you sign up for auto-ship.
[31:59.000 --> 32:06.000]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard?
[32:06.000 --> 32:13.000]  The U.S. isn't building huge underground bases and bunkers because of some terrorist threat.
[32:13.000 --> 32:18.000]  They know that a massive nuclear attack is coming, they want that attack to come.
[32:18.000 --> 32:24.000]  Tolskowzen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[32:24.000 --> 32:29.000]  What I tell people is that you do have time, we talk about natural disasters.
[32:29.000 --> 32:32.000]  The health environment, we talk about pollution, the water quality.
[32:32.000 --> 32:35.000]  My personal experience about being in every one of these states,
[32:35.000 --> 32:40.000]  most people wanting to be ready won't be able to get out of town because there will be absolute panic.
[32:40.000 --> 32:42.000]  There is no preparedness without strategy.
[32:42.000 --> 32:45.000]  This Christmas, give the gift of preparedness.
[32:45.000 --> 32:50.000]  Strategic relocation to film with Joel Skowzen and Alex Jones.
[32:50.000 --> 33:08.000]  Available only at infowarshop.com or by calling 888-253-3139.
[33:21.000 --> 33:27.000]  New World Order. It's Alex Jones on the GCN Radio Network.
[33:27.000 --> 33:30.000]  That's right, different strokes for different folks.
[33:30.000 --> 33:33.000]  Takes all kinds to make the world go round.
[33:33.000 --> 33:37.000]  All I know is a frontal assault on tyranny, telling it like it is, not menacing words.
[33:37.000 --> 33:39.000]  I'm sure some of you out there have got better ideas.
[33:39.000 --> 33:43.000]  That's why you need to take action against corruption wherever you find it.
[33:43.000 --> 33:47.000]  Alright, I haven't gotten into any news yet, 33 minutes into broadcast.
[33:47.000 --> 33:50.000]  I mentioned some of it. I want to cover a lot of it right now.
[33:50.000 --> 33:54.000]  First, we've got big medical news, then huge Obamacare news.
[33:54.000 --> 34:01.000]  You've got a day and a half to sign up for it, or you're going to be fined thousands of dollars.
[34:01.000 --> 34:06.000]  Of course, almost no one can sign up for it, and that's how it was written as a giant screw job.
[34:06.000 --> 34:09.000]  We're going to be explaining that and breaking it down as well.
[34:09.000 --> 34:17.000]  Also, the Kyoto news, the Times of... I mean, all the big papers over there are reporting.
[34:17.000 --> 34:23.000]  Massive radiation increases, and they're reporting on U.S. personnel that helped with the cleanup,
[34:23.000 --> 34:26.000]  valiantly dying at record levels of cancer.
