[00:00:00.109 --> 00:00:04.291]  Pat Robertson, you've got to be... Folks, come on!
[00:07:21.565 --> 00:07:27.470]  Also, we have the father of the driver saying, not just that my son didn't drink or take drugs, but on top of it,
[00:07:43.904 --> 00:07:50.947]  Uh, we, uh, the father is saying that it was a fake blood sample, which we know governments do routinely.
[00:07:50.947 --> 00:07:56.730]  The FBI Crime Lab, Houston Crime Lab, dozens of others have been caught in this country doing that.
[00:07:56.730 --> 00:08:01.552]  Well, yeah, the likely explanation is, and that's exactly what Henri Paul saw the data, was that
[00:08:02.673 --> 00:08:21.301]  The body was switched and the blood sample was taken from someone else and yet still the French inquest said that the blood carbon monoxide level, which is to do with how oxygen enters the brain, was at a level of 20% which is also incompatible with the video images.
[00:08:21.921 --> 00:08:43.000]  And so it's at least clear that something happened to Henri Paul in the unaccounted three hours or so before he arrived at the Ritz to be the supplies driver of the Mercedes and of course we can look back to the documented history of mind control which tells us that it's not hard to program people to have suicidal tendencies which is why
[00:08:44.512 --> 00:08:48.694]  Most of the mass shooters immediately kill themselves after going on a rampage.
[00:08:48.694 --> 00:09:09.803]  Well there was an article earlier this week over in Asia where quote a insane western bomb expert just suddenly gets over there and then they release him and now we've got this quote guy who's been in government mental institutions who's a bomb expert running around during the Pacific Asia Summit.
[00:09:10.877 --> 00:09:15.445]  Yeah, every case we see, we can go back to Port Arthur with mass shooting there and again.
[00:09:16.252 --> 00:09:20.735]  The killer goes on a mass rampage and immediately kills himself afterwards.
[00:09:20.735 --> 00:09:21.256]  So this is the cause.
[00:09:21.256 --> 00:09:24.938]  Well, let's take the Tasmanian shooting where 20-something people were killed.
[00:09:24.938 --> 00:09:33.544]  This guy had admittedly been in quote government mental institution care with top known mind control doctors as his doctors.
[00:09:33.544 --> 00:09:40.989]  It's the same thing with Timothy McVeigh had the well-known guy mentioned in MKUltra hearings in 77.
[00:09:40.989 --> 00:09:42.871]  That's his psychiatrist in the prison.
[00:09:43.532 --> 00:09:49.986]  We've got Buford Furrow of the Jewish Center in California, admittedly in the custody of Federal Mine Control experts.
[00:09:49.986 --> 00:09:51.450]  They don't even hide this stuff, Paul!
[00:09:52.486 --> 00:10:01.168]  So it's obvious that that was the program that was being installed, or at least finished off, in the hours before Henri Paul mysteriously arrived on the scene.
[00:10:01.168 --> 00:10:10.130]  And we were talking earlier about the delayed reaction after the crash actually happened, an hour and a half before Diana got to a hospital.
[00:10:10.130 --> 00:10:15.871]  The first man on the scene of the crash was a motorcyclist called Eric Patel.
[00:10:15.871 --> 00:10:16.591]  And he said that
[00:10:17.811 --> 00:10:34.199]  Contrary to the official version of events that there was paparazzi and white Fiat swerving in front of the vehicle and all this, the first person on the scene of the crash said that there were no other cars around and the Mercedes just suddenly veered into the pillar as if by remote control.
[00:10:34.859 --> 00:10:42.662]  And then Patel looked inside the car and saw that Diana's eyelashes were still fluttering and that she was clearly still alive.
[00:10:42.662 --> 00:10:48.464]  So when Patel phoned the police to tell them that Diana had been in a crash, they just laughed at him.
[00:10:48.464 --> 00:10:57.547]  So he actually afterwards drove to the police station where he was immediately arrested and made to sign a statement which he didn't even have a chance to read.
[00:10:58.800 --> 00:11:11.791]  The major smoking gun with the tunnel itself is that the 17 traffic cameras, both before and inside the tunnel, were all mysteriously turned off right as the Mercedes was leaving the Ritz.
[00:11:11.791 --> 00:11:16.455]  And just like Oklahoma City, they've sealed those types of international security.
[00:11:16.455 --> 00:11:20.639]  Just like the Pentagon, just go to the most surveilled place in the world, but no video of the plane.
[00:11:21.992 --> 00:11:33.555]  And the security cameras for the Pont Dalmar Tunnel were actually turned towards the concrete wall right up until two days after the crash, which is obviously just another coincidence.
[00:11:33.555 --> 00:11:49.939]  But furthermore, radio hands in Paris that night reported that right as Diana was leaving the Ritz for the next 20 minutes or so, all police radio traffic was basically died and only returned after the crash.
[00:11:50.703 --> 00:11:54.304]  So we have the, after that we have the hour and a half gap.
[00:11:54.304 --> 00:12:00.305]  Well that's just like when NATO took over Colorado Springs, everything went haywire.
[00:12:00.305 --> 00:12:04.966]  Everything goes dead, so there's no recorded footage of what actually happened.
[00:12:04.966 --> 00:12:15.848]  We have the hour and a half gap between the crash and when Diana arrived in hospital, and the first medical team that arrived inexplicably only had an oxygen mask with them.
[00:12:16.920 --> 00:12:28.998]  And it's clear that they were making sure that she was dead because if there was a prompt response he probably would have lived because the initial people on the scene said that she was still actually talking after the crash.
[00:12:28.998 --> 00:12:30.981]  That's what the bodyguard... This is all coming out on the news.
[00:12:30.981 --> 00:12:32.163]  This is all out in the open.
[00:12:33.764 --> 00:12:46.555]  And the bodyguard stated that she was still talking and one of the first medics on the scene later appeared on the Larry King Show on CNN and said that, quote, she appeared pretty fine.
[00:12:46.555 --> 00:12:57.644]  And when they finally did get her in the ambulance, they were ordered to go no faster than 25 miles an hour and actually drove right past four hospitals which were closer to the scene.
[00:12:58.024 --> 00:13:00.425]  Paul Watson, I want to talk about the aftermath of this.
[00:13:00.425 --> 00:13:02.166]  The type of whitewash we'll see.
[00:13:02.166 --> 00:13:04.086]  Blair saying no inquiry.
[00:13:04.086 --> 00:13:05.467]  Not even a whitewash.
[00:13:05.467 --> 00:13:09.108]  Then I want to get into the latest developments of Dr. David Kelly that a lot of folks probably aren't aware of.
[00:13:09.108 --> 00:13:14.090]  The men in black uniforms that disappear and the police are told not to talk about it.
[00:13:14.090 --> 00:13:19.312]  Then I want to get into what's happening with your national ID cards as we get them here as well.
[00:13:19.312 --> 00:13:20.333]  And take calls.
[00:13:20.333 --> 00:13:21.213]  Stay with us, we'll be back.
[00:13:36.253 --> 00:13:39.514]  Alright, we've got Paul Watson for 30 minutes into the next hour.
[00:13:39.514 --> 00:13:45.156]  And we're going to be taking your calls on any of the subjects.
[00:13:45.156 --> 00:13:48.737]  Terry Shivo Schendler.
[00:13:48.737 --> 00:13:50.117]  Partial birth abortion.
[00:13:50.117 --> 00:13:52.578]  There was no ban yesterday by the Senate, folks.
[00:13:52.578 --> 00:13:54.479]  And we have what the bill actually does.
[00:13:54.479 --> 00:13:55.679]  I have the text of it here in front of me.
[00:13:56.471 --> 00:13:59.373]  They're trying to pacify you, which in and of itself is good news.
[00:13:59.373 --> 00:14:02.334]  It shows that we're having an effect.
[00:14:02.334 --> 00:14:09.578]  Also, we've got some of the global outlook, what's happening with the national ID cards, how they're bringing them forward, the Dr. David Kelly case.
[00:14:09.578 --> 00:14:15.521]  I'd also like to hear from listeners that just thought of this during the break, who've read Order Out of Chaos, Elite Sponsored Care, and The New World Order.
[00:14:15.521 --> 00:14:19.823]  It's the best book I know of in existence, not just because I published it, but it's 330-something pages of just
[00:14:21.849 --> 00:14:24.091]  You know, how the British government carries out terror.
[00:14:24.091 --> 00:14:24.751]  Caught red-handed.
[00:14:24.751 --> 00:14:26.112]  How the Israeli government does it.
[00:14:26.112 --> 00:14:26.673]  How the U.S.
[00:14:26.673 --> 00:14:27.633]  government does it.
[00:14:27.633 --> 00:14:30.355]  How the German government does it.
[00:14:30.355 --> 00:14:33.498]  How the UFO movements controlled by the Rothschilds.
[00:14:33.498 --> 00:14:34.599]  Mainstream news.
[00:14:34.599 --> 00:14:37.641]  Just amazing stuff in this book you're not going to find anywhere else.
[00:14:38.679 --> 00:14:42.480]  And I'd like to hear from listeners that have gotten it and get your review live on air as well.
[00:14:42.480 --> 00:14:42.760]  1-800-259-9231.
[00:14:42.760 --> 00:14:42.940]  800-259-9231.
[00:14:42.940 --> 00:14:59.605]  When we finish up with the Prince of Diana murder story, Paul, and it'd be a conspiracy to say it wasn't a murder, that's what all the evidence shows, order out of chaos.
[00:14:59.605 --> 00:15:00.706]  Why should folks get it?
[00:15:00.706 --> 00:15:04.547]  Why should they get a second copy for $8 off to give to friends and family?
[00:15:06.110 --> 00:15:18.316]  Well, the main feedback that I've got so far about Order Out of Chaos, which is, some of it's from people from Britain, actually, and I've had a lot of emails asking if there's a British outlet for it.
[00:15:18.316 --> 00:15:26.540]  It's useful just to explain to people that they can buy the book from Infowars.com, PrismPlanet.com, if they're in Britain.
[00:15:26.540 --> 00:15:28.621]  You can get it anywhere in the world.
[00:15:28.621 --> 00:15:32.903]  Yeah, we ship to New Zealand, we ship to Germany, we ship to Africa.
[00:15:34.179 --> 00:15:44.530]  The main feedback that I've got is how people like the thoroughly documented style of the book, which is similar to Alex's book Descent Into Tyranny.
[00:15:44.530 --> 00:15:52.259]  With every source I cite, I include a URL and a source from an actual mainstream publication, the online version.
[00:15:52.979 --> 00:15:56.461]  So, people can verify anything that they think doesn't add up.
[00:15:56.461 --> 00:16:01.124]  I mean, there's basically 60 sources for every single chapter.
[00:16:01.124 --> 00:16:10.829]  So, in that sense, it is very different from any other sort of alternative book in that every single thing I say is backed up by mainstream evidence.
[00:16:10.829 --> 00:16:15.852]  Yeah, well, we say that the Israelis founded Hamas and have been caught creating terror groups and bombing things.
[00:16:15.852 --> 00:16:16.532]  It's for rots!
[00:16:17.112 --> 00:16:21.293]  It's the Jerusalem Post.
[00:16:21.293 --> 00:16:30.616]  When we say that British MI5 has been caught doing almost all the bombings, this is admitted BBC and London Guardian and then your own research.
[00:16:30.616 --> 00:16:35.218]  And still, just recently, Harotz and Jerusalem Post are reporting that
[00:16:35.918 --> 00:16:49.172]  All the major bombs are coming out of bomb factories controlled by Israelis and we've had the so-called fake Al-Qaeda group which the Israelis blamed on several bombings and which they claim were Palestinians.
[00:16:49.172 --> 00:16:55.358]  They were arrested and quietly released because it later turned out that they were in fact Mossads.
[00:16:56.159 --> 00:17:00.123]  Bottom line, folks, and they're killing Jews, they're killing Palestinians.
[00:17:00.123 --> 00:17:05.127]  The New World Order is controlling it to destabilize, destroy Israel, destroy the Palestinians.
[00:17:05.127 --> 00:17:06.689]  Now, here's the point.
[00:17:06.689 --> 00:17:14.135]  You need to go to Infowars.com or PrisonPlanet.com and order Order Out of Chaos or Police State 3 Total Enslavement, the video, or Roteturney, the video.
[00:17:14.135 --> 00:17:16.537]  You need to go to Infowars.com or PrisonPlanet.com.
[00:17:17.718 --> 00:17:19.560]  Order Out of Chaos is $19.95.
[00:17:19.560 --> 00:17:23.084]  When you get one copy, get a second copy for $11.95 to give as a gift.
[00:17:23.084 --> 00:17:27.368]  And your purchase supports this show and Prison Planet and our incredible overhead.
[00:17:27.368 --> 00:17:30.571]  Infowars.com, PrisonPlanet.com to order.
[00:17:31.434 --> 00:17:36.858]  Or 1-888-253-3139, or via the phone, that's 888-253-3139, or write to us, Alex Jones, at 3001 South Lamar, Suite 100,
[00:17:48.746 --> 00:17:51.929]  Austin, Texas, 78704.
[00:17:51.929 --> 00:17:52.529]  Don't wait.
[00:17:52.529 --> 00:17:53.150]  Make the call.
[00:17:53.150 --> 00:17:54.110]  Go online.
[00:17:54.110 --> 00:17:54.791]  Write the letter.
[00:17:54.791 --> 00:17:55.351]  Get the book.
[00:17:55.351 --> 00:17:56.352]  Get the films.
[00:17:56.352 --> 00:17:57.853]  Start waking folks up.
[00:17:57.853 --> 00:17:58.834]  You're really missing out.
[00:17:58.834 --> 00:18:00.596]  You've got a family member that's hard to wake up?
[00:18:00.596 --> 00:18:01.496]  Give them a copy of the book.
[00:18:01.496 --> 00:18:03.438]  Give them a copy of the video.
[00:18:03.438 --> 00:18:05.139]  We've got 30 more minutes with Paul Watson.
[00:18:05.139 --> 00:18:07.081]  We're going to go back into Princess Diana.
[00:18:07.081 --> 00:18:07.841]  Recap that.
[00:18:07.841 --> 00:18:09.102]  Hit the final information.
[00:18:09.102 --> 00:18:12.045]  Dig into Dr. David Kelly.
[00:18:12.045 --> 00:18:14.967]  Then get into the National ID cards and take your calls.
[00:18:14.967 --> 00:18:15.528]  Stay with us.
[00:18:15.528 --> 00:18:16.608]  Second hour straight ahead.
[00:18:19.713 --> 00:18:27.960]  Replacement elements are ideal for use in any gravity filter.
[00:18:27.960 --> 00:18:29.281]  Big Brother.
[00:18:29.281 --> 00:18:31.042]  Mainstream media.
[00:18:31.042 --> 00:18:32.804]  Government cover-ups.
[00:18:32.804 --> 00:18:34.385]  You want answers?
[00:18:34.385 --> 00:18:35.946]  Well, so does he.
[00:18:35.946 --> 00:18:40.149]  He's Alex Jones on the GCN Radio Network.
[00:18:40.149 --> 00:18:44.213]  And now, live from Austin, Texas, Alex Jones.
[00:18:47.327 --> 00:18:54.352]  We're already into the second hour of this transmission.
[00:18:54.352 --> 00:18:55.933]  We wage war on corruption.
[00:18:55.933 --> 00:18:58.775]  We crash the lives of disinformation.
[00:18:58.775 --> 00:19:06.921]  We're interviewing Paul Joseph Watson, the researcher and editor of my website, PrisonPlanet.com.
[00:19:06.921 --> 00:19:12.585]  He's also an author of a definitive book on government-sponsored terror and other key New World Order activities.
[00:19:12.585 --> 00:19:15.127]  Order Out of Chaos, Elite Sponsored Terror in the New World Order.
[00:19:17.091 --> 00:19:19.813]  We've got Charles, John, and many others holding.
[00:19:19.813 --> 00:19:21.394]  Your calls are coming up here in a few minutes.
[00:19:21.394 --> 00:19:25.817]  If you want to join us on air, it's 1-800-259-9231.
[00:19:25.817 --> 00:19:34.984]  Paul, in about a minute or two, recap the facts that it's obvious that they murdered Diana, her new letter, then get into what you think the aftermath will be, because I know you've been writing and researching this for years.
[00:19:36.068 --> 00:19:44.533]  And then I want to get into Dr. David Kelly and these dark actors that have been threatening him now being at the scene and some of the different testimony in the inquiry.
[00:19:44.533 --> 00:19:49.896]  Then I want to get into the unification of the World ID card now being implemented from Europe to the U.S.
[00:19:52.202 --> 00:19:52.722]  I don't think so.
[00:20:09.740 --> 00:20:28.474]  Firstly, on top of all the hard evidence that we've already run through, the cameras, the 17 security cameras turning off right before the crash, the police radios going dead, the lack of response after the crash from the medical authorities, the hour and a half delay.
[00:20:28.474 --> 00:20:31.957]  Diana's seen talking by witnesses.
[00:20:31.957 --> 00:20:33.338]  We can throw in the actual
[00:20:34.321 --> 00:20:51.378]  Evidence we have on top of all this, which is kind of the cherry on the cake, it's not the foundation of our assertion that she was murdered, but we have the usual, and we see this in every case, the ritualistic symbols which the Illuminati use to communicate with each other.
[00:20:52.799 --> 00:21:02.709]  The car hitting pillar number 13 and then the memorial being an eternal torch flame, which obviously was also used for the Kennedy Memorial.
[00:21:02.709 --> 00:21:12.078]  And by the way, directly above that tunnel is a little island area where they admit the Romans wrote about that being the center of Druid rituals and sacrifice.
[00:21:12.856 --> 00:21:21.860]  Yeah, it's an ancient pagan sacrificial site and we have the lighted torch just as was the aftermath of the World Trade Center memorial with the lighted flame.
[00:21:21.860 --> 00:21:28.844]  And the same torch, the same torch and black swans at our memorial in England, Kennedy's site, the eternal flame, the burning torch.
[00:21:29.624 --> 00:21:35.647]  So again, it's the Illuminati communicating to each other that this was, in effect, their dirty work.
[00:21:35.647 --> 00:21:41.529]  And that's not the foundation of our case, but it's just the indication that it was an elite hit.
[00:21:41.529 --> 00:21:43.110]  Well, it's like the sniper attack.
[00:21:43.110 --> 00:21:45.631]  Somebody leaves a skull and bones death card.
[00:21:45.631 --> 00:21:48.933]  They always engage in these trappings.
[00:21:48.933 --> 00:21:53.534]  And then we can go into the parallels with the murder of Dr. David Kelly.
[00:21:55.254 --> 00:22:06.945]  Basically, we would expect the circumstances of the deaths of Dr. David Kelly and Princess Diana to be somewhat varied because one was apparently an accident and the other was apparently a suicide.
[00:22:06.945 --> 00:22:16.753]  But it's what the two have in common that indicates that both were in fact murders and indeed both carried out by a team that used the same tactics.
[00:22:16.753 --> 00:22:20.497]  Both David Kelly and Princess Diana were in a sense
[00:22:21.607 --> 00:22:31.935]  Disgruntled former employees Kelly of the British Government and Diana of the Royal Family both had grudges to bear and held sensitive information.
[00:22:31.935 --> 00:22:42.003]  Kelly primarily from his work in bio-specific viruses at Portondale and Diana from her involvement with both Prince Charles and Prince Philip.
[00:22:42.003 --> 00:22:45.186]  So this in itself was a motive for their assassination.
[00:22:45.786 --> 00:22:55.054]  And in both cases, both Diana and David Kelley were on the eve of making an announcement which would have severe ramifications for the authorities.
[00:22:55.054 --> 00:23:05.263]  Kelley on Blair lying about Iraq's WMD and Diana announcing their engagement and in fact pregnancy with Dodi Fayed.
[00:23:05.263 --> 00:23:07.205]  Alright, smashing Paul.
[00:23:07.205 --> 00:23:08.206]  Excellent analysis.
[00:23:09.737 --> 00:23:12.159]  So, for the precision, we'll be right back.
[00:23:12.159 --> 00:23:18.363]  Ladies and gentlemen, for more analysis of this for another 5-10 minutes, then your calls, you can get involved on air.
[00:23:18.363 --> 00:23:21.345]  I'm Alex Jones with Paul Joseph Watson of PrisonPlanet.com.
[00:23:30.288 --> 00:23:31.589]  Big Brother.
[00:23:31.589 --> 00:23:33.371]  Mainstream media.
[00:23:33.371 --> 00:23:35.132]  Government cover-ups.
[00:23:35.132 --> 00:23:36.713]  You want answers?
[00:23:36.713 --> 00:23:38.255]  Well, so does he.
[00:23:38.255 --> 00:23:42.458]  He's Alex Jones on the GCN Radio Network.
[00:23:42.458 --> 00:23:46.542]  And now, live from Austin, Texas, Alex Jones.
[00:23:48.042 --> 00:23:59.025]  Alright, Charlie, John, Brian, Cliff and others, your calls are coming up here in just a few minutes.
[00:23:59.025 --> 00:24:01.266]  We're talking to Paul Joseph Watson.
[00:24:01.266 --> 00:24:04.647]  He missed the analysis of the last 35 minutes.
[00:24:04.647 --> 00:24:08.448]  Boy, I tell ya, it's important stuff.
[00:24:08.448 --> 00:24:14.629]  And I know Paul will post this interview at PrisonPlanet.com in the audio section with all the key interviews we've done.
[00:24:14.629 --> 00:24:16.270]  And several of those are, of course, with Paul.
[00:24:17.114 --> 00:24:22.757]  And hundreds of other prominent people from across the political spectrum, all exposing the New World Order.
[00:24:22.757 --> 00:24:30.161]  Well, I guess a few of them are enemies of freedom socialists, gun grabbers like Ann Coulter.
[00:24:30.161 --> 00:24:34.923]  We're talking to Paul Joseph Watson, author of Ordered Out of Chaos, elite sponsor of terror and the New World Order.
[00:24:34.923 --> 00:24:38.065]  Find out more at Infowars.com or PrisonPlanet.com.
[00:24:39.540 --> 00:25:03.816]  Paul, now Dr. David Kelly, bio-weapons expert, head of Porton Down, engineer, race-specific bio-weapons, blows the whistle that they're lying about weapons of mass destruction, he'd been a hawk, found in the field with electrodes on his chest, undigested pills in his belly, he said he'd been getting threatened, dark actors around him, his phone acting up, that he was going to quote, get his good name out, he was going to make an announcement, he was tired of being attacked,
[00:25:04.828 --> 00:25:08.510]  Suddenly he's found dead with his wrist slit.
[00:25:08.510 --> 00:25:11.632]  The police come up and see weird guys in black military uniforms.
[00:25:11.632 --> 00:25:12.853]  They walk off.
[00:25:12.853 --> 00:25:13.894]  They're told to shut up.
[00:25:13.894 --> 00:25:15.194]  This comes out in the inquiry.
[00:25:15.194 --> 00:25:18.597]  Then they purge themselves and say, OK, we didn't see him.
[00:25:18.597 --> 00:25:19.897]  This is all going on.
[00:25:19.897 --> 00:25:30.564]  Dr. David Kelly, tie that in with the British royalty, the German royalty, the Sachs-Coburg-Gotha family getting rid of their enemies.
[00:25:31.464 --> 00:25:37.267]  Well, we were drawing parallels between the obvious murders of both Diana and Dr. David Kelly.
[00:25:37.267 --> 00:25:40.389]  A couple of points to round that off.
[00:25:40.389 --> 00:25:46.893]  The first people to discover both bodies acted like they were basically mopping up a crime scene rather than
[00:25:47.433 --> 00:25:48.434]  We're good to go.
[00:26:04.951 --> 00:26:13.355]  Also, we have the fact that both Diana and David Kelly stated that they would likely be killed in the coming months.
[00:26:13.355 --> 00:26:16.597]  Obviously, we have the stories on Monday that Diana stated that
[00:26:18.582 --> 00:26:46.262]  She would have a car accident and we had David Kelly coming out in the weeks before his death saying that or in the 10 months or so before his death for the Iraq war stating that if war on Iraq was declared that pretty soon he would be found dead in the woods which is exactly what happened and so we see these parallels between the two cases and so the question to ask is who actually carried out these assassinations?
[00:26:46.967 --> 00:26:48.508]  And Paul, these little tidbits come out.
[00:26:48.508 --> 00:26:51.290]  He's saying, I'll be found in the dead in the woods if I don't shut up.
[00:26:51.290 --> 00:26:53.211]  I've got dark actors threatening me.
[00:26:53.211 --> 00:26:55.132]  Somebody's tapping my phone.
[00:26:55.132 --> 00:26:56.373]  I'm going to get my name back.
[00:26:56.373 --> 00:26:59.875]  We've got Diana saying they're going to make me have a car crash and kill me afterwards.
[00:26:59.875 --> 00:27:05.439]  And I've been threatened by, and it's blanked out in the newspaper, Prince Charles, Prince Philip.
[00:27:06.139 --> 00:27:23.335]  I mean you start and then you've got the cameras all being off in the tunnel and you've got the hour and a half of the hospital and Diana talking and being conscious when the first people got there and then the man who sees all this being arrested by the French and you just keep and then her being pregnant with this Arab child.
