[00:00:15.608 --> 00:00:17.210]  8-8-7-6-6-6-0-6-6 today.
[00:11:22.270 --> 00:11:31.252]  You know, these silly child-like games where it's all in thousands of white papers and even on the news, but then when you criticize, they play the psychological trick and say, oh, you're crazy.
[00:11:31.252 --> 00:11:35.432]  That doesn't exist.
[00:11:35.432 --> 00:11:37.693]  Very, very silly.
[00:11:37.693 --> 00:11:49.175]  So we'll just bypass that mindless debate and get right to the facts that are in our face every single day now.
[00:11:49.175 --> 00:11:50.675]  Later in the show, they can find it.
[00:11:50.675 --> 00:11:51.515]  You guys find that promo?
[00:11:54.338 --> 00:12:04.045]  I was talking about from that local Austin show because I was driving in to do my weekday show from 11 to 3.
[00:12:04.045 --> 00:12:08.629]  I get ready for my radio show at home and I drive into the office at about 1030.
[00:12:11.877 --> 00:12:16.518]  And I heard a local show, which I tune into because I'm on that station.
[00:12:16.518 --> 00:12:18.859]  We do the Sunday show out of it, NewsRadio 590.
[00:12:18.859 --> 00:12:21.680]  Kelby J. Fine, talk station, award-winning.
[00:12:21.680 --> 00:12:23.280]  And I even know both of them that do the show.
[00:12:23.280 --> 00:12:24.340]  I like the show.
[00:12:24.340 --> 00:12:27.301]  It's very entertaining, very well done.
[00:12:27.301 --> 00:12:30.262]  They're very talented.
[00:12:30.262 --> 00:12:38.684]  And more often than not now, lately when I tune in, they make little jokes about me, which I see as a friendly thing.
[00:12:38.684 --> 00:12:40.185]  I mean, they're even plugging PrisonPlanet.com.
[00:12:43.943 --> 00:12:55.628]  But in just a 15 minutes driving from home to work, I heard basically everything that frustrates me encapsulated.
[00:12:55.628 --> 00:13:00.069]  Everything that really makes me wake up with nightmares, encapsulated.
[00:13:00.069 --> 00:13:05.611]  Because I want to warn the good people of this country, and I know I'm right.
[00:13:05.611 --> 00:13:09.633]  I know I have the documents and the legislation and the history and I've done the research.
[00:13:10.202 --> 00:13:22.410]  But I also know it's so horrible what I talk about that I don't blame people for not believing me.
[00:13:22.410 --> 00:13:24.991]  Especially because I get wound up and upset about it.
[00:13:24.991 --> 00:13:26.212]  But that's a catch-22.
[00:13:26.212 --> 00:13:30.054]  You're supposed to get upset about things like this.
[00:13:30.054 --> 00:13:32.876]  So we'll play the clip when we come back and then get into the actual news.
[00:13:32.876 --> 00:13:36.158]  But this is a real-world microcosm of this.
[00:13:36.158 --> 00:13:39.380]  The Austin police continue to shoot Hispanics and blacks in the back.
[00:13:40.734 --> 00:13:54.967]  Every few months in Austin, and regardless of which side of that debate you're on, it'll be a mentally retarded black man waving a stick at the cops, and the cop shoots him 15 feet away.
[00:13:54.967 --> 00:13:56.128]  Clearly no reason to do that.
[00:13:56.128 --> 00:14:04.536]  You know, there's this excessive force, and you see the stories around the country of an autistic kid, and he won't answer the cops, so they shoot him.
[00:14:05.672 --> 00:14:09.115]  Or they taser them and they fall down and get back up and scream for mommy.
[00:14:09.115 --> 00:14:11.676]  It scares the cop, they gun them down.
[00:14:11.676 --> 00:14:17.440]  Regardless of which side of that debate you're on, that's going on here in Austin.
[00:14:17.440 --> 00:14:19.462]  Guys in the back of a car, they both get shot.
[00:14:19.462 --> 00:14:21.503]  The cops say, we thought they were going for a gun.
[00:14:21.503 --> 00:14:23.044]  There was no gun.
[00:14:23.044 --> 00:14:25.986]  But the media kind of leaves that out there and says, where's the gun?
[00:14:25.986 --> 00:14:27.327]  The media knows there's no gun.
[00:14:27.327 --> 00:14:28.949]  They know that's in the police reports.
[00:14:28.949 --> 00:14:30.049]  They know that's admitted.
[00:14:30.049 --> 00:14:33.312]  They just keep that debate going about, was there a gun?
[00:14:33.312 --> 00:14:35.253]  So they don't have to say the cops are wrong.
[00:14:37.438 --> 00:14:39.079]  Cops said we thought he was going for a gun.
[00:14:39.079 --> 00:14:39.840]  There was no gun.
[00:14:39.840 --> 00:14:44.683]  They'd be all over the news showing you the gun.
[00:14:44.683 --> 00:14:48.245]  And yeah, this guy had been arrested for drugs a month before.
[00:14:48.245 --> 00:14:53.349]  Regardless, that doesn't mean you can kill anybody who's out at night in a car.
[00:14:53.349 --> 00:14:57.011]  And if you're going to get some Blue Bell ice cream at midnight, are you gonna get killed next?
[00:14:57.011 --> 00:15:04.396]  The issue here is this... I'm not discussing the police not having their squad car videos on.
[00:15:04.396 --> 00:15:07.318]  Of course, now they're having to admit they actually did, but they're not releasing it.
[00:15:09.312 --> 00:15:21.241]  They're now starting to have to come out because they're having trouble covering this up, and they're now having to admit he didn't have a gun, and they're now having to admit all this, but it's not about all that.
[00:15:21.241 --> 00:15:22.742]  That's not the issue.
[00:15:22.742 --> 00:15:30.207]  A caller called in and said, you know, they treat the blacks and Hispanics on the east side of Austin, Texas, and they have these, you know, type
[00:15:30.620 --> 00:15:32.762]  North, South, East, West, all over the country.
[00:15:32.762 --> 00:15:41.848]  The other side of the tracks, you all have similar stories in your towns or cities, that they treat them differently than they treat the wealthy areas.
[00:15:41.848 --> 00:15:47.973]  You know, in Miami, where it's mainly Hispanic, they treat the wealthy Hispanic areas differently than the poor Hispanic areas.
[00:15:47.973 --> 00:15:57.820]  I think it's more of a money thing, a class thing, because the police treat people that they know can sue them a little bit better than those
[00:15:59.565 --> 00:16:03.466]  That they don't.
[00:16:03.466 --> 00:16:10.689]  When we come back, I know this is kind of a riddle so far, I'm going to break down this microcosm that illustrates everything.
[00:16:10.689 --> 00:16:14.830]  As the caller called in and said, this is basically a eugenics program.
[00:16:14.830 --> 00:16:17.651]  Blacks and Hispanics are expendable.
[00:16:17.651 --> 00:16:21.093]  And the host made a joke going, oh yeah, prisonplanet.com.
[00:16:21.093 --> 00:16:24.934]  Then a lady calls in and says, yeah, let's kill all the Mexicans.
[00:16:24.934 --> 00:16:26.595]  And she was serious.
[00:16:26.595 --> 00:16:27.255]  Stay with us.
[00:16:27.255 --> 00:16:27.835]  I'll explain it.
[00:16:32.956 --> 00:16:38.462]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[00:16:38.462 --> 00:16:39.263]  and the world.
[00:16:39.263 --> 00:16:43.127]  And for the first time in their lives, they are feeling the need for preparedness.
[00:16:43.127 --> 00:16:49.634]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[00:16:49.634 --> 00:16:51.356]  Ready Reserve is the manufacturer.
[00:16:51.636 --> 00:16:59.860]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[00:16:59.860 --> 00:17:04.563]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[00:17:04.563 --> 00:17:10.386]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[00:17:10.386 --> 00:17:12.567]  Many companies do not even offer a catalog.
[00:17:12.567 --> 00:17:15.889]  We will be more than happy to send a catalog to you free of charge.
[00:17:16.229 --> 00:17:18.190]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at ReadyReserveFoods.com.
[00:17:18.190 --> 00:17:20.330]  Factory direct, wholesale pricing from Ready Reserve Foods.
[00:17:20.330 --> 00:17:20.691]  Call us at 1-800-453-2202.
[00:17:31.574 --> 00:17:33.316]  Good day, Jim Newcomer from Midas Resources.
[00:17:33.316 --> 00:17:34.738]  June 5th, 2009.
[00:17:34.738 --> 00:17:35.899]  Gold open this morning at $980.90.
[00:17:35.899 --> 00:17:40.424]  A one ounce gold coin can be purchased for $1,868.504.34 for the half ounce and $252.17 for a quarter ounce.
[00:17:40.424 --> 00:17:41.085]  That's $1,868.504.34 and $252.17.
[00:17:47.212 --> 00:17:53.016]  70% of China's 1 trillion reserves are in dollar, now purchasing 250,000 barrels of oil per day from Iran in euro.
[00:17:53.016 --> 00:17:56.739]  Japanese refiners buy 550,000 barrels, switching dollar to yen.
[00:17:56.739 --> 00:17:57.740]  Bad news for U.S.
[00:17:57.740 --> 00:17:58.421]  currency.
[00:17:58.421 --> 00:18:00.763]  China and Japan hold large positions in dollar.
[00:18:00.763 --> 00:18:02.144]  Trading equals permanent loss.
[00:18:02.424 --> 00:18:04.326]  Call 800-686-2237 for Corsi's report today.
[00:18:04.326 --> 00:18:04.546]  That's 800-686-2237.
[00:18:36.827 --> 00:18:39.988]  We might have a different outlook on how we view our surroundings.
[00:18:39.988 --> 00:18:42.748]  In the past, you may not have put too much thought into it.
[00:18:42.748 --> 00:18:46.749]  But with the current health risks in the world today, it's impossible to ignore it.
[00:18:46.749 --> 00:18:49.330]  There is a solution and it's called Hazrid.
[00:18:49.330 --> 00:18:59.291]  Hazrid utilizes a fogging device that disinfects, sanitizes, and protects against influenza, viruses, bacteria, allergen, mold, and more.
[00:18:59.291 --> 00:19:01.612]  It's tough on germs, but not on children and pets.
[00:19:02.324 --> 00:19:12.086]  You'll receive the fogger, liquid concentrate, enough to make up to 32 gallons of germ-killing power, three respirators, goggles, protective suit, and heavy-duty gloves.
[00:19:12.086 --> 00:19:16.626]  Order right now at hazard.com, and you'll receive double the order of liquid concentrate.
[00:19:16.626 --> 00:19:17.287]  Or call 800-675-0323.
[00:19:17.287 --> 00:19:17.527]  That's 800-675-0323.
[00:19:17.527 --> 00:19:18.407]  Or visit hazard.com.
[00:19:18.407 --> 00:19:19.307]  That's H-A-Z-A-R-I-D.
[00:19:19.307 --> 00:19:19.567]  Protect.
[00:19:19.567 --> 00:19:19.907]  Prepare.
[00:19:19.907 --> 00:19:20.707]  Get your hazard today.
[00:19:31.983 --> 00:19:34.345]  This is Alex Jones for American Tax Settlement.
[00:19:34.345 --> 00:19:43.852]  We have received news that the IRS is currently accepting reduced settlements on back taxes and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:19:43.852 --> 00:19:51.857]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[00:19:51.857 --> 00:19:57.842]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800-506-5904.
[00:20:01.244 --> 00:20:06.288]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:20:06.288 --> 00:20:11.171]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:20:11.171 --> 00:20:19.817]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back, and saving consumers millions of dollars.
[00:20:20.237 --> 00:20:24.721]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:20:24.721 --> 00:20:30.667]  That's 1-800-506-5904.
[00:20:30.667 --> 00:20:31.287]  Call today.
[00:20:31.287 --> 00:20:34.911]  The GCN Radio Network.
[00:20:34.911 --> 00:20:38.354]  Providing the world with hard-hitting talk radio.
[00:20:38.354 --> 00:20:39.515]  GCN.
[00:20:39.515 --> 00:20:41.477]  Great talk radio starts here.
[00:20:57.782 --> 00:21:02.684]  Yeah, that's what we're doing, trying to fight the New World Order and this devilish system.
[00:21:02.684 --> 00:21:05.946]  We're fighting the people that trained the Nazis.
[00:21:05.946 --> 00:21:10.288]  The Nazis were a mere shadow of their mother.
[00:21:10.288 --> 00:21:15.791]  Kind of like Grindel is a mere shadow of his maker.
[00:21:15.791 --> 00:21:17.792]  And who is the Beowulf to take them on?
[00:21:19.614 --> 00:21:25.359]  That is you, the people of this country and this world, who have the dynamic human spirit made in the image of God.
[00:21:25.359 --> 00:21:27.821]  That is what is going to counter the New World Order.
[00:21:27.821 --> 00:21:33.185]  Okay, so, I know about Margaret Sanger and the foundation of the modern U.S.
[00:21:33.185 --> 00:21:37.568]  technological scientific complex, the Rockefeller Foundation.
[00:21:37.568 --> 00:21:42.132]  It's all public information about their plan to kill all blacks.
[00:21:43.047 --> 00:21:49.294]  And to highly reduce anybody else of color and to kill off most whites that could compete with them.
[00:21:49.294 --> 00:21:50.214]  That's their view.
[00:21:50.214 --> 00:21:54.619]  And I'm going to go over the evidence of that coming up here today.
[00:21:54.619 --> 00:22:05.190]  But the issue is, I'm driving along and I hear about, you know, this big debate about rioting that even happened a few weeks ago when they shot these two black guys, killing one asleep in the car.
[00:22:06.474 --> 00:22:16.742]  Rolled up, no loudspeaker, no lights, and yes, it's police policy to turn the lights on and say, you there in the car, get out, hands up, or whatever if the police think that it's suspicious, and that's fine and dandy.
[00:22:16.742 --> 00:22:19.064]  But that's not the debate here.
[00:22:19.064 --> 00:22:23.648]  I'm driving along and I hear a caller go, well, they just don't care as much about blacks and Hispanics.
[00:22:23.648 --> 00:22:25.549]  You know, this is basically eugenics.
[00:22:25.549 --> 00:22:28.151]  They just want to get rid of them.
[00:22:28.151 --> 00:22:30.193]  And I think the host of the show rightfully got it.
[00:22:30.193 --> 00:22:31.694]  It was probably one of my listeners, and they said,
[00:22:32.641 --> 00:22:34.202]  Oh, really?
[00:22:34.202 --> 00:22:35.602]  Oh, PrisonPlanet.com.
[00:22:35.602 --> 00:22:38.883]  Yeah, there's a plan to kill all the blacks and Hispanics.
[00:22:38.883 --> 00:22:39.724]  And I'm okay.
[00:22:39.724 --> 00:22:40.264]  Very funny.
[00:22:40.264 --> 00:22:41.885]  You know, that's fine.
[00:22:41.885 --> 00:22:42.665]  It doesn't bother me.
[00:22:42.665 --> 00:22:43.625]  I mean, I got a thick skin.
[00:22:43.625 --> 00:22:45.066]  I've had Rush Limbaugh attack me.
[00:22:45.066 --> 00:22:47.307]  I've had big Democrats attack me.
[00:22:47.307 --> 00:22:49.407]  I've had National TV attack me.
[00:22:49.407 --> 00:22:51.868]  The New York Times and Bloomberg and L.A.
[00:22:51.868 --> 00:22:54.309]  Times attacked me last week.
[00:22:54.309 --> 00:22:55.390]  Got thick skin.
[00:22:55.390 --> 00:22:56.370]  It means I'm doing my job.
[00:22:56.986 --> 00:22:58.767]  And plus, I've shook both those guys' hands before.
[00:22:58.767 --> 00:23:00.688]  I've even worked with Pryor's brother.
[00:23:00.688 --> 00:23:01.389]  Nice guy.
[00:23:01.389 --> 00:23:02.289]  They were just having fun.
[00:23:02.289 --> 00:23:03.830]  It's a fun show.
[00:23:03.830 --> 00:23:08.793]  But then what came up next is what upset me, and they did counter this lady, and that's good.
[00:23:08.793 --> 00:23:14.517]  But see, they were experiencing exactly what I'm talking about, but that is in high places.
[00:23:14.517 --> 00:23:19.100]  The attitude of this lady is exactly
[00:23:20.060 --> 00:23:22.202]  What runs the New World Order.
[00:23:22.202 --> 00:23:38.836]  But she's a low-level minion who's being attacked by the very same eugenics program, but she's got this arrogant uppity attitude of, yeah, go ahead and kill the Hispanics and blacks, because they're all scum, they're all basically drug addicts, they all are gangbangers, they deserve to die.
[00:23:38.836 --> 00:23:42.259]  Abort them before they're born.
[00:23:42.259 --> 00:23:46.543]  Now, I almost called Friday when I heard this lady, because right as I'm getting out of the car,
[00:23:47.984 --> 00:23:51.166]  I hear her call in before I go and do my own show.
[00:23:51.166 --> 00:23:52.587]  And I just said, you know what?
[00:23:52.587 --> 00:23:54.869]  I'm not going to worry about it.
[00:23:54.869 --> 00:23:58.991]  And I did go on the show and, you know, mention it and cover some eugenics news.
[00:23:58.991 --> 00:24:06.876]  But then I'm driving in to do the show today in these studios, and I hear the promo of clips of the ladies saying it.
[00:24:06.876 --> 00:24:08.337]  So I thought, well, this is perfect.
[00:24:08.337 --> 00:24:09.938]  I'll just play the promo, promo their show.
[00:24:09.938 --> 00:24:12.640]  That'll, you know, kind of a win-win here.
[00:24:12.640 --> 00:24:14.741]  And mention what this lady was saying.
[00:24:14.741 --> 00:24:15.602]  See, to them,
[00:24:16.468 --> 00:24:24.230]  To the host of the local show, who are nice guys, it's so alien to think that people want to kill all the blacks and Mexicans.
[00:24:24.230 --> 00:24:25.991]  And Hispanics.
[00:24:25.991 --> 00:24:27.811]  Because they're not psychopathic killers.
[00:24:27.811 --> 00:24:33.013]  They're nice guys that run in marathons and have families and, you know, are funny guys.
[00:24:33.013 --> 00:24:34.553]  Well, see guys, you gotta grow up.
[00:24:34.553 --> 00:24:36.974]  You gotta look into what I'm saying before you dismiss it.
[00:24:36.974 --> 00:24:42.175]  Because what I'm saying is so hardcore and shocking, I don't blame you for not wanting to believe it.
[00:24:42.175 --> 00:24:45.016]  But you better understand that I have the evidence and I'm telling you the truth.
[00:24:46.277 --> 00:24:50.858]  And that goes for everybody else out there that can't believe what I'm covering and what I'm saying.
[00:24:50.858 --> 00:24:53.039]  Look, just take the challenge.
[00:24:53.039 --> 00:24:53.959]  The Taster's Choice.
[00:24:53.959 --> 00:24:55.039]  The Pepsi Challenge.
[00:24:55.039 --> 00:24:56.380]  Whatever you want to call it.
[00:24:56.380 --> 00:24:57.840]  Take the challenge.
[00:24:57.840 --> 00:24:58.741]  Look into eugenics.
