[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[00:05:40.165 --> 00:05:44.268]  Over a third of us can't afford to buy food and pay our other expenses.
[00:05:44.268 --> 00:05:47.510]  Lines of credit and cards are often cut back or canceled.
[00:05:47.510 --> 00:05:53.955]  Last year, the eFoods Direct Holiday Food Unit was a fun and exciting one-year supply with a great price.
[00:05:53.955 --> 00:05:57.818]  This year, to quickly complete our food supply preparations, eFoods Direct
[00:05:57.858 --> 00:06:00.825]  Direct has created a very serious holiday unit.
[00:06:01.852 --> 00:06:08.496]  This super supply costs $300 less than the Basic Liberty one-year supply and has more food.
[00:06:08.496 --> 00:06:12.459]  Safe food for less than half the cost of last year's groceries.
[00:06:12.459 --> 00:06:16.622]  For delivery by Christmas, orders must be submitted by the end of November.
[00:06:16.622 --> 00:06:20.624]  Good food is a gift of life and love this holiday season.
[00:06:20.624 --> 00:06:22.005]  Call 800-409-5633 on the web, efoodsdirect.com, 800-409-5633.
[00:06:30.492 --> 00:06:31.816]  Prepare yourself.
[00:06:40.663 --> 00:06:43.426]  He stands for truth.
[00:06:43.426 --> 00:06:46.649]  He stands for justice.
[00:06:46.649 --> 00:06:49.091]  He stands for what's right.
[00:06:49.091 --> 00:06:52.414]  This is the Alex Jones Show.
[00:06:52.414 --> 00:06:55.657]  Call Alex now, toll free at 877-590-5525.
[00:06:55.657 --> 00:07:03.064]  Now live from Austin, Texas, here's Alex Jones.
[00:07:08.840 --> 00:07:13.785]  Congressman Ron Paul joins us out of the gates for his analysis, his breakdown.
[00:07:13.785 --> 00:07:25.718]  The congressman from Texas, of course, a presidential candidate who sent shockwaves through the political system, the controlled left-right paradigm, is with us for the next 20 minutes to break down what we're facing.
[00:07:25.718 --> 00:07:31.284]  Congressman, are you feeling the dread that many of us are feeling right now?
[00:07:32.398 --> 00:07:34.599]  Yes, I do, but I don't think it's brand new.
[00:07:34.599 --> 00:07:35.859]  I didn't wake up with it.
[00:07:35.859 --> 00:07:37.059]  I've had it for a while.
[00:07:37.059 --> 00:07:39.640]  I don't think the election was a surprise.
[00:07:39.640 --> 00:07:43.401]  But the rhetoric is getting pretty strong, and they are getting very bold.
[00:07:43.401 --> 00:07:49.123]  I think McCain was obviously a backup candidate in case something happened where Obama didn't win.
[00:07:49.123 --> 00:07:52.344]  They'd have been satisfied with McCain.
[00:07:53.064 --> 00:07:58.649]  But they've been positioning Obama for a long, long time.
[00:07:58.649 --> 00:08:06.237]  You know, he's a man of the people, and yet he was the first guy to spend, you know, more money than anybody else.
[00:08:06.237 --> 00:08:17.207]  He probably spent more money than everybody else put together in these last two years, and that was, you know, on the books it's about $750 million, but when you look at all the free stuff, and you look at all
[00:08:17.427 --> 00:08:17.927]  I don't think so.
[00:08:43.010 --> 00:08:50.573]  Well, he's the guy who helped ram through the banker takeover bill, and now what you predicted and others predicted is happening.
[00:08:50.573 --> 00:08:58.617]  They're openly announcing the end of the dollar, a new Bretton Woods, a new world monetary system run by a small group of private international banks.
[00:08:58.617 --> 00:09:05.300]  We will buy our carbon credits from them, and Barack Obama is signaled that he will do whatever they say.
[00:09:06.525 --> 00:09:08.005]  I think there's no doubt about that.
[00:09:08.005 --> 00:09:11.426]  He wouldn't be there if he didn't toe the line.
[00:09:11.426 --> 00:09:24.050]  And, you know, when the meeting starts on November 15th for the new monetary system, this could be, you know, the beginning of the end of what we see as what's left of our national sovereignty.
[00:09:24.050 --> 00:09:26.751]  I don't know how long it will take for their announcement.
[00:09:26.751 --> 00:09:30.812]  I guess the meeting starts on November 15th, and it won't be November 16th.
[00:09:30.812 --> 00:09:35.333]  I think it'll be a little while before the announcement is made and before we fully understand
[00:09:35.353 --> 00:09:45.478]  I think the fact that the markets are relatively calm right now, and the dollar has not totally crashed, is all being orchestrated by all the central banks.
[00:09:45.478 --> 00:09:48.000]  The message is out that the dollar is doomed.
[00:09:48.000 --> 00:09:49.080]  They can't keep doing it.
[00:09:49.080 --> 00:09:55.264]  I think temporarily they've been able to hold it together, but something has to give.
[00:09:55.264 --> 00:09:56.785]  It's on the business news station now.
[00:09:56.785 --> 00:09:59.626]  It's not just your radio show and others talking about it.
[00:09:59.626 --> 00:10:04.549]  I was watching a business station yesterday, and they were very, very... Stiglitz was on.
[00:10:05.009 --> 00:10:06.310]  You've heard of that guy?
[00:10:06.310 --> 00:10:14.698]  He was very much bragging about this thing, you know, about a new world reserve currency and world regulations.
[00:10:14.698 --> 00:10:16.920]  That means world government.
[00:10:16.920 --> 00:10:19.543]  And it looks like it's coming rather rapidly right now.
[00:10:20.063 --> 00:10:20.523]  That's right.
[00:10:20.523 --> 00:10:21.723]  We played the club yesterday.
[00:10:21.723 --> 00:10:34.426]  He said, over the banks, over the stocks, over every nation, a trilateral world currency, everything the Trilateral Commission announced in the 70s, everything we warned people about in Obama is saying he's going to give us change.
[00:10:34.426 --> 00:10:40.928]  But the change with class warfare is robbing the middle class and transferring it all to the multinational corporations.
[00:10:41.428 --> 00:10:45.491]  You know, I guess you heard a statement by Sarkozy from France.
[00:10:45.491 --> 00:10:48.654]  He said that we want to reform capitalism.
[00:10:48.654 --> 00:10:59.322]  But our president, you know, came right back and he says he's all for this World Summit, but only on one condition, that we not tamper with the free market system.
[00:10:59.322 --> 00:11:02.124]  And people believe this stuff.
[00:11:02.124 --> 00:11:05.607]  You know, they just listen to that and it just goes over their heads and it's so sad.
[00:11:09.437 --> 00:11:18.333]  For those that just tuned in, the last segment we were discussing how they're openly announcing a world government of and by a private group of central banks, the same international institutions that create
[00:11:20.069 --> 00:11:22.590]  There's implosion that we're seeing right now.
[00:11:22.590 --> 00:11:26.933]  Reuters, Obama urged to shape new economic order.
[00:11:26.933 --> 00:11:34.397]  Biden, on the last week, his running mate, the new vice president-elect, has called for world government twice last week and a new world order.
[00:11:34.397 --> 00:11:37.999]  Everything we told you decades ago, you are now seeing it.
[00:11:37.999 --> 00:11:39.920]  So they move out the old puppet Bush.
[00:11:39.920 --> 00:11:44.362]  They're moving in the new puppet to fool the left now to get on this bandwagon.
[00:11:44.362 --> 00:11:45.203]  And congressmen
[00:11:45.783 --> 00:12:07.930]  I've been interviewing a lot of international experts, by the way, including Sticklitz, who's pushing all of this right now, and they are saying, yes, the big announcement that Powell's talking about on the 21st or 22nd of January will be devaluing the dollar and basically announcing a new economic order run by the very people that orchestrated all of this.
[00:12:09.910 --> 00:12:18.534]  World leaders are saying it's also going to be economic implosions and military adventures, Pakistan.
[00:12:18.534 --> 00:12:23.716]  What is this huge event where they're naming dates but they won't tell us what it is?
[00:12:23.716 --> 00:12:33.120]  Well they're just getting us prepared and they are doing the planning and they're in charge and unfortunately the people get distracted.
[00:12:33.120 --> 00:12:39.083]  I consider our election this whole past year or two is just a distraction making everybody think
[00:12:39.603 --> 00:12:41.083]  Boy, this is really critical.
[00:12:41.083 --> 00:12:42.504]  This election means everything.
[00:12:42.504 --> 00:12:46.745]  You know, if we don't have McCain, the world is going to go to the dogs or vice versa.
[00:12:46.745 --> 00:12:53.127]  If we don't have Obama, we're not going to be able to take care of the people and the poor are all going to suffer and die.
[00:12:53.127 --> 00:13:06.290]  And it's all orchestrated so people are misdirected from the important issues of war and peace and money and the Federal Reserve and the business cycle and all these calamities that are going on.
[00:13:06.890 --> 00:13:07.711]  I don't know.
[00:13:23.488 --> 00:13:26.510]  Congressman Powell is saying the 21st, the 22nd.
[00:13:26.510 --> 00:13:28.671]  Others are naming that date.
[00:13:28.671 --> 00:13:30.412]  You're there at the Hill.
[00:13:30.412 --> 00:13:34.575]  You know, you're closer to the inside of the actual workings of power than the general public is.
[00:13:34.575 --> 00:13:43.520]  I mean, have you heard anybody who has inside knowledge about what the crisis is or is it going to be the announcement of the New World Order?
[00:13:44.040 --> 00:13:49.365]  Well, I think it's going to be an announcement of a new monetary order, and they'll probably make it sound as very limited.
[00:13:49.365 --> 00:14:00.654]  They're not going to say this is world government, even though if you control the world money, and you control the military, which they do indirectly, they do control the world.
[00:14:00.654 --> 00:14:03.417]  They're mainly interested in controlling the money and natural resources.
[00:14:04.177 --> 00:14:07.419]  And right now it's not in the hands of private property owners.
[00:14:07.419 --> 00:14:14.524]  Here in Texas, you know, we develop natural resources pretty much by private property ownership, and we all survive rather well.
[00:14:14.524 --> 00:14:16.585]  But compare that to what happens in Alaska.
[00:14:16.585 --> 00:14:26.352]  But what happens when it's a world central bank, worldwide regulation, and world control of the whole system of law?
[00:14:29.914 --> 00:14:40.360]  And it's going to be controlled by the very financial institutions that orchestrated the controlled crisis.
[00:14:40.360 --> 00:14:43.542]  And they're openly saying, for those that don't know, and I'd like the congressman to comment on this,
[00:14:44.122 --> 00:15:05.997]  No, but these IMF and World Bank chiefs, the head of the International Bank of Settlements, Treasury Secretaries, others, Fed Chairman, are saying that we will pay different stock taxes, different derivatives taxes, different taxes on the stock market transactions, and there's going to be world carbon taxes that you buy from this group of banks.
[00:15:05.997 --> 00:15:12.161]  I mean, that is total control, and as Barack Obama said, he's going to bankrupt the coal industry that gives us 49% of our power.
[00:15:14.382 --> 00:15:17.404]  It's in direct control.
[00:15:17.404 --> 00:15:22.527]  They're not going to own the coal mines and the coal processes.
[00:15:22.527 --> 00:15:27.050]  What they can do is just tax you, and they can control us.
[00:15:27.050 --> 00:15:35.255]  I've argued the case that we don't have private property in this country anymore because we have all the responsibility and liability, but can you use your land without getting permission?
[00:15:35.255 --> 00:15:39.798]  You have to get 20 permits to use your own land in order to stay on the land.
[00:15:44.130 --> 00:15:44.430]  I think so.
[00:16:01.508 --> 00:16:04.910]  The big thing here is it slows things up so much.
[00:16:04.910 --> 00:16:12.915]  I imagine a few of them think that they'll be able to manage this and we'll be able to help take care of everybody, but obviously that isn't the case.
[00:16:12.915 --> 00:16:15.297]  They're going to make the world a lot poorer.
[00:16:15.297 --> 00:16:25.343]  You're listening to Alex Jones with Congressman Ron Paul and Trend Forecaster Gerald Cilente in this encore presentation of the Alex Jones Radio Show.
[00:16:29.935 --> 00:16:31.656]  Gosh, I am so frustrated.
[00:16:31.656 --> 00:16:33.998]  I can't seem to remember anything anymore.
[00:16:33.998 --> 00:16:34.579]  What?
[00:16:34.579 --> 00:16:37.341]  Seriously, my memory and attention span is terrible.
[00:16:37.341 --> 00:16:38.762]  I read something and forget.
[00:16:38.762 --> 00:16:40.023]  I forget people's names.
[00:16:40.023 --> 00:16:43.806]  I hear all this great information on the radio and I want to tell people, but I forget.
[00:16:43.806 --> 00:16:45.567]  I... Okay, slow down.
[00:16:45.567 --> 00:16:48.129]  Poor attention and memory loss is not your fault.
[00:16:48.129 --> 00:16:55.275]  Factors like fluoride in the water, aluminum in deodorants, genetically modified foods, the way the education system taught you.
[00:16:55.275 --> 00:16:56.896]  It's all meant to dumb you down.
[00:16:56.896 --> 00:16:58.657]  You know, I can remember everything now.
[00:16:58.657 --> 00:16:59.578]  Even entire books.
[00:16:59.798 --> 00:17:00.078]  What?
[00:17:00.078 --> 00:17:00.638]  How?
[00:17:00.638 --> 00:17:03.879]  There is this website called School of Phenomenal Memory.
[00:17:03.879 --> 00:17:07.660]  Their online course is a real breakthrough in the field of memory improvement.
[00:17:07.660 --> 00:17:17.302]  In fact, they guarantee that every single person will be able to memorize any type of information, including entire books after they complete just 60 lessons.
[00:17:17.302 --> 00:17:22.684]  And they offer a no-questions-asked, no-time-limit, money-back guarantee.
[00:17:22.684 --> 00:17:23.204]  Wow.
[00:17:23.204 --> 00:17:23.964]  What's the website?
[00:17:24.224 --> 00:17:27.690]  Now don't forget, it's P Memory dot net.
[00:17:27.690 --> 00:17:29.633]  The letter P, memory dot net.
[00:17:30.842 --> 00:17:33.504]  Break the law and you're caught on film.
[00:17:33.504 --> 00:17:38.567]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[00:17:38.567 --> 00:17:40.489]  The reflection blinded our camera.
[00:17:40.489 --> 00:17:41.810]  We are under the microscope.
[00:17:41.810 --> 00:17:45.832]  Red light cameras and speed cameras are in place to make money, not for your safety.
[00:17:45.832 --> 00:17:49.475]  But you don't have to be defenseless against these unconstitutional devices.
[00:17:49.475 --> 00:17:52.757]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[00:17:52.757 --> 00:17:54.018]  When properly applied, this
[00:17:54.178 --> 00:17:58.961]  Revolutionary product has proven itself to be the most effective device available against traffic cameras.
[00:17:58.961 --> 00:18:04.404]  Invisible to the naked eye, your license plate, when flashed, will be overexposed and unreadable to the cameras.
[00:18:04.404 --> 00:18:05.144]  Save your money!
[00:18:05.144 --> 00:18:06.905]  Go to SprayYourPlate.com.
[00:18:06.905 --> 00:18:08.827]  That's SprayYourPlate.com.
[00:18:08.827 --> 00:18:14.650]  And check out the newscast showing the Photoblocker in action, proving that the SprayYourPlate's Photoblocker works against traffic cameras.
[00:18:14.850 --> 00:18:16.431]  Go to SprayYourPlate.com or call 1-800-276-9601.
[00:18:16.431 --> 00:18:16.651]  That's 1-800-276-9601.
[00:18:16.651 --> 00:18:17.771]  Don't give your money to the state.
[00:18:17.771 --> 00:18:18.632]  Spray your plate.
[00:18:18.632 --> 00:18:20.693]  And when the cameras flash, you'll save some cash.
[00:18:31.972 --> 00:18:34.334]  Are you wondering about your retirement portfolio?
[00:18:34.334 --> 00:18:40.579]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:18:40.579 --> 00:18:44.722]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:18:44.722 --> 00:18:51.887]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:18:51.887 --> 00:18:57.791]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:18:57.791 --> 00:19:01.054]  For a free introductory copy to Robert Chapman's International Forecaster,
[00:19:01.494 --> 00:19:07.839]  Subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:19:07.839 --> 00:19:10.141]  Experience the difference.
[00:19:10.141 --> 00:19:15.404]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:19:15.404 --> 00:19:16.625]  Don't wait another minute.
[00:19:16.625 --> 00:19:20.288]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:19:20.288 --> 00:19:20.528]  That's 877-479-8178.
[00:19:30.382 --> 00:19:40.947]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:19:40.947 --> 00:19:42.368]  Garden in a Can.
[00:19:42.368 --> 00:19:46.510]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:19:46.510 --> 00:19:48.511]  Garden in a Can is ready when you are.
[00:19:48.511 --> 00:19:50.812]  Plant them now or store them for when you really need them.
[00:19:51.292 --> 00:20:00.960]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:20:00.960 --> 00:20:02.382]  Garden in a can.
[00:20:02.382 --> 00:20:03.583]  It's that simple.
[00:20:03.583 --> 00:20:05.985]  Fresh, healthy, easy.
[00:20:05.985 --> 00:20:10.329]  Only $69.95 for over a half acre of safe, fresh vegetables.
[00:20:10.329 --> 00:20:11.910]  Ready when you are.
[00:20:11.910 --> 00:20:13.231]  Stop procrastinating and
[00:20:17.366 --> 00:20:19.448]  GardenInACan.com today.
[00:20:19.448 --> 00:20:21.589]  That's GardenInACan.com.
[00:20:21.589 --> 00:20:21.990]  Or call 866-598-7396.
[00:20:21.990 --> 00:20:22.030]  866-598-7396.
[00:20:42.558 --> 00:20:45.560]  Congressman Powell is saying the 21st, the 22nd.
[00:20:45.560 --> 00:20:47.721]  Others are naming that date.
[00:20:47.721 --> 00:20:48.722]  You're there at the Hill.
[00:20:48.722 --> 00:20:57.627]  I mean, have you heard anybody who has inside knowledge about what the crisis is or is it going to be the announcement of the New World Order?
[00:20:58.147 --> 00:21:03.470]  Well, I think it's going to be an announcement of a new monetary order, and they'll probably make it sound as very limited.
[00:21:03.470 --> 00:21:14.615]  They're not going to say this is world government, even though if you control the world money, and you control the military, which they do indirectly, they do control the world.
[00:21:14.615 --> 00:21:17.677]  They're mainly interested in controlling the money and natural resources.
[00:21:17.677 --> 00:21:19.978]  But what happens when it's a world central bank?
[00:21:20.538 --> 00:21:20.998]  We're good to go.
[00:21:36.128 --> 00:21:41.470]  And it's going to be controlled by the very financial institutions that orchestrated the controlled crisis.
[00:21:41.470 --> 00:21:58.035]  And they're openly saying, for those that don't know, and I'd like the congressman to comment on this, that these IMF and World Bank chiefs, the head of the International Bank of Settlements, Treasury Secretaries, others, the Fed Chairman, are saying that we will pay different stock taxes, different derivatives taxes, different
[00:21:58.795 --> 00:22:07.098]  You know, taxes on the stock market transactions, and there's going to be world carbon taxes that you buy from this group of banks.
[00:22:07.098 --> 00:22:14.341]  I mean, that is total control, and as Barack Obama said, he's going to bankrupt the coal industry that gives us 49% of our power.
[00:22:14.341 --> 00:22:16.762]  This is the neo-feudal model.
[00:22:16.762 --> 00:22:17.382]  Yep, it is.
[00:22:17.382 --> 00:22:18.522]  It's in direct control.
[00:22:18.522 --> 00:22:23.204]  They're not going to own the coal mines and the coal processes.
[00:22:23.664 --> 00:22:23.744]  Yes.
[00:22:44.688 --> 00:22:44.989]  I don't
[00:23:03.590 --> 00:23:07.033]  That's why Newsweek's calling him the president of the world.
[00:23:07.033 --> 00:23:09.114]  They're calling him that in British and German and French newspapers.
[00:23:09.114 --> 00:23:11.176]  I mean, they are calling him the one.
[00:23:11.176 --> 00:23:15.038]  I mean, any time you see that in history, Congressman, isn't that dangerous?
[00:23:30.930 --> 00:23:37.554]  I mean, that means not only dangerous, but maybe we have crushed Rubicon.
[00:23:37.554 --> 00:23:39.856]  You know, maybe it's going to be very difficult.
[00:23:39.856 --> 00:23:42.017]  So we have to look for sources of optimism.
[00:23:42.017 --> 00:23:43.278]  What do we do?
[00:23:43.278 --> 00:23:48.861]  Ultimately, though, all that happens to us is a result of philosophy and beliefs and convictions.
[00:23:48.861 --> 00:23:51.743]  And that's where I think we've made some inroads.
[00:23:51.743 --> 00:23:55.185]  You know, in spite of the shortcomings of our campaign, I think we made some inroads,
[00:23:55.725 --> 00:24:06.429]  I'm calling attention to a lot of people in this country, the importance of monetary policy, the importance of the central bank, the importance of how government causes so much problem.
[00:24:06.429 --> 00:24:07.710]  It's just that we're in the minority.
[00:24:07.710 --> 00:24:08.030]  That's right.
[00:24:08.030 --> 00:24:17.394]  Your campaign covered all the issues that are now unfolding, center stage on the world, but as you said, the global crisis they were going to engineer,
[00:24:18.866 --> 00:24:31.229]  For decades you've said this, that when we came to that point, it would be with the free market and liberty and freedom, be able to use the crisis to expand liberty, or with the establishment who orchestrated it, use it to bring in more bondage.
[00:24:31.229 --> 00:24:34.410]  Now, I want to get into the trifecta.
[00:24:34.410 --> 00:24:40.892]  The House, the Senate, so now the Legislative, and the Executive, at least for a year or two with
[00:24:41.192 --> 00:24:44.033]  Just absolute power.
[00:24:44.033 --> 00:24:52.297]  How dangerous is that with Chuckie Schumer talking about all these new taxes and more gun control and fairness doctrine restricting free speech?
[00:24:53.439 --> 00:24:57.962]  I think it's very dangerous, and the first year is probably going to be the most dangerous year.
[00:24:57.962 --> 00:25:04.686]  Just think of Bush's first year, but he also had the 9-11 thing that he could use to scare everybody to death.
[00:25:04.686 --> 00:25:07.148]  And Obama will use the financial crisis.
[00:25:07.148 --> 00:25:11.850]  The crisis will get worse, and there will be some more military skirmishes around the world.
[00:25:11.850 --> 00:25:14.732]  So he'll say, well, we've got to do this, we've got to do this.
[00:25:14.732 --> 00:25:17.134]  And just as the Republican Congress wouldn't say boo,
[00:25:17.634 --> 00:25:23.758]  To our Republican President, you know the Democratic Congress is NEVER going to stand up.
[00:25:23.758 --> 00:25:33.105]  There'll be a couple, maybe a Dennis Kucinich and a few others who are principled and anti-war, but the Democratic Congress will not stand up.
[00:25:33.545 --> 00:25:35.347]  I don't want to look like I don't care about it.
[00:25:51.861 --> 00:25:53.022]  Well, that's the issue.
[00:25:53.022 --> 00:25:55.844]  Obama's called for a million-man youth brigade as large as the military.
[00:25:55.844 --> 00:25:58.266]  The Air Force has now announced more brigades being added to NORTHCOM.
[00:26:14.259 --> 00:26:24.466]  What is the left, the mainline left, going to do when they realize that Barack Obama is actually going to intensify all of the policies that George Bush had?
[00:26:24.466 --> 00:26:25.907]  Well, there's not too many left.
[00:26:25.907 --> 00:26:31.610]  I mean, you have the Ralph Naders and others, but they get marginalized, just as I was in the Republican Party.
[00:26:31.610 --> 00:26:39.616]  So those who are principled, who object to this, aren't going to be heard from, and people are going to go along with it.
[00:26:40.476 --> 00:26:41.016]  No, it doesn't.
[00:26:41.016 --> 00:26:43.437]  Congressman, how do we prepare for this?
[00:26:43.437 --> 00:26:44.778]  How do we
[00:26:54.324 --> 00:26:58.768]  I mean, we already have the government triple under George Bush, now Obama's talking about expanding it even more.
[00:26:58.768 --> 00:27:04.533]  I mean, what do we do, in your educated opinion, to somehow save the republic?
[00:27:04.533 --> 00:27:10.819]  Well, they're going to claim they're saving it because they take all these people up and put them in all these organizations and the military and type of things.
[00:27:10.819 --> 00:27:13.502]  Oh, unemployment rates are going down.
[00:27:13.502 --> 00:27:15.584]  That's what they'll probably argue.
[00:27:15.584 --> 00:27:17.185]  No, we have to continue to do what we're doing.
