[00:00:00.069 --> 00:00:01.410]  Coconut oils.
[00:11:30.917 --> 00:11:33.838]  Gas and the other chemicals coming from Saudi Arabia.
[00:11:33.838 --> 00:11:43.861]  I mean, it seems to me that if the Obama administration is going to go to war on Syria, which is what this means, a very massive step.
[00:11:43.861 --> 00:11:51.603]  I can't emphasize to people listening how much we are on the verge here of World War III.
[00:11:51.603 --> 00:11:53.404]  Russia and China are not going to sit by
[00:11:54.184 --> 00:12:11.750]  If Obama thinks he can wag the dog to get attention off of his other problems or run a false flag here, it isn't going to fly with Russia and China saying to Obama, you don't have the evidence and we're not going to tolerate a military attack.
[00:12:12.410 --> 00:12:17.251]  Very, very succinctly said, Dr. Corsi, I want to break something down.
[00:12:17.251 --> 00:12:21.432]  You have never talked like this in the decade that I've been interviewing you or more.
[00:12:21.432 --> 00:12:27.293]  And I've talked to a lot of other top people on and off air about this.
[00:12:27.293 --> 00:12:30.133]  Colonel Schaefer is one of them, but many others off record.
[00:12:30.133 --> 00:12:33.434]  And they all are saying exactly what you're saying.
[00:12:33.434 --> 00:12:35.355]  And it's so transparent.
[00:12:35.355 --> 00:12:37.455]  How does Obama think he's going to get away with this?
[00:12:38.291 --> 00:12:43.935]  Well, again, I think the Obama administration has gotten to the point where they think they can lie with impunity.
[00:12:43.935 --> 00:12:46.137]  Certainly, that's what this appears to be.
[00:12:46.137 --> 00:12:51.962]  And, you know, Alex, I don't think we've been in a more critical moment since the Cuban Missile Crisis.
[00:12:51.962 --> 00:12:59.848]  Now, the Cuban Missile Crisis, Jack Kennedy had photographs of the missiles from U-2 flights over Cuba.
[00:12:59.848 --> 00:13:02.010]  And Jack Kennedy showed those to the world.
[00:13:02.010 --> 00:13:06.974]  He went to the United Nations and he said, here's the pictures of the missiles in Cuba.
[00:13:07.634 --> 00:13:09.015]  Obama has not done that.
[00:13:09.015 --> 00:13:19.262]  Obama has not presented to the American people or to the UN his evidence of the Assad regime being involved in the sarin gas attacks.
[00:13:19.262 --> 00:13:32.551]  And you've got Assad denying it, you've got Russia denying it, you've got China denying it, all of them with logic on their side, and we publish at WND the videos where you can see with your own eyes
[00:13:33.211 --> 00:13:40.237]  The terrorists, the rebels, the forces Obama is supporting being the culprits in the gas attacks.
[00:13:40.237 --> 00:13:41.638]  I want to make a couple of points.
[00:13:41.638 --> 00:13:51.787]  One, first of all, people have got to realize that Russia and China are not borrowing a trillion dollars a year to make their budget.
[00:13:51.787 --> 00:13:52.868]  We are.
[00:13:52.868 --> 00:13:57.993]  We're in a vastly weakened economic position and the world knows it.
[00:13:57.993 --> 00:13:58.513]  Secondly,
[00:13:59.714 --> 00:14:07.177]  Well, where American public opinion is right now is not in favor of a military action, and I don't see it changing quickly.
[00:14:07.177 --> 00:14:14.541]  Now, let's say we have a cruise missile attack or we have a bomber attack over Syria.
[00:14:14.541 --> 00:14:27.927]  If we get involved in a shooting war, not just with Syria, but with Russia, or with Russia and China, the ramifications of that are unpredictable and unpredictably frightening.
[00:14:28.735 --> 00:14:51.712]  Because if Russia and China say to the United States, you can't sustain a war economically, and you're on the wrong side here, and if Russia and China stand behind Assad, which they are doing, we are moving, we're escalating the whole conflict beyond the level of surrogates into where we're risking a direct confrontation with Russia, certainly with Russia.
[00:14:51.712 --> 00:14:57.677]  And giving them the moral high ground, which history shows you cannot win a immoral war long term.
[00:14:58.197 --> 00:15:10.387]  Well, where is, you know, at least with Jack Kennedy in the White House, he sent Adlai Stevenson, who was the UN ambassador to the UN, and he showed the pictures of the missiles in Cuba.
[00:15:11.331 --> 00:15:12.912]  Today we don't have a single thing.
[00:15:12.912 --> 00:15:18.075]  By the way, they're coming out with this new dossier, but I expect that to be more, you know, phony baloney as well.
[00:15:18.075 --> 00:15:19.296]  What are you expecting?
[00:15:19.296 --> 00:15:21.997]  Remember, we've had, we've gone through this.
[00:15:21.997 --> 00:15:25.579]  The left is, the publicity here is amazing to me.
[00:15:25.579 --> 00:15:29.342]  When it was George W. Bush saying there were weapons of mass destruction in Iraq.
[00:15:30.242 --> 00:15:36.185]  The left, John Kerry, Barack Obama, were all over the issue, saying it was a lie.
[00:15:36.185 --> 00:15:43.949]  And now, you've got Obama and Kerry using the same lie to advance what could end up being another phony pretext for a phony war.
[00:15:43.949 --> 00:15:46.991]  I think the American people can see through this.
[00:15:46.991 --> 00:15:48.271]  Sure, we've got one minute left.
[00:15:48.271 --> 00:15:51.073]  Bottom line, what do you expect to happen in your gut?
[00:15:51.073 --> 00:15:56.516]  My gut is that the Obama administration is so far out on the limb they're going to attack and we're going to come to the edge of World War III.
[00:15:57.839 --> 00:15:59.281]  Unfortunately, I agree with you.
[00:15:59.281 --> 00:16:03.365]  I hope everybody's saying their prayers for their children tonight.
[00:16:03.365 --> 00:16:05.367]  People better understand how serious this is.
[00:16:05.367 --> 00:16:10.513]  It's been one of the most serious moments in world history that we have ever faced.
[00:16:10.513 --> 00:16:15.439]  And they're all doing it because these power-mad control freaks that run Washington think they're invincible.
[00:16:16.281 --> 00:16:25.885]  And Obama does not want us talking about the IRS scandal with the Tea Party groups or the NSA eavesdropping on... Or Benghazi.
[00:16:25.885 --> 00:16:27.225]  Or Benghazi.
[00:16:27.225 --> 00:16:32.587]  Or the fact that we're again out of money and spending another trillion dollars we don't have on an out-of-control budget.
[00:16:32.587 --> 00:16:34.128]  Obama doesn't want these topics.
[00:16:34.128 --> 00:16:37.129]  Doctor, we're going to have to get updates from you every day if we can do it.
[00:16:37.129 --> 00:16:38.229]  I know you've got to go.
[00:16:38.229 --> 00:16:39.670]  Please join us again tomorrow.
[00:16:39.670 --> 00:16:41.571]  I know you're on top of this like no one else.
[00:16:41.571 --> 00:16:42.191]  Thank you so much.
[00:16:42.631 --> 00:16:44.113]  Thanks Alex, great to be with you.
[00:16:44.113 --> 00:16:48.898]  Wow, man, I just, I thought I'd tuck my kids in tonight twice and kiss them twice.
[00:16:48.898 --> 00:16:50.960]  I mean, I hate the New World Order!
[00:16:50.960 --> 00:16:53.844]  These people are the greatest threat to civilization!
[00:16:53.844 --> 00:16:55.506]  We've got to stop these people!
[00:16:55.506 --> 00:16:57.288]  We'll be right back, stay with us.
[00:17:00.623 --> 00:17:14.394]  With over 3,000 years of historic use, PureSilver continues to be one of nature's most reliable and effective agents against fighting viruses, mold, fungus, bacteria, pathogens, and parasites.
[00:17:14.394 --> 00:17:25.343]  At Silverlungs, we have developed a reliable and easy-to-use full production system for creating endless PureNanoSilver solutions right from the convenience and comfort of your home.
[00:17:25.343 --> 00:17:29.507]  Your self-produced NanoSilver solutions can be applied topically to the skin
[00:17:29.987 --> 00:17:46.899]  For many who are new to silver, that wish to try silver for the first time, we offer a full line of consumables and cosmetics, such as our 2 ounce nano silver nasal sprays, our nano silver soap, and our most popular product, the all natural nano silver gel.
[00:17:46.899 --> 00:17:54.744]  Visit www.silverlungs.com to learn more about the industry leading technology of the silver lungs system.
[00:17:54.744 --> 00:17:57.967]  That's www.silverlungs.com.
[00:18:00.100 --> 00:18:03.983]  Are we choosing our own destiny or has it been pre-selected for us?
[00:18:03.983 --> 00:18:09.486]  As we've moved through history, every great leader has had to understand the potential of information.
[00:18:09.486 --> 00:18:17.231]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:18:17.231 --> 00:18:26.317]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:18:26.537 --> 00:18:33.684]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:18:33.684 --> 00:18:36.586]  All of this is happening so fast, you need to be ahead of the game.
[00:18:36.586 --> 00:18:42.552]  How to engineer the opinion of the American people so that they would not only endorse, but demand.
[00:18:43.212 --> 00:18:43.812]  War.
[00:18:43.812 --> 00:18:45.133]  Oh, there's another one!
[00:18:45.133 --> 00:18:46.394]  Another plane just hit!
[00:18:46.394 --> 00:18:47.475]  State of Mind.
[00:18:47.475 --> 00:18:49.036]  Because there's a war on.
[00:18:49.036 --> 00:18:50.076]  For your mind.
[00:18:50.076 --> 00:18:54.259]  Get your copy of State of Mind the movie at InfoWars.com.
[00:18:54.259 --> 00:18:59.342]  And remember, every order at InfoWarsStore.com receives a free citizen rulebook.
[00:19:00.498 --> 00:19:08.261]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia are all caused by infectious pathogens.
[00:19:08.261 --> 00:19:12.503]  Fortunately, a simple, safe and effective alternative exists.
[00:19:12.503 --> 00:19:26.048]  Supernatural Silver is a new and vastly improved type of silver solution that is safe and extremely effective against 143 types of bacteria, both forms of viruses, mold and yeast, and a limited number of parasites.
[00:19:26.628 --> 00:19:29.089]  It can even purify water!
[00:19:29.089 --> 00:19:34.210]  Supernatural Silver comes in both liquid and gel for internal or external use.
[00:19:34.210 --> 00:19:45.673]  With over 180 scientific studies by independent universities, hospitals, research institutions, and nursing homes, Supernatural Silver is a powerful weapon in the fight against disease.
[00:19:46.013 --> 00:19:54.286]  To see how Supernatural Silver can give you and your loved ones protection and peace of mind, go to SupernaturalSilver.com.
[00:19:54.286 --> 00:19:58.273]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[00:20:00.433 --> 00:20:01.033]  It's hurricane
[00:20:18.439 --> 00:20:19.179]  We're good to go.
[00:20:43.212 --> 00:20:49.456]  Call 800-409-5633 on the web efoodsdirect.com slash Alex.
[00:20:49.456 --> 00:20:52.677]  Order two or more, get 10% off, free shipping applies.
[00:20:52.677 --> 00:21:01.182]  Call 800-409-5633 on the web efoodsdirect.com slash Alex.
[00:21:01.182 --> 00:21:04.784]  Coast to Coast, direct from Austin.
[00:21:04.784 --> 00:21:07.986]  You're listening to the Alex Jones Broadcasting Network.
[00:21:16.138 --> 00:21:17.259]  The answer to 1984 is 1776.
[00:21:17.259 --> 00:21:19.460]  You're listening to The Alex Jones Show.
[00:21:30.074 --> 00:21:32.076]  I wanted to get Dr. Roberts on today.
[00:21:32.076 --> 00:21:35.738]  He wrote a story that's at paulcraigroberts.org.
[00:21:35.738 --> 00:21:38.020]  And we also have it up on InfoWars.com.
[00:21:38.020 --> 00:21:40.842]  Syria, another Western war crime in the making.
[00:21:40.842 --> 00:21:41.983]  Paul Craig Roberts.
[00:21:41.983 --> 00:21:46.306]  And I wanted to get the former head of policy at the Treasury, father of Reaganomics.
[00:21:47.446 --> 00:21:57.870]  on to give a truly conservative perspective on this and to ask him is it good news that only 9% of Americans in a Reuters poll agree with us?
[00:21:57.870 --> 00:22:05.452]  I think this is the collapse of support and it really shows we have a rogue state kleptocracy in there.
[00:22:05.452 --> 00:22:08.774]  A, but B, does he think they'll go ahead and strike?
[00:22:08.774 --> 00:22:11.795]  Dr. Corsi believes they will and it may cause World War III.
[00:22:11.795 --> 00:22:13.215]  Dr. Roberts, thanks for coming on.
[00:22:13.215 --> 00:22:14.696]  Pleased to be with you, Alex.
[00:22:14.696 --> 00:22:15.276]  Break it down.
[00:22:16.365 --> 00:22:17.846]  Well, they're going to strike.
[00:22:17.846 --> 00:22:20.308]  And of course, it was not done by Assad.
[00:22:20.308 --> 00:22:23.630]  It was staged by the Americans and the Israelis.
[00:22:23.630 --> 00:22:25.352]  We've known this from the beginning.
[00:22:25.352 --> 00:22:31.736]  The minute that Obama said there was a line drawn, we knew they were going to have a false flag event.
[00:22:32.677 --> 00:22:47.675]  The fact that the American people are finally caught on or tired of these wars that don't serve their purposes doesn't matter because Washington now is no longer accountable except to a few powerful private interests.
[00:22:47.675 --> 00:22:49.877]  So I think it will go ahead.
[00:22:50.678 --> 00:23:03.684]  I don't think nuclear war will result because of this strike, but it's going to result because what the United States is doing, they're radicalizing the Muslims.
[00:23:03.684 --> 00:23:08.206]  It's a way of destabilizing both Russia and China.
[00:23:08.206 --> 00:23:11.728]  Russia has large Muslim populations.
[00:23:11.728 --> 00:23:14.329]  It's bordered by numerous Muslim countries.
[00:23:14.329 --> 00:23:17.471]  China has some Muslim populations and borders.
[00:23:17.771 --> 00:23:26.397]  And so as this radicalization of Muslims spreads, it spreads into these two countries and becomes destabilizing for them.
[00:23:26.397 --> 00:23:35.123]  And as well, the United States has inside Russia hundreds of non-governmental organizations funded with American money.
[00:23:36.043 --> 00:23:53.857]  Whose purpose is to destabilize Russia, to demand liberalization, which is really a way of creating dissenting voices, arousing the different nationality passions of the peoples in Russia.
[00:23:53.857 --> 00:23:54.838]  The same in China.
[00:23:54.838 --> 00:24:00.783]  In China, every time an American company locates a new plant or a bank branch,
[00:24:01.583 --> 00:24:24.664]  In China they create a board and they put on this board the Chinese relatives of the local and regional party officials and so that board becomes a way of, it's a conduit for money into the regional and local Communist Party and it creates loyalties that put them at odds with the central government.
[00:24:24.664 --> 00:24:25.265]  So it's a global
[00:24:25.305 --> 00:24:25.726]  That's true.
[00:24:43.587 --> 00:24:55.297]  I think the only thing that may stop it is the military itself quietly leaking information, sabotaging things in a peaceful way, kind of blocking what's going on.
[00:24:55.297 --> 00:25:07.467]  And that's why you see such a focus on persecuting whistleblowers, because the kleptocrats that have seized control of our central government seem to be concerned about that.
[00:25:07.467 --> 00:25:09.309]  So I think that shows that that may be a weakness.
[00:25:10.339 --> 00:25:15.424]  Well, you know, Dempsey, the chairman of the Joint Chiefs, has warned against it.
[00:25:15.424 --> 00:25:19.809]  But I think on the whole, the military is unable to do anything.
[00:25:19.809 --> 00:25:22.812]  What they would have to do would be simply to have a coup.
[00:25:22.812 --> 00:25:25.815]  But actually, the war serves the purpose of the military.
[00:25:25.815 --> 00:25:27.957]  It serves a military security complex.
[00:25:29.279 --> 00:25:33.025]  They go along, get along generals when they retire.
[00:25:33.025 --> 00:25:37.471]  They either get to be Pentagon consultants or they become lobbyists.
[00:25:37.471 --> 00:25:41.016]  Sure, but it's not going to serve them if we go totally bankrupt and there's a nuclear war.
[00:25:42.671 --> 00:25:45.593]  I know, but everybody thinks about their interests.
[00:25:45.593 --> 00:25:46.694]  Who's looking after me?
[00:25:46.694 --> 00:25:48.195]  This is my chance.
[00:25:48.195 --> 00:25:50.116]  I can't rock the boat.
[00:25:50.116 --> 00:26:03.006]  So it becomes very hard for the military to do something that's actually against the short-run interests of all of the members in the higher ranks.
[00:26:03.006 --> 00:26:06.068]  So I don't know that we can count on the military stopping it.
[00:26:07.372 --> 00:26:10.519]  They haven't stopped any of the other wars.
[00:26:10.519 --> 00:26:12.062]  Why do you think they're going ahead with this now?
[00:26:12.062 --> 00:26:13.706]  To distract from all the scandals?
[00:26:13.706 --> 00:26:16.753]  To try to get Iran to get involved?
[00:26:16.753 --> 00:26:17.875]  So they can have a wider war?
[00:26:19.069 --> 00:26:30.692]  Well, you know, it's part of the neoconservative document that they put out and General Wesley Clark has reported he was shown the same thing when he visited the Pentagon.
[00:26:30.692 --> 00:26:40.675]  So I think what it's really about is the United States was going to pull off in Syria exactly the same scenario it used in Libya.
[00:26:40.675 --> 00:26:46.137]  Only this time the Russians and the Chinese vetoed the no-fly zone because they
[00:26:46.537 --> 00:26:54.222]  They had learned that the no-fly zone was actually something the Americans and NATO used for attacking Qaddafi's forces.
[00:26:54.222 --> 00:26:55.142]  So they vetoed it.
[00:26:55.142 --> 00:27:08.890]  So the Americans, Washington, had already instigated the outside jihadists going into Syria to overthrow the secular president, and yet there was no air support.
[00:27:08.890 --> 00:27:12.773]  And so the American-backed forces, the Washington-backed forces, are being defeated.
[00:27:13.982 --> 00:27:19.970]  And so they've got to find some way to come to the aid of the forces.
[00:27:19.970 --> 00:27:24.996]  And so that's what this chemical weapons false flag attack is all about.
[00:27:24.996 --> 00:27:30.323]  It gives Washington an excuse to run in there and rescue the forces that it sent to work.
[00:27:31.124 --> 00:27:37.168]  Sir, Joel Skousen, who does World Affairs Brief, has been very accurate in his analysis, as have you, Ben.
[00:27:37.168 --> 00:27:59.683]  He believes that the Anglo-American power structure is trying to get Russia and China to start a nuclear war, and that they believe, out of that global crisis, they'll be able to create a new police state here, roll out some of the space-based weapons they've got to defeat them, and finally have world domination, and that this is truly a megalomaniacal thing that's happening.
[00:27:59.683 --> 00:28:00.544]  What's your take on that?
[00:28:02.185 --> 00:28:07.008]  Well, we already have a police state, they already have that, and nobody survives nuclear war.
[00:28:07.008 --> 00:28:09.870]  I mean, there won't be any survivors.
[00:28:09.870 --> 00:28:13.192]  So I think that that's an incorrect analysis.
[00:28:16.394 --> 00:28:24.217]  If you and I can see the end of this, and he can see the end of it, and everybody else I talk to that's intelligent can see the end of it, what is the power structure thinking then?
